"﻿变量名",name,_beizhu,name_tw,name_en,name_vn,name_kr,showType,res,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,scale,type,probability,point,length,big,operateTimePointUp,award,bait,needLv,scene,randType,weight,crossFishingWeight,weightMin,weightMax,weekMax,priority,maxWinTimes,overDeal,rare,speed,escape,randMove,deadTime,time,bookId,competitionSpeed,competitionEscape,competitionRandMove
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,迷你龙碎片,Mini Dragon Fragment,Dratini Shard,Dratini Shard,,미뇽 조각,,config/big_hero/standby/img_147_mnl@.png,config/portrait/jinglingtouxiang/img_147_mnl@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,아쉽게도 그는 조각밖에 없다.,2,,0.65,1000,,,,{20751=1},,,<2;3;999>,,8,,,,,,,,3,11,5,<20;50>,1,<15;20>,0,11,6,<28;46>
1202,迷你龙碎片,Mini Dragon Fragment,Dratini Shard,Dratini Shard,,미뇽 조각,,config/big_hero/standby/img_147_mnl@.png,config/portrait/jinglingtouxiang/img_147_mnl@.png,Sorry but he only have shards,很遺憾他只有碎片,Sorry but he only have shards,,아쉽게도 그는 조각밖에 없다.,2,,0.65,1000,,,,{20751=2},,,<2;3;999>,,8,,,,,,,,3,11,5,<20;50>,1,<15;20>,0,11,6,<28;46>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,陈旧的袋子,Stale Bag - Random,Old bag,Old bag,,낡은 자루,,city/adventure/fishing/pjdz.png,config/item/fishing/icon_box_dz.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,뭔가 이상한 것이 들어 있는 것 같다.,3,3,1,500,,,,{gold=20000;libs=<631;631>},,,<1;2;3>,,30,,,,,,,,1,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
2002,奇怪的宝箱,Strange Chest - Random,Strange treasure chest,Strange treasure chest,,이상한 보물 상자,,city/adventure/fishing/box_22_1.png,config/item/box/box_22_1.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,뭔가 이상한 것이 들어 있는 것 같다.,2,3,1,500,,,,{gold=50000;libs=<632;632>},,,<1;2;3>,,10,,,,,,,,1,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
2003,奇怪的宝箱,Strange Chest - Random,Strange treasure chest,Strange treasure chest,,이상한 보물 상자,,city/adventure/fishing/box_22_2.png,config/item/box/box_22_2.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,뭔가 이상한 것이 들어 있는 것 같다.,2,3,1,500,,,,{gold=100000;rmb=20;libs=<633;633>},,,<1;2;3>,,5,,,,,,,,2,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
2004,奇怪的宝箱,Strange treasure chest - worth about 200 times,Strange treasure chest,Strange treasure chest,,이상한 보물 상자,,city/adventure/fishing/box_22_3.png,config/item/box/box_22_3.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,뭔가 이상한 것이 들어 있는 것 같다.,2,3,1,500,,,,{gold=200000;rmb=50;libs=<633;633;633;633>},,,<1;2;3>,2,-1,,0.001,0.009,2,1,,3,1,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,奇怪的宝箱,Strange treasure chest - a lot of gold coins - 40 times out - 1 time,Strange treasure chest,Strange treasure chest,,이상한 보물 상자,,city/adventure/fishing/box_22_3.png,config/item/box/box_22_3.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,뭔가 이상한 것이 들어 있는 것 같다.,2,3,1,500,,,,{gold=1000000},,,<1;2;3>,2,,,0,0.05,3,1,1,3,3,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
2011,奇怪的宝箱,Strange treasure chest - a lot of diamonds - 80 times out - 1 time,Strange treasure chest,Strange treasure chest,,이상한 보물 상자,,city/adventure/fishing/box_22_3.png,config/item/box/box_22_3.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,뭔가 이상한 것이 들어 있는 것 같다.,2,3,1,500,,,,{rmb=200},,,<1;2;3>,2,,,0,0.025,3,1,1,3,3,10,10,<0;0>,1,<15;20>,0,10,11,<0;0>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,鱼饵宝箱,Strange Chest - Random,Bait treasure chest,Bait treasure chest,,미끼 보물 상자,,city/adventure/fishing/box_22_2.png,config/item/box/box_22_2.png,There is something strange in it,裡面似乎有些奇奇怪怪的東西,There is something strange in it,,뭔가 이상한 것이 들어 있는 것 같다.,2,3,1,500,,,,{7112=1},,,<2;3>,,15,,,,,,,,2,13,10,<15;18>,1,<5;10>,0,13,11,<21;34>
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,盖欧卡,Special tag fish for competition,Kyogre,Kyogre,404404,가이오가,,config/big_hero/standby/img_382_gok@.png,config/portrait/jinglingtouxiang/img_382_gok@.png,"King of the ocean, only appear in fishing competition",海洋的王者，只會在釣魚大賽中出現。,"King of the ocean, only appear in fishing competition",,바다의 왕. 낚시 대회에서만 나타난다.,2,,0.5,1000,<400;500>,480,<<3;9;0.5>;<9;12;0.2>;<12;20;0.1>>,{21961=1},,,<999>,2,8,,0.05,0.1,4,999,,4,3,8,4,<30;60>,,<15;20>,1,7,5,<43;69>
