"﻿变量名",room,_roomType,_beizhu,icon,weight,group,name,name_tw,name_en,name_vn,name_kr,monsterType,type,desc,desc_tw,desc_en,desc_vn,desc_kr,monster,fightC,pointC,drops,buff,event,boxType,gold,coin,randomLibs,randomLibs2
85,15,Mixed solid supplement,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,12000,20,{libs=<504;504;>},
86,15,Mixed solid supplement,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
87,15,Mixed solid supplement,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
88,15,Mixed solid supplement,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
89,16,Mixed things,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
90,16,Mixed things,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
91,16,Mixed things,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
92,16,Mixed things,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
93,16,Mixed things,random event bad,city/adventure/random_tower/icon/icon_sj.png,-1,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
94,16,Mixed things,in random events,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
95,16,Mixed things,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,12000,20,{libs=<504;504;>},
96,16,Mixed things,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
97,16,Mixed things,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
98,16,Mixed things,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
99,17,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
100,17,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
101,17,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
102,17,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
103,17,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
104,17,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
105,18,mix,Great supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
106,18,mix,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<2;100>>,,,,,,
107,18,mix,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<2;100>>,,,,,,
108,18,mix,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<3;100>>,,,,,,
109,18,mix,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<3;100>>,,,,,,
110,18,mix,in random events,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
111,19,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,Overlord,霸主,Overlord,404404,패왕,4,1,Extremely tough power ahead,極為艱難的力量在前方,Extremely tough power ahead,404404,강력한 힘이 앞에서 느껴집니다.,4,0.8,0.8,,,,,,,,
112,19,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,Overlord,霸主,Overlord,404404,패왕,4,1,Toughest power ahead,最為艱難的力量在前方,Toughest power ahead,404404,매우 강력한 힘이 앞에서 느껴집니다.,4,,,,,,,,,,
113,20,big treasure chest,big treasure chest,city/adventure/random_tower/icon_hhbx.png,,,Deluxe chest,豪華寶箱,Deluxe chest,404404,호화로운 보물상자,,3,Trainers who have overcome the huge challenge deserve to claim the reward,跨越巨大挑戰後才會配擁有此回報,Trainers who have overcome the huge challenge deserve to claim the reward,404404,거대한 도전을 끝내야만 보답을 얻을 수 있습니다.,,,,,,,2,60000,200,{libs=<501;503;504>},{libs=<506;505;>}
114,21,change layer,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,22,3 out of 1 passive,hybrid passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<101;20>;<102;20>;<103;20>;<200;300>;<1000;90>>,,,,,,
116,22,3 out of 1 passive,hybrid passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<101;20>;<102;20>;<103;20>;<200;300>;<1000;90>>,,,,,,
117,22,3 out of 1 passive,hybrid passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<2221;40>;<2222;40>;<2223;100>;<2224;100>>,,,,,,
10117,22,3 out of 1 passive,hybrid passive,city/adventure/random_tower/icon/icon_wz.png,,,Battle buff,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,,2,,,,,,,,,,<<2221;40>;<2222;40>;<2223;100>;<2224;100>>,,,,,,
118,23,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
119,23,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
120,23,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
121,23,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
122,23,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
123,23,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
124,24,Mixed box,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
10124,24,Mixed box,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
125,24,Mixed box,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
126,24,Mixed box,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;40>>,,,,,,
127,24,Mixed box,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
128,24,Mixed box,random event bad,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
129,24,Mixed box,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
130,24,Mixed box,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,14000,20,{libs=<504;504;>},
131,24,Mixed box,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
132,24,Mixed box,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
133,24,Mixed box,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
134,25,Rumble,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
135,25,Rumble,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
136,25,Rumble,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
137,25,Rumble,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
138,25,Rumble,random event bad,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
139,25,Rumble,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
140,25,Rumble,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,14000,20,{libs=<504;504;>},
141,25,Rumble,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
142,25,Rumble,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,-1,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
143,25,Rumble,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
144,26,Mixed solid supplement,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,-1,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
145,26,Mixed solid supplement,supply,city/adventure/random_tower/icon/icon_wz.png,-1,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
146,26,Mixed solid supplement,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
147,26,Mixed solid supplement,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
148,26,Mixed solid supplement,random event bad,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
149,26,Mixed solid supplement,in random events,city/adventure/random_tower/icon/icon_sj.png,0,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
150,26,Mixed solid supplement,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,14000,20,{libs=<504;504;>},
151,26,Mixed solid supplement,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
152,26,Mixed solid supplement,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
153,26,Mixed solid supplement,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
154,27,Mixed things,attribute bonus is small,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>>,,,,,,
155,27,Mixed things,supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
156,27,Mixed things,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;40>>,,,,,,
157,27,Mixed things,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,0,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<1;100>;<2;20>>,,,,,,
158,27,Mixed things,random event bad,city/adventure/random_tower/icon/icon_sj.png,-1,,Event,事件,Event,404404,사건,,4,Nobody knows what may happen next,誰也不知道會發生什麼,Nobody knows what may happen next,404404,무슨 일이 일어날지 아무도 모릅니다.,,,,,,<<1;100>;<2;10>>,,,,,
159,27,Mixed things,in random events,city/adventure/random_tower/icon/icon_sj.png,-1,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
160,27,Mixed things,small treasure chest,city/adventure/random_tower/icon_bx.png,,,Chest,寶箱,Chest,Bảo rương,보물상자,,3,Surprise Chest,不經意間發現的寶箱,Surprise Chest,404404,갑자기 보물상자를 발견했습니다.,,,,,,,1,14000,20,{libs=<504;504;>},
161,27,Mixed things,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,0.6,,,,,,,,
162,27,Mixed things,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,0.6,,,,,,,,
163,27,Mixed things,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,0.6,,,,,,,,
164,28,fighting,Simple,city/adventure/random_tower/icon/img_jddr@.png,,,Simple enemy,簡單的敵人,Simple enemy,404404,쉬운 적,1,1,Seems to be an easy opponent to beat,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,404404,쉽게 쓰러트릴 수 있는 상대 같습니다.,1,,,,,,,,,,
165,28,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
166,28,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
167,28,fighting,ordinary,city/adventure/random_tower/icon/img_ptdr@.png,,,Ordinary Enemy,普通的敵人,Ordinary Enemy,404404,평범한 적,2,1,"An opponent of decent strength, but not to be feared of",小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of",404404,조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,2,,,,,,,,,,
168,28,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
169,28,fighting,difficulty,city/adventure/random_tower/icon/img_kndr@.png,,,Difficult enemy,困難的敵人,Difficult enemy,404404,어려운 적,3,1,Please select your opponent wisely,請謹慎挑選對手,Please select your opponent wisely,404404,신중하게 상대를 선택하세요.,3,,,,,,,,,,
170,29,mix,Great supply,city/adventure/random_tower/icon/icon_wz.png,,,Combat supplies,戰鬥補給,Combat supplies,404404,전투 보급,,2,,,,,,,,,,<<5;100>>,,,,,,
171,29,mix,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<2;100>>,,,,,,
172,29,mix,Adding attributes,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<2;100>>,,,,,,
173,29,mix,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<3;100>>,,,,,,
174,29,mix,Big attribute bonus,city/adventure/random_tower/icon/icon_wz.png,,,Stats boost,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,,2,,,,,,,,,,<<3;100>>,,,,,,
175,29,mix,in random events,city/adventure/random_tower/icon/icon_sj.png,,,Event,事件,Event,404404,사건,,4,"Your choice may bring fortune, or catastrophe",你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","""당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.""",,,,,,<<2;100>;<3;10>>,,,,,
176,30,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,Overlord,霸主,Overlord,404404,패왕,4,1,Extremely tough power ahead,極為艱難的力量在前方,Extremely tough power ahead,404404,강력한 힘이 앞에서 느껴집니다.,4,0.8,0.8,,,,,,,,
177,30,BOSS,boss,city/adventure/random_tower/icon/img_boss@.png,,,Overlord,霸主,Overlord,404404,패왕,4,1,Toughest power ahead,最為艱難的力量在前方,Toughest power ahead,404404,매우 강력한 힘이 앞에서 느껴집니다.,4,,,,,,,,,,
