"﻿变量名",group,desc,desc_tw,desc_en,desc_kr,weight,icon,iconBg,buffColor,buffType,attrNatureType1,attrType1,attrNum1,attrType2,attrNum2,attrNatureType3,attrType3,attrNum3,supplyType,supplyTarget,supplyNum,pointType,pointValue,passiveSkill,effectTimes,skillgroup,onlyOne,limit,changeLib,belongLib,condition
1008,200,"Each time when you use the ultimate after casting a basic move, the damage will increase by 10%, which disappears when the ultimate is casted",每使用一次普攻或者小技能，下一次使用大招時傷害提升10%，使用大招後加成消失,"Each time when you use the ultimate after casting a basic move, the damage will increase by 10%, which disappears when the ultimate is casted",일반 공격 혹은 일반 스킬을 사용할 때마다 다음에 발동하는 필살기의 피해가 10% 증가한다. 필살기 사용 후 보너스가 사라진다.,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80008,,,TRUE,,,2,
1009,200,Damage reduces by 20% when HP of allied Pokémon falls below 40%,我方精靈生命值小於40%時，獲得20%傷害減免,Damage reduces by 20% when HP of allied Pokémon falls below 40%,아군 포켓몬 HP가 50% 미만일 때 피해 감소율이 20%씩 증가한다. 효과는 전투가 종료되기 전까지 지속된다.,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_blue,4,,,,,,,,,,,,,,80009,,,TRUE,,,5,
1010,200,"When the HP of allied Pokémons falls below 10%, life steal increases 50% more, but loses effect when HP is more than 10%",我方精靈生命值小於10%時，額外提升50%吸血，生命值大於10%時失效,"When the HP of allied Pokémons falls below 10%, life steal increases 50% more, but loses effect when HP is more than 10%",아군 포켓몬 HP가 30% 미만일 때 흡혈률이 추가로 30% 증가한다. 효과는 전투가 종료되기 전까지 지속된다.,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80010,,,TRUE,,,5,
1011,200,"Increases P.ATK and SP.DEF by 15% for each damage taken, stacking up to 3 times for 2 turns",每受到一次傷害提升15%物理和特殊防禦力，最多疊加3次，持續2回合,"Increases P.ATK and SP.DEF by 15% for each damage taken, stacking up to 3 times for 2 turns",피해를 받을 때마다 물리&특수 방어력이 15% 증가한다. 최대 중첩 수: 3회. 지속 시간: 2턴,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_blue,4,,,,,,,,,,,,,,80011,,,TRUE,,,7,
1012,200,Life steal increases by 5% when the Pokémon's current HP falls below 10%,精靈當前生命值每降低10%，提升5%吸血,Life steal increases by 5% when the Pokémon's current HP falls below 10%,포켓몬의 현재 HP가 10% 감소할 때마다 흡혈률이 5% 증가한다.,,city/adventure/random_tower/icon/icon_xx.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80012,,,TRUE,,,5,
1013,102,"Converts all of your life steal bonuses into shield (shield value = max. HP x life steal rate x 1.5), and the shield lasts for 2 turns",將自身所有的吸血加成轉化為自身的護盾值（護盾值=生命上限*吸血率*1.5），護盾持續2回合,"Converts all of your life steal bonuses into shield (shield value = max. HP x life steal rate x 1.5), and the shield lasts for 2 turns","""자신의 모든 흡혈 보너스가 자신의 실드치로 전환된다(실드치=최대 HP*흡혈률*1.5), 실드 지속 시간: 2턴""",,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80013,,,TRUE,1,9,,
1014,200,Immune to status conditions when is shielded,有護盾時免疫控制效果,Immune to status conditions when is shielded,실드가 있을 때 제어 효과에 면역된다.,,city/adventure/random_tower/icon/icon_qs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80014,,,TRUE,,,9,
1015,200,Allied Pokémons have a 5% chance of silencing the attacker for 1 turn when received attacks,我方精靈受到傷害時有5%概率沉默攻擊者一回合,Allied Pokémons have a 5% chance of silencing the attacker for 1 turn when received attacks,아군 포켓몬이 피해를 받으면 5%의 확률로 공격한 대상을 1턴 간 침묵시킨다.,,city/adventure/random_tower/icon/icon_kz.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80015,,,TRUE,,,7,
1016,1000,Gains additional 100 rage points when the battle begins,戰鬥開始時，額外獲得100怒氣值,Gains additional 100 rage points when the battle begins,전투 시작 시 분노치를 추가로 100 회복한다.,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80016,,,TRUE,,,,
1017,1000,Gains additional 100 rage points when the enemy is knocked out,擊敗敵人時，額外獲得100怒氣值,Gains additional 100 rage points when the enemy is knocked out,적 처치 시 분노치를 추가로 100 회복한다.,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80017,,,TRUE,,,,
1018,1000,Gains additional 100 rage points when attacked,受到傷害時，額外獲得100怒氣值,Gains additional 100 rage points when attacked,피해를 받으면 분노치를 추가로 100 회복한다.,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80018,,,TRUE,,,,
1019,101,Provides all Pokémons present with additional 5% of P.ATK and SP.ATK for its current type (only for primary type),給所有在場的精靈提供當前屬性種類*5%（只計算第一屬性）的物攻和特攻,Provides all Pokémons present with additional 5% of P.ATK and SP.ATK for its current type (only for primary type),스테이지 위에 있는 포켓몬에게 현재 포켓몬 타입 종류*5%(첫 번째 타입만 계산)의 물리 공격과 특수 공격을 제공한다.,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80019,,,TRUE,1,1,,
1020,1111,Specific type Pokémons (only for the primary type) can get a bonus of P.ATK and SP.ATK by 20% (one specific buff per type),特定屬性的精靈（只計算第一屬性）可以獲得20%的物攻和特攻屬性加成（每個屬性都做一個buff）,Specific type Pokémons (only for the primary type) can get a bonus of P.ATK and SP.ATK by 20% (one specific buff per type),매 전투마다 랜덤 포켓몬 1마리가 20%의 물리&특수 공격 보너스를 획득한다.,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80020,,,TRUE,,,2,
1021,102,An additional 5% of P.ATK and SP.ATK is given to the Pokémons with the most number of used types (only the primary types),計算上陣精靈的屬性（只計算第一屬性），對使用最多的屬性類型的精靈額外提升其數量*5%的物攻和特攻,An additional 5% of P.ATK and SP.ATK is given to the Pokémons with the most number of used types (only the primary types),"""스테이지 위에 있는 포켓의 타입을 계산하고(첫 번째 타입만 계산), 가장 많은 포켓몬 타입 종류의 개수*5%만큼 물리&특수 공격력이 증가한다.""",,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80021,,,TRUE,1,2,,
1022,1000,"When SP.ATK damage is dealt, critical hit rate is increased by 5% for 2 turns, stacking up to 4 times, and the duration of the stacks refreshes.",造成特攻傷害時，暴擊率提升5%，持續2回合，最多可疊加4次，疊加刷新持續時間,"When SP.ATK damage is dealt, critical hit rate is increased by 5% for 2 turns, stacking up to 4 times, and the duration of the stacks refreshes.",특수 공격 피해를 입히면 치명타율이 5% 증가한다. 지속 시간: 2턴. 최대 중첩 수: 4. 중첩 시 지속 시간이 리셋된다.,,city/adventure/random_tower/icon/icon_bj.png,city/adventure/random_tower/icon/box_orange.png,effect,4,,,,,,,,,,,,,,80022,,,TRUE,,,,
1023,1000,An additional 10% SP.ATK bonus is given for every 20% P.ATK bonus,每獲得20%特攻加成，可額外獲得10%物攻加成,An additional 10% SP.ATK bonus is given for every 20% P.ATK bonus,특수 공격 보너스를 20% 획득할 때마다 물리 공격 보너스를 추가로 10% 획득한다.,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80023,,,TRUE,1,,,
1024,1000,Increases critical damage by 20% and recovers 10% of max. HP when dealing critical hit,提升20%暴擊傷害，造成暴擊時回復自身生命上限10%的生命值,Increases critical damage by 20% and recovers 10% of max. HP when dealing critical hit,치명타 피해가 20% 증가한다. 치명타 시 자신의 HP 최대치의 10%만큼 회복한다.,,city/adventure/random_tower/icon/icon_bj.png,city/adventure/random_tower/icon/box_orange.png,effect_huang,4,,,,,,,,,,,,,,80024,,,TRUE,,,,
1025,1000,An additional 10% P.ATK bonus is given for every 20% SP.ATK bonus,每獲得20%物攻加成，可額外獲得10%特攻加成,An additional 10% P.ATK bonus is given for every 20% SP.ATK bonus,물리 공격 보너스를 20% 획득할 때마다 특수 공격 보너스를 추가로 10% 획득한다.,,city/adventure/random_tower/icon/icon_bj.png,city/adventure/random_tower/icon/box_orange.png,effect_huang,4,,,,,,,,,,,,,,80025,,,TRUE,,,,
1026,200,Dispels status conditions while dealing damage to enemies in status conditions and deals additional damage by 50% x  no. of turns remaining,對受控敵人造成傷害時解除其控制效果，並額外提升50%*剩餘回合數的傷害,Dispels status conditions while dealing damage to enemies in status conditions and deals additional damage by 50% x  no. of turns remaining,제어기의 영향을 받은 적을 공격 시 제어 효과를 해제하고 적에게 현재 HP의 20%에 해당하는 피해를 입힌다.,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80026,,,TRUE,1,,6,
1027,1000,"When dealing a critical hit, the critical hit damage dealt will increased by 20%, and 5% of the damage dealt will be restored as the user's HP.",造成特攻暴擊傷害時，額外提升20%此次暴擊傷害，並回復此傷害值5%的生命值,"When dealing a critical hit, the critical hit damage dealt will increased by 20%, and 5% of the damage dealt will be restored as the user's HP.",특수 공격 치명타 시 이번 치명타 피해가 20% 증가하고 입힌 피해의 5%만큼 HP를 회복한다.,,city/adventure/random_tower/icon/icon_bj.png,city/adventure/random_tower/icon/box_orange.png,effect_huang,4,,,,,,,,,,,,,,80027,,,TRUE,,,,
1028,1000,"On every final round, one of the status conditions on all allied Pokémons will be dispelled",每大回合結束時解除我方所有精靈隨機一種控制效果,"On every final round, one of the status conditions on all allied Pokémons will be dispelled",매번 턴 종료 후 아군 포켓몬에게 걸린 제어 효과를 랜덤으로 1개 해제한다.,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80028,,,TRUE,1,,,
1029,1111,"Calculates the continuous damage taken by the target during the attack, causing its remaining continuous damage value to take effect immediately",攻擊時結算目標身上的所有持續傷害，使其身上的剩餘持續傷害值立即生效,"Calculates the continuous damage taken by the target during the attack, causing its remaining continuous damage value to take effect immediately",공격 시 적 포켓몬에게 걸린 모든 지속 피해를 결산하여 남은 지속 피해 효과를 바로 대상에게 입힌다.,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80029,,,TRUE,,6,,
1030,200,"Debuff is removed at the beginning of each turn. For each debuff removed, the turn gains a 5% damage bonus.",每回合開始時解除自身身上的減益效果，每解除一個，該回合獲得5%傷害加成,"Debuff is removed at the beginning of each turn. For each debuff removed, the turn gains a 5% damage bonus.",턴이 시작할 때마다 자신의 디버프 효과를 1개 해제한다. 디버프 효과를 1개 해제할 때마다 피해 보너스&피해 감소율이 5% 증가한다. 최대 중첩 수: 4,,city/adventure/random_tower/icon/icon_nqhs.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80030,,,TRUE,,,6,
1031,103,"For every stack of continuous damage, the amount of damage the enemy receives increases by 5%",敵人每疊加一個持續傷害效果，受到的傷害提升5%,"For every stack of continuous damage, the amount of damage the enemy receives increases by 5%",공격받을 때마다 공격한 대상의 물리&특수 공격력을 5% 감소 시킨다. 최대 중첩 수: 6회,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80031,,,TRUE,,6,,
1032,200,"For every 2% life steal bonus, damage bonus increases by 1%",每有2%吸血加成，額外提升1%傷害加成,"For every 2% life steal bonus, damage bonus increases by 1%",흡혈 보너스가 2% 증가할 때마다 피해 보너스가 추가로 1%씩 증가한다.,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80032,,,TRUE,,,6,
1033,9999,"Damage reflection can reduce the enemy's P.ATK and SP.ATK by 5% for 2 turns, stacking up to 4 times",每次攻擊永久降低敵人10%物理和特殊攻擊力，持續2回合，最多疊加4層,"Damage reflection can reduce the enemy's P.ATK and SP.ATK by 5% for 2 turns, stacking up to 4 times",공격할 때마다 적의 물리&특수 공격력이 10% 감소한다. 지속 시간: 2턴. 최대 중첩 수: 4,,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80033,,,TRUE,,,7,
1034,200,"For every 2% life steal bonus, damage bonus increases by 1%",每有2%吸血加成，額外提升1%傷害加成,"For every 2% life steal bonus, damage bonus increases by 1%",흡혈 보너스가 2% 증가할 때마다 피해 보너스가 추가로 1%씩 증가한다.,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80034,,,TRUE,,,8,
1035,1111,"When dealing damage, additional damage is added to life steal effects",造成傷害時，可額外增加溢出吸血值的傷害,"When dealing damage, additional damage is added to life steal effects",피해를 입힌 후 현재 입힌 피해의 15%만큼 HP를 회복한다.,,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80035,,,TRUE,,8,,
1036,200,Each damage dealt include damage with additional shield value,每次造成傷害額外附加護盾值的傷害,Each damage dealt include damage with additional shield value,공격할 때마다 실드치의 피해가 추가된다.,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80036,,,TRUE,,,9,
1037,200,"When damage is dealt, additional damage equivalent to the current amount of shield / HP damage is increased and all current shield is removed",造成傷害時，額外提升 當前護盾/當前生命值 的傷害，並同時失去所有當前護盾值,"When damage is dealt, additional damage equivalent to the current amount of shield / HP damage is increased and all current shield is removed",피해를 입힐 때 현재 실드치&HP가 가하는 피해에 추가되지만 보유한 실드치가 전부 사라진다.,,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80037,,,TRUE,,,9,
1038,999,"In the next battle, allied Pokémons get a 100% chance of damage bonus after knocking down enemies for 2 turns",下一次戰鬥中，我方精靈擊殺敵人後可以獲得100%的攻擊力加成，持續2回合,"In the next battle, allied Pokémons get a 100% chance of damage bonus after knocking down enemies for 2 turns","""다음 전투에서, 아군 포켓몬이 적을 처치하면 2턴 간 100%의 공격력 보너스를 얻는다.""",,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80038,1,,,,,,
1039,999,"At the beginning of the next battle, the allied Pokémon that makes the first move deals double damage",下一次戰鬥開始時，我方第一隻行動的精靈造成雙倍傷害,"At the beginning of the next battle, the allied Pokémon that makes the first move deals double damage","""다음 전투 시작 시, 첫 번째로 행동하는 아군 포켓몬이 입히는 피해가 2배가 된다.""",,city/adventure/random_tower/icon/icon_gj.png,city/adventure/random_tower/icon/box_red.png,effect_huang,4,,,,,,,,,,,,,,80039,1,,,,,,
1040,9999,"At the beginning of the next battle, there will be a 15% chance the opponent’s current HP will be reduced by half. It will only be triggered when the on the first battle, and not be triggered in the subsequent battles",下一次戰鬥開始時，15%幾率對方敵人的當前生命值減半，只有第一次挑戰該戰鬥時可能觸發，之後挑戰不會觸發,"At the beginning of the next battle, there will be a 15% chance the opponent’s current HP will be reduced by half. It will only be triggered when the on the first battle, and not be triggered in the subsequent battles","""다음 전투 시작 시, 15%의 확률로 적 포켓몬 현재 HP의 절반을 감소 시킨다. 해당 효과는 처음 도전에서만 발동되고 이후에는 발동되지 않는다.""",,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect,4,,,,,,,,,,,,,,80040,1,,,,,,
1041,9999,"At the beginning of the next battle, the enemy has a 50% chance of fainting instantly (the probability applies to individual enemy)",下一次戰鬥開始時，敵人有50%概率直接死亡（每個敵人單獨計算概率）,"At the beginning of the next battle, the enemy has a 50% chance of fainting instantly (the probability applies to individual enemy)","""다음 전투 시작 시, 적이 50%의 확률로 바로 사망한다(적마다 단독으로 확률을 계산한다)""",,city/adventure/random_tower/icon/icon_yybm1.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80041,1,,,,,,
1042,200,Get an additional 2% damage reduction for every type of Pokémon used,每使用一種屬性的精靈，額外獲得2%的傷害減免,Get an additional 2% damage reduction for every type of Pokémon used,파티에 다른 타입의 포켓몬이 1마리 추가될 때마다 피해 감소율이 추가로 2% 획득한다.,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_huang,4,,,,,,,,,,,,,,80042,,,TRUE,,,1,
1043,1111,Allied Pokémon's immunity to status condition increases by 30%,我方全體精靈的免控率提升30%,Allied Pokémon's immunity to status condition increases by 30%,아군 전체 포켓몬의 제어 면역률이 30% 증가한다.,,city/adventure/random_tower/icon/icon_qhzl.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80043,,,TRUE,,,6,
1044,1000,"Every additional 5% of DEF (for Aether Paradise boost, special battle boost and buff boost) gives additional 5% of reflected damage",每5%額外防禦力（乙太樂園加成，特殊戰鬥加成，buff增益），提升5%反傷效果,"Every additional 5% of DEF (for Aether Paradise boost, special battle boost and buff boost) gives additional 5% of reflected damage","""방어력이 5%씩 추가로 증가할 때마다(에테르 파라다이스 보너스, 특수 전투 보너스, 버프), 반사 피해 효과가 5%씩 증가한다.""",,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80044,,,TRUE,,,,
1045,200,Gets a shield that is equivalent to 5% of damage received each time damage is dealt,每次造成傷害可以獲得傷害值5%的護盾值,Gets a shield that is equivalent to 5% of damage received each time damage is dealt,전투로 피해를 입힐 때마다 입힌 피해의 5%에 해당하는 실드치를 획득한다.,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80045,,,TRUE,,,9,
1046,200,Each point of over spilled HP recovery value is converted to 2 shield value,每點溢出生命回復值轉換為2點護盾值,Each point of over spilled HP recovery value is converted to 2 shield value,회복한 HP가 최대치를 넘으면 실드치 2pt로 전환된다.,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80046,,,TRUE,,,9,
1047,9999,"The first allied Pokémon that is being knocked out will be revived before its next turn, restoring 50% HP and 100% rage value. This effect can only be used once.",我方首只精靈陣亡時，會在下一回合行動開始前復活，回復50%生命值和100%怒氣值，此效果只可作用一場戰鬥,"The first allied Pokémon that is being knocked out will be revived before its next turn, restoring 50% HP and 100% rage value. This effect can only be used once.",아군 포켓몬 사망 시 다른 턴에 HP 50%와 분노치 100%를 가지고 부활한다. 해당 효과는 매 전투에서 1회만 발동한다.,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80047,1,,,,,,
1048,1111,Increases the status condition duration dealt by allied Pokémons by 1 turn,我方精靈的控制效果持續時間提升1回合,Increases the status condition duration dealt by allied Pokémons by 1 turn,턴이 시작될 때마다 20%의 확률로 적 랜덤 포켓몬을 1마리 기절시킨다.,,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80048,,,TRUE,,,6,
1049,200,Allied Pokémons increase ability of dealing status conditions by 20%,我方精靈控制幾率提升20%,Allied Pokémons increase ability of dealing status conditions by 20%,아군 포켓몬 제어 확률이 20% 증가한다.,,city/adventure/random_tower/icon/icon_zh.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80049,,,TRUE,,,6,
1050,1111,"Increase the duration of poisoning, bleeding, and burning by 1 turn",增加中毒、流血、灼燒持續時間1回合,"Increase the duration of poisoning, bleeding, and burning by 1 turn",전투 시작 후 첫 2턴 간 아군 중 물리 공격력이 가장 높은 포켓몬이 공격 후 50%의 확률로 추가 행동을 가진다.,,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80050,,,TRUE,,,6,
1051,200,"Increase damage caused by poisoning, bleeding and burning by 10%",增加10%中毒、流血、灼燒的傷害,"Increase damage caused by poisoning, bleeding and burning by 10%","""맹독, 출혈, 연소 피해가 10% 증가한다.""",,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect_huang,4,,,,,,,,,,,,,,80051,,,TRUE,,,6,
1052,999,All enemies are silence for 1 turn in the next battle,下一次戰鬥開始時，沉默所有敵人一回合,All enemies are silence for 1 turn in the next battle,"""다음 전투 시작 시, 모든 적 포켓몬을 1턴 간 침묵 상태로 만든다.""",,city/adventure/random_tower/icon/icon_kz.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80052,1,,,,,,
1053,999,All enemies fall asleep for 1 turn in the next battle,下一次戰鬥開始時，所有敵人陷入睡眠一回合,All enemies fall asleep for 1 turn in the next battle,"""다음 전투 시작 시, 모든 적 포켓몬을 1턴 간 수면 상태로 만든다.""",,city/adventure/random_tower/icon/icon_kz.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80053,1,,,,,,
1054,200,"At the start of the battle, all Pokémons get extra x50 rage points for its current type (primary type)",進入戰鬥時，所有精靈額外獲得當前屬性種類（只計第一屬性）*50的怒氣值,"At the start of the battle, all Pokémons get extra x50 rage points for its current type (primary type)","""전투 시작 시, 모든 포켓몬은 현재 포켓몬 타입 종류(첫 번째 타입만 계산)*50의 분노치를 추가로 획득한다.""",,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80054,,,TRUE,,,1,
1055,200,"If there are more than 4 Pokémons in the lineup with the same primary type, the initial anger value of the Pokémons with the specific type +500 at the beginning of the battle.",若陣容中有4只以上精靈第一屬性相同，則戰鬥開始時，該屬性精靈初始怒氣值+500,"If there are more than 4 Pokémons in the lineup with the same primary type, the initial anger value of the Pokémons with the specific type +500 at the beginning of the battle.",라인업에 4마리 이상의 첫 번째 포켓몬 타입이 동일하면 전투 시작 시 해당 속성의 포켓몬 초기 분노치가 500 증가한다.,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80055,,,TRUE,,,2,
1056,200,"When HP falls below 40%, the rage value recovery effect doubles",當生命值低於40%時，怒氣回復效果加倍,"When HP falls below 40%, the rage value recovery effect doubles",HP가 40% 미만 시 분노 회복 효과가 2배로 상승한다.,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80056,,,TRUE,,,5,
1057,999,"When the next battle begins, allied Pokémons will get an initial 1000 rage points",下一次開始戰鬥時，我方精靈獲得1000初始怒氣值,"When the next battle begins, allied Pokémons will get an initial 1000 rage points","""다음 전투 시작 시, 아군 포켓몬은 초기 분노치를 1000 획득한다.""",,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80057,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,200,Allied Pokémons gain a shield that is equal to the HP it lost at the start of the battle for 2 rounds,我方精靈戰鬥開始時獲得自身損失生命值的護盾值，持續2回合,Allied Pokémons gain a shield that is equal to the HP it lost at the start of the battle for 2 rounds,"""아군 포켓몬은 전투 시작 시, 자신이 손실한 HP만큼의 실드치를 획득한다. 지속 시간: 2턴""",,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,4,,,,,,,,,,,,,,80058,,,TRUE,,,5,
1101,200,"Allied Pokémons gain 8% damage reduction each time they lose 10% HP, this is only effecitve on the first round",我方精靈每損失10%生命值，獲得8%的傷害減免，該效果只在第一回合生效,"Allied Pokémons gain 8% damage reduction each time they lose 10% HP, this is only effecitve on the first round",아군 포켓몬이 HP를 10% 손실할 때마다 8%의 피해 감소를 획득한다. 해당 효과는 첫 턴에만 발동한다.,,city/adventure/random_tower/icon/icon_fy.png,city/adventure/random_tower/icon/box_blue.png,effect_lan,4,,,,,,,,,,,,,,80059,,,TRUE,,,5,
1102,9999,Resets the enemies' rage value to zero during the second round of the battle,戰鬥第二回合時清空敵方全體所有怒氣值,Resets the enemies' rage value to zero during the second round of the battle,전투 시작 후 2번째 턴에 모든 적 포켓몬은 모든 분노치를 잃는다.,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,,4,,,,,,,,,,,,,,80060,,,TRUE,1,,,
1103,1000,"When any of the allied Pokémon is defeated, the remaining surviving Pokémons gain 20% of its max. HP and 500 rage value",我方任意精靈陣亡時，其他存活精靈回復20%最大生命值和500怒氣值,"When any of the allied Pokémon is defeated, the remaining surviving Pokémons gain 20% of its max. HP and 500 rage value","""임의의 아군 포켓몬이 사망 시, 살아있는 포켓몬은 HP 최대치의 20%와 분노치를 500 회복한다.""",,city/adventure/random_tower/icon/icon_qhzl.png,city/adventure/random_tower/icon/box_green.png,effect_huang,4,,,,,,,,,,,,,,80061,,,TRUE,,,,
1104,1000,"At the end of the round, all allied Pokémons recover 15% of its lost HP",我方精靈回合結束時回復自身已損失生命值的15%,"At the end of the round, all allied Pokémons recover 15% of its lost HP",아군 포켓몬은 턴 종료 시 자신이 손실한 HP의 15%를 회복한다.,,city/adventure/random_tower/icon/icon_hx.png,city/adventure/random_tower/icon/box_pink.png,,4,,,,,,,,,,,,,,80062,,,TRUE,,,,
1105,1000,Gives 10% of chance to recover 100% rage level when allied Pokémon uses the ultimate skill,我方精靈使用必殺技時有10%概率立即回復100%怒氣值,Gives 10% of chance to recover 100% rage level when allied Pokémon uses the ultimate skill,아군 포켓몬이 필살기를 사용 시 10%의 확률로 분노치를 100% 회복한다.,,city/adventure/random_tower/icon/icon_hn.png,city/adventure/random_tower/icon/box_yellow.png,effect_huang,4,,,,,,,,,,,,,,80063,,,TRUE,,,,
1106,1000,Marks a random enemy Pokémon at the beginning of each round to increase its damage taken by an additional 50%,每回合開始標記隨機一名敵方精靈，使其受到的傷害額外提升50%,Marks a random enemy Pokémon at the beginning of each round to increase its damage taken by an additional 50%,매 턴이 시작될 때마다 적 포켓몬 랜덤 1마리에게 표식을 남겨 대상이 받는 피해를 추가로 50% 증가시킨다.,,city/adventure/random_tower/icon/icon_js1.png,city/adventure/random_tower/icon/box_red.png,effect,4,,,,,,,,,,,,,,80064,,,TRUE,,,,
