"﻿变量名",name,name_tw,name_en,name_vn,name_kr,languages,cardID,icon,desc,desc_tw,desc_en,desc_kr,desc1,desc1_tw,desc1_en,desc1_kr,quality,type,stackMax,effBtn,pageTag,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,effect,sortType,sortValue
,Spinarak·Z Awake Shard,圓絲蛛·Z覺醒碎片,Spinarak·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Orb Silk Spiders,,,,Z Awakening Cultivation for Raising Orb Silk Spiders,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,燈籠魚·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Brought Up for Raising Lantern Fish,,,,Z Awakening Brought Up for Raising Lantern Fish,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50861,Togepi·Z Awake Shard,波克比·Z覺醒碎片,Togepi·Z Awake Shard,,,,861,config/portrait/jinglingtouxiang/img_175_bkb@.png,Z Awakening Cultivation for Upgrading Bobbi,,,,Z Awakening Cultivation for Upgrading Bobbi,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,天然雀·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Natural Finches,,,,Z Awakening Cultivation for Raising Natural Finches,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50881,Mareep·Z Awake Shard,咩利羊·Z覺醒碎片,Mareep·Z Awake Shard,,,,881,config/portrait/jinglingtouxiang/img_179_mly@.png,Z Awakening cultivation for improving Mali sheep,,,,Z Awakening cultivation for improving Mali sheep,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
50891,Squirtle·Z Awake Shard,露力麗·Z覺醒碎片,Squirtle·Z Awake Shard,,,,891,config/portrait/jinglingtouxiang/img_298_lll@.png,Used to improve Lu Lili's Z Awakening Cultivation,,,,Used to improve Lu Lili's Z Awakening Cultivation,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Bonsly·Z Awake Shard,盆才怪·Z覺醒碎片,Bonsly·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Pot Caiguai,,,,Z Awakening Cultivation for Raising Pot Caiguai,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,毽子草·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,The Z-awakening cultivation used to improve Shunzicao,,,,The Z-awakening cultivation used to improve Shunzicao,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Aipom·Z Awake Shard,長尾挖掘機·Z覺醒碎片,Aipom·Z Awake Shard,,,,,,Z Awakening Brought Up for Raising Long Tail Excavators,,,,Z Awakening Brought Up for Raising Long Tail Excavators,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,向日種子·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening cultivation for raising Sun Seeds,,,,Z Awakening cultivation for raising Sun Seeds,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Yanma·Z Awake Shard,蜻蜻蜓·Z覺醒碎片,Yanma·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Dragonfly,,,,Z Awakening Cultivation for Raising Dragonfly,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,烏波·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Ascension of Wubo,,,,Z Awakening Cultivation for Ascension of Wubo,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Murkrow·Z Awake Shard,黑暗鴉·Z覺醒碎片,Murkrow·Z Awake Shard,,,,,,The Z Awakening cultivation used to improve the Dark Crow,,,,The Z Awakening cultivation used to improve the Dark Crow,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,夢妖·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation Used to Improve the Dream Demon,,,,Z Awakening Cultivation Used to Improve the Dream Demon,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Unknown totem·Z Awake Shard,未知圖騰·Z覺醒碎片,Unknown totem·Z Awake Shard,,,,,,Z Awakening Cultivation for Ascension of Unknown Totem,,,,Z Awakening Cultivation for Ascension of Unknown Totem,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,小果然·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,It is used to improve Xiao Guo's Z Awakening Cultivation,,,,It is used to improve Xiao Guo's Z Awakening Cultivation,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Girafarig·Z Awake Shard,麒麟奇·Z覺醒碎片,Girafarig·Z Awake Shard,,,,,,It is used to improve Qilinqi's Z Awakening cultivation,,,,It is used to improve Qilinqi's Z Awakening cultivation,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,榛果球·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening nurturing for raising Hazelnut Balls,,,,Z Awakening nurturing for raising Hazelnut Balls,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Dunsparce·Z Awake Shard,土龍弟弟·Z覺醒碎片,Dunsparce·Z Awake Shard,,,,,,It is used to improve the Z Awakening cultivation of the younger brother of the earth dragon,,,,It is used to improve the Z Awakening cultivation of the younger brother of the earth dragon,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51031,Squirtle·Z Awake Shard,天蠍·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1031,config/portrait/jinglingtouxiang/img_207_tx@.png,Z Awakening Cultivation for Raising Scorpio,,,,Z Awakening Cultivation for Raising Scorpio,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Snubbull·Z Awake Shard,布魯·Z覺醒碎片,Snubbull·Z Awake Shard,,,,,,Used to improve Bru's Z Awakening cultivation,,,,Used to improve Bru's Z Awakening cultivation,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,千針魚·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,The Z awakening cultivation used to improve the thousand needle fish,,,,The Z awakening cultivation used to improve the thousand needle fish,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Shuckle·Z Awake Shard,壺壺·Z覺醒碎片,Shuckle·Z Awake Shard,,,,,,Z Awakening cultivation for raising pot pots,,,,Z Awakening cultivation for raising pot pots,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51071,Squirtle·Z Awake Shard,赫拉克羅斯·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1071,config/portrait/jinglingtouxiang/img_214_hlkls@.png,Z Awakening cultivation for raising Heracross,,,,Z Awakening cultivation for raising Heracross,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51081,Sneasel·Z Awake Shard,狃拉·Z覺醒碎片,Sneasel·Z Awake Shard,,,,1081,config/portrait/jinglingtouxiang/img_215_nl@.png,Z Awakening Cultivation for Improving Yula,,,,Z Awakening Cultivation for Improving Yula,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,熊寶寶·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Baby Bears,,,,Z Awakening Cultivation for Raising Baby Bears,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Slugma·Z Awake Shard,熔岩蟲·Z覺醒碎片,Slugma·Z Awake Shard,,,,,,Z Awakening cultivation for improving Lava Worm,,,,Z Awakening cultivation for improving Lava Worm,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,小山豬·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Brought Up for Raising the Boar,,,,Z Awakening Brought Up for Raising the Boar,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Corsola·Z Awake Shard,太陽珊瑚·Z覺醒碎片,Corsola·Z Awake Shard,,,,,,Z Awakening cultivation for boosting Sun Coral,,,,Z Awakening cultivation for boosting Sun Coral,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,鐵炮魚·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,The Z awakening cultivation used to improve the iron gun fish,,,,The Z awakening cultivation used to improve the iron gun fish,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Delibird·Z Awake Shard,信使鳥·Z覺醒碎片,Delibird·Z Awake Shard,,,,,,Z Awakening Nurturing for Raising Messenger Birds,,,,Z Awakening Nurturing for Raising Messenger Birds,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,小球飛魚·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,It is used to improve the Z awakening cultivation of the small ball flying fish,,,,It is used to improve the Z awakening cultivation of the small ball flying fish,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Skarmory·Z Awake Shard,盔甲鳥·Z覺醒碎片,Skarmory·Z Awake Shard,,,,,,The Z Awakening cultivation used to upgrade the Armor Bird,,,,The Z Awakening cultivation used to upgrade the Armor Bird,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51171,Squirtle·Z Awake Shard,戴魯比·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1171,config/portrait/jinglingtouxiang/img_228_dlb@.png,It is used to improve the Z Awakening cultivation of Darubi,,,,It is used to improve the Z Awakening cultivation of Darubi,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Phanpy·Z Awake Shard,小小象·Z覺醒碎片,Phanpy·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising the Little Elephant,,,,Z Awakening Cultivation for Raising the Little Elephant,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,驚角鹿·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,It is used to improve the Z-awakening cultivation of Scary Horn Deer,,,,It is used to improve the Z-awakening cultivation of Scary Horn Deer,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Smeargle·Z Awake Shard,圖圖犬·Z覺醒碎片,Smeargle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Tutu Dog,,,,Z Awakening Cultivation for Raising Tutu Dog,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,大奶罐·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z awakening cultivation for raising the big milk tank,,,,Z awakening cultivation for raising the big milk tank,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51221,Raikou·Z Awake Shard,雷公·Z覺醒碎片,Raikou·Z Awake Shard,,,,1221,config/portrait/jinglingtouxiang/img_243_lg@.png,It is used to improve Leigong's Z Awakening cultivation,,,,It is used to improve Leigong's Z Awakening cultivation,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51231,Squirtle·Z Awake Shard,炎帝·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1231,config/portrait/jinglingtouxiang/img_244_yd@.png,It is used to improve Yandi's Z Awakening cultivation,,,,It is used to improve Yandi's Z Awakening cultivation,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51241,Suicune·Z Awake Shard,水君·Z覺醒碎片,Suicune·Z Awake Shard,,,,1241,config/portrait/jinglingtouxiang/img_245_sj@.png,Z Awakening Cultivation for Raising Suicune,,,,Z Awakening Cultivation for Raising Suicune,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51251,Squirtle·Z Awake Shard,幼基拉斯·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1251,config/portrait/jinglingtouxiang/img_246_yjls@.png,Z Awakening Cultivation Used to Raise Young Kiras,,,,Z Awakening Cultivation Used to Raise Young Kiras,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51261,Lugia·Z Awake Shard,洛奇亞·Z覺醒碎片,Lugia·Z Awake Shard,,,,1261,config/portrait/jinglingtouxiang/img_249_lqy@.png,Used to improve Lugia's Z Awakening cultivation,,,,Used to improve Lugia's Z Awakening cultivation,,,,6,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51271,Squirtle·Z Awake Shard,鳳王·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1271,config/portrait/jinglingtouxiang/img_250_fw@.png,Z Awakening Cultivation Used to Improve the Phoenix King,,,,Z Awakening Cultivation Used to Improve the Phoenix King,,,,6,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Celebi·Z Awake Shard,時拉比·Z覺醒碎片,Celebi·Z Awake Shard,,,,,config/portrait/jinglingtouxiang/img_251_slb@.png,It is used to raise Rabbi's Z Awakening cultivation,,,,It is used to raise Rabbi's Z Awakening cultivation,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51291,Squirtle·Z Awake Shard,木守宮·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1291,config/portrait/jinglingtouxiang/img_252_msg@.png,It is used to improve the Z awakening cultivation of Mu Shougong,,,,It is used to improve the Z awakening cultivation of Mu Shougong,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51301,Torchic·Z Awake Shard,火稚雞·Z覺醒碎片,Torchic·Z Awake Shard,,,,1301,config/portrait/jinglingtouxiang/img_255_hzj@.png,Z Awakening cultivation for raising fire chicken,,,,Z Awakening cultivation for raising fire chicken,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51311,Squirtle·Z Awake Shard,水躍魚·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1311,config/portrait/jinglingtouxiang/img_258_syy@.png,The Z Awakening cultivation used to improve the water jumping fish,,,,The Z Awakening cultivation used to improve the water jumping fish,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Poochyena·Z Awake Shard,土狼犬·Z覺醒碎片,Poochyena·Z Awake Shard,,,,,,The Z-awakening cultivation used to improve the Coyote,,,,The Z-awakening cultivation used to improve the Coyote,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,蛇紋熊·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Brought Up for Raising Serpentine,,,,Z Awakening Brought Up for Raising Serpentine,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Wurmple·Z Awake Shard,刺尾蟲·Z覺醒碎片,Wurmple·Z Awake Shard,,,,,,Z Awakening Upbrings for Raising Snailtails,,,,Z Awakening Upbrings for Raising Snailtails,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51351,Squirtle·Z Awake Shard,蓮葉童子·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1351,config/portrait/jinglingtouxiang/img_270_lytz@.png,It is used to improve the Z awakening cultivation of Lianye Boy,,,,It is used to improve the Z awakening cultivation of Lianye Boy,,,,3,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Seedot·Z Awake Shard,橡實果·Z覺醒碎片,Seedot·Z Awake Shard,,,,,,Z Awakening Brought Up for Raising Acorns,,,,Z Awakening Brought Up for Raising Acorns,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,傲骨燕·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,It is used to improve the Z awakening cultivation of the proud swallow,,,,It is used to improve the Z awakening cultivation of the proud swallow,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Wingull·Z Awake Shard,長翅鷗·Z覺醒碎片,Wingull·Z Awake Shard,,,,,,It is used to improve the Z awakening cultivation of long-winged gull,,,,It is used to improve the Z awakening cultivation of long-winged gull,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51391,Squirtle·Z Awake Shard,拉魯拉絲·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1391,config/portrait/jinglingtouxiang/img_280_llls@.png,Z Awakening Cultivation for Raising Lalu Lasi,,,,Z Awakening Cultivation for Raising Lalu Lasi,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Surskit·Z Awake Shard,溜溜糖球·Z覺醒碎片,Surskit·Z Awake Shard,,,,,,Z Awakening cultivation for raising Yo-Yo Ball,,,,Z Awakening cultivation for raising Yo-Yo Ball,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,蘑蘑菇·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Brought Up for Raising Mushrooms,,,,Z Awakening Brought Up for Raising Mushrooms,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51421,Slakoth·Z Awake Shard,懶人獺·Z覺醒碎片,Slakoth·Z Awake Shard,,,,1421,config/portrait/jinglingtouxiang/img_287_lrt@.png,Z Awakening Cultivation for Raising the Lazy Otter,,,,Z Awakening Cultivation for Raising the Lazy Otter,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,土居忍士·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Improving Ninjas,,,,Z Awakening Cultivation for Improving Ninjas,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51441,Whismur·Z Awake Shard,咕妞妞·Z覺醒碎片,Whismur·Z Awake Shard,,,,1441,config/portrait/jinglingtouxiang/img_293_gzz@.png,Used to improve Gu Niuniu's Z awakening development,,,,Used to improve Gu Niuniu's Z awakening development,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,幕下力士·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Makushita Wrestlers,,,,Z Awakening Cultivation for Raising Makushita Wrestlers,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Nosepass·Z Awake Shard,朝北鼻·Z覺醒碎片,Nosepass·Z Awake Shard,,,,,,Z Awakening Brought Up for Raising the Northward Nose,,,,Z Awakening Brought Up for Raising the Northward Nose,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,向尾喵·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,It is used to improve the Z awakening development of Xiangwei Meow,,,,It is used to improve the Z awakening development of Xiangwei Meow,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Sableye·Z Awake Shard,勾魂眼·Z覺醒碎片,Sableye·Z Awake Shard,,,,,,Z Awakening Cultivation for Improving Soul Eye,,,,Z Awakening Cultivation for Improving Soul Eye,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,大嘴娃·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,It is used to improve the Z Awakening cultivation of Big Mouth Baby,,,,It is used to improve the Z Awakening cultivation of Big Mouth Baby,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51501,Aron·Z Awake Shard,可哥朵拉·Z覺醒碎片,Aron·Z Awake Shard,,,,1501,config/portrait/jinglingtouxiang/img_304_kkdl@.png,Z Awakening Cultivation for Raising Cocoa Dora,,,,Z Awakening Cultivation for Raising Cocoa Dora,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,瑪沙那·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Masana,,,,Z Awakening Cultivation for Raising Masana,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Electrike·Z Awake Shard,落雷獸·Z覺醒碎片,Electrike·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising the Thunderbolt Beast,,,,Z Awakening Cultivation for Raising the Thunderbolt Beast,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,正電拍拍·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Improving Positive Tapping,,,,Z Awakening Cultivation for Improving Positive Tapping,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Minun·Z Awake Shard,負電拍拍·Z覺醒碎片,Minun·Z Awake Shard,,,,,,Z Awakening Cultivation for Improving Negatonic Beats,,,,Z Awakening Cultivation for Improving Negatonic Beats,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,電螢蟲·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Electric Fireflies,,,,Z Awakening Cultivation for Raising Electric Fireflies,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Illumise·Z Awake Shard,甜甜螢·Z覺醒碎片,Illumise·Z Awake Shard,,,,,,It is used to improve Tiantianying's Z awakening cultivation,,,,It is used to improve Tiantianying's Z awakening cultivation,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,含羞苞·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Mimosa,,,,Z Awakening Cultivation for Raising Mimosa,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Gulpin·Z Awake Shard,溶食獸·Z覺醒碎片,Gulpin·Z Awake Shard,,,,,,It is used to improve the Z awakening cultivation of the melting beast,,,,It is used to improve the Z awakening cultivation of the melting beast,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,利牙魚·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,The Z Awakening cultivation used to improve the toothfish,,,,The Z Awakening cultivation used to improve the toothfish,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Wailmer·Z Awake Shard,吼吼鯨·Z覺醒碎片,Wailmer·Z Awake Shard,,,,,,It is used to improve the Z Awakening cultivation of the Roaring Whale,,,,It is used to improve the Z Awakening cultivation of the Roaring Whale,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51611,Squirtle·Z Awake Shard,呆火駝·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1611,config/portrait/jinglingtouxiang/img_322_dht@.png,Z Awakening Cultivation for Improving the Silly Camel,,,,Z Awakening Cultivation for Improving the Silly Camel,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Torkoal·Z Awake Shard,煤炭龜·Z覺醒碎片,Torkoal·Z Awake Shard,,,,,,Z Awakening Brought Up for Raising the Coal Turtle,,,,Z Awakening Brought Up for Raising the Coal Turtle,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,跳跳豬·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening cultivation for improving Hopping Pig,,,,Z Awakening cultivation for improving Hopping Pig,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Spinda·Z Awake Shard,晃晃斑·Z覺醒碎片,Spinda·Z Awake Shard,,,,,config/portrait/jinglingtouxiang/img_323_pht@.png,Z Awakening Cultivation for Improving Shaking Spots,,,,Z Awakening Cultivation for Improving Shaking Spots,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,大顎蟻·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Used to improve the Z awakening cultivation of the mandible ants,,,,Used to improve the Z awakening cultivation of the mandible ants,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Cacnea·Z Awake Shard,刺球仙人掌·Z覺醒碎片,Cacnea·Z Awake Shard,,,,,,Z Awakening nurturing for boosting Prickly Ball Cactus,,,,Z Awakening nurturing for boosting Prickly Ball Cactus,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,青綿鳥·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,It is used to improve the Z awakening cultivation of Qingmianniao,,,,It is used to improve the Z awakening cultivation of Qingmianniao,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Zangoose·Z Awake Shard,貓鼬斬·Z覺醒碎片,Zangoose·Z Awake Shard,,,,,,Z Awakening perks for improving Mongoose Slash,,,,Z Awakening perks for improving Mongoose Slash,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,飯匙蛇·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation Used to Raise Rice Spoon Snake,,,,Z Awakening Cultivation Used to Raise Rice Spoon Snake,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Lunatone·Z Awake Shard,月石·Z覺醒碎片,Lunatone·Z Awake Shard,,,,,,Z Awakening cultivation for raising Moonstone,,,,Z Awakening cultivation for raising Moonstone,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,太陽岩·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening cultivation for raising Sun Rock,,,,Z Awakening cultivation for raising Sun Rock,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Barboach·Z Awake Shard,泥泥鰍·Z覺醒碎片,Barboach·Z Awake Shard,,,,,,The Z awakening cultivation used to improve the loach,,,,The Z awakening cultivation used to improve the loach,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,龍蝦小兵·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z awakening cultivation for improving lobster minions,,,,Z awakening cultivation for improving lobster minions,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Baltoy·Z Awake Shard,天秤偶·Z覺醒碎片,Baltoy·Z Awake Shard,,,,,,Z Awakening Cultivation for Improving the Libra Idol,,,,Z Awakening Cultivation for Improving the Libra Idol,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,觸手百合·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Tentacle Lily,,,,Z Awakening Cultivation for Raising Tentacle Lily,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Anorith·Z Awake Shard,太古羽蟲·Z覺醒碎片,Anorith·Z Awake Shard,,,,,,It is used to improve the Z awakening cultivation of the ancient feather insect,,,,It is used to improve the Z awakening cultivation of the ancient feather insect,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,醜醜魚·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,config/portrait/jinglingtouxiang/img_349_ccy@.png,Z Awakening cultivation for raising Ugly Fish,,,,Z Awakening cultivation for raising Ugly Fish,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Castform·Z Awake Shard,飄浮泡泡·Z覺醒碎片,Castform·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Floating Bubbles,,,,Z Awakening Cultivation for Raising Floating Bubbles,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
,Squirtle·Z Awake Shard,變隱龍·Z覺醒碎片,Squirtle·Z Awake Shard,,,,,,Z Awakening Cultivation for Raising Chameleon,,,,Z Awakening Cultivation for Raising Chameleon,,,,,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51801,Shuppet·Z Awake Shard,怨影娃娃·Z覺醒碎片,Shuppet·Z Awake Shard,,,,1801,config/portrait/jinglingtouxiang/img_353_yyww@.png,Z Awakening Cultivation for Raising Shadow Dolls,,,,Z Awakening Cultivation for Raising Shadow Dolls,,,,4,,,,,zawakeFragExclusive,,,,,,,,,,,,,
51811,Squirtle·Z Awake Shard,夜巡靈·Z覺醒碎片,Squirtle·Z Awake Shard,,,,1811,config/portrait/jinglingtouxiang/img_355_yxl@.png,Z Awakening Cultivation Used to Improve the Night Watchman,,,,Z Awakening Cultivation Used to Improve the Night Watchman,,,,5,,,,,zawakeFragExclusive,,,,,,,,,,,,,
