"﻿变量名",effectType,target,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,effectDesc,effectDesc_tw,effectDesc_en,effectDesc_vn,effectDesc_kr
30,1,<>,,23,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
31,1,<>,,23,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
32,1,<>,,23,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
33,1,<>,,23,<100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
,,,,,,,,,,,,,,,,,,,,
34,2,<>,61506,,,,,,,,,,,,,%s,%s,%s,%s,%s
35,1,<>,,1,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,13,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,7,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,8,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,9,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,10,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가
36,1,<>,,17,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
37,1,<>,,19,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
38,1,<>,,33,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
39,1,<>,,35,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
40,1,<>,,16,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
,,,,,,,,,,,,,,,,,,,,
41,2,<>,61509,,,,,,,,,,,,,%s,%s,%s,%s,%s
42,1,<>,,1,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,13,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,7,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,8,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,9,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,10,<0.3%;0.6%;0.9%;1.2%;1.5%;1.8%;2.1%;2.4%;2.7%;3%;3.3%;3.6%;3.9%;4.2%;4.5%;4.8%;5.1%;5.4%;5.7%;6%;>,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가
43,1,<>,,11,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s 증가#F50##C0x5C9970#%s#C0x5B545B##F40#증가
44,1,<>,,12,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s 증가#F50##C0x5C9970#%s#C0x5B545B##F40#증가
45,1,<>,,32,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s 증가#F50##C0x5C9970#%s#C0x5B545B##F40#증가
46,1,<>,,34,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s 증가#F50##C0x5C9970#%s#C0x5B545B##F40#증가
47,1,<>,,14,<300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;300;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s 증가#F50##C0x5C9970#%s#C0x5B545B##F40#증가
,,,,,,,,,,,,,,,,,,,,
48,2,<>,61507,,,,,,,,,,,,,%s,%s,%s,%s,%s
49,1,<>,,1,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,13,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,7,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,8,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,9,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,10,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가
50,1,<>,,93,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
51,1,<>,,28,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
52,1,<>,,25,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
53,1,<>,,16,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
54,1,<>,,23,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
,,,,,,,,,,,,,,,,,,,,
55,2,<>,61511,,,,,,,,,,,,,%s,%s,%s,%s,%s
56,1,<>,,1,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,13,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,7,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,8,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,9,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,10,<0.6%;1.2%;1.8%;2.4%;3%;3.6%;4.2%;4.8%;5.4%;6%;6.9%;7.8%;8.7%;9.6%;10.5%;11.4%;12.3%;13.2%;14.1%;15%>,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#全體精靈基礎屬性提升#F50##C0x5C9970#%s,#C0x5B545B##F40#Base stats of all Pokémons increases by #F50##C0x5C9970#%s,#C0x5B545B##F40# Thuộc tính cơ bản toàn bộ Pokémon tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#모든 포켓몬의 기본 스탯 #F50##C0x5C9970#%s#C0x5B545B##F40#증가
57,1,<>,,92,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+3:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+3 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
58,1,<>,,15,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+6:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+6 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
59,1,<>,,24,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+9:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+9 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
60,1,<>,,14,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+12:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+12 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
61,1,<>,,22,<500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;500;>,,,,,,,,,,,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15時啟動: 全體精靈%s提升#F50##C0x5C9970#%s,#C0x5B545B##F40# Activate at+15:  All Pokémons %s increases by #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 kích hoạt: toàn bộ Pokémon %s tăng #F50##C0x5C9970#%s,#C0x5B545B##F40#+15 시 활성화: 모든 포켓몬의 %s #F50##C0x5C9970#%s#C0x5B545B##F40#증가
