"﻿变量名",randomLibID,drawWeight,drawWeightFix,attrsDesc,attrsDesc_tw,attrsDesc_en,attrsDesc_vn,attrsDesc_kr,recastWeight,recastWeightFix,attrType1,attrNum1,attrType2,attrNum2
190,30004,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<45;68;90;113>,,
191,30004,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<45;68;90;113>,,
201,30005,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<600;840;1080;1320>,,
202,30005,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1.5%;1.95%;2.4%;2.85%>,,
203,30005,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<84;118;151;185>,10,<84;118;151;185>
204,30005,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<1.5%;1.95%;2.4%;2.85%>,10,<1.5%;1.95%;2.4%;2.85%>
205,30005,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<45;68;90;113>,,
206,30005,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<45;68;90;113>,,
207,30005,200,0,Reflect,反彈,Reflect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,27,<45;68;90;113>,,
208,30005,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<45;68;90;113>,,
209,30005,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<45;68;90;113>,,
210,30005,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<45;68;90;113>,,
211,30005,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<45;68;90;113>,,
221,30006,200,0,Anger recovery speed,怒氣回復速度,Anger recovery speed,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,5,<45;68;90;113>,,
222,30006,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<120;168;216;264>,8,<120;168;216;264>
223,30006,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<1.5%;1.95%;2.4%;2.85%>,8,<1.5%;1.95%;2.4%;2.85%>
224,30006,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<45;68;90;113>,12,<45;68;90;113>
225,30006,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<45;68;90;113>,,
226,30006,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<45;68;90;113>,,
227,30006,200,0,Life steal,吸血,Life steal,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,26,<45;68;90;113>,,
228,30006,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<45;68;90;113>,,
229,30006,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<45;68;90;113>,,
230,30006,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<45;68;90;113>,,
241,40001,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<800;1120;1440;1760>,,
242,40001,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<2%;2.6%;3.2%;3.8%>,,
243,40001,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<112;157;202;246>,10,<112;157;202;246>
244,40001,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<2%;2.6%;3.2%;3.8%>,10,<2%;2.6%;3.2%;3.8%>
245,40001,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<60;90;120;150>,,
246,40001,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<60;90;120;150>,,
247,40001,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<60;90;120;150>,,
248,40001,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<60;90;120;150>,,
249,40001,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<60;90;120;150>,,
250,40001,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<60;90;120;150>,,
261,40002,100,0,Fixed speed,固定速度,Fixed speed,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,13,<8;11;14;18>,,
262,40002,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<160;224;288;352>,8,<160;224;288;352>
263,40002,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<2%;2.6%;3.2%;3.8%>,8,<2%;2.6%;3.2%;3.8%>
264,40002,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<60;90;120;150>,12,<60;90;120;150>
265,40002,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<60;90;120;150>,,
266,40002,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<60;90;120;150>,,
267,40002,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<60;90;120;150>,,
268,40002,200,0,Control rate,控制率,Control rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,90,<60;90;120;150>,,
269,40002,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<60;90;120;150>,,
270,40002,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<60;90;120;150>,,
281,40003,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<800;1120;1440;1760>,,
282,40003,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<2%;2.6%;3.2%;3.8%>,,
283,40003,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<112;157;202;246>,10,<112;157;202;246>
284,40003,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<2%;2.6%;3.2%;3.8%>,10,<2%;2.6%;3.2%;3.8%>
285,40003,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<60;90;120;150>,,
286,40003,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<60;90;120;150>,,
287,40003,200,0,Reflect,反彈,Reflect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,27,<60;90;120;150>,,
288,40003,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<60;90;120;150>,,
289,40003,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<60;90;120;150>,,
290,40003,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<60;90;120;150>,,
291,40003,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<60;90;120;150>,,
301,40004,200,0,Fixed speed,固定速度,Fixed speed,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,13,<8;11;14;18>,,
302,40004,200,0,Anger recovery speed,怒氣回復速度,Anger recovery speed,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,5,<60;90;120;150>,,
303,40004,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<160;224;288;352>,8,<160;224;288;352>
304,40004,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<2%;2.6%;3.2%;3.8%>,8,<2%;2.6%;3.2%;3.8%>
305,40004,200,0,Percentage P. & Sp. DEF Ignorance,百分比雙防忽視,Percentage P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<60;90;120;150>,12,<60;90;120;150>
306,40004,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<60;90;120;150>,,
307,40004,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<60;90;120;150>,,
308,40004,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<60;90;120;150>,,
309,40004,200,0,Control rate,控制率,Control rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,90,<60;90;120;150>,,
310,40004,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<60;90;120;150>,,
311,40004,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<60;90;120;150>,,
321,40005,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<800;1120;1440;1760>,,
322,40005,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<2%;2.6%;3.2%;3.8%>,,
323,40005,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<112;157;202;246>,10,<112;157;202;246>
324,40005,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<2%;2.6%;3.2%;3.8%>,10,<2%;2.6%;3.2%;3.8%>
325,40005,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<60;90;120;150>,,
326,40005,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<60;90;120;150>,,
327,40005,200,0,Reflect,反彈,Reflect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,27,<60;90;120;150>,,
328,40005,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<60;90;120;150>,,
329,40005,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<60;90;120;150>,,
330,40005,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<60;90;120;150>,,
331,40005,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<60;90;120;150>,,
341,40006,200,0,Anger recovery speed,怒氣回復速度,Anger recovery speed,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,5,<60;90;120;150>,,
342,40006,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<160;224;288;352>,8,<160;224;288;352>
343,40006,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<2%;2.6%;3.2%;3.8%>,8,<2%;2.6%;3.2%;3.8%>
344,40006,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<60;90;120;150>,12,<60;90;120;150>
345,40006,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<60;90;120;150>,,
346,40006,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<60;90;120;150>,,
347,40006,200,0,Life steal,吸血,Life steal,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,26,<60;90;120;150>,,
348,40006,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<60;90;120;150>,,
349,40006,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;100>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<60;90;120;150>,,
350,40006,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;100>;<31;999999;100>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<60;90;120;150>,,
361,50001,200,0,Fixed HP,固定生命,Fixed HP,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<1120;1568;2016;2464>,,
362,50001,200,0,Percentage of HP,百分比生命,Percentage of HP,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,1,<2.8%;3.64%;4.48%;5.32%>,,
363,50001,200,0,Fixed P. & Sp. DEF,固定雙防,Fixed P. & Sp. DEF,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<157;220;283;345>,10,<157;220;283;345>
364,50001,200,0,Percentage P. & Sp. DEF,百分比雙防,Percentage P. & Sp. DEF,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,9,<2.8%;3.64%;4.48%;5.32%>,10,<2.8%;3.64%;4.48%;5.32%>
365,50001,200,0,CRI RES,暴擊抗性,CRI RES,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,16,<84;126;168;210>,,
366,50001,200,0,Heal effect,治療效果,Heal effect,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,28,<84;126;168;210>,,
367,50001,200,0,Block,抵禦,Block,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,17,<84;126;168;210>,,
368,50001,200,0,Control resist rate,免疫控制率,Control resist rate,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,91,<84;126;168;210>,,
369,50001,200,0,DMG reduction,傷害減免,DMG reduction,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,23,<84;126;168;210>,,
370,50001,200,0,Ultimate Skill resistance,必殺抗性,Ultimate Skill resistance,lib404,lib404,<<0;10;50>;<11;20;50>;<21;30;100>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,25,<84;126;168;210>,,
381,50002,100,0,Fixed speed,固定速度,Fixed speed,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,13,<11;15;20;24>,,
382,50002,200,0,Fixed P. & Sp. ATK,固定雙攻,Fixed P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<224;314;403;493>,8,<224;314;403;493>
383,50002,200,0,Percentage P. & Sp. ATK,百分比雙攻,Percentage P. & Sp. ATK,lib404,lib404,<<0;10;200>;<11;20;200>;<21;30;200>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,7,<2.8%;3.64%;4.48%;5.32%>,8,<2.8%;3.64%;4.48%;5.32%>
384,50002,200,0,P. & Sp. DEF Ignorance,雙防忽視,P. & Sp. DEF Ignorance,lib404,lib404,<<0;10;100>;<11;20;150>;<21;30;150>;<31;999999;200>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,11,<84;126;168;210>,12,<84;126;168;210>
385,50002,200,0,Crit,暴擊,Crit,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,14,<84;126;168;210>,,
386,50002,200,0,CRI DMG,暴擊傷害,CRI DMG,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,15,<84;126;168;210>,,
387,50002,200,0,Block Break rate,破抵禦,Block Break rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,18,<84;126;168;210>,,
388,50002,200,0,Control rate,控制率,Control rate,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,90,<84;126;168;210>,,
389,50002,200,0,ATK bonus,傷害加成,ATK bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,22,<84;126;168;210>,,
390,50002,200,0,Ultimate Skill bonus,必殺加成,Ultimate Skill bonus,lib404,lib404,<<0;10;50>;<11;20;100>;<21;30;150>;<31;999999;150>>,<<0;10;0>;<11;20;0>;<21;30;0>;<31;999999;0>>,24,<84;126;168;210>,,
