变量名,name,name_tw,name_en,name_vn,name_kr,_beizhu,isShow,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,quality,use,type,stackMax,specialArgsMap,specialArgsMap_kr,specialArgsMap_en,specialArgsMap_tw,effBtn,pageTag,sellPrice,autoSell,sortType,sortValue,fragID,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_vn,produceDesc_kr,effect,rebirthRMB,dateType,expireDate,expireTime,timeOut,gateDropC,drawItemsLibC,regain,isLimitDrop
1313,Normal level - Chapter 21,第21章普通關卡,Normal level - Chapter 21,404404,제 21 장 일반 스테이지,第21章普通关卡3星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=60;gold=95000},{519=1;talent_point=1;rmb=60;gold=95000},{519=1;talent_point=1;rmb=60;gold=95000},{519=1;talent_point=1;rmb=60;gold=95000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1321,Normal level - Chapter 22,第22章普通關卡,Normal level - Chapter 22,404404,제 22 장 일반 스테이지,第22章普通关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{talent_point=1;rmb=10;gold=48000},{talent_point=1;rmb=10;gold=48000},{talent_point=1;rmb=10;gold=48000},{talent_point=1;rmb=10;gold=48000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1322,Normal level - Chapter 22,第22章普通關卡,Normal level - Chapter 22,404404,제 22 장 일반 스테이지,第22章普通关卡2星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{talent_point=1;rmb=30;gold=56000},{talent_point=1;rmb=30;gold=56000},{talent_point=1;rmb=30;gold=56000},{talent_point=1;rmb=30;gold=56000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1323,Normal level - Chapter 22,第22章普通關卡,Normal level - Chapter 22,404404,제 22 장 일반 스테이지,第22章普通关卡3星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=60;gold=100000},{519=1;talent_point=1;rmb=60;gold=100000},{519=1;talent_point=1;rmb=60;gold=100000},{519=1;talent_point=1;rmb=60;gold=100000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1331,Normal level - Chapter 23,第23章普通關卡,Normal level - Chapter 23,404404,제 23 장 일반 스테이지,第23章普通关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{talent_point=1;rmb=10;gold=50000},{talent_point=1;rmb=10;gold=50000},{talent_point=1;rmb=10;gold=50000},{talent_point=1;rmb=10;gold=50000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1332,Normal level - Chapter 23,第23章普通關卡,Normal level - Chapter 23,404404,제 23 장 일반 스테이지,第23章普通关卡2星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{talent_point=1;rmb=30;gold=58000},{talent_point=1;rmb=30;gold=58000},{talent_point=1;rmb=30;gold=58000},{talent_point=1;rmb=30;gold=58000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1333,Normal level - Chapter 23,第23章普通關卡,Normal level - Chapter 23,404404,제 23 장 일반 스테이지,第23章普通关卡3星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=60;gold=105000},{519=1;talent_point=1;rmb=60;gold=105000},{519=1;talent_point=1;rmb=60;gold=105000},{519=1;talent_point=1;rmb=60;gold=105000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1341,Normal level - Chapter 24,第24章普通關卡,Normal level - Chapter 24,404404,제 24 장 일반 스테이지,第24章普通关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{talent_point=1;rmb=10;gold=52000},{talent_point=1;rmb=10;gold=52000},{talent_point=1;rmb=10;gold=52000},{talent_point=1;rmb=10;gold=52000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1342,Normal level - Chapter 24,第24章普通關卡,Normal level - Chapter 24,404404,제 24 장 일반 스테이지,第24章普通关卡2星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{talent_point=1;rmb=30;gold=60000},{talent_point=1;rmb=30;gold=60000},{talent_point=1;rmb=30;gold=60000},{talent_point=1;rmb=30;gold=60000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1343,Normal level - Chapter 24,第24章普通關卡,Normal level - Chapter 24,404404,제 24 장 일반 스테이지,第24章普通关卡3星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=60;gold=110000},{519=1;talent_point=1;rmb=60;gold=110000},{519=1;talent_point=1;rmb=60;gold=110000},{519=1;talent_point=1;rmb=60;gold=110000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1351,Normal level - Chapter 25,第25章普通關卡,Normal level - Chapter 25,404404,제 25 장 일반 스테이지,第25章普通关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{talent_point=1;rmb=10;gold=54000},{talent_point=1;rmb=10;gold=54000},{talent_point=1;rmb=10;gold=54000},{talent_point=1;rmb=10;gold=54000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1352,Normal level - Chapter 25,第25章普通關卡,Normal level - Chapter 25,404404,제 25 장 일반 스테이지,第25章普通关卡2星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{talent_point=1;rmb=30;gold=62000},{talent_point=1;rmb=30;gold=62000},{talent_point=1;rmb=30;gold=62000},{talent_point=1;rmb=30;gold=62000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1353,Normal level - Chapter 25,第25章普通關卡,Normal level - Chapter 25,404404,제 25 장 일반 스테이지,第25章普通关卡3星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=60;gold=115000},{519=1;talent_point=1;rmb=60;gold=115000},{519=1;talent_point=1;rmb=60;gold=115000},{519=1;talent_point=1;rmb=60;gold=115000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1501,Elite level - Chapter 1,第1章精英關卡,Elite level - Chapter 1,404404,제 1 장 정예 스테이지,第1章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=20000},{519=1;talent_point=1;rmb=100;gold=20000},{519=1;talent_point=1;rmb=100;gold=20000},{519=1;talent_point=1;rmb=100;gold=20000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1511,Elite level - Chapter 2,第2章精英關卡,Elite level - Chapter 2,404404,제 2 장 정예 스테이지,第2章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=24000},{519=1;talent_point=1;rmb=100;gold=24000},{519=1;talent_point=1;rmb=100;gold=24000},{519=1;talent_point=1;rmb=100;gold=24000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1521,Elite level - Chapter 3,第3章精英關卡,Elite level - Chapter 3,404404,제 3 장 정예 스테이지,第3章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=32000},{519=1;talent_point=1;rmb=100;gold=32000},{519=1;talent_point=1;rmb=100;gold=32000},{519=1;talent_point=1;rmb=100;gold=32000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1531,Elite level - Chapter 4,第4章精英關卡,Elite level - Chapter 4,404404,제 4 장 정예 스테이지,第4章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=40000},{519=1;talent_point=1;rmb=100;gold=40000},{519=1;talent_point=1;rmb=100;gold=40000},{519=1;talent_point=1;rmb=100;gold=40000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1541,Elite level - Chapter 5,第5章精英關卡,Elite level - Chapter 5,404404,제 5 장 정예 스테이지,第5章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=48000},{519=1;talent_point=1;rmb=100;gold=48000},{519=1;talent_point=1;rmb=100;gold=48000},{519=1;talent_point=1;rmb=100;gold=48000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1551,Elite level - Chapter 6,第6章精英關卡,Elite level - Chapter 6,404404,제 6 장 정예 스테이지,第6章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=56000},{519=1;talent_point=1;rmb=100;gold=56000},{519=1;talent_point=1;rmb=100;gold=56000},{519=1;talent_point=1;rmb=100;gold=56000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1561,Elite level - Chapter 7,第7章精英關卡,Elite level - Chapter 7,404404,제 7 장 정예 스테이지,第7章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=64000},{519=1;talent_point=1;rmb=100;gold=64000},{519=1;talent_point=1;rmb=100;gold=64000},{519=1;talent_point=1;rmb=100;gold=64000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1571,Elite level - Chapter 8,第8章精英關卡,Elite level - Chapter 8,404404,제 8 장 정예 스테이지,第8章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=72000},{519=1;talent_point=1;rmb=100;gold=72000},{519=1;talent_point=1;rmb=100;gold=72000},{519=1;talent_point=1;rmb=100;gold=72000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1581,Elite level - Chapter 9,第9章精英關卡,Elite level - Chapter 9,404404,제 9 장 정예 스테이지,第9章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=80000},{519=1;talent_point=1;rmb=100;gold=80000},{519=1;talent_point=1;rmb=100;gold=80000},{519=1;talent_point=1;rmb=100;gold=80000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1591,Elite level - Chapter 10,第10章精英關卡,Elite level - Chapter 10,404404,제 10 장 정예 스테이지,第10章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=88000},{519=1;talent_point=1;rmb=100;gold=88000},{519=1;talent_point=1;rmb=100;gold=88000},{519=1;talent_point=1;rmb=100;gold=88000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1601,Elite level - Chapter 11,第11章精英關卡,Elite level - Chapter 11,404404,제 11 장 정예 스테이지,第11章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=96000},{519=1;talent_point=1;rmb=100;gold=96000},{519=1;talent_point=1;rmb=100;gold=96000},{519=1;talent_point=1;rmb=100;gold=96000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1611,Elite level - Chapter 12,第12章精英關卡,Elite level - Chapter 12,404404,제 12 장 정예 스테이지,第12章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=104000},{519=1;talent_point=1;rmb=100;gold=104000},{519=1;talent_point=1;rmb=100;gold=104000},{519=1;talent_point=1;rmb=100;gold=104000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1621,Elite level - Chapter 13,第13章精英關卡,Elite level - Chapter 13,404404,제 13 장 정예 스테이지,第13章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=112000},{519=1;talent_point=1;rmb=100;gold=112000},{519=1;talent_point=1;rmb=100;gold=112000},{519=1;talent_point=1;rmb=100;gold=112000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1631,Elite level - Chapter 14,第14章精英關卡,Elite level - Chapter 14,404404,제 14 장 정예 스테이지,第14章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=120000},{519=1;talent_point=1;rmb=100;gold=120000},{519=1;talent_point=1;rmb=100;gold=120000},{519=1;talent_point=1;rmb=100;gold=120000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1641,Elite level - Chapter 15,第15章精英關卡,Elite level - Chapter 15,404404,제 15 장 정예 스테이지,第15章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=130000},{519=1;talent_point=1;rmb=100;gold=130000},{519=1;talent_point=1;rmb=100;gold=130000},{519=1;talent_point=1;rmb=100;gold=130000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1651,Elite level - Chapter 16,第16章精英關卡,Elite level - Chapter 16,404404,제 16 장 정예 스테이지,第16章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=140000},{519=1;talent_point=1;rmb=100;gold=140000},{519=1;talent_point=1;rmb=100;gold=140000},{519=1;talent_point=1;rmb=100;gold=140000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1661,Elite level - Chapter 17,第17章精英關卡,Elite level - Chapter 17,404404,제 17 장 정예 스테이지,第17章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=150000},{519=1;talent_point=1;rmb=100;gold=150000},{519=1;talent_point=1;rmb=100;gold=150000},{519=1;talent_point=1;rmb=100;gold=150000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1671,Elite level - Chapter 18,第18章精英關卡,Elite level - Chapter 18,404404,제 18 장 정예 스테이지,第18章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=160000},{519=1;talent_point=1;rmb=100;gold=160000},{519=1;talent_point=1;rmb=100;gold=160000},{519=1;talent_point=1;rmb=100;gold=160000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1681,Elite level - Chapter 19,第19章精英關卡,Elite level - Chapter 19,404404,제 19 장 정예 스테이지,第19章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=170000},{519=1;talent_point=1;rmb=100;gold=170000},{519=1;talent_point=1;rmb=100;gold=170000},{519=1;talent_point=1;rmb=100;gold=170000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1691,Elite level - Chapter 20,第20章精英關卡,Elite level - Chapter 20,404404,제 20 장 정예 스테이지,第20章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=180000},{519=1;talent_point=1;rmb=100;gold=180000},{519=1;talent_point=1;rmb=100;gold=180000},{519=1;talent_point=1;rmb=100;gold=180000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1701,Elite level - Chapter 21,第21章精英關卡,Elite level - Chapter 21,404404,제 21 장 정예 스테이지,第21章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=190000},{519=1;talent_point=1;rmb=100;gold=190000},{519=1;talent_point=1;rmb=100;gold=190000},{519=1;talent_point=1;rmb=100;gold=190000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1711,Elite level - Chapter 22,第22章精英關卡,Elite level - Chapter 22,404404,제 22 장 정예 스테이지,第22章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=200000},{519=1;talent_point=1;rmb=100;gold=200000},{519=1;talent_point=1;rmb=100;gold=200000},{519=1;talent_point=1;rmb=100;gold=200000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1721,Elite level - Chapter 23,第23章精英關卡,Elite level - Chapter 23,404404,제 23 장 정예 스테이지,第23章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=210000},{519=1;talent_point=1;rmb=100;gold=210000},{519=1;talent_point=1;rmb=100;gold=210000},{519=1;talent_point=1;rmb=100;gold=210000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1731,Elite level - Chapter 24,第24章精英關卡,Elite level - Chapter 24,404404,제 24 장 정예 스테이지,第24章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=220000},{519=1;talent_point=1;rmb=100;gold=220000},{519=1;talent_point=1;rmb=100;gold=220000},{519=1;talent_point=1;rmb=100;gold=220000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
1741,Elite level - Chapter 25,第25章精英關卡,Elite level - Chapter 25,404404,제 25 장 정예 스테이지,第25章精英关卡1星礼包,,config/item/icon_tdpyj.png,,,,,,,,,,,2,,3,,{519=1;talent_point=1;rmb=100;gold=230000},{519=1;talent_point=1;rmb=100;gold=230000},{519=1;talent_point=1;rmb=100;gold=230000},{519=1;talent_point=1;rmb=100;gold=230000},<3>,<1>,,,99,98,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Golden Trainer avatar frame,黃金訓練家頭像框,Golden Trainer avatar frame,Khung Avatar HLV Gold,황금 트레이너 테두리,,,config/item/frame/icon_lv50.png,You can use the Golden Trainer avatar frame after getting it,獲得後可以使用頭像框黃金訓練家,You can use the Golden Trainer avatar frame after getting it,Nhận để sử dụng khung avatar HLV Gold,획득 후 황금 트레이너 테두리 사용 가능,,,,,,5,,17,,{frame=2;logoRes=common/txt/icon_txk.png},{frame=2;logoRes=common/txt/icon_txk.png},{frame=2;logoRes=common/txt/icon_txk.png},{frame=2;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2001,Turtwig Avatar Frame,草苗龜頭像框,Turtwig Avatar Frame,404404,모부기 테두리,,,config/item/frame/icon_cmg@.png,You can use the Turtwig avatar frame after getting it,獲得後可以使用頭像框草苗龜,You can use the Turtwig avatar frame after getting it,404404,획득 후 모부기 테두리 사용 가능,,,,,,5,,17,,{frame=100;logoRes=common/txt/icon_txk.png},{frame=100;logoRes=common/txt/icon_txk.png},{frame=100;logoRes=common/txt/icon_txk.png},{frame=100;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2002,Lotad Avatar Frame,蓮葉童子頭像框,Lotad Avatar Frame,404404,연꽃몬 테두리,,,config/item/frame/icon_lytz@.png,You can use the avatar frame Lotad after getting it,獲得後可以使用頭像框蓮葉童子,You can use the avatar frame Lotad after getting it,404404,획득 후 연꽃몬 테두리 사용 가능,,,,,,5,,17,,{frame=101;logoRes=common/txt/icon_txk.png},{frame=101;logoRes=common/txt/icon_txk.png},{frame=101;logoRes=common/txt/icon_txk.png},{frame=101;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2003,Pikachu Avatar Frame,皮卡丘頭像框,Pikachu Avatar Frame,404404,피카츄 테두리,,,config/item/frame/icon_pkq@.png,You can use the avatar frame Pikachu after getting it,獲得後可以使用頭像框皮卡丘,You can use the avatar frame Pikachu after getting it,404404,획득 후 피카츄 테두리 사용 가능,,,,,,5,,17,,{frame=102;logoRes=common/txt/icon_txk.png},{frame=102;logoRes=common/txt/icon_txk.png},{frame=102;logoRes=common/txt/icon_txk.png},{frame=102;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2004,Blaziken Avatar Frame,火焰雞頭像框,Blaziken Avatar Frame,404404,번치코 테두리,,,config/item/frame/icon_hyj@.png,You can use the avatar frame Blaziken after getting it,獲得後可以使用頭像框火焰雞,You can use the avatar frame Blaziken after getting it,404404,획득 후 번치코 테두리 사용 가능,,,,,,5,,17,,{frame=103;logoRes=common/txt/icon_txk.png},{frame=103;logoRes=common/txt/icon_txk.png},{frame=103;logoRes=common/txt/icon_txk.png},{frame=103;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2005,Greninja Avatar Frame,甲賀忍蛙頭像框,Greninja Avatar Frame,404404,개굴닌자 테두리,,,config/item/frame/icon_jhrw@.png,You can use the avatar frame Greninja after getting it,獲得後可以使用頭像框甲賀忍蛙,You can use the avatar frame Greninja after getting it,404404,획득 후 개굴닌자 테두리 사용 가능,,,,,,5,,17,,{frame=104;logoRes=common/txt/icon_txk.png},{frame=104;logoRes=common/txt/icon_txk.png},{frame=104;logoRes=common/txt/icon_txk.png},{frame=104;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2006,Mewtwo Avatar Frame,超夢頭像框,Mewtwo Avatar Frame,404404,뮤츠 테두리,,,config/item/frame/icon_cm@.png,You can use the avatar frame Mewtwo after getting it,獲得後可以使用頭像框超夢,You can use the avatar frame Mewtwo after getting it,404404,획득 후 뮤츠 테두리 사용 가능,,,,,,5,,17,,{frame=200;logoRes=common/txt/icon_txk.png},{frame=200;logoRes=common/txt/icon_txk.png},{frame=200;logoRes=common/txt/icon_txk.png},{frame=200;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2007,Ho-Oh Avatar frame,鳳王頭像框,Ho-Oh Avatar frame,404404,칠색조 테두리,,,config/item/frame/icon_fw@.png,You can use the Ho-Oh avatar frame Ho-oh after getting it,獲得後可以使用頭像框鳳王,You can use the Ho-Oh avatar frame Ho-oh after getting it,404404,획득 후 칠색조 테두리 사용 가능,,,,,,5,,17,,{frame=201;logoRes=common/txt/icon_txk.png},{frame=201;logoRes=common/txt/icon_txk.png},{frame=201;logoRes=common/txt/icon_txk.png},{frame=201;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2008,Christmas Avatar Frame,聖誕專屬頭像框,Christmas Avatar Frame,404404,크리스마스 전용 테두리,,,config/item/frame/icon_sdtxk.png,You can use the Christmas avatar frame after getting it,獲得後可以使用聖誕專屬頭像框,You can use the Christmas avatar frame after getting it,404404,획득 후 크리스마스 전용 테두리 사용 가능,,,,,,5,,17,,{frame=300;logoRes=common/txt/icon_txk.png},{frame=300;logoRes=common/txt/icon_txk.png},{frame=300;logoRes=common/txt/icon_txk.png},{frame=300;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2009,Spring Festival Avatar Frame,新春專屬頭像框,Spring Festival Avatar Frame,404404,설날 전용 테두리,,,config/item/frame/icon_cjtxk.png,You can use the Spring Festival avatar frame after getting it,獲得後可以使用新春專屬頭像框,You can use the Spring Festival avatar frame after getting it,404404,획득 후 설날 전용 테두리 사용 가능,,,,,,5,,17,,{frame=301;logoRes=common/txt/icon_txk.png},{frame=301;logoRes=common/txt/icon_txk.png},{frame=301;logoRes=common/txt/icon_txk.png},{frame=301;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2010,Lugia Avatar Frame,洛奇亞頭像框,Lugia Avatar Frame,404404,루기아 테두리,,,config/item/frame/icon_lqy.png,You can use the Lugia avatar frame after getting it,獲得後可以使用頭像框洛奇亞,You can use the Lugia avatar frame after getting it,404404,획득 후 루기아 테두리 사용 가능,,,,,,5,,17,,{frame=202;logoRes=common/txt/icon_txk.png},{frame=202;logoRes=common/txt/icon_txk.png},{frame=202;logoRes=common/txt/icon_txk.png},{frame=202;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2011,S1 Pass Avatar frame,S1通行證頭像框,S1 Pass Avatar frame,404404,S1 패스 테두리,,,config/item/frame/icon_txztxk1.png,You can use the S1 Pass Exclusive Avatar Frame after getting it,獲得後可以使用通行證專屬頭像框,You can use the S1 Pass Exclusive Avatar Frame after getting it,404404,획득 후 고유 테두리 사용 가능,,,,,,5,,17,,{frame=400;logoRes=common/txt/icon_txk.png},{frame=400;logoRes=common/txt/icon_txk.png},{frame=400;logoRes=common/txt/icon_txk.png},{frame=400;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2012,Labor is the most glorious,勞動最光榮,Labor is the most glorious,404404,영광의 노동,,,config/item/frame/icon_wytxk.png,You can use the Labor Day Exclusive Avatar Frame after getting it,獲得後可以使用勞動節專屬頭像框,You can use the Labor Day Exclusive Avatar Frame after getting it,404404,획득 후 노동절의 날 전용 테두리 사용 가능,,,,,,5,,17,,{frame=302;logoRes=common/txt/icon_txk.png},{frame=302;logoRes=common/txt/icon_txk.png},{frame=302;logoRes=common/txt/icon_txk.png},{frame=302;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2013,Rayquaza Avatar Frame,裂空座頭像框,Rayquaza Avatar Frame,404404,레쿠쟈 테두리,,,config/item/frame/icon_lkz@.png,You can use Rayquaza Avatar frame after getting it,獲得後可以使用頭像框裂空座,You can use Rayquaza Avatar frame after getting it,404404,획득 후 레쿠쟈 테두리 사용 가능,,,,,,5,,17,,{frame=203;logoRes=common/txt/icon_txk.png},{frame=203;logoRes=common/txt/icon_txk.png},{frame=203;logoRes=common/txt/icon_txk.png},{frame=203;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2014,Child-like Innocence,童真童趣,Child-like Innocence,404404,즐거운 어린아이,,,config/item/frame/icon_ly.png,You can use the exclusive avatar frame after getting it,獲得後可以使用專屬頭像框,You can use the exclusive avatar frame after getting it,404404,획득 후 고유 테두리 사용 가능,,,,,,5,,17,,{frame=303;logoRes=common/txt/icon_txk.png},{frame=303;logoRes=common/txt/icon_txk.png},{frame=303;logoRes=common/txt/icon_txk.png},{frame=303;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
2015,Kyogre Avatar Frame,蓋歐卡頭像框,Kyogre Avatar Frame,404404,가이오가 테두리,,,config/item/frame/icon_gok@.png,You can use the avatar frame Kyogre after getting it,獲得後可以使用頭像框蓋歐卡,You can use the avatar frame Kyogre after getting it,404404,획득 후 가이오가 테두리 사용 가능,,,,,,5,,17,,{frame=204;logoRes=common/txt/icon_txk.png},{frame=204;logoRes=common/txt/icon_txk.png},{frame=204;logoRes=common/txt/icon_txk.png},{frame=204;logoRes=common/txt/icon_txk.png},,<1>,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
