变量名,type,_yyId,card,helditem,item,desc
48,6,,<2441;2381;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22441;22381;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
49,6,,<1981;1261;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21981;21261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
50,6,,<3641;2351;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23641;22351;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
51,6,,<3211;2361;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23211;22361;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
52,6,,<1981;2431;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21981;22431;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
53,6,,<3221;2391;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23221;22391;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
54,6,,<1971;2431;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21971;22431;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
55,6,,<1961;2381;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21961;22381;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
56,6,,<3241;2441;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23241;22441;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
57,6,,<2381;3631;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22381;23631;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
58,12,,,,,<<rarityChip5;1.5>;<rarityChip4;8.5>;<rarityChip3;25>;<rarityChip2;50>;<normalItem;15>>
59,13,,,,,<<rarityChip6;0.85>;<rarityChip5;2.5>;<rarityChip4;10>;<rarityChip3;35>;<rarityChip2;40>;<normalItem;11.65>>
60,6,,<1961;1261;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21961;21261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
61,6,,<3261;3641;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23261;23641;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
62,,up自选池新加,<101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,,<<rarityCard2;11>;<rarityCard1;36>;<rarityCard0;53>>
63,6,,<1991;3211;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21991;23211;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
64,6,,<3631;1261;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23631;21261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
65,6,,<2361;2431;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22361;22431;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
66,6,,<4171;3221;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;24171;23221;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
67,6,裂空座固拉多,<1981;1971;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21981;21971;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
68,6,骑拉帝纳雷吉奇卡斯,<2391;2381;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22391;22381;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
69,6,伊裴尔塔尔酋雷姆,<3611;3241;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;23611;23241;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
70,6,盖欧卡蒂安希,<1961;3631;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21961;23631;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
71,6,谢米帝牙卢卡,<2441;2351;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22441;22351;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
72,6,时拉比/美洛耶塔,<1281;3261;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;21281;23261;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
73,6,达克莱伊,<2431;101;1071;11;111;1171;121;1221;1231;1241;1251;1291;131;1351;1391;1421;1441;1501;151;161;1611;171;1801;1811;1841;1861;191;1911;1921;1931;2011;2031;2071;21;221;2271;2301;231;241;2471;2481;2611;2631;2681;271;2721;281;2841;2871;2891;2921;2922;2961;2991;301;3001;3011;3021;31;3141;3151;3281;3291;331;3341;3351;341;3411;3431;3471;3501;351;3511;3541;3561;3591;3661;371;391;41;401;451;461;471;481;51;541;551;571;591;601;61;631;691;71;721;731;741;781;791;801;81;881;891;91;1;261;491;1081;1311;1851;2591>,,<502;521;501;22431;5000;14;452;602;603;604;605;930>,<<rarityCard3;1.25>;<rarityCard2;10>;<normalItem;88.75>>
