"﻿变量名",markID,level,addType,addScene,natureType,desc,desc_tw,desc_en,desc_vn,desc_kr,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6
57012,571,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
57013,571,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
59001,591,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
59002,591,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
59003,591,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
59004,591,80,2,0,5,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
59005,591,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
59006,591,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
59007,591,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
59008,591,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
59009,591,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
59010,591,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
59011,591,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
59012,591,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
59013,591,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
60001,601,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
60002,601,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
60003,601,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
60004,601,80,2,0,2,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
60005,601,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
60006,601,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
60007,601,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
60008,601,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
60009,601,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.60%,,,,,,,,,,
60010,601,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
60011,601,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
60012,601,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
60013,601,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
61001,611,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
61002,611,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
61003,611,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
61004,611,80,2,0,12,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
61005,611,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
61006,611,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.60%,,,,,,,,,,
61007,611,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
61008,611,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
61009,611,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
61010,611,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
61011,611,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
61012,611,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.60%,,,,,,,,,,
61013,611,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
63001,631,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
63002,631,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
63003,631,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
63004,631,80,2,0,3,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
63005,631,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
63006,631,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
63007,631,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
63008,631,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
63009,631,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
63010,631,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
63011,631,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
63012,631,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.60%,,,,,,,,,,
63013,631,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
64001,641,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
64002,641,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
64003,641,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
64004,641,80,2,0,3,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
64005,641,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
64006,641,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
64007,641,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
64008,641,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
64009,641,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.60%,,,,,,,,,,
64010,641,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
64011,641,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
64012,641,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
64013,641,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
69001,691,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
69002,691,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
69003,691,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
69004,691,80,2,0,13,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
69005,691,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
69006,691,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.50%,10,0.50%,,,,,,,,
69007,691,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
69008,691,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
69009,691,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.50%,8,0.50%,,,,,,,,
69010,691,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
69011,691,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
69012,691,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
69013,691,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
70001,701,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
70002,701,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
70003,701,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
70004,701,80,2,0,13,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
70005,701,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
70006,701,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.60%,,,,,,,,,,
70007,701,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
70008,701,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
70009,701,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
70010,701,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
70011,701,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
70012,701,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
70013,701,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
71001,711,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
71002,711,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
71003,711,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
71004,711,80,2,0,1,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
71005,711,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
71006,711,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.60%,,,,,,,,,,
71007,711,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
71008,711,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
71009,711,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
71010,711,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
71011,711,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
71012,711,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
71013,711,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
72001,721,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
72002,721,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
72003,721,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
72004,721,80,2,0,6,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
72005,721,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
72006,721,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.60%,,,,,,,,,,
72007,721,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
72008,721,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
72009,721,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
72010,721,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
72011,721,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
72012,721,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
72013,721,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
73001,731,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
73002,731,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
73003,731,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
73004,731,80,2,0,5,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
73005,731,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
73006,731,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
73007,731,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
73008,731,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
73009,731,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
73010,731,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
73011,731,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
73012,731,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
73013,731,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
74001,741,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
74002,741,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
74003,741,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
74004,741,80,2,0,2,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
74005,741,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
74006,741,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
74007,741,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
74008,741,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
74009,741,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.60%,,,,,,,,,,
74010,741,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
74011,741,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
74012,741,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
74013,741,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
75001,751,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
75002,751,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
75003,751,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
75004,751,80,2,0,15,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
75005,751,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
75006,751,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
75007,751,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
75008,751,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
75009,751,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
75010,751,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
75011,751,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
75012,751,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
75013,751,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
76001,761,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
76002,761,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
76003,761,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
76004,761,80,2,0,11,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
76005,761,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
76006,761,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,1.00%,8,1.00%,,,,,,,,
76007,761,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
76008,761,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
76009,761,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,1%,,,,,,,,,,
76010,761,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
76011,761,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
76012,761,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,1.00%,10,1.00%,,,,,,,,
76013,761,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
77001,771,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
77002,771,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
77003,771,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
77004,771,80,2,0,11,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%
77005,771,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
77006,771,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.60%,,,,,,,,,,
77007,771,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
77008,771,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
77009,771,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.60%,10,0.60%,,,,,,,,
77010,771,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
77011,771,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
77012,771,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.60%,8,0.60%,,,,,,,,
77013,771,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
78001,781,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
78002,781,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
78003,781,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
78004,781,80,2,0,4,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
78005,781,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
78006,781,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
78007,781,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
78008,781,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
78009,781,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.50%,10,0.50%,,,,,,,,
78010,781,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
78011,781,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
78012,781,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,9,0.50%,10,0.50%,,,,,,,,
78013,781,500,1,0,0,%s,%s,%s,%s,%s,28,500,,,,,,,,,,
79001,791,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
79002,791,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
79003,791,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
79004,791,80,2,0,2,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
79005,791,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
79006,791,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.50%,8,0.50%,,,,,,,,
79007,791,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
79008,791,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
79009,791,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
79010,791,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
79011,791,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
79012,791,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
79013,791,500,1,0,0,%s,%s,%s,%s,%s,24,500,,,,,,,,,,
80001,801,20,1,0,0,All base stats %s,所有基礎屬性%s,All base stats %s,404404,모든 기본 스탯 %s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%
80002,801,40,1,0,0,%s,%s,%s,%s,%s,1,3%,,,,,,,,,,
80003,801,60,1,0,0,%s,%s,%s,%s,%s,14,300,15,300,,,,,,,,
80004,801,80,2,0,3,All base stats %s of Pokémons with %s as its primary type,第一屬性%s精靈所有基礎屬性%s,All base stats %s of Pokémons with %s as its primary type,404404,첫 번째 스탯 %s 포켓몬 모든 기본 스탯 %s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%
80005,801,100,1,0,0,%s,%s,%s,%s,%s,7,3%,8,3%,,,,,,,,
80006,801,150,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,7,0.50%,8,0.50%,,,,,,,,
80007,801,200,1,0,0,%s,%s,%s,%s,%s,17,300,19,300,,,,,,,,
80008,801,250,1,0,0,%s,%s,%s,%s,%s,9,3%,10,3%,,,,,,,,
80009,801,300,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
80010,801,350,1,0,0,%s,%s,%s,%s,%s,11,300,12,300,,,,,,,,
80011,801,400,1,0,0,%s,%s,%s,%s,%s,22,300,23,300,,,,,,,,
80012,801,450,3,0,0,All Pokémons %s,所有精靈%s,All Pokémons %s,404404,모든 포켓몬 %s,1,0.50%,,,,,,,,,,
