变量名,_beizhu,catalogType,number,name,name_tw,name_en,name_vn,name_kr,contain,content,content_tw,content_en,content_vn,content_kr
715,,,,Slimy,黏液,Slimy,,해감액,,"""\tIcon: #Ibattle/buff_icon/logo_ny.png-75-75#\n\n\tEffect: Prevent the target from using basic attacks and Basic skills\n\n\tDispelling: Can be dispelled\n\n \tHit: The hit chance of slimy is affected by the control rate and the control resist rate""","""\t圖示：#Ibattle/buff_icon/logo_ny.png-75-75#\n\n\t效果：使目標無法使用普通攻擊和小技能\n\n\t驅散：可被驅散\n\n\t命中：黏液的命中概率受控制率及免控率影響""","""\tIcon: #Ibattle/buff_icon/logo_ny.png-75-75#\n\n\tEffect: Prevent the target from using basic attacks and Basic skills\n\n\tDispelling: Can be dispelled\n\n \tHit: The hit chance of slimy is affected by the control rate and the control resist rate""",,""" 아이콘: #Ibattle/buff_icon/logo_ny.png-75-75#\n\n 효과: 타깃이 일반 공격과 일반 스킬을 사용할 수 없게 만든다\n\n 디스펠: 디스펠 가능\n\n 명중: 해감액의 명중률은 제어률과 제어 면역률에 영향 받는다"""
716,,,,Black hole,黑洞,Black hole,,블랙홀,,"""\tEffect: Make the target unable to move and cannot be selected as a skill target\n\n\tDispelling: able to dispell\n\n\tHit: The chance of inhaling into black hole is affected by the control rate and the control resist rate.""","""\t效果：使目標無法行動，且無法被選定為技能目標\n\n\t驅散：可被驅散\n\n\t命中：吸入黑洞的概率受控制率及免控率影響""","""\tEffect: Make the target unable to move and cannot be selected as a skill target\n\n\tDispelling: able to dispell\n\n\tHit: The chance of inhaling into black hole is affected by the control rate and the control resist rate.""",,""" 효과: 타깃을 행동할 수 없게 만들고, 스킬 타깃으로도 선택 받을 수 없게 된다\n\n 디스펠: 디스펠 가능\n\n 명중: 블랙홀로 빨아들이는 확률은 제어률과 제어 면역률에 영향 받는다"""
717,,,,Blow off,吹飛,Blow off,,날려버리기,,"""\tEffect: Make the target unable to move and be hit\n\n\tDispelling: Can not be dispelled\n\n\tHit: Must hit, except for some bosses""","""\t效果：使目標無法行動與受擊\n\n\t驅散：不可被驅散\n\n\t命中：必中，部分BOSS除外""","""\tEffect: Make the target unable to move and be hit\n\n\tDispelling: Can not be dispelled\n\n\tHit: Must hit, except for some bosses""",,""" 효과: 타깃을 공격할 수 도 공격받을 수 도 없게 만든다\n\n 디스펠: 디스펠 불가\n\n 명중: 반드시 적중(일부 보스 외)"""
718,,,,Diamond seal,鑽石封印,Diamond seal,,다이아 봉인,,"""\tEffect: Make the target unable to move\n\n\tDispelling: Unable to dispell\n\n\tHit: The chance of being diamond seal is affected by the control rate and the control resist rate""","""\t效果：使目標無法行動\n\n\t驅散：不可被驅散\n\n\t命中：鑽石封印的概率受控制率及免控率影響""","""\tEffect: Make the target unable to move\n\n\tDispelling: Unable to dispell\n\n\tHit: The chance of being diamond seal is affected by the control rate and the control resist rate""",,""" 효과: 타깃을 행동할 수 없게 만든다\n\n 디스펠: 디스펠 불가\n\n 명중:다이아 봉인의 확률은 제어률과 제어 면역률에 양향 받는다"""
719,,,,Teleported,傳送,Teleported,,공간이동,,"""\tEffect: Make the target unable to move and be hit, but it can still be selected by Hoopa\n\n\tDispell: Can not be dispelled""","""\t效果：使目標無法行動和受擊，但仍可被胡帕選擇\n\n\t驅散：不可被驅散""","""\tEffect: Make the target unable to move and be hit, but it can still be selected by Hoopa\n\n\tDispell: Can not be dispelled""",,""" 효과: 타깃을 행동할 수 도 공격을 받을 수 도 없게 만든다, 하지만 후파의 타깃으로는 선택 받을 수 있다\n\n 디스펠: 디스펠 불가"""
,,,,,,,,,,,,,,
801,,,,Burn,灼燒,Burn,,연소,,"""\tIcon: #Ibattle/buff_icon/logo_zs.png-75-75#\n\n\tEffect: Burn the target before the start of the action round and cause one P./Sp. damage (with certain P.ATK/Sp.ATK bonus)\n\n\tHoly fire burning effect: the holy fire burning causes a true damage with P.ATK bonus before the target's action round\n\n\tStacking: the burning can usually be stacked up to 5 times most\n\n\tDispell : Able to dispell""","""\t圖示：#Ibattle/buff_icon/logo_zs.png-75-75#\n\n\t效果：灼燒目標行動回合開始前造成一次物理/特殊傷害（一定的物攻/特攻加成）\n\n\t聖火灼燒效果：聖火灼燒在目標行動回合前造成一次物理加成的真實傷害\n\n\t疊加：灼燒通常最多可疊加至5層\n\n\t驅散：可被驅散""","""\tIcon: #Ibattle/buff_icon/logo_zs.png-75-75#\n\n\tEffect: Burn the target before the start of the action round and cause one P./Sp. damage (with certain P.ATK/Sp.ATK bonus)\n\n\tHoly fire burning effect: the holy fire burning causes a true damage with P.ATK bonus before the target's action round\n\n\tStacking: the burning can usually be stacked up to 5 times most\n\n\tDispell : Able to dispell""",,""" 아이콘: #Ibattle/buff_icon/logo_zs.png-75-75#\n\n 효과: 연소 타깃의 턴 시작전에 타깃에게 물리/특수(일정량 물리 공격력/특수 공격력 버프) 피해를 1회 입힌다\n\n 성화 연소 효과: 연소 타깃의 턴 시작전에 타깃에게 물리 버프의 고정 피해를 입힌다\n\n 중첩: 연소는 일반 최고 5회까지 중첩이 가능하다\n\n 디스펠: 디스펠 가능"""
802,,,,Poisoning,中毒,Poisoning,,맹독,,"""\tIcon: #Ibattle/buff_icon/logo_zd.png-75-75#\n\n\tEffect: Causes a true damage to Poisoned target before the start of the action round(with certain P.ATK/Sp.ATK bonus)\n\n \tDispell: Able to dispell""","""\t圖示：#Ibattle/buff_icon/logo_zd.png-75-75#\n\n\t效果：中毒目標行動回合開始前造成一次真實傷害（一定的特攻/物攻加成）\n\n\t驅散：可被驅散""","""\tIcon: #Ibattle/buff_icon/logo_zd.png-75-75#\n\n\tEffect: Causes a true damage to Poisoned target before the start of the action round(with certain P.ATK/Sp.ATK bonus)\n\n \tDispell: Able to dispell""",,""" 아이콘: #Ibattle/buff_icon/logo_zd.png-75-75#\n\n 효과: 맹독 타깃의 턴 시작 전에 타깃에게 고정 피해(일정량 특수 공격력/물리 공격력 버프)를 1회 입힌다\n\n 디스펠: 디스펠 가능"""
803,,,,Bleed,流血,Bleed,,출혈,,"""\tIcon: #Ibattle/buff_icon/logo_lx.png-75-75#\n\n\t Effect: Causes a true damage (with certain P.ATK/Sp.ATK bonus) to Bleeding target before the start of the action round and ignores the shield \n\n\tStacking: Bleeding can usually stack up to 5 times most\n\n\tDispell: Able to dispell""","""\t圖示：#Ibattle/buff_icon/logo_lx.png-75-75#\n\n\t效果：流血目標行動回合開始前造成一次真實傷害（一定的特攻/物攻加成）且無視護盾\n\n\t疊加：流血通常最多可疊加至5層\n\n\t驅散：可被驅散""","""\tIcon: #Ibattle/buff_icon/logo_lx.png-75-75#\n\n\t Effect: Causes a true damage (with certain P.ATK/Sp.ATK bonus) to Bleeding target before the start of the action round and ignores the shield \n\n\tStacking: Bleeding can usually stack up to 5 times most\n\n\tDispell: Able to dispell""",,""" 아이콘: #Ibattle/buff_icon/logo_lx.png-75-75#\n\n 효과: 출혈 타깃의 턴 시작 전에 타깃에게 실드를 무시하는 고정 피해(일정량 특수 공격력/물리 공격력 버프)를 1회 입힌다\n\n 중첩: 출혈을 일반 최고 5회까지 중첩이 가능하다\n\n 디스펠: 디스펠 가능"""
804,,,,Tear,撕裂,Tear,,크러시,,"""\tIcon: #Ibattle/buff_icon/logo_sl.png-75-75#\n\n\tEffect: tear the target causes healban, deals a true damage (with certain P.ATK/Sp.ATK bonus)  when attacking target that ignore the shield.\n\n\tStacking: tears can usually stack up to 3 times most\n\n\tDispell: Able to dispell""","""\t圖示：#Ibattle/buff_icon/logo_sl.png-75-75#\n\n\t效果：撕裂目標禁療，且在攻擊時造成一次真實傷害（一定的特攻/物攻加成）且無視護盾\n\n\t疊加：撕裂通常最多可疊加至3層\n\n\t驅散：可被驅散""","""\tIcon: #Ibattle/buff_icon/logo_sl.png-75-75#\n\n\tEffect: tear the target causes healban, deals a true damage (with certain P.ATK/Sp.ATK bonus)  when attacking target that ignore the shield.\n\n\tStacking: tears can usually stack up to 3 times most\n\n\tDispell: Able to dispell""",,""" 아이콘: #Ibattle/buff_icon/logo_sl.png-75-75#\n\n 효과: 타깃에게 크러시 피해를 입혀 치료 불가 상태로 만든다, 공격 시 실드를 무시하는 고정 피해(일정량 특수 공경력/물리 공격력 버프)를 1회 입힌다\n\n 중첩: 크러시는 일반 3회까지 중첩이 가능하다\n\n 디스펠: 디스펠 가능"""
805,,,,Blinding,致盲,Blinding,,실명,,"""\tIcon: #Ibattle/buff_icon/logo_zm.png-75-75#\n\n\tEffect: The target has a certain chance to miss when attacking\n\n\tDispell: Blinding effect in active skills can be dispelled""","""\t圖示：#Ibattle/buff_icon/logo_zm.png-75-75#\n\n\t效果：目標有一定概率攻擊時落空\n\n\t驅散：主動技能內的致盲可被驅散""","""\tIcon: #Ibattle/buff_icon/logo_zm.png-75-75#\n\n\tEffect: The target has a certain chance to miss when attacking\n\n\tDispell: Blinding effect in active skills can be dispelled""",,""" 아이콘: #Ibattle/buff_icon/logo_zm.png-75-75#\n\n 효과: 타깃이 공격 시 일정 확률로 공격이 빗나간다\n\n 디스펠: 액티브 스킬로 인한 실명은 디스펠 가능하다"""
806,,,,Heal decrease,降療,Heal decrease,,치료 감소,,"""\tIcon: #Ibattle/buff_icon/logo_jl1.png-75-75#\n\n\tEffect: Reduce a certain percentage of healing effect\n\n\tDispell: Can be dispelled""","""\t圖示：#Ibattle/buff_icon/logo_jl1.png-75-75#\n\n\t效果：降低一定比例的治療效果\n\n\t驅散：可被驅散""","""\tIcon: #Ibattle/buff_icon/logo_jl1.png-75-75#\n\n\tEffect: Reduce a certain percentage of healing effect\n\n\tDispell: Can be dispelled""",,""" 아이콘: #Ibattle/buff_icon/logo_jl1.png-75-75#\n\n 효과: 일정량의 치료효과를 감소한다\n\n 디스펠: 디스펠 가능"""
807,,,,Heal immune,禁療,Heal immune,,치료 불가,,"""\tIcon: #Ibattle/buff_icon/logo_jl2.png-75-75#\n\n\tEffect: Cannot be healed\n\n\tDispell: Can be dispelled""","""\t圖示：#Ibattle/buff_icon/logo_jl2.png-75-75#\n\n\t效果：無法受到治療效果\n\n\t驅散：可被驅散""","""\tIcon: #Ibattle/buff_icon/logo_jl2.png-75-75#\n\n\tEffect: Cannot be healed\n\n\tDispell: Can be dispelled""",,""" 아이콘: #Ibattle/buff_icon/logo_jl2.png-75-75#\n\n 효과: 치료 효과의 영향을 받지 못한다\n\n 디스펠: 디스펠 가능"""
808,,,,Cringe,畏縮,Cringe,,풀죽음,,"""\tIcon: #Ibattle/buff_icon/logo_ws.png-75-75#\n\n\tEffect: Reduces the damage caused by the target. If the target attacked steel type Pokémon, the damage caused by it will be reduced by a certain amount Additionally\n\n \tDispell: Can be dispelled""","""\t圖示：#Ibattle/buff_icon/logo_ws.png-75-75#\n\n\t效果：目標造成的傷害降低，若攻擊鋼系精靈時，額外降低一定其造成的傷害\n\n\t驅散：可被驅散""","""\tIcon: #Ibattle/buff_icon/logo_ws.png-75-75#\n\n\tEffect: Reduces the damage caused by the target. If the target attacked steel type Pokémon, the damage caused by it will be reduced by a certain amount Additionally\n\n \tDispell: Can be dispelled""",,""" 아이콘: #Ibattle/buff_icon/logo_ws.png-75-75#\n\n 효과: 타깃의 피해 감소, 강철 타입 포켓못 공격 시 피해가 추가로 감소된다n 디스펠: 디스펠 가능"""
809,,,,Ghost fire,幽冥鬼火,Ghost fire,,도깨비불,,"""\tIcon: #Ibattle/buff_icon/logo_ymgh.png-75-75#\n\n\tEffect: Special negative effect, before the target moves or when the ghost fire is dispelled, reduces target’s HP and Anger\n\n\tDispell: Can only be dispelled, not stackable""","""\t圖示：#Ibattle/buff_icon/logo_ymgh.png-75-75#\n\n\t效果：特殊負面效果，目標行動前或幽冥鬼火被驅散時，降低目標血量和怒氣值\n\n\t驅散：僅可被驅散，不可疊加""","""\tIcon: #Ibattle/buff_icon/logo_ymgh.png-75-75#\n\n\tEffect: Special negative effect, before the target moves or when the ghost fire is dispelled, reduces target’s HP and Anger\n\n\tDispell: Can only be dispelled, not stackable""",,""" 아이콘: #Ibattle/buff_icon/logo_ymgh.png-75-75#\n\n 효과: 특수 디버프 효과, 타깃의 턴 시작전 혹은 도깨비 불 디스펠 시 타깃의 HP 및 분노치를 감소한다\n\n 디스펠: 디스펠 가능, 중첩 불가"""
810,,,,Stats debuff effect,屬性類減益效果,Stats debuff effect,,속성 디버프 효과,,"""\tThe status debuff effect in combat generally refers to the status reduction effect, etc., such as: P.ATK reduction, P.DEF reduction""","""\t戰鬥中的屬性類減益效果一般指的是屬性類降低效果等，例如：物攻降低、物防降低""","""\tThe status debuff effect in combat generally refers to the status reduction effect, etc., such as: P.ATK reduction, P.DEF reduction""",,""" 전투중의 속성 디버프 효과는 보통 속성 감소 효과를 가리킨다, 예: 물리 공격력 감소, 물리 방어력 감소"""
,,,,,,,,,,,,,,
901,,,,Buff effect,增益效果,Buff effect,,버프 효과,,"""\tBuff effects\n\n\t\tBuff effects in battle generally refer to status bonus buff effects, such as: increased P.ATK, increased P.DEF""","""\t增益效果\n\n\t\t戰鬥中的增益效果一般指的是屬性類增益效果，例如：物攻提升、物防提升""","""\tBuff effects\n\n\t\tBuff effects in battle generally refer to status bonus buff effects, such as: increased P.ATK, increased P.DEF""",,""" 버프 효과\n\n  전투 중의 버프 효과는 보통 속성 증가 효과를 가리킨다, 예: 물리 공격력 증가, 물리 방어력 증가"""
902,,,,Continuous healing effect,持續恢復效果,Continuous healing effect,,지속적인 회복 효과,,"""\tRecovery effect is divided into continuous healing and continuous anger recovery""","""\t恢復效果分為持續治療與持續回怒""","""\tRecovery effect is divided into continuous healing and continuous anger recovery""",,""" 회복 효과는 지속 치료와 지속 분노 회복이 있다"""
903,,,,Normal shield,普通護盾,Normal shield,,일반 실드,,"""\tWhen receiving damage, it can absorb damage for the target with shield. When the shield value is 0, shield disappears.\n\n\tShields added by different Pokémon can be stacked, and shields added by the same Pokémon cannot be stacked(Except for special instructions)""","""\t受到傷害時，可為護盾目標吸收傷害，護盾值為0時護盾消失\n\n\t不同精靈添加的護盾可以相互疊加，相同精靈添加的護盾不可相互疊加（除特殊說明以外）""","""\tWhen receiving damage, it can absorb damage for the target with shield. When the shield value is 0, shield disappears.\n\n\tShields added by different Pokémon can be stacked, and shields added by the same Pokémon cannot be stacked(Except for special instructions)""",,""" 피해 받을 시 실드 타깃의 피해량 흡수, 실드치가 0으로 될 시 실드도 사라진다\n\n 서로 다른 포켓몬으로 인한 실드는 중첩이 가능하나, 동일 포켓몬으로 인한 실드는 중첩이 불가능하다(특수 설명 외)"""
904,,,,All units shield,全體護盾,All units shield,,전체 실드,,"""\tAlly Shields will absorb damage for allies during the existence . When the shield value is 0, Ally Shield will be broken.\n\n\tWhen Ally Shield exist, the over damage of the shield breaking move will not cause to allies. Ally Shields cannot be stacked, adding new Ally Shield will cover the original Ally Shield on the field.""","""\t全體護盾存在期間會為隊友吸收傷害，護盾值為0時全體護盾破碎\n\n\t全體護盾存在時，當次技能打破護盾的溢出傷害部分將隨著護盾破碎而消失；全體護盾無法疊加，新添加的全體護盾會覆蓋掉場上原來的全體護盾""","""\tAlly Shields will absorb damage for allies during the existence . When the shield value is 0, Ally Shield will be broken.\n\n\tWhen Ally Shield exist, the over damage of the shield breaking move will not cause to allies. Ally Shields cannot be stacked, adding new Ally Shield will cover the original Ally Shield on the field.""",,""" 전체 실드 존재 기간 아군이 받는 피해 흡수, 실드치가 0으로 될 시 전체 실드로 사라진다\n\n 전체 실드 존재 시, 스킬로 인한 피해가 전체 실드의 실드치보다 높아도 전체 실드가 사라지면서 피해를 해소 시킨다; 전체 실드는 중첩이 불가능하고, 새로 부가한 전체 실드는 기존의 전체 실드를 대체한다"""
905,,,,Power storage,蓄電,Power storage,,축전,,"""\tEach layer can increase the damage of certain electric type skills\n\n\tIt is not a buff and cannot be dispelled""","""\t每層可提升一定電系技能傷害\n\n\t不屬於增益效果，無法被驅散""","""\tEach layer can increase the damage of certain electric type skills\n\n\tIt is not a buff and cannot be dispelled""",,""" 매 스택의 축전은 전기 타입 스킬의 피해를 증가 시킨다\n\n 버프 효과가 아니므로 디스펠이 불가능하다"""
906,,,,Water flow,水流,Water flow,,급류,,"""\tWater flow will help itself defend a certain percentage of the final damage, and it cannot be dispelled""","""\t水流會幫自身抵消一定比例的最終傷害，無法被驅散""","""\tWater flow will help itself defend a certain percentage of the final damage, and it cannot be dispelled""",,""" 급류는 자신을 도와 일정 비율의 최종 피해를 감소 시키고, 디스펠이 불가능하다"""
907,,,,Ignite,引火,Ignite,,타오르는 불꽃,,"""\tWhen attacking deals additional burn effect, it lasts for several rounds. Before the start of the burning target action round, it causes a P./Sp. DMG from the applicator (with certain P.ATK/Sp.ATK bonus)\n\n\tThe burning effect added by ignition can be dispelled""","""\t攻擊時附帶灼燒效果，持續若干回合；灼燒目標行動回合開始前造成一次來自施加者的物理/特殊傷害（一定的物攻/特攻加成）\n\n\t引火所添加的灼燒可被驅散""","""\tWhen attacking deals additional burn effect, it lasts for several rounds. Before the start of the burning target action round, it causes a P./Sp. DMG from the applicator (with certain P.ATK/Sp.ATK bonus)\n\n\tThe burning effect added by ignition can be dispelled""",,""" 공격 시 연소 효과가 정용하고, 몇 턴간 지속 된다;  연소 타깃의 턴 시작 전에 물리/특수 피해(일정량 물리 공격력/특수 공격력 버프)를 1회 입힌다\n\n 타오르는 불꽃으로 인한 연소는 디스펠이 가능하다"""
908,,,,Ice trap,寒冰陷阱,Ice trap,,얼음 함정,,"""\tAfter the target takes action, reduces certain amount of P.DEF, and having a certain chance of freezing\n\n\tIce trap effect itself is not a negative effect, nor is it a control effect, and cannot be dispelled.  P.DEF reduction after triggering will count  as negative effect , Frozen is a control effect and can be dispelled""","""\t目標行動後降低一定物防，且有一定幾率冰凍\n\n\t寒冰陷阱效果本身不屬於負面效果，也不屬於控制效果，無法被驅散；觸發後降低物防屬於負面效果，冰凍屬於控制效果，可被驅散""","""\tAfter the target takes action, reduces certain amount of P.DEF, and having a certain chance of freezing\n\n\tIce trap effect itself is not a negative effect, nor is it a control effect, and cannot be dispelled.  P.DEF reduction after triggering will count  as negative effect , Frozen is a control effect and can be dispelled""",,""" 타깃의 턴이 끝난 후 일정량의 물리 방어력을 감소시키고 일정 확률로 얼음 상태로 만든다\n\n 얼음 함정 효과 자체는 디버프 효과가 아니고 제어효과도 아니므로 디스펠이 불가능하다; 발동 후 물리 방어력을 감소하는 효과와 얼음 상태는 각각 디버프와 제어효과로 디스펠이 가능하다"""
909,,,,Disaster,災厄,Disaster,,재앙,,"""\tAt the beginning of each round, the Disaster target receives a HP limit, P. & Sp.DEF, and P. & Sp. ATK reduction, increases a random effect of Disaster in next damage\n\n\tThe Disaster effect itself is not a negative effect and cannot be Dispelled""","""\t每回合開始前災厄目標受到生命上限降低、雙防降低、雙攻降低、下次受擊傷害加深隨機一種厄運影響\n\n\t災厄效果本身不屬於負面效果，無法被驅散""","""\tAt the beginning of each round, the Disaster target receives a HP limit, P. & Sp.DEF, and P. & Sp. ATK reduction, increases a random effect of Disaster in next damage\n\n\tThe Disaster effect itself is not a negative effect and cannot be Dispelled""",,""" 턴이 시작할 때마다 재앙 타깃은 최대 HP 감소, 물리&특수 방어력 감소, 물리&특수 공격력 감소, 다음 받는 피해량 증가 중 랜덤으로 1가지 저주를 받게 된다\n\n 재앙의 효과 자체는 디버프가 아니므로 디스펠이 불가능 하다"""
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,12,Other special effects,其他特殊效果,Other special effects,,기타 특수 효과,<1201;1202;1203;1204;1205;1206;1207;1208;1209;1210;1211;1212;1213;1214;1215;1216>,"""\tThe target enters the fascinated effect. The target has a certain chance of being unable to act before the turn of action. If the damage caused by the attack is reduced\n\n\tThe fascinated state itself is not a control, and the inability to act before each turn is a control effect , Is affected by the immunity rate and the control rate; the damage reduction launched before each round is a negative effect, and is affected by the negative effect resistance rate.""","""\t使目標進入著迷效果，目標行動回合前有一定幾率無法行動，若發動攻擊造成的傷害降低\n\n\t著迷狀態本身不屬於控制，每次回合前發動的無法行動屬於控制效果，受免控率與控制率影響；每次回合前發動的傷害降低屬於負面效果，受負面效果抵抗率影響""","""\tThe target enters the fascinated effect. The target has a certain chance of being unable to act before the turn of action. If the damage caused by the attack is reduced\n\n\tThe fascinated state itself is not a control, and the inability to act before each turn is a control effect , Is affected by the immunity rate and the control rate; the damage reduction launched before each round is a negative effect, and is affected by the negative effect resistance rate.""",,""" 타깃을 몰두 상태로 만든다, 타깃 턴 시작전에 일정 확률로 움직일 수 없고, 공격 시 피해를 감소한다\n\n 몰두 상태 자체는 제어 효과가 아니다, 매턴 시작전에 발동하는 움직일 수 없는 상태는 제어 효과이고 제어 면역률과 제어률의 영향을 받는다; 매턴 시작전에 부여하는 피해 감소 효과는 디버프 효과이고 디버프 효과 저항률의 영향을 받는다"""
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,主動技能,,,액티브 스킬,,,"""\t1.普通攻擊：通常情況下無條件限制\n\n\t2.小技能：有冷卻回合\n\n\t3.必殺技：滿怒時可釋放必殺技，釋放後消耗自身全部怒氣值""",,,""" 1.일반 공격: 보통 조건 제한이 없다\n\n 2.일반 스킬: 쿨타임이 있다\n\n 3.필살기: 분노치가 가득 차야만 발동 가능, 발동 후 분노치를 전부 소모한다"""
,,,,,波次,,,파,,,"""\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\t冰凍\n\t""",,,"""  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n  #Ibattle/buff_icon/logo_bd.png-50-50#  얼음\n """
,,,,,冰凍,,,얼음,,,"""\t#Ibattle/buff_icon/logo_bd.png-50-50#\t\n\t\t無法行動，受到一定比例係數的傷害後解除，冰凍強度會加強冰塊的厚度，冰凍概率（控制率）會影響冰凍的命中概率""",,,""" #Ibattle/buff_icon/logo_bd.png-50-50# \n  행동 불가, 일정 비율의 피해를 입은 후 해제, 얼음강도는 얼음의 두께를 강화, 얼음 확률(제어률)은 얼음의 명중률을 영향 준다"""
,,,,,小回合,,,턴,,,"""鳳王翱翔於天，如日光般灼熱的光束從口中噴射而出，攻擊敵方全體目標，造成#C0xE69900#180%物攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#物理傷害#C0x5B545B#，對敵方所有目標添加一層聖火灼燒（對敵人造成40%物攻的真實傷害）持續兩回合；賜予除自身外的一名隊友【神鳥祝福】(優先選擇前排)：該隊友陣亡後，會變成鳳凰蛋，鳳凰蛋被攻擊6次後會被擊破。如果未被擊破，則會在下回合結束後復活。復活後，保留30%血量和怒氣。【神鳥祝福】全場僅可觸發一次""",,,"""칠색조가 하늘로 날아 올라 해빛처럼 뜨거운 빛줄기를 입으로 뿜어 적 전체 포켓몬을 공격하여 #C0xE69900#180%物攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#物理伤害#C0x5B545B#을 입히고, 적 전체 포켓몬에게 2턴간 성화 연소(적에게 물리 공격력 40%의 고정 피해를 준다)를 부여한다; 자신 외 아군 포켓몬 1마리에게 [신조의 축복]을 부여 한다(전방 라인 우선): 해당 아군이 사항 후, 봉황알로 변하고, 봉황알은 공격을 6번 받으면 격파된다. 격파되지 않으면 다음턴 종료 시 부활한다. 부활 후, 30%의 HP와 분노치를 회복한다. [신조의 축복]은 전장에서 1회만 발동된다."
