"﻿变量名",_beizhu,triggerTime,lastTime,needAutoJump,canSkip,isFirstGate,isOver,storyType,guideArgs,showType,choices,gotoStep,force,useRoleFigure,unitId,offPos,talkSelect,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,topTalk,topTalk_tw,topTalk_en,topTalk_vn,topTalk_kr,topTalkPos,topPosX,topPosY,playmp4,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_vn,roleName_kr,bgRes,tagName,animate,animateAngle,animatePos,anyPosCancel,lightSize
,Normal 1-1-End Conversation,0,2000,,,,,,,2,,,2,,,{x=-30;y=600},,"""Rage is full, you may now use your powerful knock out move! C'mon, give it a try!""",怒氣滿了，可以使用威力強大的必殺技了，趕緊試一試吧！,"""Rage is full, you may now use your powerful knock out move! C'mon, give it a try!""",404404,"""분노가 가득 찼어, 강력한 위력의 필살기를 사용할 수 있으니 어서 시도해 봐!""",,,,,,,,,,login/new_character/img_tjltm@.png,{x=-30;y=600},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Normal 1-1-Introductory Dialogue,,,,,,,,,1,,,,,,,,"""Here is the speed bar, which determines who makes the first move 1""",這裡是速度條，決定了出手的順序1,"""Here is the speed bar, which determines who makes the first move 1""",404404,"""이곳은 스피드 게이지야, 행동 순서1을 결정해 주지""",,,,,,,,,,login/new_character/img_tjltm@.png,,,,,,,,<midPanel;widgetPanel;speedRank>,,,,,
,Normal 1-1,,,,,,,,,1,,,,,,,,"""Here is the speed bar, which determines who makes the first move 2""",這裡是速度條，決定了出手的順序2,"""Here is the speed bar, which determines who makes the first move 2""",404404,"""이곳은 스피드 게이지야, 행동 순서2을 결정해 주지""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<midPanel;widgetPanel;speedRank>,effect/shouyindao.skel,,,TRUE,{width=6240;height=2880;dx=0;dy=0}
,Normal 1-1,,,,,,,,,1,,,,,,,,"""Here is the speed bar, which determines who makes the first move 3""",這裡是速度條，決定了出手的順序3,"""Here is the speed bar, which determines who makes the first move 3""",404404,"""이곳은 스피드 게이지야, 행동 순서3을 결정해 주지""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<midPanel;widgetPanel;speedRank>,effect/shouyindao.skel,,,TRUE,{width=220;height=900}
,Normal 1-1,,,,,,,,,1,,,,,,,,It's your turn now. Tap here to select the move you want to make.,輪到你出擊了，點擊這裡選擇你需要使用的技能。,It's your turn now. Tap here to select the move you want to make.,404404,"""이제 행동할 차례야, 이곳을 클릭하면 사용할 스킬을 선택할 수 있어.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill2>,effect/shouyindao.skel,,,TRUE,
,Normal 1-1,,,,,,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
,Normal 1-1,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1001,0,3000,1,,,,,,,,,1,<0>,,,,"""Adventure makes me happy. Oh, something seems to be right ahead""",冒險真讓人開心啊，前面好像出現了些什麼,"""Adventure makes me happy. Oh, something seems to be right ahead""",404404,"""모험은 사람을 즐겁게 해주지, 앞에 뭔가가 나타났어""",,,,,,,,,,,,,,,,,,,,,,,
,1002,3000,3000,1,,,,,,,,,2,<15>,,,,"""Oh, you're a rookie adventurer too?""",哦呀，你也是新人冒險家麼？,"""Oh, you're a rookie adventurer too?""",404404,"""어라, 너도 새로 온 모험가야?""",,,,,,,,,,,,,,,,,,,,,,,
,1003,6000,3000,1,,,,,,,,,1,<0>,,,,"""Yeah, I just got a Pokémon. Well then, let's fight!""",是啊，我剛拿到了精靈，既然對上了眼神，來對戰吧！,"""Yeah, I just got a Pokémon. Well then, let's fight!""",404404,"""맞아, 방금 포켓몬을 얻었지. 인사는 여기까지 하고, 배틀을 하자!""",,,,,,,,,,,,,,,,,,,,,,,
,1004,9500,3000,1,,,,,,,,,2,<15>,,,,"""Sure, but promise me that you'll go on a date with me if you lose!""",好啊，不過你可要答應我，輸了就要陪我約會哦,"""Sure, but promise me that you'll go on a date with me if you lose!""",404404,"""좋아, 그전에, 너가 지면 나랑 데이트하겠다고 약속해""",,,,,,,,,,,,,,,,,,,,,,,
,1005,11500,3000,1,,,,,,,,,1,<0>,,,,"""Don't worry, I'm not losing!""",你放心好了，我可不會輸！,"""Don't worry, I'm not losing!""",404404,"""걱정 말라고, 내가 지는 일은 없을 테니까!""",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Normal 1-2,,,,,,,,,1,,,,,,,,"""Here is the speed bar, which determines who makes the first move 1""",這裡是速度條，決定了出手的順序1,"""Here is the speed bar, which determines who makes the first move 1""",404404,"""이곳은 스피드 게이지야, 행동 순서1을 결정해 주지""",,,,,,,,,,login/new_character/img_tjltm@.png,,,,,,,,<midPanel;widgetPanel;speedRank>,,,,,
,Normal 1-2,,,,,,,,,1,,,,,,,,"""Here is the speed bar, which determines who makes the first move 2""",這裡是速度條，決定了出手的順序2,"""Here is the speed bar, which determines who makes the first move 2""",404404,"""이곳은 스피드 게이지야, 행동 순서2을 결정해 주지""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<midPanel;widgetPanel;speedRank>,effect/shouyindao.skel,,,TRUE,{width=6240;height=2880;dx=0;dy=0}
,Normal 1-2,,,,,,,,,1,,,,,,,,"""Here is the speed bar, which determines who makes the first move 3""",這裡是速度條，決定了出手的順序3,"""Here is the speed bar, which determines who makes the first move 3""",404404,"""이곳은 스피드 게이지야, 행동 순서3을 결정해 주지""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<midPanel;widgetPanel;speedRank>,effect/shouyindao.skel,,,TRUE,{width=220;height=900}
,Normal 1-2,,,,,,,,,1,,,,,,,,It's your turn now. Tap here to select the move you want to make.,輪到你出擊了，點擊這裡選擇你需要使用的技能。,It's your turn now. Tap here to select the move you want to make.,404404,"""이제 행동할 차례야, 이곳을 클릭하면 사용할 스킬을 선택할 수 있어.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill2>,effect/shouyindao.skel,,,TRUE,
,Normal 1-2,,,,,,,,,1,,,,,,,,Tap here to select the move you want to make.,點擊這裡選擇你需要使用的技能。,Tap here to select the move you want to make.,404404,이곳을 클릭하여 사용할 스킬을 선택하세요.,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill1>,effect/shouyindao.skel,,,,
,Normal 1-2,,,,,,,,,1,,,,,,,,Select the move and tap the target to cast the move on.,選擇技能後，點擊選擇技能的作用目標吧。,Select the move and tap the target to cast the move on.,404404,"""스킬을 선택한 후, 스킬 대상을 선택하세요.""",,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<UILayer;hitPanel8>,effect/shouyindao.skel,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30011,Nightmare 1-2,0,6000,1,,,,,,3,,,,,,,,,,,,,Who is the most agile Pokemon in this jungle?,誰是這叢林間最敏捷的神奇寶貝？,Who is the most agile Pokemon in this jungle?,404404,이 숲에서 가장 빠른 포켓몬이 누구지?,11,,,,,,,,,,,,,,,,,
30012,Nightmare 1-2,6000,6000,1,,,,,,3,,,,,,,,,,,,,It's the giant pincer mantis that travels through the jungle,是那穿梭于叢林的巨鉗螳螂,It's the giant pincer mantis that travels through the jungle,404404,저 숲을 가로지르는 핫삼이야,8,,,,,,,,,,,,,,,,,
30021,nightmare 2-2,0,6000,1,,,,,,3,,,,,,,,,,,,,"It doesn't deserve to join us since it can't fly! ",不會飛的，不值得與我們為伍！~,"It doesn't deserve to join us since it can't fly! ",404404,404404,8,,,,,,,,,,,,,,,,,
30022,nightmare 2-2,0,6000,1,,,,,,3,,,,,,,,,,,,,"It doesn't deserve to join us since it can't fly! ",不會飛的，不值得與我們為伍！~,"It doesn't deserve to join us since it can't fly! ",404404,404404,9,,,,,,,,,,,,,,,,,
30023,nightmare 2-2,0,6000,1,,,,,,3,,,,,,,,,,,,,"It doesn't deserve to join us since it can't fly! ",不會飛的，不值得與我們為伍！~,"It doesn't deserve to join us since it can't fly! ",404404,404404,10,,,,,,,,,,,,,,,,,
30024,nightmare 2-2,0,6000,1,,,,,,3,,,,,,,,,,,,,"It doesn't deserve to join us since it can't fly! ",不會飛的，不值得與我們為伍！~,"It doesn't deserve to join us since it can't fly! ",404404,404404,11,,,,,,,,,,,,,,,,,
30025,nightmare 2-2,0,6000,1,,,,,,3,,,,,,,,,,,,,"It doesn't deserve to join us since it can't fly! ",不會飛的，不值得與我們為伍！~,"It doesn't deserve to join us since it can't fly! ",404404,404404,12,,,,,,,,,,,,,,,,,
30031,nightmare 3-2,0,6000,1,,,,,,3,,,,,,,,,,,,,"Nobody can hurt our leader as long as I'm around! ",有我再此，休想傷害首領！~,"Nobody can hurt our leader as long as I'm around! ",404404,404404,7,,,,,,,,,,,,,,,,,
30041,Nightmare 4-2,0,6000,1,,,,,,3,,,,,,,,,,,,,"The weaker the Mudkip, the stronger I will be!",水躍魚越弱，我就越強！,"The weaker the Mudkip, the stronger I will be!",404404,"""물짱이가 약할수록, 나는 더 강해지지!""",11,,,,,,,,,,,,,,,,,
30051,Nightmare 5-2,0,6000,1,,,,,,3,,,,,,,,,,,,,"As long as the brothers are still alive, I will not die!",只要兄弟們還在，我是不會死的！,"As long as the brothers are still alive, I will not die!",404404,"""우리의 형제가 아직 있기만 하다면, 나는 죽지 않는다!""",11,,,,,,,,,,,,,,,,,
30061,Nightmare 6-3,0,6000,1,,,,,,3,,,,,,,,,,,,,"I have 100 ways to roast you, it's better to take it as soon as possible!",我有100種烤熟你們的辦法，不如趁早束手就擒！,"I have 100 ways to roast you, it's better to take it as soon as possible!",404404,"""너희를 구워삶을 100가지 방법이 있지, 순순히 항복하시지!""",11,,,,,,,,,,,,,,,,,
30071,Nightmare 7-3,0,6000,1,,,,,,3,,,,,,,,,,,,,Don't disturb the king to rest!,不要打擾大王休息！,Don't disturb the king to rest!,404404,대왕님의 휴식을 방해하지 마라!,7,,,,,,,,,,,,,,,,,
30081,Nightmare 8-3,0,6000,1,,,,,,3,,,,,,,,,,,,,Special attack damage makes me extremely excited!,特攻傷害讓我異常興奮！,Special attack damage makes me extremely excited!,404404,특수 공격 Dmg는 나를 흥분하게 만들지!,11,,,,,,,,,,,,,,,,,
30091,Nightmare 9-3,0,6000,1,,,,,,3,,,,,,,,,,,,,I specialize in P.DEF and are not afraid of any P.ATKs!,我專攻物防，無懼物攻！,I specialize in P.DEF and are not afraid of any P.ATKs!,404404,"""나는 방어의 달인, 공격을 두려워하지 않지!""",11,,,,,,,,,,,,,,,,,
30092,Nightmare 9-3,0,6000,1,,,,,,3,,,,,,,,,,,,,I specialize in SP.DEF and are not afraid of any SP.ATKs!,我專攻特防，無懼特攻！,I specialize in SP.DEF and are not afraid of any SP.ATKs!,404404,"""나는 특수 방어의 달인, 특수 공격을 두려워하지 않지!""",11,,,,,,,,,,,,,,,,,
30101,Nightmare 10-3,0,6000,1,,,,,,3,,,,,,,,,,,,,Sealing lives with me!,封印與光環同在共存！,Sealing lives with me!,404404,봉인과 아우라는 나와 함께하리!,11,,,,,,,,,,,,,,,,,
30111,Nightmare 11-4,0,6000,1,,,,,,3,,,,,,,,,,,,,"""My rage is infinite, my attacks are lethal!""",我的怒氣是無窮無盡的，攻擊極富殺傷力~,"""My rage is infinite, my attacks are lethal!""",404404,404404,11,,,,,,,,,,,,,,,,,
30121,Nightmare 12-4,0,6000,1,,,,,,3,,,,,,,,,,,,,Only the correct evolution order can win!,進化順序正確方可取得勝利！,Only the correct evolution order can win!,404404,진화 순서가 정확한 측이 승리한다네!,11,,,,,,,,,,,,,,,,,
30131,Nightmare 13-4,0,6000,1,,,,,,3,,,,,,,,,,,,,"Followers, let them taste the power of immortality!",追隨者，讓他們嘗嘗不死之力！,"Followers, let them taste the power of immortality!",404404,"""추종자여, 저들에게 불사의 힘을 보여다오!""",11,,,,,,,,,,,,,,,,,
30141,Nightmare 14-4,0,6000,1,,,,,,3,,,,,,,,,,,,,Only forbidden treatment can restrain us!,唯有禁療才能克制我們！,Only forbidden treatment can restrain us!,404404,치료를 멈추는 것만이 우리를 패배시킬 수 있지!,11,,,,,,,,,,,,,,,,,
30151,Nightmare 15-4,0,6000,1,,,,,,3,,,,,,,,,,,,,"The lower our blood volume, the higher the attack!",我們血量越低攻擊越高！,"The lower our blood volume, the higher the attack!",404404,우리는 HP가 낮을수록 Atk가 올라가지!,11,,,,,,,,,,,,,,,,,
30161,Nightmare 16-4,0,6000,1,,,,,,3,,,,,,,,,,,,,Confine your soul!,把你的魂魄禁錮起來！,Confine your soul!,404404,너의 영혼을 봉쇄하라!,10,,,,,,,,,,,,,,,,,
30162,Nightmare 16-4,6000,6000,1,,,,,,3,,,,,,,,,,,,,"As long as I am there, the night devil will not die!",只要有我在，黑夜魔靈就不會死！,"As long as I am there, the night devil will not die!",404404,"""내가 있는 한, 야느와르몽은 죽지 않아!""",12,,,,,,,,,,,,,,,,,
30171,Nightmare 17-4,0,6000,1,,,,,,3,,,,,,,,,,,,,"As long as I am here, the Dragon Clan will not perish!",只要我在，龍族就不會滅亡！,"As long as I am here, the Dragon Clan will not perish!",404404,"""내가 있는 한, 용 족은 멸망하지 않아!""",11,,,,,,,,,,,,,,,,,
30181,Nightmare 18-5,0,6000,1,,,,,,3,,,,,,,,,,,,,"Crack it! Reality, crack it! spirit",崩裂吧！現實，崩裂吧！精神,"Crack it! Reality, crack it! spirit",404404,"""파열되어라! 현실이여, 파열되어라! 정신이여""",11,,,,,,,,,,,,,,,,,
30191,Nightmare 19-5,0,6000,1,,,,,,3,,,,,,,,,,,,,"Army attack! ",全軍出擊！,"Army attack! ",404404,전군 돌격!,10,,,,,,,,,,,,,,,,,
30192,Nightmare 19-5,0,6000,1,,,,,,3,,,,,,,,,,,,,"Army attack! ",全軍出擊！,"Army attack! ",404404,전군 돌격!,12,,,,,,,,,,,,,,,,,
30201,Nightmare 20-5,0,6000,1,,,,,,3,,,,,,,,,,,,,Let’s start fighting!,開始勾心鬥角吧！,Let’s start fighting!,404404,전투를 시작하지!,10,,,,,,,,,,,,,,,,,
30211,Nightmare 21-5,0,6000,1,,,,,,3,,,,,,,,,,,,,,當我的子嗣在的時候，沒有人可以阻擋我！,,404404,404404,11,,,,,,,,,,,,,,,,,
30213,Nightmare 21-5,0,6000,1,,,,,,3,,,,,,,,,,,,,,只要我在，我的長輩就一直這麼強！,,404404,404404,8,,,,,,,,,,,,,,,,,
30221,Nightmare 22-5,0,6000,1,,,,,,3,,,,,,,,,,,,,,欺負弱小者，將承受我的怒火！,,,,11,,,,,,,,,,,,,,,,,
30222,Nightmare 22-5,0,6000,1,,,,,,3,,,,,,,,,,,,,,要想打我們老大，必須先打敗我們！,,,,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606031,Activity 3,0,4500,1,,,,,,3,,,,,,,,,,,,,"Kirby is angry, and the consequences are serious!",卡比很生氣，後果很嚴重！,"Kirby is angry, and the consequences are serious!",404404,"""잠만보가 매우 화났어, 매우 심각한 결과를 초래하게 될 거야!""",7,,,,,,,,,,,,,,,,,
606032,Activity 3,0,4500,1,,,,,,3,,,,,,,,,,,,,"Kirby is angry, and the consequences are serious!",卡比很生氣，後果很嚴重！,"Kirby is angry, and the consequences are serious!",404404,"""잠만보가 매우 화났어, 매우 심각한 결과를 초래하게 될 거야!""",9,,,,,,,,,,,,,,,,,
606041,Activity 4,0,4500,1,,,,,,3,,,,,,,,,,,,,"If you bully me, Dad won't let you go!",欺負我的話，爸爸不會放過你們的！,"If you bully me, Dad won't let you go!",404404,"""나를 괴롭히면, 아빠가 가만두지 않을 거야!""",8,,,,,,,,,,,,,,,,,
606051,Activity 5,0,4500,1,,,,,,3,,,,,,,,,,,,,Hush don't say anything!,噓 不要出聲！,Hush don't say anything!,404404,"""쉿, 조용히 해!""",11,,,,,,,,,,,,,,,,,
606061,Activity 6,0,4500,1,,,,,,3,,,,,,,,,,,,,"With us, the children will not be injured!",有我們在，孩子們就不會受傷！,"With us, the children will not be injured!",404404,"""내가 있는 한, 아이들은 다치게 두지 않아!""",7,,,,,,,,,,,,,,,,,
606062,Activity 6,0,4500,1,,,,,,3,,,,,,,,,,,,,"With us, the children will not be injured!",有我們在，孩子們就不會受傷！,"With us, the children will not be injured!",404404,"""내가 있는 한, 아이들은 다치게 두지 않아!""",8,,,,,,,,,,,,,,,,,
606063,Activity 6,0,4500,1,,,,,,3,,,,,,,,,,,,,"With us, the children will not be injured!",有我們在，孩子們就不會受傷！,"With us, the children will not be injured!",404404,"""내가 있는 한, 아이들은 다치게 두지 않아!""",11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607011,Activity 1,0,2000,,TRUE,,,,,2,,,2,,281011,{x=0;y=-150},,"The Ice and Snow Festival is coming, let's make dessert cakes to welcome the Ice and Snow Festival",冰雪節快到了，大家一起製作甜品蛋糕來迎接冰雪節吧,,,,,,,,,,,,,login/new_character/img_tjltm@.png,{x=-30;y=600},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,,,,,,
607012,Activity 1,2000,4000,,TRUE,,,,,2,,,1,,281027,{x=0;y=-400},,"Hmm, let's work together",嗯嗯，大家一起加油吧,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,404404,로토무 도감,,<bottomRightPanel;skill3>,effect/shouyindao.skel,,,,
607019,Activity 1 ends,0,2000,,TRUE,,,,,2,,,2,,281027,{x=0;y=-400},,"Wow, thanks to everyone's hard work, the cake is finally ready. Hurry up and ask your friends to come and eat cake together",哇，感謝大家的努力，蛋糕終於做好了。快去叫小夥伴們一起過來吃蛋糕吧,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607021,Activity 2,0,2000,,TRUE,,,,,2,,,2,,281018,{x=0;y=-150},,"The king asked me to patrol the mountain ♪...Huh? What is so fragrant, go and see",大王叫我來巡山♪……嗯？什麼東西這麼香，去看看,,,,,,,,,,,,,,,,,,,,,,,,,,
607022,Activity 2,0,2000,,TRUE,,,,,2,,,1,,281011,{x=0;y=-150},,"Help, someone is grabbing the cake!",救命啊，有人搶蛋糕！,,,,,,,,,,,,,,,,,,,,,,,,,,
607023,Activity 2,0,2000,,TRUE,,,,,2,,,2,,281027,{x=0;y=-400},,"This is the cake that everyone worked so hard to make, run away and don't let them steal the cake",這可是大家辛辛苦苦做的蛋糕，快趕跑狃拉，別讓他們搶走蛋糕,,,,,,,,,,,,,,,,,,,,,,,,,,
607029,Activity 2,0,2000,,TRUE,,,,,2,,,2,,281018,{x=0;y=-150},,"snort! You bully people because of the number of people, watch me call the boss over, you are dead!",哼！你們仗著人多欺負人，看我去把老大喊過來，你們死定了！,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607031,Activity 3,0,2000,,TRUE,,,,,2,,,2,,281011,{x=0;y=-150},,"Not good, Huanla and the others came back with rescuers",不好，狃拉他們帶著救兵回來了,,,,,,,,,,,,,,,,,,,,,,,,,,
607032,Activity 3,2000,4000,,TRUE,,,,,2,,,1,,281018,{x=0;y=-150},,"Boss, we just want to try the dessert cake, they...they beat us like this, woo woo woo~",老大，我們只是想嘗嘗甜品蛋糕，他們……他們就把我們打成這樣了，嗚嗚嗚~,,,,,,,,,,,,,,,,,,,,,,,,,,
607033,Activity 3,4000,6000,,TRUE,,,,,2,,,2,,281021,{x=0;y=-150},,"Hmph, if you dare to hurt my little brother, if you don’t teach me a lesson, you will really treat me as a Hello Kitty! Watch out for the little ones, watch me beat them all to the ground for five rounds, and avenge you",哼，敢傷我小弟，不好好教訓一頓真當我瑪狃拉是HelloKitty！小的們看好了，看我五回合給他們全打趴下，替你們報仇,,,,,,,,,,,,,,,,,,,,,,,,,,
607034,Activity 3,4000,6000,,TRUE,,,,,2,,,1,,281018,{x=0;y=-150},,The boss is mighty!,老大威武！,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607036,Activity 3,0,2000,,TRUE,,,,,2,,,2,,281021,{x=0;y=-150},,"It's almost time, young master, I have something to do today, little ones, get out!",時候差不多了，小爺我今天有點事，小的們，撤！,,,,,,,,,,,,,,,,,,,,,,,,,,
607037,Activity 3,2000,4000,,TRUE,,,,,2,,,1,,281018,{x=0;y=-150},,"(Laughing) Hee hee hee hee, yes, we have something to do, we will beat you next time",（偷笑）嘻嘻嘻嘻，對對，我們有點事，下次再揍你們,,,,,,,,,,,,,,,,,,,,,,,,,,
607038,Activity 3,4000,6000,,TRUE,,,,,2,,,2,,281011,{x=0;y=-150},,"Oops, it was a trick, just now they took advantage of the chaos and took away the diamond princess",糟了，中計了，剛才他們趁亂把鑽石公主擄走了,,,,,,,,,,,,,,,,,,,,,,,,,,
607039,Activity 3,4000,6000,,TRUE,,,,,2,,,1,,281012,{x=0;y=-150},,"Woohoo what can I do, the Ice and Snow Festival is coming soon, we must rescue the princess as soon as possible",嗚嗚這可怎麼辦，馬上就要到冰雪節了，我們一定要儘快救出公主,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607041,Activity 4,0,2000,,TRUE,,,,,2,,,2,,281011,{x=0;y=-150},,"Woohoo, let's save the princess! The Ice and Snow Festival cannot be without a princess",嗚嗚我們快去救公主吧！冰雪節不能沒有公主,,,,,,,,,,,,,,,,,,,,,,,,,,
607042,Activity 4,2000,4000,,TRUE,,,,,2,,,1,,281012,{x=0;y=-150},,"Ma Huanla is insidious and cunning, we won't gain anything from fighting them head-on, and the princess is still in their hands, let's ask the Guardian God of Ice, he will definitely help us rescue the princess!",瑪狃拉陰險狡猾，我們正面和他們戰鬥吃不到甜頭，況且公主還在他們手上，我們去問問冰之守護神，他一定能幫我們救出公主！,,,,,,,,,,,,,,,,,,,,,,,,,,
607043,Activity 4,4000,6000,,TRUE,,,,,2,,,2,,281024,{x=0;y=-150},,"I have already heard about you. If you want me to help you, you must first prove your strength",你們的事我早已聽說，要想讓我幫忙，你們必須先證明自己的實力,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607045,Activity 4,0,2000,,TRUE,,,,,2,,,2,,281024,{x=0;y=-150},,"I appreciate your courage, but it is still difficult for you to defeat Ma Yula with your strength. I will give you the power of ice and snow. When you use ice skills, I will summon snowballs to help you attack together. Next, use this power of ice and snow to defeat me",你們的勇氣我很欣賞，不過你們的實力要想戰勝瑪狃拉還有一定難度，我將冰雪之力賦予你們，使用冰系技能時會召喚出雪球助你們一同攻擊。接下來就用這冰雪之力打敗我吧,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607047,Activity 4,0,2000,,TRUE,,,,,2,,,2,,281024,{x=0;y=-150},,"Yes, it seems that you have mastered the power of ice and snow, go save your princess",不錯，看來你們已經熟練掌握了冰雪之力，去救你們的公主吧,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607051,Activity 5,0,2000,,TRUE,,,,,2,,,2,,281018,{x=0;y=-150},,"Hmph, I didn't expect the ice trap on the road to stop you...You guys, stop them for me, I'll go find the boss!",哼，沒想到路上的寒冰陷阱沒能攔住你們……你們幾個，給我攔住他們，我去找老大！,,,,,,,,,,,,,,,,,,,,,,,,,,
607052,Activity 5,0,2000,,TRUE,,,,,2,,,1,,281011,{x=0;y=-150},,"It seems that Ma Yula is not here, we must rescue the princess before he returns",看來瑪狃拉不在，我們一定要在他回來前救出公主,,,,,,,,,,,,,,,,,,,,,,,,,,
607053,Activity 5,2000,4000,,TRUE,,,,,2,,,2,,281012,{x=0;y=-151},,"Woohoo, be careful, don't accidentally hurt the princess",嗚嗚，你們小心點，可別誤傷了公主,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607061,Activity 6,0,2000,,TRUE,,,,,2,,,2,,281018,{x=0;y=-150},,"dai~ hurt my brother, and even snatched someone from under my nose! Whoa, whoa, whoa, where are you running!",dai~傷了我兄弟，還從我眼皮子底下搶人！哇呀呀呀呀呀~哪裡跑！,,,,,,,,,,,,,,,,,,,,,,,,,,
607062,Activity 6,2000,4000,,TRUE,,,,,2,,,1,,281011,{x=0;y=-150},,"Not good, Ma Yula is catching up, follow the instructions of the patron saint of ice, and use ice skills to attack",不好，瑪狃拉追上來了，快依照冰之守護神的指示，使用冰系技能攻擊,,,,,,,,,,,,,,,,,,,,,,,,,,
