变量名,name,giftType,award,numMax,type,typeMax,endDate,languages,validRoleCreatedDateRange
25023,"130,000 KRW App-only",,{rmb=3240;521=20;gold=200000},1,25023,1,20990101,<kr>,
,,,,,,,,,
25031,Free KRW app only,,{rmb=60;502=1;gold=50000},1,25031,1,20990101,<kr>,
25032,Free KRW app only,,{rmb=60;502=1;gold=50000},1,25032,1,20990101,<kr>,
,,,,,,,,,
30001,Fan page warm-up lottery gift package code,,{rmb=777;519=10},1,30001,1,20990101,<en>,
30002,Fan page package code (fixed),1,{rmb=100;gold=100000;14=1;13=5},1,30002,1,20990101,<en>,
30003,Fan page package code,,{rmb=200;gold=200000;14=3;13=10},1,30003,1,20990101,<en>,
30004,Fan page activity package code,1,{rmb=100;gold=100000;14=1;13=5},1,30004,1,20990101,<en>,
30005,Fan page activity package code,1,{rmb=100;gold=100000;14=1;13=5},1,30005,1,20990101,<en>,
30006,Fan page activity package code,1,{rmb=100;gold=100000;14=1;13=5},1,30006,1,20990101,<en>,
30007,Fan page activity package code,1,{rmb=100;gold=100000;14=1;13=5},1,30007,1,20990101,<en>,
30008,Fan page activity package code,1,{rmb=100;gold=100000;14=1;13=5},1,30008,1,20990101,<en>,
30009,Fan page activity package code,1,{rmb=100;gold=100000;14=1;13=5},1,30009,1,20990101,<en>,
30010,Fan page activity package code,1,{rmb=100;gold=100000;14=1;13=5},1,30010,1,20990101,<en>,
30011,Fan page activity package code,1,{rmb=100;gold=100000;14=1;13=5},1,30011,1,20990101,<en>,
30012,Fan page activity package code,1,{rmb=100;gold=100000;14=1;13=5},1,30012,1,20990101,<en>,
30013,Fan page activity package code,1,{rmb=100;gold=100000;14=1;13=5},1,30013,1,20990101,<en>,
30014,Fan page activity package code,,{rmb=666;519=3;card={id=9002}},1,30014,1,20990101,<en>,
30015,Fan page activity package code,,{rmb=333;519=2;card={id=9001}},1,30015,1,20990101,<en>,
30016,gift code,,{519=10},1,30016,1,20990101,<en>,
30017,Fixed gift code,1,{519=10},1,30017,1,20990101,<en>,
30018,Special Package No. 1,,{rmb=30;451=10;gold=50000},1,30018,1,20990101,<en>,
30019,Special Package No. 2,,{rmb=60;521=1;gold=50000},1,30019,1,20990101,<en>,
30020,Special Package No. 3,,{rmb=90;520=1;2103=5},1,30020,1,20990101,<en>,
30021,Special Package No. 4,,{rmb=125;602=5;902=10},1,30021,1,20990101,<en>,
30022,Special package No. 5,,{rmb=150;19=3;452=10},1,30022,1,20990101,<en>,
30023,Special package No. 6,,{rmb=300;527=5;14=15},1,30023,1,20990101,<en>,
30024,Special Package No. 7,,{rmb=440;519=5;gold=50000},1,30024,1,20990101,<en>,
30025,Special package No. 8,,{rmb=490;520=8;4000=100},1,30025,1,20990101,<en>,
30026,Special package No. 9,,{rmb=640;503=8;501=1},1,30026,1,20990101,<en>,
30027,Special package No. 10,,{rmb=840;519=10;14=20},1,30027,1,20990101,<en>,
30028,Special gift package No. 11,,{rmb=990;527=10;2103=5},1,30028,1,20990101,<en>,
30029,Special package No. 12,,{rmb=1640;942=1;2103=30},1,30029,1,20990101,<en>,
30030,Special package No. 13,,{rmb=3240;521=20;gold=200000},1,30030,1,20990101,<en>,
30031,Gift pack app free gift pack code,,{rmb=60;502=1;gold=50000},1,30031,1,20990101,<en>,
30032,gift bag,1,{rmb=100;gold=100000;14=1;13=5},1,30032,1,20990101,<en>,
30033,gift bag,1,{rmb=100;gold=100000;14=1;13=5},1,30033,1,20990101,<en>,
30034,gift bag,1,{rmb=100;gold=100000;14=1;13=5},1,30034,1,20990101,<en>,
30035,gift bag,1,{rmb=100;gold=100000;14=1;13=5},1,30035,1,20990101,<en>,
30036,gift bag,1,{rmb=100;gold=100000;14=1;13=5},1,30036,1,20990101,<en>,
30037,gift bag,1,{rmb=100;gold=100000;14=1;13=5},1,30037,1,20990101,<en>,
30038,gift bag,1,{rmb=100;gold=100000;14=1;13=5},1,30038,1,20990101,<en>,
30039,gift bag,1,{rmb=100;gold=100000;14=1;13=5},1,30039,1,20990101,<en>,
30040,gift bag,1,{rmb=100;gold=100000;14=1;13=5},1,30040,1,20990101,<en>,
30041,gift bag,1,{rmb=100;gold=100000;14=1;13=5},1,30041,1,20990101,<en>,
30042,gift bag,,{930=30;gold=100000;519=10},1,30042,1,20990101,<en>,
30043,gift bag,,{rmb=200;gold=1000000;502=5},1,30043,1,20990101,<en>,
,,,,,,,,,
35001,Plus group gift package - small Y,,{rmb=150;gold=500000;14=30},1,35001,1,20990101,,
35002,Compensation package - small Y,,{rmb=188;519=2;gold=200000},1,35002,1,20990101,,
35003,Monthly sign-in package - Little Y,,{rmb=200;452=30;902=10},1,35003,1,20990101,,
35004,H5 Preheating Gift Package - Small Y,,{rmb=200;gold=200000;930=10},1,35004,1,20990101,,
35005,Event Gift Pack - Little Y,,{rmb=200;gold=200000;503=5},1,35005,1,20990101,,
35006,Adventure Gift Pack - Little Y,,{rmb=150;gold=100000;901=5},1,35006,1,20990101,,
35007,Senior Adventure Gift Pack - Little Y,,{rmb=200;gold=200000;502=3},1,35007,1,20990101,,
,,,,,,,,,
36001,September 21 official website gift package,,{rmb=199;gold=200000;930=10},1,36001,1,20990101,,
36002,teacher's day gift bag,,{rmb=150;gold=100000;15=5},1,36002,1,20990101,,
36003,mid autumn gift pack,,{rmb=199;gold=250000;930=5},1,36003,1,20990101,,
36004,autumnal equinox gift pack,,{rmb=150;gold=500000;902=5},1,36004,1,20990101,,
36005,September spare 1,,{rmb=100;gold=200000;503=3},1,36005,1,20990101,,
36006,September spare 2,,{rmb=199;gold=500000;902=3},1,36006,1,20990101,,
36007,September spare 3,,{rmb=350;gold=200000;503=5},1,36007,1,20990101,,
36008,Live gift pack 15,,{rmb=150;gold=500000;902=3},1,36008,1,20990101,,
36009,Live gift pack 16,,{rmb=100;gold=200000;503=3},2,36009,1,20990101,,
36010,Live ten consecutive gift packs 5,,{519=10},1,36010,1,20990101,,
36011,Veteran player ten consecutive gift pack 2,,{519=10},1,36011,1,20990101,,
,,,,,,,,,
37001,WeChat follow gift pack 3,1,{rmb=200;gold=200000;503=2},1,37001,1,20990101,,
37002,Douyin universal code 1,1,{rmb=99;gold=100000;930=5},1,37002,1,20990101,,
37003,Douyin Universal Code 2,1,{rmb=88;gold=200000;15=5},1,37003,1,20990101,,
37004,Guild event pack 2,1,{rmb=150;gold=100000;503=2},1,37004,1,20990101,,
37005,Guild event pack 3,,{rmb=300;gold=100000;930=5},1,37005,1,20990101,,
37006,High value test group,,{rmb=500;gold=100000;930=10},20,37006,1,20990101,,
37007,long-term standby 1,,{rmb=150;gold=100000;902=2},1,37007,1,20990101,,
37008,long-term standby 2,,{rmb=100;gold=200000;503=3},1,37008,1,20990101,,
37009,long-term standby 3,,{rmb=200;gold=500000;902=2},1,37009,1,20990101,,
37010,active spare 1,,{rmb=300;gold=200000;503=3},1,37010,1,20990101,,
37011,Guild join group 3,,{rmb=188;519=5;gold=200000},1,37011,1,20990101,,
37012,Accumulated login for 7 days3,,{rmb=200;452=30;902=10},1,37012,1,20990101,,
37013,Log in fifteen days 3,,{rmb=300;503=5;902=10},1,37013,1,20990101,,
37014,Log in for 28 days 3,,{rmb=500;gold=500000;503=5},1,37014,1,20990101,,
,,,,,,,,,
40001,Novice gift pack,1,{rmb=300;gold=50000;519=5},1,40001,1,20990101,<tw>,
40002,Marketing Package,1,{rmb=200;gold=20000;515=2;930=20},1,40002,1,20990101,<tw>,
40003,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40003,1,20990101,<tw>,
40004,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40004,1,20990101,<tw>,
40005,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40005,1,20990101,<tw>,
40006,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40006,1,20990101,<tw>,
40007,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40007,1,20990101,<tw>,
40008,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40008,1,20990101,<tw>,
40009,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40009,1,20990101,<tw>,
40010,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40010,1,20990101,<tw>,
40011,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40011,1,20990101,<tw>,
40012,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40012,1,20990101,<tw>,
40013,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40013,1,20990101,<tw>,
40014,facebook monthly active gift code,,{rmb=200;gold=50000;951=5},1,40014,1,20990101,<tw>,
40015,VIP gift code,,{519=5;503=5;902=30},1,40015,1,20990101,<tw>,
40016,VIP gift code,,{rmb=100;gold=2000000;902=150;502=20},1,40016,1,20990101,<tw>,
40017,VIP birthday gift code,,{500=4;rmb=500;519=10},1,40017,1,20990101,<tw>,
40018,Store praise event rewards,,{rmb=500;503=3;902=30;519=3},1,40018,1,20990101,<tw>,
40019,Questionnaire gift code,,{rmb=400;gold=100000;502=10;519=3},1,40019,1,20990101,<tw>,
40020,Store praise event rewards,1,{rmb=200;gold=300000;930=20;519=5;502=5},1,40020,1,20990101,<tw>,
40021,Questionnaire gift code,1,{rmb=150;gold=500000;951=15;519=10},1,40021,1,20990101,<tw>,
40022,Marketing gift code,1,{rmb=200;gold=300000;527=5;930=20;502=5},1,40022,1,20990101,<tw>,
40023,Marketing ten consecutive draw gift code,1,{rmb=150;gold=500000;527=10;951=15},1,40023,1,20990101,<tw>,
40024,Marketing gift code,1,{rmb=200;gold=300000;527=5;502=5;930=20},1,40024,1,20990101,<tw>,
40025,Marketing ten consecutive draw gift code,1,{rmb=150;gold=500000;527=10;951=15},1,40025,1,20990101,<tw>,
40026,Baifu gift code,1,{rmb=300;gold=300000;527=5;520=3;902=30},1,40026,1,20990101,<tw>,
40027,National Day gift code,1,{rmb=200;gold=400000;527=10;502=10;930=20},1,40027,1,20990101,<tw>,
40028,Halloween gift code,1,{rmb=150;gold=300000;503=5;951=15},1,40028,1,20990101,<tw>,
40029,Annual gift code,1,{rmb=200;gold=300000;527=5;521=3;930=20},1,40029,1,20990101,<tw>,
40030,Promotional gift code,1,{rmb=200;gold=300000;922=1;930=20;502=5},1,40030,1,20990101,<tw>,
40031,Black Friday First Savings Gift Code,,{rmb=200;gold=100000;925=1;card={id=9002};6059=1},1,40031,1,20990101,<tw>,
