变量名,key,text,text_tw,text_en,text_vn,text_kr
1034,UnionCloneInvite,"""#C0x5C9971#%s#C0x5B545B#is being surrounded in the %s element room by #C0xE77421#%s#C0x5B545B#! Hurry, offer them some assistance#LULnature_room_id##Icity/adventure/clone_battle/imag_ljjr.png-182-54#""",#C0x5C9971#%s#C0x5B545B#正在%s元素房間被#C0xE77421#%s#C0x5B545B#圍堵，快來前往協助#LULnature_room_id##Icity/adventure/clone_battle/imag_ljjr.png-182-54#,"""#C0x5C9971#%s#C0x5B545B#is being surrounded in the %s element room by #C0xE77421#%s#C0x5B545B#! Hurry, offer them some assistance#LULnature_room_id##Icity/adventure/clone_battle/imag_ljjr.png-182-54#""",,#C0x5C9971#%s#C0x5B545B# 님이 %s 엘리먼트 방에서 #C0xE77421#%s#C0x5B545B#에게 포위되었습니다. 어서 도와주세요! #LULnature_room_id##Icity/adventure/clone_battle/imag_ljjr.png-182-54#
1035,UnionRedPacketSend,"""The #C0x5B545B#Tycoon#C0x5C9971#{role}#C0x5B545B# has put up some rewards! Hurry, grab it now!#LULredpack##Icommon/btn/img_ljqw.png-182-54#""",#C0x5B545B#土豪#C0x5C9971#{role}#C0x5B545B#發福利啦，大家快去搶！#LULredpack##Icommon/btn/img_ljqw.png-182-54#,"""The #C0x5B545B#Tycoon#C0x5C9971#{role}#C0x5B545B# has put up some rewards! Hurry, grab it now!#LULredpack##Icommon/btn/img_ljqw.png-182-54#""",,#C0x5B545B##C0x5C9971#{role}#C0x5B545B# 님이 모두에게 보너스 혜택을 보냈습니다. 놓치지 마세요!#LULredpack##Icommon/btn/img_ljqw.png-182-54#
1036,UnionRedPacketGetRole,#C0x5B545B##C0x5C9971#{role_get}#C0x5B545B# is having Lady Luck on their side as they manage to grab  #C0xE69900#{count}{type}#C0x5B545B# from #C0x5C9971#{role_send}#C0x5B545B#'s Red Packet!,#C0x5B545B##C0x5C9971#{role_get}#C0x5B545B#鴻運當頭，搶到了#C0x5C9971#{role_send}#C0x5B545B#紅包裡的#C0xE69900#{count}{type}#C0x5B545B#！,#C0x5B545B##C0x5C9971#{role_get}#C0x5B545B# is having Lady Luck on their side as they manage to grab  #C0xE69900#{count}{type}#C0x5B545B# from #C0x5C9971#{role_send}#C0x5B545B#'s Red Packet!,,#C0x5B545B##C0x5C9971#{role_get}#C0x5B545B#축하합니다! #C0x5C9971#{role_send}#C0x5B545B# 보너스에서 #C0xE69900#{count}{type}#C0x5B545B# 획득!
1037,UnionRedPacketGetSys,#C0x5B545B##C0x5C9971#{role_get}#C0x5B545B# is having Lady Luck on their side as they grabbed a union Red Packet which contain #C0xE69900#{count}{type}#C0x5B545B#!,#C0x5B545B##C0x5C9971#{role_get}#C0x5B545B#福星高照，搶到一個公會紅包，獲得了#C0xE69900#{count}{type}#C0x5B545B#！,#C0x5B545B##C0x5C9971#{role_get}#C0x5B545B# is having Lady Luck on their side as they grabbed a union Red Packet which contain #C0xE69900#{count}{type}#C0x5B545B#!,,#C0x5B545B##C0x5C9971#{role_get}#C0x5B545B# 축하합니다! 길드 보너스를 손에 넣어 #C0xE69900#{count}{type}#C0x5B545B# 획득!
1038,RoleJoinUnionOK,#C0x5B545B#Congratulations for joining %s!,#C0x5B545B#恭喜您成功加入%s公會！,#C0x5B545B#Congratulations for joining %s!,,#C0x5B545B#축하합니다. %s 길드 가입에 성공했습니다!
1039,WhiteText,#C0x999999#White#C0x5B545B#,#C0x999999#白色#C0x5B545B#,#C0x999999#White#C0x5B545B#,#C0x999999# Màu trắng #C0x5B545B#,#C0x999999#흰색#C0x5B545B#
1040,GreenText,#C0x5C9970#Green#C0x5B545B#,#C0x5C9970#綠色#C0x5B545B#,#C0x5C9970#Green#C0x5B545B#,#C0x5C9970# Lục sắc #C0x5B545B#,#C0x5C9970#초록색#C0x5B545B#
1041,BlueText,#C0x3D8A99#Rare#C0x5B545B#,#C0x3D8A99#藍色#C0x5B545B#,#C0x3D8A99#Rare#C0x5B545B#,#C0x3D8A99# Màu lam #C0x5B545B#,#C0x3D8A99#파란색#C0x5B545B#
1042,PurpleText,#C0x8A5C99#Epic#C0x5B545B#,#C0x8A5C99#紫色#C0x5B545B#,#C0x8A5C99#Epic#C0x5B545B#,#C0x8A5C99# Tử sắc #C0x5B545B#,#C0x8A5C99#보라색#C0x5B545B#
1043,GoldenText,#C0xE69900#Gold#C0x5B545B#,#C0xE69900#金色#C0x5B545B#,#C0xE69900#Gold#C0x5B545B#,#C0xE69900# Kim sắc #C0x5B545B#,#C0xE69900#금색#C0x5B545B#
1044,OrangeText,#C0xE67422#Legendary#C0x5B545B#,#C0xE67422#橙色#C0x5B545B#,#C0xE67422#Legendary#C0x5B545B#,#C0xE67422# Màu cam #C0x5B545B#,#C0xE67422#주황색#C0x5B545B#
1045,RedText,#C0xFL3B54#Marvel#C0x5B545B#,#C0xFL3B54#紅色#C0x5B545B#,#C0xFL3B54#Marvel#C0x5B545B#,#C0xFL3B54# Màu đỏ #C0x5B545B#,#C0xFL3B54#빨간색#C0x5B545B#
1046,RoleNewJoinUnion,"""#C0x5B545B#%s is requesting to join your union, please grant your approval!""",#C0x5B545B#%s想要加入您的公會，請老大批准！,"""#C0x5B545B#%s is requesting to join your union, please grant your approval!""",,#C0x5B545B#%s 님이 길드 가입을 신청했습니다!
1047,UnionIntro,"""Welcome to %s, let's build a new home""",歡迎來到 %s，讓我們一起建設新家園,"""Welcome to %s, let's build a new home""",,"""%s 님, 환영합니다! 함께 노력해 성장합시다!"""
1048,LuckyCatDesc1,"""#C0x5B545B#Everyone gets 5 chances,""",#C0x5B545B#每個人都有5次機會，,"""#C0x5B545B#Everyone gets 5 chances,""",,#C0x5B545B#모두 5회의 기회가 주어집니다.
1049,LuckyCatDesc2,More chances here#C0x5B545B#!,#C0x5B545B#有更多機會哦,More chances here#C0x5B545B#!,,#C0x5B545B#더 많은 기회가 있습니다.
1050,pass_battle,"""#C0x5B545B#As you've displayed a heroic performance yesterday, you may skip this floor's battle and get full stars with the highest points. Continue? (You can only skip %s floors at most today)""",#C0x5B545B#鑒於您昨日試煉的英勇表現，可直接跳過該層戰鬥，並獲得滿星和最高積分，是否繼續？（今日最多可跳過%s層）,"""#C0x5B545B#As you've displayed a heroic performance yesterday, you may skip this floor's battle and get full stars with the highest points. Continue? (You can only skip %s floors at most today)""",,"""#C0x5B545B#어제 시련에서의 활약을 통해 해당 층수 전투까지 스킵할 수 있게 되었으며, 최고 성급 및 최고 포인트를 획득했습니다. 계속하겠습니까? (오늘 최대 %s층까지 스킵 가능)"""
1051,whiteText,Common,白色,Common,Màu trắng,흰색
1052,greenText,Common,綠色,Common,Lục sắc,초록색
1053,blueText,Rare,藍色,Rare,Màu lam,파란색
1054,purpleText,Epic,紫色,Epic,Tử sắc,보라색
1055,orangeText,Legendary,橙色,Legendary,Màu cam,주황색
1056,redText,Marvel,紅色,Marvel,Màu đỏ,빨간색
1057,white,Common,白,Common,Bạch,흰색
1058,green,Uncommon,綠,Uncommon,Lục,초록색
1059,blue,Rare,藍,Rare,Lam,파란색
1060,purple,Epic,紫,Epic,Tử,보라색
1061,orange,Legendary,橙,Legendary,Cam,주황색
1062,red,Marvel,紅,Marvel,Đỏ,빨간색
1063,battleShare,#C0x5B545B#I'm fighting against  #C0x5C9971#{enemy}#C0x5B545B# at #C0xF13B54#{where}#C0x5B545B#. It'll be an exciting battle and I welcome all to spectate the battle.#LULbattleID##Icommon/btn/img_ckxq.png-182-54#,#C0x5B545B#我在#C0xF13B54#{where}#C0x5B545B#對戰#C0x5C9971#{enemy}#C0x5B545B#的戰鬥，真的是太精彩了，邀請大家來欣賞。#LULbattleID##Icommon/btn/img_ckxq.png-182-54#,#C0x5B545B#I'm fighting against  #C0x5C9971#{enemy}#C0x5B545B# at #C0xF13B54#{where}#C0x5B545B#. It'll be an exciting battle and I welcome all to spectate the battle.#LULbattleID##Icommon/btn/img_ckxq.png-182-54#,,#C0x5B545B#제가 #C0xF13B54#{where}#C0x5B545B#에서 #C0x5C9971#{enemy}#C0x5B545B#에게 맞선 전투를 보러 오세요! #LULbattleID##Icommon/btn/img_ckxq.png-182-54#
1064,unionJoinupInvite,#C0x5B545B#The union#C0x5C9971##L10100##LULunion1#{name}#C0x5B545B#is recruiting: #C0xE77421#{desc}#LULunion1##Icommon/btn/img_ckxq.png-182-54#,#C0x5B545B#公會#C0x5C9971##L10100##LULunion1#{name}#C0x5B545B#正在招募小夥伴：#C0xE77421#{desc}#LULunion1##Icommon/btn/img_ckxq.png-182-54#,#C0x5B545B#The union#C0x5C9971##L10100##LULunion1#{name}#C0x5B545B#is recruiting: #C0xE77421#{desc}#LULunion1##Icommon/btn/img_ckxq.png-182-54#,,#C0x5B545B##C0x5C9971##L10100##LULunion1#{name}#C0x5B545B# 길드가 동료를 구하고 있습니다: #C0xE77421#{desc}#LULunion1##Icommon/btn/img_ckxq.png-182-54#
1065,unionJoinupDesc,We welcome everyone to join us.,歡迎各路大佬萌新加入。,We welcome everyone to join us.,,어떤 분들이든지 환영합니다!
1066,NewsCardShare,"""#C0x5B545B#My #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# is really awesome, come and check it out!#LULcard1##Icommon/btn/img_ckxq.png-182-54#""",#C0x5B545B#我的#C0xE77421##L10100##LULcard1#{card}#C0x5B545B#真的是棒極了，快來圍觀！#LULcard1##Icommon/btn/img_ckxq.png-182-54#,"""#C0x5B545B#My #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# is really awesome, come and check it out!#LULcard1##Icommon/btn/img_ckxq.png-182-54#""",,"""#C0x5B545B#제 #C0xE77421##L10100##LULcard1#{card}#C0x5B545B#, 정말 멋지지 않아요? 어서 구경하세요! #LULcard1##Icommon/btn/img_ckxq.png-182-54#"""
1068,FriendCloneInvite,"""#C0x5C9971#%s#C0x5B545B#is being surrounded in the %s element room by #C0xE77421#%s#C0x5B545B#! Hurry, offer them some assistance#LULnature_room_id##Icity/adventure/clone_battle/imag_ljjr.png-182-54#""",#C0x5C9971#%s#C0x5B545B#正在%s元素房間被#C0xE77421#%s#C0x5B545B#圍堵，快來前往協助#LULnature_room_id##Icity/adventure/clone_battle/imag_ljjr.png-182-54#,"""#C0x5C9971#%s#C0x5B545B#is being surrounded in the %s element room by #C0xE77421#%s#C0x5B545B#! Hurry, offer them some assistance#LULnature_room_id##Icity/adventure/clone_battle/imag_ljjr.png-182-54#""",,#C0x5C9971#%s#C0x5B545B# 님이 %s 엘리먼트 방에서 #C0xE77421#%s#C0x5B545B#에게 포위되었습니다. 어서 도와주세요! #LULnature_room_id##Icity/adventure/clone_battle/imag_ljjr.png-182-54#
1069,pauseMark,""",""",、,""",""",",",""", """
1070,NewsCardInLimitDrawUp,#C0x5B545B#Congratulations! #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B# -star #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# by limited card draw and has increased its strength greatly!,#C0x5B545B#恭喜#C0x5C9971##L10100##LULrole1#{name}#C0x5B545B#通過限定抽卡獲得了#C0xE69900#{star}#C0x5B545B#星#C0xE77421##L10100##LULcard1#{card}#C0x5B545B#，實力大幅增強！,#C0x5B545B#Congratulations! #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B# -star #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# by limited card draw and has increased its strength greatly!,,#C0x5B545B#축하합니다. #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B# 님이 한정 뽑기를 통해 #C0xE69900#{star}#C0x5B545B#성 #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# 획득!
1071,HuoDongRedPacket,#C0x5C9971#{role_name}#C0x5B545B# sent a #C0xF13D56#Spring Festival Red Packet#C0x5B545B# with their well wishes message#C0x8DB1D3#a #C0x5B545B#:{message}.#LULhd_redPacket_idx##Iactivity/chinese_new_year/btn_lqhb.png-182-54#,#C0x5C9971#{role_name}#C0x5B545B#發了一個#C0xF13D56#新春紅包#C0x5B545B#，並發出#C0x8DB1D3#祝福#C0x5B545B#：{message}。#LULhd_redPacket_idx##Iactivity/chinese_new_year/btn_lqhb.png-182-54#,#C0x5C9971#{role_name}#C0x5B545B# sent a #C0xF13D56#Spring Festival Red Packet#C0x5B545B# with their well wishes message#C0x8DB1D3#a #C0x5B545B#:{message}.#LULhd_redPacket_idx##Iactivity/chinese_new_year/btn_lqhb.png-182-54#,,#C0x5C9971#{role_name}#C0x5B545B# 님이 #C0xF13D56#새해 보너스#C0x5B545B#와 #C0x8DB1D3#축복#C0x5B545B#의 메시지를 보냈습니다: {message}. #LULhd_redPacket_idx##Iactivity/chinese_new_year/btn_lqhb.png-182-54#
1072,unionFragDonateStartNotSuccess,"Your wish was not made, please reopen the Wish Center and try again",許願未成功，請重新打開許願中心再試,"Your wish was not made, please reopen the Wish Center and try again","Cầu nguyện không thành công, vui lòng mở lại Trung Tâm Cầu Nguyện và thử lại",소원에 성공하지 못했습니다. 다시 소원을 열어 시도하세요.
1073,unionFragDonateNotSuccess,"Unable to gift as the gifting time is over, or the other party has obtained enough shards",超過可贈送時間，或者對方已經獲得了足夠的碎片，無法贈送,"Unable to gift as the gifting time is over, or the other party has obtained enough shards","Quá thời gian tặng hoặc đối phương đã nhận đủ Mảnh, không thể tặng",선물 가능 시간을 초과했거나 상대방이 이미 충분한 조각을 획득했습니다.
1074,NewsCardInCapture,#C0x5B545B#Congratulations! #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B# gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421##L10100##LULcard1#{card}#C0x5B545B# by catching it and has increased its strength greatly!,#C0x5B545B#恭喜#C0x5C9971##L10100##LULrole1#{name}#C0x5B545B#通過捕捉獲得#C0xE69900#{star}#C0x5B545B#星#C0xE77421##L10100##LULcard1#{card}#C0x5B545B#，實力大增！,#C0x5B545B#Congratulations! #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B# gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421##L10100##LULcard1#{card}#C0x5B545B# by catching it and has increased its strength greatly!,,#C0x5B545B#축하합니다. #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B# 님이 포획을 통해 #C0xE69900#{star}#C0x5B545B#성 #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# 획득!
1075,NewsCardInLimitBox,"#C0x5B545B#Congratulations! #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B# gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421##L10100##LULcard1#{card}#C0x5B545B# from the time-limited Legendary Beast event, and greatly increases their strength!",#C0x5B545B#恭喜#C0x5C9971##L10100##LULrole1#{name}#C0x5B545B#通過限時神獸獲得#C0xE69900#{star}#C0x5B545B#星#C0xE77421##L10100##LULcard1#{card}#C0x5B545B#，實力大增！,"#C0x5B545B#Congratulations! #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B# gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421##L10100##LULcard1#{card}#C0x5B545B# from the time-limited Legendary Beast event, and greatly increases their strength!",,#C0x5B545B#축하합니다. #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B# 님이 한정 전설의 포켓몬 이벤트를 통해 #C0xE69900#{star}#C0x5B545B#성 #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# 획득!
1076,MarqueePVPTopRank,#C0x5B545B##C0x5C9971#{name}#C0x5B545B# took the number one place in the arena with informidable skills.,#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#以雷霆之勢奪得競技場第一寶座。,#C0x5B545B##C0x5C9971#{name}#C0x5B545B# took the number one place in the arena with informidable skills.,#C0x5B545B# HLV #C0x5C9971#{name}#C0x5B545B# giành ngai vàng đầu tiên trong Đấu Trường.,#C0x5B545B#트레이너 #C0x5C9971#{name}#C0x5B545B# 님이 아레나 1위를 달성했습니다!
1077,MarqueeHoldItemInDraw,"#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B# gets rare held item #C0x8A5C99#{holdItem}#C0x5B545B# from [Trinket Card Draw], lady luck is smiling!",#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#通過【飾品抽卡】獲得了稀有攜帶道具#C0x8A5C99#{holdItem}#C0x5B545B#，真是歐氣爆棚！,"#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B# gets rare held item #C0x8A5C99#{holdItem}#C0x5B545B# from [Trinket Card Draw], lady luck is smiling!","#C0x5B545B# HLV #C0x5C9971#{name}#C0x5B545B# thông qua[Rút Thẻ Trang Sức]nhận Held Item hiếm #C0x8A5C99#{holdItem}#C0x5B545B#, quả là may mắn!",#C0x5B545B#트레이너. #C0x5C9971#{name}#C0x5B545B# 님이 [액세서리 뽑기]에서 희귀 휴대 아이템 #C0x8A5C99#{holdItem}#C0x5B545B# 획득!
1078,MarqueeCardInCapture,"#C0x5B545B#Trainer#C0x5C9971# {name}#C0x5B545B#has captured the #C0xE69900#{star}#C0x5B545B#-star #C0xE77421#{card}#C0x5B545B#, come and check out this lucky one!",#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#捕捉到了#C0xE69900#{star}#C0x5B545B#星#C0xE77421#{card}#C0x5B545B#，快來圍觀歐皇！,"#C0x5B545B#Trainer#C0x5C9971# {name}#C0x5B545B#has captured the #C0xE69900#{star}#C0x5B545B#-star #C0xE77421#{card}#C0x5B545B#, come and check out this lucky one!","#C0x5B545B# HLV #C0x5C9971#{name}#C0x5B545B# săn bắt được #C0xE69900#{star}#C0x5B545B# Sao #C0xE77421#{card}#C0x5B545B#, nhanh đến xem!",#C0x5B545B#트레이너 #C0x5C9971#{name}#C0x5B545B# 님이 #C0xE69900#{star}#C0x5B545B#성 #C0xE77421#{card}#C0x5B545B# 포획에 성공했습니다!
1079,MarqueeCardInLimitBox,#C0x5B545B#Congratulations to the lucky trainer! #C0x5C9971#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421#{card}#C0x5B545B# from [Time-limited Legendary Beast]!,#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#歐氣爆發，在【限時神獸】中獲得#C0xE69900#{star}#C0x5B545B#星#C0xE77421#{card}#C0x5B545B#！,#C0x5B545B#Congratulations to the lucky trainer! #C0x5C9971#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421#{card}#C0x5B545B# from [Time-limited Legendary Beast]!,"#C0x5B545B# HLV #C0x5C9971#{name}#C0x5B545B# vô cùng may mắn, trong[Thần Thú Hạn Giờ]nhận được #C0xE69900#{star}#C0x5B545B# Sao #C0xE77421#{card}#C0x5B545B#!",#C0x5B545B#트레이너 #C0x5C9971#{name}#C0x5B545B# 님이 [한정 전설의 포켓몬] 이벤트를 통해 #C0xE69900#{star}#C0x5B545B#성 #C0xE77421#{card}#C0x5B545B# 획득!
1080,MarqueeCardInPub,#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421#{card}#C0x5B545B# from [Diamond Card Draw]!,#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#通過【鑽石抽卡】獲得#C0xE69900#{star}#C0x5B545B#星#C0xE77421#{card}#C0x5B545B#！,#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421#{card}#C0x5B545B# from [Diamond Card Draw]!,#C0x5B545B# HLV #C0x5C9971#{name}#C0x5B545B# thông qua[Rút Thẻ Diamond]nhận được #C0xE69900#{star}#C0x5B545B# Sao #C0xE77421#{card}#C0x5B545B#!,#C0x5B545B#트레이너 #C0x5C9971#{name}#C0x5B545B# 님이 [다이아 뽑기]를 통해 #C0xE69900#{star}#C0x5B545B#성 #C0xE77421#{card}#C0x5B545B# 획득!
1081,MarqueeCardInLimitDraw,#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421#{card}#C0x5B545B# from [Summoning Legendary Beasts]!,#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#通過【神獸召喚】獲得了#C0xE69900#{star}#C0x5B545B#星#C0xE77421#{card}#C0x5B545B#！,#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421#{card}#C0x5B545B# from [Summoning Legendary Beasts]!,#C0x5B545B# HLV #C0x5C9971#{name}#C0x5B545B# thông qua[Triệu Hồi Thần Thú]nhận được #C0xE69900#{star}#C0x5B545B# Sao #C0xE77421#{card}#C0x5B545B#!,#C0x5B545B#트레이너 #C0x5C9971#{name}#C0x5B545B# 님이 [전설의 포켓몬 소환]을 통해 #C0xE69900#{star}#C0x5B545B#성 #C0xE77421#{card}#C0x5B545B# 획득!
1082,MarqueeCardInLimitDrawUp,#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421#{card}#C0x5B545B# from [Time-limited Card Draw]!,#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#在【限定抽卡】中獲得了#C0xE69900#{star}#C0x5B545B#星#C0xE77421#{card}#C0x5B545B#！,#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421#{card}#C0x5B545B# from [Time-limited Card Draw]!,#C0x5B545B# HLV #C0x5C9971#{name}#C0x5B545B# trong[Rút Thẻ Hạn Giờ]nhận được #C0xE69900#{star}#C0x5B545B# Sao #C0xE77421#{card}#C0x5B545B#!,#C0x5B545B#트레이너 #C0x5C9971#{name}#C0x5B545B# 님이 [한정 뽑기]를 통해 #C0xE69900#{star}#C0x5B545B#성 #C0xE77421#{card}#C0x5B545B# 획득!
1083,MarqueeRandomMax,"#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B# has successfully reached the top of Aether Paradise, what a strong player!",#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#成功登頂以太樂園，真是太強了。,"#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B# has successfully reached the top of Aether Paradise, what a strong player!","#C0x5B545B# HLV #C0x5C9971#{name}#C0x5B545B# thành công leo lên vị trí cao nhất Aether Paradise, mạnh dữ.",#C0x5B545B#트레이너 #C0x5C9971#{name}#C0x5B545B# 님이 에테르파라다이스 정상에 올랐습니다!
1084,MarqueeEndlessArrive,"#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B# blazes through all obstacles and activates the Adventure Road level #C0x5C9971#{num}#C0x5B545B#, and showcasing their powerful abilities.",#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#披荊斬棘，打通冒險之路第#C0x5C9971#{num}#C0x5B545B#關，表現出了驚人的實力。,"#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B# blazes through all obstacles and activates the Adventure Road level #C0x5C9971#{num}#C0x5B545B#, and showcasing their powerful abilities.","#C0x5B545B# HLV #C0x5C9971#{name}#C0x5B545B# vượt mọi chông gai, vượt qua Adventure Road Ải #C0x5C9971#{num}#C0x5B545B#, thể hiện sức mạnh kinh hoàng.",#C0x5B545B#트레이너 #C0x5C9971#{name}#C0x5B545B# 님이 모험의 길 스테이지#C0x5C9971#{num}#C0x5B545B# 클리어에 성공했습니다!
1085,MarqueeCardInLimitDraw1,#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421#{card}#C0x5B545B# from [Summoning Legendary Beasts]!,#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#通過【神獸召喚】獲得了#C0xE69900#{star}#C0x5B545B#星#C0xE77421#{card}#C0x5B545B#！,#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B#-star#C0xE77421#{card}#C0x5B545B# from [Summoning Legendary Beasts]!,#C0x5B545B# HLV #C0x5C9971#{name}#C0x5B545B# thông qua[Triệu Hồi Thần Thú]nhận được #C0xE69900#{star}#C0x5B545B# Sao #C0xE77421#{card}#C0x5B545B#!,#C0x5B545B#트레이너 #C0x5C9971#{name}#C0x5B545B# 님이 [전설의 포켓몬 소환]을 통해 #C0xE69900#{star}#C0x5B545B#성 #C0xE77421#{card}#C0x5B545B# 획득!
1086,MarqueeCardInCombine,#C0x5B545B#Congratulations! #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B# -star #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# by shard combination and has increased its strength greatly!,#C0x5B545B#恭喜#C0x5C9971##L10100##LULrole1#{name}#C0x5B545B#通過碎片合成獲得#C0xE69900#{star}#C0x5B545B#星#C0xE77421##L10100##LULcard1#{card}#C0x5B545B#，實力大增！,#C0x5B545B#Congratulations! #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B#gets #C0xE69900#{star}#C0x5B545B# -star #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# by shard combination and has increased its strength greatly!,,#C0x5B545B#축하합니다. #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B# 님이 조각 합성을 통해 #C0xE69900#{star}#C0x5B545B#성 #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# 획득!
1087,MarqueeCardStar,#C0x5B545B#Congratulations to #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B#who has upgraded #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# to {star} stars and greatly enhanced its combat power!,#C0x5B545B#恭喜#C0x5C9971##L10100##LULrole1#{name}#C0x5B545B#將#C0xE77421##L10100##LULcard1#{card}#C0x5B545B#提升到了{star}星，戰力大幅增強！,#C0x5B545B#Congratulations to #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B#who has upgraded #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# to {star} stars and greatly enhanced its combat power!,,#C0x5B545B#축하합니다. #C0x5C9971##L10100##LULrole1#{name}#C0x5B545B# 님이 #C0xE77421##L10100##LULcard1#{card}#C0x5B545B# {star}성에 도달해 전투력이 대폭 증가했습니다!
1088,MarqueePVPTopRankLast,#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B# has emerged victorious as No. 1 in the Arena! This is a salute for the birth of a new king!,#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#最終登上競技場第一寶座，為王的誕生獻上禮炮。,#C0x5B545B#Congratulations! #C0x5C9971#{name}#C0x5B545B# has emerged victorious as No. 1 in the Arena! This is a salute for the birth of a new king!,,#C0x5B545B#트레이너 #C0x5C9971#{name}#C0x5B545B# 님이 아레나 1위를 달성했습니다!
1089,MarqueeCraftTopRank,"#C0x5B545B##C0x5C9971#{name}#C0x5B545B# reigns the Indigo Plateau Conference, and nobody can take him down.",#C0x5B545B#訓練家#C0x5C9971#{name}#C0x5B545B#最終稱霸石英大會，石英高原中再無敵手。,"#C0x5B545B##C0x5C9971#{name}#C0x5B545B# reigns the Indigo Plateau Conference, and nobody can take him down.",,#C0x5B545B#트레이너 #C0x5C9971#{name}#C0x5B545B# 님이 석영 대회에서 최종 승리를 거두었습니다.
