"﻿变量名",name,name_tw,name_en,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
49,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,11,0,46,100,
50,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,11,0,46,100,
51,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈超能系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Psychic-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Siêu tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 에스퍼 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,11,0,46,100,
52,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,12,0,47,100,
53,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,12,0,47,100,
54,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈蟲系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Bug-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Bọ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 벌레 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,12,0,47,100,
55,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,13,0,48,100,
56,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,13,0,48,100,
57,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,13,0,48,100,
58,Collect 18 of all Pokémons,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈岩石系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Rock-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Đá tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 바위 타입 피해 보너스 증가: #C0xFF60C456#1%,2,18,13,0,48,100,
59,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,14,0,49,100,
60,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,14,0,49,100,
61,Collect 9 of all Pokémons,收集9全體精靈,Collect 9 of all Pokémons,전체 포켓몬 9마리 수집,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,2,9,14,0,49,100,
62,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,14,0,49,100,
63,Collect 15 of all Pokémons,收集15全體精靈,Collect 15 of all Pokémons,전체 포켓몬 15마리 수집,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,2,15,14,0,49,100,
64,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,15,0,50,100,
65,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,15,0,50,100,
66,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,15,0,50,100,
67,Collect 18 of all Pokémons,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,2,18,15,0,50,100,
68,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,16,0,51,100,
69,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,16,0,51,100,
70,Collect 9 of all Pokémons,收集9全體精靈,Collect 9 of all Pokémons,전체 포켓몬 9마리 수집,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,2,9,16,0,51,100,
71,Collect 15 of all Pokémons,收集15全體精靈,Collect 15 of all Pokémons,전체 포켓몬 15마리 수집,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,2,15,16,0,51,100,
72,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,17,0,52,100,
73,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,17,0,52,100,
74,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,17,0,52,100,
75,Collect 18 of all Pokémons,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,2,18,17,0,52,100,
76,Collect 3 of all Pokémons,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,2,3,18,0,53,100,
77,Collect 6 of all Pokémons,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,2,6,18,0,53,100,
78,Collect 9 of all Pokémons,收集9全體精靈,Collect 9 of all Pokémons,전체 포켓몬 9마리 수집,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,2,9,18,0,53,100,
79,Collect 12 of all Pokémons,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,2,12,18,0,53,100,
,,,,,,,,,,,,,,,,
101,Collect 250 of all Pokémons,收集250全體精靈,Collect 250 of all Pokémons,전체 포켓몬 250마리 수집,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#全體精靈物防提升 #C0xFF60C456#3%,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#3%,,#C0xFF5B545B#전체 포켓몬 방어 증가: #C0xFF60C456#3%,1,250,,0,9,300,
102,Collect 300 of all Pokémons,收集300全體精靈,Collect 300 of all Pokémons,전체 포켓몬 300마리 수집,#C0xFF5B545B#SP.DEF of all Pokémons increases#C0xFF60C456#3%,#C0xFF5B545B#全體精靈特防提升 #C0xFF60C456#3%,#C0xFF5B545B#SP.DEF of all Pokémons increases#C0xFF60C456#3%,,#C0xFF5B545B#전체 포켓몬 특수방어 증가: #C0xFF60C456#3%,1,300,,0,10,300,
103,Collect 350 of all Pokémons,收集350全體精靈,Collect 350 of all Pokémons,전체 포켓몬 350마리 수집,#C0xFF5B545B#Critical hit resistance of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#全體精靈暴擊抗性提升#C0xFF60C456#3%,#C0xFF5B545B#Critical hit resistance of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B# Toàn bộ Pokémon - Kháng Bạo tăng #C0xFF60C456#3%,#C0xFF5B545B#전체 포켓몬 치명타 내성 증가: #C0xFF60C456#3%,1,350,,0,16,300,
104,Collect 400 of all Pokémons,收集400全體精靈,Collect 400 of all Pokémons,전체 포켓몬 400마리 수집,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#全體精靈物防提升#C0xFF60C456#3%,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B# Toàn bộ Pokémon - Vật Phòng tăng #C0xFF60C456#3%,#C0xFF5B545B#전체 포켓몬 방어 증가: #C0xFF60C456#3%,1,400,,0,9,300,
,Collect 450 of all Pokémons,收集450全體精靈,Collect 450 of all Pokémons,전체 포켓몬 450마리 수집,#C0xFF5B545B#SP.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#全體精靈特防提升#C0xFF60C456#3%,#C0xFF5B545B#SP.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B# Toàn bộ Pokémon - Đặc Phòng tăng #C0xFF60C456#3%,#C0xFF5B545B#전체 포켓몬 특수방어 증가: #C0xFF60C456#3%,1,450,,0,10,300,
,Collect 500 of all Pokémons,收集500全體精靈,Collect 500 of all Pokémons,전체 포켓몬 500마리 수집,#C0xFF5B545B#Critical hit resistance of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#全體精靈暴擊抗性提升#C0xFF60C456#3%,#C0xFF5B545B#Critical hit resistance of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B# Toàn bộ Pokémon - Kháng Bạo tăng #C0xFF60C456#3%,#C0xFF5B545B#전체 포켓몬 치명타 내성 증가: #C0xFF60C456#3%,1,500,,0,16,300,
,Collect 550 of all Pokémons,收集550全體精靈,Collect 550 of all Pokémons,전체 포켓몬 550마리 수집,#C0xFF5B545B#P.ATK of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#全體精靈物傷減免提升#C0xFF60C456#3%,#C0xFF5B545B#P.ATK of all Pokémons increases by #C0xFF60C456#3%,,#C0xFF5B545B#전체 포켓몬 피해감소 증가: #C0xFF60C456#3%,1,550,,0,33,300,
,Collect 600 of all Pokémons,收集600全體精靈,Collect 600 of all Pokémons,전체 포켓몬 600마리 수집,#C0xFF5B545B#SP.ATK of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#全體精靈特傷減免提升#C0xFF60C456#3%,#C0xFF5B545B#SP.ATK of all Pokémons increases by #C0xFF60C456#3%,,#C0xFF5B545B#전체 포켓몬 특수피해감소 증가: #C0xFF60C456#3%,1,600,,0,35,300,
,,,,,,,,,,,,,,,,
111,Collect 25 of all Pokémons,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈一般系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thường tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 노말 타입 피해 보너스 증가: #C0xFF60C456#1%,2,25,1,0,36,100,
112,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈一般系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thường tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 노말 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,1,0,36,100,
,Collect 60 of all Pokémons,收集60全體精靈,Collect 60 of all Pokémons,전체 포켓몬 60마리 수집,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈一般系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thường tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 노말 타입 피해 보너스 증가: #C0xFF60C456#1%,2,60,1,0,36,100,
,Collect 80 of all Pokémons,收集80全體精靈,Collect 80 of all Pokémons,전체 포켓몬 80마리 수집,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈一般系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thường tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 노말 타입 피해 보너스 증가: #C0xFF60C456#1%,2,80,1,0,36,100,
115,Collect 25 of all Pokémons,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,2,25,2,0,37,100,
116,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,2,0,37,100,
117,Collect 60 of all Pokémons,收集60全體精靈,Collect 60 of all Pokémons,전체 포켓몬 60마리 수집,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,2,60,2,0,37,100,
,Collect 80 of all Pokémons,收集80全體精靈,Collect 80 of all Pokémons,전체 포켓몬 80마리 수집,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,2,80,2,0,37,100,
119,Collect 40 of all Pokémons,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,2,40,3,0,38,100,
