变量名,name,name_tw,name_en,name_kr,desc,desc_tw,desc_en,desc_vn,desc_th,cards,equipID,skinID,attrMap
12512,Sandstorm,沙暴之勢,Sandstorm,모래 폭풍,,,,,,<2231;2611;101;>,,,{1=12%}
12513,Worst Generation,極惡世代,Worst Generation,이블 세대,,,,,,<2721;1081>,,,{7=10%;8=10%}
12514,Rock Cannon,轟岩大炮,Rock Cannon,록 캐넌,,,,,,<751;2591>,,,{23=500}
12611,Heroic Legends,霸主傳說,Heroic Legends,대 군주 전설,,,,,,<1271>,,,{7=15%;8=15%}
12612,Leader of the Legendary Birds,聖鳥統領,Leader of the Legendary Birds,홀리 버드 사령관,,,,,,<721;731;741;>,,,{1=20%}
12613,Water Pulse,水之波動,Water Pulse,물의파동,,,,,,<1961;1241;3301;>,,,{7=15%;8=15%}
12614,Psychic Body,超能之軀,Psychic Body,슈퍼 바디,,,,,,<771;1901;551;>,,,{23=750}
12711,Master of the Sky,天空主宰,Master of the Sky,하늘을 지배하세요,,,,,,<761;741>,,,{7=15%;8=15%}
12712,Rise from the Ashes,浴火重生,Rise from the Ashes,잿더미에서 일어나,,,,,,<1221;1231;1241;>,,,{1=20%}
12713,Flame Control,火焰掌控,Flame Control,화염 제어,,,,,,<1231;741;1301;>,,,{7=15%;8=15%}
12714,Rainbow Wing,彩虹羽翼,Rainbow Wing,무지개 날개,,,,,,<1261;721;3511;51>,,,{23=750}
12811,Psuchic Legion,超能軍團,Psuchic Legion,초능력 군단,,,,,,<1991;261;771;1391>,,,{7=15%;8=15%}
12812,Rescuing Hand,救死扶傷,Rescuing Hand,인술,,,,,,<2441;501;861;>,,,{1=20%}
12813,Time Gap,時間縫隙,Time Gap,시간의 틈,,,,,,<2841;1941;1951;2401>,,,{7=15%;8=15%}
12814,Guardian Partner,守護夥伴,Guardian Partner,파트너 수호,,,,,,<4171;3251;3541;>,,,{23=750}
12911,Three Gems,寶石三家,Three Gems,젬 산지 아,,,,,,<1301;1311>,,,{7=10%;8=10%}
12912,Complicated and Tricky,盤根錯節,Complicated and Tricky,얽혀,,,,,,<2011;3281;1;>,,,{1=12%}
12913,Sparring,不服單挑,Sparring,확신 할 수 없음,,,,,,<571;1421;1301;>,,,{7=10%;8=10%}
12914,Nourish All Things on Earth,滋潤萬物,Nourish All Things on Earth,모든 것을 보습,,,,,,<1241;2922;781;1351>,,,{14=500}
13011,Three Gems,寶石三家,Three Gems,젬 산지 아,,,,,,<1291;1311>,,,{7=10%;8=10%}
13012,Power of Fire,炎焰之力,Power of Fire,화염의 힘,,,,,,<741;1231;11;>,,,{1=12%}
13013,Sparring,不服單挑,Sparring,확신 할 수 없음,,,,,,<571;1291;51;>,,,{7=10%;8=10%}
13014,Fighting Expert,格鬥專家,Fighting Expert,격투 전문가,,,,,,<1391;271;1251;>,,,{14=500}
13111,Three Gems,寶石三家,Three Gems,젬 산지 아,,,,,,<1301;1291>,,,{7=10%;8=10%}
13112,Tide Power,怒濤之力,Tide Power,분노의 힘,,,,,,<1241;631;801;>,,,{1=12%}
13113,Smutty,汙力滔滔,Smutty,난류 오염,,,,,,<371;2922>,,,{7=10%;8=10%}
13114,Born to be cute,天生呆萌,Born to be cute,귀엽게 태어나,,,,,,<771;221;2871;>,,,{23=500}
13511,Force of Current,水流力量,Force of Current,현재 힘,,,,,,<281;2301;171;>,,,{7=8%;8=8%}
13512,Water Pulse,水之波動,Water Pulse,물의파동,,,,,,<541;551;801;>,,,{1=10%}
13513,Overturn,覆舟之勢,Overturn,전복,,,,,,<131;461;2631;>,,,{7=8%;8=8%}
13911,Extraordinary will,超凡意志,Extraordinary will,특별한 의지,,,,,,<261;771>,,,{7=10%;8=10%}
13912,Pokémon Alliance,妖精同盟,Pokémon Alliance,페어리 리그,,,,,,<3351;131;151;>,,,{1=12%}
13913,Pokémon Contests,華麗大賽,Pokémon Contests,화려한 콘테스트,,,,,,<1891>,,,{7=10%;8=10%}
13914,Dazzling Gleam,魔法閃耀,Dazzling Gleam,매직 샤인,,,,,,<391;3291>,,,{22=500}
14211,One Punch Man,一拳超人,One Punch Man,원 펀맨,,,,,,<1251;1071>,,,{7=10%;8=10%}
14212,Normal Family,普通家庭,Normal Family,정상적인 가족,,,,,,<51;1441;471;>,,,{1=12%}
14213,Strong and Healthy Physique,身強體壯,Strong and Healthy Physique,강한 몸매,,,,,,<3541;2631;271;>,,,{7=10%;8=10%}
14214,Lazybones,懶人根骨,Lazybones,게으른 뿌리,,,,,,<261;711>,,,{14=500}
14411,Original Formation,原始組合,Original Formation,원래 조합,,,,,,<471;51;1421;>,,,{7=10%;8=10%}
14412,Protect the relationship,守護情誼,Protect the relationship,후견,,,,,,<1611;801;2631;>,,,{1=10%}
14413,Awakening power,覺醒力量,Awakening power,각성 력,,,,,,<471;2611;61;>,,,{7=10%;8=10%}
15011,Steel Will,鋼鐵意志,Steel Will,강철 같은 의지,,,,,,<1901;331>,,,{7=10%;8=10%}
15012,Rock armor addition,堅甲附體,Rock armor addition,강력한 갑옷,,,,,,<1071;2011;3281;>,,,{1=12%}
15013,Oppressive,橫行霸道,Oppressive,맹렬한,,,,,,<491;2721>,,,{7=10%;8=10%}
15014,Rock Head,岩石腦袋,Rock Head,바위 머리,,,,,,<2591;401;301;>,,,{23=500}
16111,Flame Control,火焰掌控,Flame Control,화염 제어,,,,,,<2481;3341;3291;>,,,{7=10%;8=10%}
16112,Power of Fire,炎焰之力,Power of Fire,화염의 힘,,,,,,<11;601;791;2611>,,,{1=10%}
16113,Sun will,太陽意志,Sun will,태양의 의지,,,,,,<1441;2301;3511;>,,,{7=10%;8=10%}
17711,Summer Friend,夏日好友,Summer Friend,여름 친구,,,,,,<381;1241;221;>,,,{7=10%;8=10%}
17712,Surfing Buddy,衝浪夥伴,Surfing Buddy,서핑 파트너,,,,,,<2031;1351;21;>,,,{1=12%}
17713,Giga Impact,終極衝擊,Giga Impact,최종 충격,,,,,,<3301;631;551;>,,,{7=10%;8=10%}
17714,Life Dew,	生命水滴,Life Dew,생명 물방울,,,,,,<3771;641;2401;>,,,{23=500}
18011,Multi Phantom,魅影重重,Multi Phantom,환상,,,,,,<1811;3561>,,,{7=10%;8=10%}
18012,Floating Charge,漂浮打擊,Floating Charge,플로팅 스트라이크,,,,,,<2871;481;2961;>,,,{1=10%}
18013,Branch of Ghost,幽靈支脈,Branch of Ghost,유령 가지,,,,,,<2991;2921;2922;>,,,{7=10%;8=10%}
18111,Ghost Detection,幽靈感應,Ghost Detection,영감은,,,,,,<391;3411;3561;>,,,{7=10%;8=10%}
18112,Different Dimension,異度空間,Different Dimension,외계인 공간,,,,,,<1391;771>,,,{1=12%}
18113,Gigantic Power,巨人之力,Gigantic Power,거인의 힘,,,,,,<1421;2631>,,,{7=10%;8=10%}
18114,Trick,惡搞戲法,Trick,속이기,,,,,,<2271;131;481;>,,,{22=500}
18411,Catastrophe Alert,災禍預警,Catastrophe Alert,재해 경고,,,,,,<2821;3141>,,,{7=10%;8=10%}
18412,Giving Relief to Disaster Together,協力救災,Giving Relief to Disaster Together,재난 구호를 위해 협력,,,,,,<1291;1311;1351;>,,,{1=12%}
18413,Punish the evil and praise the good,懲惡揚善,Punish the evil and praise the good,악을 벌하고 선을 장려하십시오,,,,,,<3301;241>,,,{7=10%;8=10%}
18414,Mega Evolution,超級進化,Mega Evolution,슈퍼 진화,,,,,,<2301;21;41;>,,,{23=500}
18511,Tremble with fear,膽戰心寒,Tremble with fear,냉각,,,,,,<3021;2871;3011;>,,,{7=10%;8=10%}
18512,Snowstorm,冰雪交加,Snowstorm,눈과 얼음,,,,,,<3301;3501>,,,{1=10%}
18513,No strangers allowed,生人勿近,No strangers allowed,가까이 오지 마,,,,,,<391;2301>,,,{7=10%;8=10%}
18611,Ice-type family,冰系家族,Ice-type family,얼음 가족,,,,,,<2871;3011;551;>,,,{7=10%;8=10%}
18612,Blizzard Detection,暴雪感應,Blizzard Detection,블리자드 유도,,,,,,<801;3471;1311;>,,,{1=10%}
18613,Freezing Power,冰封力量,Freezing Power,얼어 붙은 힘,,,,,,<471;2301;371;>,,,{7=10%;8=10%}
18911,Dragon Rising,龍族崛起,Dragon Rising,드래곤 라이즈,,,,,,<3141;3001>,,,{7=10%;8=10%}
18912,Strong Iron Head,頭鐵剛毅,Strong Iron Head,머리 철제 인내,,,,,,<2961;331;2611;>,,,{1=12%}
18913,Power of the Pseudo-legendary,准神之力,Power of the Pseudo-legendary,준신의 힘,,,,,,<2231;3541>,,,{7=10%;8=10%}
18914,Flying Desire,飛翔渴望,Flying Desire,비행 욕망,,,,,,<3511;2891;351;>,,,{14=500}
19011,Steel Frame,鋼筋鐵骨,Steel Frame,강화 된 철 뼈,,,,,,<331;1501>,,,{7=10%;8=10%}
19012,Certain science,某某科學,Certain science,그래서 과학,,,,,,<261;3021>,,,{1=12%}
19013,Getting into Shape,強身健體,Getting into Shape,체력,,,,,,<1071;271;2631;>,,,{7=10%;8=10%}
19014,Neural Network,神經網路,Neural Network,신경망,,,,,,<331;2591;2961;>,,,{23=500}
19111,Ancient Power,原始之力,Ancient Power,원시의 힘,,,,,,<1251;401;3501;>,,,{7=10%;8=10%}
19112,Rock Guard,岩石護身,Rock Guard,락 가드,,,,,,<491;1501;691;>,,,{1=12%}
19113,Eternal guardian,永恆守護,Eternal guardian,영원한 수호자,,,,,,<1921;1931>,,,{7=10%;8=10%}
19114,Fight back,溯源而戰,Fight back,근원에 반격,,,,,,<2381;2241>,,,{23=500}
19211,Icy veins,冰冷一脈,Icy veins,얼음 정맥,,,,,,<721;3021;1851;>,,,{7=10%;8=10%}
19212,Hidden Ice Clan,隱秘冰族,Hidden Ice Clan,숨겨진 아이스 레이스,,,,,,<1081;381;1861;>,,,{1=12%}
19213,Eternal guardian,永恆守護,Eternal guardian,영원한 수호자,,,,,,<1911;1931>,,,{7=10%;8=10%}
19214,Fight back,溯源而戰,Fight back,근원에 반격,,,,,,<2381;2241>,,,{23=500}
19311,Steel Frame,鋼筋鐵骨,Steel Frame,강화 된 철 뼈,,,,,,<1501;1901;2961;>,,,{7=10%;8=10%}
19312,Hold the iron,抱團頭鐵,Hold the iron,바 오투 안투 아이언,,,,,,<331;571;2611;>,,,{1=12%}
19313,Eternal guardian,永恆守護,Eternal guardian,영원한 수호자,,,,,,<1911;1921>,,,{7=10%;8=10%}
19411,Psuchic Legion,超能軍團,Psuchic Legion,슈퍼 군단,,,,,,<1391;2401;2841;>,,,{7=10%;8=10%}
19412,Dragon Family,龍系家族,Dragon Family,드래곤 패밀리,,,,,,<751;1891;3591;4131>,,,{1=12%}
19413,Vow Partner,誓約夥伴,Vow Partner,맹세 파트너,,,,,,<721;701;341;2891>,,,{7=10%;8=10%}
19414,Eon Pokémon,無限精靈,Eon Pokémon,무한 마법사,,,,,,<1951;1031;801;691>,,,{23=500}
19511,Psuchic Legion,超能軍團,Psuchic Legion,슈퍼 군단,,,,,,<261;1901;551;>,,,{7=10%;8=10%}
19512,Dragon Family,龍系家族,Dragon Family,드래곤 패밀리,,,,,,<751;1891;3591;4131>,,,{1=12%}
19513,Vow Partner,誓約夥伴,Vow Partner,맹세 파트너,,,,,,<741;701;3511;51>,,,{7=10%;8=10%}
19514,Eon Pokémon,無限精靈,Eon Pokémon,무한 마법사,,,,,,<1941;1031;801;691>,,,{14=500}
19314,Fight back,溯源而戰,Fight back,근원에 반격,,,,,,<2381;2241>,,,{23=500}
19611,Duel of Fate,命運對決,Duel of Fate,운명의 대결,,,,,,<1971;91>,,,{7=15%;8=15%}
19612,Ocean Expansion,海洋擴張,Ocean Expansion,해양 확장,,,,,,<1241;1311;3301;>,,,{1=20%}
19613,Overlord of the Three Realms,三界霸主,Overlord of the Three Realms,세 왕국의 대 군주,,,,,,<1981;2231>,,,{7=15%;8=15%}
19614,Power of Nature,呼風喚雨,Power of Nature,바람을 불러 비를 불러,,,,,,<751;631>,,,{23=750}
19711,Power of the Overlord,霸主之力,Power of the Overlord,대군주의 힘,,,,,,<1981;1891>,,,{7=15%;8=15%}
19712,Adapt to different situations,水來土掩,Adapt to different situations,은폐,,,,,,<1961;1241;631;>,,,{1=20%}
19713,Rage of Volcano,火山之怒,Rage of Volcano,화산 분노,,,,,,<1251;1231;1611;>,,,{7=15%;8=15%}
19714,Creation of Continent,大陸創世,Creation of Continent,대륙 창조,,,,,,<1251;1501;2591;>,,,{23=750}
19811,Fight of the Overlords,霸主爭奪,Fight of the Overlords,지배,,,,,,<1961;1251>,,,{7=15%;8=15%}
19812,The Rise of the Dragon-type,龍系崛起,The Rise of the Dragon-type,드래곤 라이즈,,,,,,<1891;3141;3541;>,,,{1=20%}
19813,Check and balance of airspace,領空制衡,Check and balance of airspace,공역 점검 및 균형,,,,,,<1261;751;31;>,,,{7=15%;8=15%}
19814,Destructive Strike,毀滅打擊,Destructive Strike,엄청난 타격,,,,,,<1971;3001;1301;>,,,{14=750}
19911,Will of Steel,鋼之意志,Will of Steel,강철의 의지,,,,,,<2351;3161;1501;>,,,{7=15%;8=15%}
19912,Extraordinary Body,超凡身軀,Extraordinary Body,비범한 몸,,,,,,<3641;1901;2401;>,,,{1=20%}
19913,Wishing Companion,許願同伴,Wishing Companion,소원 친구,,,,,,<1391;3351;861;>,,,{7=15%;8=15%}
19914,Millennium Comet,千年彗星,Millennium Comet,천년 혜성,,,,,,<1971;1841;1891;3171>,,,{23=750}
20211,,烈焰戰場,,,,,,,,<1231;601;241;11>,,,{7=10%;8=10%}
20212,,格鬥高手,,,,,,,,<2241;2631;2481;3511>,,,{1=12%}
20213,,神奧禦三家,,,,,,,,<2031;2011>,,,{7=10%;8=10%}
20214,,高深拳法,,,,,,,,<1301;271;461;231>,,,{14=500}
20311,Water Rookie,水系新秀,Water Rookie,워터 루키,,,,,,<641;3771;221;>,,,{7=10%;8=10%}
20312,Steel body,鋼鐵身軀,Steel body,스틸 바디,,,,,,<2241;2611>,,,{1=12%}
20313,Battle of Capture,收服之戰,Battle of Capture,정복하다,,,,,,<401;1231;91;>,,,{7=10%;8=10%}
20314,Triangle Friendship,三角情誼,Triangle Friendship,삼각형 우정,,,,,,<591;891>,,,{14=500}
20111,Grass Pledge,草之誓約,Grass Pledge,풀의 맹세,,,,,,<281;781;2301;>,,,{7=10%;8=10%}
20112,Forest Will,森林意志,Forest Will,숲의 의지,,,,,,<1441;3281;1291;>,,,{1=10%}
20113,Adventure Partner,冒險同伴,Adventure Partner,모험 동반자,,,,,,<471;2611;3431;>,,,{7=10%;8=10%}
20711,Electric family,雷電家族,Electric family,라이덴 가족,,,,,,<51;3291;2301;>,,,{7=10%;8=10%}
20712,Power of Nature,自然之力,Power of Nature,자연의 힘,,,,,,<91;1081;3511;>,,,{1=10%}
20713,Electric awareness,電光意識,Electric awareness,전기 광학 인식,,,,,,<131;3281;2961;>,,,{7=10%;8=10%}
22311,Strongest on Earth,地表強者,Strongest on Earth,표면에 강함,,,,,,<491;2721>,,,{7=10%;8=10%}
22312,Hidden Killing Intentions,潛藏殺機,Hidden Killing Intentions,숨겨진 살인,,,,,,<571;801;101;>,,,{1=12%}
22313,Return to Reason,回歸理智,Return to Reason,이유로 돌아 가기,,,,,,<3301;1301>,,,{7=10%;8=10%}
22314,Blade,刀鋒戰士,Blade,블레이드 워리어,,,,,,<3001;691>,,,{14=500}
22411,Fighting Forces,格鬥勢力,Fighting Forces,싸우는 힘,,,,,,<1301;3511;2631;>,,,{7=10%;8=10%}
22412,Pledge Partner,誓約夥伴,Pledge Partner,맹세 파트너,,,,,,<771;1081;91;>,,,{1=12%}
22413,Unyielding,不屈意志,Unyielding,불굴의 의지,,,,,,<1391;271;341;>,,,{7=10%;8=10%}
22414,Hidden Steel Race,隱秘鋼族,Hidden Steel Race,숨겨진 강철 제품군,,,,,,<571;331>,,,{14=500}
22711,Poison-type companions,毒系同伴,Poison-type companions,독의 동반자,,,,,,<131;471;3011;>,,,{7=10%;8=10%}
22712,Poisonous Body,毒之身軀,Poisonous Body,유독 한 몸,,,,,,<481;271;2631;>,,,{1=10%}
22713,Mysterious power,神秘力量,Mysterious power,신비한 힘,,,,,,<281;371;1081;>,,,{7=10%;8=10%}
23011,Grass Pledge,草之誓約,Grass Pledge,풀의 맹세,,,,,,<281;781;2011;>,,,{7=10%;8=10%}
23012,Forest Will,森林意志,Forest Will,숲의 의지,,,,,,<1081;3281;1861;>,,,{1=10%}
23013,Adventure Partner,冒險同伴,Adventure Partner,모험 동반자,,,,,,<2871;3011;3431;>,,,{7=10%;8=10%}
23511,Extraordinary Will,超凡意志,Extraordinary Will,특별한 의지,,,,,,<1261;1931;1901;>,,,{7=15%;8=15%}
23512,Dragon Army,龍龍軍團,Dragon Army,드래곤 아미,,,,,,<751;3141;3001;>,,,{1=20%}
23513,Mythical Pokémon,神話精靈,Mythical Pokémon,신화 엘프,,,,,,<2391;1941>,,,{7=15%;8=15%}
23514,Time and Space,時空傳說,Time and Space,시간과 공간의 전설,,,,,,<2361;1891;2231;>,,,{14=750}
23611,Force of Water,水流力量,Force of Water,현재 힘,,,,,,<631;1241;3301;>,,,{7=15%;8=15%}
23612,Dragon Attack,龍族出擊,Dragon Attack,드래곤 공격,,,,,,<2391;1951;751;>,,,{1=20%}
23613,Vow Friends,誓約朋友,Vow Friends,서약 친구,,,,,,<2431;1841;1071;>,,,{7=15%;8=15%}
23614,Time and Space Duel,時空對決,Time and Space Duel,시간과 공간 대결,,,,,,<2351;3591>,,,{14=750}
23811,Power of Awaken,蘇醒之力,Power of Awaken,각성의 힘,,,,,,<2361;1421;711;>,,,{7=15%;8=15%}
23812,Rise from the land,崛陸而起,Rise from the land,땅에서 일어나,,,,,,<1971;401;2231;>,,,{1=20%}
23813,Eternal Legend,永恆傳說,Eternal Legend,영원한 전설,,,,,,<1911;1921;1931;>,,,{7=15%;8=15%}
23814,Right and Evil,亦正亦邪,Right and Evil,옳고 그름 모두,,,,,,<2431;2821;1081;>,,,{14=750}
23911,Ghost Rookie,幽靈新影,Ghost Rookie,유령 그림자,,,,,,<2991;1811;3661;>,,,{7=15%;8=15%}
23912,Sky Lord,飛龍在天,Sky Lord,비룡재천,,,,,,<3591;3141;1891;>,,,{1=20%}
23913,Exodus Encounter,異界對抗,Exodus Encounter,이계대항,,,,,,<2441;2031;1861;>,,,{7=15%;8=15%}
23914,Mythical Pokémon,神話精靈,Mythical Pokémon,신화요정,,,,,,<2351;2361>,,,{23=750}
24011,Extraordinary ability,超凡能力,Extraordinary ability,비범 한 능력,,,,,,<1901;261;551;>,,,{7=10%;8=10%}
24012,Pledge Partner,誓約夥伴,Pledge Partner,맹세 파트너,,,,,,<751;491;2961;>,,,{1=12%}
24013,Dance from the new moon,新月起舞,Dance from the new moon,뉴 문 댄스,,,,,,<2431>,,,{7=10%;8=10%}
24014,Elegant incarnation,優雅化身,Elegant incarnation,우아한 화신,,,,,,<1391;2471;2841;>,,,{23=500}
24311,Evil forces,邪惡勢力,Evil forces,악의 세력,,,,,,<2821;2721;3301>,,,{7=15%;8=15%}
24312,Mystery,神奧對決,Mystery,신오 대결,,,,,,<1981;1071;1291;>,,,{1=20%}
24313,Moonless night,無月之夜,Moonless night,달이없는 밤,,,,,,<2381;2401>,,,{7=15%;8=15%}
24314,Space-time protection,時空保護,Space-time protection,시간과 공간 보호,,,,,,<2351;1391;471;>,,,{22=750}
24411,Grass Rookie,草系新貴,Grass Rookie,풀 타입 새 포켓몬,,,,,,<2471;1291;3661;>,,,{7=15%;8=15%}
24412,Stealth Fly,隱秘飛行,Stealth Fly,은밀 비행,,,,,,<1271;701;3591;>,,,{1=20%}
24413,Adventure Parter,探險同伴,Adventure Parter,탐험 파트너,,,,,,<3631;3771;3841;>,,,{7=15%;8=15%}
24414,Exodus Dispute,異界紛爭,Exodus Dispute,이계 분쟁,,,,,,<2391;4131;2031;>,,,{23=750}
24711,Grass Power,草系力量,Grass Power,잔디 힘,,,,,,<1291;3661;781;>,,,{7=10%;8=10%}
24712,Allelopathy,相生相剋,Allelopathy,타감,,,,,,<1301;2301;2481;>,,,{1=12%}
24713,Vow Partner,誓約夥伴,Vow Partner,맹세 파트너,,,,,,<2991;2922;2871;>,,,{7=10%;8=10%}
24714,Graceful Incarnation,優雅化身,Graceful Incarnation,우아한 화신,,,,,,<2401;2841>,,,{22=500}
24811,Flame Control,火焰掌控,Flame Control,화염 제어,,,,,,<3341;791;1611;>,,,{7=10%;8=10%}
24812,Power of Fire,炎焰之力,Power of Fire,화염의 힘,,,,,,<11;3291;3341;>,,,{1=10%}
24813,Sun will,太陽意志,Sun will,태양의 의지,,,,,,<2631;2271;131;>,,,{7=10%;8=10%}
25911,Rock Barrier,岩石壁壘,Rock Barrier,바위 장벽,,,,,,<491;301;691;>,,,{7=10%;8=10%}
25912,Sandstorm,沙暴之勢,Sandstorm,모래 폭풍,,,,,,<2071;2961;1501;>,,,{1=10%}
25913,Natural combination,自然組合,Natural combination,자연스러운 조합,,,,,,<2611;3011;1291;>,,,{7=10%;8=10%}
26111,Forest companions,森林同伴,Forest companions,숲의 동반자,,,,,,<1611;691;2591;>,,,{7=10%;8=10%}
26112,Geomancy,大地掌控,Geomancy,지구 통제,,,,,,<51;2631;3511;>,,,{1=10%}
26113,Awakening detection,覺醒感應,Awakening detection,각성 유도,,,,,,<2681;781;1081;>,,,{7=10%;8=10%}
26311,Fighting Forces,格鬥勢力,Fighting Forces,싸우는 힘,,,,,,<271;3511;2271;>,,,{7=10%;8=10%}
26312,Fist Power,拳之力量,Fist Power,주먹의 힘,,,,,,<471;1441;231;461>,,,{1=10%}
26313,Technique control,技巧掌控,Technique control,스킬 컨트롤,,,,,,<301;2481;3011;>,,,{7=10%;8=10%}
26811,Bug Rising,蟲蟲崛起,Bug Rising,버그의 상승,,,,,,<371;481;2271;>,,,{7=10%;8=10%}
26812,Forest Power,森林力量,Forest Power,숲의 힘,,,,,,<2591;281;2301;>,,,{1=10%}
26813,Team Friendship,群體情誼,Team Friendship,그룹 우정,,,,,,<3471;2961;2611;>,,,{7=10%;8=10%}
27211,Strongest on Earth,地表強者,Strongest on Earth,표면에 강함,,,,,,<2231;491>,,,{7=10%;8=10%}
27212,Bad Conduct,品行不端,Bad Conduct,버릇 없음,,,,,,<2271;21>,,,{1=12%}
27213,Movie Showdown,電影對決,Movie Showdown,영화 대결,,,,,,<1251;2821;2591;>,,,{7=10%;8=10%}
27214,Full of malice,惡意滿滿,Full of malice,악의로 가득 찬,,,,,,<3141;1081;481;>,,,{14=500}
28211,Master of Illusions,幻影霸者,Master of Illusions,팬텀 오버로드,,,,,,<1221;1231;1241;>,,,{7=10%;8=10%}
28212,Prankster,惡作劇者,Prankster,장난 꾸러기,,,,,,<2721;2271;1081;>,,,{1=12%}
28213,Agile Actions,身手矯健,Agile Actions,원기 왕성한,,,,,,<271;2631;461;>,,,{7=10%;8=10%}
28214,Best Friend Forever,基情四射,Best Friend Forever,열렬한,,,,,,<2241>,,,{14=500}
28411,Hidden Psychic Powers,隱秘超能,Hidden Psychic Powers,시크릿 슈퍼,,,,,,<3291;551>,,,{7=10%;8=10%}
28412,Dream Master,夢境大師,Dream Master,드림 마스터,,,,,,<771>,,,{1=10%}
28413,Princess Link,公主連結,Princess Link,프린세스 링크,,,,,,<3351;1391>,,,{7=10%;8=10%}
28711,Ice-type family,冰系家族,Ice-type family,얼음 가족,,,,,,<2301;1861;3011;>,,,{7=10%;8=10%}
28712,Blizzard Detection,暴雪感應,Blizzard Detection,블리자드 유도,,,,,,<3501;1081;2921;>,,,{1=10%}
28713,Freezing Power,冰封力量,Freezing Power,얼어 붙은 힘,,,,,,<1351;801;371;>,,,{7=10%;8=10%}
28911,Electric family,雷電家族,Electric family,라이덴 가족,,,,,,<351;71;1441;>,,,{7=10%;8=10%}
28912,Power of Nature,自然之力,Power of Nature,자연의 힘,,,,,,<3511;51;2071;>,,,{1=10%}
28913,Electric awareness,電光意識,Electric awareness,전기 광학 인식,,,,,,<91;11;3511;>,,,{7=10%;8=10%}
29211,Force of Current,水流力量,Force of Current,현재 힘,,,,,,<2922;551;801;>,,,{7=10%;8=10%}
29212,Water Pulse,水之波動,Water Pulse,물의파동,,,,,,<3501;3011;3471;>,,,{1=10%}
29213,Overturn,覆舟之勢,Overturn,전복,,,,,,<371;541;21;>,,,{7=10%;8=10%}
29611,Steel Will,鋼鐵意志,Steel Will,강철 같은 의지,,,,,,<801;3281;2071;>,,,{7=10%;8=10%}
29612,Resilient Body,剛毅之軀,Resilient Body,꿋꿋함,,,,,,<1081;2631;3511;>,,,{1=10%}
29613,Danger Detection,危機感應,Danger Detection,위기 감지,,,,,,<131;3431;1081;>,,,{7=10%;8=10%}
29911,Spiritual Power,靈界力量,Spiritual Power,영적인 힘,,,,,,<391;1811;3561;>,,,{7=10%;8=10%}
29912,Flame Body,火焰之軀,Flame Body,화염의 몸,,,,,,<601;741>,,,{1=12%}
29913,Pledge Partner,誓約夥伴,Pledge Partner,맹세 파트너,,,,,,<2922;2871;2471;>,,,{7=10%;8=10%}
29914,Hex,禍不單行,Hex,병상첨병,,,,,,<3411;2821;2921;>,,,{14=500}
30011,Dragon-type family,龍系家族,Dragon-type family,드래곤 패밀리,,,,,,<3141;751>,,,{7=10%;8=10%}
30012,Opelucid Gym,雙龍道館,Opelucid Gym,더블 드래곤로드 파빌리온,,,,,,<1891>,,,{1=12%}
30013,Companions,同行夥伴,Companions,동료 파트너,,,,,,<2891;2611>,,,{7=10%;8=10%}
30014,Blade,刀鋒戰士,Blade,블레이드 워리어,,,,,,<2231;571;691;>,,,{14=500}
30111,Ice-type family,冰系家族,Ice-type family,얼음 가족,,,,,,<1861;2871;3501;>,,,{7=10%;8=10%}
30112,Blizzard Detection,暴雪感應,Blizzard Detection,블리자드 유도,,,,,,<171;1081;2011;>,,,{1=10%}
30113,Freezing Power,冰封力量,Freezing Power,얼어 붙은 힘,,,,,,<2271;3431;551;>,,,{7=10%;8=10%}
30211,Frozen Will,寒冰意志,Frozen Will,얼음 의지,,,,,,<721;3011;3501;>,,,{7=10%;8=10%}
30212,Shield of the Brave,盾之勇者,Shield of the Brave,방패 영웅,,,,,,<3541;3411>,,,{1=12%}
30213,Rainstorm,雨雪交加,Rainstorm,비와 눈,,,,,,<3301;2301;1851;>,,,{7=10%;8=10%}
30214,Weather Control,天氣管制,Weather Control,날씨 제어,,,,,,<731;51;71;>,,,{23=500}
31411,Dragon Pulse,龍之波動,Dragon Pulse,용의 파동,,,,,,<751;1891>,,,{7=10%;8=10%}
31412,Demon Flame,惡魔盛焰,Demon Flame,악마의 불꽃,,,,,,<1171;2481;791;>,,,{1=12%}
31413,Full of evil,惡貫滿盈,Full of evil,악으로 가득,,,,,,<2821;1841>,,,{7=10%;8=10%}
31414,Big Meeting,多頭會議,Big Meeting,다자간 회의,,,,,,<1901;2871;351;>,,,{14=500}
31511,Rise of Bug,蟲蟲崛起,Rise of Bug,버그의 상승,,,,,,<571;1071;41;>,,,{7=10%;8=10%}
31512,Hidden Fire,隱秘火系,Hidden Fire,숨겨진 불,,,,,,<1171;2991;1611;>,,,{1=12%}
31513,Vow Partner,誓約夥伴,Vow Partner,맹세 파트너,,,,,,<2821;1811;3281;>,,,{7=10%;8=10%}
31514,Water & Fire,水火無情,Water & Fire,무자비한,,,,,,<381;2481;221;>,,,{14=500}
31611,Steel Family,鋼鐵世家,Steel Family,강철 세가,,,,,,<1931;2031;571;>,,,{7=10%;8=10%}
31612,Fighting Warrior,格鬥勇士,Fighting Warrior,격투 용사,,,,,,<3251;1301;2631;>,,,{1=12%}
31613,Swords of Justice,聖劍士,Swords of Justice,성검사,,,,,,<3171;3181>,,,{7=10%;8=10%}
