变量名,markID,_beizhu1,_beizhu2,_beizhu3,_beizhu4,star,attrType1,attrValue1,attrType2,attrValue2
1245,1031,scorpio,9,2,2,9,1,1.23%,,
1246,1031,scorpio,9,2,2,10,1,1.54%,,
1247,1031,scorpio,9,2,2,11,1,1.86%,,
1248,1031,scorpio,9,2,2,12,1,2.28%,,
1249,1041,blue,18,1,2,1,,0%,,
1250,1041,blue,18,1,2,2,,0%,,
1251,1041,blue,18,1,2,3,,0%,,
1252,1041,blue,18,1,2,4,,0%,,
1253,1041,blue,18,1,2,5,,0%,,
1254,1041,blue,18,1,2,6,,0%,,
1255,1041,blue,18,1,2,7,,0%,,
1256,1041,blue,18,1,2,8,,0%,,
1257,1041,blue,18,1,2,9,,0%,,
1258,1041,blue,18,1,2,10,,0%,,
1259,1041,blue,18,1,2,11,,0%,,
1260,1041,blue,18,1,2,12,,0%,,
1261,1051,Thousand needle fish,3,1,2,1,,0%,,
1262,1051,Thousand needle fish,3,1,2,2,,0%,,
1263,1051,Thousand needle fish,3,1,2,3,,0%,,
1264,1051,Thousand needle fish,3,1,2,4,,0%,,
1265,1051,Thousand needle fish,3,1,2,5,,0%,,
1266,1051,Thousand needle fish,3,1,2,6,,0%,,
1267,1051,Thousand needle fish,3,1,2,7,,0%,,
1268,1051,Thousand needle fish,3,1,2,8,,0%,,
1269,1051,Thousand needle fish,3,1,2,9,,0%,,
1270,1051,Thousand needle fish,3,1,2,10,,0%,,
1271,1051,Thousand needle fish,3,1,2,11,,0%,,
1272,1051,Thousand needle fish,3,1,2,12,,0%,,
1273,1061,pot pot,12,2,2,1,,0%,,
1274,1061,pot pot,12,2,2,2,,0%,,
1275,1061,pot pot,12,2,2,3,,0%,,
1276,1061,pot pot,12,2,2,4,,0%,,
1277,1061,pot pot,12,2,2,5,,0%,,
1278,1061,pot pot,12,2,2,6,,0%,,
1279,1061,pot pot,12,2,2,7,,0%,,
1280,1061,pot pot,12,2,2,8,,0%,,
1281,1061,pot pot,12,2,2,9,,0%,,
1282,1061,pot pot,12,2,2,10,,0%,,
1283,1061,pot pot,12,2,2,11,,0%,,
1284,1061,pot pot,12,2,2,12,,0%,,
1285,1071,Hercules,12,3,3,1,9,0%,,
1286,1071,Hercules,12,3,3,2,9,0%,,
1287,1071,Hercules,12,3,3,3,9,0.10%,,
1288,1071,Hercules,12,3,3,4,9,0.25%,,
1289,1071,Hercules,12,3,3,5,9,0.40%,,
1290,1071,Hercules,12,3,3,6,9,0.70%,,
1291,1071,Hercules,12,3,3,7,9,1%,,
1292,1071,Hercules,12,3,3,8,9,1.30%,,
1293,1071,Hercules,12,3,3,9,9,1.75%,,
1294,1071,Hercules,12,3,3,10,9,2.20%,,
1295,1071,Hercules,12,3,3,11,9,2.65%,,
1296,1071,Hercules,12,3,3,12,9,3.25%,,
1297,1081,Huanla,16,3,2,1,8,0%,,
1298,1081,Huanla,16,3,2,2,8,0%,,
1299,1081,Huanla,16,3,2,3,8,0.10%,,
1300,1081,Huanla,16,3,2,4,8,0.25%,,
1301,1081,Huanla,16,3,2,5,8,0.40%,,
1302,1081,Huanla,16,3,2,6,8,0.70%,,
1303,1081,Huanla,16,3,2,7,8,1%,,
1304,1081,Huanla,16,3,2,8,8,1.30%,,
1305,1081,Huanla,16,3,2,9,8,1.75%,,
1306,1081,Huanla,16,3,2,10,8,2.20%,,
1307,1081,Huanla,16,3,2,11,8,2.65%,,
1308,1081,Huanla,16,3,2,12,8,3.25%,,
1309,1091,baby bear,1,2,2,1,,0%,,
1310,1091,baby bear,1,2,2,2,,0%,,
1311,1091,baby bear,1,2,2,3,,0%,,
1312,1091,baby bear,1,2,2,4,,0%,,
1313,1091,baby bear,1,2,2,5,,0%,,
1314,1091,baby bear,1,2,2,6,,0%,,
1315,1091,baby bear,1,2,2,7,,0%,,
1316,1091,baby bear,1,2,2,8,,0%,,
1317,1091,baby bear,1,2,2,9,,0%,,
1318,1091,baby bear,1,2,2,10,,0%,,
1319,1091,baby bear,1,2,2,11,,0%,,
1320,1091,baby bear,1,2,2,12,,0%,,
1321,1101,lava worm,2,1,2,1,,0%,,
1322,1101,lava worm,2,1,2,2,,0%,,
1323,1101,lava worm,2,1,2,3,,0%,,
1324,1101,lava worm,2,1,2,4,,0%,,
1325,1101,lava worm,2,1,2,5,,0%,,
1326,1101,lava worm,2,1,2,6,,0%,,
1327,1101,lava worm,2,1,2,7,,0%,,
1328,1101,lava worm,2,1,2,8,,0%,,
1329,1101,lava worm,2,1,2,9,,0%,,
1330,1101,lava worm,2,1,2,10,,0%,,
1331,1101,lava worm,2,1,2,11,,0%,,
1332,1101,lava worm,2,1,2,12,,0%,,
1333,1111,small boar,6,2,2,1,,0%,,
1334,1111,small boar,6,2,2,2,,0%,,
1335,1111,small boar,6,2,2,3,,0%,,
1336,1111,small boar,6,2,2,4,,0%,,
1337,1111,small boar,6,2,2,5,,0%,,
1338,1111,small boar,6,2,2,6,,0%,,
1339,1111,small boar,6,2,2,7,,0%,,
1340,1111,small boar,6,2,2,8,,0%,,
1341,1111,small boar,6,2,2,9,,0%,,
1342,1111,small boar,6,2,2,10,,0%,,
1343,1111,small boar,6,2,2,11,,0%,,
1344,1111,small boar,6,2,2,12,,0%,,
1345,1121,sun coral,3,1,2,1,,0%,,
1346,1121,sun coral,3,1,2,2,,0%,,
1347,1121,sun coral,3,1,2,3,,0%,,
1348,1121,sun coral,3,1,2,4,,0%,,
1349,1121,sun coral,3,1,2,5,,0%,,
1350,1121,sun coral,3,1,2,6,,0%,,
1351,1121,sun coral,3,1,2,7,,0%,,
1352,1121,sun coral,3,1,2,8,,0%,,
1353,1121,sun coral,3,1,2,9,,0%,,
1354,1121,sun coral,3,1,2,10,,0%,,
1355,1121,sun coral,3,1,2,11,,0%,,
1356,1121,sun coral,3,1,2,12,,0%,,
1357,1131,Iron gunfish,3,2,2,1,,0%,,
1358,1131,Iron gunfish,3,2,2,2,,0%,,
1359,1131,Iron gunfish,3,2,2,3,,0%,,
1360,1131,Iron gunfish,3,2,2,4,,0%,,
1361,1131,Iron gunfish,3,2,2,5,,0%,,
1362,1131,Iron gunfish,3,2,2,6,,0%,,
1363,1131,Iron gunfish,3,2,2,7,,0%,,
1364,1131,Iron gunfish,3,2,2,8,,0%,,
1365,1131,Iron gunfish,3,2,2,9,,0%,,
1366,1131,Iron gunfish,3,2,2,10,,0%,,
1367,1131,Iron gunfish,3,2,2,11,,0%,,
1368,1131,Iron gunfish,3,2,2,12,,0%,,
1369,1141,messenger bird,6,1,2,1,,0%,,
1370,1141,messenger bird,6,1,2,2,,0%,,
1371,1141,messenger bird,6,1,2,3,,0%,,
1372,1141,messenger bird,6,1,2,4,,0%,,
1373,1141,messenger bird,6,1,2,5,,0%,,
1374,1141,messenger bird,6,1,2,6,,0%,,
1375,1141,messenger bird,6,1,2,7,,0%,,
1376,1141,messenger bird,6,1,2,8,,0%,,
1377,1141,messenger bird,6,1,2,9,,0%,,
1378,1141,messenger bird,6,1,2,10,,0%,,
1379,1141,messenger bird,6,1,2,11,,0%,,
1380,1141,messenger bird,6,1,2,12,,0%,,
1381,1151,Small ball flying fish,3,2,2,1,,0%,,
1382,1151,Small ball flying fish,3,2,2,2,,0%,,
1383,1151,Small ball flying fish,3,2,2,3,,0%,,
1384,1151,Small ball flying fish,3,2,2,4,,0%,,
1385,1151,Small ball flying fish,3,2,2,5,,0%,,
1386,1151,Small ball flying fish,3,2,2,6,,0%,,
1387,1151,Small ball flying fish,3,2,2,7,,0%,,
1388,1151,Small ball flying fish,3,2,2,8,,0%,,
1389,1151,Small ball flying fish,3,2,2,9,,0%,,
1390,1151,Small ball flying fish,3,2,2,10,,0%,,
1391,1151,Small ball flying fish,3,2,2,11,,0%,,
1392,1151,Small ball flying fish,3,2,2,12,,0%,,
1393,1161,armor bird,17,1,2,1,,0%,,
1394,1161,armor bird,17,1,2,2,,0%,,
1395,1161,armor bird,17,1,2,3,,0%,,
1396,1161,armor bird,17,1,2,4,,0%,,
1397,1161,armor bird,17,1,2,5,,0%,,
1398,1161,armor bird,17,1,2,6,,0%,,
1399,1161,armor bird,17,1,2,7,,0%,,
1400,1161,armor bird,17,1,2,8,,0%,,
1401,1161,armor bird,17,1,2,9,,0%,,
1402,1161,armor bird,17,1,2,10,,0%,,
1403,1161,armor bird,17,1,2,11,,0%,,
1404,1161,armor bird,17,1,2,12,,0%,,
1405,1171,Dai Ruby _,16,3,3,1,1,0%,,
1406,1171,Dai Ruby _,16,3,3,2,1,0%,,
1407,1171,Dai Ruby _,16,3,3,3,1,0.07%,,
1408,1171,Dai Ruby _,16,3,3,4,1,0.18%,,
1409,1171,Dai Ruby _,16,3,3,5,1,0.28%,,
1410,1171,Dai Ruby _,16,3,3,6,1,0.49%,,
1411,1171,Dai Ruby _,16,3,3,7,1,0.70%,,
1412,1171,Dai Ruby _,16,3,3,8,1,0.91%,,
1413,1171,Dai Ruby _,16,3,3,9,1,1.23%,,
1414,1171,Dai Ruby _,16,3,3,10,1,1.54%,,
1415,1171,Dai Ruby _,16,3,3,11,1,1.86%,,
1416,1171,Dai Ruby _,16,3,3,12,1,2.28%,,
1417,1181,little elephant,9,2,2,1,,0%,,
1418,1181,little elephant,9,2,2,2,,0%,,
1419,1181,little elephant,9,2,2,3,,0%,,
1420,1181,little elephant,9,2,2,4,,0%,,
1421,1181,little elephant,9,2,2,5,,0%,,
1422,1181,little elephant,9,2,2,6,,0%,,
1423,1181,little elephant,9,2,2,7,,0%,,
1424,1181,little elephant,9,2,2,8,,0%,,
1425,1181,little elephant,9,2,2,9,,0%,,
1426,1181,little elephant,9,2,2,10,,0%,,
1427,1181,little elephant,9,2,2,11,,0%,,
1428,1181,little elephant,9,2,2,12,,0%,,
1429,1191,frightened deer,1,1,2,1,,0%,,
1430,1191,frightened deer,1,1,2,2,,0%,,
1431,1191,frightened deer,1,1,2,3,,0%,,
1432,1191,frightened deer,1,1,2,4,,0%,,
1433,1191,frightened deer,1,1,2,5,,0%,,
1434,1191,frightened deer,1,1,2,6,,0%,,
1435,1191,frightened deer,1,1,2,7,,0%,,
1436,1191,frightened deer,1,1,2,8,,0%,,
1437,1191,frightened deer,1,1,2,9,,0%,,
1438,1191,frightened deer,1,1,2,10,,0%,,
1439,1191,frightened deer,1,1,2,11,,0%,,
1440,1191,frightened deer,1,1,2,12,,0%,,
1441,1201,tutu dog,1,1,2,1,,0%,,
1442,1201,tutu dog,1,1,2,2,,0%,,
1443,1201,tutu dog,1,1,2,3,,0%,,
1444,1201,tutu dog,1,1,2,4,,0%,,
1445,1201,tutu dog,1,1,2,5,,0%,,
1446,1201,tutu dog,1,1,2,6,,0%,,
1447,1201,tutu dog,1,1,2,7,,0%,,
1448,1201,tutu dog,1,1,2,8,,0%,,
1449,1201,tutu dog,1,1,2,9,,0%,,
1450,1201,tutu dog,1,1,2,10,,0%,,
1451,1201,tutu dog,1,1,2,11,,0%,,
1452,1201,tutu dog,1,1,2,12,,0%,,
1453,1211,big milk jug,1,2,2,1,,0%,,
1454,1211,big milk jug,1,2,2,2,,0%,,
1455,1211,big milk jug,1,2,2,3,,0%,,
1456,1211,big milk jug,1,2,2,4,,0%,,
1457,1211,big milk jug,1,2,2,5,,0%,,
1458,1211,big milk jug,1,2,2,6,,0%,,
1459,1211,big milk jug,1,2,2,7,,0%,,
1460,1211,big milk jug,1,2,2,8,,0%,,
1461,1211,big milk jug,1,2,2,9,,0%,,
1462,1211,big milk jug,1,2,2,10,,0%,,
1463,1211,big milk jug,1,2,2,11,,0%,,
1464,1211,big milk jug,1,2,2,12,,0%,,
1465,1221,Thunder God,5,3,3,1,13,0%,,
1466,1221,Thunder God,5,3,3,2,13,0%,,
1467,1221,Thunder God,5,3,3,3,13,0.10%,,
1468,1221,Thunder God,5,3,3,4,13,0.25%,,
1469,1221,Thunder God,5,3,3,5,13,0.40%,,
1470,1221,Thunder God,5,3,3,6,13,0.70%,,
1471,1221,Thunder God,5,3,3,7,13,1%,,
1472,1221,Thunder God,5,3,3,8,13,1.30%,,
1473,1221,Thunder God,5,3,3,9,13,1.75%,,
1474,1221,Thunder God,5,3,3,10,13,2.20%,,
1475,1221,Thunder God,5,3,3,11,13,2.65%,,
1476,1221,Thunder God,5,3,3,12,13,3.25%,,
1477,1231,Yandi,2,3,3,1,7,0%,,
1478,1231,Yandi,2,3,3,2,7,0%,,
1479,1231,Yandi,2,3,3,3,7,0.10%,,
1480,1231,Yandi,2,3,3,4,7,0.25%,,
1481,1231,Yandi,2,3,3,5,7,0.40%,,
1482,1231,Yandi,2,3,3,6,7,0.70%,,
1483,1231,Yandi,2,3,3,7,7,1%,,
1484,1231,Yandi,2,3,3,8,7,1.30%,,
1485,1231,Yandi,2,3,3,9,7,1.75%,,
1486,1231,Yandi,2,3,3,10,7,2.20%,,
1487,1231,Yandi,2,3,3,11,7,2.65%,,
1488,1231,Yandi,2,3,3,12,7,3.25%,,
1489,1241,Suicune,3,3,3,1,10,0%,,
1490,1241,Suicune,3,3,3,2,10,0%,,
1491,1241,Suicune,3,3,3,3,10,0.10%,,
1492,1241,Suicune,3,3,3,4,10,0.25%,,
1493,1241,Suicune,3,3,3,5,10,0.40%,,
1494,1241,Suicune,3,3,3,6,10,0.70%,,
1495,1241,Suicune,3,3,3,7,10,1%,,
1496,1241,Suicune,3,3,3,8,10,1.30%,,
1497,1241,Suicune,3,3,3,9,10,1.75%,,
1498,1241,Suicune,3,3,3,10,10,2.20%,,
1499,1241,Suicune,3,3,3,11,10,2.65%,,
1500,1241,Suicune,3,3,3,12,10,3.25%,,
1501,1251,Young Kiras,13,3,3,1,9,0%,,
1502,1251,Young Kiras,13,3,3,2,9,0%,,
1503,1251,Young Kiras,13,3,3,3,9,0.10%,,
1504,1251,Young Kiras,13,3,3,4,9,0.25%,,
1505,1251,Young Kiras,13,3,3,5,9,0.40%,,
1506,1251,Young Kiras,13,3,3,6,9,0.70%,,
1507,1251,Young Kiras,13,3,3,7,9,1%,,
1508,1251,Young Kiras,13,3,3,8,9,1.30%,,
1509,1251,Young Kiras,13,3,3,9,9,1.75%,,
1510,1251,Young Kiras,13,3,3,10,9,2.20%,,
1511,1251,Young Kiras,13,3,3,11,9,2.65%,,
1512,1251,Young Kiras,13,3,3,12,9,3.25%,,
1513,1261,Rogia,11,4,4,1,10,0%,,
1514,1261,Rogia,11,4,4,2,10,0%,,
1515,1261,Rogia,11,4,4,3,10,0%,,
1516,1261,Rogia,11,4,4,4,10,0.16%,,
1517,1261,Rogia,11,4,4,5,10,0.48%,,
1518,1261,Rogia,11,4,4,6,10,0.80%,,
1519,1261,Rogia,11,4,4,7,10,1.44%,,
1520,1261,Rogia,11,4,4,8,10,2.08%,,
1521,1261,Rogia,11,4,4,9,10,2.72%,,
1522,1261,Rogia,11,4,4,10,10,3.68%,,
1523,1261,Rogia,11,4,4,11,10,4.64%,,
1524,1261,Rogia,11,4,4,12,10,5.60%,,
1525,1271,Phoenix King,2,4,4,1,7,0%,,
1526,1271,Phoenix King,2,4,4,2,7,0%,,
1527,1271,Phoenix King,2,4,4,3,7,0%,,
1528,1271,Phoenix King,2,4,4,4,7,0.16%,,
1529,1271,Phoenix King,2,4,4,5,7,0.48%,,
1530,1271,Phoenix King,2,4,4,6,7,0.80%,,
1531,1271,Phoenix King,2,4,4,7,7,1.44%,,
1532,1271,Phoenix King,2,4,4,8,7,2.08%,,
1533,1271,Phoenix King,2,4,4,9,7,2.72%,,
1534,1271,Phoenix King,2,4,4,10,7,3.68%,,
1535,1271,Phoenix King,2,4,4,11,7,4.64%,,
1536,1271,Phoenix King,2,4,4,12,7,5.60%,,
1537,1281,rabbi,11,4,4,1,1,0%,,
1538,1281,rabbi,11,4,4,2,1,0%,,
1539,1281,rabbi,11,4,4,3,1,0%,,
1540,1281,rabbi,11,4,4,4,1,0.11%,,
1541,1281,rabbi,11,4,4,5,1,0.34%,,
1542,1281,rabbi,11,4,4,6,1,0.56%,,
1543,1281,rabbi,11,4,4,7,1,1.01%,,
1544,1281,rabbi,11,4,4,8,1,1.46%,,
1545,1281,rabbi,11,4,4,9,1,1.90%,,
1546,1281,rabbi,11,4,4,10,1,2.58%,,
1547,1281,rabbi,11,4,4,11,1,3.25%,,
1548,1281,rabbi,11,4,4,12,1,3.92%,,
1549,1291,Mu Shou Gong,4,3,3,1,8,0%,,
1550,1291,Mu Shou Gong,4,3,3,2,8,0%,,
1551,1291,Mu Shou Gong,4,3,3,3,8,0.10%,,
1552,1291,Mu Shou Gong,4,3,3,4,8,0.25%,,
1553,1291,Mu Shou Gong,4,3,3,5,8,0.40%,,
1554,1291,Mu Shou Gong,4,3,3,6,8,0.70%,,
1555,1291,Mu Shou Gong,4,3,3,7,8,1%,,
1556,1291,Mu Shou Gong,4,3,3,8,8,1.30%,,
1557,1291,Mu Shou Gong,4,3,3,9,8,1.75%,,
1558,1291,Mu Shou Gong,4,3,3,10,8,2.20%,,
1559,1291,Mu Shou Gong,4,3,3,11,8,2.65%,,
1560,1291,Mu Shou Gong,4,3,3,12,8,3.25%,,
1561,1301,fire chicken,2,3,3,1,7,0%,,
1562,1301,fire chicken,2,3,3,2,7,0%,,
1563,1301,fire chicken,2,3,3,3,7,0.10%,,
1564,1301,fire chicken,2,3,3,4,7,0.25%,,
1565,1301,fire chicken,2,3,3,5,7,0.40%,,
1566,1301,fire chicken,2,3,3,6,7,0.70%,,
1567,1301,fire chicken,2,3,3,7,7,1%,,
1568,1301,fire chicken,2,3,3,8,7,1.30%,,
1569,1301,fire chicken,2,3,3,9,7,1.75%,,
1570,1301,fire chicken,2,3,3,10,7,2.20%,,
1571,1301,fire chicken,2,3,3,11,7,2.65%,,
1572,1301,fire chicken,2,3,3,12,7,3.25%,,
1573,1311,water jump fish,3,3,3,1,1,0%,,
1574,1311,water jump fish,3,3,3,2,1,0%,,
1575,1311,water jump fish,3,3,3,3,1,0.07%,,
1576,1311,water jump fish,3,3,3,4,1,0.18%,,
1577,1311,water jump fish,3,3,3,5,1,0.28%,,
1578,1311,water jump fish,3,3,3,6,1,0.49%,,
1579,1311,water jump fish,3,3,3,7,1,0.70%,,
1580,1311,water jump fish,3,3,3,8,1,0.91%,,
1581,1311,water jump fish,3,3,3,9,1,1.23%,,
1582,1311,water jump fish,3,3,3,10,1,1.54%,,
1583,1311,water jump fish,3,3,3,11,1,1.86%,,
1584,1311,water jump fish,3,3,3,12,1,2.28%,,
1585,1321,Coyote,16,1,2,1,,0%,,
1586,1321,Coyote,16,1,2,2,,0%,,
1587,1321,Coyote,16,1,2,3,,0%,,
1588,1321,Coyote,16,1,2,4,,0%,,
1589,1321,Coyote,16,1,2,5,,0%,,
1590,1321,Coyote,16,1,2,6,,0%,,
1591,1321,Coyote,16,1,2,7,,0%,,
1592,1321,Coyote,16,1,2,8,,0%,,
1593,1321,Coyote,16,1,2,9,,0%,,
1594,1321,Coyote,16,1,2,10,,0%,,
1595,1321,Coyote,16,1,2,11,,0%,,
1596,1321,Coyote,16,1,2,12,,0%,,
1597,1331,snake bear _,1,1,2,1,,0%,,
1598,1331,snake bear _,1,1,2,2,,0%,,
1599,1331,snake bear _,1,1,2,3,,0%,,
1600,1331,snake bear _,1,1,2,4,,0%,,
1601,1331,snake bear _,1,1,2,5,,0%,,
1602,1331,snake bear _,1,1,2,6,,0%,,
1603,1331,snake bear _,1,1,2,7,,0%,,
1604,1331,snake bear _,1,1,2,8,,0%,,
1605,1331,snake bear _,1,1,2,9,,0%,,
1606,1331,snake bear _,1,1,2,10,,0%,,
1607,1331,snake bear _,1,1,2,11,,0%,,
1608,1331,snake bear _,1,1,2,12,,0%,,
1609,1341,spiny worm,12,1,2,1,,0%,,
1610,1341,spiny worm,12,1,2,2,,0%,,
1611,1341,spiny worm,12,1,2,3,,0%,,
1612,1341,spiny worm,12,1,2,4,,0%,,
1613,1341,spiny worm,12,1,2,5,,0%,,
1614,1341,spiny worm,12,1,2,6,,0%,,
1615,1341,spiny worm,12,1,2,7,,0%,,
1616,1341,spiny worm,12,1,2,8,,0%,,
1617,1341,spiny worm,12,1,2,9,,0%,,
1618,1341,spiny worm,12,1,2,10,,0%,,
1619,1341,spiny worm,12,1,2,11,,0%,,
1620,1341,spiny worm,12,1,2,12,,0%,,
1621,1351,Lotus leaf boy,3,1,2,1,1,0%,,
1622,1351,Lotus leaf boy,3,1,2,2,1,0.03%,,
1623,1351,Lotus leaf boy,3,1,2,3,1,0.04%,,
1624,1351,Lotus leaf boy,3,1,2,4,1,0.06%,,
1625,1351,Lotus leaf boy,3,1,2,5,1,0.08%,,
1626,1351,Lotus leaf boy,3,1,2,6,1,0.13%,,
1627,1351,Lotus leaf boy,3,1,2,7,1,0.17%,,
1628,1351,Lotus leaf boy,3,1,2,8,1,0.22%,,
1629,1351,Lotus leaf boy,3,1,2,9,1,0.28%,,
1630,1351,Lotus leaf boy,3,1,2,10,1,0.35%,,
1631,1351,Lotus leaf boy,3,1,2,11,1,0.42%,,
1632,1351,Lotus leaf boy,3,1,2,12,1,0.50%,,
1633,1361,acorn fruit,4,2,2,1,,0%,,
1634,1361,acorn fruit,4,2,2,2,,0%,,
1635,1361,acorn fruit,4,2,2,3,,0%,,
1636,1361,acorn fruit,4,2,2,4,,0%,,
1637,1361,acorn fruit,4,2,2,5,,0%,,
1638,1361,acorn fruit,4,2,2,6,,0%,,
1639,1361,acorn fruit,4,2,2,7,,0%,,
1640,1361,acorn fruit,4,2,2,8,,0%,,
1641,1361,acorn fruit,4,2,2,9,,0%,,
1642,1361,acorn fruit,4,2,2,10,,0%,,
1643,1361,acorn fruit,4,2,2,11,,0%,,
1644,1361,acorn fruit,4,2,2,12,,0%,,
1645,1371,proud swallow,1,1,2,1,,0%,,
1646,1371,proud swallow,1,1,2,2,,0%,,
1647,1371,proud swallow,1,1,2,3,,0%,,
1648,1371,proud swallow,1,1,2,4,,0%,,
1649,1371,proud swallow,1,1,2,5,,0%,,
1650,1371,proud swallow,1,1,2,6,,0%,,
1651,1371,proud swallow,1,1,2,7,,0%,,
1652,1371,proud swallow,1,1,2,8,,0%,,
1653,1371,proud swallow,1,1,2,9,,0%,,
1654,1371,proud swallow,1,1,2,10,,0%,,
1655,1371,proud swallow,1,1,2,11,,0%,,
1656,1371,proud swallow,1,1,2,12,,0%,,
1657,1381,long-winged gull,3,1,2,1,,0%,,
1658,1381,long-winged gull,3,1,2,2,,0%,,
1659,1381,long-winged gull,3,1,2,3,,0%,,
1660,1381,long-winged gull,3,1,2,4,,0%,,
1661,1381,long-winged gull,3,1,2,5,,0%,,
1662,1381,long-winged gull,3,1,2,6,,0%,,
1663,1381,long-winged gull,3,1,2,7,,0%,,
1664,1381,long-winged gull,3,1,2,8,,0%,,
1665,1381,long-winged gull,3,1,2,9,,0%,,
1666,1381,long-winged gull,3,1,2,10,,0%,,
1667,1381,long-winged gull,3,1,2,11,,0%,,
1668,1381,long-winged gull,3,1,2,12,,0%,,
1669,1391,Lalulas,11,3,3,1,1,0%,,
1670,1391,Lalulas,11,3,3,2,1,0%,,
1671,1391,Lalulas,11,3,3,3,1,0.07%,,
1672,1391,Lalulas,11,3,3,4,1,0.18%,,
1673,1391,Lalulas,11,3,3,5,1,0.28%,,
1674,1391,Lalulas,11,3,3,6,1,0.49%,,
1675,1391,Lalulas,11,3,3,7,1,0.70%,,
1676,1391,Lalulas,11,3,3,8,1,0.91%,,
1677,1391,Lalulas,11,3,3,9,1,1.23%,,
1678,1391,Lalulas,11,3,3,10,1,1.54%,,
1679,1391,Lalulas,11,3,3,11,1,1.86%,,
1680,1391,Lalulas,11,3,3,12,1,2.28%,,
1681,1401,yo-yo ball,12,1,2,1,,0%,,
1682,1401,yo-yo ball,12,1,2,2,,0%,,
1683,1401,yo-yo ball,12,1,2,3,,0%,,
1684,1401,yo-yo ball,12,1,2,4,,0%,,
1685,1401,yo-yo ball,12,1,2,5,,0%,,
1686,1401,yo-yo ball,12,1,2,6,,0%,,
1687,1401,yo-yo ball,12,1,2,7,,0%,,
1688,1401,yo-yo ball,12,1,2,8,,0%,,
1689,1401,yo-yo ball,12,1,2,9,,0%,,
1690,1401,yo-yo ball,12,1,2,10,,0%,,
1691,1401,yo-yo ball,12,1,2,11,,0%,,
1692,1401,yo-yo ball,12,1,2,12,,0%,,
1693,1411,Mushrooms,4,1,2,1,,0%,,
1694,1411,Mushrooms,4,1,2,2,,0%,,
1695,1411,Mushrooms,4,1,2,3,,0%,,
1696,1411,Mushrooms,4,1,2,4,,0%,,
1697,1411,Mushrooms,4,1,2,5,,0%,,
1698,1411,Mushrooms,4,1,2,6,,0%,,
1699,1411,Mushrooms,4,1,2,7,,0%,,
1700,1411,Mushrooms,4,1,2,8,,0%,,
1701,1411,Mushrooms,4,1,2,9,,0%,,
1702,1411,Mushrooms,4,1,2,10,,0%,,
1703,1411,Mushrooms,4,1,2,11,,0%,,
1704,1411,Mushrooms,4,1,2,12,,0%,,
1705,1421,lazy otter,1,3,3,1,7,0%,,
1706,1421,lazy otter,1,3,3,2,7,0%,,
1707,1421,lazy otter,1,3,3,3,7,0.10%,,
1708,1421,lazy otter,1,3,3,4,7,0.25%,,
1709,1421,lazy otter,1,3,3,5,7,0.40%,,
1710,1421,sorrow,1,3,3,6,7,0.70%,,
1711,1421,sorrow,1,3,3,7,7,1%,,
1712,1421,sorrow,1,3,3,8,7,1.30%,,
1713,1421,sorrow,1,3,3,9,7,1.75%,,
1714,1421,sorrow,1,3,3,10,7,2.20%,,
1715,1421,sorrow,1,3,3,11,7,2.65%,,
1716,1421,sorrow,1,3,3,12,7,3.25%,,
1717,1431,Doi Ninja,12,1,2,1,,0%,,
1718,1431,Doi Ninja,12,1,2,2,,0%,,
1719,1431,Doi Ninja,12,1,2,3,,0%,,
1720,1431,Doi Ninja,12,1,2,4,,0%,,
1721,1431,Doi Ninja,12,1,2,5,,0%,,
1722,1431,Doi Ninja,12,1,2,6,,0%,,
1723,1431,Doi Ninja,12,1,2,7,,0%,,
1724,1431,Doi Ninja,12,1,2,8,,0%,,
1725,1431,Doi Ninja,12,1,2,9,,0%,,
1726,1431,Doi Ninja,12,1,2,10,,0%,,
1727,1431,Doi Ninja,12,1,2,11,,0%,,
1728,1431,Doi Ninja,12,1,2,12,,0%,,
1729,1441,baby girl,1,2,2,1,1,0%,,
1730,1441,baby girl,1,2,2,2,1,0.06%,,
1731,1441,baby girl,1,2,2,3,1,0.11%,,
1732,1441,baby girl,1,2,2,4,1,0.17%,,
1733,1441,baby girl,1,2,2,5,1,0.28%,,
1734,1441,baby girl,1,2,2,6,1,0.39%,,
1735,1441,baby girl,1,2,2,7,1,0.56%,,
1736,1441,baby girl,1,2,2,8,1,0.73%,,
1737,1441,baby girl,1,2,2,9,1,0.95%,,
1738,1441,baby girl,1,2,2,10,1,1.18%,,
1739,1441,baby girl,1,2,2,11,1,1.40%,,
1740,1441,baby girl,1,2,2,12,1,1.68%,,
1741,1451,makushita wrestler,7,1,2,1,,0%,,
1742,1451,makushita wrestler,7,1,2,2,,0%,,
1743,1451,makushita wrestler,7,1,2,3,,0%,,
1744,1451,makushita wrestler,7,1,2,4,,0%,,
1745,1451,makushita wrestler,7,1,2,5,,0%,,
1746,1451,makushita wrestler,7,1,2,6,,0%,,
1747,1451,makushita wrestler,7,1,2,7,,0%,,
1748,1451,makushita wrestler,7,1,2,8,,0%,,
1749,1451,makushita wrestler,7,1,2,9,,0%,,
1750,1451,makushita wrestler,7,1,2,10,,0%,,
1751,1451,makushita wrestler,7,1,2,11,,0%,,
1752,1451,makushita wrestler,7,1,2,12,,0%,,
1753,1461,morning north nose,13,2,2,1,,0%,,
1754,1461,morning north nose,13,2,2,2,,0%,,
