变量名,name,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs
1891124,baby dragon,Forbidden,S,skill3、被动,lockResumeHp,,未分组,2,1114,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891125,baby dragon,tear real injury,S,skill3、被动,buffDamage,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<{processId=5;damageType=2}>,,,,,,,,,,,,,,,,,,
1891126,baby dragon,kill trigger,S,skill3、被动,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=12;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1891127;caster=2;holder=2;lifeRound=1;value=self:hpMax()*0.15;prob=1 }>>}>,,,,,,,,,,,,,,
1891127,baby dragon,treat,S,skill3、被动,addHP,,未分组,1,,,,,,,1,1,,,,1,,,,,0,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
,baby dragon,tear layers,S,skill3、被动,,,,2,,,,,,,2,3,,FALSE,battle/buff_icon/logo_sl.png,,buff/silie/silie.skel,<effect_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_sl.png,,,,,,,,,,,,,,,,,,,,,
1891129,baby dragon,tear layers,S,skill3,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1891123;caster=2;holder=1;lifeRound=self:flagZ4() and 3 or 2;value=0 }>>}>,,,,,,,,,,,,,,
1891130,baby dragon,treatment marker,S,skill3,,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1891131;caster=2;holder=2;lifeRound=1;value=self:damage()*(0.3+(skillLv(18916,18926,18936) or 0)*0.002-0.002)*target:getBuffOverlayCount(1891123)*(self:flagZ3() and 0.7 or 0.5) }>>}>",,,,,,,,,,,,,,
1891131,baby dragon,treat,S,skill3,addHP,,未分组,2,,,,,,,1,1,,,,1,,,,,0,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,baby dragon,Ignore physical defense,S,1891121,defenceIgnore,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,baby dragon,Tearing effect seals anger,S,1891122,lockMp1Add,,,1,,,,,,,1,1,,,battle/buff_icon/logo_sl.png,,buff/silie/silie.skel,<effect_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_sl.png,,,<shield>,,,,<{nodeId=1;triggerPoint=5;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1891123;caster=2;holder=1;lifeRound=1;value=(-(target:flag(99) and self:damage()*0.3 or  target:hpMax()*0.06))*(self:hasBuff(1891130) and 1.33 or 1)}>>}>,,,,,,,,,,,,,,
,baby dragon,tear off blood,S,1891123,buffDamage,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=2}>,,,,,,,,,,,,,,,,,,
,baby dragon,damage increase,S,1891124,damageRateAdd,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,baby dragon,Tearing effect seals anger,S,1891125,lockMp1Add,,,1,,,,,,,1,1,,,battle/buff_icon/logo_sl.png,,buff/silie/silie.skel,<effect_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_sl.png,,,<shield>,,,,<{nodeId=1;triggerPoint=5;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1891123;caster=2;holder=1;lifeRound=1;value=(-(target:flag(99) and self:damage()*0.3 or  target:hpMax()*0.06))*(self:hasBuff(1891130) and 1.25 or 1)}>>}>,,,,,,,,,,,,,,
,baby dragon,tear off blood,S,1891126,buffDamage,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=2}>,,,,,,,,,,,,,,,,,,
,baby dragon,for overlay marking,S,1891127,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=8;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1891128;caster=2;holder=1;lifeRound=99;value=1}>>;onSomeFlag = <not target:hasBuff(1891130)>}>,,,,,,,,,,,,,,
,baby dragon,number of cell layers,S,1891128,,,,1,,,,,,,2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,baby dragon,Judgment mutation,S,1891134,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=8;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=1891129;caster=2;holder=1;lifeRound=1;value=1}>;<{cfgId=1891130;caster=2;holder=1;lifeRound=2;value=1}>>;onSomeFlag = < target:getBuffOverlayCount(1891128)==2>}>,,,,,,,,,,,,,,
,baby dragon,Dispel layers,S,1891129,,,,1,,,,,<1891128>,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,baby dragon,fury,S,1891130,,,,2,,,,,,,1,1,,,battle/buff_icon/logo_bn.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bn.png,,,,,,,,,,,,,,,,,,,,,
,baby dragon,suck blood,S,1891131,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=5;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1891135;caster=2;holder=1;lifeRound=1;value=self:hasBuff(1891130) and 5000 or 0}>>}>,,,,,,,,,,,,,,
,baby dragon,Collateral True Damage,,1891132,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=8;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1891133;caster=2;holder=8;lifeRound=1;prob=self:hasBuff(1891130) and 1 or 0;value=target:flag(99) and (-self:damege()*(0.3+fromSkillLevel*0.003-0.003))  or (-target:hpMax()*(0.04+fromSkillLevel*0.0004-0.0004)) }>>}>,,,,,,,,,,,,,,
,baby dragon,,S,1891133,buffDamage,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{processId=2}>,,,,,,,,,,,,,,,,,,
,baby dragon,suck blood,S,1891135,suckBlood,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901111,iron dumbbell,Small skill CD reduction,S,skill1,updSkillSpellRoundOnce,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901112,iron dumbbell,ridicule,S,skill2,sneer,,,2,25,,,,,,1,1,,,battle/buff_icon/logo_tx.png,,buff/chaofeng/beichaofeng.skel,<beichaofeng_loop>,,,1,,{'x'=0;'y'=-300},,,,,,,,,,,,battle/txt/txt_cf.png,,,<0;1;2>,,,,,,,,,,,,,,,,,,
1901113,iron dumbbell,Add physical defense,S,skill2,defence,,,2,1213,,,,,,1,1,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wftg.png,,,,,,,,,,,,,,,,,,,,,
1901114,iron dumbbell,Critical damage increased,S,skill3,ultimateAdd,,,1,1212,,,,,,1,1,,,battle/buff_icon/logo_bssh_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_bsshtg.png,,,,,,,,,,,,,,,,,,,,,
1901115,iron dumbbell,overflowing with anger,S,被动,mp1OverFlow,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901116,iron dumbbell,Hit trigger,S,被动,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=14;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=1901117;caster=2;holder=1;lifeRound=99;value=2500*self:mp1PointOrValue() ;prob=moreThan(self:mp1PointOrValue(),0) and 1 or 0 }>;<{cfgId=1901120;caster=2;holder=1;lifeRound=99;value=1500*self:mp1PointOrValue() ;prob=moreEqualThan(self:star(),8) and (moreThan(self:mp1PointOrValue(),0) and 1 or 0) or 0 }>>};{nodeId=2;triggerPoint=10;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1901119;caster=2;holder=1;lifeRound=1;value=((self:flagZ4() and 30 or 20)+(skillLv(19016,19026,19036) or 0)*0.3-0.3) ;prob=1}>>; }>",,,,,,,,,,,,,,
1901117,iron dumbbell,Increased critical resistance,S,被动,ultimateSub,,特殊,1,1213,102,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bskxtg.png,,,,,,,,,,,,,,,,,,,,,
1901118,iron dumbbell,dispel critical resistance,S,被动,,,未分组,2,,,,,<1901117>,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901119,iron dumbbell,Rage boost,S,被动,addMp1,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,,,,,,,,,,,,,,,
1901120,Gulardo,Increased damage reduction,S+,S+增益,damageSub,,特殊,1,1223,102,,,,,1,1,,,battle/buff_icon/logo_shjm_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjmtg.png,,,,,,,,,,,,,,,,,,,,,
1901121,Physical damage reduction increased,Physical damage reduction increased,S,S基础属性增益,physicalDamageSub,,特殊,2,1223,102,,,,,1,1,,,battle/buff_icon/logo_wf_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_wsjmtg.png,,,,,,,,,,,,,,,,,,,,,
1901122,Gulardo,Increased damage reduction,S+,S+增益,damageSub,,特殊,1,1223,,,,,,1,1,,,battle/buff_icon/logo_shjm_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjmtg.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911121,reggie lock,Physical Defense Improvement,S+,S+增益,defence,,,2,1223,,,,,,1,1,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wftg.png,,,,,,,,,,,,,,,,,,,,,
1911122,reggie lock,dispel negativity,S,S,qusan,,,2,10004,,,,,<1;2>,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1241000;caster=2;holder=1;lifeRound=1;value=1}>>};{nodeId=2;triggerPoint=28;onSomeFlag = <moreE(buff:getRecordDataTab('dispelBuffCount'),1)>;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1911123;caster=2;holder=2;lifeRound=2;value=(self:flagZ2() and 1000 or 500)}>>};{nodeId=3;triggerPoint=28;onSomeFlag = <moreE(buff:getRecordDataTab('dispelBuffCount'),2)>;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1911123;caster=2;holder=2;lifeRound=2;value=(self:flagZ2() and 1000 or 500)}>>}>",,,,,,,,,,,,,,
1911123,reggie lock,Physical damage reduction increased,,,physicalDamageSub,,,1,1223,,,,,,2,99,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wsjmtg.png,,,,,,,,,,,,,,,,,,,,,
1911124,reggie lock,dizziness,,强控制,stun,,,2,21,,,,,,1,1,,,battle/buff_icon/logo_xy.png,,buff/xuanyun/xuanyun.skel,<xuanyun_loop>,,,1,,{'x'=0;'y'=-320},,,,,,,,,,,,battle/txt/txt_xy.png,,,,,,,,,,,,,,,,,,,,,
1911125,reggie lock,true death trigger,,,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=13;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=1911126;caster=2;holder={input=enemyForce|nodead;process=buffDifferExclude('group',{c.egg_chaopin_fly_bingzhu_shengxiu_oc()})|random(1)};lifeRound=1;value=self:defence()*3}>;<{cfgId=1911124;caster=2;holder=13;lifeRound=1;value=1;prob=0.3+self:getBuffOverlayCount(1911134)*0.1}>>}>",,,,,,,,,,,,,,
1911126,reggie lock,extra damage,,,buffDamage,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<{processId=3;damageType=0}>,"<{input=enemyForce|nodead;process=buffDifferExclude('group',{c.egg_fly_bingzhu_shengxiu_oc()})|random(6)}>",,,,,,,,,,,,,,,,,
1911127,reggie lock,Add immunity to special damage before being hit,,,,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=14;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1911128;caster=15;holder=2;lifeRound=1;value=<4>;prob=self2:hasBuff(1911129) and  1 or 0}>>}>,,,,,,,,,,,,,,
1911128,reggie lock,Immune to Special Wounds,,,immuneDamage,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=1;delSelfWhenTriggered=2}>,,,,,,,,,,,,,,
1911129,reggie lock,star mark,,,,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911130,reggie lock,Vertigo mark,,,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=1;delSelfWhenTriggered=2}>,,,,,,,,,,,,,,
1911131,reggie lock,Increased damage reduction,S+,S+增益,damageSub,,未分组,2,,,,,,,1,1,,,battle/buff_icon/logo_shjm_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjmtg.png,,,,,,,,,,,,,,,,,,,,,
1911132,reggie lock,Add immunity to special damage before being hit,,,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=14;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1911133;caster=2;holder=2;lifeRound=1;value=2500+fromSkillLevel*20-20}>>;onSomeFlag = <self:attackerSkill():targetType() == 'column'>}>,,,,,,,,,,,,,,
1911133,reggie lock,Increased damage reduction,S+,S+增益,damageSub,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjmtg.png,,,,,,,<{nodeId=0;triggerPoint=1;delSelfWhenTriggered=2}>,,,,,,,,,,,,,,
1911134,reggie lock,big move mark,,,,,未分组,2,,,,,,,2,99,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911135,reggie lock,mark behind,,,,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1911136;caster=2;holder=2;lifeRound=99;value=2000;bond=1}>>;}>,,,,,,,,,,,,,,
1911136,reggie lock,Increased damage reduction,S+,S+增益,damageSub,,未分组,2,,,,,,,1,1,,,battle/buff_icon/logo_shjm_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjmtg.png,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921121,Regis,Gart defense,,,specialDefence,,,2,1203,,,,,,1,1,,,battle/buff_icon/logo_tf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tftg.png,,,,,,,,,,,,,,,,,,,,,
1921122,Regis,dispel negativity,S,S,qusan,,,1,10004,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1241000;caster=2;holder=1;lifeRound=1;value=1}>>}>,,,,,,,,,,,,,,
1921123,Regis,Increased damage reduction,S+,S+增益,damageSub,,未分组,2,1203,,,,,,1,1,,,battle/buff_icon/logo_shjm_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shjmtg.png,,,,,,,,,,,,,,,,,,,,,
1921124,Regis,Hit trigger,S+,S+增益,stun,,,2,50014,,,,,,1,1,,,battle/buff_icon/logo_bd.png,1,koudai_leijiaisi/hero_leijiaisi.skel,<bingdong_loop>,,,,,,,,,,,,,,,{res=koudai_leijiaisi/hero_leijiaisi.skel;aniName=bingdong_polie;pos=0},{typ=pause},battle/txt/txt_bh.png,11,,,,,,"<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=10;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=1921125;caster=2;holder=1;lifeRound=99;value=0}>;<{cfgId=1921127;caster=2;holder=1;lifeRound=1;value=0;prob=moreE(self:getBuffOverlayCount(1921125),(moreE(self:star(),11) and 3 or 2)) and 1 or 0}>>}>",,,0,,,,,,,,,,,
1921125,Regis,hits,S+,S+增益,,,未分组,2,,,,,,,2,5,,FALSE,battle/buff_icon/logo_zs.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
1921126,Regis,Immune to damage,A,skill2,immuneDamage,,,2,10014,,,,,,1,1,,,battle/buff_icon/logo_mysh.png,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=2;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1921129;caster=2;holder=1;lifeRound=1;value=self:specialDefence()*(self:flagZ3() and 9 or 5);prob=moreE(self:star(),11) and (moreE(self:getBuffOverlayCount(1921125),3) and 0 or 1) or 0}>>}>",,,0,,,,,,,,,,,
1921127,Regis,dispel invincible,S+,S+增益,,,未分组,1,,,,,<1921124;1921125;1921126>,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921128,Regis,continuous treatment,A,A,addHP,,未分组,2,,,,,,,0,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
1921129,Regis,treat,A,A,addHP,,未分组,2,,,,,,,1,1,,,,1,,,,,0,,,,,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
1921131,Regis,controlled trigger,S+,S+增益,,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=29;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1921132;caster=2;holder=1;lifeRound=1;value=self:specialDefence()*ifElse(exitInTab(trigger.beAddBuff:getGroup(),list(26)),(1+(skillLv(19216) or 0)*0.01-0.01)*(self:flagZ4() and 2 or 1.5),(1+(skillLv(19216) or 0)*0.01-0.01)*1);prob=ifElse(exitInTab(trigger.beAddBuff:getGroup(),list(c.groupstun_oc())),1,0)}>>}>",,,,,,,,,,,,,,
1921132,Regis,treat,A,A,addHP,,未分组,2,,,,,,,1,1,,,,1,,,,,0,,,,,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,
1921130,free from fatal injury,carry props,,,keepHpUnChanged,,未分组,1,,,,,,,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=28;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=1921124;caster=2;holder=1;lifeRound=2;value=0}>;<{cfgId=1921126;caster=2;holder=1;lifeRound=2;value=<1>}>;<{cfgId=1921125;caster=2;holder=1;lifeRound=99;value=0}>>}>,,,,,,<1>,,,,,,,{triggerEffect={onceEffectResPath=buff/miansi/miansi.skel;onceEffectAniName=effect;textResPath=battle/txt/txt_mysw.png;}},
,,,,,,,,,,,,,<1921124;1921125>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931121,Regis Chilloo,Physical Defense Improvement,S+,S+增益,defence,,,2,1223,,,,,,1,1,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wftg.png,,,,,,,,,,,,,,,,,,,,,
1931122,Regis Chilloo,Special Defense Improvement,S+,S+增益,specialDefence,,,2,1223,,,,,,1,1,,,battle/buff_icon/logo_tf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tftg.png,,,,,,,,,,,,,,,,,,,,,
1931123,Regis Chilloo,Immune to negative effects,S,被动,,,,2,50004,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,battle/txt/txt_myfm.png,,,,,,,,,,,,,,,,,,,,,
1931124,Regis Chilloo,final damage reduction,S+,S+增益,finalDamageSub,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1931125,Regis Chilloo,passive,S,S,,,未分组,1,,,,,,,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=3;onSomeFlag=<self:hasBuff(1931126)>;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1931127;caster=2;holder=2;lifeRound=99;value=(self:getRecordTakeDamage(3)-self:getBuff(1931126):getValue())*(0.2+0.1*to10(moreE(self:star(),8))+fromSkillLevel*0.001-0.001)*(moreE(self:star(),8) and 1.5 or 1);prob=more((self:getRecordTakeDamage(3)-self:getBuff(1931126):getValue()),0) and 1 or 0}>>};{nodeId=2;triggerPoint=3;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1931126;caster=2;holder=2;lifeRound=99;value=self:getRecordTakeDamage(3)}>>}>",,,,,,,,1,,,,,,
1931126,Regis Chilloo,pass parameters,S,S,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931127,Regis Chilloo,normal shield,S,S,shield,护盾,特殊,2,11,,,,,,1,1,,,battle/buff_icon/logo_hd.png,1,buff/hudun/hudun.skel,<hudun_loop>,,,0,,,,,,,,,,,,,,battle/txt/txt_hd.png,,,,,,,,,,,,,,,,,,,,,
1931128,Regis Chilloo,No Resurrection Free Deadlock Blood,S,S,forbiddenSpecBuff,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<{easyEffectFunc=<keepHpUnChanged;lockHp;reborn>}>,,,,<{nodeId=0;triggerPoint=1;delSelfWhenTriggered=2}>,,,,,,,,,,,,,,
1931129,Regis Chilloo,Statistics,S,S,,,未分组,1,,,,,,,0,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=29;onSomeFlag=<exitInTab(trigger.beAddBuff:getGroup(),list(11,12)) >;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1931131;caster=2;holder=1;lifeRound=1;value=(self:hasBuff(1931131) and self:getBuff(1931131):getValue() or 0)+(trigger.beAddBuff:getValue() or 0);prob=ifElse(exitInTab(trigger.beAddBuff:getGroup(),list(11,12)),1,0)}>>}>",,,,,TRUE,,,1,,,,,,
1931130,Regis Chilloo,extra blood,S,S,buffDamage,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<{processId=15;damageType=2}>,,,,,,,,,,,,,,,,,,
1931131,Regis Chilloo,Shield amount,S,S,,,未分组,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931132,deduct blood,deduct blood,,,buffDamage,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<{processId=12}>,,,,,,,,,,,<{type=2;limit = 2}>,,,,,,,
1931133,kill,kill,,,,,未分组,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"<{nodeId=1;triggerPoint=1;effectFuncs=<castBuff;castBuff>;funcArgs=<<{cfgId=1931128;caster=2;holder=1;lifeRound=1;value=0;prob=moreE(self:rarity() ,target:rarity()) and 1 or 0}>;<{cfgId=1931132;caster=2;holder=1;lifeRound=1;value=target:hp()+1;prob=1}>> }>",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941101,Ladias,Increased special damage reduction,S,普攻,specialDamageSub,,,2,1213,,,,,,1,1,,,battle/buff_icon/logo_tf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tsjmtg.png,,,,,,,,,,,,,,,,,,,,,
1941201,Ladias,dispel negativity,S,小技能,qusan,,,2,10004,,,,,<1;1>,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=1;onSomeFlag = <buff:getDispleState()>;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1941204;caster=2;holder=1;lifeRound=1;value=0}>>};{nodeId=2;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1241000;caster=2;holder=1;lifeRound=1;value=0}>>}>,,,,,,,,,,,,,,
1941202,Ladias,dispel negativity,S,小技能,qusan,,,2,10004,,,,,<1;1>,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<{nodeId=0;triggerPoint=1};{nodeId=1;triggerPoint=1;onSomeFlag = <buff:getDispleState()>;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1941204;caster=2;holder=1;lifeRound=1;value=0}>>};{nodeId=2;triggerPoint=28;effectFuncs=<castBuff>;funcArgs=<<{cfgId=1241000;caster=2;holder=1;lifeRound=1;value=0}>>}>,,,,,,,,,,,,,,
