变量名,_name,_preBehaviour,preBehaviour,damageHit,nature,damageAdd,damageDeepen,dmgDelta,natureDelta,gateDelta,reduce,strikeBlock,extraAdd,fatal,behead,damageByHpRate,finalSkillAdd,ultimateAdd,skillPower,buffAdd,randFix,limit,calcInternalDamageFinish,ignoreRoundDamage,stealth,leave,immuneAllDamage,immuneDamage,immunePhysicalDamage,immuneSpecialDamage,keepHpUnChanged,groupShield,delayDamage,damageAllocate,damageLink,protection,shield,freeze,finalRate,lockHp,rebound,suckblood,result
32615,nirvana damage,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuffGroup(36),attacker:damageRateAdd()+0.5,attacker:damageRateAdd())))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse((attacker:unitID()==3261 or attacker:unitID()==3263) and target:hasBuff(3262117),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
32616,Meloetta singing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41711,real damage,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,out,,,,,,,,,,,,,,,,,,,,
41712,Melmetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41721,protection damage transfer,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,,,,,,,,,,,,,,,,,,,,,
41722,Melmetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36111,Yveltal,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(target:hasBuffGroup(20),attacker:ignoreDamageSub()*10000+3000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
36112,y god,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31411,skill damage,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
31412,Three headed dragon,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),12) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),10) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),8) and (1+0.01*random(1,4))*(1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),6) and (1+0.01*random(1,4))*(1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),4) and (1+0.01*random(1,4)) or (moreE(attacker:sumBuffOverlayByGroup(3143113)+attacker:sumBuffOverlayByGroup(3143115),2) and 1 or 1))))))))>}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32711,skill damage,,"{init=<setValue(list(""damageType""),list(ifElse(more(target:specialDefence(),target:defence()),0,1)))>;reduce=<setValue(list(""damage"",""specialDamage""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:damage()*(1.3+0.003*(attacker:skillLv(32716) or 0)-0.003),attacker:damage()),ifElse(more(target:specialDefence(),target:defence()),attacker:specialDamage(),attacker:specialDamage()*(1.3+0.003*(attacker:skillLv(32716) or 0)-0.003))))>;strike=<setValue(list(""strike""),list(ifElse(more(attacker:star(),10),attacker:strike()*10000+500,attacker:strike()*10000)))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(more(attacker:star(),11),attacker:ignoreDamageSub()*10000+1000,attacker:ignoreDamageSub()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
32712,Genesect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32713,direct damage_explosion,,"{init=<setValue(list(""damageType""),list(ifElse(more(target:specialDefence(),target:defence()),0,1)))>;reduce=<setValue(list(""damage"",""specialDamage""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:damage()*(1.2+0.002*(attacker:skillLv(32716) or 0)-0.002),attacker:damage()),ifElse(more(target:specialDefence(),target:defence()),attacker:specialDamage(),attacker:specialDamage()*(1.2+0.002*(attacker:skillLv(32716) or 0)-0.002))))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
32714,direct damage_bugs,,"{init=<setValue(list(""damageType""),list(ifElse(more(target:specialDefence(),target:defence()),0,1)))>;reduce=<setValue(list(""damage"",""specialDamage""),list(ifElse(more(target:specialDefence(),target:defence()),attacker:damage()*(1.05+0.0015*(attacker:skillLv(32716) or 0)-0.0015),attacker:damage()),ifElse(more(target:specialDefence(),target:defence()),attacker:specialDamage(),attacker:specialDamage()*(1.05+0.0015*(attacker:skillLv(32716) or 0)-0.0015))))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
