变量名,_beizhu,cardID,canDevelop,canDevelop2,heightAndWeight,isOpen,languages,attrType1,attrValue1,attrType2,attrValue2
2011,Turtle,2011,,,<0.4;10.2>,,,1,0.13%,,
2012,wood turtle,2012,,,<1.1;97>,,,1,0.13%,,
2013,Terra Turtle,2013,,,<2.2;310>,,,1,0.13%,,
2021,little flame monkey,2021,,,<0.5;6.2>,,<cn>,7,0.27%,,
2022,fire monkey,2022,,,<0.9;22>,,<cn>,7,0.27%,,
2023,flame monkey,2023,,,<1.2;55>,,<cn>,7,0.27%,,
2031,Pogaman,2031,,,<0.4;5.2>,,<cn;kr;en;tw>,8,0.27%,,
2032,Prince Bo,2032,,,<0.8;23>,,<cn;kr;en;tw>,8,0.27%,,
2033,Emperor Napoleon,2033,,,<1.7;84.5>,,<cn;kr;en;tw>,8,0.27%,,
,Mukel,,,,<0.3;2>,,,,,,
,Mook bird,,,,<0.6;15.5>,,,,,,
,Mick Eagle,,,,<1.2;24.9>,,,,,,
,Big Tooth Beaver,,,,<0.5;20>,,,,,,
,big tailed civet,,,,<1;31.5>,,,,,,
,round mage,,,,<0.3;2.2>,,,,,,
,speaker crickets,,,,<1;25.5>,,,,,,
2071,kitty monster,2071,,,<0.5;9.5>,,,7,0.20%,,
2072,luke cat,2072,,,<0.9;30.5>,,,7,0.20%,,
2073,roentgen cat,2073,,,<1.4;42>,,,7,0.20%,,
,Brachiosaurus,,,,<0.9;31.5>,,,,,,
,Warhammer Dragon,,,,<1.6;102.5>,,,,,,
,Shield Dragon,,,,<0.5;57>,,,,,,
,moat dragon,,,,<1.3;149.5>,,,,,,
,Knotting Grass · Grass Cloak,,,,,,,,,,
,Grass-knotted lady · Grass coir raincoat,,,,,,,,,,
,gentleman moth,,,,<0.9;23.3>,,,,,,
,three bees,,,,<0.3;5.5>,,,,,,
,bee queen,,,,,,,,,,
,Patch Leeds,,,,<0.4;3.9>,,,,,,
,Swimming ring ferret,,,,,,,,,,
,snorkeling ferret,,,,<1.1;33.5>,,,,,,
,Sakura Treasure,,,,<0.4;3.3>,,,,,,
,Cherry Blossom · Cloudy Form,,,,,,,,,,
,Cherry Blossom · Sunny Form,,,,,,,,,,
,Shellless Sea Hare·Xihai,,,,,,,,,,
,Shellless Sea Hare·Donghai,,,,,,,,,,
,Sea Bunny West Sea,,,,,,,,,,
,Sea Bunny East Sea,,,,,,,,,,
,flutter ball,,,,<0.4;1.2>,,,,,,
,wind balloon,,,,,,,,,,
,Curly ears,,,,<0.4;5.5>,,,,,,
,Jackrabbit,,,,<1.2;33.3>,,,,,,
,super jackrabbit,,,,,,,,,,
,Charming Meow,,,,<0.5;3.9>,,,,,,
,Dong Shi Meow,,,,<1;43.8>,,,,,,
,skunk poof,,,,<0.4;19.2>,,,,,,
,tank skunk,,,,<1;38>,,,,,,
,Bronze Mirror,,,,<0.5;60.5>,,,,,,
,bronze bell,,,,<1.3;187>,,,,,,
,squawking bird,,,,<0.5;1.9>,,,,,,
,Flower Rock Monster,,,,<1;108>,,,,,,
2231,round land shark,2231,,,<0.7;20.5>,,<cn;kr;en;tw>,10,0.27%,,
2232,Fangtooth Shark,2232,,,<1.4;56>,,<cn;kr;en;tw>,10,0.27%,,
2233,biting land shark,2233,,,<1.9;95>,,<cn;kr;en;tw>,10,0.27%,,
,super biting land shark,,,,,,,,,,
2241,Riolu,2241,,,<0.7;20.2>,,,8,0.40%,,
2242,lucario,2242,,,<1.2;54>,,,8,0.40%,,
,super lucario,,,,,,,,,,
,Sand hippopotamus,,,,,,,,,,
,hippopotamus,,,,<2;300>,,,,,,
,Pintail scorpion,,,,,,,,,,
,Dragon King Scorpion,,,,<1.3;61.5>,,,,,,
2271,bad frog,2271,,,<0.7;23>,,,7,0.30%,,
2272,Poison Skeleton Frog,2272,,,<1.3;44.4>,,,7,0.30%,,
,Tooth Cage,,,,<1.4;27>,,,,,,
,fluorescent fish,,,,,,,,,,
,neon fish,,,,<1.2;24>,,,,,,
2301,Snow hat monster,2301,,,<1;50.5>,,,13,0.30%,,
2302,blizzard king,2302,,,<2.2;135.5>,,,13,0.30%,,
2303,super blizzard king,2303,,,<2.2;135.5>,,<cn;kr;en;tw>,13,0.30%,,
,Rotom,,,,<0.3;0.3>,,,,,,
,Heat Rotom,,,,,,,,,,
,Cleansing Rotom,,,,,,,,,,
,Frozen Rotom,,,,,,,,,,
,Spin Rotom,,,,<0.3;0.3>,,,,,,
,Cut Rotom,,,,,,,,,,
,Yuksi,,,,<0.3;0.3>,,,,,,
,Emrido,,,,<0.3;0.3>,,,,,,
,Yaknom,,,,<0.3;0.3>,,,,,,
2351,Dialga,2351,,,<5.4;683>,,<cn;kr;tw;en>,9,1.00%,,
2361,Palkia,2361,,,<4.2;336>,,<cn;kr;tw;en>,10,1.00%,,
,Sid Lane,,,,<1.7;430>,,,,,,
2381,Regichkas,2381,,,<3.7;420>,,<cn;kr;tw;en>,7,1.00%,,
2391,Giratina,2391,,,<4.5;750>,,<cn;kr;tw;en>,1,0.70%,,
,Giratina Origin Form,,,,,,,,,,
2401,Cresselia,2401,,,<1.5;85.6>,,<cn;kr;tw;en>,13,0.80%,,
,Fiona,,,,<0.4;3.1>,,,,,,
,Mana Fei,,,,<0.3;1.4>,,,,,,
2431,Darkley,2431,,,<1.5;50.5>,,<cn;kr;tw;en>,8,1.00%,,
2441,shemi,2441,,,<0.2;2.1>,,<cn;kr;tw>,1,0.70%,,
2442,shami sky,2442,,,<0.2;2.1>,,<cn;kr;tw>,1,0.70%,,
,Arceus,,,,<3.2;320>,,,,,,
,Victini,,,,<0.4;4>,,,,,,
2471,vine snake,2471,,,<0.6;8.1>,,<cn;kr;en;tw>,8,0.27%,,
2472,ivy snake,2472,,,<0.8;16>,,<cn;kr;en;tw>,8,0.27%,,
2473,monarch snake,2473,,,<3.3;63>,,<cn;kr;en;tw>,8,0.27%,,
2481,warm pig,2481,,,<0.5;9.9>,,,7,0.20%,,
2482,fried pork,2482,,,<1;55.5>,,,7,0.20%,,
2483,King Yanwu,2483,,,<1.6;150>,,,7,0.20%,,
2491,water otter,2491,,,<0.5;5.9>,FALSE,<cn>,1,0.18%,,
2492,Shuangrenwan,2492,,,<0.8;24.5>,FALSE,<cn>,1,0.18%,,
2493,Great Sword Demon,2493,,,<1.5;94.6>,FALSE,<cn>,1,0.18%,,
,Mouse detection,,,,<0.5;11.6>,,,,,,
,sentry mouse,,,,<1.1;27>,,,,,,
,little york,,,,<0.4;4.1>,,,,,,
,hayork,,,,<0.9;14.7>,,,,,,
,long haired dog,,,,<1.2;61>,,,,,,
,pickpocket cat,,,,<0.4;10.1>,,,,,,
,cool leopard,,,,<1.1;37.5>,,,,,,
,flower monkey,,,,<0.6;10.5>,,,,,,
,Cauliflower,,,,<1.1;30.5>,,,,,,
,sauté monkey,,,,<0.6;11>,,,,,,
,sausage ape,,,,<1;28>,,,,,,
,cold water monkey,,,,<0.6;13.5>,,,,,,
,cold water ape,,,,<1;29>,,,,,,
,dream eater,,,,<0.6;23.3>,,,,,,
,dream dream eclipse,,,,<1.1;60.5>,,,,,,
,Peas Pigeon,,,,<0.3;2.1>,,,,,,
,cuckoo pigeon,,,,,,,,,,
,Proud Pheasant,,,,,,,,,,
,zebra,,,,<0.8;29.8>,,,,,,
,Thunder Zebra,,,,<1.6;79.5>,,,,,,
2591,stone balls,2591,,,<0.4;18>,,,9,0.20%,,
2592,mantle rock,2592,,,<0.9;102>,,,9,0.20%,,
2593,Pangyan monster,2593,,,<1.7;260>,,,9,0.20%,,
,rolling bat,,,,<0.4;2.1>,,,,,,
,heart bat,,,,<0.9;10.5>,,,,,,
2611,screw gopher,2611,,,<0.3;8.5>,,,9,0.30%,,
2612,Gopher,2612,,,<0.7;40.4>,,,9,0.30%,,
,almost doll,,,,<1.1;31>,,,,,,
,super almost doll,,,,,,,,,,
2631,porter,2631,,,<0.6;12.5>,,,9,0.20%,,
2632,Ironbone,2632,,,<1.2;40>,,,9,0.20%,,
2633,construction veteran,2633,,,<1.4;87>,,,9,0.20%,,
,round tadpole,,,,<0.5;4.5>,,,,,,
,blue toad,,,,<0.8;17>,,,,,,
,toad king,,,,<1.5;62>,,,,,,
,cast ghost,,,,,,,,,,
,fight ghosts,,,,<1.4;51>,,,,,,
,Bug bag,,,,<0.3;2.5>,,,,,,
,treasure cocoon,,,,<0.5;7.3>,,,,,,
,nanny bug,,,,,,,,,,
2681,Centipede,2681,,,<0.4;5.3>,,,1,0.13%,,
2682,wheel ball,2682,,,<1.2;58.5>,,,1,0.13%,,
2683,centipede king,2683,,,<2.5;200.5>,,,1,0.13%,,
,kapok ball,,,,<0.3;0.6>,,,,,,
,wind goblin,,,,<0.7;6.6>,,,,,,
,lily root doll,,,,<0.5;6.6>,,,,,,
,Miss skirt,,,,<1.1;16.3>,,,,,,
,Savage Perch · Red Striped Appearance,,,,,,,,,,
,Savage Perch Blue Stripe Appearance,,,,,,,,,,
2721,black eyed crocodile,2721,,,<0.7;15.2>,,,1,0.18%,,
2722,rogue crocodile,2722,,,<1;33.4>,,,1,0.18%,,
2723,rogue crocodile,2723,,,<1.5;96.3>,,,1,0.18%,,
,flaming tumbler,,,,<0.6;37.5>,,,,,,
,Dharma Baboon Normal Mode,,,,,,,,,,
,Dharma Baboon Dharma Pattern,,,,,,,,,,
,sand bell cactus,,,,,,,,,,
,Rock Crab,,,,<0.3;14.5>,,,,,,
,rock house crab,,,,<1.4;200>,,,,,,
,slippery boy,,,,,,,,,,
,hijab gangster,,,,<1.1;30>,,,,,,
,symbol bird,,,,<1.4;14>,,,,,,
,crying mask,,,,<0.5;1.5>,,,,,,
,death coffin,,,,<1.7;76.5>,,,,,,
,original cover sea turtle,,,,<0.7;16.5>,,,,,,
,ribbed turtle,,,,<1.2;81>,,,,,,
,Archaeopteryx,,,,<0.5;9.5>,,,,,,
,Archaeopteryx,,,,<1.4;32>,,,,,,
,broken bag,,,,<0.6;31>,,,,,,
,mountain of dust,,,,<1.9;107.3>,,,,,,
2821,soroya,2821,,,<0.7;12.5>,,,1,0.28%,,
2822,Zoroak,2822,,,<1.6;81.1>,,,1,0.28%,,
2831,foam chinchilla,2831,,,<0.4;5.8>,FALSE,<cn>,10,0.20%,,
2832,chino chinchilla,2832,,,<0.5;7.5>,FALSE,<cn>,10,0.20%,,
2841,goth baby,2841,,,<0.4;5.8>,,<cn;kr;en;tw>,10,0.20%,,
2842,goth kid,2842,,,<0.7;18>,,<cn;kr;en;tw>,10,0.20%,,
2843,Miss Goth,2843,,,<1.5;44>,,<cn;kr;en;tw>,10,0.20%,,
,single ovum sphere,,,,<0.3;1>,,,,,,
,double ovum ball,,,,<0.6;8>,,,,,,
,artificial cell egg,,,,<1;20.1>,,,,,,
,baby duck,,,,<0.5;5.5>,,,,,,
,dancing swan,,,,,,,,,,
2871,mini ice,2871,,,<0.4;5.7>,,,1,0.13%,,
2872,lots of ice,2872,,,<1.1;41>,,,1,0.13%,,
2873,double as much ice,2873,,,<1.3;57.5>,,,1,0.13%,,
,Four Seasons Deer·Looks of Spring,,,,,,,,,,
,Budding Deer·Looks of Spring,,,,,,,,,,
2891,Electric flying squirrel,2891,,,<0.4;5>,,,13,0.60%,,
,Gai Gai Worm,,,,<0.5;5.9>,,,,,,
,knight snail,,,,<1;33>,,,,,,
,oops mushroom,,,,,,,,,,
,Peculiar mushroom,,,,,,,,,,
2921,Floating·female,2921,,,<1.2;33>,,,1,0.20%,,
2922,fluffy male,2922,,,<1.2;33>,,,1,0.20%,,
2923,chubby female,2923,,,<2.2;135>,,,1,0.20%,,
2924,chubby male,2924,,,<2.2;135>,,,1,0.20%,,
,nanny mambo,,,,,,,,,,
,electric bug,,,,<0.1;0.6>,,,,,,
,electric spider,,,,<0.8;14.3>,,,,,,
,seed iron ball,,,,<0.6;18.8>,,,,,,
,nut dumbbell,,,,<1;110>,,,,,,
2961,gears,2961,,,<0.3;21>,,,9,0.20%,,
2962,gear set,2962,,,<0.6;51>,,,9,0.20%,,
2963,Gear Monster,2963,,,<0.6;81>,,,9,0.20%,,
,Mama fish,,,,<0.2;0.3>,,,,,,
,Moe eel,,,,<1.2;22>,,,,,,
,Momo eel king,,,,<2.1;80.5>,,,,,,
,little gray monster,,,,<0.5;9>,,,,,,
,daewoo monster,,,,<1;34.5>,,,,,,
2991,Candle Spirit,2991,,,<0.3;3.1>,,<cn;kr;en;tw>,10,0.27%,,
2992,ghost lights,2992,,,<0.6;13>,,<cn;kr;en;tw>,10,0.27%,,
2993,Crystal Lantern,2993,,,<1;34.3>,,<cn;kr;en;tw>,10,0.27%,,
3001,Teeth,3001,,,<0.6;18>,,,1,0.18%,,
3002,Axodont,3002,,,<1;36>,,,1,0.18%,,
3003,Double Ax War Dragon,3003,,,<1.8;105.5>,,,1,0.18%,,
3011,sneezing bear,3011,,,<0.5;8.5>,,,1,0.20%,,
3012,tundra bear,3012,,,<2.6;260>,,,1,0.20%,,
3021,geometric snowflake,3021,,,<1.1;148>,,,10,0.80%,,
,small mouth snail,,,,<0.4;7.7>,,,,,,
,Agility bug,,,,<0.8;25.3>,,,,,,
,mudfish,,,,<0.7;11>,,,,,,
,Kung Fu Itachi,,,,<0.9;20>,,,,,,
,Master Itachi,,,,<1.4;35.5>,,,,,,
,Red Faced Dragon,,,,<1.6;139>,,,,,,
,clay puppet,,,,<1;92>,,,,,,
,Golem,,,,<2.8;330>,,,,,,
,Komato Minions,,,,<0.5;10.2>,,,,,,
,Chop Commander,,,,<1.6;70>,,,,,,
,Afro buffalo,,,,,,,,,,
,bald eagle,,,,<0.5;10.5>,,,,,,
,warrior eagle,,,,,,,,,,
,vulture wench,,,,,,,,,,
,Vulture,,,,<1.2;39.5>,,,,,,
,Molten Ant,,,,,,,,,,
,Iron Ant,,,,<0.3;33>,,,,,,
3141,single headed dragon,3141,,,<0.8;17.3>,,,8,0.27%,,
3142,Two-headed Tyrannosaurus,3142,,,<1.4;50>,,,8,0.27%,,
3143,three dragons,3143,,,<1.8;160>,,,8,0.27%,,
3151,burning bug,3151,,,<1.1;28.8>,,<cn;kr;en;tw>,7,0.40%,,
3152,Vulcan Moth,3152,,,<1.6;46>,,<cn;kr;en;tw>,7,0.40%,,
3161,Coppaluong,3161,,,<2.1;250>,,<cn>,9,0.80%,,
3171,Delakion,3171,,,<1.9;260>,,<cn>,7,0.80%,,
3181,Billigion,3181,,,<2;200>,,<cn>,10,0.80%,,
3191,tornado cloud,3191,,,<1.5;63>,FALSE,<cn>,13,0.80%,,
,Tornado Cloud Spirit Beast Form,,,,,,,,,,
3201,thunder cloud,3201,,,<1.5;65>,,<cn>,8,0.80%,,
,Thunder Cloud · Spirit Beast Form,,,,,,,,,,
3211,Rashiram,3211,,,<3.2;330>,,<cn;kr>,8,1.00%,,
3221,czech rom,3221,,,<2.9;345>,,<cn;kr>,7,1.00%,,
3231,land cloud,3231,,,<1.5;68>,FALSE,<cn>,7,0.80%,,
,Land Cloud·Spiritual Beast Form,,,,,,,,,,
3241,Kyurem,3241,,,<3;325>,,<cn>,1,0.70%,,
,Flame White Kyurem,,,,,,,,,,
,Dark Kyurem,,,,,,,,,,
3251,Keldeo,3251,,,<1.4;48.5>,,<cn>,13,0.80%,,
,Keldeo Awakened Appearance,,,,,,,,,,
3261,Meloetta Song Form,3261,,,<0.6;6.5>,,<cn>,10,1.00%,,
3262,Meloetta Dance Step Form,3262,,,<0.6;6.5>,,<cn>,10,1.00%,,
3271,Genesect,3271,,,<1.5;82.5>,,<cn>,7,1.00%,,
3281,Harley Chestnut,3281,,,<0.4;9>,,,1,0.13%,,
3282,Chubby Harry,3282,,,<0.7;29>,,,1,0.13%,,
3283,Bricaron,3283,,,<1.6;90>,,,1,0.13%,,
3291,Firefox,3291,,,<0.4;9.4>,,,8,0.20%,,
3292,long tail firefox,3292,,,<1;14.5>,,,8,0.20%,,
3293,demon fire red fox,3293,,,<1.9;39>,,,8,0.20%,,
3301,croaking frog,3301,,,<0.3;7>,,,10,0.27%,,
3302,Croaking frog,3302,,,<0.6;10.9>,,,10,0.27%,,
3303,Koga Ninja Frog,3303,,,<1.5;40>,,,10,0.27%,,
,Ash's Koga Ninja Frog,,,,,,,,,,
,digging rabbit,,,,,,,,,,
,digging rabbit,,,,,,,,,,
,little arrow sparrow,,,,,,,,,,
,rocket finch,,,,,,,,,,
,Arrow Eagle,,,,,,,,,,
,mealybug,,,,,,,,,,
,Chrysalis,,,,,,,,,,
,Pink Butterfly,,,,,,,,,,
3341,little lion,3341,,,<0.6;13.5>,,,10,0.30%,,
3342,Flame Lion,3342,,,<1.5;81.5>,,,10,0.30%,,
3351,Hua Beibei,3351,,,<0.1;0.1>,,,1,0.18%,,
3352,Mosaic,3352,,,<0.2;0.9>,,,1,0.18%,,
3353,Mrs. Huajie,3353,,,<1.1;10>,,,1,0.18%,,
,mount lamb,,,,,,,,,,
,mount goat,,,,,,,,,,
,naughty panda,,,,,,,,,,
,rogue panda,,,,,,,,,,
,dorimia wild look,,,,,,,,,,
,Dorimia Heart Shape,,,,,,,,,,
,dorimia star shape,,,,,,,,,,
,Dorimia Rhombus Shape,,,,,,,,,,
,Dorimia Lady Modeling,,,,,,,,,,
,Dormia Lady Modeling,,,,,,,,,,
,Dorimia gentleman style,,,,,,,,,,
,Queen Dormia Modeling,,,,,,,,,,
,Dorimia Kabuki style,,,,,,,,,,
,King Dorimia's appearance,,,,,,,,,,
,wonderful meow,,,,,,,,,,
,Super Miaomiao Male Appearance,,,,,,,,,,
,Super Miaomiao·Female Appearance,,,,,,,,,,
3411,Single scabbard,3411,,,<0.8;2.0>,,,9,0.27%,,
3412,double scabbard,3412,,,<0.8;4.5>,,,9,0.27%,,
3413,Shield Sword Monster Shield,3413,,,<1.7;53>,,,9,0.27%,,
,powdery fragrance,,,,,,,,,,
,Aroma essence,,,,,,,,,,
3431,Soft Puffs,3431,,,<0.4;3.5>,,,10,0.30%,,
3432,fat sweetie,3432,,,<0.8;5>,,,10,0.30%,,
,alright squid,,,,,,,,,,
,squid king,,,,,,,,,,
,Turtle feet,,,,,,,,,,
,Turtle Foot Armor,,,,,,,,,,
,Garbage algae,,,,,,,,,,
,Toxin Dragon,,,,,,,,,,
3471,Arm gun shrimp,3471,,,<0.5;8.3>,,,8,0.30%,,
3472,Steel cannon arm shrimp,3472,,,<1.3;35.3>,,,8,0.30%,,
,Lizard,,,,,,,,,,
,Photophobia,,,,,,,,,,
,baby tyrannosaurus,,,,,,,,,,
,Strangegnathosaurus,,,,,,,,,,
3501,ice dragon,3501,,,<1.3;25.2>,,,10,0.30%,,
3502,ice dragon,3502,,,<2.7;225>,,,10,0.30%,,
3511,Wrestling Hawkman,3511,,,<0.8;21.5>,,,7,0.60%,,
,rat,,,,,,,,,,
,small diamond,,,,,,,,,,
3541,sticky treasure,3541,,,<0.3;2.8>,,,9,0.27%,,
3542,Sticky Mel,3542,,,<0.8;17.5>,,,9,0.27%,,
3543,sticky dragon,3543,,,<2;150.5>,,,9,0.27%,,
,key ring,,,,,,,,,,
3561,Little wood spirit,3561,,,<0.4;7>,,,10,0.20%,,
3562,dead wood demon,3562,,,<1.5;71>,,,10,0.20%,,
,Pumpkin Extract · Regular Size,,,,,,,,,,
,Pumpkin Monster Normal Size,,,,,,,,,,
,ice treasure,,,,,,,,,,
,ice rock monster,,,,,,,,,,
3591,buzzing bat,3591,,,<0.5;8>,,<cn;kr;en;tw>,13,0.40%,,
3592,Sonic Dragon,3592,,,<1.5;85>,,<cn;kr;en;tw>,13,0.40%,,
3601,Cernias,3601,,,<3.0;215>,,<cn>,1,0.70%,,
3611,Yveltal,3611,,,<5.8;203>,,<cn>,8,1.00%,,
,Zygard 50% form,,,,,,,,,,
,Zygurd 10% form,,,,,,,,,,
,Zygurd Full Body Form,,,,,,,,,,
3631,Tianxi,3631,,,<0.7;8.8>,,,1,0.70%,,
,super dianci,,,,,,,,,,
3641,Punish Hoopa,3641,,,<0.5;9>,,<cn;kr>,1,0.35%,,
3642,Liberate Hoopa,3642,,,<6.5;490>,,<cn;kr>,1,0.35%,,
,Polkenion,,,,,,,,,,
3661,wood owl,3661,,,<0.3;1.5>,,<cn;kr;en>,7,0.27%,,
3662,cast feather owl,3662,,,<0.7;16>,,<cn;kr;en>,7,0.27%,,
3663,sniper tree owl,3663,,,<1.6;36.6>,,<cn;kr;en>,7,0.27%,,
,Fire Spotted Meow,,,,,,,,,,
,hot meow,,,,,,,,,,
,Blazing Roaring Tiger,,,,,,,,,,
3681,ball sea lion,3681,,,<0.4;7.5>,,<cn>,8,0.27%,,
3682,Flowering sea lion,3682,,,<0.6;17.5>,,<cn>,8,0.27%,,
3683,Lionfish,3683,,,<1.8;44>,,<cn>,8,0.27%,,
,Little Duer,,,,,,,,,,
,trumpet pecker,,,,,,,,,,
,big bird,,,,,,,,,,
,mongoose less,,,,,,,,,,
,Inspector Mongoose,,,,,,,,,,
,strong jawed chicken worm,,,,,,,,,,
,Bug Dian Bao,,,,,,,,,,
,stag beetle,,,,,,,,,,
,competitive crab,,,,,,,,,,
,hairy crab,,,,,,,,,,
,Flower Dance Bird·Hot Hot Style,,,,,,,,,,
,Flower dance bird·Pazipazi style,,,,,,,,,,
,Flower Dance Bird Hula Hula Style,,,,,,,,,,
,Flower dancing bird · light and light style,,,,,,,,,,
,Moe Gafly,,,,,,,,,,
,Butterfly,,,,,,,,,,
,rock dog,,,,,,,,,,
,Mane Rock Werewolf·Day Appearance,,,,,,,,,,
,Mane Rock Werewolf·The Appearance of the Night,,,,,,,,,,
,Weak Dingyu·lonely appearance,,,,,,,,,,
,Appearance of Weak Dingle · School of Fish,,,,,,,,,,
3771,good and bad stars,3771,,,<0.4;8>,,<cn;kr;tw>,9,0.40%,,
3772,super bad star,3772,,,<0.7;14.5>,,<cn;kr;tw>,9,0.40%,,
,Mud donkey,,,,,,,,,,
,Heavy mud horse,,,,,,,,,,
,dripping spider,,,,,,,,,,
,Drip Spider,,,,,,,,,,
,Pseudo-mantis,,,,,,,,,,
,Orchid Mantis,,,,,,,,,,
,sleeping mushroom,,,,,,,,,,
,lampshade night mushroom,,,,,,,,,,
,Salamander,,,,,,,,,,
,Fire Queen,,,,,,,,,,
,puppet bear,,,,,,,,,,
,dressed bear,,,,,,,,,,
3841,sweet bamboo,3841,,,<0.3;3.2>,,<cn;kr>,7,0.27%,,
3842,sweet dancer,3842,,,<0.7;8.2>,,<cn;kr>,7,0.27%,,
3843,sweet after,3843,,,<1.2;21.4>,,<cn;kr>,7,0.27%,,
,flower therapy ring,,,,,,,,,,
,smart gorilla,,,,,,,,,,
,throwing monkey,,,,,,,,,,
,coward,,,,,,,,,,
,armored warrior,,,,,,,,,,
,Shaqiu doll,,,,,,,,,,
,Sandcastle Lord,,,,,,,,,,
,Fist sea cucumber,,,,,,,,,,
,Attribute: empty,,,,,,,,,,
,Silver Companion Beast,,,,,,,,,,
,Appearance of small meteor and shooting star,,,,,,,,,,
,Small Meteor Red Core,,,,,,,,,,
,Little Meteor Orange Core,,,,,,,,,,
,Small Meteor Yellow Core,,,,,,,,,,
,Small Meteor Green Core,,,,,,,,,,
,Small Meteor Light Blue Core,,,,,,,,,,
,Little Meteor Blue Core,,,,,,,,,,
,Little Meteor Purple Core,,,,,,,,,,
,Tree Pillow Bear,,,,,,,,,,
,Blazing Tortoise,,,,,,,,,,
,Togodemar,,,,,,,,,,
,Mimi Q,,,,,,,,,,
,Appearance,,,,,,,,,,
,molar color skin fish,,,,,,,,,,
,old man dragon,,,,,,,,,,
,broken wheel,,,,,,,,,,
,Heart Scale Treasure,,,,,,,,,,
,Scaled Dragon,,,,,,,,,,
,Staff-tailed Scale,,,,,,,,,,
,Tapu Mingming,,,,,,,,,,
,Tapu Butterfly,,,,,,,,,,
,Tapu Moomoo,,,,,,,,,,
,Tapu Finfin,,,,,,,,,,
,Cosmog,,,,,,,,,,
,Cosmom,,,,,,,,,,
4023,Solgaleo,4023,,,<3.4;230>,FALSE,<cn>,7,1.00%,,
,Lunala,,,,,,,,,,
,Xuwu Yide,,,,,,,,,,
,Exploding Muscle Mosquito,,,,,,,,,,
,Philomes,,,,,,,,,,
,Electric beam wood,,,,,,,,,,
,Tie Huo Hui Ye,,,,,,,,,,
,paper sword,,,,,,,,,,
,Bad eater,,,,,,,,,,
,Necrozma,,,,,,,,,,
,Dusk Mane,,,,,,,,,,
,Wings of Dawn,,,,,,,,,,
,Ultimate Necrozma,,,,,,,,,,
,Magearna,,,,,,,,,,
,Magearna·Color 500 years ago,,,,,,,,,,
,Machado,,,,,,,,,,
4131,Dumbie,4131,,,<0.6;1.8>,,<cn;kr>,8,0.40%,,
4132,Tetragnathus,4132,,,<3.6;150>,,<cn;kr>,8,0.40%,,
,Lei Leishi,,,,,,,,,,
,bang head clown,,,,,,,,,,
,Small Meteor Light Blue Core,,,,,,,,,,
,Little Meteor Blue Core,,,,,,,,,,
,Little Meteor Purple Core,,,,,,,,,,
,Tree Pillow Bear,,,,,,,,,,
,Blazing Tortoise,,,,,,,,,,
,Togodemar,,,,,,,,,,
,Mimi Q,,,,,,,,,,
,Appearance,,,,,,,,,,
,molar color skin fish,,,,,,,,,,
,old man dragon,,,,,,,,,,
,broken wheel,,,,,,,,,,
,Heart Scale Treasure,,,,,,,,,,
,Scaled Dragon,,,,,,,,,,
,Staff-tailed Scale,,,,,,,,,,
,Tapu Mingming,,,,,,,,,,
,Tapu Butterfly,,,,,,,,,,
,Tapu Moomoo,,,,,,,,,,
,Tapu Finfin,,,,,,,,,,
,Cosmog,,,,,,,,,,
,Cosmom,,,,,,,,,,
,Solgaleo,,,,,,,,,,
,Lunala,,,,,,,,,,
,Xuwu Yide,,,,,,,,,,
,Exploding Muscle Mosquito,,,,,,,,,,
,Philomes,,,,,,,,,,
,Electric beam wood,,,,,,,,,,
,Tie Huo Hui Ye,,,,,,,,,,
,paper sword,,,,,,,,,,
,Bad eater,,,,,,,,,,
,Necrozma,,,,,,,,,,
,Dusk Mane,,,,,,,,,,
,Wings of Dawn,,,,,,,,,,
,Ultimate Necrozma,,,,,,,,,,
,Magearna,,,,,,,,,,
,Magearna·Color 500 years ago,,,,,,,,,,
,Machado,,,,,,,,,,
,Dumbie,,,,,,,,,,
,Tetragnathus,,,,,,,,,,
,Lei Leishi,,,,,,,,,,
,bang head clown,,,,,,,,,,
4161,Teraola,4161,,,<1.5;44.5>,,<cn>,13,1.00%,,
4171,Meltan,4171,,,<0.2;8>,,<cn>,9,0.50%,,
4172,Melmetta,4172,,,<2.5;800>,,<cn>,9,0.50%,,
7001,Ash version of Pikachu,7001,,,<0.4;6>,,<cn>,8,0.80%,,
9001,Dittomon·Purple,9001,,,<0.3;4>,,,1,0.40%,,
9002,Ditto orange,9002,,,<0.3;4>,,,1,0.55%,,
9003,Ditto Red,9003,,,<0.3;4>,,,1,0.70%,,
