"﻿变量名",name,languages,name_tw,name_en,name_vn,name_kr,logo,res,resAct,resSpine,crossMineResSpine,qFigureres,qRoleSpine,zOrder,resBack,type,showIdx,pos,actPos,desc,desc_tw,desc_en,desc_kr,unlock,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr,unavalibleDesc,activeCost,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,skills,activeLevel,hide,hide_tw,hide_en,hide_vn,hide_kr,overture,offPos,chattext1,chattext1_tw,chattext1_en,chattext1_vn,chattext1_kr,chattext2,chattext2_tw,chattext2_en,chattext2_vn,chattext2_kr,chattext3,chattext3_tw,chattext3_en,chattext3_vn,chattext3_kr,crossArenaPos
19,Nita,<cn;kr>,蘭妞夜,Nita,404404,라뉴이,config/portrait/toptouxiang/img_role_19@.png,config/big_role/show/img_role_19@.png,config/big_role/act/img_role_19@.png,figure/lanniuye/lanniuye.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_19@.png,townqrole/q_lanniuye.skel,,personal/img_bjt.png,2,710,,{x=-150;y=0},"One of the leaders of the Battle Maison, the youngest of the Battle Chatelaine.",對戰宅第的對戰女城主之一，四姊妹中的么女。,"One of the leaders of the Battle Maison, the youngest of the Battle Chatelaine.","""배틀하우스의 배틀샤틀레느 중 한 명, 4자매의 막내.""",{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2219=1},,8,1%,,,,,,,<70021>,<1>,,,,,,,,Then let me have fun next time! Be aware! Ha! !,那麼接下來要讓拉我的盡興喲！做好覺悟吧！哈呀！！,1111,404404,그럼 이제 나는 마음껏 즐길게! 각오해라! 하야!!,hey hey,誒 嘿,2222,404404,에 헤,I'm not weaker than my sisters,我實力可不比姐姐們弱哦,3333,404404,내 실력이 언니들보다 결코 약하지 않거든.,{x=60;y=50}
20,Lenora,,蘆薈,Lenora,404404,알로에,config/portrait/toptouxiang/img_role_20@.png,config/big_role/show/img_role_20@.png,config/big_role/act/img_role_20@.png,figure/luhui/luhui.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_20@.png,townqrole/luhui.skel,,personal/img_bjt.png,2,650,,,Gym leader of Nacrene Gym. Specializes in Normal-type Pokémons.,七寶道館的道館館主。專長為一般屬性寶可夢。,Gym leader of Nacrene Gym. Specializes in Normal-type Pokémons.,"""칠보체육관의 관장, 노말 타입의 포켓몬 전문이다.""",{79=5},Unlocks at Adventure Pass level 5,冒險執照等級達到5級後可解鎖,Unlocks at Adventure Pass level 5,404404,모험 허가증 5레벨 달성 시 개방 가능,,{rmb=280},,1,1200,,10,60,,,,<70004>,<1>,,,,,,,,"Challenger, I'm about to study from you how much you love your Pokémon during the challenge!",挑戰者，我即將向你那裡研究你在挑戰中到底有多疼愛你的寶可夢！,"Challenger, I'm going to find out how much you love your Pokémons in a battle!",404404,"""도전자여, 나는 너가 도전에서 얼마나 너의 포켓몬을 아끼는지 시험해 볼 것이다!""",The way you fight is fascinating!,你的作戰方式真是迷人！,You battle style is so charming!,404404,너의 전투 방식은 참 흥미롭다!,"That's amazing, I have to give you a good compliment!",真是了不起，得好好表揚你才行啊！,"Awesome, you deserve to be complimented!",404404,"""정말 대단해, 제대로 칭찬을 해줘야겠어!""",{x=70;y=20}
21,Hilda,,斗子,Hilda,404404,투희,config/portrait/toptouxiang/img_role_21@.png,config/big_role/show/img_role_21@.png,config/big_role/act/img_role_21@.png,figure/douzi/douzi.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_21@.png,townqrole/q_douzi.skel,,personal/img_bjt.png,2,800,,,"The female protagonist of Pokémon Black and White ",是《黑／白》的女性主角,"The female protagonist of Pokémon Black and White ",<블랙/화이트>의 여자 주인공.,{5=7},Unlocks at Vip 7,VIP7級可解鎖,Unlocks at Vip 7,404404,VIP 7레벨 개방 가능,,{2221=1},,7,1%,,8,1%,,,,<70003>,<1>,,,,,,,,Have a great time! Next time we will have another game!,玩得好爽啊！下次我們再來一場哦！,That was fun! Let's do it again next time!,404404,정말 재밌었다! 다음에도 한 판 더 하자!,Starting late doesn't mean you will be weak!,開始得晚不代表一定會弱哦！,Starting late doesn't mean that you will be weak!,404404,늦게 시작했다고 약하다는 건 아니야!,Let's go and be a hero together!,一起去成為英雄吧！,Let's become a hero!,404404,같이 영웅이 되어 보자!,{x=0;y=0}
22,Rosa,,芽衣,Rosa,404404,명희,config/portrait/toptouxiang/img_role_22@.png,config/big_role/act/img_role_22@.png,config/big_role/act/img_role_22@.png,figure/yayi/yayi.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,2,500,,,Young girl living in Aspertia City who begins the adventure with her childhood friend Hugh.,來自檜扇市的少女，在遊戲的開始中會跟童年好友兼勁敵修一起從此開展旅程。,Young girl living in Aspertia City who begins the adventure with her childhood friend Hugh.,"""부채시티에서 온 소녀, 소꿉친구이자 라이벌인 휴이와 함께 모험을 시작한다.""",{1=1},Exchange in the guild war to get,公會戰內兌換獲得,Exchange in the guild war to get,404404,길드전 내 교환으로 획득,,{2222=1},,1,1%,,,,,,,<70008>,<1>,,,,,,,,Let's become an invincible combination!,咱們來成為無敵的組合吧！,Let's form an invincible group!,404404,우리 무적의 조합을 만들자!,It's a great feeling to fight!,對戰真是個好棒的感覺哦！,It feels good to have a battle!,404404,대전의 느낌은 최고야!,I want to become stronger and hope to fight with other trainers one day!,我要變得更強，希望有一天跟別的訓練家盡力戰鬥！,I want to get stronger and fight alongside other trainers one day!,404404,"""나는 더 강해져서, 언젠가는 다른 트레이너와 최선을 다해 싸울 거야!""",{x=60;y=30}
23,Millis,<cn;kr>,彌莉絲,Millis,404404,밀리스,config/portrait/toptouxiang/img_role_23@.png,config/big_role/act/img_role_23@.png,config/big_role/act/img_role_23@.png,figure/milisi/milisi.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,2,705,,,One of the rogue duo who tried to catch Diancie and get her diamonds; turned over a new leaf subsequently and opened a chocolate shop.,雙人組大盜賊之一，企圖抓蒂安希來獲得到她的鑽石；後改邪歸正，開了一家巧克力店。,One of the rogue duo who tried to catch Diancie and get her diamonds; turned over a new leaf subsequently and opened a chocolate shop.,"""2인조 대도적 중 한 명, 디안시를 잡아 그녀의 보석을 손에 넣으려 했지만, 훗날 개과천선하고 초콜릿 가게를 차렸다.""",{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2223=1},,10,1%,,,,,,,<70022>,<1>,,,,,,,,"Rockets, let's have a head-to-head contest!",404,404,404,"로켓단, 정면 승부 한 번 해보자!",Bricaron seems to like my shawl emmm,404,2222,404,브리가론이 나의 숄을 좋아하는 것 같는데..,"Unfortunately, it turned out that Tianxi couldn't make diamonds!",404,404,404,"아쉽네, 디안시가 다이아몬드를 할 줄 몰랐구나.",{x=40;y=0}
24,Phoebe,<cn;kr;en>,芙蓉,Phoebe,404404,회연,config/portrait/toptouxiang/img_role_24@.png,config/big_role/act/img_role_24@.png,config/big_role/act/img_role_24@.png,figure/furong/furong.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_24@.png,townqrole/q_furong.skel,,personal/img_bjt.png,2,720,,{x=-180;y=0},"One of Hoenn's Elite Four, who specializes in Ghost-type Pokémons",豐緣四天王的一員，也是幽靈屬性達人,"One of Hoenn's Elite Four, who specializes in Ghost-type Pokémons","""호연 사천왕의 일원, 고스트 타입의 전문가.""",{1=10},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2224=1},,7,1%,,,,,,,<70010>,<1>,,,,,,,,Do you also have a strong bond with your elves?,你和你的精靈之間也會有著很強的牽絆嗎？,Do you have strong bond between your Pokémon too?,404404,404404,"In the past, I gained the ability to communicate intimately with ghost spirits when I practiced in Sending Shenshan.",過去我在送神山修行時得到了能與幽靈寶系精靈親密交流的能力。,I got the power of communicate with Ghost-Type Pokémon when I was practice in Mt. Pyre.,404404,404404,"Confuse the opponent to fight, interfere and interfere again.",迷惑對手作戰，干擾再干擾。,"Confuse your enemu, distract them to win.",404404,404404,{x=-100;y=20}
25,Lana,<cn;kr;tw;en>,水蓮,Lana,404404,수련,config/portrait/toptouxiang/img_role_25@.png,config/big_role/act/img_role_25@.png,config/big_role/act/img_role_25@.png,figure/shuilian/shuilian.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,2,300,,,"Captain of Akala Island in the Alola region, who is proficient in Water-type Pokémons",阿羅拉地區中阿卡拉島的隊長，精通水屬性,"Captain of Akala Island in the Alola region, who is proficient in Water-type Pokémons","""알로라지방 아칼라섬의 캡틴 중 한 명, 물 타입 전문가.""",{1=1},Exchange in the Fishing Shop,釣魚商店內兌換獲得,Exchange in the Fishing Shop,404404,낚시상점 내 교환으로 획득,,{2225=1},,9,1%,,,,,,,<70011>,<1>,,,,,,,,"As long as it is the elf in the water, I like it very much.",只要是水裡的精靈我都很喜歡哦,I love all the Pokémons in water,404404,물속의 포켓몬이라면 나는 다 좋아,Let's go fishing together,有空一起去釣魚吧,Let's go fishing,404404,시간 나면 같이 낚시나 하자,Kyoka can be caught on the tidal coast (laughs),潮汐海岸能釣到蓋歐卡哦（笑）,You might encounter Kyogre at Tidal Coast XD,404404,조석의 해안에서 가이오가를 낚을 수 있어(웃음),{x=-100;y=80}
26,Green,,碧藍,Green,404404,블루,config/portrait/toptouxiang/img_role_26@.png,config/big_role/act/img_role_26@.png,config/big_role/act/img_role_26@.png,figure/bilan/bilan.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,1,200,,,The female protagonist of Pokémon FireRed and LeafGreen,《火紅／葉綠》中的女性主角,The female protagonist of Pokémon FireRed and LeafGreen,<파이어레드/리프그린>의 여자 주인공.,{1=75},Attain level 75 to unlock,等級到達75級後可解鎖,Attain level 75 to unlock,404404,75레벨 달성 후 개방 가능,,{rmb=1080},,9,1%,,10,1%,,,,<>,<>,,,,,,,,Forget it! Let me confirm your strength again!,算了算了！就讓我再確認一次你的實力吧！,Forget it! Let me take a look at your strength again!,404404,됐어 됐어! 너의 실력을 다시 한번 확인하도록 하지!,Really! What's going on...,真是的！怎麼回事嘛……,Sigh! What's going on......,404404,정말이지! 무슨 일이냐고.......,I will not give up!,我是不會放棄的！,I'll never give up!,404404,나는 포기하지 않아!,{x=0;y=60}
27,Brock,,小剛,Brock,404404,웅,config/portrait/toptouxiang/img_role_27@.png,config/big_role/show/img_role_27@.png,config/big_role/show/img_role_27@.png,figure/xiaogang/xiaogang.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,1,700,,,"Gym Leader of Pewter Gym, specializes in Rock-type Pokémons",尼比道館道館訓練家，擅長岩石系精靈,"Gym Leader of Pewter Gym, specializes in Rock-type Pokémons","""회색체육관의 관장, 바위 타입 포켓몬의 전문가.""",{1=20},Attain level 20 to unlock,等級到達20級後可解鎖,Attain level 20 to unlock,404404,20레벨 달성 후 개방 가능,,{gold=100000},,7,100,,9,48,,,,<>,<>,,,,,,,,My will is as solid as a rock!,我的意志堅如磐石！,My will is as strong as a rock!,404404,나의 의지는 바위처럼 굳건하지!,"There seems to be a beautiful big sister over there, let's say hello~",那邊似乎有漂亮的大姐姐， 去打個招呼吧~,"""There seems to be a beautiful lady there, go and say hi to her!""",404404,404404,it is good! It's time to fulfill our promise!,好！是時候履行我們的諾言了！,Alright! It's time to fulfill our promise!,404404,좋았어! 우리의 약속을 이행할 때가 왔어!,{x=0;y=0}
28,Wicke,,碧珂,Wicke,404404,비케,config/portrait/toptouxiang/img_role_28@.png,config/big_role/show/img_role_28@.png,config/big_role/show/img_role_28@.png,figure/bike/bike.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_28@.png,townqrole/q_bike.skel,,personal/img_bjt1.png,2,350,,,"Branch Chief of Aether Paradise . As some very considerate, he is admired by the employees.",乙太樂園的副分部長。性格非常體貼的緣故，被員工們仰慕著。,"Branch Chief of Aether Paradise . As some very considerate, he is admired by the employees.","""에테르파라다이스의 부지부장, 성격이 매우 자상해 직원들이 좋아한다.""",{1=1},Obtained by exchanging in Aether Paradise,乙太樂園內兌換獲得,Obtained by exchanging in Aether Paradise,404404,에테르파라다이스 내 교환으로 획득,,{2228=1},,9,1%,,,,,,,<70012>,<1>,,,,,,,,"The battle data is not ideal, it seems that training is still needed",戰鬥資料不太理想的樣子呢，看來還需要訓練,1111,404404,"""전투 데이터가 마음에 들지는 않아, 훈련이 필요해 보이네""","If you want to join the institute in the future, you can come to me",如果你以後想加入研究所，可以來找我哦,2222,404404,"""연구소에 들어오고 싶다면, 나를 찾아오면 돼""",I like research more than fighting,比起對戰，我更喜歡研究呢,3333,404404,"""대전보다는, 나는 연구가 더 좋아""",{x=-40;y=0}
29,Tupp,,達帕,Tupp,404404,터퍼,config/portrait/toptouxiang/img_role_29@.png,config/big_role/show/img_role_29@.png,config/big_role/act/img_role_29@.png,figure/dapa/dapa.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt1.png,1,400,,,"Member of Team Skull, often appears with Zipp and Rapp","骷髏隊手下,常跟同伴吉普和拉普出現","Member of Team Skull, often appears with Zipp and Rapp","""스컬단의 수하, 동료인 지프, 랩과 함께 나타난다.""",{1=55},Attain level 55 to unlock,等級到達55級後可解鎖,Attain level 55 to unlock,404404,55레벨 달성 후 개방 가능,,{rmb=380},,7,580,,8,580,,,,<>,<>,,,,,,,,"I'll tell you mercifully... oh, sorry, I got my lines wrong too",我就大發慈悲地告訴你...…哦，不好意思，看我也錯臺詞了,"Noble answers are what we're all ...... oops, I think that's not my line",404404,"""자비를 베풀어 알려주지... 앗, 미안, 나도 대사를 잘못 봤네""",I don't want to do troublesome things like island pilgrimage~,我才不想去做諸島巡禮這種麻煩的事情呢~,I'm not gonna do something so troublesome like island hopping!,404404,404404,"Even if the strength is insufficient, as long as the momentum is enough, it is enough~",即便實力不足，只要氣勢夠，就足夠了~,"""Even if you are not strong enough, as long as you are confident, that's enough!""",404404,404404,{x=0;y=0}
30,Kukui,,庫庫伊,Kukui,404404,쿠쿠이,config/portrait/toptouxiang/img_role_29@.png,config/big_role/act/img_role_30@.png,config/big_role/act/img_role_30@.png,,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,2,,,{x=-230;y=0},"Scientist of the Kalos region who lives in the Lumiose City. Before the rookie trainer heads out, they have to get the starter Pokémon from him.",卡洛斯地區的神奇寶貝研究員，住在密阿雷市。新人訓練家岀發時，都要前來和他拿取最初的神奇寶貝。,"Scientist of the Kalos region who lives in the Lumiose City. Before the rookie trainer heads out, they have to get the starter Pokémon from him.","""칼로스지방의 포켓몬 연구원, 미르시티에 살고 있다. 신참 트레이너가 모험을 나설 때, 그에게 첫 포켓몬을 받을 수 있다.""",{1=10},Attain level 10 to unlock,等級到達10級後可解鎖,Attain level 10 to unlock,404404,10레벨 달성 후 개방 가능,,{gold=1000},,,,,,,,,,<>,<>,1,1,1,1,1,,,1111,1111,1111,404404,404404,2222,2222,2222,404404,404404,3333,3333,3333,404404,404404,{x=-200;y=20}
31,Alain,,艾嵐,Alain,404404,알랭,config/portrait/toptouxiang/img_role_31@.png,config/big_role/show/img_role_31@.png,config/big_role/show/img_role_31@.png,figure/ailan/ailan.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,2,,,,"Former researcher Professor Sycamore, who left the research institute and embarked a trainer's journey with Charmander, in order to explore the secrets of Mega evolution and the path to the strongest Mega evolution.",原為布拉塔諾博士的研究員，為了探究mega進化的秘密和邁向最強mega進化的訓練家之路，帶小火龍一同離開研究院踏上旅程。,"Former researcher Professor Sycamore, who left the research institute and embarked a trainer's journey with Charmander, in order to explore the secrets of Mega evolution and the path to the strongest Mega evolution.","""원래 플라타느 박사의 연구원이었지만, 메가진화의 비밀을 알아내기 위해 파이리와 함께 연구소를 떠나 최강 메가진화 트레이너의 길에 나섰다.""",{1=10},Obtained by exchanging in the Arena,競技場內兌換獲得,Obtained by exchanging in the Arena,404404,아레나 내 교환으로 획득,,{2231=1},,,,,,,,,,<>,<>,1,1,1,1,1,,,1111,1111,1111,404404,404404,2222,2222,2222,404404,404404,3333,3333,3333,404404,404404,{x=0;y=40}
32,Professor Oak,,大木博士,Professor Oak,404404,오박사,config/portrait/toptouxiang/img_role_32@.png,config/big_role/show/img_role_32@.png,config/big_role/show/img_role_32@.png,figure/damuboshi/damuboshi.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt2.png,2,,,,A prestigious Pokémon research expert in Kanto region and one of the creators of Pokédex. His main research area is behavior of Pokémons.,關東地區非常具有威望的精靈研究達人，並且是圖鑒的創作人之一，主要研究方向為精靈行為。,A prestigious Pokémon research expert in Kanto region and one of the creators of Pokédex. His main research area is behavior of Pokémons.,"""관동지방에서 매우 권위 있는 포켓몬 연구자, 포켓몬 도감을 만든 인물이기도 하다. 주로 포켓몬의 행동에 대해 연구한다.""",{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2232=1},,1,42,,8,42,,,,<>,<>,1,1,1,1,1,,,Why so hard?,為何如此努力呢？,Do we work so hard?,404404,왜 그리 열심히 하는 거야?,"Feel the trust and love of the elves, don't forget this!",感受精靈的信賴與愛，不要忘記這一點哦！,Don't forget to enjoy the trust and love from the Pokémons!,404404,"""포켓몬의 신뢰와 사랑을 느껴봐, 까먹지 말고!""",Set off to a world full of dreams and adventures!,向著充滿夢想與冒險的世界出發吧！,Set off for a world full of dreams and adventures!,404404,꿈과 모험의 세계를 향해 출발!,{x=-40;y=0}
33,Sunshine,<cn>,朗日,Sunshine,404,404,config/portrait/toptouxiang/img_role_33@.png,config/big_role/show/img_role_33@.png,config/big_role/show/img_role_33@.png,figure/langri/langri.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,2,100,,,"A young trainer in the Alola area, after defeating the Four Heavenly Queen, he became the champion of the first generation of the Alola League and the master of the Alola illustrated book, and was invited to join the international police",阿羅拉地區的少年訓練家，在打敗了四天王後成為了初代阿羅拉聯盟冠軍，也是阿羅拉圖鑒的大師，後受邀加入國際員警,404,404,{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2239=1},,9,1%,,9,120,,,,<70030>,<1>,,1,1,1,1,,,"As long as I breathe the fresh air to my heart's content, I feel as if I have been reborn!",1111,1111,404404,,I am very much looking forward to exploring unknown places with you!,2222,2222,404404,404404,"Did you know that Alora means ""Good afternoon"" or ""Hello""!",3333,3333,404404,404404,{x=0;y=0}
34,Mizuki,<cn>,美月,Mizuki,404,404,config/portrait/toptouxiang/img_role_34@.png,config/big_role/show/img_role_34@.png,config/big_role/show/img_role_34@.png,figure/meiyue/my.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_34@.png,townqrole/meiyue.skel,,personal/img_bjt.png,2,695,,,"A talented girl trainer, once won the Alola League champion, the master of the Alola illustrated book, and was invited to join the international police",天才少女訓練家，曾拿過阿羅拉聯盟冠軍，阿羅拉圖鑒的大師，後受邀加入國際員警,404,404,{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2240=1},,10,1%,,10,120,,,,<70029>,<1>,,,,,,,,"Melomele Island, here I come!",美樂美樂島，我來了!,404,404,404,"Thank you for preparing the banquet for me, I will continue to work hard",謝謝大家為我準備的宴會，我會繼續加油的,404,404,404,I'm sure I'll meet Tapu Naming again,我相信一定會再次遇到卡璞・鳴鳴的,404,404,404,{x=0;y=0}
35,James,,小次郎,James,404,로이,config/portrait/toptouxiang/img_role_35@.png,config/big_role/show/img_role_35@.png,config/big_role/act/img_role_35@.png,figure/xiaocilang/xiaocilang.skel,crossmine/q_xiaozhi.skel,,townqrole/q_xiaocilang.skel,,personal/img_bjt3.png,2,175,,,"Member of Team Rocket, James have a gentle personality, born in upper class family, after he left his family he met his companions Jessie & Meowth. They always followed Ash and tried to steal Ash's Pikachu, but never succeed.",火箭隊成員，性格溫和，出生於上流社會，後叛逆離家出走，認識了現在的同伴武藏、喵喵兩人；三人總是跟著小智一行，企圖搶走小智的皮卡丘，但從沒成功過。,"Member of Team Rocket, James have a gentle personality, born in upper class family, after he left his family he met his companions Jessie & Meowth. They always followed Ash and tried to steal Ash's Pikachu, but never succeed.",로켓단 삼인방의 일원이며 상당한 부잣집의 도련님이다. 집에서 도망쳐 헤메고 헤메다가 로켓단에 들어가게 된다.  지우의 피카츄를 손에 넣으려고 하지만 성공한 적이 없다.,{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2241=1},,7,1%,,7,240,,,,<70026>,<1>,,1,1,1,1,,,"Since you have asked the question sincerely, we will tell you mercifully!",既然你誠心誠意的發問了，我們就大發慈悲的告訴你！,Prepare for trouble! Make it double!,404,"성심성의껏 물으 신다면, 대답해 드리는게 인지상정!","In order to prevent the world from being destroyed, in order to protect the peace of the world; implement love and true evil, cute and charming villains.",為了防止世界被破壞，為了守護世界的和平；貫徹愛與真實的邪惡，可愛又迷人的反派角色。,To protect the world from devastation!To unite all peoples within our nation!To denounce the evils of truth and love!To extend our reach to the stars above!,404,"이세계의 파괴를 막기위해, 이세계의 평화를 지키기 위해; 사랑과 진실 어둠을 뿌리고 다니는, 포켓몬의 감초 귀염둥이 악당.","Musashi! Kojiro! We are Team Rocket across the galaxy! White hole, white tomorrow is waiting for us! (That's it, meow!)","武藏！小次郎！ 我們是穿梭在銀河的火箭隊！白洞，白色的明天在等著我們！ (就是這樣, 喵!)",Jessie! James! Team Rocket blasts off at the speed of light! Surrender now or prepare to fight! (Meowth! That's right!),404,"로사! 로이! 우주를 뛰어다니는 우리 로켓단들에겐 아름다운 미래, 밝은 일이 기다리고 있다! (난 나옹이다, 옹!)",{x=0;y=0}
36,Jessie,,武藏,Jessie,404,로사,config/portrait/toptouxiang/img_role_36@.png,config/big_role/show/img_role_36@.png,config/big_role/act/img_role_36@.png,figure/wuzang/wuzang.skel,crossmine/q_xiaozhi.skel,,townqrole/q_wuzang.skel,,personal/img_bjt.png,2,170,,,"Member of Team Rocket,Jessie is the short-tempered member of the Team Rocket trio,met her companions James & Meowth at Team Rocket Academy.They always followed Ash and tried to steal Ash's Pikachu, but never succeed.",火箭隊成員，性格直率、潑辣，後在火箭隊學院認識了現在的同伴小次郎、喵喵兩人；三人總是跟著小智一行，企圖搶走小智的皮卡丘，但從沒成功過。,"Member of Team Rocket,Jessie is the short-tempered member of the Team Rocket trio,met her companions James & Meowth at Team Rocket Academy.They always followed Ash and tried to steal Ash's Pikachu, but never succeed.",로켓단 삼인방의 일원이며 성질 급하고 막가파인 여장부로 상대적으로 순한 로이와 나옹을 완전히 휘어잡고 산다. 지우의 피카츄를 빼앗으려고 늘 따라다녔지만  성공한 적이 없다.,{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2242=1},,8,1%,,8,240,,,,<70025>,<1>,,1,1,1,1,,,"Since you have asked the question sincerely, we will tell you mercifully!",既然你誠心誠意的發問了，我們就大發慈悲的告訴你！,Prepare for trouble! Make it double!,404,"성심성의껏 물으 신다면, 대답해 드리는게 인지상정!","In order to prevent the world from being destroyed, in order to protect the peace of the world; implement love and true evil, cute and charming villains.",為了防止世界被破壞，為了守護世界的和平；貫徹愛與真實的邪惡，可愛又迷人的反派角色。,To protect the world from devastation!To unite all peoples within our nation!To denounce the evils of truth and love!To extend our reach to the stars above!,404,"이세계의 파괴를 막기위해, 이세계의 평화를 지키기 위해; 사랑과 진실 어둠을 뿌리고 다니는, 포켓몬의 감초 귀염둥이 악당.","Musashi! Kojiro! We are Team Rocket across the galaxy! White hole, white tomorrow is waiting for us! (That's it, meow!)","武藏！小次郎！ 我們是穿梭在銀河的火箭隊！白洞，白色的明天在等著我們！ (就是這樣, 喵!)",Jessie! James! Team Rocket blasts off at the speed of light! Surrender now or prepare to fight! (Meowth! That's right!),404,"로사! 로이! 우주를 뛰어다니는 우리 로켓단들에겐 아름다운 미래, 밝은 일이 기다리고 있다! (난 나옹이다, 옹!)",{x=0;y=0}
37,Ash (Christmas Limited),<cn>,小智(聖誕限定),,,,config/portrait/toptouxiang/img_role_37@.png,config/big_role/show/img_role_37@.png,config/big_role/show/img_role_37@.png,figure/xiaozhi_shengdan/shengdan_xiaozhi.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,2,200,,,"A true new town trainer in Christmas costumes, a ten-year-old boy who dreams of becoming a Pokémon master","一身聖誕時裝的真新鎮訓練家, 夢想成為寶可夢大師的十歲少年",,,{1=10},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2237=1},,9,120,,10,120,,,,<70020>,<1>,,,,,,,,Merry Christmas~~Merry!,聖誕~~快樂！,,,,"Oops, I forgot the Christmas cake!",糟糕，聖誕蛋糕忘買了！,,,,"Pikachu, let's go find Santa and deliver presents with the messenger bird!",皮卡丘，我們去找聖誕老人和信使鳥一起送禮物吧！,,,,{x=-50;y=0}
38,Xiaoxia (Christmas Limited),<cn>,小霞(聖誕限定),,,,config/portrait/toptouxiang/img_role_38@.png,config/big_role/show/img_role_38@.png,config/big_role/show/img_role_38@.png,figure/xiaoxia_shengdan/shengdan_xiaoxia.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt4.png,2,180,,,"The owner of the Hualan gymnasium in Christmas costumes, has a lively personality and yearns for a powerful trainer","一身聖誕時裝的華藍道館館主, 性格活潑, 非常嚮往強大的訓練家",,,{1=10},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2238=1},,1,2400,,,,,,,<70018>,<1>,,,,,,,,"Can you go to the Cape Cottage with me at Christmas, please!",你能在耶誕節陪我一起去趟海角小屋嗎，拜託了！,,,,"Looking forward to a snowy Christmas, Bobbi will love it!",好期待下雪的耶誕節，波克比一定會很喜歡的！,,,,Take advantage of the festival and go on a trip!,趁著節日，出門旅行吧！,,404404,,{x=-10;y=0}
39,Lana (Summer limited),<cn;kr;en;tw>,水蓮(夏日限定),Lana (Summer limited),,수련 (여름 한정),config/portrait/toptouxiang/img_role_39@.png,config/big_role/show/img_role_39@.png,config/big_role/show/img_role_39@.png,figure/shuilian_yongzhuang/yongzhuang_shuilian.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,2,150,,,"Lana in summer clothes, likes to ride Lapras to fish in the sea",夏日著裝的水蓮，喜歡騎著拉普拉斯在海中釣魚,"Lana in summertime wearing, likes to ride Lapras and sea fishing",여름 옷차림의 수련은 라프라스를 타고 바다에서 낚시하는것을 좋아한다.,{1=10},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2243=1},,10,1%,,,,,,,<70032>,<1>,,,,,,,,Let's go to the beach together~,一起去海灘玩耍吧~,Let‘s go to the beach and have some fun!!,404404,같이 바다에 놀러가자~,I can totally understand your desire to fish!,你想要釣魚的心情，我完全可以理解！,"You want to fish, I can understand!",404404,당신이 낚시를 원하는 마음은 난 충분히 이해간다!,It’s a call from the sea~ (laughs),是來自大海的呼喚~（笑）,It's the call of the ocean! XD,404404,바다의 부름이다~ (웃음),{x=-50;y=80}
