变量名,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_kr,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2
311,311,Potential value gift materials for elves - choose the first elf,32,,,,,,,,,,,,,0.1,,2,,,{x=-700;y=250},login/new_character/img_tjltm@.png,{x=0;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enter the Pokémon enhancement interface.,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
312,312,Potential value gift materials for elves - click on the potential value tab,32,,,,,,,,,,,,,0.1,,1,,,{x=200;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the Star Level interface.,點一下這裡，打開星級面板。,Tap here to open the Star Level interface.,,여길 터치해서 성급 메뉴를 열어 봐 로토.,,升级,<right;list;star;btnNormal>,,effect/shouyindao.skel,,,,,,,,,
313,313,Potential value of elves - click on the avatar,32,,,,,,,,,,,,,0.1,,2,,,{x=500;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to select the Pokémon.,點擊這裡選擇精靈,Tap here to select the Pokémon.,,포켓몬을 선택해 봐 로토.,,,<itemList;item1>,,effect/shouyindao.skel,,,,,,,,,
314,314,Elf Potential Value - Select Elf,32,,,,,,,,,,,,,0.1,,2,,,{x=500;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to star up.,點擊這裡進行星級提升,Tap here to star up.,,터치해서 성급 증가를 진행해 로토.,,,<selectPanel;list;subList;item1>,,effect/shouyindao.skel,,,,,,,,,
315,315,Potential value of elves - click the breakthrough button,32,,,,,,,,,,,,,0.1,,2,,,{x=500;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to select the Pokémon.,點擊這裡選擇精靈,Tap here to select the Pokémon.,,포켓몬을 선택해 봐 로토.,,,<selectPanel;btnSure>,,effect/shouyindao.skel,,,,,,,,,
316,316,Potential value of elves - click the breakthrough button,32,,,,,,,1,,,,,,0.1,,2,,,{x=500;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to star up.,點擊這裡進行星級提升,Tap here to star up.,,터치해서 성급 증가를 진행해 로토.,,,<panel;btnOk>,,effect/shouyindao.skel,,,,,,,,,
317,317,Genie Boost Potential - Blank Button,32,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,318,Spirit Potential Up - Keep Fighting,32,,,,,,,,,,,,,0.1,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"With Star Up, the combat power of the Pokémon has increased greatly. Now, let's continue with the adventure!",通過提升星級，精靈的戰鬥得到了顯著提升，讓我們繼續冒險吧,"With Star Up, the combat power of the Pokémon has increased greatly. Now, let's continue with the adventure!",,성급이 높아지자 포켓몬의 전투력이 현저히 증가했어 로토. 그럼 모험을 계속하자 로토.,,,,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,
,,blank,35,,battle.battle_end.win,6,,finish(29) and not finish(35),,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Level 1-5 - Upgrade Blank Guide,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<back>,,,,,,,,,,,
,,Level 1-5-Elves' Potential Value-Story Dialogue,35,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Next, let me show you how to increase the Individual Values of the Pokémons!",接下去，讓我告訴你如何提升精靈的潛力值吧,"Next, let me show you how to increase the Individual Values of the Pokémons!",,이번에는 포켓몬의 잠재력 수치를 높이는 법을 알려줄게 로토.,,,,,,,,,,,,,,
,,Level 1-5 - Return to the main city,35,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,<backBtn>,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Free 10 consecutive card draw coupons - plot dialogue,36,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,"Seems like you have mastered the techniques of fighting and growing, and taken a big step closer to becoming a Pokémon master.",看來你已經掌握了戰鬥和成長的技巧，離成為神奇寶貝大師的目標又前進了一大步。,"Seems like you have mastered the techniques of fighting and growing, and taken a big step closer to becoming a Pokémon master.",,아무래도 이제 전투와 성장에 대해 충분히 익힌 모양이로구나. 그렇게 포켓몬 마스터를 향한 목표에 한 걸음 다가간 거란다.,,,,,,,,,,,,,,
,,Free 10 consecutive card draw coupons - plot dialogue,36,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,"You shall continue on this path of adventure, but before that, please accept this farewell gift!",接下來，你將繼續踏上冒險的征程，在這之前，我再送你一份臨別的贈禮吧！,"You shall continue on this path of adventure, but before that, please accept this farewell gift!",,"""이제 모험의 길을 계속 가게 될 테네, 그 전에 내가 작별의 선물을 하나 주마.""",,,,,,,,,,,,,,
,,Free 10 consecutive card draw coupons-free card draw coupons,36,,,,,,,1,{519=10},,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Free 10 consecutive card draw coupons-My story line,36,,,,,,,,,,,,,,2,1,<0>,,,,,,,,,"Thank you, I'll work harder!",謝謝博士，我會努力成長的！,"Thank you, I'll work harder!",,"""감사합니다. 박사님, 계속 노력할게요!""",,,,,,,,,,,,,,
,,Free 10 consecutive card draw coupons - plot dialogue,36,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,,,,,"You're great, Professor, let's try for the ten consecutive draws!",博士真是太好了，讓我們趕緊去進行十連抽吧！,"You're great, Professor, let's try for the ten consecutive draws!",,정말 대단해! 어서 10연속 뽑기를 해 보자!,,,,,,,,,,,,,,
,,Free 10 consecutive card draw coupons - main city,36,,,,,,,,,,,,,0.1,,2,,,{x=-200;y=300},login/new_character/img_tjltm@.png,{x=-200;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enter the Card Draw interface.,點擊這裡，進入抽卡介面。,Tap here to enter the Card Draw interface.,,뽑기 메뉴로 들어가 봐 로토.,,抽卡,<centerBottomPanel;actionList;drawCard>,,effect/shouyindao.skel,270,,,,,,,,
,,Free 10 consecutive card draw coupons - plot dialogue,36,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,,,,,There are all sorts of Pokémons in this magical world. Don't you want to catch more of them?,在這個神奇的世界裡，存在著各種各樣的精靈，你想不想擁有更多的精靈呢？,There are all sorts of Pokémons in this magical world. Don't you want to catch more of them?,,이 신비한 세계에서는 다양한 포켓몬이 존재한다 로토. 더 많은 포켓몬을 얻고 싶지 않아 로토?,,,,,,,,,,,,,,
,,Free 10 consecutive card draw coupons - plot dialogue,36,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Potential value can increase the power of Pokémons, and different potential value levels can unlock different additional effects.",潛力值可以提升精靈實力，不同的潛力值階段還會獲得額外效果加成,"Potential value can increase the power of Pokémons, and different potential value levels can unlock different additional effects.",,"""잠재력 수치는 포켓몬의 전투력을 높일 수 있고, 추가 효과 보너스를 얻을 수도 있어 로토.""",,,,,,,,,,,,,,
,,Initial Card Draw - Dialogue,13,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,,,,,Let's try drawing some cards and summon new Pokémons!,讓我們去試試抽卡召喚新的精靈吧！,Let's try drawing some cards and summon new Pokémons!,,그럼 포켓몬 뽑기로 새로운 포켓몬을 소환해 보자 로토!,,,,,,,,,,,,,,
,,Free 10 consecutive card draw coupons - plot dialogue,36,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Potential value can increase the power of Pokémons, and different potential value levels can unlock different additional effects.",潛力值可以提升精靈實力，不同的潛力值階段還會獲得額外效果加成,"Potential value can increase the power of Pokémons, and different potential value levels can unlock different additional effects.",,"""잠재력 수치는 포켓몬의 전투력을 높일 수 있고, 추가 효과 보너스를 얻을 수도 있어 로토.""",,,,,,,,,,,,,,
,,Free 10 consecutive card draw coupons - go to card draw,36,,,,,,,,,,,,,0.1,,1,,,{x=-100;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the bag.,點擊這裡進入精靈背包,Tap here to open the bag.,,포켓몬 가방을 열어 봐 로토.,,精灵背包,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
,,Potential value gift materials for elves - choose the first elf,36,,,,,,,,,,,,,0.1,,2,,,{x=-700;y=250},login/new_character/img_tjltm@.png,{x=0;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enter the Pokémon enhancement interface.,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
,,Potential value gift materials for elves - click on the potential value tab,36,,,,,,,,,,,,,0.1,,1,,,{x=200;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the Potential Value interface.,點一下這裡，打開潛力值面板。,Tap here to open the Potential Value interface.,,여길 터치하면 잠재력 메뉴를 열 수 있어 로토.,,升级,<right;list;star;btnNormal>,,effect/shouyindao.skel,,,,,,,,,
,,Gift materials for elves' potential value-gift materials plot dialogue,36,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Potential Item and Pokémon itself are needed to increasing the potential value. As you're not eligible to challenge the Elite levels currently, here are some materials for you.",提升潛力值需要消耗潛力值道具和本體精靈，潛力值道具可以通過精英關卡獲得，目前你還沒有獲得挑戰精英關卡的資格，那就先贈送你一些材料。,"Potential Item and Pokémon itself are needed to increasing the potential value. As you're not eligible to challenge the Elite levels currently, here are some materials for you.",,"""잠재력을 높이려면 잠재력 수치 아이템과 포켓몬을 소모해야 해 로토. 잠재력 아이템은 정예 스테이지에서 획득할 수 있어 로토. 넌 아직 정예 스테이지에 도전할 자격이 없으니까, 이번엔 내가 재료를 줄게 로토.""",,,,,,,,,,,,,,
,,Potential value of elves as a gift material-gift material,36,,,,,,,1,{800=8},,TRUE,,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Potential value gift materials for elves - open the backpack,37,,,,,,,,,,,,,0.1,,1,,,{x=-100;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the bag.,點擊這裡進入精靈背包,Tap here to open the bag.,,포켓몬 가방을 열어 봐 로토.,,精灵背包,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
,,Potential value gift materials for elves - choose the first elf,37,,,,,,,,,,,,,0.1,,2,,,{x=-700;y=250},login/new_character/img_tjltm@.png,{x=0;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enter the Pokémon enhancement interface.,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
,,Potential value gift materials for elves - click on the potential value tab,37,,,,,,,,,,,,,0.1,,1,,,{x=200;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the Potential Value interface.,點一下這裡，打開潛力值面板。,Tap here to open the Potential Value interface.,,여길 터치하면 잠재력 메뉴를 열 수 있어 로토.,,升级,<right;list;star;btnNormal>,,effect/shouyindao.skel,,,,,,,,,
,,Potential value of elves - click the breakthrough button,37,,,,,,,1,,,,,,0.1,,2,,,{x=500;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to upgrade Potential Value.,點擊這裡進行潛力值提升,Tap here to upgrade Potential Value.,,터치해서 잠재력 증가를 진행해 로토.,,,<panel;btnOk>,,effect/shouyindao.skel,,,,,,,,,
,,Genie Boost Potential - Blank Button,373,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spirit Potential Up - Keep Fighting,32,,,,,,,,,,,,,0.1,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Through upgrading, the combat power of the Pokémon has increased greatly. Now, let's continue with the adventure!",通過提升，精靈的戰鬥得到了顯著提升，讓我們繼續冒險吧,"Through upgrading, the combat power of the Pokémon has increased greatly. Now, let's continue with the adventure!",,증가를 통해 포켓몬의 전투력이 현저히 증가했어 로토. 그럼 계속 모험을 진행하자 로토.,,,,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,
500,500,Accessory Upgrade - Plot Dialogue,50,,all,,10202,,,1,{gold=30000},,,1,501,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Congratulations for unlocking the trinket feature, you may enhance the various Pokémon stats by upgrading the trinket.",恭喜你，解鎖了飾品功能，通過升級飾品可以提升角色的各項屬性,"Congratulations for unlocking the trinket feature, you may enhance the various Pokémon stats by upgrading the trinket.",,"""축하해, 액세서리 시스템이 개방됐어. 액세서리의 레벨을 높이면 캐릭터의 각 속성을 증가시킬 수 있어 로토.""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,501,Accessory Upgrade - Plot Dialogue,51,,all,,10202,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Congratulations for unlocking the trinket feature, you may enhance the various Pokémon stats by upgrading the trinket.",恭喜你，解鎖了飾品功能，通過升級飾品可以提升角色的各項屬性,"Congratulations for unlocking the trinket feature, you may enhance the various Pokémon stats by upgrading the trinket.",,"""축하해, 액세서리 시스템이 개방됐어. 액세서리의 레벨을 높이면 캐릭터의 각 속성을 증가시킬 수 있어 로토.""",,,,,,,,,,,,,,
502,502,Accessory Upgrade - Open Backpack,51,,,,,,,,,,,,,0.1,,1,,,{x=-100;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the bag.,點擊這裡進入精靈背包,Tap here to open the bag.,,포켓몬 가방을 열어 봐 로토.,,精灵背包,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
503,503,Accessory upgrade - choose the first elf,51,,,,,,,,,,,,,0.1,,2,,,{x=-700;y=250},login/new_character/img_tjltm@.png,{x=0;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enter the Pokémon enhancement interface.,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
504,504,Accessory Upgrade - Click on the Accessory tab,51,,,,,,,,,,,,,0.1,,1,,,{x=-300;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the Trinket interface.,點一下這裡，打開飾品介面,Tap here to open the Trinket interface.,,그럼 여길 터치해서 액세서리 메뉴를 열어 봐 로토.,,,<left;btnEquip>,,effect/shouyindao.skel,,,,,,,,,
505,505,Accessory Upgrade - Click the Enhance button once,51,,,,,,,1,,,,,514,0.1,,1,,,{x=-100;y=0},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enhance trinkets.,點擊這裡進行飾品強化,Tap here to enhance trinkets.,,액세서리 강화를 진행해 로토.,,,<strengthenPanel;btnStrengthen>,,effect/shouyindao.skel,,,,,,,,,
,,Elves Evolution-Drama Dialogue,51,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Congratulations for the successful evolution! Let's continue our adventure!,恭喜你，進化成功了，讓我們繼續冒險吧,Congratulations for the successful evolution! Let's continue our adventure!,,"""축하해, 진화에 성공했어 로토. 그럼 모험을 계속해 보자 로토.""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,511,Accessory Upgrade - Open Backpack,52,,all,,10202,,,,,,,,,0.1,,1,,,{x=-100;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the bag.,點擊這裡進入精靈背包,Tap here to open the bag.,,포켓몬 가방을 열어 봐 로토.,,精灵背包,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
512,512,Accessory upgrade - choose the first elf,52,,,,,,,,,,,,,0.1,,2,,,{x=-700;y=250},login/new_character/img_tjltm@.png,{x=0;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enter the Pokémon enhancement interface.,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
513,513,Accessory Upgrade - Click on the Accessory tab,52,,,,,,,,,,,,,0.1,,1,,,{x=-300;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the Trinket interface.,點一下這裡，打開飾品介面,Tap here to open the Trinket interface.,,그럼 여길 터치해서 액세서리 메뉴를 열어 봐 로토.,,,<left;btnEquip;btn>,,effect/shouyindao.skel,,,,,,,,,
514,514,Jewelry upgrade - click the one-key enhancement button,52,,,,,,,1,,,,,,0.1,,1,,,{x=-400;y=50},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to one-tap enhance trinkets.,點擊這裡進行飾品一鍵強化,Tap here to one-tap enhance trinkets.,,여길 터치하면 액세서리 간편강화를 진행할 수 있어 로토.,,,<strengthenPanel;btnOne>,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,601,Elite Level - Main City Arrival,60,,all,1,10204,,,,,,,1,,0.1,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Let's challenge the Hard levels next.,接下來，讓我們去挑戰困難關卡,Let's challenge the Hard levels next.,,그럼 이번엔 하드 스테이지에 도전해 보자 로토.,,,,,,,,,,,,,,
602,602,Elite Level - Main City Arrival,60,,,,,,,,,,,,,,,1,,,{x=450;y=250},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enter the level.,點擊這裡進入關卡,Tap here to enter the level.,,스테이지로 입장해 로토.,,主界面关卡,<rightBottomPanel;btnPve>,,effect/shouyindao.skel,150,,,,,,,,
603,603,Elite Level - Main City Arrival,60,,,,,,,,,,,,,1,,2,,,{x=-300;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to switch into the Hard levels.,點擊這裡切換困難關卡,Tap here to switch into the Hard levels.,,여길 터치해서 하드 스테이지로 전환해 로토.,,主界面关卡,<leftDown;btnDiffect>,,effect/shouyindao.skel,150,,,,,,,,
604,604,Elite level - guide selection level,60,,,,,,,1,,,,,,2,,2,,,{x=0;y=300},login/new_character/img_tjltm@.png,{x=0;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to select the level.,點擊這裡，選擇將要進入的關卡,Tap here to select the level.,,입장할 스테이지를 선택해 로토.,,,<pageView;page1;gate1>,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,651,Advanced Accessory - Plot Dialogue,65,,all,1,20101,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Difficult levels do not only drop items, but also advanced trinket scrolls! Try upgrading the trinkets!",困難關卡不僅有道具掉落，還有飾品進階卷軸呢！試試給飾品進階吧！,"Difficult levels do not only drop items, but also advanced trinket scrolls! Try upgrading the trinkets!",,하드 스테이지에서는 아이템 외에 액세서리 진화 스크롤도 드랍하거든 로토! 그럼 액세서리를 진급시켜 보자 로토!,,,,,,,,,,,,,,
652,652,Advanced Accessory - Open Backpack,65,,,,,,,,,,,,,0.1,,1,,,{x=-100;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the bag.,點擊這裡進入精靈背包,Tap here to open the bag.,,포켓몬 가방을 열어 봐 로토.,,精灵背包,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
653,653,Advanced Accessory - Choose the first elf,65,,,,,,,,,,,,,0.1,,2,,,{x=-700;y=250},login/new_character/img_tjltm@.png,{x=0;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enter the Pokémon enhancement interface.,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
654,654,Advanced Accessory - Click on the Accessory tab,65,,,,,,,,,,,,,0.1,,1,,,{x=-300;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the Trinket interface.,點一下這裡，打開飾品介面,Tap here to open the Trinket interface.,,그럼 여길 터치해서 액세서리 메뉴를 열어 봐 로토.,,,<left;btnEquip>,,effect/shouyindao.skel,,,,,,,,,
655,655,Advanced accessories - click the advanced button 1,65,,,,,,,1,,,,,,0.1,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Use the trinkets that are dropped in the Hard levels to upgrade scrolls can increase the grade  and maximum level of the trinkets.,消耗困難關卡掉落的飾品進階卷軸可以提升飾品品階和等級上限,Use the trinkets that are dropped in the Hard levels to upgrade scrolls can increase the grade  and maximum level of the trinkets.,,하드 스테이지에서 드랍하는 액세서리 진화 스크롤을 소모하면 액세서리의 등급과 레벨 한도를 높일 수 있어 로토.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,1001,Open the illustrated book - plot dialogue,101,,city.view,10,,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Congratulations! You've unlocked the Pokédex, let's check it out!",恭喜你，解鎖了圖鑒功能，讓我們去看看吧,"Congratulations! You've unlocked the Pokédex, let's check it out!",,"""축하해, 도감 기능이 개방됐어 로토. 어서 살펴보자 로토.""",,,,,,,,,,,,,,
1002,1002,Open Pokédex-Function Entrance,101,,,,,,,1,,,,,,0.1,1,2,,,{x=-350;y=50},login/new_character/img_tjltm@.png,{x=0;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Congratulations for activating the Pokédex. Click here to open it.,恭喜你，成功開啟圖鑒，點擊這裡打開圖鑒,Congratulations for activating the Pokédex. Click here to open it.,,축하해. 도감 개방에 성공했어 로토. 터치해 도감을 열어 보자. 로토,,图鉴,<centerBottomPanel;actionList;handbook>,,effect/shouyindao.skel,,,,,,,,,
1003,1003,Open Pokédex-Function Entrance,101,,,,,,,,,,,,,0.1,1,2,,,{x=200;y=0},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"You can view the Pokémons you have collected so far in Pokédex, and can also get stats bonus.",在圖鑒中可檢視您當前已收集的精靈，還可以獲得屬性加成。,"You can view the Pokémons you have collected so far in Pokédex, and can also get stats bonus.",,"""도감에서는 수집한 포켓몬을 확인할 수 있고, 속성 보너스도 얻을 수 있어 로토.""",,图鉴,,,,,,,,{width=6240;height=2880;dx=0;dy=0},,,,
1004,1004,Open Pokédex-Breakthrough Introduction,101,,,,,,,,,,,,,0.1,1,2,,,{x=-300;y=50},login/new_character/img_tjltm@.png,{x=0;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"After collecting a certain number of Pokémons, you can also gain additional type bonuses by breaking through.",收集一定數量的精靈之後還可以通過突破來獲得額外屬性加成,"After collecting a certain number of Pokémons, you can also gain additional type bonuses by breaking through.",,일정 수량의 포켓몬을 수집하면 돌파를 통해 추가 속성 보너스를 획득할 수 있어 로토.,,图鉴,<left;btnUp>,,effect/shouyindao.skel,150,,,,,,,,
1005,1005,Open Pokédex-Breakthrough Introduction,101,,,,,,,,,,,,,0.1,1,2,,,{x=-100;y=200},login/new_character/img_tjltm@.png,{x=0;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Trainer! Keep on collecting more Pokémons!,訓練家！繼續加油，收集更多精靈吧！,Trainer! Keep on collecting more Pokémons!,,트레이너! 그럼 계속 노력해서 더 많은 포켓몬을 수집해 봐 로토!,,图鉴,,,,,,,,{width=6240;height=2880;dx=0;dy=0},,,,
