变量名,"
  _comment
  ",weightList,cardWeightMap,specialWeightMap
935,"
  915 - Random level chest material
  library
  ",<<5013;100;20>;<5014;100;20>;<5015;100;20>>,,
936,"
  916 - Random Level Chest Material
  Library
  ",<<5016;100;20>;<5017;100;20>;<5018;100;20>>,,
937,"
  917 - Random Level Chest Material
  Library
  ",<<5019;100;20>;<5020;100;20>;<5021;100;20>>,,
938,"
  918 - Random Level Chest Material
  Library
  ",<<5022;100;20>;<5023;100;20>;<5024;100;20>>,,
939,"
  919 - Random level chest material
  library
  ",<<5025;100;20>;<5026;100;20>;<5027;100;20>>,,
940,"
  920 - Random level chest material
  library
  ",<<5028;100;20>;<5029;100;20>;<5030;100;20>>,,
941,"
  921 - Random Level Chest Material
  Library
  ",<<5031;100;20>;<5032;100;20>;<5033;100;20>>,,
942,"
  922 - Random level chest material
  library
  ",<<5034;100;20>;<5035;100;20>;<5036;100;20>>,,
943,"
  923 - Random level chest material
  library
  ",<<5037;100;20>;<5038;100;20>;<5039;100;20>>,,
944,"
  924 - Random level chest material
  library
  ",<<5040;100;20>;<5041;100;20>;<5042;100;20>>,,
945,"
  925 - Random level chest material
  library
  ",<<5043;100;20>;<5044;100;20>;<5045;100;20>>,,
946,"
  926 - Random level chest material
  library
  ",<<5046;100;20>;<5047;100;20>;<5048;100;20>>,,
947,"
  927 - Random level chest material
  library
  ",<<5049;100;20>;<5050;100;20>;<5051;100;20>>,,
,,,,
971,"
  971- Guild box evolution
  material library old
  ",<<5001;100;1>;<5002;100;1>;<5003;100;1>>,,
972,"
  972- Guild box evolution
  material library old
  ",<<5004;100;1>;<5005;100;1>;<5006;100;1>>,,
973,"
  973- Guild box evolution
  material library old
  ",<<5007;100;1>;<5008;100;1>;<5009;100;1>>,,
974,"
  974- Guild box evolution
  material library old
  ",<<5010;100;1>;<5011;100;1>;<5012;100;1>>,,
975,"
  975- Guild box evolution
  material library old
  ",<<5013;100;1>;<5014;100;1>;<5015;100;1>>,,
976,"
  976- Guild box evolution
  material library old
  ",<<5016;100;1>;<5017;100;1>;<5018;100;1>>,,
977,"
  977- Guild box evolution
  material library old
  ",<<5019;100;1>;<5020;100;1>;<5021;100;1>>,,
978,"
  978- Guild box evolution
  material library old
  ",<<5022;100;1>;<5023;100;1>;<5024;100;1>>,,
979,"
  979- Guild box evolution
  material library old
  ",<<5025;100;1>;<5026;100;1>;<5027;100;1>>,,
,,,,
981,"
  981- Guild chest evolution
  material library new
  ",<<5001;100;1>;<5002;100;1>;<5003;100;1>;<5004;100;1>;<5005;100;1>;<5006;100;1>;<5007;100;1>;<5008;100;1>;<5009;100;1>>,,
982,"
  982- Guild chest evolution
  material library new
  ",<<5001;100;1>;<5002;100;1>;<5003;100;1>;<5004;100;1>;<5005;100;1>;<5006;100;1>;<5007;100;1>;<5008;100;1>;<5009;100;1>;<5010;100;1>;<5011;100;1>;<5012;100;1>>,,
983,"
  983- Guild chest evolution
  material library new
  ",<<5004;100;1>;<5005;100;1>;<5006;100;1>;<5007;100;1>;<5008;100;1>;<5009;100;1>;<5010;100;1>;<5011;100;1>;<5012;100;1>;<5013;100;1>;<5014;100;1>;<5015;100;1>>,,
984,"
  984- Guild chest evolution
  material library new
  ",<<5007;100;1>;<5008;100;1>;<5009;100;1>;<5010;100;1>;<5011;100;1>;<5012;100;1>;<5013;100;1>;<5014;100;1>;<5015;100;1>;<5016;100;1>;<5017;100;1>;<5018;100;1>>,,
985,"
  985- Guild chest evolution
  material library new
  ",<<5010;100;1>;<5011;100;1>;<5012;100;1>;<5013;100;1>;<5014;100;1>;<5015;100;1>;<5016;100;1>;<5017;100;1>;<5018;100;1>;<5019;100;1>;<5020;100;1>;<5021;100;1>>,,
986,"
  986- Guild chest evolution
  material library new
  ",<<5013;100;1>;<5014;100;1>;<5015;100;1>;<5016;100;1>;<5017;100;1>;<5018;100;1>;<5019;100;1>;<5020;100;1>;<5021;100;1>;<5022;100;1>;<5023;100;1>;<5024;100;1>>,,
987,"
  987- Guild box evolution
  material library new
  ",<<5016;100;1>;<5017;100;1>;<5018;100;1>;<5019;100;1>;<5020;100;1>;<5021;100;1>;<5022;100;1>;<5023;100;1>;<5024;100;1>;<5025;100;1>;<5026;100;1>;<5027;100;1>>,,
988,"
  988- Guild chest evolution
  material library new
  ",<<5019;100;1>;<5020;100;1>;<5021;100;1>;<5022;100;1>;<5023;100;1>;<5024;100;1>;<5025;100;1>;<5026;100;1>;<5027;100;1>;<5028;100;1>;<5029;100;1>;<5030;100;1>>,,
989,"
  989- Guild chest evolution
  material library new
  ",<<5022;100;1>;<5023;100;1>;<5024;100;1>;<5025;100;1>;<5026;100;1>;<5027;100;1>;<5028;100;1>;<5029;100;1>;<5030;100;1>;<5031;100;1>;<5032;100;1>;<5033;100;1>>,,
,,,,
1001,"
  1001 -Diamond Draw Card Library
  ",,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=31};100>;<{id=43};100>;<{id=51};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=131};100>;<{id=171};100>;<{id=191};100>;<{id=231};100>;<{id=261};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=331};100>;<{id=351};100>;<{id=371};100>;<{id=391};100>;<{id=451};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=491};100>;<{id=541};100>;<{id=551};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=632};100>;<{id=721};100>;<{id=731};100>;<{id=741};100>;<{id=751};100>;<{id=761};100>;<{id=771};100>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=881};100>;<{id=891};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};100>;<{id=1231};100>;<{id=1241};100>;<{id=1251};100>;<{id=1291};100>;<{id=1311};100>;<{id=1351};100>;<{id=1391};100>;<{id=1421};100>;<{id=1441};100>;<{id=1501};100>;<{id=1611};100>;<{id=1811};100>;<{id=1841};100>;<{id=1861};100>;<{id=1891};100>;<{id=1901};100>;<{id=2011};100>;<{id=2071};100>;<{id=2231};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};100>;<{id=2611};100>;<{id=2631};100>;<{id=2681};100>;<{id=2721};100>;<{id=2821};100>;<{id=2871};100>;<{id=2961};100>;<{id=3001};100>;<{id=3011};100>;<{id=3141};100>;<{id=3281};100>;<{id=3291};100>;<{id=3301};100>;<{id=3341};100>;<{id=3351};100>;<{id=3411};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};100>;<{id=3541};100>;<{id=3561};100>>,
1002,"
  1002- Elf Fragment Library
  ",<<20001;100;2>;<20011;100;2>;<20021;100;2>;<20031;100;2>;<20041;100;2>;<20051;100;2>;<20061;100;2>;<20071;100;2>;<20081;100;2>;<20091;100;2>;<20101;100;2>;<20111;100;2>;<20121;100;2>;<20131;100;2>;<20171;100;2>;<20191;100;2>;<20231;100;2>;<20261;100;2>;<20271;100;2>;<20281;100;2>;<20301;100;2>;<20331;100;2>;<20351;100;2>;<20371;100;2>;<20391;100;2>;<20451;100;2>;<20461;100;2>;<20471;100;2>;<20481;100;2>;<20491;100;2>;<20541;100;2>;<20551;100;2>;<20571;100;2>;<20591;100;2>;<20601;100;2>;<20631;100;2>;<20721;100;2>;<20731;100;2>;<20741;100;2>;<20751;100;2>;<20761;100;2>;<20771;100;2>;<20781;100;2>;<20791;100;2>;<20801;100;2>;<20881;100;2>;<20891;100;2>;<21071;100;2>;<21081;100;2>;<21171;100;2>;<21221;100;2>;<21231;100;2>;<21241;100;2>;<21251;100;2>;<21291;100;2>;<21311;100;2>;<21351;100;2>;<21391;100;2>;<21421;100;2>;<21441;100;2>;<21501;100;2>;<21611;100;2>;<21811;100;2>;<21841;100;2>;<21861;100;2>;<21891;100;2>;<21901;100;2>;<22011;100;2>;<22071;100;2>;<22231;100;2>;<22271;100;2>;<22301;100;2>;<22481;100;2>;<22591;100;2>;<22611;100;2>;<22631;100;2>;<22681;100;2>;<22721;100;2>;<22821;100;2>;<22871;100;2>;<22961;100;2>;<23001;100;2>;<23011;100;2>;<23141;100;2>;<23281;100;2>;<23291;100;2>;<23301;100;2>;<23341;100;2>;<23351;100;2>;<23411;100;2>;<23431;100;2>;<23471;100;2>;<23501;100;2>;<23511;100;2>;<23541;100;2>;<23561;100;2>>,,
1003,"
  1003- Elemental Challenge Coin
  ",<<gold;100;10000>;<gold;100;15000>;<gold;100;15000>;>,,
1004,"
  1004 - Element
  Challenge Favorability Material
  ",<<900;100;1>;<901;100;1>;<902;100;1>;>,,
1005,"
  1005- Elemental Challenge Elf
  Experience Materials
  ",<<12;50;15>;<13;100;10>;<12;50;20>>,,
,,,,
1101,"
  1101- Limited Time Divine Beast
  Universal Fragment Library
  ",<<502;100;1>;<502;100;1>;<521;100;1>>,,
1102,"
  1101- Limited Time God Beast
  Ascension Star Props Library
  ",<<501;100;1>>,,
1103,"
  1103- Limited Time -Limited Beast
  and Spirit Fragment Library
  ",<<20261;100;3>;<20331;100;3>;<20391;100;3>;<20491;0;3>;<20571;100;3>;<20591;100;3>;<20601;100;3>;<20631;100;3>;<20721;80;3>;<20731;80;3>;<20741;80;3>;<20751;0;3>;<20771;0;3>;<20881;100;3>;<21071;100;3>;<21171;100;3>;<21221;80;3>;<21231;80;3>;<21241;80;3>;<21251;100;3>;<21291;100;3>;<21301;0;3>;<21311;0;3>;<21391;100;3>;<21421;100;3>;<21501;100;3>;<21811;100;3>;<21841;100;3>;<21891;0;3>;<21901;0;3>;<22231;0;3>;<22721;0;3>;<22821;0;3>;<23001;0;3>;<23021;100;3>;<23141;100;3>;<23301;0;3>;<23351;100;3>;<23411;100;3>;<23541;100;3>;<20261;100;2>;<20331;100;2>;<20391;100;2>;<20491;0;2>;<20571;100;2>;<20591;100;2>;<20601;100;2>;<20631;100;2>;<20721;80;2>;<20731;80;2>;<20741;80;2>;<20751;0;2>;<20771;0;2>;<20881;100;2>;<21071;100;2>;<21171;100;2>;<21221;80;2>;<21231;80;2>;<21241;80;2>;<21251;100;2>;<21291;100;2>;<21301;0;2>;<21311;0;2>;<21391;100;2>;<21421;100;2>;<21501;100;2>;<21811;100;2>;<21841;100;2>;<21891;0;2>;<21901;0;2>;<22231;0;2>;<22721;0;2>;<22821;0;2>;<23001;0;2>;<23021;100;2>;<23141;100;2>;<23301;0;2>;<23351;100;2>;<23411;100;2>;<23541;100;2>>,,
,,,,
1105,"
  1105 -Limited Time Divine Beast
  Soul Box Universal Fragment Library
  ",<<502;150;1>;<502;100;2>;<521;100;1>>,,
1106,"
  1106 -Limited Time-Limited Divine
  Beast Soul Box Ascending Star Prop Library
  ",<<501;100;1>>,,
1107,"
  1107 -Limited time soul box item
  random library
  ",<<5000;100;15>;<gold;125;50000>;<501;100;1>;<14;125;8>;<452;225;20>;<602;120;5>;<603;60;2>;<604;120;5>;<605;60;2>;<935;200;1>>,,
,,,,
1111,"
  1111 - Groudon Fragment Vault
  ",<<21971;200;1>;<21971;100;2>;<21971;100;3>>,,
1112,"
  1112- Baby Dragon Fragment Library
  ",<<21891;200;2>;<21891;100;3>;<21891;50;4>>,,
1113,"
  Gulardo Card
  ",,<<{id=1971};100>>,
1114,"
  1111- Rogia Card
  ",,<<{id=1261};100>>,
1115,"
  1111-Lugia Fragment
  Library
  ",<<21261;200;1>;<21261;90;2>;<21261;55;3>>,,
1116,"
  1111 -Tian Shika Card
  ",,<<{id=3631};100>>,
1117,"
  1111-Tianxi Fragment Vault
  ",<<23631;200;1>;<23631;100;2>;<23631;60;3>>,,
1118,"
  1111 -Cracked empty seat card
  ",,<<{id=1981};100>>,
1119,"
  1111 -Split Empty Seat Fragment Library
  ",<<21981;200;1>;<21981;100;2>;<21981;60;3>>,,
1120,"
  Darklay Card
  ",,<<{id=2431};100>>,
1121,"
  1111 - Darkrai Fragment Vault
  ",<<22431;200;1>;<22431;100;2>;<22431;50;3>>,,
,,,,
1150,"
  Choose one - Gulardo Gaioka
  ",<<6151;100;1>>,,
1151,"
  Gurado Kyoka
  Fragment Vault
  ",<<6152;200;1>;<6152;100;2>;<6152;50;3>>,,
1152,"
  Choose one of the two - Dalei Tianxi
  ",<<6153;100;1>>,,
1153,"
  1151 - Darkrai Etianxi Fragment Vault
  ",<<6154;200;1>;<6154;100;2>;<6154;50;3>>,,
1154,"
  Choose one of the two - Regic Kaslogia
  ",<<6155;100;1>>,,
1155,"
  Regic Kaslogia Fragment Vault
  ",<<6156;200;1>;<6156;100;2>;<6156;50;3>>,,
1156,"
  Choose One - Dialga
  Cracked Seat
  ",<<6157;100;1>>,,
1157,"
  - Dialga Rift Seat Fragment
  Vault
  ",<<6158;200;1>;<6158;100;2>;<6158;50;3>>,,
1158,"
  Choose One - Palkia
  Gaioka
  ",<<6159;100;1>>,,
1159,"
  Palkia Kyoka
  Fragment Vault
  ",<<6160;200;1>;<6160;100;2>;<6160;50;3>>,,
1160,"
  Choose one of the two - Guradotianxi
  ",<<6161;100;1>>,,
1161,"
  Guradotianci Fragment Vault
  ",<<6162;200;1>;<6162;100;2>;<6162;50;3>>,,
1162,"
  Choose one from two - Darkrai Giratina
  ",<<6163;100;1>>,,
1163,"
  1151 - Darkrai Giratina Fragment
  Vault
  ",<<6164;200;1>;<6164;100;2>;<6164;50;3>>,,
1164,"
  One of Two - Regic
  Kassemi
  ",<<6165;100;1>>,,
1165,"
  - Regichkassemi Fragment Vault
  ",<<6166;200;1>;<6166;100;2>;<6166;50;3>>,,
1166,"
  Choose one of the two - Cracked Seat Rogia
  ",<<6167;100;1>>,,
1167,"
  - Cracked Seat Rogia Fragment Library
  ",<<6168;200;1>;<6168;100;2>;<6168;50;3>>,,
1168,"
  Choose one of two - Hupatialuca
  ",<<6169;100;1>>,,
1169,"
  1151 - Hupatia Luka Fragment
  Vault
  ",<<6170;200;1>;<6170;100;2>;<6170;50;3>>,,
1170,"
  Choose One - Palkiya
  Rahiram
  ",<<6171;100;1>>,,
1171,"
  Palkia Rahiram
  Fragment Vault
  ",<<6172;200;1>;<6172;100;2>;<6172;50;3>>,,
1172,"
  Choose one of the two - Cracked Seat Darkrai
  ",<<6173;100;1>>,,
1173,"
  Seat Darkrai Fragment Vault
  ",<<6174;200;1>;<6174;100;2>;<6174;50;3>>,,
1174,"
  Choose one of the two - electric dragon ghost dragon
  ",<<6175;100;1>>,,
1175,"
  1151 -Electric Dragon Ghost Dragon
  Fragment Library
  ",<<6176;200;1>;<6176;100;2>;<6176;50;3>>,,
1176,"
  Choose one of the two - Gurado Clay
  ",<<6177;100;1>>,,
1177,"
  1151 - Gurado Clay
  Fragment Vault
  ",<<6178;200;1>;<6178;100;2>;<6178;50;3>>,,
1178,"
  One of the two - Gaioka Regjickas
  ",<<6850;100;1>>,,
1179,"
  1151-Geokalejichikas Fragment Vault
  ",<<6851;200;1>;<6851;100;2>;<6851;50;3>>,,
1180,"
  Choose One - Kyurem
  Shemi
  ",<<6852;100;1>>,,
1181,"
  1151 - Kyurem Shemi
  Fragment Vault
  ",<<6853;200;1>;<6853;100;2>;<6853;50;3>>,,
1182,"
  Choose one of two - Tian Shirejickas
  ",<<6854;100;1>>,,
1183,"
  Choose one of the two - Tian Xiregichkas Fragment Library
  ",<<6855;200;1>;<6855;100;2>;<6855;50;3>>,,
1184,"
  Choose One - Melloyetahupa
  ",<<6856;100;1>>,,
1185,"
  Choose One - Meloeita
  Hoopa Fragment Library
  ",<<6857;200;1>;<6857;100;2>;<6857;50;3>>,,
1186,"
  Choose one of the two - Kiraqi / Rashiram
  ",<<6858;100;1>>,,
1187,"
  Choose one of the two - Kiraqi / Reshiram
  Fragment Library
  ",<<6859;200;1>;<6859;100;2>;<6859;50;3>>,,
1188,"
  Choose one of the two - Tianxi / Lugia
  ",<<6860;100;1>>,,
1189,"
  Choose one of the two - Tianxi / Lugia
  Fragment Library
  ",<<6861;200;1>;<6861;100;2>;<6861;50;3>>,,
,,,,
1200,"
  1200 -Limited time UP drawing card S -level
  card initial library
  ",,<<{id=631};100>;<{id=1241};80>;<{id=1311};100>;<{id=1391};80>;<{id=3351};80>>,
1201,"
  1201 -Limited time UP drawing card S -level
  card follow-up library
  ",,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};500>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};250>;<{id=1251};50>;<{id=1291};100>;<{id=1311};500>;<{id=1391};500>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};500>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1202,"
  1202 -Limited time UP drawing card S -level
  card initial library
  ",,<<{id=721};80>;<{id=3021};100>;<{id=1081};100>;<{id=3141};100>;<{id=1841};100>>,
1203,"
  1203 -Limited time UP drawing card S -level
  card ice evil follow-up library
  ",,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};250>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};500>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=3021};500>;<{id=3141};500>;<{id=3351};500>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1204,"
  1204 -Limited time UP drawing card S -level
  card fire system initial library
  ",,<<{id=741};80>;<{id=601};100>;<{id=1171};100>;<{id=241};100>;<{id=1231};100>>,
1205,"
  1205 -Limited time UP drawing card S -level
  card fire system follow-up library
  ",,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};500>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};250>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};500>;<{id=1221};50>;<{id=1231};250>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};500>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1206,"
  1206 -Limited time UP drawing card S -level
  card initial library - water and
  land system
  ",,<<{id=631};100>;<{id=1241};80>;<{id=1311};100>;<{id=2721};80>;<{id=491};80>>,
1207,"
  -Limited time UP drawing card
  S -level card follow-up library - Shuidi
  ",,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};500>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};500>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};250>;<{id=1251};50>;<{id=1291};100>;<{id=1311};500>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};500>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1208,"
  1208 -Limited time UP card draw S -level
  card initial library - electric system
  ",,<<{id=331};100>;<{id=731};80>;<{id=591};100>;<{id=881};100>;<{id=1221};80>>,
1209,"
  1209 -Limited time UP drawing card S -level
  card follow-up library - Electric system
  ",,<<{id=261};100>;<{id=331};500>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};500>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};250>;<{id=741};50>;<{id=881};500>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};250>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1210,"
  1210 -Limited time UP card draw S -level
  card initial library - Ice Fairy
  ",,<<{id=721};80>;<{id=3021};100>;<{id=1081};100>;<{id=1391};100>;<{id=3351};100>>,
1211,"
  1211 -Limited time UP drawing card S -level
  card follow-up library -- Ice Fairy
  ",,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};250>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};500>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};500>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};500>;<{id=3141};100>;<{id=3351};500>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1212,"
  -Limited time UP drawing card
  S - level card initial library - Gangyan series
  ",,<<{id=401};100>;<{id=491};100>;<{id=1251};80>;<{id=1501};100>;<{id=3411};100>>,
1213,"
  -Limited time UP drawing card
  S -level card follow-up library - Gangyan series
  ",,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};500>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};250>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};500>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};500>;<{id=241};100>;<{id=401};500>;<{id=3001};75>;<{id=2991};75>>,
1214,"
  1214 -Limited time UP card draw S - level
  card initial library - evil
  ",,<<{id=1081};80>;<{id=1171};100>;<{id=1841};100>;<{id=3141};100>;<{id=2721};100>>,
1215,"
  1215 -Limited time UP card draw S -level
  card follow-up library - evil
  ",,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};500>;<{id=1171};500>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};500>;<{id=3021};100>;<{id=3141};500>;<{id=3351};100>;<{id=3541};100>;<{id=1841};500>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1216,"
  1216 -Limited time UP card draw S -level
  card initial library - Cordyceps
  general system
  ",,<<{id=1071};100>;<{id=1421};100>;<{id=571};100>;<{id=1291};100>>,
1217,"
  1217 -Limited time UP drawing card S -level
  card follow-up library - Cordyceps
  general system
  ",,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};500>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};500>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};500>;<{id=1311};100>;<{id=1391};100>;<{id=1421};500>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};75>;<{id=2991};75>>,
1218,"
  1218 -Limited time UP card draw S -level
  card initial library - Super Dragon
  Psyche
  ",,<<{id=261};100>;<{id=391};100>;<{id=1391};100>;<{id=1811};100>;<{id=3541};80>;<{id=3001};80>>,
1219,"
  1219 -Limited time UP card draw S -level
  card follow-up library - Super Dragon
  Psyche
  ",,<<{id=261};500>;<{id=331};100>;<{id=391};500>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};100>;<{id=1221};50>;<{id=1231};50>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};500>;<{id=1421};100>;<{id=1501};100>;<{id=1811};500>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};400>;<{id=1841};100>;<{id=3411};100>;<{id=241};100>;<{id=401};100>;<{id=3001};300>;<{id=2991};75>>,
,,,,
1251,"
  1251 -Limited time UP drawing card S -level
  card fire system initial library - optional
  ",,<<{id=741};80>;<{id=601};100>;<{id=1171};100>;<{id=241};100>;<{id=1231};100>;<{id=2991};100>;<{id=3151};100>>,
1252,"
  1252 -Limited time UP drawing card S -level
  card fire system follow-up library - optional
  ",,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=491};100>;<{id=571};100>;<{id=591};100>;<{id=601};960>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};800>;<{id=881};100>;<{id=1071};100>;<{id=1081};100>;<{id=1171};960>;<{id=1221};50>;<{id=1231};800>;<{id=1241};50>;<{id=1251};50>;<{id=1291};100>;<{id=1311};100>;<{id=1391};100>;<{id=1421};100>;<{id=1501};100>;<{id=1811};100>;<{id=2721};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>;<{id=241};960>;<{id=401};100>;<{id=3001};75>;<{id=2991};960>;<{id=3661};100>;<{id=161};100>;<{id=2031};100>;<{id=1911};100>;<{id=1921};100>;<{id=1931};100>;<{id=2471};100>;<{id=3151};960>;<{id=3591};100>>,
1253,"
  1253 -Limited time UP drawing card S -level
  card initial library - water and
  land system - optional
  ",,<<{id=631};100>;<{id=1241};80>;<{id=1311};100>;<{id=2721};80>;<{id=491};80>;<{id=2031};100>>,
