"﻿变量名",sceneName,sceneName_tw,sceneName_en,sceneName_vn,sceneName_kr,_beizhu,languages,monsters,boss,icon,gateType,sceneType,roundLimit,backMusic,backGround,bg_boss,bg_boss_pos,openLevel,desc,sceneCount,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,limitType,limitArg,firstAward,firstAwardShow,saodangAward,saodangAwardShow,lowestFightingPoint,gateDesc,gateDesc_tw,gateDesc_en,gateDesc_vn,gateDesc_kr
100117,Stage 117,第117關,Stage 117,Thứ 117 Quan,스테이지 117,,,<{unitId=230393;level=199;advance=17};{unitId=221813;level=199;advance=17};{unitId=230393;level=199;advance=17};{unitId=230593;level=199;advance=17};{unitId=230593;level=199;advance=17}>,<{unitId=251117;level=199;advance=18}>,config/portrait/jinglingtouxiang1/img_384_lkz@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,199,525,525,,,,4,<<13;0;4%>;<24;0;4%>>,{gold=135000;451=30;502=1},<<gold;135000;1>;<451;30;1>;<502;1;1>>,{gold=4300;451=2;libs=<110;111>},<<gold;4300;0>;<451;1;1>;<452;1;1>>,274561,,,,,
100118,Stage 118,第118關,Stage 118,Thứ 118 Quan,스테이지 118,,,<{unitId=231313;level=201;advance=17};{unitId=221241;level=201;advance=17};{unitId=231313;level=201;advance=17};{unitId=230632;level=201;advance=17}>,<{unitId=251118;level=201;advance=18}>,config/portrait/jinglingtouxiang1/img_130_bll@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,201,529,529,,,,5,<<9;0;7%>;<10;0;7%>>,{gold=135000;451=30;rmb=100},<<gold;135000;1>;<451;30;1>;<rmb;100;1>>,{gold=4300;451=2;libs=<110;111>},<<gold;4300;0>;<451;1;1>;<452;1;1>>,274561,,,,,
100119,Stage 119,第119關,Stage 119,Thứ 119 Quan,스테이지 119,,,<{unitId=232302;level=203;advance=17};{unitId=230093;level=203;advance=17};{unitId=231853;level=203;advance=17};{unitId=230003;level=203;advance=17}>,<{unitId=251119;level=203;advance=18}>,config/portrait/jinglingtouxiang1/img_107_kql@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,203,533,533,,,,5,<<9;0;7%>;<10;0;7%>;<22;0;7%>>,{gold=135000;451=30;452=20},<<gold;135000;1>;<451;30;1>;<452;20;1>>,{gold=4300;451=2;libs=<110;111>},<<gold;4300;0>;<451;1;1>;<452;1;1>>,274561,,,,,
100120,Stage 120,第120關,Stage 120,Thứ 120 Quan,스테이지 120,boss,,<{unitId=232723;level=205;advance=17};{unitId=223631;level=205;advance=17};{unitId=232723;level=205;advance=17};{unitId=231971;level=205;advance=17};{unitId=231971;level=205;advance=17}>,<{unitId=251120;level=205;advance=18}>,config/portrait/jinglingtouxiang1/img_383_gld@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,205,537,537,,,,5,<<9;1;20%>;<10;1;20%>;<13;0;20%>>,{gold=135000;451=30;501=1},<<gold;135000;1>;<451;30;1>;<501;1;1>>,{gold=4300;452=2;libs=<110;111;112>},<<gold;4300;0>;<451;1;1>;<452;1;1>>,287432,"All elves' double attack is improved, and killing aura units gains double defense.",全體精靈雙攻得到提升，擊殺光環單位獲得雙防提升,"All elves' double attack is improved, and killing aura units gains double defense.",404404,"모든 포켓몬의 물리&특수 공격력이 증가하며, 아우라 유닛 처치 시 물리&특수 방어력이 증가한다"
100121,Stage 121,第121關,Stage 121,Thứ 121 Quan,스테이지 121,,,<{unitId=230273;level=207;advance=17};{unitId=220273;level=207;advance=17};{unitId=230273;level=207;advance=17};{unitId=230463;level=207;advance=17};{unitId=230463;level=207;advance=17}>,<{unitId=251121;level=207;advance=18}>,config/portrait/jinglingtouxiang1/img_106_ftl@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,207,541,541,,,,3,<<1;1;5%>>,{gold=140000;451=30;452=20},<<gold;140000;1>;<451;30;1>;<452;20;1>>,{gold=4400;451=2;libs=<110;111>},<<gold;4400;0>;<451;1;1>;<452;1;1>>,287432,,,,,
100122,Stage 122,第122關,Stage 122,Thứ 122 Quan,스테이지 122,,,<{unitId=231231;level=209;advance=17};{unitId=221221;level=209;advance=17};{unitId=231231;level=209;advance=17};{unitId=230731;level=209;advance=17};{unitId=230741;level=209;advance=17}>,<{unitId=251122;level=209;advance=18}>,config/portrait/jinglingtouxiang1/img_6_phlx@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,209,545,545,,,,4,<<1;0;5%>;<28;0;5%>>,{gold=140000;451=30;502=1},<<gold;140000;1>;<451;30;1>;<502;1;1>>,{gold=4400;451=2;libs=<110;111>},<<gold;4400;0>;<451;1;1>;<452;1;1>>,287432,,,,,
100123,Stage 123,第123關,Stage 123,Thứ 123 Quan,스테이지 123,,,<{unitId=230393;level=211;advance=17};{unitId=220394;level=211;advance=17};{unitId=230393;level=211;advance=17};{unitId=230753;level=211;advance=17};{unitId=230753;level=211;advance=17}>,<{unitId=251123;level=211;advance=18}>,config/portrait/jinglingtouxiang1/img_94_cjgg@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,211,549,549,,,,5,<<7;0;7%>;<8;0;7%>>,{gold=140000;451=30;rmb=100},<<gold;140000;1>;<451;30;1>;<rmb;100;1>>,{gold=4400;451=2;libs=<110;111>},<<gold;4400;0>;<451;1;1>;<452;1;1>>,287432,,,,,
100124,Stage 124,第124關,Stage 124,Thứ 124 Quan,스테이지 124,,,<{unitId=233283;level=213;advance=17};{unitId=223283;level=213;advance=17};{unitId=233283;level=213;advance=17};{unitId=230464;level=213;advance=17}>,<{unitId=251124;level=213;advance=18}>,config/portrait/jinglingtouxiang1/img_237_zwl@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,213,553,553,,,,5,<<1;0;7%>;<22;0;7%>>,{gold=140000;451=30;452=20},<<gold;140000;1>;<451;30;1>;<452;20;1>>,{gold=4400;451=2;libs=<110;111>},<<gold;4400;0>;<451;1;1>;<452;1;1>>,287432,,,,,
100125,Stage 125,第125關,Stage 125,Thứ 125 Quan,스테이지 125,boss,,<{unitId=230333;level=215;advance=17};{unitId=220303;level=215;advance=17};{unitId=230482;level=215;advance=17};{unitId=231443;level=215;advance=17};{unitId=231443;level=215;advance=17}>,<{unitId=251125;level=215;advance=18}>,config/portrait/jinglingtouxiang1/img_250_fw@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,215,557,557,,,,5,<<1;1;10%>;<7;0;10%>;<8;0;10%>>,{gold=140000;451=30;519=1},<<gold;140000;1>;<451;30;1>;<519;1;1>>,{gold=4400;452=1;libs=<110;111;112>},<<gold;4400;0>;<451;1;1>;<452;1;1>>,300303,Aura units can resist two attacks without being injured,光環單位可抵擋兩次攻擊不被受傷,Aura units can resist two attacks without being injured,404404,아우라 유닛은 두 번의 공격을 막아낼 수 있다
100126,Stage 126,第126關,Stage 126,Thứ 126 Quan,스테이지 126,,,<{unitId=230482;level=217;advance=18};{unitId=230482;level=217;advance=18};{unitId=230572;level=217;advance=18};{unitId=230572;level=217;advance=18}>,<{unitId=251126;level=217;advance=19}>,config/portrait/jinglingtouxiang1/img_110_sdws@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,217,561,561,,,,3,<<7;1;5%>;<8;1;5%>>,{gold=145000;451=30;452=20},<<gold;145000;1>;<451;30;1>;<452;20;1>>,{gold=4500;451=2;libs=<110;111>},<<gold;4500;0>;<451;1;1>;<452;1;1>>,300303,,,,,
100127,Stage 127,第127關,Stage 127,Thứ 127 Quan,스테이지 127,,,<{unitId=230333;level=219;advance=18};{unitId=220372;level=219;advance=18};{unitId=230333;level=219;advance=18};{unitId=233502;level=219;advance=18};{unitId=233502;level=219;advance=18}>,<{unitId=251127;level=219;advance=19}>,config/portrait/jinglingtouxiang1/img_15_cjdzf@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,219,565,565,,,,4,<<7;0;5%>;<8;0;5%>;<14;0;5%>>,{gold=145000;451=30;502=1},<<gold;145000;1>;<451;30;1>;<502;1;1>>,{gold=4500;451=2;libs=<110;111>},<<gold;4500;0>;<451;1;1>;<452;1;1>>,300303,,,,,
100128,Stage 128,第128關,Stage 128,Thứ 128 Quan,스테이지 128,,,<{unitId=233021;level=221;advance=18};{unitId=223021;level=221;advance=18};{unitId=233021;level=221;advance=18};{unitId=232303;level=221;advance=18};{unitId=232303;level=221;advance=18}>,<{unitId=251128;level=221;advance=19}>,config/portrait/jinglingtouxiang1/img_460_cjbxw@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,221,569,569,,,,5,<<7;0;7%>;<8;0;7%>>,{gold=145000;451=30;rmb=100},<<gold;145000;1>;<451;30;1>;<rmb;100;1>>,{gold=4500;451=2;libs=<110;111>},<<gold;4500;0>;<451;1;1>;<452;1;1>>,300303,,,,,
100129,Stage 129,第129關,Stage 129,Thứ 129 Quan,스테이지 129,,,<{unitId=230372;level=223;advance=18};{unitId=230372;level=223;advance=18};{unitId=231293;level=223;advance=18};{unitId=231293;level=223;advance=18}>,<{unitId=251129;level=223;advance=19}>,config/portrait/jinglingtouxiang1/img_89_ccn@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,223,573,573,,,,5,<<1;0;7%>;<22;0;7%>>,{gold=145000;451=30;452=20},<<gold;145000;1>;<451;30;1>;<452;20;1>>,{gold=4500;451=2;libs=<110;111>},<<gold;4500;0>;<451;1;1>;<452;1;1>>,300303,,,,,
100130,Stage 130,第130關,Stage 130,Thứ 130 Quan,스테이지 130,boss,,<{unitId=230761;level=225;advance=18};{unitId=221903;level=225;advance=18};{unitId=230761;level=225;advance=18};{unitId=231241;level=225;advance=18};{unitId=231241;level=225;advance=18}>,<{unitId=251130;level=225;advance=19}>,config/portrait/jinglingtouxiang1/img_150_cm@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,225,577,577,,,,5,<<1;1;20%>;<7;0;20%>;<8;0;20%>>,{gold=145000;451=30;501=1},<<gold;145000;1>;<451;30;1>;<501;1;1>>,{gold=4500;452=2;libs=<110;111;112>},<<gold;4500;0>;<451;1;1>;<452;1;1>>,343204,The boss will respawn from other monsters,首領會從其他怪物身上獲得重生,The boss will respawn from other monsters,404404,보스는 다른 몬스터를 통해 부활할 수 있다
100131,Stage 131,第131關,Stage 131,Thứ 131 Quan,스테이지 131,,,<{unitId=230082;level=227;advance=18};{unitId=230082;level=227;advance=18};{unitId=232683;level=227;advance=18};{unitId=230173;level=227;advance=18}>,<{unitId=251131;level=227;advance=19}>,config/portrait/jinglingtouxiang1/img_454_dzw@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,227,581,581,,,,3,<<9;1;5%>;<10;1;5%>>,{gold=150000;451=30;452=20},<<gold;150000;1>;<451;30;1>;<452;20;1>>,{gold=4600;451=2;libs=<110;111>},<<gold;4600;0>;<451;1;1>;<452;1;1>>,343204,,,,,
100132,Stage 132,第132關,Stage 132,Thứ 132 Quan,스테이지 132,,,<{unitId=233543;level=229;advance=18};{unitId=222233;level=229;advance=18};{unitId=233543;level=229;advance=18};{unitId=231893;level=229;advance=18};{unitId=231893;level=229;advance=18}>,<{unitId=251132;level=229;advance=19}>,config/portrait/jinglingtouxiang1/img_445_lyls@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,229,585,585,,,,4,<<9;0;5%>;<10;0;5%>;<17;0;5%>>,{gold=150000;451=30;502=1},<<gold;150000;1>;<451;30;1>;<502;1;1>>,{gold=4600;451=2;libs=<110;111>},<<gold;4600;0>;<451;1;1>;<452;1;1>>,343204,,,,,
100133,Stage 133,第133關,Stage 133,Thứ 133 Quan,스테이지 133,,,<{unitId=230263;level=231;advance=18};{unitId=221903;level=231;advance=18};{unitId=230771;level=231;advance=18};{unitId=231393;level=231;advance=18};{unitId=231393;level=231;advance=18}>,<{unitId=251133;level=231;advance=19}>,config/portrait/jinglingtouxiang1/img_282_snd@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,231,589,589,,,,5,<<9;0;7%>;<10;0;7%>>,{gold=150000;451=30;rmb=100},<<gold;150000;1>;<451;30;1>;<rmb;100;1>>,{gold=4600;451=2;libs=<110;111>},<<gold;4600;0>;<451;1;1>;<452;1;1>>,343204,,,,,
100134,Stage 134,第134關,Stage 134,Thứ 134 Quan,스테이지 134,,,<{unitId=230173;level=233;advance=18};{unitId=230173;level=233;advance=18};{unitId=232683;level=233;advance=18};{unitId=232683;level=233;advance=18}>,<{unitId=251134;level=233;advance=19}>,config/portrait/jinglingtouxiang1/img_545_wgw@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,233,593,593,,,,5,<<9;0;7%>;<10;0;7%>;<24;0;7%>>,{gold=150000;451=30;452=20},<<gold;150000;1>;<451;30;1>;<452;20;1>>,{gold=4600;451=2;libs=<110;111>},<<gold;4600;0>;<451;1;1>;<452;1;1>>,343204,,,,,
100135,Stage 135,第135關,Stage 135,Thứ 135 Quan,스테이지 135,boss,,<{unitId=230753;level=235;advance=18};{unitId=223543;level=235;advance=18};{unitId=230753;level=235;advance=18};{unitId=231893;level=235;advance=18};{unitId=231893;level=235;advance=18}>,<{unitId=251135;level=235;advance=19}>,config/portrait/jinglingtouxiang1/img_373_bfl@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,235,597,597,,,,5,<<9;1;10%>;<10;1;10%>;<7;0;10%>>,{gold=150000;451=30;519=1},<<gold;150000;1>;<451;30;1>;<519;1;1>>,{gold=4600;452=1;libs=<110;111;112>},<<gold;4600;0>;<451;1;1>;<452;1;1>>,386104,"When the elf enters the battlefield and gets a heavy blow, killing the aura unit will restore a certain amount of health",精靈入場獲得重創，擊殺光環單位會恢復一定血量,"When the elf enters the battlefield and gets a heavy blow, killing the aura unit will restore a certain amount of health",404404,"포켓몬 입장 시 중상을 입히고, 아우라 유닛 처치 시 일정 HP를 회복한다"
100136,Stage 136,第136關,Stage 136,Thứ 136 Quan,스테이지 136,,,<{unitId=230303;level=237;advance=19};{unitId=230303;level=237;advance=19};{unitId=233342;level=237;advance=19};{unitId=233342;level=237;advance=19}>,<{unitId=251136;level=237;advance=20}>,config/portrait/jinglingtouxiang1/img_76_lly@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,237,601,601,,,,3,<<13;1;5%>>,{gold=155000;451=30;452=20},<<gold;155000;1>;<451;30;1>;<452;20;1>>,{gold=4700;451=2;libs=<110;111>},<<gold;4700;0>;<451;1;1>;<452;1;1>>,386104,,,,,
100137,Stage 137,第137關,Stage 137,Thứ 137 Quan,스테이지 137,,,<{unitId=230741;level=239;advance=19};{unitId=231231;level=239;advance=19};{unitId=231303;level=239;advance=19};{unitId=231303;level=239;advance=19}>,<{unitId=251137;level=239;advance=20}>,config/portrait/jinglingtouxiang1/img_6_phlx@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,239,605,605,,,,4,<<13;0;5%>;<24;0;5%>>,{gold=155000;451=30;502=1},<<gold;155000;1>;<451;30;1>;<502;1;1>>,{gold=4700;451=2;libs=<110;111>},<<gold;4700;0>;<451;1;1>;<452;1;1>>,386104,,,,,
100138,Stage 138,第138關,Stage 138,Thứ 138 Quan,스테이지 138,,,<{unitId=231813;level=241;advance=19};{unitId=231813;level=241;advance=19};{unitId=233143;level=241;advance=19};{unitId=233143;level=241;advance=19}>,<{unitId=251138;level=241;advance=20}>,config/portrait/jinglingtouxiang1/img_94_cjgg@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,241,609,609,,,,5,<<9;0;7%>;<10;0;7%>>,{gold=155000;451=30;rmb=100},<<gold;155000;1>;<451;30;1>;<rmb;100;1>>,{gold=4700;451=2;libs=<110;111>},<<gold;4700;0>;<451;1;1>;<452;1;1>>,386104,,,,,
100139,Stage 139,第139關,Stage 139,Thứ 139 Quan,스테이지 139,,,<{unitId=230721;level=243;advance=19};{unitId=223021;level=243;advance=19};{unitId=230721;level=243;advance=19};{unitId=231082;level=243;advance=19};{unitId=231082;level=243;advance=19}>,<{unitId=251139;level=243;advance=20}>,config/portrait/jinglingtouxiang1/img_699_bxjl@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,243,613,613,,,,5,<<9;0;7%>;<10;0;7%>;<24;0;7%>>,{gold=155000;451=30;452=20},<<gold;155000;1>;<451;30;1>;<452;20;1>>,{gold=4700;451=2;libs=<110;111>},<<gold;4700;0>;<451;1;1>;<452;1;1>>,386104,,,,,
100140,Stage 140,第140關,Stage 140,Thứ 140 Quan,스테이지 140,boss,,<{unitId=230393;level=245;advance=19};{unitId=221241;level=245;advance=19};{unitId=231813;level=245;advance=19};{unitId=230593;level=245;advance=19};{unitId=230593;level=245;advance=19}>,<{unitId=251140;level=245;advance=20}>,config/portrait/jinglingtouxiang1/img_384_lkz@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,245,617,617,,,,5,<<9;1;20%>;<10;1;20%>;<8;0;20%>>,{gold=155000;451=30;501=1},<<gold;155000;1>;<451;30;1>;<501;1;1>>,{gold=4700;452=2;libs=<110;111;112>},<<gold;4700;0>;<451;1;1>;<452;1;1>>,386104,"The overall control rate of the monster is increased, killing the aura unit clears the effect",怪物全體控制率提升，擊殺光環單位清除該效果,"The overall control rate of the monster is increased, killing the aura unit clears the effect",404404,"모든 몬스터의 제어율이 증가하며, 아우라 유닛을 처치하면 해당 효과가 디스펠된다"
100141,Stage 141,第141關,Stage 141,Thứ 141 Quan,스테이지 141,,,<{unitId=230593;level=247;advance=19};{unitId=220593;level=247;advance=19};{unitId=230593;level=247;advance=19};{unitId=230133;level=247;advance=19}>,<{unitId=251141;level=247;advance=20}>,config/portrait/jinglingtouxiang1/img_36_pkx@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,247,621,621,,,,3,<<1;1;5%>>,{gold=160000;451=30;452=20},<<gold;160000;1>;<451;30;1>;<452;20;1>>,{gold=4800;451=2;libs=<110;111>},<<gold;4800;0>;<451;1;1>;<452;1;1>>,386104,,,,,
100142,Stage 142,第142關,Stage 142,Thứ 142 Quan,스테이지 142,,,<{unitId=232272;level=249;advance=19};{unitId=220303;level=249;advance=19};{unitId=232272;level=249;advance=19};{unitId=231841;level=249;advance=19};{unitId=231841;level=249;advance=19}>,<{unitId=251142;level=249;advance=20}>,config/portrait/jinglingtouxiang1/img_15_cjdzf@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,249,625,625,,,,4,<<1;0;5%>;<28;0;5%>>,{gold=160000;451=30;502=1},<<gold;160000;1>;<451;30;1>;<502;1;1>>,{gold=4800;451=2;libs=<110;111>},<<gold;4800;0>;<451;1;1>;<452;1;1>>,386104,,,,,
100143,Stage 143,第143關,Stage 143,Thứ 143 Quan,스테이지 143,,,<{unitId=232303;level=251;advance=19};{unitId=232303;level=251;advance=19};{unitId=233143;level=251;advance=19};{unitId=231082;level=251;advance=19}>,<{unitId=251143;level=251;advance=20}>,config/portrait/jinglingtouxiang1/img_460_cjbxw@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,251,629,629,,,,5,<<27;0;7%>;<24;0;7%>>,{gold=160000;451=30;rmb=100},<<gold;160000;1>;<451;30;1>;<rmb;100;1>>,{gold=4800;451=2;libs=<110;111>},<<gold;4800;0>;<451;1;1>;<452;1;1>>,386104,,,,,
100144,Stage 144,第144關,Stage 144,Thứ 144 Quan,스테이지 144,,,<{unitId=233432;level=253;advance=19};{unitId=233432;level=253;advance=19};{unitId=231394;level=253;advance=19};{unitId=231394;level=253;advance=19}>,<{unitId=251144;level=253;advance=20}>,config/portrait/jinglingtouxiang1/img_685_ptn@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,253,633,633,,,,5,<<1;0;7%>;<24;0;7%>>,{gold=160000;451=30;452=20},<<gold;160000;1>;<451;30;1>;<452;20;1>>,{gold=4800;451=2;libs=<110;111>},<<gold;4800;0>;<451;1;1>;<452;1;1>>,386104,,,,,
100145,Stage 145,第145關,Stage 145,Thứ 145 Quan,스테이지 145,boss,,<{unitId=230883;level=255;advance=19};{unitId=220883;level=255;advance=19};{unitId=230731;level=255;advance=19};{unitId=230883;level=255;advance=19};{unitId=230731;level=255;advance=19}>,<{unitId=251145;level=255;advance=20}>,config/portrait/jinglingtouxiang1/img_376_jjg@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,255,637,637,,,,5,<<27;0;10%>;<24;0;10%>>,{gold=160000;451=30;519=1},<<gold;160000;1>;<451;30;1>;<519;1;1>>,{gold=4800;452=1;libs=<110;111;112>},<<gold;4800;0>;<451;1;1>;<452;1;1>>,429005,The electric monster will continue to recharge the giant gold monster,電系怪物會持續為巨金怪充能,The electric monster will continue to recharge the giant gold monster,404404,전기 타입 몬스터는 지속적으로 메타그로스의 에너지를 충전해준다
100146,Stage 146,第146關,Stage 146,Thứ 146 Quan,스테이지 146,,,<{unitId=230072;level=257;advance=20};{unitId=221241;level=257;advance=20};{unitId=230072;level=257;advance=20};{unitId=232683;level=257;advance=20};{unitId=232683;level=257;advance=20}>,<{unitId=251146;level=257;advance=21}>,config/portrait/jinglingtouxiang1/img_701_sjyr@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,257,641,641,,,,3,<<7;1;5%>;<8;1;5%>>,{gold=165000;451=30;452=20},<<gold;165000;1>;<451;30;1>;<452;20;1>>,{gold=4900;451=2;libs=<110;111>},<<gold;4900;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100147,Stage 147,第147關,Stage 147,Thứ 147 Quan,스테이지 147,,,<{unitId=230263;level=259;advance=20};{unitId=230263;level=259;advance=20};{unitId=232073;level=259;advance=20};{unitId=220093;level=259;advance=20};{unitId=232073;level=259;advance=20}>,<{unitId=251147;level=259;advance=21}>,config/portrait/jinglingtouxiang1/img_65_cjhd@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,259,645,645,,,,4,<<7;0;5%>;<8;0;5%>;<14;0;5%>>,{gold=165000;451=30;502=1},<<gold;165000;1>;<451;30;1>;<502;1;1>>,{gold=4900;451=2;libs=<110;111>},<<gold;4900;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100148,Stage 148,第148關,Stage 148,Thứ 148 Quan,스테이지 148,,,<{unitId=231241;level=261;advance=20};{unitId=221313;level=261;advance=20};{unitId=230632;level=261;advance=20};{unitId=233303;level=261;advance=20};{unitId=233303;level=261;advance=20}>,<{unitId=251148;level=261;advance=21}>,config/portrait/jinglingtouxiang1/img_382_gok@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,261,649,649,,,,5,<<27;0;7%>;<24;0;7%>>,{gold=165000;451=30;rmb=100},<<gold;165000;1>;<451;30;1>;<rmb;100;1>>,{gold=4900;451=2;libs=<110;111>},<<gold;4900;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100149,Stage 149,第149關,Stage 149,Thứ 149 Quan,스테이지 149,,,<{unitId=230692;level=263;advance=20};{unitId=221971;level=263;advance=20};{unitId=230692;level=263;advance=20};{unitId=231172;level=263;advance=20};{unitId=231172;level=263;advance=20}>,<{unitId=251149;level=263;advance=21}>,config/portrait/jinglingtouxiang1/img_141_ldk@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,263,653,653,,,,5,<<1;0;7%>;<24;0;7%>>,{gold=165000;451=30;452=20},<<gold;165000;1>;<451;30;1>;<452;20;1>>,{gold=4900;451=2;libs=<110;111>},<<gold;4900;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100150,Stage 150,第150關,Stage 150,Thứ 150 Quan,스테이지 150,boss,,<{unitId=233631;level=265;advance=20};{unitId=221971;level=265;advance=20};{unitId=230771;level=265;advance=20};{unitId=230761;level=265;advance=20};{unitId=230263;level=265;advance=20}>,<{unitId=251150;level=265;advance=21}>,config/portrait/jinglingtouxiang1/img_249_lqy@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,265,657,657,,,,5,<<27;0;20%>;<24;0;20%>>,{gold=165000;451=30;501=1},<<gold;165000;1>;<451;30;1>;<501;1;1>>,{gold=4900;452=2;libs=<110;111;112>},<<gold;4900;0>;<451;1;1>;<452;1;1>>,429005,"All elves enter the game with double defenses reduced, killing aura units clears the effect",全體精靈入場雙防降低，擊殺光環單位清除該效果,"All elves enter the game with double defenses reduced, killing aura units clears the effect",404404,"모든 포켓몬의 제어율이 증가하며, 아우라 유닛을 처치하면 해당 효과가 디스펠된다"
100151,Stage 151,第151關,Stage 151,Thứ 151 Quan,스테이지 151,,,<{unitId=231501;level=267;advance=21};{unitId=220493;level=267;advance=21};{unitId=230023;level=267;advance=21};{unitId=231303;level=267;advance=21};{unitId=231303;level=267;advance=21}>,<{unitId=251151;level=267;advance=22}>,config/portrait/jinglingtouxiang1/img_464_cjkx@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,267,662,662,,,,3,<<9;1;5%>;<10;1;5%>>,{gold=170000;451=30;452=20},<<gold;170000;1>;<451;30;1>;<452;20;1>>,{gold=5000;451=2;libs=<110;111>},<<gold;5000;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100152,Stage 152,第152關,Stage 152,Thứ 152 Quan,스테이지 152,,,<{unitId=233283;level=269;advance=21};{unitId=223283;level=269;advance=21};{unitId=233283;level=269;advance=21};{unitId=230783;level=269;advance=21};{unitId=230783;level=269;advance=21}>,<{unitId=251152;level=269;advance=22}>,config/portrait/jinglingtouxiang1/img_154_dzk@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,269,667,667,,,,4,<<9;0;5%>;<10;0;5%>;<17;0;5%>>,{gold=170000;451=30;502=1},<<gold;170000;1>;<451;30;1>;<502;1;1>>,{gold=5000;451=2;libs=<110;111>},<<gold;5000;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100153,Stage 153,第153關,Stage 153,Thứ 153 Quan,스테이지 153,,,<{unitId=230462;level=271;advance=21};{unitId=220463;level=271;advance=21};{unitId=230464;level=271;advance=21};{unitId=233511;level=271;advance=21};{unitId=232633;level=271;advance=21}>,<{unitId=251153;level=271;advance=22}>,config/portrait/jinglingtouxiang1/img_68_gl@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,271,672,672,,,,5,<<1;0;7%>;<24;0;7%>>,{gold=170000;451=30;rmb=100},<<gold;170000;1>;<451;30;1>;<rmb;100;1>>,{gold=5000;451=2;libs=<110;111>},<<gold;5000;0>;<451;1;1>;<452;1;1>>,429005,,,,,
100154,Stage 154,第154關,Stage 154,Thứ 154 Quan,스테이지 154,,,<{unitId=233562;level=273;advance=21};{unitId=222923;level=273;advance=21};{unitId=232924;level=273;advance=21};{unitId=230452;level=273;advance=21};{unitId=233562;level=273;advance=21}>,<{unitId=251154;level=273;advance=22}>,config/portrait/jinglingtouxiang1/img_587_dfs@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,273,677,677,,,,5,<<27;0;7%>;<24;0;7%>>,{gold=170000;451=30;452=20},<<gold;170000;1>;<451;30;1>;<452;20;1>>,{gold=5000;451=2;libs=<110;111>},<<gold;5000;0>;<451;1;1>;<452;1;1>>,429005,,,,,
