"﻿变量名",_mailType,tab,icon,sender,sender_tw,sender_en,sender_vn,sender_kr,subject,subject_tw,subject_en,subject_vn,subject_kr,content,content_tw,content_en,content_vn,content_kr,attachs,special
31,Combat Power Ranking Combat Power Reward Mail,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Combat power reward mail,戰力排行戰力獎勵郵件,Combat power reward mail,404404,전투력 순위-전투력 보상 우편,"Dear trainers: \n    Your performance in the combat power ranking was amazing! As of 21:30, rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",親愛的小夥伴:\n    您在戰力排行中的表現精彩絕倫，截止到今天21:30，戰力獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers: \n    Your performance in the combat power ranking was amazing! As of 21:30, rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",404404,트레이너님: \n   전투력 순위에서 멋진 활약을 펼치셨군요. 오늘 21:30까지의 전투력 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
32,Newbie welcome email,2,,Agumon,亞古獸,Agumon,404404,아구몬,Welcome to the Digital World,歡迎您來到數碼世界,Welcome to the Digital World,404404,포켓몬 세계에 오신 것을 환영합니다,"Dear trainer: \n Welcome to the mysterious and interesting digital world. This is a gift for you, we hope it can help you in youre adventure. \n Happy gaming!",親愛的小夥伴:\n    歡迎您加入神秘有趣的數碼世界，這是一點小禮物，希望能在今後的旅途中幫助到你。\n    祝您遊戲愉快!,"Dear trainer: \n Welcome to the mysterious and interesting digital world. This is a gift for you, we hope it can help you in youre adventure. \n Happy gaming!",404404,트레이너님: \n   신비한 포켓몬 세계에 오신 것을 환영합니다. 환영의 뜻으로 작은 선물을 준비했습니다. 부디 앞으로의 여정에 도움이 되길 바랍니다. \n   즐거운 게임 되시길 바랍니다!,{rmb=188;gold=10000;11=50},
33,Time-limited mythical beast ranking rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Time-limited Legendary Pokémon Rewards,限時神獸排名獎勵,Time-limited Legendary Pokémon Rewards,404404,한정 전설 순위 보상,Dear trainer:\n    Congratulations for ranking No. %d in the time-limited Legendary Pokémon Event. Please check your mail to claim the rewards.\n    Happy gaming!,親愛的小夥伴:\n    恭喜您在限時神獸活動中獲得第%d名，這是為您發送的獎勵，請注意查收。\n    祝您遊戲愉快!,Dear trainer:\n    Congratulations for ranking No. %d in the time-limited Legendary Pokémon Event. Please check your mail to claim the rewards.\n    Happy gaming!,404404,트레이너님: \n   축하합니다. 한정 전설의 포켓몬 이벤트에서 %d위를 달성했습니다. 보상을 우편으로 전달합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,TRUE
34,Insufficient rewards for time-limited mythical beast ranking points,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Time-limited Legendary Pokémon Rewards,限時神獸排名獎勵,Time-limited Legendary Pokémon Rewards,404404,한정 전설 순위 보상,"Dear trainer:\n    Congratulations for ranking No. %d in the time-limited Legendary Pokémon Event, as the No. of points you earned have not met the requirements, here are the rewards you've received. Please check your mail to claim them.\n    Happy gaming!",親愛的小夥伴:\n    恭喜您在限時神獸活動中獲得第%d名，由於積分未達到指定要求，這是為您發送的獎勵，請注意查收。\n    祝您遊戲愉快!,"Dear trainer:\n    Congratulations for ranking No. %d in the time-limited Legendary Pokémon Event, as the No. of points you earned have not met the requirements, here are the rewards you've received. Please check your mail to claim them.\n    Happy gaming!",404404,트레이너님: \n   축하합니다. 한정 전설의 포켓몬 이벤트에서 %d위를 달성했습니다. 아쉽게도 포인트 조건을 달성하지 못했습니다. 보상을 우편으로 전달합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,TRUE
35,Elemental Challenge Completion Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Elemental Challenge Completion Rewards,元素挑戰完成獎勵,Elemental Challenge Completion Rewards,404404,엘리멘탈 챌린지 완료 보상,Dear trainers:\n    Congratulations! There are %d members in your team who have successfully clear the Element Challenge! This are the rewards for you!\n    Happy gaming!,親愛的小夥伴:\n    恭喜您所在的元素挑戰隊伍有%d人成功完成挑戰，這是為您發送的獎勵，請注意查收\n    祝您遊戲愉快!,Dear trainers:\n    Congratulations! There are %d members in your team who have successfully clear the Element Challenge! This are the rewards for you!\n    Happy gaming!,404404,트레이너님: \n   축하합니다. 엘리멘탈 챌린지 소속 파티에서 %d명이 도전에 성공했습니다. 보상을 우편으로 전달합니다. 제때 수령해 주세요.\n   즐거운 게임 되시길 바랍니다!,,
36,Guild Dungeon Damage Ranking Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,union Dungeon Damage Ranking Reward,公會副本傷害排行獎勵,union Dungeon Damage Ranking Reward,404404,길드 던전 피해 순위 보상,"Dear trainers: \n    Congratulations! You rank number %d in damage dealt at the union's %s dungeon and contributed %d damage. Please claim your rewards in the mail. Other members, keep up the good work and see you soon at the top.\n    Good luck!",親愛的小夥伴:\n    恭喜您在公會%s副本傷害排行中獲得第%d名，貢獻了%d點傷害，傷害排行獎勵已隨郵件發送，請及時查收。望其他成員再接再厲，勇攀高峰。\n    祝您遊戲愉快!,"Dear trainers: \n    Congratulations! You rank number %d in damage dealt at the union's %s dungeon and contributed %d damage. Please claim your rewards in the mail. Other members, keep up the good work and see you soon at the top.\n    Good luck!",404404,"""트레이너님: \n   축하합니다. 길드 %s 던전의 피해 순위에서 %d위를 달성하였으며, %d의 피해를 입혔습니다. 피해 순위 보상을 우편으로 지급합니다. 제때 수령해 주세요. 다른 트레이너들도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
37,Additional Guild Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,union Dungeon additional rewards,公會副本額外獎勵,union Dungeon additional rewards,404404,길드 던전 추가 보상,"Dear trainers:\n    Your performance in %s's union Dungeon event was amazing! The random Boss SP.ATK damage rewards have been sent to your mail, please check and claim it. \n Other members, keep up the good work and see you soon at the top.\n    Happy gaming!",親愛的小夥伴:\n    您在公會%s副本中的表現精彩絕倫，BOSS特殊傷害隨機獎勵已隨郵件發送，請及時查收。望其他成員再接再厲，勇攀高峰。\n    祝您遊戲愉快!,"Dear trainers:\n    Your performance in %s's union Dungeon event was amazing! The random Boss SP.ATK damage rewards have been sent to your mail, please check and claim it. \n Other members, keep up the good work and see you soon at the top.\n    Happy gaming!",404404,트레이너님: \n   길드 %s 던전에서 멋진 활약을 펼치셨군요. 보스의 특수 피해 랜덤 보상을 우편으로 지급합니다. 제때 수령해 주세요. 다른 트레이너들도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
38,Quartz Conference Battle Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Indigo Plateau Conference Victory Rewards,石英大會勝利獎勵,Indigo Plateau Conference Victory Rewards,404404,석영 대회 승리 보상,Dear trainer:\n You've achieved %d victories and %d defeats and earned %d points in the Indigo Plateau Conference. Please check your mail to claim the rewards.\n    Happy gaming!,親愛的小夥伴:\n    您在石英大會中取得%d勝%d負，%d積分的戰績，戰鬥獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainer:\n You've achieved %d victories and %d defeats and earned %d points in the Indigo Plateau Conference. Please check your mail to claim the rewards.\n    Happy gaming!,404404,"""트레이너님: \n   석영 대회에서 %d승 %d패, %d포인트의 전적을 달성하였으며, 전투 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
39,Quartz Conference Ranking Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Indigo Plateau Conference Ranking Rewards,石英大會排名獎勵,Indigo Plateau Conference Ranking Rewards,404404,석영 대회 순위 보상,Dear trainer: \n    Congratulations for achieving rank No. %d in the Indigo Plateau Conference! Please check your mail to receive your ranking rewards. Do keep up the good work and see you soon at the top.\n    Happy gaming!,親愛的小夥伴:\n    恭喜您在石英大會中獲得第%d名，排名獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear trainer: \n    Congratulations for achieving rank No. %d in the Indigo Plateau Conference! Please check your mail to receive your ranking rewards. Do keep up the good work and see you soon at the top.\n    Happy gaming!,404404,"""트레이너님: \n   축하합니다. 석영 대회에서 %d위를 달성하였으며, 순위 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
40,Quartz Conference Betting Champion Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Indigo Plateau Conference Betting Rewards,石英大會下注獎勵,Indigo Plateau Conference Betting Rewards,404404,석영 대회 베팅 보상,"Dear trainers:\n    Congratulations for making the right guess, %s is the winner of the Indigo Plateau Conference! Please check your mail to receive your betting rewards.\n    Happy gaming!",親愛的小夥伴:\n    恭喜您在石英大會中成功預測%s奪冠，下注獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers:\n    Congratulations for making the right guess, %s is the winner of the Indigo Plateau Conference! Please check your mail to receive your betting rewards.\n    Happy gaming!",404404,"""트레이너님: \n   축하합니다. 석영 대회에서 %s의 우승 예측에 성공하였으며, 베팅 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
41,Quartz conference betting top eight rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Indigo Plateau Conference Betting Returns,石英大會下注返還,Indigo Plateau Conference Betting Returns,404404,석영 대회 베팅 반환,"Dear trainers: \n    %s you bet on has entered the quarterfinals in the Indigo Plateau Conference. You get half of your bet back, please check.\n    Happy gaming!",親愛的小夥伴:\n    您所投注的%s在石英大會中進入八強，返還一半下注金額，請及時查收。\n    祝您遊戲愉快!,"Dear trainers: \n    %s you bet on has entered the quarterfinals in the Indigo Plateau Conference. You get half of your bet back, please check.\n    Happy gaming!",404404,트레이너님: \n   축하합니다. 베팅하신 %s 님이 석영 대회에서 8강에 진출해 절반의 베팅 금액을 반환합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
42,Quartz Conference Betting Results,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Indigo Plateau Conference Winner Betting Results,石英大會下注結果,Indigo Plateau Conference Winner Betting Results,404404,석영 대회 베팅 결과,Dear trainers: \n    You bet on %s but unfortunately they did not enter the Top 8. What a pity!\n    Better luck next time!,親愛的小夥伴:\n    您所投注的%s在石英大會中沒有進入八強，非常遺憾!\n    祝您遊戲愉快!,Dear trainers: \n    You bet on %s but unfortunately they did not enter the Top 8. What a pity!\n    Better luck next time!,404404,트레이너님: \n   아쉽게도 베팅하신 %s 님이 석영 대회에서 8강에 진출하지 못했습니다. \n   즐거운 게임 되시길 바랍니다!,,
43,title obtained,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,You obtain the title,頭銜獲得,You obtain the title,404404,칭호 획득,"Dear trainer:\n    Congratulation for getting %s, use your title in the title book!",親愛的小夥伴:\n    恭喜您奪得%s，快去稱號簿裡使用頭銜吧!\n    競技場每天21點重置頭銜，跨服競技場、跨服商業街賽季中每日22:00以及季終時重置頭銜，釣魚大賽每期23:00階段，其他排行榜類每天5點重置頭銜，請再接再勵保持排名～,"Dear trainer:\n    Congratulation for getting %s, use your title in the title book!",404404,"트레이너님: \n   축하합니다. %s 탈환에 성공했습니다. 어서 칭호 메뉴에서 사용하세요! \n   일반 랭킹 순위  매일 0시에 칭호가 초기화되며, 다른 시스템의 리셋 시간은 규칙을 클릭하여 확인할 수 있습니다. 순위를 지킬 수 있도록 분발하세요.",,
44,title streak,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Title Consecutive Battle,頭銜連擂,Title Consecutive Battle,404404,칭호 도전,Dear trainer:\n    Congratulations for achieving a winning streak against %s\n    Happy gaming!,親愛的小夥伴:\n    恭喜您成功連擂%s\n    祝您遊戲愉快!,Dear trainer:\n    Congratulations for achieving a winning streak against %s\n    Happy gaming!,404404,트레이너님: \n   축하합니다. %s 연속 제패에 성공했습니다\n   즐거운 게임 되시길 바랍니다!,,
45,Guild Battle Qualifier Registration Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,union War Qualifiers Registration,公會戰預選賽報名,union War Qualifiers Registration,404404,길드전 예선전 참가,Dear trainer: \n    This is the reward for registering for the union War qualifiers!\n    Happy gaming!,親愛的小夥伴:\n    這是您的公會戰預選賽報名獎勵!\n    祝您遊戲愉快!,Dear trainer: \n    This is the reward for registering for the union War qualifiers!\n    Happy gaming!,404404,트레이너님: \n   길드전 예선전 참가 보상을 지급합니다. \n   즐거운 게임 되시길 바랍니다!,,
46,Guild Battle Competition Registration Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,union War Finals Registration,公會戰決賽報名,union War Finals Registration,404404,길드전 결승전 참가,Dear trainer: \n    This is the reward for registering for the union War finals!\n    Happy gaming!,親愛的小夥伴:\n    這是您的公會戰決賽報名獎勵!\n    祝您遊戲愉快!,Dear trainer: \n    This is the reward for registering for the union War finals!\n    Happy gaming!,404404,트레이너님: \n   길드전 결승전 참가 보상을 지급합니다. \n   즐거운 게임 되시길 바랍니다!,,
47,Guild War Victory Reward,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,union War Victory,公會戰勝利,union War Victory,404404,길드전 승리,Dear trainer: \n You achieved %d victories in this round of union War. This is your reward (up to 6 rewards per day)!\n Happy gaming!,親愛的小夥伴:\n    您此次公會戰勝利%d場，這是您的獎勵（單日獎勵上限為6個）!\n    祝您遊戲愉快!,Dear trainer: \n You achieved %d victories in this round of union War. This is your reward (up to 6 rewards per day)!\n Happy gaming!,404404,트레이너님: \n   이번 길드전에서 %d회 승리했습니다. 다음 보상을 지급합니다(단일 보상 한도는 6개입니다). \n   즐거운 게임 되시길 바랍니다!,,
48,Guild Battle Guild Ranking Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,union War Ranking,公會戰公會排名,union War Ranking,404404,길드전 길드 순위,Dear trainer:\n    You've achieved rank %d in this round of union War. This are your rewards! \n Happy gaming!,親愛的小夥伴:\n    您此次公會戰所在的公會排名為第%d名，這是您的獎勵!\n    祝您遊戲愉快!,Dear trainer:\n    You've achieved rank %d in this round of union War. This are your rewards! \n Happy gaming!,404404,트레이너님: \n   이번 길드전에서 소속 길드가 %d위를 달성했습니다. 다음 보상을 지급합니다. \n   즐거운 게임 되시길 바랍니다!,,
49,Guild Wars Betting Champion Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,union War betting rewards,公會戰下注獎勵,union War betting rewards,404404,길드전 베팅 보상,"Dear trainers:\n    Congratulations for making the right guess, %s is the winner of the union War! Please check your mail to receive your betting rewards.\n    Happy gaming!",親愛的小夥伴:\n    恭喜您在公會戰中成功預測%s奪冠，下注獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers:\n    Congratulations for making the right guess, %s is the winner of the union War! Please check your mail to receive your betting rewards.\n    Happy gaming!",404404,"""트레이너님: \n   축하합니다. 길드전에서 %s의 우승 예측에 성공하였으며, 베팅 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
50,Guild War Betting Top Eight Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,union War bet returns,公會戰下注返還,union War bet returns,404404,길드전 베팅 반환,"Dear trainers: \n    %s you bet on has entered the finals in the union War. You get half of your bet back, please check.\n    Happy gaming!",親愛的小夥伴:\n    您所投注的%s在公會戰中進入決賽，返還一半下注金額，請及時查收。\n    祝您遊戲愉快!,"Dear trainers: \n    %s you bet on has entered the finals in the union War. You get half of your bet back, please check.\n    Happy gaming!",404404,트레이너님: \n   축하합니다. 베팅하신 %s 님이 길드전에서 결승전에 진출해 절반의 베팅 금액을 반환합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
51,Guild Wars Betting Results,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,union War betting results,公會戰下注結果,union War betting results,404404,길드전 베팅 결과,Dear trainers: \n    You bet on %s but unfortunately they did not enter the finals. What a pity!\n    Better luck next time!,親愛的小夥伴:\n    您所投注的%s在公會中沒有進入決賽，非常遺憾!\n    祝您遊戲愉快!,Dear trainers: \n    You bet on %s but unfortunately they did not enter the finals. What a pity!\n    Better luck next time!,404404,트레이너님: \n   아쉽게도 베팅하신 %s 님이 길드에서 결승전에 진출하지 못했습니다. \n   즐거운 게임 되시길 바랍니다!,,
52,new year wishes email,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Spring Festival Wishes Mail,新年祝福郵件,Spring Festival Wishes Mail,404404,새해 축복 우편,,奮鬥的馴獸師們:\n     新年好。人間界新的一年來臨了，我們這些腦殘策劃，所製作的這款無聊的遊戲，也即將陪伴大家走過半年的時光。上線以來，我們無時無刻不在想著如何造（keng）福（hai）玩家，想法設法製造BUG，給玩家發福利。因為我們不忘初衷——如何在現世中，還原一個原汁原味的數碼世界。所以，我們和其他那些粗製濫造的數碼遊戲不同，我們沒有那麼粗，在經費不足必須賣腎的情況下，也要把數碼世界的細節刻畫充分（開發組的腎已經不夠用了）。\n    我們不要臉的說，希望目前市面上這款最精緻的數碼遊戲，能陪你走過，這一年，下一年和每一年，去找回那“無限大的夢”。,,,,{634=1},
53,2048 game settlement gold coins yesterday,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,2048 Coins are given out yesterday,2048遊戲昨日結算金幣,2048 Coins are given out yesterday,404404,2048 게임 전일 결산 코인,Dear trainer: \n    The 2048 game you played yesterday has not been claimed. Please check. \n    Happy gaming!,親愛的小夥伴:\n    你昨日2048遊戲還有%d金幣未結算，注意查收\n    祝您遊戲愉快!,Dear trainer: \n    The 2048 game you played yesterday has not been claimed. Please check. \n    Happy gaming!,404404,트레이너님: \n    어제 2048 게임에서 결산되지 않은 %d코인을 전달합니다.\n   즐거운 게임 되세요!,,
54,Cross-server Quartz Conference battle rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Global Indigo Conference Battle Rewards,跨服石英大會戰鬥獎勵,Global Indigo Conference Battle Rewards,404404,글로벌 석영 대회 전투 보상,Dear trainer:\n You've achieved %d victories and %d defeats and earned %d points in the Global Indigo Plateau Conference. Please check your mail to claim the rewards.\n    Happy gaming!,親愛的小夥伴:\n    您在跨服石英大會中取得%d勝%d負，%d積分的戰績，戰鬥獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainer:\n You've achieved %d victories and %d defeats and earned %d points in the Global Indigo Plateau Conference. Please check your mail to claim the rewards.\n    Happy gaming!,404404,"""트레이너님: \n   글로벌 석영 대회에서 %d승 %d패, %d포인트의 전적을 달성하였으며, 전투 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
55,Cross-server Quartz Conference Ranking Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Global Indigo Conference Ranking Rewards,跨服石英大會排名獎勵,Global Indigo Conference Ranking Rewards,404404,글로벌 석영 대회 순위 보상,Dear trainers:\n    Congratulations for achieving rank No. %s in the Global Indigo Plateau Conference! Please check your mail to receive your ranking rewards.\nDo keep up the good work and see you soon at the top.\n    Happy gaming!,親愛的小夥伴:\n    恭喜您在跨服石英大會中獲得第%d名，排名獎勵已隨郵件發送，請及時查收。望再接再厲，勇攀高峰。\n    祝您遊戲愉快!,Dear trainers:\n    Congratulations for achieving rank No. %s in the Global Indigo Plateau Conference! Please check your mail to receive your ranking rewards.\nDo keep up the good work and see you soon at the top.\n    Happy gaming!,404404,"""트레이너님: \n   축하합니다. 글로벌 석영 대회에서 %d위를 달성하였으며, 순위 보상을 우편으로 지급합니다. 제때 수령해 주세요. 앞으로도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
56,Rewards for successful betting in the cross-server Quartz Conference qualifiers,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Global Indigo Conference Betting Reward,跨服石英大會預選賽全部押注成功獎勵,Global Indigo Conference Betting Reward,404404,글로벌 석영 대회 예선전 전체 베팅 성공 보상,"Dear friends:\n Congratulations, you correctly guessed all the seed players in Global Indigo Plateau Conference qualifiers! Betting rewards have been sent via mail, please claim it.\n Happy Gaming!",親愛的小夥伴:\n    恭喜您，在跨服石英中成功預測全部預選賽種子選手，下注獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear friends:\n Congratulations, you correctly guessed all the seed players in Global Indigo Plateau Conference qualifiers! Betting rewards have been sent via mail, please claim it.\n Happy Gaming!",404404,"""트레이너님: \n   축하합니다. 글로벌 석영 대회에서 모든 예선전 시드 선수 예측에 성공하였으며, 베팅 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
57,Rewards for part of the betting success in the cross-server Quartz Conference qualifiers,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Global Indigo Conference Betting Reward,跨服石英大會預選賽部分押注成功獎勵,Global Indigo Conference Betting Reward,404404,글로벌 석영 대회 예선전 일부 베팅 성공 보상,"Dear friends:\n Congratulations, you successfully guessed %d seed players correctly in Global Indigo Plateau Conference qualifiers. Betting rewards have been sent via mail, please claim it.\n Happy gaming!",親愛的小夥伴:\n    恭喜您，在跨服石英中成功預測%d名預選賽種子選手，下注獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear friends:\n Congratulations, you successfully guessed %d seed players correctly in Global Indigo Plateau Conference qualifiers. Betting rewards have been sent via mail, please claim it.\n Happy gaming!",404404,"""트레이너님: \n   축하합니다. 글로벌 석영 대회에서 총 %d명의 예선전 시드 선수 예측에 성공하였으며, 베팅 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
58,Cross-server Quartz Conference preliminaries will return rewards if you fail to bet successfully,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Global Indigo Conference Betting Reward,跨服石英大會預選賽未押注成功返還獎勵,Global Indigo Conference Betting Reward,404404,글로벌 석영 대회 예선전 베팅 실패 반환 보상,"Dear friends:\nYou have guessed %d players wrongly for the qualifiers. This is the consolation reward for the unsuccessful guess. It has been sent via mail, please claim it.\n Happy gaming!",親愛的小夥伴:\n    本次預選賽預測失敗%d名選手，這是押注失敗的獎勵補償，已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear friends:\nYou have guessed %d players wrongly for the qualifiers. This is the consolation reward for the unsuccessful guess. It has been sent via mail, please claim it.\n Happy gaming!",404404,"""트레이너님: \n   이번 예선전에서 %d명의 선수 예측에 실패하였으며, 다음은 베팅 실패 보상입니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
59,Rewards for all bets in the semi-finals of the cross-server Quartz Conference,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Global Indigo Conference Betting Reward,跨服石英大會四強賽全部押注成功獎勵,Global Indigo Conference Betting Reward,404404,글로벌 석영 대회 4강전 전체 베팅 성공 보상,"Dear friends:\n Congratulations, you correctly guessed all the top four players of the Global Indigo Plateau Conference. Betting rewards have been sent via mail, please claim it.\n Happy gaming!",親愛的小夥伴:\n    恭喜您，在跨服石英中成功預測全部四強賽選手，下注獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear friends:\n Congratulations, you correctly guessed all the top four players of the Global Indigo Plateau Conference. Betting rewards have been sent via mail, please claim it.\n Happy gaming!",404404,"""트레이너님: \n   축하합니다. 글로벌 석영 대회에서 모든 4강 선수 예측에 성공하였으며, 베팅 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
60,Rewards for part of the successful betting in the semi-finals of the cross-server Quartz Conference,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Global Indigo Conference Betting Reward,跨服石英大會四強賽部分押注成功獎勵,Global Indigo Conference Betting Reward,404404,글로벌 석영 대회 4강전 일부 베팅 성공 보상,"Dear friends:\n Congratulations! You correctly guessed %d top four players in Global Indigo Plateau Conference. Betting rewards have been sent via mail, please claim it.\n Happy gaming!",親愛的小夥伴:\n    恭喜您，在跨服石英中成功預測%d名四強賽選手，下注獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear friends:\n Congratulations! You correctly guessed %d top four players in Global Indigo Plateau Conference. Betting rewards have been sent via mail, please claim it.\n Happy gaming!",404404,"""트레이너님: \n   축하합니다. 글로벌 석영 대회에서 %d명의 4강 선수 예측에 성공하였으며, 베팅 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
61,Cross-server Quartz Conference semi-finals without betting successful return rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Global Indigo Conference Betting Reward,跨服石英大會四強賽未押注成功返還獎勵,Global Indigo Conference Betting Reward,404404,글로벌 석영 대회 4강전 베팅 실패 반환 보상,"Dear players:\n    You've predicted %d players wrongly for the semifinals. Your consolation rewards have been sent via mail, please claim it. \n   Happy gaming!",親愛的小夥伴:\n    本次四強賽預測失敗%d名選手，這是押注失敗的獎勵補償，已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear players:\n    You've predicted %d players wrongly for the semifinals. Your consolation rewards have been sent via mail, please claim it. \n   Happy gaming!",404404,"""트레이너님: \n   이번 4강전에서 %d명의 선수 예측에 실패하였으며, 다음은 베팅 실패 보상입니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
62,Rewards for successful betting of champions of cross-server Quartz Conference,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Global Indigo Conference Betting Reward,跨服石英大會冠軍押注成功獎勵,Global Indigo Conference Betting Reward,404404,글로벌 석영 대회 우승 베팅 성공 보상,"Dear trainers:\n    Congratulations, you have predicted the champion of the Global Indigo Plateau Conference correctly! Your betting rewards have been sent via mail please, check. \n   Happy gaming!",親愛的小夥伴:\n    恭喜您，在跨服石英中成功預測冠軍選手，下注獎勵已隨郵件發送，請及時查收。。\n    祝您遊戲愉快!,"Dear trainers:\n    Congratulations, you have predicted the champion of the Global Indigo Plateau Conference correctly! Your betting rewards have been sent via mail please, check. \n   Happy gaming!",404404,"""트레이너님: \n   축하합니다. 글로벌 석영 대회에서 우승 선수 예측에 성공하였으며, 베팅 보상을 우편으로 지급합니다. 제때 수령해 주세요.\n   즐거운 게임 되시길 바랍니다!""",,
63,Cross-server Quartz Conference champion betting failure rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Global Indigo Conference Betting Reward,跨服石英大會冠軍押注失敗獎勵,Global Indigo Conference Betting Reward,404404,글로벌 석영 대회 우승 베팅 실패 보상,"Dear friends:\n You unfortunately did not guess the Global Indigo Plateau Conference Champion correctly. Consolation rewards have been sent via mail, please claim it.\n Better luck next time!",親愛的小夥伴:\n    很遺憾，在跨服石英中未成功預測冠軍選手，補償獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear friends:\n You unfortunately did not guess the Global Indigo Plateau Conference Champion correctly. Consolation rewards have been sent via mail, please claim it.\n Better luck next time!",404404,"""트레이너님: \n   아쉽게도 글로벌 석영 대회에서 우승 선수 예측에 실패하였으며, 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
