变量名,name,languages,drawlanguages,name_tw,name_en,name_kr,icon,desc,desc_tw,desc_en,desc_kr,desc1,desc1_tw,desc1_en,desc1_kr,quality,type,donateType,universalFragID,decomposeGain,combID,combCount,stackMax,effBtn,pageTag,sellPrice,autoComb,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,isFinal,rebirthRMB,effect,sortType,sortValue
20641,Lapras Shard,<cn;kr;tw>,,拉普拉斯碎片,Lapras Shard,라프라스 조각,config/portrait/jinglingtouxiang/img_131_lpls@.png,Gather %d#C0x55504D#s to get #C0xE77421#Lapras#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#拉普拉斯#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Lapras#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#라프라스#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},641,50,,,,,,shop-13,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20691,Kabuto Shard,,,化石盔碎片,Kabuto Shard,투구 조각,config/portrait/jinglingtouxiang/img_140_hsk@.png,Gather %d#C0x55504D#s to get #C0xE77421#Kabuto#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#化石盔#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Kabuto#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#투구#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},691,30,,,,,,21401," drawCard-gold",,,,,,,,,,,,,,
20701,Aerodactyl Shard,<cn;kr>,<cn>,化石翼龍碎片,Aerodactyl Shard,프테라 조각,config/portrait/jinglingtouxiang/img_142_hsyl@.png,Gather %d shard to get #C0xE77421#Aerodactyl#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#化石翼龍#C0x55504D#,Gather %d shard to get #C0xE77421#Aerodactyl#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#프테라#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},701,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20711,Munchlax Shard,<cn;tw;kr;en>,,小卡比獸碎片,Munchlax Shard,먹고자 조각,config/portrait/jinglingtouxiang/img_446_xkbs@.png,Gather %d#C0x55504D#s to get #C0xE77421#Munchlax#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#小卡比獸#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Munchlax#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#먹고자#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},711,50,,,,,,shop-7,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20721,Articuno Shard,,,急凍鳥碎片,Articuno Shard,프리져 조각,config/portrait/jinglingtouxiang/img_144_jdn@.png,Gather %d#C0x55504D#s to get #C0xE77421#Articuno#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#急凍鳥#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Articuno#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#프리져#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},721,50,,,,,,shop-9," drawCard-gold",,,,,,,,,,,,{drawcard=huang_effect_loop},,
20731,Zapdos Shard,,,閃電鳥碎片,Zapdos Shard,썬더 조각,config/portrait/jinglingtouxiang/img_145_sdn@.png,Gather %d#C0x55504D#s to get #C0xE77421#Zapdos#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#閃電鳥#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Zapdos#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#썬더#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},731,50,,,,,,shop-2," drawCard-gold",,,,,,,,,,,,{drawcard=huang_effect_loop},,
20741,Moltres Shard,,,火焰鳥碎片,Moltres Shard,파이어 조각,config/portrait/jinglingtouxiang/img_146_hyn@.png,Gather %d#C0x55504D#s to get #C0xE77421#Moltres#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#火焰鳥#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Moltres#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#파이어#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},741,50,,,,,,shop-7," drawCard-gold",,,,,,,,,,,,{drawcard=huang_effect_loop},,
20751,Dragonite Shard,,,快龍碎片,Dragonite Shard,망나뇽 조각,config/portrait/jinglingtouxiang/img_149_kl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Dragonite#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#快龍#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Dragonite#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#망나뇽#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},753,50,,,,,,shop-9,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20761,Mewtwo Shard,,,超夢碎片,Mewtwo Shard,뮤츠 조각,config/portrait/jinglingtouxiang/img_150_cm@.png,Gather %d#C0x55504D#s to get #C0xE77421#Mewtwo#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#超夢#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Mewtwo#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#뮤츠#C0x55504D# 합성 가능,,,,,6,,0,521,{coin5=30},761,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
20771,Mew Shard,,,夢幻碎片,Mew Shard,뮤 조각,config/portrait/jinglingtouxiang/img_151_mh@.png,Gather %d#C0x55504D#s to get #C0xE77421#Mew#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#夢幻#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Mew#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#뮤#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},771,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20781,Chikorita Shard,,,菊草葉碎片,Chikorita Shard,치코리타 조각,config/portrait/jinglingtouxiang/img_152_jcy@.png,Gather %d#C0x55504D#s to get #C0xE77421#Chikorita#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#菊草葉#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Chikorita#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#치코리타#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},781,30,,,,,,20101,shop-6," drawCard-gold",,,,,,,,,,,,,
20791,Cyndaquil Shard,,,火球鼠碎片,Cyndaquil Shard,브케인 조각,config/portrait/jinglingtouxiang/img_155_hqs@.png,Gather %d#C0x55504D#s to get #C0xE77421#Cyndaquil#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#火球鼠#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Cyndaquil#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#브케인#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},791,30,,,,,,20902," drawCard-gold",,,,,,,,,,,,,,
20801,Totodile Shard,,,小鋸鱷碎片,Totodile Shard,리아코 조각,config/portrait/jinglingtouxiang/img_158_xje@.png,Gather %d#C0x55504D#s to get #C0xE77421#Totodile#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#小鋸鱷#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Totodile#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#리아코#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},801,30,,,,,,20602," drawCard-gold",,,,,,,,,,,,,,
20861,Togepi Shard,,,波克比碎片,Togepi Shard,토게피 조각,config/portrait/jinglingtouxiang/img_175_bkb@.png,Gather %d#C0x55504D#s to get #C0xE77421#Togepi#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#波克比#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Togepi#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#토게피#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},861,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20881,Mareep Shard,,,咩利羊碎片,Mareep Shard,메리프 조각,config/portrait/jinglingtouxiang/img_179_mly@.png,Gather %d#C0x55504D#s to get #C0xE77421#Mareep#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#咩利羊#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Mareep#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#메리프#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},881,50,,,,,,20903,21804,shop-6," drawCard-gold",,,,,,,,,,{drawcard=huang_effect_loop},,
20891,Azurill Shard,,,露力麗碎片,Azurill Shard,루리리 조각,config/portrait/jinglingtouxiang/img_298_lll@.png,Gather %d#C0x55504D#s to get #C0xE77421#Azurill#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#露力麗#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Azurill#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#루리리#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},891,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20971,Dream Demon Fragment,,,夢妖碎片,,,config/portrait/jinglingtouxiang/img_200_my@.png,Gater %d#C0x55504D# to get #C0xE77421#Dream Demon#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#夢妖#C0x55504D#,,,,,,,5,,,502,{coin5=10},971,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
21031,Gligar Shard,<cn;kr>,,天蠍碎片,Gligar Shard,글라이거 조각,config/portrait/jinglingtouxiang/img_207_tx@.png,Gather %d#C0x55504D#s to get #C0xE77421#Gligar#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#天蠍#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Gligar#C0x55504D#,%d개의 조각을 모으면 #C0xE77421#글라이거 #C0x55504D#합성 가능,,,,,5,,,502,{coin5=10},1031,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
21071,Heracross Shard,,,赫拉克羅斯碎片,Heracross Shard,헤라크로스 조각,config/portrait/jinglingtouxiang/img_214_hlkls@.png,Gather %d#C0x55504D#s to get #C0xE77421#Heracross#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#赫拉克羅斯#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Heracross#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#헤라크로스#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1071,50,,,,,,21205,shop-6," drawCard-gold",,,,,,,,,,,{drawcard=huang_effect_loop},,
21081,Sneasel Shard,,,狃拉碎片,Sneasel Shard,포푸니 조각,config/portrait/jinglingtouxiang/img_215_nl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Sneasel#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#狃拉#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Sneasel#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#포푸니#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1081,50,,,,,,shop-2," drawCard-gold",22204,,,,,,,,,,,{drawcard=huang_effect_loop},,
21171,Houndour Shard,,,戴魯比碎片,Houndour Shard,델빌 조각,config/portrait/jinglingtouxiang/img_228_dlb@.png,Gather %d#C0x55504D#s to get #C0xE77421#Houndour#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#戴魯比#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Houndour#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#델빌#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1171,50,,,,,,21305,21704,shop-6," drawCard-gold",,,,,,,,,,{drawcard=huang_effect_loop},,
21221,Raikou Shard,,,雷公碎片,Raikou Shard,라이코 조각,config/portrait/jinglingtouxiang/img_243_lg@.png,Gather %d#C0x55504D#s to get #C0xE77421#Raikou#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#雷公#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Raikou#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#라이코#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1221,50,,,,,,21402," drawCard-gold",,,,,,,,,,,,{drawcard=huang_effect_loop},,
21231,Entei Shard,,,炎帝碎片,Entei Shard,앤테이 조각,config/portrait/jinglingtouxiang/img_244_yd@.png,Gather %d#C0x55504D#s to get #C0xE77421#Entei#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#炎帝#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Entei#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#앤테이#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1231,50,,,,,,21604," drawCard-gold",,,,,,,,,,,,{drawcard=huang_effect_loop},,
21241,Suicune Shard,,,水君碎片,Suicune Shard,스이쿤 조각,config/portrait/jinglingtouxiang/img_245_sj@.png,Gather %d#C0x55504D#s to get #C0xE77421#Suicune#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#水君#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Suicune#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#스이쿤#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1241,50,,,,,,21504," drawCard-gold",,,,,,,,,,,,{drawcard=huang_effect_loop},,
21251,Larvitar Shard,,,幼基拉斯碎片,Larvitar Shard,애버라스 조각,config/portrait/jinglingtouxiang/img_246_yjls@.png,Gather %d#C0x55504D#s to get #C0xE77421#Larvitar#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#幼基拉斯#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Larvitar#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#애버라스#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1251,50,,,,,,shop-7," drawCard-gold",21505,,,,,,,,,,,{drawcard=huang_effect_loop},,
21271,Ho-Oh Shard,,,鳳王碎片,Ho-Oh Shard,칠색조 조각,config/portrait/jinglingtouxiang/img_250_fw@.png,Gather %d#C0x55504D#s to get #C0xE77421#Ho-Oh#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#鳳王#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Ho-Oh#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#칠색조#C0x55504D# 합성 가능,,,,,6,,0,521,{coin5=30},1271,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
21291,Treecko Shard,,,木守宮碎片,Treecko Shard,나무지기 조각,config/portrait/jinglingtouxiang/img_252_msg@.png,Gather %d#C0x55504D#s to get #C0xE77421#Treecko#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#木守宮#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Treecko#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#나무지기#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1291,50,,,,,,20705,21502," drawCard-gold",,,,,,,,,,,{drawcard=huang_effect_loop},,
21301,Torchic Shard,,,火稚雞碎片,Torchic Shard,아차모 조각,config/portrait/jinglingtouxiang/img_255_hzj@.png,Gather %d#C0x55504D#s to get #C0xE77421#Torchic#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#火稚雞#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Torchic#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#아차모#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1301,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
21311,Mudkip Shard,,,水躍魚碎片,Mudkip Shard,물짱이 조각,config/portrait/jinglingtouxiang/img_258_syy@.png,Gather %d#C0x55504D#s to get #C0xE77421#Mudkip#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#水躍魚#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Mudkip#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#물짱이#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1311,50,,,,,,shop-2," drawCard-gold",22103,,,,,,,,,,,{drawcard=huang_effect_loop},,
21351,Lotad Shard,,,蓮葉童子碎片,Lotad Shard,연꽃몬 조각,config/portrait/jinglingtouxiang/img_270_lytz@.png,Gather %d#C0x55504D#s to get #C0xE77421#Lotad#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#蓮葉童子#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Lotad#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#연꽃몬#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},1351,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
21391,Ralts Shard,,,拉魯拉絲碎片,Ralts Shard,랄토스 조각,config/portrait/jinglingtouxiang/img_280_llls@.png,Gather %d#C0x55504D#s to get #C0xE77421#Ralts#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#拉魯拉絲#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Ralts#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#랄토스#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1391,50,,,,,,21203,shop-4," drawCard-gold",,,,,,,,,,,{drawcard=huang_effect_loop},,
21421,Slakoth Shard,,,懶人獺碎片,Slakoth Shard,게을로 조각,config/portrait/jinglingtouxiang/img_287_lrt@.png,Gather %d#C0x55504D#s to get #C0xE77421#Slakoth#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#懶人獺#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Slakoth#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#게을로#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1421,50,,,,,,21103,21602,shop-4," drawCard-gold",,,,,,,,,,{drawcard=huang_effect_loop},,
21441,Whismur Shard,,,咕妞妞碎片,Whismur Shard,소곤룡 조각,config/portrait/jinglingtouxiang/img_293_gzz@.png,Gather %d#C0x55504D#s to get #C0xE77421#Whismur#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#咕妞妞#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Whismur#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#소곤룡#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},1441,30,,,,,,20702," drawCard-gold",,,,,,,,,,,,,,
21501,Aron Shard,,,可可多拉碎片,Aron Shard,가보리 조각,config/portrait/jinglingtouxiang/img_304_kkdl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Aron#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#可哥朵拉#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Aron#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#가보리#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1501,50,,,,,,21105,21503," drawCard-gold",,,,,,,,,,,{drawcard=huang_effect_loop},,
21611,Numel Shard,,,呆火駝碎片,Numel Shard,둔타 조각,config/portrait/jinglingtouxiang/img_322_dht@.png,Gather %d#C0x55504D#s to get #C0xE77421#Numel#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#呆火駝#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Numel#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#둔타#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},1611,30,,,,,,20601," drawCard-gold",,,,,,,,,,,,,,
21641,Spinda Shard,,,晃晃斑碎片,Spinda Shard,,config/portrait/jinglingtouxiang/img_327_hhb@.png,Gather %d#C0x55504D#s to get #C0xE77421#Spinda#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#晃晃斑#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Spinda#C0x55504D#,,,,,,4,,,502,{coin5=5},1641,30,,,,,,,,,,,,,,,,,,,,,
21771,Feebas Shard,<cn;tw;kr;en>,,醜醜魚碎片,Feebas Shard,빈티나 조각,config/portrait/jinglingtouxiang/img_349_ccy@.png,Gather %d#C0x55504D#s to get #C0xE77421#Feebas#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#醜醜魚#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Feebas#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#어둠대신#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=5},1771,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
21801,Shuppet Shard,<cn;kr;en>,,怨影娃娃碎片,Shuppet Shard,어둠대신 조각,config/portrait/jinglingtouxiang/img_353_yyww@.png,Gather %d#C0x55504D#s to get #C0xE77421#Shuppet#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#怨影娃娃#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Shuppet#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#어둠대신#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},1801,30,,,,,," drawCard-gold",22104,,,,,,,,,,,,,,
21811,Duskull Shard,,,夜巡靈碎片,Duskull Shard,해골몽 조각,config/portrait/jinglingtouxiang/img_355_yxl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Duskull#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#夜巡靈#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Duskull#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#해골몽#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1811,50,,,,,,21005,21705,shop-7," drawCard-gold",,,,,,,,,,{drawcard=huang_effect_loop},,
21841,Absol Shard,,,阿勃梭魯碎片,Absol Shard,앱솔 조각,config/portrait/jinglingtouxiang/img_359_absl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Absol#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#阿勃梭魯#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Absol#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#앱솔#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1841,50,,,,,,21303," drawCard-gold",,,,,,,,,,,,{drawcard=huang_effect_loop},,
21851,Snorunt Shard,,,雪童子碎片,Snorunt Shard,눈꼬마 조각,config/portrait/jinglingtouxiang/img_361_xtz@.png,Gather %d#C0x55504D#s to get #C0xE77421#Snorunt#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#雪童子#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Snorunt#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#눈꼬마#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},1851,30,,,,,,shop-9," drawCard-gold",,,,,,,,,,,,,,
21861,Spheal Shard,,,海豹球碎片,Spheal Shard,대굴레오 조각,config/portrait/jinglingtouxiang/img_363_hbq@.png,Gather %d#C0x55504D#s to get #C0xE77421#Spheal#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#海豹球#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Spheal#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#대굴레오#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},1861,30,,,,,,20904,shop-6," drawCard-gold",,,,,,,,,,,,,
21891,Bagon Shard,,,寶貝龍碎片,Bagon Shard,아공이 조각,config/portrait/jinglingtouxiang/img_371_bbl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Bagon#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#寶貝龍#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Bagon#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#아공이#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1891,50,,,,,,shop-7,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
21901,Beldum Shard,,,鐵啞鈴碎片,Beldum Shard,메탕 조각,config/portrait/jinglingtouxiang/img_374_tyl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Beldum#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#鐵啞鈴#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Beldum#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#메탕#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1901,50,,,,,,shop-10,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
21911,Regirock Shard,<cn;kr;tw;en>,<cn>,雷吉洛克碎片,Regirock Shard,레지락 조각,config/portrait/jinglingtouxiang/img_377_ljlk@.png,Gather %d#C0x55504D#s to get #C0xE77421#Regirock#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#雷吉洛克#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Regirock#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#레지락#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1911,50,,,,,,shop-12," drawCard-gold",,,,,,,,,,,,{drawcard=huang_effect_loop},,
21921,Regice Shard,<cn;kr;en;tw>,<cn>,雷吉艾斯碎片,Regice Shard,레지아이스 조각,config/portrait/jinglingtouxiang/img_378_ljas@.png,Gather %d#C0x55504D#s to get #C0xE77421#Regice#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#雷吉艾斯#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Regice#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#레지아이스#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1921,50,,,,,,shop-12," drawCard-gold",,,,,,,,,,,,{drawcard=huang_effect_loop},,
21931,Registeel Shard,<cn;kr;tw;en>,<cn>,雷吉斯奇魯碎片,Registeel Shard,레지스틸 조각,config/portrait/jinglingtouxiang/img_379_ljsql@.png,Gather %d#C0x55504D#s to get #C0xE77421#Registeel#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#雷吉斯奇魯#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Registeel#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#레지스틸#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1931,50,,,,,,shop-12," drawCard-gold",,,,,,,,,,,,{drawcard=huang_effect_loop},,
21941,Latias Shard,<cn;kr>,,拉帝亞斯碎片,Latias Shard,라티아스,config/portrait/jinglingtouxiang/img_380_ldys@.png,Gather %d#C0x55504D#s to get #C0xE77421#Latias#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#拉帝亞斯#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Latias#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#라티아스#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1941,50,,,,,,shop-15,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
21951,Latios Shard,<cn;kr>,,拉帝歐斯碎片,Latios Shard,라티오스,config/portrait/jinglingtouxiang/img_381_ldos@.png,Gather %d#C0x55504D#s to get #C0xE77421#Latios#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#拉帝歐斯#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Latios#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#라티오스#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},1951,50,,,,,,shop-15,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
