变量名,scene_id,_name,round,monsters,bossMark,showInfo,posAdjust,bossLifeCount,rebornSeq,hpC,speedC,damageC,specialDamageC,defenceC,specialDefenceC,bkCsv,storys,winStories,failStories,storyNames,storyNames_tw,storyNames_en,weatherTypeId
518,11906,,2,<51303;50552;51303;50051;50022;53412>,,,,,,0.7,0.5,1,1,1,1,stage/night.csv,,,,,,,
519,11906,,3,<50721;60031;50133;61893;70593;60263>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/night.csv,,,,,,,
520,11907,,1,<53562;50132;51893;50352;0;52683>,,,,,,0.7,0.5,1,1,1,1,stage/tower.csv,,,,,,,
521,11907,,2,<51392;50892;53562;50552;50391;51612>,,,,,,0.7,0.5,1,1,1,1,stage/tower.csv,,,,,,,
522,11907,,3,<60023;0;60033;63001;70303;62271>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/tower.csv,,,,,,,
523,11908,,1,<0;52822;53292;50391;52723;50272>,,,,,,0.7,0.5,1,1,1,1,stage/aml.csv,,,,,,,
524,11908,,2,<50071;53282;0;50302;52592;50093>,,,,,,0.7,0.5,1,1,1,1,stage/aml.csv,,,,,,,
525,11908,,3,<60792;0;62303;62612;70133;63021>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/aml.csv,,,,,,,
526,11909,,1,<52891;50782;51961;0;0;50062>,,,,,,0.7,0.5,1,1,1,1,stage/grass.csv,,,,,,,
527,11909,,2,<0;52722;50451;50691;50471;50102>,,,,,,0.7,0.5,1,1,1,1,stage/grass.csv,,,,,,,
528,11909,,3,<60332;61171;63543;0;70173;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/grass.csv,,,,,,,
529,11910,,1,<50463;50301;0;50452;51961;50072>,,,,,,0.7,0.5,1,1,1,1,stage/tower.csv,,,,,,,
530,11910,,2,<50191;0;50121;50033;50031;50043>,,,,,,0.7,0.5,1,1,1,1,stage/tower.csv,,,,,,,
531,11910,,3,<50882;60491;51423;60463;73631;60352>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/tower.csv,,,,,,,
532,12001,,1,<50031;51351;50191;50112;0;53413>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
533,12001,,2,<50102;50121;52683;52233;50262;50072>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
534,12001,,3,<60731;62873;61901;0;71253;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
535,12002,,1,<50491;50571;0;50052;50371;50301>,,,,,,0.75,0.5,1,1,1,1,stage/shm.csv,,,,,,,
536,12002,,2,<50191;53631;50331;52631;50072;51312>,,,,,,0.75,0.5,1,1,1,1,stage/shm.csv,,,,,,,
537,12002,,3,<51612;0;51231;61611;72963;60301>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/shm.csv,,,,,,,
538,12003,,1,<50333;51252;52233;50691;0;50391>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
539,12003,,2,<50601;51393;53502;50803;50801;53341>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
540,12003,,3,<62962;0;62682;61443;70402;61353>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
541,12004,,1,<52891;50132;50122;53511;52723;52482>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
542,12004,,2,<51813;50883;0;50751;0;52722>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
543,12004,,3,<60102;0;62872;62682;70493;62873>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
544,12005,,1,<0;50471;52683;51353;0;50062>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
545,12005,,2,<50171;50123;51353;51071;50331;50281>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
546,12005,,3,<60273;61302;62072;0;71903;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
547,12006,,1,<50302;50471;0;52482;52482;52822>,,,,,,0.75,0.5,1,1,1,1,stage/night.csv,,,,,,,
548,12006,,2,<50771;52272;52631;50332;51901;51391>,,,,,,0.75,0.5,1,1,1,1,stage/night.csv,,,,,,,
549,12006,,3,<52683;60012;52963;60632;70333;60091>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/night.csv,,,,,,,
550,12007,,1,<50023;50052;53511;52962;0;50131>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
551,12007,,2,<52231;50463;52822;53283;53292;52682>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
552,12007,,3,<60471;0;60371;0;183413;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
553,12008,,1,<0;51353;52592;52242;51271;50351>,,,,,,0.75,0.5,1,1,1,1,stage/aml.csv,,,,,,,
554,12008,,2,<50471;51302;0;50023;50893;52723>,,,,,,0.75,0.5,1,1,1,1,stage/aml.csv,,,,,,,
555,12008,,3,<61071;0;60351;62633;71503;61901>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/aml.csv,,,,,,,
556,12009,,1,<50592;53472;50002;51303;0;53431>,,,,,,0.75,0.5,1,1,1,1,stage/grass.csv,,,,,,,
557,12009,,2,<50092;50053;51292;50051;50192;52681>,,,,,,0.75,0.5,1,1,1,1,stage/grass.csv,,,,,,,
558,12009,,3,<60013;61503;63341;0;182242;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/grass.csv,,,,,,,
559,12010,,1,<51612;51293;0;51862;53301;50351>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
560,12010,,2,<51903;50192;50602;52361;50351;50351>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
561,12010,,3,<52231;62231;52301;60023;181981;62073>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
562,12101,,1,<50282;50173;51901;52233;0;51311>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
563,12101,,2,<51231;53003;50262;51171;51903;52301>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
564,12101,,3,<60102;60542;62681;0;70222;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
565,12102,,1,<52593;50541;0;50803;50303;50803>,,,,,,0.75,0.5,1,1,1,1,stage/shm.csv,,,,,,,
566,12102,,2,<50542;53341;52593;50333;50392;53291>,,,,,,0.75,0.5,1,1,1,1,stage/shm.csv,,,,,,,
567,12102,,3,<50791;0;50072;60803;73303;60803>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/shm.csv,,,,,,,
568,12103,,1,<50051;52681;52272;50003;0;53292>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
569,12103,,2,<50072;50771;50173;51903;51313;53561>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
570,12103,,3,<61071;0;62681;60572;70632;62483>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
571,12104,,1,<50051;53011;51241;50881;50893;51241>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
572,12104,,2,<52073;50281;50023;50331;0;51252>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
573,12104,,3,<60111;0;61902;60472;71241;60803>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
574,12105,,1,<53341;53301;50602;50781;0;50491>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
575,12105,,2,<50191;51293;50023;52301;52871;51442>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
576,12105,,3,<60333;60102;60792;0;72233;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
577,12106,,1,<50033;50031;0;51251;50464;52301>,,,,,,0.75,0.5,1,1,1,1,stage/night.csv,,,,,,,
578,12106,,2,<50051;52722;52072;50792;50071;52963>,,,,,,0.75,0.5,1,1,1,1,stage/night.csv,,,,,,,
579,12106,,3,<52481;60133;52681;60493;71303;60062>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/night.csv,,,,,,,
580,12107,,1,<53542;52961;50071;50133;0;51221>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
581,12107,,2,<53351;50592;50232;52633;50592;50113>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
582,12107,,3,<60093;0;60262;0;181082;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
583,12108,,1,<0;50033;50303;53002;50481;53543>,,,,,,0.75,0.5,1,1,1,1,stage/aml.csv,,,,,,,
584,12108,,2,<50051;51971;0;50542;53541;52873>,,,,,,0.75,0.5,1,1,1,1,stage/aml.csv,,,,,,,
585,12108,,3,<62633;0;60081;60272;73021;60001>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/aml.csv,,,,,,,
586,12109,,1,<50883;51502;50053;50303;0;50301>,,,,,,0.75,0.5,1,1,1,1,stage/grass.csv,,,,,,,
587,12109,,2,<50021;54023;50072;50351;50091;50082>,,,,,,0.75,0.5,1,1,1,1,stage/grass.csv,,,,,,,
588,12109,,3,<62073;63011;61261;0;180721;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/grass.csv,,,,,,,
589,12110,,1,<52073;50051;0;50792;50331;51221>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
590,12110,,2,<50091;50331;0;52073;51502;52302>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
591,12110,,3,<50022;60192;50023;61861;181961;60131>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
592,12201,,1,<50332;50092;52012;50591;0;51311>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
593,12201,,2,<53291;50262;50022;50133;0;50262>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
594,12201,,3,<60392;63292;63281;0;73562;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
595,12202,,1,<52012;51612;0;50891;50792;51252>,,,,,,0.75,0.5,1,1,1,1,stage/shm.csv,,,,,,,
596,12202,,2,<53301;52012;50012;50021;0;50602>,,,,,,0.75,0.5,1,1,1,1,stage/shm.csv,,,,,,,
597,12202,,3,<52012;0;50022;60593;73353;63542>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/shm.csv,,,,,,,
598,12203,,1,<50022;50551;50471;50692;0;0>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
599,12203,,2,<50021;50021;50892;50132;0;50002>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
600,12203,,3,<60471;0;62012;60392;70891;63292>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
601,12204,,1,<52012;50262;50601;50472;52012;50022>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
602,12204,,2,<52012;50391;53472;50002;0;51172>,,,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
603,12204,,3,<60271;0;60602;60092;71813;62012>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/city.csv,,,,,,,
604,12205,,1,<50792;50392;50301;50391;0;0>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
605,12205,,2,<52271;50602;52012;51813;53292;0>,,,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
606,12205,,3,<60072;61421;60692;0;70131;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/s.csv,,,,,,,
607,12206,,1,<50052;50272;0;50051;51612;50263>,,,,,,0.75,0.5,1,1,1,1,stage/night.csv,,,,,,,
608,12206,,2,<53542;50101;50052;50302;0;53021>,,,,,,0.75,0.5,1,1,1,1,stage/night.csv,,,,,,,
609,12206,,3,<53541;60092;50331;60033;70393;60461>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/night.csv,,,,,,,
610,12207,,1,<50002;51421;51421;50191;0;50391>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
611,12207,,2,<50481;50092;50062;52682;50591;52482>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
612,12207,,3,<60452;0;61421;0;181392;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
613,12208,,1,<0;52232;51422;52242;50332;50091>,,,,,,0.75,0.5,1,1,1,1,stage/aml.csv,,,,,,,
614,12208,,2,<50471;51303;0;50803;0;50351>,,,,,,0.75,0.5,1,1,1,1,stage/aml.csv,,,,,,,
615,12208,,3,<61612;0;60071;62301;71394;62301>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/aml.csv,,,,,,,
616,12209,,1,<51421;53292;50132;51241;0;53291>,,,,,,0.75,0.5,1,1,1,1,stage/grass.csv,,,,,,,
617,12209,,2,<51421;53543;53301;50023;0;53561>,,,,,,0.75,0.5,1,1,1,1,stage/grass.csv,,,,,,,
618,12209,,3,<62482;61231;61612;0;180263;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/grass.csv,,,,,,,
619,12210,,1,<50092;52872;0;50081;51171;50113>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
620,12210,,2,<50331;52822;53472;50351;0;50082>,,,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
621,12210,,3,<51292;63341;50602;61812;180761;0>,<0;0;0;0;1;0>,TRUE,,,,0.75,0.5,1,1,1,1,stage/tower.csv,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
10001,20101,,1,<50792;50792;50792;50071;50062;50071>,,,,,,0.6,0.5,0.7,0.7,0.7,0.7,stage/city.csv,,,,,,,
10002,20101,,2,<53301;60133;53301;62482;70783;62482>,<0;0;0;0;1;0>,TRUE,,,,0.6,0.5,0.7,0.7,0.7,0.7,stage/city.csv,,,,,,,
10003,20102,,1,<50592;50101;50592;50101;50302;50101>,,,,,,0.6,0.5,0.7,0.7,0.7,0.7,stage/ty.csv,,,,,,,
10004,20102,,2,<60472;0;60472;63472;72483;63472>,<0;0;0;0;1;0>,TRUE,,,,0.6,0.5,0.7,0.7,0.7,0.7,stage/ty.csv,,,,,,,
10005,20103,,1,<50691;53541;52012;50691;53541;52012>,,,,,,0.6,0.5,0.7,0.7,0.7,0.7,stage/sl.csv,,,,,,,
10006,20103,,2,<61353;0;60482;61353;180003;60482>,<0;0;0;0;1;0>,TRUE,,,,0.6,0.5,0.7,0.7,0.7,0.7,stage/sl.csv,,,,,,,
10007,20201,,1,<50012;50592;50012;50302;50302;50302>,,,,,,0.7,0.5,0.8,0.8,1,1,stage/sss.csv,,,,,,,
10008,20201,,2,<63302;60062;63302;0;70472;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,0.8,0.8,1,1,stage/sss.csv,,,,,,,
10009,20202,,1,<50332;50332;50332;51612;52271;51612>,,,,,,0.7,0.5,0.8,0.8,1,1,stage/sg2.csv,,,,,,,
10010,20202,,2,<51612;60053;51612;60053;70093;60053>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,0.8,0.8,1,1,stage/sg2.csv,,,,,,,
10011,20203,,1,<50081;50061;50081;50061;50271;50061>,,,,,,0.7,0.5,0.8,0.8,1,1,stage/sm.csv,,,,,,,
10012,20203,,2,<61172;0;61172;62012;180333;62012>,<0;0;0;0;1;0>,TRUE,,,,0.77,1,0.88,0.88,1.1,1.1,stage/sm.csv,,,,,,,
10013,20301,,1,<52011;50551;50071;52011;50551;50071>,,,,,,0.7,0.5,1,1,1,1,stage/city.csv,,,,,,,
10014,20301,,2,<60603;0;60392;60603;70053;60392>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/city.csv,,,,,,,
10015,20302,,1,<51292;50262;51292;52481;52481;52481>,,,,,,0.7,0.5,1,1,1,1,stage/qf.csv,,,,,,,
10016,20302,,2,<62012;60262;62012;0;70273;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/qf.csv,,,,,,,
10017,20303,,1,<50392;50392;50392;50101;52012;50101>,,,,,,0.7,0.5,1,1,1,1,stage/zl.csv,,,,,,,
10018,20303,,2,<50262;60272;50262;63472;70023;63472>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/zl.csv,,,,,,,
10019,20304,,1,<50551;53281;50551;53281;50021;53281>,,,,,,0.7,0.5,1,1,1,1,stage/lightred.csv,,,,,,,
10020,20304,,2,<60133;0;60133;63542;183543;63542>,<0;0;0;0;1;0>,TRUE,,,,0.77,1,1.1,1.1,1.1,1.1,stage/lightred.csv,,,,,,,
10021,20401,,1,<52271;50002;50601;52271;50002;50601>,,,,,,0.7,0.5,1,1,1,1,stage/beach.csv,,,,,,,
10022,20401,,2,<60393;0;60602;60393;73342;60602>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/beach.csv,,,,,,,
10023,20402,,1,<53541;50081;53541;53302;53302;53302>,,,,,,0.7,0.5,1,1,1,1,stage/s.csv,,,,,,,
10024,20402,,2,<0;60602;0;0;73293;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/s.csv,,,,,,,
10025,20403,,1,<50001;50001;50001;53282;50452;53282>,,,,,,0.7,0.5,1,1,1,1,stage/s.csv,,,,,,,
10026,20403,,2,<50331;60331;50331;60692;70013;60692>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/s.csv,,,,,,,
10027,20404,,1,<50081;50301;50081;50301;52271;50301>,,,,,,0.7,0.5,1,1,1,1,stage/city.csv,,,,,,,
10028,20404,,2,<60472;0;60472;60133;180603;60133>,<0;0;0;0;1;0>,TRUE,,,,0.77,1,1.1,1.1,1.1,1.1,stage/city.csv,,,,,,,
10029,20501,,1,<50892;50012;52482;50892;50012;52482>,,,,,,0.7,0.5,1,1,1,1,stage/zl.csv,,,,,,,
10030,20501,,2,<60482;0;60603;60482;70464;60603>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/zl.csv,,,,,,,
10031,20502,,1,<50592;50132;50592;50052;50052;50052>,,,,,,0.7,0.5,1,1,1,1,stage/city.csv,,,,,,,
10032,20502,,2,<60572;61352;60572;0;70131;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/city.csv,,,,,,,
10033,20503,,1,<50331;50331;50331;50691;52011;50691>,,,,,,0.7,0.5,1,1,1,1,stage/city.csv,,,,,,,
10034,20503,,2,<53281;60571;53281;63282;180263;63282>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/city.csv,,,,,,,
10035,20504,,1,<50071;50592;50071;50592;50471;50592>,,,,,,0.7,0.5,1,1,1,1,stage/sl.csv,,,,,,,
10036,20504,,2,<60043;0;60043;63282;70283;63282>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sl.csv,,,,,,,
10037,20505,,1,<53282;53301;52481;53282;53301;52481>,,,,,,0.7,0.5,1,1,1,1,stage/beach.csv,,,,,,,
10038,20505,,2,<60571;0;63542;60571;183353;63542>,<0;0;0;0;1;0>,TRUE,,,,0.77,1,1.1,1.1,1.1,1.1,stage/beach.csv,,,,,,,
10039,20601,,1,<50002;50262;50002;50092;50092;50092>,,,,,,0.7,0.5,1,1,1,1,stage/beach.csv,,,,,,,
10040,20601,,2,<60043;60262;60043;0;71612;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/beach.csv,,,,,,,
10041,20602,,1,<52482;52482;52482;50271;53292;50271>,,,,,,0.7,0.5,1,1,1,1,stage/zz.csv,,,,,,,
10042,20602,,2,<53471;60692;53471;60012;70803;60012>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/zz.csv,,,,,,,
10043,20603,,1,<50452;53472;50452;53472;51611;53472>,,,,,,0.7,0.5,1,1,1,1,stage/ty.csv,,,,,,,
10044,20603,,2,<63472;0;63472;60331;180572;60331>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/ty.csv,,,,,,,
10045,20604,,1,<53302;50331;51292;53302;50331;51292>,,,,,,0.7,0.5,1,1,1,1,stage/nbcity.csv,,,,,,,
10046,20604,,2,<60043;0;61352;60043;70482;61352>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/nbcity.csv,,,,,,,
10047,20605,,1,<50791;53471;50791;50061;50061;50061>,,,,,,0.7,0.5,1,1,1,1,stage/lightred.csv,,,,,,,
10048,20605,,2,<62482;61172;62482;0;180393;0>,<0;0;0;0;1;0>,TRUE,,,,0.77,1,1.1,1.1,1.1,1.1,stage/lightred.csv,,,,,,,
10049,20701,,1,<51611;51611;51611;50262;50043;50262>,,,,,,0.7,0.5,1,1,1,1,stage/sg.csv,,,,,,,
10050,20701,,2,<53282;60793;53282;60392;70372;60392>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sg.csv,,,,,,,
10051,20702,,1,<50132;50062;50132;50062;50051;50062>,,,,,,0.7,0.5,1,1,1,1,stage/sss.csv,,,,,,,
10052,20702,,2,<60482;0;60482;63292;181443;63292>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/sss.csv,,,,,,,
10053,20703,,1,<53281;50301;50131;53281;50301;50131>,,,,,,0.7,0.5,1,1,1,1,stage/river.csv,,,,,,,
10054,20703,,2,<60472;0;60012;60472;180593;60012>,<0;0;0;0;1;0>,TRUE,,,,0.77,1,1.1,1.1,1.1,1.1,stage/river.csv,,,,,,,
10055,20704,,1,<53291;53541;53291;50792;50792;50792>,,,,,,0.7,0.5,1,1,1,1,stage/ice.csv,,,,,,,
10056,20704,,2,<63542;62272;63542;0;180303;0>,<0;0;0;0;1;0>,TRUE,,,,0.7,0.5,1,1,1,1,stage/ice.csv,,,,,,,
10057,20705,,1,<50551;50551;50551;50471;51422;50471>,,,,,,0.7,0.5,1,1,1,1,stage/ice.csv,,,,,,,
10058,20705,,2,<53282;60333;53282;60331;181293;60331>,<0;0;0;0;1;0>,TRUE,,,,0.77,1,1.1,1.1,1.1,1.1,stage/ice.csv,,,,,,,
10059,20801,,1,<53282;51292;53282;51292;50791;51292>,,,,,,0.8,0.5,1,1,1,1,stage/sss.csv,,,,,,,
10060,20801,,2,<62012;0;62012;60072;73502;60072>,<0;0;0;0;1;0>,TRUE,,,,0.8,0.5,1,1,1,1,stage/sss.csv,,,,,,,
10061,20802,,1,<50052;50052;50081;50052;50052;50081>,,,,,,0.8,0.5,1,1,1,1,stage/zz.csv,,,,,,,
10062,20802,,2,<60022;0;60043;60022;180552;60043>,<0;0;0;0;1;0>,TRUE,,,,0.8,0.5,1,1,1,1,stage/zz.csv,,,,,,,
10063,20803,,1,<50272;50132;50272;50892;50892;50892>,,,,,,0.8,0.5,1,1,1,1,stage/zl.csv,,,,,,,
10064,20803,,2,<63542;61612;63542;0;183021;0>,<0;0;0;0;1;0>,TRUE,,,,0.88,1,1.1,1.1,1.1,1.1,stage/zl.csv,,,,,,,
10065,20804,,1,<50022;50022;50022;53541;50002;53541>,,,,,,0.8,0.5,1,1,1,1,stage/sl.csv,,,,,,,
10066,20804,,2,<50481;60092;50481;60133;182302;60133>,<0;0;0;0;1;0>,TRUE,,,,0.8,0.5,1,1,1,1,stage/sl.csv,,,,,,,
10067,20805,,1,<53542;53302;53542;53302;52271;53302>,,,,,,0.8,0.5,1,1,1,1,stage/xxdg.csv,,,,,,,
10068,20805,,2,<63542;0;63542;63543;182873;63543>,<0;0;0;0;1;0>,TRUE,,,,0.88,1,1.1,1.1,1.1,1.1,stage/xxdg.csv,,,,,,,
10069,20901,,1,<50002;51291;50101;50002;51291;50101>,,,,,,0.8,0.5,1,1,1,1,stage/river.csv,,,,,,,
10070,20901,,2,<60133;0;61422;60133;72272;61422>,<0;0;0;0;1;0>,TRUE,,,,0.8,0.5,1,1,1,1,stage/river.csv,,,,,,,
10071,20902,,1,<50332;50262;50332;50791;50791;50791>,,,,,,0.8,0.5,1,1,1,1,stage/city.csv,,,,,,,
10072,20902,,2,<60472;0;60472;0;180793;0>,<0;0;0;0;1;0>,TRUE,,,,0.8,0.5,1,1,1,1,stage/city.csv,,,,,,,
10073,20903,,1,<50051;50051;50051;51422;50002;51422>,,,,,,0.8,0.5,1,1,1,1,stage/bkgd.csv,,,,,,,
10074,20903,,2,<51611;60392;51611;63292;180883;63292>,<0;0;0;0;1;0>,TRUE,,,,0.88,1,1.1,1.1,1.1,1.1,stage/bkgd.csv,,,,,,,
10075,20904,,1,<50002;52011;50002;52011;53471;52011>,,,,,,0.8,0.5,1,1,1,1,stage/city.csv,,,,,,,
10076,20904,,2,<60593;0;60593;60092;181863;60092>,<0;0;0;0;1;0>,TRUE,,,,0.8,0.5,1,1,1,1,stage/city.csv,,,,,,,
10077,20905,,1,<50131;50132;50301;50131;50132;50301>,,,,,,0.8,0.5,1,1,1,1,stage/city.csv,,,,,,,
10078,20905,,2,<62012;0;62482;62012;183143;62482>,<0;0;0;0;1;0>,TRUE,,,,0.88,1,1.1,1.1,1.1,1.1,stage/city.csv,,,,,,,
10079,21001,,1,<52271;50272;52271;50602;50602;50602>,,,,,,0.8,0.5,1,1,1,1,stage/s.csv,,,,,,,
10080,21001,,2,<60333;60472;60333;0;183012;0>,<0;0;0;0;1;0>,TRUE,,,,0.8,0.5,1,1,1,1,stage/s.csv,,,,,,,
10081,21002,,1,<50043;50043;50043;50602;50891;50602>,,,,,,0.8,0.5,1,1,1,1,stage/sm.csv,,,,,,,
10082,21002,,2,<52012;61352;52012;60092;183432;60092>,<0;0;0;0;1;0>,TRUE,,,,0.8,0.5,1,1,1,1,stage/sm.csv,,,,,,,
10083,21003,,1,<51171;52482;51171;52482;53472;52482>,,,,,,0.8,0.5,1,1,1,1,stage/zz.csv,,,,,,,
10084,21003,,2,<60043;0;60043;60102;180632;60102>,<0;0;0;0;1;0>,TRUE,,,,0.88,1,1.1,1.1,1.1,1.1,stage/zz.csv,,,,,,,
10085,21004,,1,<51422;50331;51291;51422;50331;51291>,,,,,,0.8,0.5,1,1,1,1,stage/sm.csv,,,,,,,
10086,21004,,2,<60593;0;60092;60593;182683;60092>,<0;0;0;0;1;0>,TRUE,,,,0.8,0.5,1,1,1,1,stage/sm.csv,,,,,,,
10087,21005,,1,<51421;50002;51421;50012;50012;50012>,,,,,,0.8,0.5,1,1,1,1,stage/grass.csv,,,,,,,
