变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr
36011,#C0xFFF5D6#10. Players can tap on their own avatars in the team to switch the line-up of their Pokémons.,#C0xFFF5D6#10.玩家可以點擊隊伍中自己的頭像更換上陣的寵物。,#C0xFFF5D6#10. Players can tap on their own avatars in the team to switch the line-up of their Pokémons.,#C0xFFF5D6#10. Nhấp avatar của mình trong đội ngũ để thay đổi Pet lên trận.,#C0xFFF5D6#10. 유저는 팀에서 자신의 프로필을 터치해 출전 포켓몬을 변경할 수 있습니다.
,,,,,
,,,,,
37001,"1. The qualifiers, top 8 matches, and championship are all conducted in a 3v3 tag match format.",1、預選賽，八強賽，冠軍賽均為3對3車輪戰。,"1. The qualifiers, top 8 matches, and championship are all conducted in a 3v3 tag match format.",,"""1. 예선전, 8강전, 결승전은 모두 3대3 태그매치로 진행됩니다."""
37002,"2. The Pokémon with the highest total first-move value attacks first; if the value of the first-move value is the same, the one with the higher combat power makes the first move.",2、上陣精靈，總先手值高的先出手；先手值相同則總戰力高的先出手。,"2. The Pokémon with the highest total first-move value attacks first; if the value of the first-move value is the same, the one with the higher combat power makes the first move.",,"""2. 출전 포켓몬의 선공 수치가 빠른 쪽이 먼저 공격하며, 수치가 동일할 경우 총 전투력이 높은 쪽이 먼저 공격합니다."""
37003,"3. When two Pokémons battle against each other, the maximum No. of turns is 10.",3、兩個精靈對戰，最高戰鬥回合為10回合。,"3. When two Pokémons battle against each other, the maximum No. of turns is 10.",,3. 두 포켓몬의 대전은 최대 10턴간 전투가 진행됩니다.
37004,"4. If all of the Pokémons survive at the end of the 10th turn, the one with the higher remaining HP% wins",4、10回合結束後如均末死亡，則剩餘血量百分比高的一方獲勝。,"4. If all of the Pokémons survive at the end of the 10th turn, the one with the higher remaining HP% wins",,"""4. 10턴 종료 후 승부가 나지 않을 경우, 남은 HP 퍼센트가 높은 쪽이 승리합니다."""
37005,5. The side with surviving Pokémons wins.,5、最終有存活精靈的一方勝利。,5. The side with surviving Pokémons wins.,,5. 최종 생존 포켓몬이 있는 쪽이 승리합니다.
,,,,,
38001,1. Trainers can place a bet on whether their number of victories in the qualifiers will be an odd or even number.,1、玩家第一天可下註自已在預選賽中勝利場次的單雙數。,1. Trainers can place a bet on whether their number of victories in the qualifiers will be an odd or even number.,,1. 유저는 1일 차에 자신의 예선전 승리 경기 횟수의 홀짝에 베팅할 수 있습니다.
38002,2. You can bet on the winner of the server's top 20 trainers in combat power ranking on the next day.,2、第二天可下註該區總戰力前20強玩家的冠軍歸屬。,2. You can bet on the winner of the server's top 20 trainers in combat power ranking on the next day.,,2. 2일 차에는 해당 구역의 총 전투력 상위 20위 유저의 우승 여부에 베팅할 수 있습니다.
38003,"3. Place a bet on the champion. The higher the odds, the greater the returns. You get to win up to 1,000,000 coins per season.",3、冠軍下註，賠率越高，回報越大。每期最高可獲得1000000金幣,"3. Place a bet on the champion. The higher the odds, the greater the returns. You get to win up to 1,000,000 coins per season.",,3. 우승 베팅 시 배율이 높을수록 보상이 증가합니다. 매회 최대 1000000코인을 획득할 수 있습니다.
38004,"4. If the contestant you bet on enters the semifinals, you will receive 1.5 times of the bet. Otherwise, you will receive half of your bet.",4、如下註物件進入四強則返還1.5倍金額，未進入四強則返還一半金額,"4. If the contestant you bet on enters the semifinals, you will receive 1.5 times of the bet. Otherwise, you will receive half of your bet.",,"""4. 베팅 대상이 4강에 진입할 시 1.5배의 금액을 반환하며, 진입하지 못할 경우 절반의 금액을 반환합니다."""
,,,,,
39001,1. Registration time: #C0xF76B45#13:00-21:50,1.報名時間：#C0xF76B45#10:00-19:50,1. Registration time: #C0xF76B45#13:00-21:50,,1. 신청 시간: #C0xF76B45#오전 10:00-19:50
39002,2. Tournament time: #C0xF76B45#22:00-22:55,2.比賽時間：#C0xF76B45#20:00-20:55,2. Tournament time: #C0xF76B45#22:00-22:55,,2. 경기 시간: #C0xF76B45#20:00-20:55
39003,3. Trainers can select up to 10 Pokémons to battle during the registration. The line-up can be adjusted after the registration is successful,3.報名時最多選擇10名精靈上場，報名成功後可更換陣容,3. Trainers can select up to 10 Pokémons to battle during the registration. The line-up can be adjusted after the registration is successful,,"""3. 신청 시 최대 10명의 포켓몬을 출전시킬 수 있으며, 신청 성공 후에도 라인업을 변경할 수 있습니다."""
39004,4. The competition is divided into the qualifiers and the quarterfinals. The top 8 of the qualifiers will enter the quarterfinals.,4.比賽分為預選賽和八強賽兩部分，預選賽的8強可進入八強賽,4. The competition is divided into the qualifiers and the quarterfinals. The top 8 of the qualifiers will enter the quarterfinals.,,"""4. 경기는 예선전, 8강전의 두 단계로 나뉘며, 예선전 내 8강은 8강전에 진출합니다."""
39005,5. Players are free to adjust the line-up until one minute before the tournament starts,5.比賽開始前1分鐘，玩家無法調整上陣陣容,5. Players are free to adjust the line-up until one minute before the tournament starts,,5. 경기 시작 1분 전이 되면 라인업을 수정할 수 없습니다.
39006,6. Trainers of VIP 3 and above register automatically everyday,6.VIP3以上的玩家每天可以自動報名,6. Trainers of VIP 3 and above register automatically everyday,,6. VIP 3레벨 이상의 유저는 매일 자동으로 참가 신청을 진행합니다.
39007,"7. During the battle, both sides can fight up to 10 turns. If the winner is still undecided at the end of the 10th turn, the one with the highest percentage of HP remaining wins.",7.戰鬥階段雙方最多戰鬥10回合，回合結束雙方未分勝負，若雙方血量都高於90%，則按照造成傷害較高的一方勝出，若其中只要有一方血量百分比低於90%，則按照最終血量百分比較高的一方勝出,"7. During the battle, both sides can fight up to 10 turns. If the winner is still undecided at the end of the 10th turn, the one with the highest percentage of HP remaining wins.",,"""7. 전투 단계에서 양측은 최대 10턴간 전투를 진행하며, 턴 종료 후 승부가 나지 않고, 양측의 HP가 모두 90% 이상일 시 피해량이 높은 쪽이 승리합니다. 한쪽만 HP 퍼센트가 90% 미만일 경우, 최종 HP 퍼센트가 높은 쪽이 승리합니다."""
39008,"8. There's a point ranking system in the tournament. The points are determined by the damage inflicted by the Pokémon. The higher the damage, the higher the points earned.",8.比賽存在積分排行，積分由精靈造成的傷害決定，傷害越高，積分越高,"8. There's a point ranking system in the tournament. The points are determined by the damage inflicted by the Pokémon. The higher the damage, the higher the points earned.",,"""8. 경기에는 포인트 순위가 존재하며, 포인트는 포켓몬이 입힌 피해에 따라 결정됩니다. 즉 피해가 높을수록 포인트가 높아집니다."""
39009,"9. Trainers can start placing their bets at 10:00 daily. The higher the odds, the better the rewards of up to 10,000,000 coins per day.",9.每天10點可以開始下註，賠率越高，回報越豐厚，每天最高可獲得100w金幣,"9. Trainers can start placing their bets at 10:00 daily. The higher the odds, the better the rewards of up to 10,000,000 coins per day.",,"""9. 매일 10시에 베팅을 진행할 수 있으며, 배율이 높을수록 보상이 증가합니다. 매일 최대 100만 코인까지 획득할 수 있습니다."""
39010,"10. If the contester you bet on enters the quarterfinals but does not win the championship, a partial amount of the bet will be returned. But if the contester does not enter the quarterfinals, you will not receive any amount of your bet.",10.若下註物件進入八強，未獲冠軍，會返還部分下註金額；若未進入八強，則不返還金額,"10.  If the contester you bet on enters the quarterfinals but does not win the championship, a partial amount of the bet will be returned. But if the contester does not enter the quarterfinals, you will not receive any amount of your bet.",,"""10. 베팅 대상이 8강에 진입하였으나 우승하지 못할 경우 일부 베팅 금액을 반환하며, 8강에 진입하지 못할 경우 금액을 반환하지 않습니다."""
,,,,,
,,,,,
40001,"1. The qualifier adopts a knockout system. There will be a total of 10 matches, each game lasting 4 minutes. The ranking is based on the number of victories and the victory is also ranked according to the points earned.",1.預選賽為淘汰制，一共10場比賽，每場比賽4分鐘，根據勝利場次進行排名，勝利場次一樣按照積分排名,"1. The qualifier adopts a knockout system. There will be a total of 10 matches, each game lasting 4 minutes. The ranking is based on the number of victories and the victory is also ranked according to the points earned.",,"""1. 예선전은 토너먼트제로 진행되며, 총 10회 경기가 이루어집니다. 각 경기는 4분간 진행되며, 승리 횟수에 따라 순위를 결정합니다. 승리 횟수가 동일할 경우 포인트에 따라 순위를 결정합니다."""
40002,2. One Pokémon will fight in each match,2.每場比賽派出一名精靈進行對戰,2. One Pokémon will fight in each match,,2. 각 경기에는 1명의 포켓몬이 출전해 대전을 진행합니다.
40003,3. Trainers are eliminated immediately when they accumulate a total of #C0xF76B45# 3 losses,3.預選賽累計#C0xF76B45#3負直接淘汰出局,3. Trainers are eliminated immediately when they accumulate a total of #C0xF76B45# 3 losses,,3. 예선전 #C0xF76B45#누적 3회 패배 시 탈락합니다.
40004,"4. Trainers can earn points for each match. When the qualifier ends, the top 8 trainers will emerge according to number of victories and the ranking of points.","4.每場比賽玩家可獲得積分，預選賽結束後根據勝利場次、積分排名得出8強,進入八強賽","4. Trainers can earn points for each match. When the qualifier ends, the top 8 trainers will emerge according to number of victories and the ranking of points.",,"""4. 매회 경기에서 유저는 포인트를 획득할 수 있습니다. 예선전 종료 후 승리 횟수, 포인트 순위에 따라 8강전에 진출할 수 있습니다."""
40005,5. Pokémon cannot be used repeatedly,5.精靈不能重複使用,5. Pokémon cannot be used repeatedly,,5. 포켓몬은 중복 사용할 수 없습니다.
,,,,,
41001,"1. The top 8 matches are based on elimination format, including quarterfinals, semifinals, championship, and third place match. The duration of each match is 5 minutes.",1.八強賽階段同樣為淘汰制，包含四強賽、半決賽、冠軍賽和季軍賽四場比賽，每場比賽5分鐘,"1. The top 8 matches are based on elimination format, including quarterfinals, semifinals, championship, and third place match. The duration of each match is 5 minutes.",,"""1. 8강전 단계는 동일한 토너먼트제로, 4강전, 준결승, 결승전과 3·4위전을 포함합니다. 경기 시간은 5분입니다."""
41002,2. Trainers have to send 3 Pokémons in every match and battle in sequence. The tournament is conducted in tag match format,2.每場比賽，玩家需派出3名精靈，採用車輪戰，依順序出場,"2. Trainers have to send 3 Pokémons in every match and battle in sequence. The tournament is conducted in tag match format ",,"""2. 각 경기에는 3마리의 포켓몬이 출전하며, 순서대로 출전해 태그매치를 진행합니다."""
41003,3. You lose when all 3 Pokémons are defeated,3.3名精靈全部被擊敗則判負,3. You lose when all 3 Pokémons are defeated,,3. 포켓몬 3마리가 모두 쓰러지면 패배입니다.
41004,4. Pokémon cannot be used repeatedly,4.精靈不能重複使用,4. Pokémon cannot be used repeatedly,,4. 포켓몬은 중복 사용할 수 없습니다.
,,,,,
42001,1. Trainers get a treasure chest as a reward for entering each match,1.每進行一場比賽，玩家可獲得一個寶箱獎勵,1. Trainers get a treasure chest as a reward for entering each match,,1. 매회 경기에서 유저는 보물상자 보상을 획득할 수 있습니다.
42002,"2. You get gold chest for every victory, silver chest for every defeat",2.勝利獲得黃金寶箱，失敗獲得白銀寶箱,"2. You get gold chest for every victory, silver chest for every defeat",,"""2. 승리 시 황금 보물상자를 획득하며, 패배 시 은색 보물상자를 획득합니다."""
42003,3. There are chances of getting Indigo Plateau souvenirs and other items from opening both chests.,3.兩種寶箱均有概率開出石英紀念品等物品,3. There are chances of getting Indigo Plateau souvenirs and other items from opening both chests.,,3. 두 보물상자 모두 일정 확률로 석영 기념품 등의 아이템을 획득할 수 있습니다.
42004,4. Ranking rewards are given according to the trainer's ranking in the Indigo Plateau Conference.,4.根據當天石英大會排名可獲得排名獎勵。,4. Ranking rewards are given according to the trainer's ranking in the Indigo Plateau Conference.,,4. 당일 석영 대회 순위에 따라 순위 보상을 획득할 수 있습니다.
,,,,,
,,,,,
43001,#C0xFFF5D6#1. You can play 5 times a day at the beginning. Upgrade 'Agnimon Draw' technology level in the Research Institute to increase the number of playing times,#C0xFFF5D6#1.初始每天可玩5次，在研究院中提升'搖取火神獸'科技等級，可增加玩法次數,#C0xFFF5D6#1. You can play 5 times a day at the beginning. Upgrade 'Agnimon Draw' technology level in the Research Institute to increase the number of playing times,,"""#C0xFFF5D6#1. 초기에는 매일 5회 가능하며, 연구소에서 '아그니몬 뽑기' 기술 레벨이 증가하면 횟수가 증가합니다."""
43002,"#C0xFFF5D6#2. In the beginning of this mode, trainers can change their draws 5 times for free. Upgrading related technologies in the research institute can increase the number of free changes as well",#C0xFFF5D6#2.初始本玩法可免費改搖5次，同樣，在研究院中提升相關科技，可增加免費改搖次數,"#C0xFFF5D6#2. In the beginning of this mode, trainers can change their draws 5 times for free. Upgrading related technologies in the research institute can increase the number of free changes as well","#C0xFFF5D6#2. Ban đầu lắc miễn phí 5 lần, đồng thời, tăng công nghệ liên quan trong Viện Nghiên Cứu để tăng lần lắc miễn phí","""#C0xFFF5D6#2. 초기에는 무료로 5회 진행이 가능하며, 연구소에서 관련 기술 레벨을 높이면 무료 횟수가 증가합니다."""
43003,"#C0xFFF5D6#3. The Agnimons drawn will not disappear. 4. The more Agnimons you get, the more rewards you receive, including Agnimon shards and plenty of Guild Coins",#C0xFFF5D6#3.已經搖出的火神獸不會消失4.火神獸數量越多，獎勵越豐厚，可獲得火神獸碎片和大量公會幣,"#C0xFFF5D6#3. The Agnimons drawn will not disappear. 4. The more Agnimons you get, the more rewards you receive, including Agnimon shards and plenty of Guild Coins",#C0xFFF5D6#3. Agnimon đã lắc được sẽ không biến mất,#C0xFFF5D6#3. 이미 뽑은 아그니몬은 사라지지 않습니다.
43004,"#C0xFFF5D6#4.The higher the number of Agnimon, the better the rewards. You can get a huge amount of Agnimon shard and Guild Coins.",#C0xFFF5D6#4.火神獸數量越多，獎勵越豐厚，可獲得火神獸碎片和大量公會幣,"#C0xFFF5D6#4.The higher the number of Agnimon, the better the rewards. You can get a huge amount of Agnimon shard and Guild Coins.","#C0xFFF5D6#4. Số lượng Agnimon càng nhiều, thưởng càng lớn, nhận Mảnh Agnimon và nhiều Xu Guild",#C0xFFF5D6#4. 아그니몬의 수가 많을수록 보상이 증가하며. 아그니몬 조각 및 대량의 길드 코인을 획득할 수 있습니다.
,,,,,
44001,"1. Union Dungeon opening hours: Monday to Saturday 9:30-23:00, closes on Sunday;",1.公會副本開放時間：週一至週六9：30-23：00，周日休息；,"1. Union Dungeon opening hours: Monday to Saturday 9:30-23:00, closes on Sunday;",,"""1. 길드 던전 개방 시간: 월~토요일 9:30~23:00, 일요일은 휴무입니다."""
44002,"2. The system resets the dungeons automatically at every Monday, Wednesday and Friday at 05:00. Only the dungeon with the highest difficult currently will be reset;",2.週一、三、五淩晨5點系統自動重置副本，僅重置當前進度中難度最高的副本；週二、四、六晚23:30，公會副本關閉後統一結算並發放傷害排名獎勵,"2. The system resets the dungeons automatically at every Monday, Wednesday and Friday at 05:00. Only the dungeon with the highest difficult currently will be reset;",,"""2. 월, 수, 금요일 오전 0시에 시스템이 자동으로 던전을 초기화하며, 현재 진행도 내 난이도가 가장 높은 던전만 초기화됩니다. 화, 목, 토요일 23:30에는 길드던전이 종료되며, 결산 후 피해 순위 보상을 지급합니다."""
44003,"3. There are 3 chances to challenge any of the dungeons each day, and will be reset at 05:00 every day. There will be chances of getting union Boss Chests during the challenge;",3.每天有3次挑戰次數，所有副本共用該次數，每天淩晨5點重置，挑戰過程中有幾率獲得公會boss寶箱；,"3. There are 3 chances to challenge any of the dungeons each day, and will be reset at 05:00 every day. There will be chances of getting union Boss Chests during the challenge;",,"""3. 매일 3회의 도전 기회가 주어지며, 모든 던전은 해당 횟수를 공유합니다. 매일 0시에 도전 횟수가 초기화되며, 도전 중 일정 확률로 길드 보스 보물상자를 획득할 수 있습니다."""
44004,"4. Another dungeon will unlock when the current one is cleared, and the cleared dungeon cannot be challenged again until it is reset every monthly;",4.通關當前副本後，將會開啟下一副本，已通關的副本在月度重置前無法重複打；,"4. Another dungeon will unlock when the current one is cleared, and the cleared dungeon cannot be challenged again until it is reset every monthly;",,"""4. 현재 던전 클리어 시 다음 던전이 개방되며, 클리어한 던전은 월간 초기화 전까지는 다시 도전할 수 없습니다."""
44005,"5. After completing each Guild Dungeon challenge, additional ranking rewards will be given according to your contribution in the dungeons;",5.每個公會副本挑戰完成後，將根據副本貢獻，發放額外的傷害排名獎勵；,"5. After completing each Guild Dungeon challenge, additional ranking rewards will be given according to your contribution in the dungeons;","5. Sau khi hoàn thành thách đấu Phụ Bản Guild, phát thêm thưởng xếp hạng sát thương theo mức Cống Hiến Guild;",5. 각 길드 던전의 도전 완료 후 던전 공헌도에 따라 추가로 피해 순위 보상을 지급합니다.
44006,"6. There's a first time clearance reward for each dungeon, and each trainer can only claim it once;",6.每個副本有首次通關獎勵，每個玩家只能領取一次；,"6. There's a first time clearance reward for each dungeon, and each trainer can only claim it once;",,6. 각 던전의 첫 클리어 보상은 캐릭터당 1회만 수령할 수 있습니다.
44007,"7. Union members will receive additional attack, defense, and health bonuses according to the number of times and the duration each Union took to complete the levels. The bonuses will only take effect in the current dungeon;",7.單個副本隨著通關公會個數和停留時長，公會內玩家將獲得額外的攻、防、血量加成，該加成隻對當前副本生效；,"7. Union members will receive additional attack, defense, and health bonuses according to the number of times and the duration each Union took to complete the levels. The bonuses will only take effect in the current dungeon;",,"""7. 단일 던전의 클리어 길드 수 및 시간에 따라 길드 내 유저는 추가로 공격, 방어, HP 보너스를 획득하며, 해당 보너스는 현재 던전에만 적용됩니다."""
44008,"8. All dungeons are reset at the beginning of the month, and all unions can claim killing rewards after clearing one dungeon after the reset (non-first time clearance reward);",8.每月月初重置所有副本，重置後每通關一個副本，全公會可領取擊殺獎勵（非首次通關獎勵）；,"8. All dungeons are reset at the beginning of the month, and all unions can claim killing rewards after clearing one dungeon after the reset (non-first time clearance reward);",,"""8. 매월 초에 모든 던전이 초기화되며, 던전을 클리어할 때마다 길드 전체가 처치 보상을 수령할 수 있습니다(첫 클리어 보상 제외)."""
44009,9. Kill rewards (for non-first time level clearance) - each trainer can only claim once in each dungeon for each reset;,9.擊殺獎勵（非首次通關獎勵）每個玩家每個副本每次重置均只能領取1次；,9. Kill rewards (for non-first time level clearance) - each trainer can only claim once in each dungeon for each reset;,,9. 처치 보상(첫 클리어 보상 제외)은 던전별로 초기화될 때마다 캐릭터당 1회만 수령할 수 있습니다.
44010,"10. After changing union, trainers cannot challenge the union dungeon until 05:00 the next day",10.更換公會後，當天無法進行公會副本挑戰，需要等到次日淩晨5點後才能進行,"10. After changing union, trainers cannot challenge the union dungeon until 05:00 the next day",,"""10. 길드 변경 시 당일에는 길드 던전 도전을 진행할 수 없으며, 다음 날 오전 5시 이후부터 가능합니다."""
44011,11. For each trainer to last-hit the Guild BOSS can get additional coin and diamond reward. Kill reward of the same BOSS can only obtain once in one-month reset period,11.為每只公會boss補刀的訓練家可額外獲得金幣鑽石獎勵；,11. For each trainer to last-hit the Guild BOSS can get additional coin and diamond reward. Kill reward of the same BOSS can only obtain once in one-month reset period,,"""11. 각 보스에게 최후의 일격을 가한 트레이너는 추가로 코인, 다이아 보상을 획득할 수 있습니다."""
44012,12. All kill rewards need to be manually collected in the reward box。 Participation rewards and last hit rewards will be issued when challenge is settled. Damage ranking rewards will be issued by mail.,12.所有擊殺獎勵需要手動在獎勵盒子裡領取；參與獎勵和補刀獎勵挑戰結算時發放；傷害排名獎勵以郵件形式發放。,12. All kill rewards need to be manually collected in the reward box。 Participation rewards and last hit rewards will be issued when challenge is settled. Damage ranking rewards will be issued by mail.,,"""12. 모든 처치 보상은 수동으로 보상 상자에서 수령해야 하며, 참가 보상과 최후의 일격 보상은 도전 결산 시 지급됩니다. 피해 순위 보상은 우편으로 지급됩니다."""
,,,,,
45001,1. Each member can make one wish daily by posting the Pokémon shard of their wish within the guild,1.每位會員每天可以許願一次，將希望獲取碎片的精靈作為願望發佈到公會中,1. Each member can make one wish daily by posting the Pokémon shard of their wish within the guild,"1. Mỗi hội viên mỗi ngày cầu nguyện 1 lần, gửi Pokémon muốn nhận Mảnh vào trong Guild.","""1. 각 회원은 매일 소원을 한 번 빌 수 있으며, 조각을 원하는 포켓몬을 길드에 공유할 수 있습니다."""
45002,2. You can also wish for Pokémons that you already own,2.許願時只能以自己當前擁有的精靈作為許願目標,2. You can also wish for Pokémons that you already own,2. Khi cầu nguyện chỉ sử dụng Pokémon hiện có làm mục tiêu cầu nguyện.,2. 자신이 현재 보유 중인 포켓몬만 소원의 대상으로 삼을 수 있습니다.
45003,"3. For Pokémons of different qualities, the maximum number of resources that can be obtained for each wish is different. The higher the quality of the Pokémon, the less the number of resources can be obtained",3.不同品質的精靈，每次許願可以獲得的最大數量有所不同，品質越高的精靈，可獲取的數量越少,"3. For Pokémons of different qualities, the maximum number of resources that can be obtained for each wish is different. The higher the quality of the Pokémon, the less the number of resources can be obtained","3. Pokémon phẩm chất khác nhau, mỗi lần cầu nguyện nhận số lượng tối đa cũng khác nhau, Pokémon phẩm chất càng cao, số lượng nhận càng ít","""3. 포켓몬의 등급마다 소원을 통해 획득할 수 있는 최대 수량이 다르며, 등급이 높을수록 수령 가능한 수가 적습니다."""
45004,"4. You can give other members the shards you own to fulfill their wishes. You can only give 1 shard to the same member,",4.可以給其他會員贈送自己擁有的碎片，來幫助他完成心願，最多可以給同一個會員贈送1個碎片,"4. You can give other members the shards you own to fulfill their wishes. You can only give 1 shard to the same member,","4. Có thể tặng Mảnh mình có cho hội viên khác, giúp họ hoàn thành tâm nguyên, 1 hội viên tặng tối đa 1 Mảnh","""4. 다른 회원에게 자신이 보유한 조각을 선물할 수 있으며, 같은 회원에게 1개만 선물할 수 있습니다."""
45005,5. The gifted shard will be sent to the receiving member via mail,5.精靈碎片贈送後會以郵件形式發送到受贈會員的信箱中,5. The gifted shard will be sent to the receiving member via mail,5. Mảnh Pokémon tặng được gửi qua thư đến hộp thư của hội viên được tặng,5. 포켓몬 조각 선물 시 우편으로 발송됩니다.
45006,6. Gift Pokémon shards of different quality to get different amounts of Pokémon soul stones and Helpful Points rewards,6.贈送不同品質的精靈碎片可以得到不同數量的精靈魂石和熱心人點數獎勵,6. Gift Pokémon shards of different  quality to get different amounts of Pokémon soul stones and Helpful Points rewards,6. Tặng Mảnh Pokémon phẩm chất khác nhau nhận thưởng Hồn Thạch Pokémon và Điểm Nhiệt Tình khác nhau,6. 포켓몬의 등급에 따라 조각 선물을 통해 포켓몬 소울스톤 및 도움 점수 보상을 받을 수 있습니다.
45007,7. All wishes will be removed at 05:00 daily,7.每天5點清空所有的許願列表,7. All wishes will be removed at 05:00 daily,7. 5h hàng ngày xoá toàn bộ danh sách cầu nguyện,7. 매일 0시에 모든 소원 목록이 초기화됩니다.
,,,,,
,,,,,
46001,#C0xFFF5D6#1. Trainers get a treasure chest as a reward for entering each match,#C0xFFF5D6#1.每進行一場比賽，玩家可獲得一個寶箱獎勵,#C0xFFF5D6#1. Trainers get a treasure chest as a reward for entering each match,#C0xFFF5D6#1. Mỗi 1 trận đấu nhận thưởng 1 Rương,#C0xFFF5D6#1. 매회 경기에서 유저는 보물상자 보상을 획득할 수 있습니다.
46002,"#C0xFFF5D6#2. You get gold chest for every victory, silver chest for every defeat",#C0xFFF5D6#2.勝利獲得黃金寶箱，失敗獲得白銀寶箱,"#C0xFFF5D6#2. You get gold chest for every victory, silver chest for every defeat","#C0xFFF5D6#2. Thắng nhận Rương Vàng, thua nhận Rương Bạc","""#C0xFFF5D6#2. 승리 시 황금 보물상자를 획득하며, 패배 시 은색 보물상자를 획득합니다."""
46003,"#C0xFFF5D6#3. There will be a chance to get rings, badges, and other items from the two types of chests.",#C0xFFF5D6#3.兩種寶箱均有概率開出指環、徽章等物品,"#C0xFFF5D6#3. There will be a chance to get rings, badges, and other items from the two types of chests.","#C0xFFF5D6#3. 2 loại Rương đều có cơ hội mở vật phẩm Nhẫn, Huy Hiệu","""#C0xFFF5D6#3. 두 보물상자 모두 일정 확률로 반지, 휘장 등의 아이템을 획득할 수 있습니다."""
46004,"#C0xFFF5D6#4. Rank rewards are given based on day's ranking of Battle of the King, including rare items such as Angemon shards",#C0xFFF5D6#4.根據當天王者之戰排名可獲得排名獎勵，包括天使獸碎片等稀有物品,"#C0xFFF5D6#4. Rank rewards are given based on day's ranking of Battle of the King, including rare items such as Angemon shards","#C0xFFF5D6#4. Nhận thưởng xếp hạng theo xếp hạng Vương Giả Chiến trong ngày, gồm vật phẩm hiếm như Mảnh Angemon.",#C0xFFF5D6#4. 당일 킹즈 배틀 순위에 따라 엔젤몬 조각 등의 희귀 보상을 획득할 수 있습니다.
,,,,,
,,,,,
,,,,,
47001,1. Insert the metal into the Pokémon's matrix slot to give the Pokémon metal value bonus. The matrix slots unlock as the team level increases;,1.將合金鑲嵌在寵物的矩陣槽上，寵物可獲得合金的數值加成，矩陣槽位元隨戰隊等級解鎖；,1. Insert the metal into the Pokémon's matrix slot to give the Pokémon metal value bonus. The matrix slots unlock as the team level increases;,,"""1. 메탈을 포켓몬의 매트릭스 슬롯에 장착하면 포켓몬이 메탈의 수치 보너스를 획득하며, 매트릭스 슬롯은 팀 레벨에 따라 개방됩니다."""
47002,"2. When the specific type of metal is placed in the matrix slot, the matrix stats bonus can be activated, and the Pokémon's strength will further be enhanced;",2.將合金以指定的類型放置在矩陣槽中時，可啟動矩陣屬性加成，寵物實力將得到進一步提升；,"2. When the specific type of metal is placed in the matrix slot, the matrix stats bonus can be activated, and the Pokémon's strength will further be enhanced;",,"""2. 메탈을 지정 유형에 따라 매트릭스 슬롯에 배치하면 매트릭스 속성 보너스를 활성화할 수 있고, 포켓몬의 실력을 증가시킬 수 있습니다."""
47003,"3. The matrix effect itself has a variety of grades. When the metals that activate the matrix effect reaches a certain grade, the matrix effect can also be upgraded to that grade. This means that the strength of the matrix effect depends on the lowest grade of metal in the matrix;",3.矩陣效果本身存在品質強弱，當啟動矩陣效果的合金全部達到某一品質時，該矩陣效果也可提升至該品質，也即：矩陣效果的強弱取決於矩陣中品質最低的合金；,"3. The matrix effect itself has a variety of grades. When the metals that activate the matrix effect reaches a certain grade, the matrix effect can also be upgraded to that grade. This means that the strength of the matrix effect depends on the lowest grade of metal in the matrix;",,"""3. 매트릭스 효과는 등급에 따라 차이가 있으며, 매트릭스 효과가 활성화된 메탈이 모두 일정 등급에 도달한 경우, 해당 매트릭스 효과도 해당 등급으로 증가합니다. 따라서 매트릭스 효과의 강도는 매트릭스 내 등급이 가장 낮은 메탈에 따라 결정됩니다."""
47004,"4. When a Pokémon activates a matrix effect and there are still empty slots in the matrix, trainers can choose the metal of your choice in the empty slot without affecting the activation of matrix effect;",4.當寵物啟動某個矩陣效果，且當前矩陣槽中還有空位時，可自行選擇在空槽中使用喜歡的合金，不會影響矩陣效果的啟動；,"4. When a Pokémon activates a matrix effect and there are still empty slots in the matrix, trainers can choose the metal of your choice in the empty slot without affecting the activation of matrix effect;",,"""4. 포켓몬이 특정 매트릭스 효과를 이미 활성화했고, 현재 빈 매트릭스 슬롯이 있을 경우, 스스로 빈 슬롯에 마음에 드는 메탈을 선택해 사용할 수 있으며, 매트릭스 효과의 활성에 영향을 미치지 않습니다."""
47005,"5. Excess metals can be converted into metal essence through metal smelting, and the metal essence can be used to upgrade the level of other metals.",5.多餘的合金可通過合金熔煉轉化為合金精華，合金精華可用作提升其他合金的等級。,"5. Excess metals can be converted into metal essence through metal smelting, and the metal essence can be used to upgrade the level of other metals.",,"""5. 남는 메탈은 메탈 분해를 통해 메탈 에센스로 전환할 수 있으며, 메탈 에센스는 다른 메탈의 레벨을 높이는 데 사용합니다."""
,,,,,
48001,Complete the daily tasks in the list to earn and collect the corresponding activity points.,完成列表中的每日任務，即可獲得對應的累計活躍度。,Complete the daily tasks in the list to earn and collect the corresponding activity points.,,목록 내 일일 퀘스트를 완료하면 해당하는 누적 활약도를 획득할 수 있습니다.
