变量名,name,languages,drawlanguages,name_tw,name_en,name_vn,name_kr,cardMarkID,cardType,atkType,develop,branch,branchType,megaIndex,canDevelop,developType,_zawakeID,zawakeID,zawakeFragID,maleRate,gender,chaRnd,chaRecom,nValueRnd,specValue,fightingWeight,starTypeID,advanceTypeID,feelType,feelItems,advanceMax,advanceLevelReq,levelExpID,unitID,levelMax,skinSkillMap,innateSkillID,skillList,starSkillSeqID,starSkillMaxLevel,equipsList,fragID,fragNumType,star,effect,starEffectIndex,abilitySeqID,effortSeqID,gemPosSeqID,gemQualitySeqID,fetterList,townSkill,energy,energyCorrection,introduction,introduction_tw,introduction_en,introduction_vn,introduction_kr,location,location_tw,location_en,location_vn,location_kr
231,Mankey,,,猴怪,Mankey,404404,망키,231,,<7>,1,,,,TRUE,,231,,50231,5000,,1,<7;8;9;12>,1,<40;70;80;35;35;45;305>,1,1,1,1,<612;613;614;602;603>,,,1,231,,,2313,<2311;2312;2313;2316;61101;61102>,231,,<11051;11151;11251;11351;>,20231,1,2,,231,11,1,1,1,<2311;2312;2313>,,,,"Mankey, a Pig Monkey Pokémon of the Fighting-type. Known for its superior footwork, it packs a powerful punch. Although Mankey is usually calm, it does have a bad temper. Once Mankey begins to Thrash, stopping it is impossible.",猴怪，豬猴寶可夢。屬於格鬥類型，出拳神速，步伐輕盈。猴怪平時個性溫和，但一旦激怒就會一發不可收拾。,"Mankey, a Pig Monkey Pokémon of the Fighting-type. Known for its superior footwork, it packs a powerful punch. Although Mankey is usually calm, it does have a bad temper. Once Mankey begins to Thrash, stopping it is impossible.","Mankey, Pig Monkey Pokémon, thuộc hệ chiến đấu. bÌNH thường chúng có tính tình ôn hòa nhưng nếu bị kích động sẽ trở nên mất kiểm soát.","""망키, 돈숭이 포켓몬, 격투 타입으로, 주먹과 스텝이 매우 빠르다. 평소에는 온순하지만 화가 나면 걷잡을 수 없다.""",Burst damage: attacks both allies and enemies,暴力輸出：敵我不分,Burst damage: attacks both allies and enemies,404404,화끈한 공격: 피아식별 불가
232,Primeape,,,火暴猴,Primeape,404404,성원숭,231,,<7>,2,,,,TRUE,,231,,50231,5000,,1,<7;8;9;12>,1,<65;95;105;60;60;70;455>,1,1,1,1,<612;613;614;602;603>,,,1,232,,,2323,<2321;2322;2323;2326;61101;61102>,231,,<11051;11151;11251;11351;>,20231,1,2,,231,11,1,1,1,<2311;2312;2313>,,,,"Primeape, the evolved form of Mankey. It is always outrageously furious. If it gives chase, it will tenaciously track the target no matter how far. Once Primeape begins its strongest attack, Thrash, it goes completely out of control.",火爆猴，猴怪的進化形。隨時都在生氣。一旦被它盯上，到死都會被它纏住。火爆猴的最大絕招大鬧一番，一旦大鬧一番起來就會引起大混亂。,"Primeape, the evolved form of Mankey. It is always outrageously furious. If it gives chase, it will tenaciously track the target no matter how far. Once Primeape begins its strongest attack, Thrash, it goes completely out of control.","Primeape, dạng tiến hóa của Mankey. Lúc nào cũng tức giận, một khi bị nó nhắm đến,nó sẽ không buông tha bạn cho đến chết. Tuyệt chiêu của nó là tạo tiếng ồn gây ra sự hỗn loạn.","""성원숭, 망키의 진화형, 언제나 화가 나 있으며, 한 번 노린 상대는 끝까지 쫓아간다. 성원숭의 필살기는 난동부리기로, 난동을 부린 후에는 혼란에 빠진다.""",Burst damage: attacks both allies and enemies,暴力輸出：敵我不分,Burst damage: attacks both allies and enemies,404404,화끈한 공격: 피아식별 불가
241,Growlithe,,,卡蒂狗,Growlithe,404404,가디,241,,<7>,1,,,,TRUE,,241,241,50241,5000,,1,<10;11;13;9>,1,<55;60;70;45;70;50;350>,1,3,11,3,<618;619;620;602;603>,,,3,241,,,2413,<2411;2412;2413;2416;61101;61102>,241,,<11032;11132;11232;11332;>,20241,2,3,{drawcard=huang_effect_loop},241,1,3,2,2,<2411;2412;2413;2414>,,,,"Growlithe, the Puppy Pokémon. It has pleasant demeanor and great diligence. It drives enemies away with barks and bites.",卡蒂狗，小狗寶可夢。個性認真，喜歡親近人。遇到敵人會對它吠叫，咬住不放，把敵人趕跑。,"Growlithe, the Puppy Pokémon. It has pleasant demeanor and great diligence. It drives enemies away with barks and bites.","Growlithe, Puppy Pokémon. Tính tình nghiêm túc, thân thiện với con người. Khi gặp kẻ thù sẽ sủa to, cắn xé để đánh đuổi.","""가디, 강아지 포켓몬, 충실한 성격으로, 사람을 잘 따른다. 적을 만나면 짖고 물며 쫓아낸다.""",Savage damage: Burning life,暴力輸出：燃燒生命,Savage damage: Burning life,Sát Thương Bạo Lực: HP thiêu đốt,화끈한 공격: HP 연소
242,Arcanine,,,風速狗,Arcanine,404404,윈디,241,,<7>,2,,,,TRUE,,241,241,50241,5000,,1,<10;11;13;9>,1,<90;95;110;80;100;80;555>,1,3,11,3,<618;619;620;602;603>,,,3,242,,,2423,<2421;2422;2423;2426;61101;61102>,241,,<11032;11132;11232;11332;>,20241,2,3,{drawcard=huang_effect_loop},241,1,3,2,2,<2411;2412;2413;2414>,,,,"Arcanine, a Legendary Pokémon. The evolved form of Growlithe that carries a grand mane. Growlithe evolves into Arcanine through its use of a Fire Stone.",風速狗，傳說寶可夢。卡蒂狗的進化形。擁有威風凜凜的鬃發。是卡蒂狗使用火焰之石進化的。,"Arcanine, a Legendary Pokémon. The evolved form of Growlithe that carries a grand mane. Growlithe evolves into Arcanine through its use of a Fire Stone.","Arcanine, Legendary Pokémon. Dạng tiến hóa của Growlithe, có bờm lông vô cùng oai vệ.","""윈디, 전설 포켓몬, 가디의 진화형이다. 위풍당당한 갈기를 지니고 있다. 가디에게 불꽃의돌을 사용해 진화시킬 수 있다.""",Savage damage: Burning life,暴力輸出：燃燒生命,Savage damage: Burning life,Sát Thương Bạo Lực: HP thiêu đốt,화끈한 공격: HP 연소
,Poliwag,,,蚊香蝌蚪,Poliwag,404404,발챙이,251,,,1,,,,TRUE,,,,,5000,,1,<8;9;13;12>,1,<40;90;50;40;40;40;300>,1,2,11,2,<621;622;623;602;603>,,,2,251,,,2513,<2511;2512;2513;2516;61101;61102>,251,,<11022;11122;11222;11322;>,20251,2,2,{drawcard=huang_effect_loop},251,,2,2,2,,,,,"Poliwag, the Tadpole Pokémon. The direction of the spiral on the belly differs by area.",蚊香蝌蚪，蝌蚪寶可夢。肚子漩渦狀花紋是它的特徵。,"Poliwag, the Tadpole Pokémon. The direction of the spiral on the belly differs by area.","Poliwag, Tadpole Pokémon. Hoa văn trên bụng là đặc trưng của loài Pokémon này.","""발챙이, 올챙이 포켓몬, 배의 소용돌이 무늬가 특징이다.""",,,,,
,Poliwhirl,,,蚊香君,Poliwhirl,404404,슈륙챙이,251,,,2,,,,TRUE,,,,,5000,,1,<8;9;13;12>,1,<65;90;65;65;50;50;385>,1,2,11,2,<621;622;623;602;603>,,,2,252,,,2523,<2521;2522;2523;2526;61101;61102>,251,,<11022;11122;11222;11322;>,20251,2,2,{drawcard=huang_effect_loop},251,,2,2,2,,,,,"Poliwhirl, the Tadpole Pokémon. Its highly developed muscles allow Poliwhirl to move efficiently on land, but it is even more agile in water.",蚊香君，蝌蚪寶可夢。擁有發達的肌肉，在陸地上也能活動，不過在水中動得更快。,"Poliwhirl, the Tadpole Pokémon. Its highly developed muscles allow Poliwhirl to move efficiently on land, but it is even more agile in water.","Poliwhirl, Tadpole Pokémon. Đã phát triển cơ bắp để di chuyển trên cạn, tuy nhiên di chuyển dưới nước nhanh hơn.","""슈륙챙이, 올챙이 포켓몬, 발달한 근육을 가지고 있으며, 육지에서도 활동할 수 있지만, 물에서는 더 빨리 움직인다.""",,,,,
,Poliwrath,,,蚊香泳士,Poliwrath,404404,강챙이,251,,,3,1,,,TRUE,,,,,5000,,1,<7;8;9;12>,1,<90;70;95;95;70;90;510>,1,2,11,2,<621;622;623;602;603>,,,2,253,,,2533,<2531;2532;2533;2536;61101;61102>,251,,<11022;11122;11222;11322;>,20251,2,2,{drawcard=huang_effect_loop},251,,2,2,2,,,,,"Poliwrath, the Tadpole Pokémon. It is an excellent swimmer and its powerful muscles make its attacks extremely effective.",蚊香泳士，蝌蚪寶可夢。為了游泳需要具有發達的肌肉。最擅長使用這身肌肉的格鬥系絕招。,"Poliwrath, the Tadpole Pokémon. It is an excellent swimmer and its powerful muscles make its attacks extremely effective.","Poliwrath, Tadpole Pokémon. Có cơ bắp phát triển hơn để bơi nhanh dưới nước. Khi chiến đấu chúng có sở trường sử dụng sức mạnh cơ bắp.","""강챙이, 올챙이 포켓몬, 수영을 위해 발달한 근육을 지니고 있으며, 근육을 활용한 격투 타입 기술에 능숙하다.""",,,,,
,Politoed,,,蚊香蛙皇,Politoed,404404,왕구리,251,,,3,2,,,TRUE,,,,,5000,,1,<22;24;18;20>,1,<90;70;75;75;90;100;500>,1,2,11,2,<621;622;623;602;603>,,,2,254,,,2543,<2541;2542;2543;2546;61101;61102>,251,,<11022;11122;11222;11322;>,20251,2,2,{drawcard=huang_effect_loop},251,,2,2,2,,,,,"Politoed, the Frog Pokémon. Politoed likes to expand its throat and sing out, drawing in Poliwag and Poliwhirl from all around.",蚊香蛙皇，蛙寶可夢。脹起喉嚨叫出的聲音，可以引來四周的蚊香君跟蚊香泳士。,"Politoed, the Frog Pokémon. Politoed likes to expand its throat and sing out, drawing in Poliwag and Poliwhirl from all around.","Politoed, Frog Pokémon. Có những âm thanh phát ra từ cổ họng. Có thể thu hút các Poliwhirl và Poliwrath ở xung quanh.","""왕구리, 개구리 포켓몬, 목을 부풀려 우는 소리는 주변의 발챙이나 슈륙챙이를 모여들게 만든다.""",,,,,
261,Abra,,,凱西,Abra,404404,캐이시,261,,<8>,1,,,,TRUE,,261,261,50261,5000,,1,<6;7;18;19>,1,<25;90;20;15;105;55;310>,1,3,11,3,<606;607;608;602;603>,,,3,261,,,2613,<2611;2612;2613;2616;61101;61102>,261,,<11013;11113;11213;11313;>,20261,3,3,{drawcard=huang_effect_loop},261,3,3,3,3,<2611;2612;2613;2614>,,,,"Abra, a Psychic Power Pokémon. It sleeps eighteen hours a day, but employs telekinesis even while sleeping.",凱西，念力寶可夢。一天之內睡覺十八個小時，但是睡覺的時候還能使用超能力。,"Abra, a Psychic Power Pokémon. It sleeps eighteen hours a day, but employs telekinesis even while sleeping.","Abra, Psi Pokémon. Một ngày ngủ đến 18 tiếng, trong lúc ngủ vẫn có thể sử dụng siêu năng lực.","""캐이시, 초능력 포켓몬, 하루에 18시간은 자고 있다. 하지만 자는 동안에도 초능력을 사용할 수 있다.""",One speed hard control: AOE Disable,一速硬控：群體石化,One speed hard control: AOE Disable,Khống Chế Tốc Độ: hoá đá quần thể,고속 하드 제어: 단체 석화
262,Kadabra,,,勇基拉,Kadabra,404404,윤겔라,261,,<8>,2,,,,TRUE,,261,261,50261,5000,,1,<6;7;18;19>,1,<40;105;35;30;120;70;400>,1,3,11,3,<606;607;608;602;603>,,,3,262,,,2623,<2621;2622;2623;2626;61101;61102>,261,,<11013;11113;11213;11313;>,20261,3,3,{drawcard=huang_effect_loop},261,3,3,3,3,<2611;2612;2613;2614>,,,,"Kadabra, a Psychic Pokémon that employs powerful telekinetic attacks. It is the evolved form of Abra.",勇基拉，會使用超級強力的超能力寶可夢。它是凱西的進化形。,"Kadabra, a Psychic Pokémon that employs powerful telekinetic attacks. It is the evolved form of Abra.","Kadabra, là Pokémon có thể sử dụng sức mạnh thần kì. Đây là dạng tiến hóa của Abra.","""윤겔라, 초능력 포켓몬, 캐이시의 진화형으로, 강력한 초능력을 구사한다.""",One speed hard control: AOE Disable,一速硬控：群體石化,One speed hard control: AOE Disable,Khống Chế Tốc Độ: hoá đá quần thể,고속 하드 제어: 단체 석화
263,Alakazam,,,胡地,Alakazam,404404,후딘,261,,<8>,3,,,,TRUE,,261,261,50261,5000,,1,<6;7;18;19>,1,<55;120;50;45;135;95;500>,1,3,11,3,<606;607;608;602;603>,,,3,263,,,2633,<2631;2632;2633;2636;61101;61102>,261,,<11013;11113;11213;11313;>,20261,3,3,{drawcard=huang_effect_loop},261,3,3,3,3,<2611;2612;2613;2614>,,,,"Alakazam, the Psi Pokémon, and the evolved form of Kadabra. With the brain like a supercomputer, it possesses many different supernatural powers.",胡地，念力寶可夢，勇基拉的進化形。像超級電腦般發達的頭腦能發出各種各樣的超能力。,"Alakazam, the Psi Pokémon, and the evolved form of Kadabra. With the brain like a supercomputer, it possesses many different supernatural powers.","Alakazam, Psi Pokémon, dạng tiến hóa của Kadabra. Như một đầu não máy tính trí tuệ cao, có thể phát ra nhiều dạng siêu năng lực.","""후딘, 초능력 포켓몬, 윤겔라의 진화형이다. 슈퍼 컴퓨터처럼 발달한 두뇌를 지니고 있으며, 다양한 초능력을 사용한다.""",One speed hard control: AOE Disable,一速硬控：群體石化,One speed hard control: AOE Disable,Khống Chế Tốc Độ: hoá đá quần thể,고속 하드 제어: 단체 석화
264,Mega Alakazam,<cn;kr>,,超級胡地,Mega Alakazam,404404,메가후딘,261,,<8>,4,,,2610,TRUE,,262,,50261,5000,,1,<6;7;18;19>,1,<55;150;50;65;175;105;600>,1,3,11,3,<606;607;608;602;603>,,,3,264,,,2643,<2641;2642;2643;2646;61101;61102>,261,,<11013;11113;11213;11313;>,20261,3,3,{drawcard=huang_effect_loop},261,3,3,3,3,<2611;2612;2613;2614>,,,,"It uses psychic powers to levitate itself in the air. After gaining additional spoons to five, it does not hold the spoons but uses its psychic powers to levitate in the air.",運用超能力使自己浮在空中。勺子的數量再次增到了五把，不再握在手中，而是被超能力托舉到了空中。,"It uses psychic powers to levitate itself in the air. After gaining additional spoons to five, it does not hold the spoons but uses its psychic powers to levitate in the air.","Sử dụng siêu năng lực để lơ lửng trong không trung, có thêm chiếc thìa, không cầm trên tay mà sử dụng siêu năng lực khiến chúng bay trong không gian.","""초능력을 활용해 공중에서 부유하는 것도 가능하다. 숟가락이 다섯 개로 늘어났고, 더는 손에 쥐지 않고 초능력으로 공중에 띄워 둔다.""",One speed hard control: AOE Disable,一速硬控：群體石化,One speed hard control: AOE Disable,,고속 하드 제어: 단체 석화
271,Machop,,,腕力,Machop,404404,알통몬,271,,<7>,1,,,,TRUE,,271,271,50271,5000,,1,<11;12;15;16>,1,<70;35;80;50;35;35;305>,1,2,11,2,<612;613;614;602;603>,,,2,271,,,2713,<2711;2712;2713;2716;61101;61102>,271,,<11052;11152;11252;11352;>,20271,2,2,,271,16,2,2,2,<2711;2712;2713>,,,,"Machop, the Superpower Pokémon. Machop have muscles that never tire, no matter how much they exercise. Machop have enough strength to throw 100 average-sized adults.",腕力，怪力寶可夢。擁有不管怎麼運動都不會酸痛的肌肉。據說他的力氣大到可以扔飛100個成人。,"Machop, the Superpower Pokémon. Machop have muscles that never tire, no matter how much they exercise. Machop have enough strength to throw 100 average-sized adults.","Machop, Superpower Pokémon. Có cơ bắp dẻo dai nên dù tập luyện thế nào cũng không biết mệt, nghe nói loài Pokémon này khỏe đến nỗi đủ để ném bay 100 người trưởng thành","""알통몬, 괴력 포켓몬, 얼마나 운동을 해도 근육이 지치지 않는다. 그 힘은 어른 100명을 집어던질 수 있다고 한다.""",Abandon Defense & Extreme Attack,捨棄防守&極致打擊,Abandon Defense & Extreme Attack,404404,방어 포기&극한의 타격
272,Machoke,,,豪力,Machoke,404404,근육몬,271,,<7>,2,,,,TRUE,,271,271,50271,5000,,1,<11;12;15;16>,1,<80;45;100;70;50;60;405>,1,2,11,2,<612;613;614;602;603>,,,2,272,,,2723,<2721;2722;2723;2726;61101;61102>,271,,<11052;11152;11252;11352;>,20271,2,2,,271,16,2,2,2,<2711;2712;2713>,,,,"Machoke's thoroughly toned muscles possess the hardness of steel. This Pokémon has so much strength, it can easily hold aloft a sumo wrestler on just one finger.",鍛煉過的肌肉硬如鋼鐵。它是有著怪力，只需１根手指就能輕鬆舉起相撲力士的寶可夢。,"Machoke's thoroughly toned muscles possess the hardness of steel. This Pokémon has so much strength, it can easily hold aloft a sumo wrestler on just one finger.","luyện tập đến độ cơ bắp trở nên cứng như thép, nhờ vậy mà có sức lực kinh người. Chỉ cần 1 ngón tay là nó có thể dễ dàng nâng được Pokémon Makuhita.","""강철 같은 근육을 지니고 있으며, 씨름 선수의 몸을 손가락 1개로 쉽게 들어올릴 수 있는 괴력의 포켓몬이다.""",Abandon Defense & Extreme Attack,捨棄防守&極致打擊,Abandon Defense & Extreme Attack,404404,방어 포기&극한의 타격
273,Machamp,,,怪力,Machamp,404404,괴력몬,271,,<7>,3,,,,TRUE,,271,271,50271,5000,,1,<24;25;11;12>,1,<90;55;130;80;65;85;505>,1,2,11,2,<612;613;614;602;603>,,,2,273,,,2733,<2731;2732;2733;2736;61101;61102>,271,,<11052;11152;11252;11352;>,20271,2,2,,271,16,2,2,2,<2711;2712;2713>,,,,"It has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This Pokémon tends to leap into action before it thinks.",有著可以扔飛一切東西的力量，但如果是做細活，手臂就會纏在一起。身體會比大腦先一步行動。,"It has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This Pokémon tends to leap into action before it thinks.","Có sức mạnh đủ để gạt phăng mọi thứ cùng một lúc, nhưng khi làm những việc nhỏ thì tay chân bị vướng vào nhau. Hành động trước cả khi kịp suy nghĩ.",무엇이든 내던질 수 있는 힘을 지니고 있다. 하지만 세밀한 작업을 하면 팔이 얽히고 만다. 머리보다 몸이 먼저 움직인다.,Abandon Defense & Extreme Attack,捨棄防守&極致打擊,Abandon Defense & Extreme Attack,404404,방어 포기&극한의 타격
281,Bellsprout,,,喇叭芽,Bellsprout,404404,모다피,281,,<7>,1,,,,TRUE,,281,281,50281,5000,,1,<10;11;13;9>,1,<50;40;75;35;70;30;300>,1,2,11,2,<609;610;611;602;603>,,,2,281,,,2813,<2811;2812;2813;2816;61151;61152>,281,,<11002;11102;11202;11302;>,20281,2,2,,281,16,2,2,2,<2811;2812;2813>,,,,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, it leaks a fluid that melts even iron. It is also quick at capturing prey with its vines.",喇叭芽細軟的身體可以彎曲，無論多強的攻擊都能回避。從口中噴出連鐵都可以溶解的液體。它還能伸出藤鞭捕捉獵物。,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, it leaks a fluid that melts even iron. It is also quick at capturing prey with its vines.","Cơ thể mềm mại của Bellsprout có thể uốn cong, cho dù bị tấn công dữ dội cỡ nào vẫn có thể né được. Một chất lỏng có thể hòa tan sắt có thể được phun ra từ miệng. Nó còn có một chiếc lưỡi có thể kéo dài để bắt con mồi.","""모다피의 가늘고 부드러운 쉽게 휘어지며, 아무리 강한 공격이라도 피할 수 있다. 입에서는 철조차 녹일 수 있는 액체를 뿜어내며, 덩굴채찍으로 사냥감을 붙잡을 수 있다.""",Damage debuff,減益輸出,Damage debuff,404404,대미지 약화
282,Weepinbell,,,口呆花,Weepinbell,404404,우츠동,281,,<7>,2,,,,TRUE,,281,281,50281,5000,,1,<10;11;13;9>,1,<65;55;90;50;85;45;390>,1,2,11,2,<609;610;611;602;603>,,,2,282,,,2823,<2821;2822;2823;2826;61151;61152>,281,,<11002;11102;11202;11302;>,20281,2,2,,281,16,2,2,2,<2811;2812;2813>,,,,"Weepinbell, the Flycatcher Pokémon. Weepinbell looks like a plant and covers opponents with a poisonous powder in order to catch them.",口呆花，捕蠅小精靈，和植物一模一樣的小精靈。會用毒粉沾滿大意走近的獵物，然後把他們捉住。,"Weepinbell, the Flycatcher Pokémon. Weepinbell looks like a plant and covers opponents with a poisonous powder in order to catch them.","Weepinbell, một dạng tinh linh trông hệt như thực vật. Sử dụng độc phấn để tiếp cận con mồi rồi sau đó bắt chúng.","""우츠동, 파리잡이 포켓몬, 식물과 똑같이 생긴 포켓몬이다. 방심한 사냥감에게 독가루를 뿌려 붙잡는다.""",Damage debuff,減益輸出,Damage debuff,404404,대미지 약화
283,Victreebel,,,大食花,Victreebel,404404,우츠보트,281,,<7>,3,,,,TRUE,,281,281,50281,5000,,1,<10;11;13;9>,1,<80;70;105;65;100;70;490>,1,2,11,2,<609;610;611;602;603>,,,2,283,,,2833,<2831;2832;2833;2836;61151;61152>,281,,<11002;11102;11202;11302;>,20281,2,2,,281,16,2,2,2,<2811;2812;2813>,,,,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.",用花蜜的香味引誘獵物。據說進到嘴裡的東西會在1天內連骨頭都被溶解掉。,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.",Thu hút con mồi bằng mùi mật hoa. Nghe nói rằng những gì trong miệng sẽ bị tiêu hóa trong vòng 1 ngày.,꿀냄새로 먹잇감을 유혹한다. 입안에 들어온 것은 하루 만에 뼈까지 녹여버린다고 한다.,Damage debuff,減益輸出,Damage debuff,404404,대미지 약화
,Tentacool,,,瑪瑙水母,Tentacool,404404,왕눈해,291,,,1,,,,TRUE,,,,,5000,,1,<6;8;22;25>,1,<40;70;40;35;50;100;335>,1,2,11,2,<621;622;623;602;603>,,,2,291,,,2913,<2911;2912;2913;2916;61101;61102>,291,,<11022;11122;11222;11322;>,20291,2,2,{drawcard=huang_effect_loop},291,,2,2,2,,,,,"Tentacool, a Jellyfish Pokémon. 99% of its body is made up of water.",瑪瑙水母，水母寶可夢，身體的百分之九十九是由水組成的,"Tentacool, a Jellyfish Pokémon. 99% of its body is made up of water.","Tentacool, Jellyfish Pokémon, 99% cơ thể là nước.","""왕눈해, 해파리 포켓몬, 몸의 99%가 물로 이루어져 있다.""",,,,,
,Tentacruel,,,毒刺水母,Tentacruel,404404,독파리,291,,,2,,,,TRUE,,,,,5000,,1,<6;8;22;25>,1,<80;100;70;65;80;120;515>,1,2,11,2,<621;622;623;602;603>,,,2,292,,,2923,<2921;2922;2923;2926;61101;61102>,291,,<11022;11122;11222;11322;>,20291,2,2,{drawcard=huang_effect_loop},291,,2,2,2,,,,,"Tentacruel, an evolved form of the Tentacool. Its numerous tentacles serve as a powerful weapon. It is known as ""The Gangster of the Sea.""",毒刺水母，那是瑪瑙水母的進化形。無數的觸手是它最強大的武器。綽號叫做海中流氓。,"Tentacruel, an evolved form of the Tentacool. Its numerous tentacles serve as a powerful weapon. It is known as ""The Gangster of the Sea.""","Tentacruel, là dạng tiến hóa của Tentacool. Vũ khí lợi hại là vô số xúc tu quanh cơ thể","""독파리, 왕눈해의 진화형이다. 수많은 촉수를 무기로 사용하며, 바다의 무법자로 불린다.""",,,,,
301,Geodude,,,小拳石,Geodude,404404,꼬마돌,301,,<7>,1,,,,TRUE,,301,301,50301,5000,,1,<15;16;11;12>,1,<40;20;80;100;30;30;300>,1,2,11,2,<615;616;617;602;603>,,,2,301,,,3013,<3011;3012;3013;3016;61151;61152>,301,,<11042;11142;11242;11342;>,20301,2,2,,301,17,2,2,2,<3011;3012;3013>,,,,"Geodude, the Rock Pokémon. Geodude has incredibly high defensive power, making it virtually resistant to any physical attacks.",小拳石，岩石寶可夢。防禦力非常高，對於物理攻擊有超群的耐久性。,"Geodude, the Rock Pokémon. Geodude has incredibly high defensive power, making it virtually resistant to any physical attacks.","Geodude, Rock Pokémon. Khả năng phòng thủ vô cùng cao, cực kì lì đòn với các pha tấn công vật lí.","""꼬마돌, 암석 포켓몬, 방어력이 매우 높으며, 물리공격에 엄청난 내성을 발휘한다.""",Taunt shield,嘲諷肉盾,Taunt shield,Trào Phúng Nhục Thuẫn,탱커 도발
302,Graveler,,,隆隆石,Graveler,404404,데구리,301,,<7>,2,,,,TRUE,,301,301,50301,5000,,1,<15;16;11;12>,1,<55;35;95;115;45;45;390>,1,2,11,2,<615;616;617;602;603>,,,2,302,,,3023,<3021;3022;3023;3026;61151;61152>,301,,<11042;11142;11242;11342;>,20301,2,2,,301,17,2,2,2,<3011;3012;3013>,,,,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid. Despite having legs, it can revert to a legless form similar to Geodude. This grants it the ability to float.",隆隆石經常快速的從山路上滾下來，碾碎路上的任何東西。儘管長了腳，它可以回復到跟小拳石相同的形態給予自己飄浮的能力，但會少掉兩隻腳。,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid. Despite having legs, it can revert to a legless form similar to Geodude. This grants it the ability to float.","Graveler thường lăn từ trên núi xuống và nghiền nát mọi thứ nó đi qua, dù đã mọc chân nhưng nó vẫn có thể hóa thành một khối đá nhỏ như chiếc phao nôi khi cần thiết, có điều đôi chân sẽ biến mất.","""데구리는 산길에서 빠르게 굴러 내려오며, 길에 있는 어떤 물건이든 부딪혀 부숴버린다. 다리가 자라긴 했지만, 꼬마돌과 동일한 형태로 부유할 수 있다. 대신 다리가 다시 없어진다.""",Taunt shield,嘲諷肉盾,Taunt shield,Trào Phúng Nhục Thuẫn,탱커 도발
303,Golem,,,隆隆岩,Golem,404404,딱구리,301,,<7>,3,,,,TRUE,,301,301,50301,5000,,1,<15;16;11;12>,1,<80;45;120;130;55;65;495>,1,2,11,2,<615;616;617;602;603>,,,2,303,,,3033,<3031;3032;3033;3036;61151;61152>,301,,<11042;11142;11242;11342;>,20301,2,2,,301,17,2,2,2,<3011;3012;3013>,,,,"Golem, a Megaton Pokémon. Once a year it sheds its bedrock shell and grows larger.",隆隆岩，重量級寶可夢。被硬得像岩石的堅硬外殼包圍著，一年一度蛻皮一次，體積會變大。,"Golem, a Megaton Pokémon. Once a year it sheds its bedrock shell and grows larger.","Golem, Megaton Pokémon. Cơ thể được bao bọc bởi 1 lớp vỏ cứng như đá, mỗi năm sẽ lột da một lần, thể trọng cũng ngày một tăng.","""딱구리, 메가톤 포켓몬, 암반처럼 단단한 껍데기로 뒤덮여 있으며, 1년에 한 번 허물을 벗어 몸집이 커진다.""",Taunt shield,嘲諷肉盾,Taunt shield,Trào Phúng Nhục Thuẫn,탱커 도발
,Ponyta,,,小火馬,Ponyta,404404,포니타,311,,,1,,,,TRUE,,,,,5000,,1,<8;9;13;12>,1,<50;90;85;55;65;65;410>,1,2,11,2,<618;619;620;602;603>,,,2,311,,,3113,<3111;3112;3113;3116;61101;61102>,311,,<11032;11132;11232;11332;>,20311,2,2,{drawcard=huang_effect_loop},311,,2,2,2,,,,,"Ponyta, a Fire Horse Pokémon. Its beautiful mane is made of intense flames.",小火馬，屬於火馬寶可夢。美麗的鬃發是熊熊燃燒的火焰。,"Ponyta, a Fire Horse Pokémon. Its beautiful mane is made of intense flames.","Ponyta, Fire Horse Pokémon. Pokémon có chiếc bờm lửa tuyệt đẹp.","""포니타, 불의말 포켓몬, 아름다운 갈기는 불타는 화염이다.""",,,,,
,Rapidash,,,烈焰馬,Rapidash,404404,날쌩마,311,,,2,,,,TRUE,,,,,5000,,1,<8;9;13;12>,1,<65;105;100;70;80;80;500>,1,2,11,2,<618;619;620;602;603>,,,2,312,,,3123,<3121;3122;3123;3126;61101;61102>,311,,<11032;11132;11232;11332;>,20311,2,2,{drawcard=huang_effect_loop},311,,2,2,2,,,,,"Rapidash, the Fire Horse Pokémon. A Fire type. It loves to gallop. Whenever it sees something moving fast, it gets the urge to race.",烈焰馬，火馬寶可夢，是火屬性的。他最喜歡跑步了，只要看到比自己快的東西，就想跟對方賽跑。,"Rapidash, the Fire Horse Pokémon. A Fire type. It loves to gallop. Whenever it sees something moving fast, it gets the urge to race.","Rapidash, Fire Horse Pokémon, thuộc hệ lửa. Thích nhất là chạy, chỉ cần nhìn thấy thứ gì chạy nhanh hơn mình là muốn chạy đua.","""날쌩마, 불의말 포켓몬, 달리기를 매우 좋아해서, 자신보다 빠른 것을 발견하면 경주를 하고 싶어한다.""",,,,,
