变量名,name,name_tw,name_en,name_vn,name_kr,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage
4172,404404,美錄梅塔,404404,404404,404404,base,4,17,,,,,,,4171,,config/portrait/speedranktouxiang/img_809_mlmt@.png,config/portrait/jinglingtouxiang/img_809_mlmt@.png,config/portrait/jinglingtouxiang1/img_809_mlmt@.png,config/portrait/simple/img_809_mlmt@.png,config/big_hero/normal/img_809_mlmt@.png,1.8,{x=40;y=-60},koudai_meilumeita/hero_meilumeita.skel,,config/big_hero/standby/img_809_mlmt@.png,,,<41724>,<41721;41722;41723>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2,,,1.2,,,,,,,,,,,,,65.294,1.233,14.098,12.335,5.65,4.751,1.74,1.37,1.76,1.76,1.54,1.48,4542,1000,400,,,,1016,661,471,299,0,0,59,0,15000,1000,1500,0,3500,0,10000,0,10000,500,1000,0,500,,,0,0,,,,,,
7001,404404,小智版皮卡丘,404404,404,404,base,3,5,,,,,,,7001,,config/portrait/speedranktouxiang/img_25_xzpkq@.png,config/portrait/jinglingtouxiang/img_25_xzpkq@.png,config/portrait/jinglingtouxiang1/img_25_xzpkq@.png,config/portrait/simple/img_25_xzpkq@.png,config/big_hero/normal/img_25_xzpkq@.png,1.1,{x=-20;y=30},koudai_xiaozhibanpikaqiu/hero_xiaozhibanpikaqiu.skel,,config/big_hero/standby/img_25_pkq@.png,,{x=140;y=-20},,<941;942;943>,,,{'hitPos'={'x'=0;'y'=145};'lifePos'={'x'=0;'y'=310};'headPos'={'x'=0;'y'=270};'namePos'={'x'=0;'y'=310}},,,,1.82,,,1.2,,,,,,,,,,,,,50.659,1.377,11.454,11.214,4.205,4.269,1.35,1.53,1.43,1.31,1.4,1.33,1828,1000,400,,,,493,450,155,163,0,0,81,600,15000,0,0,0,3000,0,10000,0,10000,800,300,0,0,,,0,0,,,300,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<41614;41610>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Scizor,巨鉗螳螂,Scizor,404404,핫삼,base,3,12,17,,,,,,572,,config/portrait/speedranktouxiang/img_212_jqtljtqs@.png,config/portrait/jinglingtouxiang/img_212_jqtljtqs@.png,config/portrait/jinglingtouxiang1/img_212_jqtljtqs@.png,config/portrait/simple/img_212_jqtljtqs@.png,config/big_hero/normal/img_212_jqtljtqs@.png,1.6,{x=30;y=-20},koudai_juqiantanglang_jietouquanshou/hero_juqiantanglang_jietouquanshou.skel,,config/big_hero/standby/img_212_jqtljtqs@.png,,,,<5731;5732;5733>,,,{'hitPos'={'x'=0;'y'=170};'lifePos'={'x'=0;'y'=360};'headPos'={'x'=0;'y'=320};'namePos'={'x'=0;'y'=360}},,,,2.3,,,1.2,,,,,,,,,,,,,48.783,1.152,11.935,10.013,4.462,4.269,1.3,1.28,1.49,1.39,1.25,1.33,1505,1000,400,,,,576,266,196,163,0,0,43,1000,15000,0,0,500,3000,0,10000,0,10000,500,0,0,0,,,0,0,,,,,,
1395,Gardevoir,沙奈朵,Gardevoir,404404,가디안,base,3,11,18,,,,,,1393,,config/portrait/speedranktouxiang/img_282_sndyx@.png,config/portrait/jinglingtouxiang/img_282_sndyx@.png,config/portrait/jinglingtouxiang1/img_282_sndyx@.png,config/portrait/simple/img_282_sndyx@.png,config/big_hero/normal/img_282_sndyx@.png,1.1,{x=10;y=0},koudai_shanaiduo_yuanxiaopifu/hero_shanaiduo_yuanxiaopifu.skel,,config/big_hero/standby/img_282_sndyx@.png,,{x=140;y=-20},,<13951;13952;13953>,,,{'hitPos'={'x'=0;'y'=165};'lifePos'={'x'=0;'y'=350};'headPos'={'x'=0;'y'=310};'namePos'={'x'=0;'y'=350}},,,,2.3,,,1.3,,,,,,,,,,,,,48.408,1.197,10.253,11.775,4.109,4.622,1.29,1.33,1.28,1.28,1.47,1.44,1467,1000,400,,,,302,551,140,222,0,0,49,300,15000,300,0,300,3000,0,10000,0,10000,800,300,0,0,,,0,0,,,,,,
2432,Darkrai,達克萊伊,Darkrai,404404,다크라이,base,4,16,,,,,,,2431,,config/portrait/speedranktouxiang/img_491_dklygd@.png,config/portrait/jinglingtouxiang/img_491_dklygd@.png,config/portrait/jinglingtouxiang1/img_491_dklygd@.png,config/portrait/simple/img_491_dklygd@.png,config/big_hero/normal/img_491_dklygd@.png,0.87,{x=15;y=-10},koudai_dakelaiyi_guaidao/hero_dakelaiyi_guaidao.skel,,config/big_hero/standby/img_491_dklygd@.png,,{x=180;y=-60},<24324>,<24321;24322;24323>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=370};'headPos'={'x'=0;'y'=330};'namePos'={'x'=0;'y'=370}},,,,1.9,,,1.2,,,,,,,,,,,,,56.288,1.53,12.576,13.937,5.04,5.04,1.5,1.7,1.57,1.57,1.74,1.57,2860,1000,400,,,,711,970,349,349,0,0,111,500,15000,500,500,500,3000,0,10000,0,10000,1000,1000,0,0,,,0,0,,,500,,,
3022,Cryogonal,幾何雪花,Cryogonal,404404,프리지오,base,3,6,,,,,,,3021,,config/portrait/speedranktouxiang/img_615_jhxhsd@.png,config/portrait/jinglingtouxiang/img_615_jhxhsd@.png,config/portrait/jinglingtouxiang1/img_615_jhxhsd@.png,config/portrait/simple/img_615_jhxhsd@.png,config/big_hero/normal/img_615_jhxhsd@.png,1,{x=0;y=20},koudai_jihexuehua_shengdanpifu/hero_jihexuehua_shengdanpifu.skel,,config/big_hero/standby/img_615_jhxhsd@.png,,{x=140;y=-20},<30224>,<30221;30222;30223>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2.4,,,1.44,,,,,,,,,,,,,49.909,1.269,9.852,11.054,3.948,4.815,1.33,1.41,1.23,1.23,1.38,1.5,1684,1000,400,,,,248,421,119,259,0,0,61,0,15000,0,500,0,3500,0,10000,0,10000,0,500,0,0,,,0,0,,,,,,
3632,Diancie,蒂安希,Diancie,404404,디안시,base,4,13,18,,,,,,3631,,config/portrait/speedranktouxiang/img_719_daxsd@.png,config/portrait/jinglingtouxiang/img_719_daxsd@.png,config/portrait/jinglingtouxiang1/img_719_daxsd@.png,config/portrait/simple/img_719_daxsd@.png,config/big_hero/normal/img_719_daxsd@.png,1.5,{x=0;y=-50},koudai_dianxi_shengdanpifu/hero_dianxi_shengdanpifu.skel,,config/big_hero/standby/img_719_daxsd@.png,,,<36324;>,<36321;36322;36323>,,,{'hitPos'={'x'=0;'y'=165};'lifePos'={'x'=0;'y'=350};'headPos'={'x'=0;'y'=310};'namePos'={'x'=0;'y'=350}},,,,2.4,,,1.44,,,,,,,,,,,,,53.661,1.287,12.896,12.896,5.746,5.746,1.43,1.43,1.61,1.79,1.61,1.79,2427,1000,400,,,,765,765,490,490,0,0,67,0,15000,500,1000,0,3000,0,10000,0,10000,500,1500,0,500,,,0,0,,,,,,
3643,Hoopa Unbound Skin,,Hoopa Unbound Skin,404404,404404,base,4,11,16,,,,,,3642,,config/portrait/speedranktouxiang/img_720_cjhp@.png,config/portrait/jinglingtouxiang/img_720_cjhp@.png,config/portrait/jinglingtouxiang1/img_720_cjhp@.png,config/portrait/simple/img_720_cjhp@.png,config/big_hero/normal/img_720_cjhp@.png,1.4,{x=-30;y=70},koudai_hupa/hero_hupa.skel,,config/big_hero/standby/img_720_cjhp@.png,,,,<36431;36432;36433>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=320};'headPos'={'x'=0;'y'=280};'namePos'={'x'=0;'y'=320}},,,,,,,1.5,,,,,,,,,,,,,57.789,1.35,13.217,14.338,4.719,5.521,1.54,1.5,1.65,1.47,1.79,1.72,3096,1000,400,,,,822,1062,290,440,0,0,78,1000,15000,0,0,500,3000,0,10000,0,10000,1700,800,500,0,,,0,0,,,,,,
3644,Hoopa Unbound Skin,,Hoopa Unbound Skin,404404,404404,base,4,11,16,,,,,,3642,,config/portrait/speedranktouxiang/img_720_cjhppf@.png,config/portrait/jinglingtouxiang/img_720_cjhppf@.png,config/portrait/jinglingtouxiang1/img_720_cjhppf@.png,config/portrait/simple/img_720_cjhppf@.png,config/big_hero/normal/img_720_cjhppf@.png,1.4,{x=-30;y=70},koudai_hupa_pifu/hero_hupapifu.skel,,config/big_hero/standby/img_720_cjhppf@.png,,,,<36441;36442;36443>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=370};'headPos'={'x'=0;'y'=330};'namePos'={'x'=0;'y'=370}},,,,2.1,,,1.5,,,,,,,,,,,,,57.789,1.35,13.217,14.338,4.719,5.521,1.54,1.5,1.65,1.47,1.79,1.72,3096,1000,400,,,,822,1062,290,440,0,0,78,1000,15000,0,0,500,3000,0,10000,0,10000,1700,800,500,0,,,0,0,,,,,,
9999,Xerneas,哲爾尼亞斯,Xerneas,404404,404404,base,4,18,,,,,,,3601,,config/portrait/speedranktouxiang/img_716_zenys@.png,config/portrait/jinglingtouxiang/img_716_zenys@.png,config/portrait/jinglingtouxiang1/img_716_zenys@.png,config/portrait/simple/img_716_zenys@.png,config/big_hero/normal/img_716_zenys@.png,1.4,{x=10;y=0},koudai_jiandunjianguai/hero_jiandunjianguai.skel,,config/big_hero/standby/img_716_zenys@.png,,,<136014>,<136011;136012;136013>,,,,,,,,,,,,,,,,,,,,,,,63.793,1.449,13.777,13.777,5.104,5.136,1.7,1.61,1.72,1.59,1.72,1.6,4274,1000,400,,,,943,943,360,366,0,0,94,0,15000,1000,1000,0,3000,0,10000,0,10000,500,1500,0,500,,,0,0,500,,,500,,
1983,Mega Rayquaza,裂空座,Mega Rayquaza,Rayquaza,레쿠쟈,base,4,15,10,,,,,,1981,,config/portrait/speedranktouxiang/img_384_lkz@.png,config/portrait/jinglingtouxiang/img_384_lkz@.png,config/portrait/jinglingtouxiang1/img_384_lkz@.png,config/portrait/simple/img_384_lkz@.png,config/big_hero/normal/img_384_lkz@.png,1.3,{x=50;y=-30},koudai_liekongzuo/hero_liekongzuo.skel,,config/big_hero/standby/img_384_lkz@.png,,{x=140;y=-20},,<19821;19822;19823>,,,{'hitPos'={'x'=0;'y'=195};'lifePos'={'x'=0;'y'=410};'headPos'={'x'=0;'y'=370};'namePos'={'x'=0;'y'=410}},,,,2.3,,,1.4,,,,,,,,,,,,,61.167,1.431,14.338,14.338,5.04,5.04,1.63,1.59,1.79,1.57,1.79,1.57,3717,1000,400,,,,1062,1062,349,349,0,0,92,1500,15500,0,0,1000,3000,0,10000,0,10000,1000,0,500,0,,,0,0,,,,,,
4173,404404,,404404,404404,404404,base,4,17,,,,,,,4171,,config/portrait/speedranktouxiang/img_808_mlt@.png,config/portrait/jinglingtouxiang/img_808_mlt@.png,config/portrait/jinglingtouxiang1/img_808_mlt@.png,config/portrait/simple/img_808_mlt@.png,config/big_hero/normal/img_808_mlt@.png,1.8,{x=40;y=-60},koudai_meilutan/hero_meilutan.skel,,config/big_hero/standby/img_808_mlt@.png,,,<41734;41736>,<41731;41732;41733>,,,{'hitPos'={'x'=0;'y'=105};'lifePos'={'x'=0;'y'=230};'headPos'={'x'=0;'y'=190};'namePos'={'x'=0;'y'=230}},,,,2.5,,,2,,,,,,,,,,,,,65.294,1.233,14.098,12.335,5.65,4.751,1.74,1.37,1.76,1.76,1.54,1.48,4542,1000,400,,,,1016,661,471,299,0,0,59,0,15000,1000,1500,0,3500,0,10000,0,10000,500,1000,0,500,,,0,0,,,,,,
575,404404,超級巨鉗螳螂皮膚,404404,404404,404404,base,3,12,17,,,,,,574,,config/portrait/speedranktouxiang/img_212_jqtlmegapifu@.png,config/portrait/jinglingtouxiang/img_212_jqtlmegapifu@.png,config/portrait/jinglingtouxiang1/img_212_jqtlmegapifu@.png,config/portrait/simple/img_212_jqtlmegapifu@.png,config/big_hero/normal/img_212_jqtlmegapifu@.png,1.6,{x=30;y=-20},koudai_juqiantanglangmega_pifu/hero_juqiantanglangmega_pifu.skel,,config/big_hero/standby/img_212_jqtlmegapifu@.png,,,,<5751;5752;5753>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=370};'headPos'={'x'=0;'y'=330};'namePos'={'x'=0;'y'=370}},,,,2.2,,,1.3,,,,,,,,,,,,,48.783,1.179,12.416,10.253,4.879,4.462,1.3,1.31,1.55,1.52,1.28,1.39,1505,1000,400,,,,672,302,269,196,0,0,47,1500,15000,0,0,500,3000,0,10000,0,10000,500,0,0,0,,,0,0,,,,,,
1397,Gardevoir,超級沙奈朵皮膚,Gardevoir,404404,가디안,base,3,11,18,,,,,,1396,,config/portrait/speedranktouxiang/img_282_sndpf@.png,config/portrait/jinglingtouxiang/img_282_sndpf@.png,config/portrait/jinglingtouxiang1/img_282_sndpf@.png,config/portrait/simple/img_282_sndpf@.png,config/big_hero/normal/img_282_sndpf@.png,1.4,{x=15;y=-50},koudai_shanaiduomega_pifu/hero_shanaiduomega_pifu.skel,,config/big_hero/standby/img_282_snd@.png,,{x=140;y=-20},<13974>,<13971;13972;13973>,,,{'hitPos'={'x'=0;'y'=185};'lifePos'={'x'=0;'y'=390};'headPos'={'x'=0;'y'=350};'namePos'={'x'=0;'y'=390}},,,,2.3,,,1.5,,,,,,,,,,,,,48.408,1.251,10.733,12.816,4.109,4.815,1.29,1.39,1.34,1.28,1.6,1.5,1467,1000,400,,,,378,750,140,259,0,0,58,300,15000,300,0,300,3000,0,10000,0,10000,800,300,0,0,,,0,0,,,,,,
2243,Lucario,路卡利歐,Lucario,404404,루카리오,base,3,7,17,,,,,,2242,,config/portrait/speedranktouxiang/img_448_lklopf@.png,config/portrait/jinglingtouxiang/img_448_lklopf@.png,config/portrait/jinglingtouxiang1/img_448_lklopf@.png,config/portrait/simple/img_448_lklopf@.png,config/big_hero/normal/img_448_lklopf@.png,0.9,{x=30;y=0},koudai_lukaliou_pifu/hero_lukaliou_pifu.skel,,config/big_hero/standby/img_448_cjlklo@.png,,,,<22431;22432;22433>,,,{'hitPos'={'x'=0;'y'=185};'lifePos'={'x'=0;'y'=390};'headPos'={'x'=0;'y'=350};'namePos'={'x'=0;'y'=390}},,,,2.2,,,1.44,,,,,,,,,,,,,48.783,1.224,11.374,11.534,4.173,4.173,1.3,1.36,1.42,1.3,1.44,1.3,1505,1000,400,,,,483,506,148,148,0,0,54,0,15000,0,0,300,3000,0,10000,0,10000,1200,500,0,0,,,0,0,,,,,,
1282,Celebi,時拉比,Celebi,404404,세레비,base,4,11,4,,,,,,1281,,config/portrait/speedranktouxiang/img_251_slbpf@.png,config/portrait/jinglingtouxiang/img_251_slbpf@.png,config/portrait/jinglingtouxiang1/img_251_slbpf@.png,config/portrait/simple/img_251_slbpf@.png,config/big_hero/normal/img_251_slbpf@.png,1,{x=20;y=0},koudai_shilabi_pifu/hero_shilabi_pifu.skel,,config/big_hero/standby/img_251_slb@.png,,,<12824>,<12821;12822;12823>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=370};'headPos'={'x'=0;'y'=330};'namePos'={'x'=0;'y'=370}},,,,2.1,,,1.3,,,,,,,,,,,,,60.416,1.449,12.896,12.896,5.168,5.168,1.61,1.61,1.61,1.61,1.61,1.61,3585,1000,400,,,,765,765,371,371,0,0,95,0,15000,500,500,0,3000,0,10000,0,10000,500,2000,0,500,,,0,0,,,,500,,
1984,Mega Rayquaza,超級裂空座,Mega Rayquaza,404404,,base,5,15,10,,,,,,1982,,config/portrait/speedranktouxiang/img_384_cjlkzpf@.png,config/portrait/jinglingtouxiang/img_384_cjlkzpf@.png,config/portrait/jinglingtouxiang1/img_384_cjlkzpf@.png,config/portrait/simple/img_384_cjlkzpf@.png,config/big_hero/normal/img_384_cjlkzpf@.png,1.5,{x=40;y=50},koudai_liekongzuo_mega_pifu/liekongzuo_mega_pifu.skel,,config/big_hero/standby/img_384_cjlkzpf@.png,,{x=140;y=-20},<19844>,<19841;19842;19843>,,,{'hitPos'={'x'=0;'y'=195};'lifePos'={'x'=0;'y'=410};'headPos'={'x'=0;'y'=370};'namePos'={'x'=0;'y'=410}},,,,2,,,1.4,,,,,,,,,,,,,66.045,1.62,16.421,16.421,5.585,5.585,1.76,1.8,2.05,1.74,2.05,1.74,4852,1000,400,,,,1589,1589,498,498,0,0,133,2000,15500,0,0,1000,3000,0,10000,0,10000,1500,500,500,0,,,500,0,,,,,,
395,Gengar,耿鬼,Gengar,404404,팬텀,base,3,14,8,,,,,,393,,config/portrait/speedranktouxiang/img_94_ggpf@.png,config/portrait/jinglingtouxiang/img_94_ggpf2@.png,config/portrait/jinglingtouxiang1/img_94_ggpf@.png,config/portrait/simple/img_94_ggpf@.png,config/big_hero/normal/img_94_ggpf@.png,,{x=-5;y=30},koudai_gengguimega_pifu/hero_gengguimega_pifu.skel,putong,config/big_hero/standby/img_94_gg@.png,,,,<3951;3952;3953>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2,,,1.38,,,,,,,,,,,,,47.282,1.278,10.253,11.935,4.045,4.205,1.26,1.42,1.28,1.26,1.49,1.31,1327,1000,400,,,,302,576,133,155,0,0,63,500,15000,0,0,500,3000,0,10000,0,10000,200,800,0,0,,,0,0,,,,,,
396,Mega Gengar,超級耿鬼,Mega Gengar,404404,메가팬텀,base,3,14,8,,,,,,394,,config/portrait/speedranktouxiang/img_94_ggpf@.png,config/portrait/jinglingtouxiang/img_94_ggpf@.png,config/portrait/jinglingtouxiang1/img_94_ggpf@.png,config/portrait/simple/img_94_ggpf@.png,config/big_hero/normal/img_94_ggpf@.png,0.9,{x=-5;y=20},koudai_gengguimega_pifu/hero_gengguimega_pifu.skel,mega,config/big_hero/standby/img_94_cjgg@.png,,,,<3961;3962;3963>,,,{'hitPos'={'x'=0;'y'=180};'lifePos'={'x'=0;'y'=370};'headPos'={'x'=0;'y'=330};'namePos'={'x'=0;'y'=370}},,,,2.2,,,1.44,,,,,,,,,,,,,47.282,1.341,10.253,12.976,4.269,4.43,1.26,1.49,1.28,1.33,1.62,1.38,1327,1000,400,,,,302,778,163,188,0,0,74,600,15000,0,0,800,3000,0,10000,0,10000,800,800,0,0,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9001,Ditto - Purple,百變怪·紫色,Ditto - Purple,404404,메타몽: 보라색,base,2,1,,,,,,,9001,,config/portrait/speedranktouxiang/img_132_bbg_z@.png,config/portrait/jinglingtouxiang/img_132_bbg_z@.png,config/portrait/jinglingtouxiang1/img_132_bbg_z@.png,config/portrait/simple/img_132_bbg_z@.png,config/big_hero/normal/img_132_bbg_z@.png,,{x=20;y=15},koudai_baibianguai_zi/hero_baibianguai_zi.skel,,config/big_hero/standby/img_132_bbg_z@.png,,{x=140;y=-20},,<90011;90012;90013>,,,{'hitPos'={'x'=0;'y'=105};'lifePos'={'x'=0;'y'=230};'headPos'={'x'=0;'y'=190};'namePos'={'x'=0;'y'=230}},,,,2,,,1.8,,,,,,,,,,,,,43.175,0.963,8.571,8.571,3.435,3.435,1.07,1.07,1.07,1.07,1.07,1.07,640,1000,400,,,,127,127,54,54,0,0,23,,15000,,,,,0,10000,0,10000,,,,,,,,,,,,,,
9002,Ditto - Orange,百變怪·橙色,Ditto - Orange,404404,메타몽: 주황색,base,3,1,,,,,,,9002,,config/portrait/speedranktouxiang/img_132_bbg_c@.png,config/portrait/jinglingtouxiang/img_132_bbg_c@.png,config/portrait/jinglingtouxiang1/img_132_bbg_c@.png,config/portrait/simple/img_132_bbg_c@.png,config/big_hero/normal/img_132_bbg_c@.png,,{x=20;y=15},koudai_baibianguai_cheng/hero_baibianguai_cheng.skel,,config/big_hero/standby/img_132_bbg_c@.png,,{x=140;y=-20},,<90021;90022;90023>,,,{'hitPos'={'x'=0;'y'=105};'lifePos'={'x'=0;'y'=230};'headPos'={'x'=0;'y'=190};'namePos'={'x'=0;'y'=230}},,,,2,,,1.8,,,,,,,,,,,,,43.175,0.963,8.571,8.571,3.435,3.435,1.07,1.07,1.07,1.07,1.07,1.07,640,1000,400,,,,127,127,54,54,0,0,23,,15000,,,,,0,10000,0,10000,,,,,,,,,,,,,,
9003,Ditto - Red,百變怪·紅色,Ditto - Red,404404,메타몽: 빨간색,base,4,1,,,,,,,9003,,config/portrait/speedranktouxiang/img_132_bbg_r@.png,config/portrait/jinglingtouxiang/img_132_bbg_r@.png,config/portrait/jinglingtouxiang1/img_132_bbg_r@.png,config/portrait/simple/img_132_bbg_r@.png,config/big_hero/normal/img_132_bbg_r@.png,,{x=20;y=15},koudai_baibianguai_hong/hero_baibianguai_hong.skel,,config/big_hero/standby/img_132_bbg_r@.png,,{x=140;y=-20},,<90031;90032;90033>,,,{'hitPos'={'x'=0;'y'=105};'lifePos'={'x'=0;'y'=230};'headPos'={'x'=0;'y'=190};'namePos'={'x'=0;'y'=230}},,,,2,,,1.8,,,,,,,,,,,,,43.175,0.963,8.571,8.571,3.435,3.435,1.07,1.07,1.07,1.07,1.07,1.07,640,1000,400,,,,127,127,54,54,0,0,23,,15000,,,,,0,10000,0,10000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,Dark Void,黑洞,Dark Void,404404,블랙홀,base,,,,,,,,,,,,,,,,,,koudai_heiyemoling/hero_heiyemoling2.skel,,,,,,,,,{'hitPos'={'x'=0;'y'=170};'lifePos'={'x'=0;'y'=360};'headPos'={'x'=0;'y'=320};'namePos'={'x'=0;'y'=360}},,,,1.9,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,Phoenix Egg,鳳凰蛋,Phoenix Egg,Trứng Phượng Hoàng,피닉스의 알,base,,,,,,,,,,,,,,,,,,buff/fuhuo/fuhuo_fengwang.skel,,,,,,,,,{'hitPos'={'x'=0;'y'=170};'lifePos'={'x'=0;'y'=360};'headPos'={'x'=0;'y'=320};'namePos'={'x'=0;'y'=360}},,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,Excadrill's digging,龍頭地鼠鑽洞,Excadrill's digging,404404,몰드류의 구멍 뚫기,base,,,,,,,,,,,,,,,,,,koudai_longtoudishu/hero_longtoudishu2.skel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,Dark Void,光轮,Dark Void,404404,404404,base,,,,,,,,,,,,,,,,,,koudai_hupa/hupa_buff.skel,,,,,,,,,{'hitPos'={'x'=0;'y'=170};'lifePos'={'x'=0;'y'=360};'headPos'={'x'=0;'y'=320};'namePos'={'x'=0;'y'=360}},,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,Illusion,帕路奇亞,Illusion,404404,환영,base,4,3,15,,,,,,2361,,config/portrait/speedranktouxiang/img_484_plqy@.png,config/portrait/jinglingtouxiang/img_484_plqy@.png,config/portrait/jinglingtouxiang1/img_484_plqy@.png,config/portrait/simple/img_484_plqy@.png,config/big_hero/normal/img_484_plqy@.png,,,koudai_baibianguai_cheng/hero_baibianguai_cheng.skel,,config/big_hero/standby/img_484_plqy@.png,,,<23656>,<23651;23652;23653>,,,,,,,,,,1.35,,,,,,,,,,,,,58.915,1.449,13.457,14.338,5.168,5.393,1.57,1.61,1.68,1.61,1.79,1.68,3330,1000,400,,500,,878,1062,371,416,0,0,95,1000,15000,0,0,1000,3000,0,10000,0,10000,1500,500,500,0,,,0,0,,,,,2,
2366,Palkia,,Palkia,404404,404404,base,4,3,15,,,,,,2361,,config/portrait/speedranktouxiang/img_484_plqy@.png,config/portrait/jinglingtouxiang/img_484_plqy@.png,config/portrait/jinglingtouxiang1/img_484_plqy@.png,config/portrait/simple/img_484_plqy@.png,config/big_hero/normal/img_484_plqy@.png,,,koudai_heiyemoling/hero_heiyemoling2.skel,,config/big_hero/standby/img_484_plqy@.png,,,<23666>,<23611;23612;23613>,,,,,,,,,,1.35,,,,,,,,,,,,,58.915,1.449,13.457,14.338,5.168,5.393,1.57,1.61,1.68,1.61,1.79,1.68,3330,1000,400,,500,,878,1062,371,416,0,0,95,1000,15000,0,0,1000,3000,0,10000,0,10000,1500,500,500,0,,,0,0,,,,,2,
3245,Kyurem Ice Cube,,Kyurem Ice Cube,,,base,4,15,6,,,,,,1921,,config/portrait/speedranktouxiang/img_3245_bq@.png,config/portrait/jinglingtouxiang/img_378_ljas@.png,config/portrait/jinglingtouxiang1/img_378_ljas@.png,config/portrait/simple/img_378_ljas@.png,config/big_hero/normal/img_378_ljas@.png,1.2,{x=-80;y=30},koudai_qlmbingqiang/bingqiang.skel,,config/big_hero/standby/img_378_ljas@.png,,,<32451>,<32421;32422;32423>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,1.9,,,1.35,,,,,,,,,,,,,49.909,1.107,9.852,11.134,4.462,5.489,1.33,1.23,1.23,1.39,1.39,1.71,1684,1000,400,,,,248,440,196,397,0,0,37,0,15000,500,500,0,3000,0,10000,0,10000,,1000,0,0,,,0,0,,,,,3,
