"﻿变量名",title,title_tw,title_en,title_vn,title_kr,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,message_tw,message_en,needNotice_vn,message_kr,conditionDesc,conditionDesc_tw,conditionDesc_en,conditionDesc_kr,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3
49,God of Battle,對決之神,God of Battle,title4044404,대결의 신,<cn;kr;en;tw>,spine,,,title/ch_djzs.skel,<254;104>,1,,,,,onlineFightUnlimited,1,,,7,"#C0xFF5B545B#[PVP Arena Unlimited Mode No.1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",#C0xFF5B545B#【對戰競技場無限制模式No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧！,"#C0xFF5B545B#[PVP Arena Unlimited Mode No.1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",title4044404,#C0xFF5B545B#【대전 경기장 무제한 모드No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 시작됐으니 빨리 그를 찾아 사인을 받아라!,Obtain by be in 1st place when weekly settle and season settle in unlimited mode,周結算、賽季結算時處於無限制賽模式第1名時獲得,Obtain by be in 1st place when weekly settle and season settle in unlimited mode,"주간 결산, 시즌 결산 시 무제한 경기 모드 1위가 획득",,,,,,,,0,16,100,,,,,,
50,Battle Master,對決大師,Battle Master,title4044404,대결 마스터,<cn;kr;en;tw>,spine,,,title/ch_djds.skel,<254;104>,1,,,,,onlineFightUnlimited,2,,,7,"#C0xFF5B545B#[PVP Arena Unlimited Mode No.2]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",#C0xFF5B545B#【對戰競技場無限制模式No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧！,"#C0xFF5B545B#[PVP Arena Unlimited Mode No.2]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",title4044404,#C0xFF5B545B#【대전 경기장 무제한 모드No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 시작됐으니 빨리 그를 찾아 사인을 받아라!,Obtain by be in 2st place when weekly settle and season settle in unlimited mode,周結算、賽季結算時處於無限制賽模式第2名時獲得,Obtain by be in 2st place when weekly settle and season settle in unlimited mode,"주간 결산, 시즌 결산 시 무제한 경기 모드 2위가 획득",,,,,,,,0,16,100,,,,,,
51,Battle Veteran,對決高手,Battle Veteran,title4044404,대결 고수,<cn;kr;en;tw>,spine,,,title/ch_djgs.skel,<254;104>,1,,,,,onlineFightUnlimited,3,,,7,"#C0xFF5B545B#[PVP Arena Unlimited Mode No.3]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",#C0xFF5B545B#【對戰競技場無限制模式No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧！,"#C0xFF5B545B#[PVP Arena Unlimited Mode No.3]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",title4044404,#C0xFF5B545B#【대전 경기장 무제한 모드No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 시작됐으니 빨리 그를 찾아 사인을 받아라!,Obtain by be in 3st place when weekly settle and season settle in unlimited mode,周結算、賽季結算時處於無限制賽模式第3名時獲得,Obtain by be in 3st place when weekly settle and season settle in unlimited mode,"주간 결산, 시즌 결산 시 무제한 경기 모드 3위가 획득",,,,,,,,0,16,100,,,,,,
52,King of Skill,絕技之王,King of Skill,title4044404,묘기의 왕,<cn;kr;en;tw>,spine,,,title/ch_jjzw.skel,<254;104>,1,,,,,onlineFightLimited,1,,,7,"#C0xFF5B545B#[PVP Arena Fair Mode No.1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",#C0xFF5B545B#【對戰競技場公平模式No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧！,"#C0xFF5B545B#[PVP Arena Fair Mode No.1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",title4044404,#C0xFF5B545B#【대전 경기장 공평 모드No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#시작됐으니 빨리 그를 찾아 사인을 받아라!,Obtain by be in 1st place when weekly settle and season settle in Fair Mode,周結算、賽季結算時處於公平賽模式第1名時獲得,Obtain by be in 1st place when weekly settle and season settle in Fair Mode,"주간 결산, 시즌 결산 시 공평 경기 모드 1위가 획득",,,,,,,,0,16,100,,,,,,
53,Skill Master,絕技大師,Skill Master,title4044404,묘기 마스터,<cn;kr;en;tw>,spine,,,title/ch_jjds.skel,<254;104>,1,,,,,onlineFightLimited,2,,,7,"#C0xFF5B545B#[PVP Arena Fair Mode No.2]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",#C0xFF5B545B#【對戰競技場公平模式No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧！,"#C0xFF5B545B#[PVP Arena Fair Mode No.2]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",title4044404,#C0xFF5B545B#【대전 경기장 공평 모드No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#시작됐으니 빨리 그를 찾아 사인을 받아라!,Obtain by be in 2st place when weekly settle and season settle in Fair Mode,周結算、賽季結算時處於公平賽模式第2名時獲得,Obtain by be in 2st place when weekly settle and season settle in Fair Mode,"주간 결산, 시즌 결산 시 공평 경기 모드 2위가 획득",,,,,,,,0,16,100,,,,,,
54,Skill Veteran,絕技高手,Skill Veteran,title4044404,묘기 고수,<cn;kr;en;tw>,spine,,,title/ch_jjgs.skel,<254;104>,1,,,,,onlineFightLimited,3,,,7,"#C0xFF5B545B#[PVP Arena Fair Mode No.3]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",#C0xFF5B545B#【對戰競技場公平模式No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧！,"#C0xFF5B545B#[PVP Arena Fair Mode No.3]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, go ask for a autograph!",title4044404,#C0xFF5B545B#【대전 경기장 공평 모드No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#시작됐으니 빨리 그를 찾아 사인을 받아라!,Obtain by be in 3st place when weekly settle and season settle in Fair Mode,周結算、賽季結算時處於公平賽模式第3名時獲得,Obtain by be in 3st place when weekly settle and season settle in Fair Mode,"주간 결산, 시즌 결산 시 공평 경기 모드 3위가 획득",,,,,,,,0,16,100,,,,,,
55,encyclopedia,百科全書,title4044404,title4044404,title4044404,<cn>,pic,,config/title/img_purple@.png,config/title/txt_bkqs.png,,1,,,,,unionQARole,1,,,7,,,,,,Guild Spirit Quiz,,title4044404,title4044404,,,,,,,,0,9,1%,0,10,1%,,,
56,Raiders,攻略達人,title4044404,title4044404,title4044404,<cn>,pic,,config/title/img_purple@.png,config/title/txt_gldr.png,,1,,,,,unionQARole,2,,,7,,,,,,Guild Elf Quiz and Personal Points Ranking No. 2,,title4044404,title4044404,,,,,,,,0,9,1%,0,10,1%,,,
57,Answer lovers,答題愛好者,title4044404,title4044404,title4044404,<cn>,pic,,config/title/img_purple@.png,config/title/txt_dtahz.png,,1,,,,,unionQARole,3,,,7,,,,,,Guild Elf Quiz and Personal Points Ranking Ranking 3rd,,title4044404,title4044404,,,,,,,,0,9,1%,0,10,1%,,,
58,business giant,商業巨鱷,title4044404,title4044404,상업 거두,<cn;kr>,pic,,,config/title/img_syje.png,,1,61,,,,crossMine,1,,,7,"#C0xFF5B545B#【Cross-server Commercial Street No.1】#T{idx}-238-97##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online, quickly ask him for a signature~",#C0xFF5B545B#【跨服商業街No.1】#T{idx}-238-97##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,title4044404,title4044404,#C0xFF5B545B#【글로벌 상가 No.1】#T{idx}-238-97##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 접속했습니다，사인을 받으러 빨리 찾아보세요~,"No. 1 in the cross-server commercial street (at 22:00 settlement every day during the season, at the end of the season)",跨服商業街第一（賽季中每日22:00結算時、季終結算時）,title4044404,"글로벌 상가 1위 (시즌 중 매일 22:00 결산 시, 시즌 종료 시)",,,,,,,,0,11,100,0,12,100,,,
59,business boss,商業大佬,title4044404,title4044404,상업 두령,<cn;kr>,pic,,,config/title/img_sydl.png,,1,62,,,,crossMine,2,,,7,"#C0xFF5B545B#【Cross-server Commercial Street No.2】#T{idx}-240-96##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online, please ask him for a signature~",#C0xFF5B545B#【跨服商業街No.2】#T{idx}-240-96##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,title4044404,title4044404,#C0xFF5B545B#【글로벌 상가 No.2】#T{idx}-240-96##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 접속했습니다，사인을 받으러 빨리 찾아보세요~,"Cross-server commercial street second (at 22:00 settlement every day during the season, at the end of the season)",跨服商業街第二（賽季中每日22:00結算時、季終結算時）,title4044404,"글로벌 상가 2위 (시즌 중 매일 22:00 결산 시, 시즌 종료 시)",,,,,,,,0,11,100,0,12,100,,,
60,business elite,商業精英,title4044404,title4044404,상업 엘리트,<cn;kr>,pic,,,config/title/img_syjy.png,,1,63,,,,crossMine,3,,,7,"#C0xFF5B545B#【Cross-server Commercial Street No.3】#T{idx}-244-72##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online, please ask him for a signature~",#C0xFF5B545B#【跨服商業街No.3】#T{idx}-244-72##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,title4044404,title4044404," #C0xFF5B545B#【글로벌 상가 No.3】#T{idx}-244-72##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 접속했습니다，사인을 받으러 빨리 찾아보세요~","The third place in the cross-server commercial street (at 22:00 every day during the season, at the end of the season)",跨服商業街第三（賽季中每日22:00結算時、季終結算時）,title4044404,"글로벌 상가 3위 (시즌 중 매일  22:00 결산 시, 시즌 종료 시)",,,,,,,,0,11,100,0,12,100,,,
61,business giant,商業巨鱷,title4044404,title4044404,상업 거두,<cn;kr>,pic,,,config/title/img_syje.png,,1,,,,,crossMineDaily,1,,,1,"#C0xFF5B545B#【Cross-server Commercial Street No.1】#T{idx}-238-97##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online, quickly ask him for a signature~",#C0xFF5B545B#【跨服商業街No.1】#T{idx}-238-97##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,title4044404,title4044404,#C0xFF5B545B#【글로벌 상가 No.1】#T{idx}-238-97##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 접속했습니다，사인을 받으러 빨리 찾아보세요~,"No. 1 in the cross-server commercial street (at 22:00 settlement every day during the season, at the end of the season)",跨服商業街第一（賽季中每日22:00結算時、季終結算時）,title4044404,"글로벌 상가 1위 (시즌 중 매일 22:00 결산 시, 시즌 종료 시)",,,,,,,,0,11,100,0,12,100,,,
62,business boss,商業大佬,title4044404,title4044404,상업 두령,<cn;kr>,pic,,,config/title/img_sydl.png,,1,,,,,crossMineDaily,2,,,1,"#C0xFF5B545B#【Cross-server Commercial Street No.2】#T{idx}-240-96##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online, please ask him for a signature~",#C0xFF5B545B#【跨服商業街No.2】#T{idx}-240-96##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,title4044404,title4044404,#C0xFF5B545B#【글로벌 상가 No.2】#T{idx}-240-96##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 접속했습니다，사인을 받으러 빨리 찾아보세요~,"Cross-server commercial street second (at 22:00 settlement every day during the season, at the end of the season)",跨服商業街第二（賽季中每日22:00結算時、季終結算時）,title4044404,"글로벌 상가 2위 (시즌 중 매일 22:00 결산 시, 시즌 종료 시)",,,,,,,,0,11,100,0,12,100,,,
63,business elite,商業精英,title4044404,title4044404,상업 엘리트,<cn;kr>,pic,,,config/title/img_syjy.png,,1,,,,,crossMineDaily,3,,,1,"#C0xFF5B545B#【Cross-server Commercial Street No.3】#T{idx}-244-72##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online, please ask him for a signature~",#C0xFF5B545B#【跨服商業街No.3】#T{idx}-244-72##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,title4044404,title4044404," #C0xFF5B545B#【글로벌 상가 No.3】#T{idx}-244-72##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 접속했습니다，사인을 받으러 빨리 찾아보세요~","The third place in the cross-server commercial street (at 22:00 every day during the season, at the end of the season)",跨服商業街第三（賽季中每日22:00結算時、季終結算時）,title4044404,"글로벌 상가 3위 (시즌 중 매일 22:00 결산 시, 시즌 종료 시)",,,,,,,,0,11,100,0,12,100,,,
64,Tiangong Awards,title4044404,title4044404,title4044404,title4044404,<cn>,pic,,,config/title/img_tgds.png,<254;104>,1,,,,,crossUnionFight,1,,,14,"#C0xFF5B545B#【Big House Battle No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online now, hurry up and ask for his autograph~",404,404,404,404,Participating members of the No. 1 guild,404,404,404,,,,,,,,0,17,100,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Beginner Catcher,初級捕捉者,Beginner Catcher,Người mới bắt đầu,초급 포획자,,txt,<92;153;112>,config/title/img_green@.png,,,2,,,,,,,,,,,,,,,Catch level 3,捕捉等級達到3,Attain level 3in catching Pokémons,포획 3레벨 달성,80,3,,,,,,0,1,800,,,,,,
902,Advanced Catcher,高級捕捉者,Advanced Catcher,Advanced Catcher,고급 포획자,,txt,<61;138;153>,config/title/img_blue@.png,,,2,,,,,,,,,,,,,,,Catch level 7,捕捉等級達到7,Attain level 7in catching Pokémons,포획 7레벨 달성,80,7,,,,,,0,9,80,0,10,80,,,
903,Expert Catcher,捕捉專家,Expert Catcher,Chuyên gia bắt,포획 전문가,,txt,<138;92;153>,config/title/img_purple@.png,,,2,,,,,,,,,,,,,,,Catch level 11,捕捉等級達到11,Attain level 11in catching Pokémons,포획 11레벨 달성,80,11,,,,,,0,1,1600,,,,,,
904,Legendary Catcher,傳奇捕捉者,Legendary Catcher,Hunter Huyền Thoại,전설의 포획자,,txt,<228;94;76>,config/title/img_red@.png,,,2,,,,,,,,,,,,,,,Catch level 14,捕捉等級達到14,Attain level 14in catching Pokémons,포획 14레벨 달성,80,14,,,,,,0,9,1%,0,10,1%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Merry Christmas,聖誕快樂,Merry Christmas,title4044404,메리 크리스마스,<cn;kr>,pic,,,config/title/img_sdkl.png,,3,,,,2400,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,9,120,0,10,120,,,
1001,Happy Lunar New Year,新春快樂,Happy Lunar New Year,title4044404,새해 축하,<cn>,pic,,,config/title/img_xckl.png,,3,,,,2401,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,80,0,8,80,,,
1002,Pass S1,通行證S1,Pass S1,title4044404,패스 S1,<cn;kr;en;tw>,pic,,,config/title/img_txzs1.png,,3,,,,2402,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1003,Labor is the most glorious,勞動最光榮,Labor is the most glorious,title4044404,영광의 노동,<cn>,pic,,,config/title/img_ldzgr.png,,3,,,,2403,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,1,500,,,,,,
1004,Naughty Kids,熊孩子,Naughty Kids,title4044404,진상 꼬마,<cn>,pic,,,config/title/img_xhz.png,,3,,,,2404,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,9,60,0,10,60,,,
1005,Dragon Boat Festival,粽情端午,title4044404,title4044404,단오절 연잎밥,<cn>,pic,,,config/title/img_zqdw.png,,3,,,,2405,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,100,0,8,100,,,
1006,Full Moon,月圓佳時,Full Moon,title4044404,보름달 뜰때,<cn;tw;kr>,pic,,,config/title/img_yyjs.png,,3,,,,2406,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,9,80,0,10,80,,,
1007,Carnival Witness,慶典見證者,Carnival Witness,title4044404,축제의 산증인,<cn;tw;kr;en>,pic,,,config/title/img_qdjzz.png,,3,,,,2407,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1008,Smart Cookie,Skr小機靈鬼,Smart Cookie,title4044404,Skr 꾀돌이,<cn;tw;kr;en>,pic,,,config/title/img_wsj.png,,3,,,,2408,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1009,2020 Christmas Limited,2020聖誕限定,title4044404,title4044404,2020 크리스마스 한정,<cn;kr>,pic,,,config/title/img_lexdd.png,,3,,,,2409,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,9,80,0,10,80,,,
1010,Happy New Year 2021,2021元旦快樂,title4044404,title4044404,2021 새해 복 많이 받으세요,<cn;kr>,pic,,,config/title/img_2021.png,,3,,,,2410,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1011,full circle,圓圓滿滿,title4044404,title4044404,승승장구,<cn;kr>,pic,,,config/title/img_yymm.png,,3,,,,2411,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,9,80,0,10,80,,,
1012,the beginning of the new year,新年伊始,title4044404,title4044404,새해 벽두,<cn;kr>,pic,,,config/title/img_xnys.png,,3,,,,2412,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1013,Specialized grain spreader,撒糧專業戶,title4044404,title4044404,전업 농가,<cn;kr>,pic,,,config/title/img_qrj.png,,3,,,,2413,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,9,80,0,10,80,,,
1014,grateful to you,title4044404,title4044404,title4044404,title4044404,<cn>,pic,,,config/title/img_1zn.png,,3,,,,2414,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1015,Awakening of the brave,title4044404,title4044404,title4044404,title4044404,<cn>,pic,,,config/title/img_yzjx.png,,3,,,,2415,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,9,80,0,10,80,,,
1016,The worker is the cutest,打工人最可愛,title4044404,title4044404,title4044404,<cn>,pic,,,config/title/icon_wy.png,,3,,,,2416,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,16,100,,,,,,
1017,childlike innocence,童心未泯,title4044404,title4044404,title4044404,<cn>,pic,,,config/title/img_txwm.png,,3,,,,2417,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1018,put zongzi for a summer,放粽一夏,title4044404,title4044404,title4044404,<cn>,pic,,,config/title/img_dwj2.png,,3,,,,2418,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,9,80,0,10,80,,,
1019,treasure hunter,寶藏獵人,Treasure Hunter,title4044404,보물 사냥꾼,<cn;tw;kr;en>,pic,,,config/title/img_bzlr.png,,3,,,,2419,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1020,midsummer light year,盛夏光年,Summertime,title4044404,한여름 광년,<cn;tw;kr;en>,pic,,,config/title/img_sxgn@.png,,3,,,,2420,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,9,80,0,10,80,,,
1021,elope to the moon,私奔到月球,,,달로 달려가,<cn>,pic,,,config/title/img_sbdyq.png,,3,,,,2421,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1022,carnival feast,狂歡盛宴,,,,<cn>,pic,,,config/title/img_khsy.png,,3,,,,2422,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,9,80,0,10,80,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Pass S2,通行證S2,Pass S2,title4044404,패스 S2,<cn;kr;en;tw>,pic,,,config/title/imag_ch_txzs2.png,,3,,,,2471,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1102,Pass S3,通行證S3,Pass S3,title4044404,패스 S3,<cn;kr;en>,pic,,,config/title/img_txzs3.png,,3,,,,2472,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1103,Pass S4,通行證S4,Pass S4,title4044404,패스 S4,<cn;kr>,pic,,,config/title/img_txzs4.png,,3,,,,2473,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1104,Pass S5,通行證S5,Pass S5,title4044404,패스 S5,<cn;kr>,pic,,,config/title/img_txzs5.png,,3,,,,2474,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1105,Pass S6,通行證S6,Pass S6,title4044404,패스 S6,<cn>,pic,,,config/title/img_txzs6.png,,3,,,,2475,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1106,Pass S7,通行證S7,Pass S7,title4044404,패스 S7,<cn>,pic,,,config/title/img_txzs7.png,,3,,,,2476,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1107,Pass S8,通行證S8,Pass S8,title4044404,패스 S8,<cn>,pic,,,config/title/img_txzs8.png,,3,,,,2477,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1108,Pass S9,通行證S9,Pass S9,title4044404,패스 S9,<cn>,pic,,,config/title/img_txzs9.png,,3,,,,2478,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
1109,Pass S10,通行證S10,Pass S10,title4044404,패스 S10,<>,pic,,,config/title/img_txzs10.png,,3,,,,2479,,,,,,,,,,,special events get,特殊活動獲得,Obtain from Special Event,특수 이벤트 획득,,,,,,,,0,7,120,0,8,120,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Gifted,天賦異稟,Gifted,title4044404,하늘이 내린 재능,,spine,,,title/chenghao_tfyb.skel,<254;104>,4,,,,2501,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,1,1%,0,,,,,
2002,A Long Star Journey,星路迢迢,A Long Star Journey,Đường Sao Lấp Lánh,머나먼 별의 길,,pic,,config/title/img_red@.png,config/title/xltt.png,,4,,,,2502,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,1,1000,0,,,,,
2003,Star Level Expert,星級達人,Star Level Expert,Cao Thủ Cấp Sao,성급의 달인,,pic,,config/title/img_red@.png,config/title/xjdr.png,,4,,,,2503,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,9,80,0,10,80,,,
2004,Star-up Maniac,升星狂人,Star-up Maniac,Cuồng Nhân Tăng Sao,승급 달인,,spine,,,title/chenghao_sxkr.skel,<254;104>,4,,,,2504,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,13,1%,0,,,,,
2005,Perfect awakening,完美覺醒,Perfect awakening,Thức Tỉnh Hoàn Mỹ,퍼펙트 각성,,pic,,config/title/img_red@.png,config/title/wmjx.png,,4,,,,2505,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,9,120,0,10,120,,,
2006,Rare treasure,稀有寶物,Rare treasure,Bảo Vật Hiếm,희귀보물,,pic,,config/title/img_red@.png,config/title/xybw.png,,4,,,,2506,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,7,120,0,8,120,,,
2007,An impossible mission,不可能任務,An impossible mission,Nhiệm Vụ Bất Khả Thi,불가능한 임무,,pic,,config/title/img_red@.png,config/title/bknrw.png,,4,,,,2507,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,7,150,0,8,150,,,
2008,Just a legend,只是傳說,Just a legend,Chỉ Là Truyền Thuyết,그저 레전드,,spine,,,title/chenhao_zscs.skel,<254;104>,4,,,,2508,,,,,,,,,,,Obtained in the achievement system,成就系統內獲得,Obtained from the achievement system,업적 시스템에서 획득,,,,,,,,0,9,1%,0,10,1%,,,
