变量名,typeID,stage,quality,itemMap,gold,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,levelDec
默认值,,1,1,{101=5;102=10;103=15;104=20},0,0,0,0,0,0,0,1,0,1,1,1,1,0
2104,21,4,2,{5000=36;5004=11;5005=11;5006=11},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,
2105,21,5,3,{5000=50;5007=17;5008=17;5009=17},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,
2106,21,6,3,{5000=65;5010=24;5011=24;5012=24},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,
2107,21,7,3,{5000=100;5010=29;5011=29;5012=29},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,
2108,21,8,3,{5000=150;5013=45;5014=45;5015=45},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,
2109,21,9,4,{5000=200;5013=55;5014=55;5015=55},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,
2110,21,10,4,{5000=320;5016=94;5017=94;5018=94},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,
2111,21,11,4,{5000=520;5016=133;5017=133;5018=133},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,
2112,21,12,4,{5000=650;5019=185;5020=185;5021=185},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,
2113,21,13,4,{5000=960;5019=265;5020=265;5021=265},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,
2114,21,14,5,{5000=1300;5022=375;5023=375;5024=375},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,
2115,21,15,5,{5000=2000;5022=542;5023=542;5024=542},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,
2116,21,16,5,{5000=2600;5025=842;5026=842;5027=842},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,
2117,21,17,5,{5000=3200;5028=1117;5029=1117;5030=1117},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,
2118,21,18,5,{5000=4000;5031=1258;5032=1258;5033=1258},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,
2119,21,19,5,{5000=4400;5034=1400;5035=1400;5036=1400},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,
2120,21,20,6,{5000=4600;5037=1967;5038=1967;5039=1967},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,
2121,21,21,6,{5000=5400;5040=2237;5041=2237;5042=2237},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,
2122,21,22,6,{5000=5400;5043=2237;5044=2237;5045=2237},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,
2123,21,23,6,{5000=6000;5046=2500;5047=2500;5048=2500},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,
2124,21,24,6,{5000=6000;5049=2500;5050=2500;5051=2500},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,
2125,21,25,6,{5000=6600;5052=2750;5053=2750;5054=2750},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,
2126,21,26,7,{5000=6600;5055=2750;5056=2750;5057=2750},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,
2127,21,27,7,{5000=7200;5058=3000;5059=3000;5060=3000},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,
2128,21,28,7,{5000=7200;5061=3000;5062=3000;5063=3000},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,
2129,21,29,7,{5000=7800;5064=3250;5065=3250;5066=3250},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,
2130,21,30,7,{5000=7800;5064=3250;5065=3250;5066=3250},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,
2201,22,1,1,{5000=6;5001=2;5002=2;5003=2},5000,0,0,0,0,0,0,0,0,0,0,0,0,
2202,22,2,2,{5000=18;5001=4;5002=4;5003=4},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,
2203,22,3,2,{5000=24;5004=5;5005=11;5006=5},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,
2204,22,4,2,{5000=36;5004=7;5005=20;5006=7},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,
2205,22,5,3,{5000=50;5007=10;5008=30;5009=10},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,
2206,22,6,3,{5000=65;5010=15;5011=42;5012=15},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,
2207,22,7,3,{5000=100;5010=18;5011=50;5012=18},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,
2208,22,8,3,{5000=150;5013=27;5014=81;5015=27},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,
2209,22,9,4,{5000=200;5013=33;5014=99;5015=33},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,
2210,22,10,4,{5000=320;5016=56;5017=169;5018=56},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,
2211,22,11,4,{5000=520;5016=80;5017=239;5018=80},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,
2212,22,12,4,{5000=650;5019=110;5020=335;5021=110},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,
2213,22,13,4,{5000=960;5019=160;5020=475;5021=160},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,
2214,22,14,5,{5000=1300;5022=225;5023=675;5024=225},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,
2215,22,15,5,{5000=2000;5022=325;5023=975;5024=325},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,
2216,22,16,5,{5000=2600;5025=505;5026=1515;5027=505},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,
2217,22,17,5,{5000=3200;5028=670;5029=2010;5030=670},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,
2218,22,18,5,{5000=4000;5031=755;5032=2265;5033=755},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,
2219,22,19,5,{5000=4400;5034=840;5035=2520;5036=840},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,
2220,22,20,6,{5000=4600;5037=1180;5038=3540;5039=1180},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,
2221,22,21,6,{5000=5400;5040=1340;5041=4030;5042=1340},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,
2222,22,22,6,{5000=5400;5043=1340;5044=4030;5045=1340},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,
2223,22,23,6,{5000=6000;5046=1500;5047=4500;5048=1500},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,
2224,22,24,6,{5000=6000;5049=1500;5050=4500;5051=1500},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,
2225,22,25,6,{5000=6600;5052=1650;5053=4950;5054=1650},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,
2226,22,26,7,{5000=6600;5055=1650;5056=4950;5057=1650},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,
2227,22,27,7,{5000=7200;5058=1800;5059=5400;5060=1800},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,
2228,22,28,7,{5000=7200;5061=1800;5062=5400;5063=1800},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,
2229,22,29,7,{5000=7800;5064=1950;5065=5850;5066=1950},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,
2230,22,30,7,{5000=7800;5064=1950;5065=5850;5066=1950},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,
2301,23,1,1,{5000=6;5001=2;5002=2;5003=2},5000,0,0,0,0,0,0,0,0,0,0,0,0,
2302,23,2,2,{5000=18;5001=4;5002=4;5003=4},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,
2303,23,3,2,{5000=24;5004=5;5005=5;5006=11},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,
2304,23,4,2,{5000=36;5004=7;5005=7;5006=20},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,
2305,23,5,3,{5000=50;5007=10;5008=10;5009=30},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,
2306,23,6,3,{5000=65;5010=15;5011=15;5012=42},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,
2307,23,7,3,{5000=100;5010=18;5011=18;5012=50},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,
2308,23,8,3,{5000=150;5013=27;5014=27;5015=81},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,
2309,23,9,4,{5000=200;5013=33;5014=33;5015=99},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,
2310,23,10,4,{5000=320;5016=56;5017=56;5018=169},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,
2311,23,11,4,{5000=520;5016=80;5017=80;5018=239},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,
2312,23,12,4,{5000=650;5019=110;5020=110;5021=335},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,
2313,23,13,4,{5000=960;5019=160;5020=160;5021=475},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,
2314,23,14,5,{5000=1300;5022=225;5023=225;5024=675},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,
2315,23,15,5,{5000=2000;5022=325;5023=325;5024=975},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,
2316,23,16,5,{5000=2600;5025=505;5026=505;5027=1515},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,
2317,23,17,5,{5000=3200;5028=670;5029=670;5030=2010},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,
2318,23,18,5,{5000=4000;5031=755;5032=755;5033=2265},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,
2319,23,19,5,{5000=4400;5034=840;5035=840;5036=2520},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,
2320,23,20,6,{5000=4600;5037=1180;5038=1180;5039=3540},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,
2321,23,21,6,{5000=5400;5040=1340;5041=1340;5042=4030},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,
2322,23,22,6,{5000=5400;5043=1340;5044=1340;5045=4030},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,
2323,23,23,6,{5000=6000;5046=1500;5047=1500;5048=4500},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,
2324,23,24,6,{5000=6000;5049=1500;5050=1500;5051=4500},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,
2325,23,25,6,{5000=6600;5052=1650;5053=1650;5054=4950},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,
2326,23,26,7,{5000=6600;5055=1650;5056=1650;5057=4950},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,
2327,23,27,7,{5000=7200;5058=1800;5059=1800;5060=5400},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,
2328,23,28,7,{5000=7200;5061=1800;5062=1800;5063=5400},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,
2329,23,29,7,{5000=7800;5064=1950;5065=1950;5066=5850},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,
2330,23,30,7,{5000=7800;5064=1950;5065=1950;5066=5850},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,
