变量名,equip_id,stage,costGold,costItemMap
11622,11033,22,350000,{100=60;5043=520;5044=520;5045=520;}
11623,11033,23,400000,{100=66;5046=560;5047=560;5048=560;}
11624,11033,24,450000,{100=72;5049=600;5050=600;5051=600;}
11625,11033,25,500000,{100=78;5052=640;5053=640;5054=640;}
11626,11033,26,550000,{100=84;5055=680;5056=680;5057=680;}
11627,11033,27,600000,{100=90;5058=720;5059=720;5060=720;}
11628,11033,28,650000,{100=96;5061=760;5062=760;5063=760;}
11629,11033,29,700000,{100=102;5064=800;5065=800;5066=800;}
11630,11033,30,750000,{100=108;5064=840;5065=840;5066=840;}
11651,11034,1,5000,{100=1;}
11652,11034,2,10000,{100=1;}
11653,11034,3,15000,{100=1;}
11654,11034,4,20000,{100=1;5004=4;5005=4;5006=4;}
11655,11034,5,25000,{100=1;5007=4;5008=4;5009=4;}
11656,11034,6,30000,{100=1;5010=6;5011=6;5012=6;}
11657,11034,7,35000,{100=2;5010=8;5011=8;5012=8;}
11658,11034,8,40000,{100=2;5013=10;5014=10;5015=10;}
11659,11034,9,50000,{100=4;5013=12;5014=12;5015=12;}
11660,11034,10,60000,{100=4;5016=16;5017=16;5018=16;}
11661,11034,11,80000,{100=6;5016=20;5017=20;5018=20;}
11662,11034,12,100000,{100=6;5019=32;5020=32;5021=32;}
11663,11034,13,120000,{100=9;5019=48;5020=48;5021=48;}
11664,11034,14,140000,{100=12;5022=72;5023=72;5024=72;}
11665,11034,15,160000,{100=18;5022=108;5023=108;5024=108;}
11666,11034,16,180000,{100=24;5025=144;5026=144;5027=144;}
11667,11034,17,200000,{100=30;5028=200;5029=200;5030=200;}
11668,11034,18,220000,{100=36;5031=300;5032=300;5033=300;}
11669,11034,19,240000,{100=42;5034=400;5035=400;5036=400;}
11670,11034,20,260000,{100=48;5037=440;5038=440;5039=440;}
11671,11034,21,300000,{100=54;5040=480;5041=480;5042=480;}
11672,11034,22,350000,{100=60;5043=520;5044=520;5045=520;}
11673,11034,23,400000,{100=66;5046=560;5047=560;5048=560;}
11674,11034,24,450000,{100=72;5049=600;5050=600;5051=600;}
11675,11034,25,500000,{100=78;5052=640;5053=640;5054=640;}
11676,11034,26,550000,{100=84;5055=680;5056=680;5057=680;}
11677,11034,27,600000,{100=90;5058=720;5059=720;5060=720;}
11678,11034,28,650000,{100=96;5061=760;5062=760;5063=760;}
11679,11034,29,700000,{100=102;5064=800;5065=800;5066=800;}
11680,11034,30,750000,{100=108;5064=840;5065=840;5066=840;}
12001,11041,1,5000,{100=1;}
12002,11041,2,10000,{100=1;}
12003,11041,3,15000,{100=1;}
12004,11041,4,20000,{100=1;5004=4;5005=4;5006=4;}
12005,11041,5,25000,{100=1;5007=4;5008=4;5009=4;}
12006,11041,6,30000,{100=1;5010=6;5011=6;5012=6;}
12007,11041,7,35000,{100=2;5010=8;5011=8;5012=8;}
12008,11041,8,40000,{100=2;5013=10;5014=10;5015=10;}
12009,11041,9,50000,{100=4;5013=12;5014=12;5015=12;}
12010,11041,10,60000,{100=4;5016=16;5017=16;5018=16;}
12011,11041,11,80000,{100=6;5016=20;5017=20;5018=20;}
12012,11041,12,100000,{100=6;5019=32;5020=32;5021=32;}
12013,11041,13,120000,{100=9;5019=48;5020=48;5021=48;}
12014,11041,14,140000,{100=12;5022=72;5023=72;5024=72;}
12015,11041,15,160000,{100=18;5022=108;5023=108;5024=108;}
12016,11041,16,180000,{100=24;5025=144;5026=144;5027=144;}
12017,11041,17,200000,{100=30;5028=200;5029=200;5030=200;}
12018,11041,18,220000,{100=36;5031=300;5032=300;5033=300;}
12019,11041,19,240000,{100=42;5034=400;5035=400;5036=400;}
12020,11041,20,260000,{100=48;5037=440;5038=440;5039=440;}
12021,11041,21,300000,{100=54;5040=480;5041=480;5042=480;}
12022,11041,22,350000,{100=60;5043=520;5044=520;5045=520;}
12023,11041,23,400000,{100=66;5046=560;5047=560;5048=560;}
12024,11041,24,450000,{100=72;5049=600;5050=600;5051=600;}
12025,11041,25,500000,{100=78;5052=640;5053=640;5054=640;}
12026,11041,26,550000,{100=84;5055=680;5056=680;5057=680;}
12027,11041,27,600000,{100=90;5058=720;5059=720;5060=720;}
12028,11041,28,650000,{100=96;5061=760;5062=760;5063=760;}
12029,11041,29,700000,{100=102;5064=800;5065=800;5066=800;}
12030,11041,30,750000,{100=108;5064=840;5065=840;5066=840;}
12051,11042,1,5000,{100=1;}
12052,11042,2,10000,{100=1;}
12053,11042,3,15000,{100=1;}
12054,11042,4,20000,{100=1;5004=4;5005=4;5006=4;}
12055,11042,5,25000,{100=1;5007=4;5008=4;5009=4;}
12056,11042,6,30000,{100=1;5010=6;5011=6;5012=6;}
12057,11042,7,35000,{100=2;5010=8;5011=8;5012=8;}
12058,11042,8,40000,{100=2;5013=10;5014=10;5015=10;}
12059,11042,9,50000,{100=4;5013=12;5014=12;5015=12;}
12060,11042,10,60000,{100=4;5016=16;5017=16;5018=16;}
12061,11042,11,80000,{100=6;5016=20;5017=20;5018=20;}
12062,11042,12,100000,{100=6;5019=32;5020=32;5021=32;}
12063,11042,13,120000,{100=9;5019=48;5020=48;5021=48;}
12064,11042,14,140000,{100=12;5022=72;5023=72;5024=72;}
12065,11042,15,160000,{100=18;5022=108;5023=108;5024=108;}
12066,11042,16,180000,{100=24;5025=144;5026=144;5027=144;}
12067,11042,17,200000,{100=30;5028=200;5029=200;5030=200;}
12068,11042,18,220000,{100=36;5031=300;5032=300;5033=300;}
12069,11042,19,240000,{100=42;5034=400;5035=400;5036=400;}
12070,11042,20,260000,{100=48;5037=440;5038=440;5039=440;}
12071,11042,21,300000,{100=54;5040=480;5041=480;5042=480;}
12072,11042,22,350000,{100=60;5043=520;5044=520;5045=520;}
12073,11042,23,400000,{100=66;5046=560;5047=560;5048=560;}
12074,11042,24,450000,{100=72;5049=600;5050=600;5051=600;}
12075,11042,25,500000,{100=78;5052=640;5053=640;5054=640;}
12076,11042,26,550000,{100=84;5055=680;5056=680;5057=680;}
12077,11042,27,600000,{100=90;5058=720;5059=720;5060=720;}
12078,11042,28,650000,{100=96;5061=760;5062=760;5063=760;}
12079,11042,29,700000,{100=102;5064=800;5065=800;5066=800;}
12080,11042,30,750000,{100=108;5064=840;5065=840;5066=840;}
12101,11043,1,5000,{100=1;}
12102,11043,2,10000,{100=1;}
12103,11043,3,15000,{100=1;}
12104,11043,4,20000,{100=1;5004=4;5005=4;5006=4;}
12105,11043,5,25000,{100=1;5007=4;5008=4;5009=4;}
12106,11043,6,30000,{100=1;5010=6;5011=6;5012=6;}
12107,11043,7,35000,{100=2;5010=8;5011=8;5012=8;}
12108,11043,8,40000,{100=2;5013=10;5014=10;5015=10;}
12109,11043,9,50000,{100=4;5013=12;5014=12;5015=12;}
12110,11043,10,60000,{100=4;5016=16;5017=16;5018=16;}
12111,11043,11,80000,{100=6;5016=20;5017=20;5018=20;}
12112,11043,12,100000,{100=6;5019=32;5020=32;5021=32;}
12113,11043,13,120000,{100=9;5019=48;5020=48;5021=48;}
12114,11043,14,140000,{100=12;5022=72;5023=72;5024=72;}
12115,11043,15,160000,{100=18;5022=108;5023=108;5024=108;}
12116,11043,16,180000,{100=24;5025=144;5026=144;5027=144;}
12117,11043,17,200000,{100=30;5028=200;5029=200;5030=200;}
12118,11043,18,220000,{100=36;5031=300;5032=300;5033=300;}
12119,11043,19,240000,{100=42;5034=400;5035=400;5036=400;}
12120,11043,20,260000,{100=48;5037=440;5038=440;5039=440;}
12121,11043,21,300000,{100=54;5040=480;5041=480;5042=480;}
12122,11043,22,350000,{100=60;5043=520;5044=520;5045=520;}
12123,11043,23,400000,{100=66;5046=560;5047=560;5048=560;}
12124,11043,24,450000,{100=72;5049=600;5050=600;5051=600;}
12125,11043,25,500000,{100=78;5052=640;5053=640;5054=640;}
12126,11043,26,550000,{100=84;5055=680;5056=680;5057=680;}
12127,11043,27,600000,{100=90;5058=720;5059=720;5060=720;}
12128,11043,28,650000,{100=96;5061=760;5062=760;5063=760;}
12129,11043,29,700000,{100=102;5064=800;5065=800;5066=800;}
12130,11043,30,750000,{100=108;5064=840;5065=840;5066=840;}
12151,11044,1,5000,{100=1;}
12152,11044,2,10000,{100=1;}
12153,11044,3,15000,{100=1;}
12154,11044,4,20000,{100=1;5004=4;5005=4;5006=4;}
12155,11044,5,25000,{100=1;5007=4;5008=4;5009=4;}
12156,11044,6,30000,{100=1;5010=6;5011=6;5012=6;}
12157,11044,7,35000,{100=2;5010=8;5011=8;5012=8;}
12158,11044,8,40000,{100=2;5013=10;5014=10;5015=10;}
12159,11044,9,50000,{100=4;5013=12;5014=12;5015=12;}
12160,11044,10,60000,{100=4;5016=16;5017=16;5018=16;}
12161,11044,11,80000,{100=6;5016=20;5017=20;5018=20;}
12162,11044,12,100000,{100=6;5019=32;5020=32;5021=32;}
12163,11044,13,120000,{100=9;5019=48;5020=48;5021=48;}
12164,11044,14,140000,{100=12;5022=72;5023=72;5024=72;}
12165,11044,15,160000,{100=18;5022=108;5023=108;5024=108;}
12166,11044,16,180000,{100=24;5025=144;5026=144;5027=144;}
12167,11044,17,200000,{100=30;5028=200;5029=200;5030=200;}
12168,11044,18,220000,{100=36;5031=300;5032=300;5033=300;}
12169,11044,19,240000,{100=42;5034=400;5035=400;5036=400;}
12170,11044,20,260000,{100=48;5037=440;5038=440;5039=440;}
12171,11044,21,300000,{100=54;5040=480;5041=480;5042=480;}
12172,11044,22,350000,{100=60;5043=520;5044=520;5045=520;}
12173,11044,23,400000,{100=66;5046=560;5047=560;5048=560;}
12174,11044,24,450000,{100=72;5049=600;5050=600;5051=600;}
12175,11044,25,500000,{100=78;5052=640;5053=640;5054=640;}
12176,11044,26,550000,{100=84;5055=680;5056=680;5057=680;}
12177,11044,27,600000,{100=90;5058=720;5059=720;5060=720;}
12178,11044,28,650000,{100=96;5061=760;5062=760;5063=760;}
12179,11044,29,700000,{100=102;5064=800;5065=800;5066=800;}
12180,11044,30,750000,{100=108;5064=840;5065=840;5066=840;}
12501,11051,1,5000,{100=1;}
12502,11051,2,10000,{100=1;}
12503,11051,3,15000,{100=1;}
12504,11051,4,20000,{100=1;5004=4;5005=4;5006=4;}
12505,11051,5,25000,{100=1;5007=4;5008=4;5009=4;}
12506,11051,6,30000,{100=1;5010=6;5011=6;5012=6;}
12507,11051,7,35000,{100=2;5010=8;5011=8;5012=8;}
12508,11051,8,40000,{100=2;5013=10;5014=10;5015=10;}
12509,11051,9,50000,{100=4;5013=12;5014=12;5015=12;}
12510,11051,10,60000,{100=4;5016=16;5017=16;5018=16;}
12511,11051,11,80000,{100=6;5016=20;5017=20;5018=20;}
12512,11051,12,100000,{100=6;5019=32;5020=32;5021=32;}
12513,11051,13,120000,{100=9;5019=48;5020=48;5021=48;}
12514,11051,14,140000,{100=12;5022=72;5023=72;5024=72;}
12515,11051,15,160000,{100=18;5022=108;5023=108;5024=108;}
12516,11051,16,180000,{100=24;5025=144;5026=144;5027=144;}
12517,11051,17,200000,{100=30;5028=200;5029=200;5030=200;}
12518,11051,18,220000,{100=36;5031=300;5032=300;5033=300;}
12519,11051,19,240000,{100=42;5034=400;5035=400;5036=400;}
12520,11051,20,260000,{100=48;5037=440;5038=440;5039=440;}
12521,11051,21,300000,{100=54;5040=480;5041=480;5042=480;}
12522,11051,22,350000,{100=60;5043=520;5044=520;5045=520;}
12523,11051,23,400000,{100=66;5046=560;5047=560;5048=560;}
12524,11051,24,450000,{100=72;5049=600;5050=600;5051=600;}
12525,11051,25,500000,{100=78;5052=640;5053=640;5054=640;}
12526,11051,26,550000,{100=84;5055=680;5056=680;5057=680;}
12527,11051,27,600000,{100=90;5058=720;5059=720;5060=720;}
12528,11051,28,650000,{100=96;5061=760;5062=760;5063=760;}
12529,11051,29,700000,{100=102;5064=800;5065=800;5066=800;}
12530,11051,30,750000,{100=108;5064=840;5065=840;5066=840;}
12551,11052,1,5000,{100=1;}
12552,11052,2,10000,{100=1;}
12553,11052,3,15000,{100=1;}
12554,11052,4,20000,{100=1;5004=4;5005=4;5006=4;}
12555,11052,5,25000,{100=1;5007=4;5008=4;5009=4;}
12556,11052,6,30000,{100=1;5010=6;5011=6;5012=6;}
12557,11052,7,35000,{100=2;5010=8;5011=8;5012=8;}
12558,11052,8,40000,{100=2;5013=10;5014=10;5015=10;}
12559,11052,9,50000,{100=4;5013=12;5014=12;5015=12;}
12560,11052,10,60000,{100=4;5016=16;5017=16;5018=16;}
12561,11052,11,80000,{100=6;5016=20;5017=20;5018=20;}
12562,11052,12,100000,{100=6;5019=32;5020=32;5021=32;}
12563,11052,13,120000,{100=9;5019=48;5020=48;5021=48;}
12564,11052,14,140000,{100=12;5022=72;5023=72;5024=72;}
12565,11052,15,160000,{100=18;5022=108;5023=108;5024=108;}
12566,11052,16,180000,{100=24;5025=144;5026=144;5027=144;}
12567,11052,17,200000,{100=30;5028=200;5029=200;5030=200;}
12568,11052,18,220000,{100=36;5031=300;5032=300;5033=300;}
12569,11052,19,240000,{100=42;5034=400;5035=400;5036=400;}
12570,11052,20,260000,{100=48;5037=440;5038=440;5039=440;}
12571,11052,21,300000,{100=54;5040=480;5041=480;5042=480;}
12572,11052,22,350000,{100=60;5043=520;5044=520;5045=520;}
12573,11052,23,400000,{100=66;5046=560;5047=560;5048=560;}
12574,11052,24,450000,{100=72;5049=600;5050=600;5051=600;}
12575,11052,25,500000,{100=78;5052=640;5053=640;5054=640;}
12576,11052,26,550000,{100=84;5055=680;5056=680;5057=680;}
12577,11052,27,600000,{100=90;5058=720;5059=720;5060=720;}
12578,11052,28,650000,{100=96;5061=760;5062=760;5063=760;}
12579,11052,29,700000,{100=102;5064=800;5065=800;5066=800;}
12580,11052,30,750000,{100=108;5064=840;5065=840;5066=840;}
12601,11053,1,5000,{100=1;}
12602,11053,2,10000,{100=1;}
12603,11053,3,15000,{100=1;}
12604,11053,4,20000,{100=1;5004=4;5005=4;5006=4;}
12605,11053,5,25000,{100=1;5007=4;5008=4;5009=4;}
12606,11053,6,30000,{100=1;5010=6;5011=6;5012=6;}
12607,11053,7,35000,{100=2;5010=8;5011=8;5012=8;}
12608,11053,8,40000,{100=2;5013=10;5014=10;5015=10;}
12609,11053,9,50000,{100=4;5013=12;5014=12;5015=12;}
12610,11053,10,60000,{100=4;5016=16;5017=16;5018=16;}
12611,11053,11,80000,{100=6;5016=20;5017=20;5018=20;}
12612,11053,12,100000,{100=6;5019=32;5020=32;5021=32;}
12613,11053,13,120000,{100=9;5019=48;5020=48;5021=48;}
12614,11053,14,140000,{100=12;5022=72;5023=72;5024=72;}
12615,11053,15,160000,{100=18;5022=108;5023=108;5024=108;}
12616,11053,16,180000,{100=24;5025=144;5026=144;5027=144;}
12617,11053,17,200000,{100=30;5028=200;5029=200;5030=200;}
12618,11053,18,220000,{100=36;5031=300;5032=300;5033=300;}
12619,11053,19,240000,{100=42;5034=400;5035=400;5036=400;}
12620,11053,20,260000,{100=48;5037=440;5038=440;5039=440;}
12621,11053,21,300000,{100=54;5040=480;5041=480;5042=480;}
12622,11053,22,350000,{100=60;5043=520;5044=520;5045=520;}
12623,11053,23,400000,{100=66;5046=560;5047=560;5048=560;}
12624,11053,24,450000,{100=72;5049=600;5050=600;5051=600;}
12625,11053,25,500000,{100=78;5052=640;5053=640;5054=640;}
12626,11053,26,550000,{100=84;5055=680;5056=680;5057=680;}
12627,11053,27,600000,{100=90;5058=720;5059=720;5060=720;}
12628,11053,28,650000,{100=96;5061=760;5062=760;5063=760;}
12629,11053,29,700000,{100=102;5064=800;5065=800;5066=800;}
12630,11053,30,750000,{100=108;5064=840;5065=840;5066=840;}
12651,11054,1,5000,{100=1;}
12652,11054,2,10000,{100=1;}
12653,11054,3,15000,{100=1;}
12654,11054,4,20000,{100=1;5004=4;5005=4;5006=4;}
12655,11054,5,25000,{100=1;5007=4;5008=4;5009=4;}
12656,11054,6,30000,{100=1;5010=6;5011=6;5012=6;}
12657,11054,7,35000,{100=2;5010=8;5011=8;5012=8;}
12658,11054,8,40000,{100=2;5013=10;5014=10;5015=10;}
12659,11054,9,50000,{100=4;5013=12;5014=12;5015=12;}
12660,11054,10,60000,{100=4;5016=16;5017=16;5018=16;}
12661,11054,11,80000,{100=6;5016=20;5017=20;5018=20;}
12662,11054,12,100000,{100=6;5019=32;5020=32;5021=32;}
12663,11054,13,120000,{100=9;5019=48;5020=48;5021=48;}
12664,11054,14,140000,{100=12;5022=72;5023=72;5024=72;}
12665,11054,15,160000,{100=18;5022=108;5023=108;5024=108;}
12666,11054,16,180000,{100=24;5025=144;5026=144;5027=144;}
12667,11054,17,200000,{100=30;5028=200;5029=200;5030=200;}
12668,11054,18,220000,{100=36;5031=300;5032=300;5033=300;}
12669,11054,19,240000,{100=42;5034=400;5035=400;5036=400;}
12670,11054,20,260000,{100=48;5037=440;5038=440;5039=440;}
12671,11054,21,300000,{100=54;5040=480;5041=480;5042=480;}
12672,11054,22,350000,{100=60;5043=520;5044=520;5045=520;}
12673,11054,23,400000,{100=66;5046=560;5047=560;5048=560;}
12674,11054,24,450000,{100=72;5049=600;5050=600;5051=600;}
12675,11054,25,500000,{100=78;5052=640;5053=640;5054=640;}
12676,11054,26,550000,{100=84;5055=680;5056=680;5057=680;}
12677,11054,27,600000,{100=90;5058=720;5059=720;5060=720;}
12678,11054,28,650000,{100=96;5061=760;5062=760;5063=760;}
12679,11054,29,700000,{100=102;5064=800;5065=800;5066=800;}
12680,11054,30,750000,{100=108;5064=840;5065=840;5066=840;}
15001,11101,1,5000,{100=1;}
15002,11101,2,10000,{100=1;}
15003,11101,3,15000,{100=1;}
15004,11101,4,20000,{100=1;5004=2;5005=2;5006=2;}
15005,11101,5,25000,{100=1;5007=2;5008=2;5009=2;}
15006,11101,6,30000,{100=1;5010=3;5011=3;5012=3;}
15007,11101,7,35000,{100=2;5010=4;5011=4;5012=4;}
15008,11101,8,40000,{100=2;5013=5;5014=5;5015=5;}
15009,11101,9,50000,{100=4;5013=6;5014=6;5015=6;}
15010,11101,10,60000,{100=4;5016=8;5017=8;5018=8;}
15011,11101,11,80000,{100=6;5016=10;5017=10;5018=10;}
15012,11101,12,100000,{100=6;5019=16;5020=16;5021=16;}
15013,11101,13,120000,{100=9;5019=24;5020=24;5021=24;}
15014,11101,14,140000,{100=12;5022=36;5023=36;5024=36;}
15015,11101,15,160000,{100=18;5022=54;5023=54;5024=54;}
15016,11101,16,180000,{100=24;5025=72;5026=72;5027=72;}
15017,11101,17,200000,{100=30;5028=100;5029=100;5030=100;}
15018,11101,18,220000,{100=36;5031=150;5032=150;5033=150;}
15019,11101,19,240000,{100=42;5034=200;5035=200;5036=200;}
15020,11101,20,260000,{100=48;5037=220;5038=220;5039=220;}
15021,11101,21,300000,{100=54;5040=240;5041=240;5042=240;}
15022,11101,22,350000,{100=60;5043=260;5044=260;5045=260;}
15023,11101,23,400000,{100=66;5046=280;5047=280;5048=280;}
15024,11101,24,450000,{100=72;5049=300;5050=300;5051=300;}
15025,11101,25,500000,{100=78;5052=320;5053=320;5054=320;}
15026,11101,26,550000,{100=84;5055=340;5056=340;5057=340;}
15027,11101,27,600000,{100=90;5058=360;5059=360;5060=360;}
15028,11101,28,650000,{100=96;5061=380;5062=380;5063=380;}
15029,11101,29,700000,{100=102;5064=400;5065=400;5066=400;}
15030,11101,30,750000,{100=108;5064=420;5065=420;5066=420;}
15051,11102,1,5000,{100=1;}
15052,11102,2,10000,{100=1;}
15053,11102,3,15000,{100=1;}
15054,11102,4,20000,{100=1;5004=2;5005=2;5006=2;}
15055,11102,5,25000,{100=1;5007=2;5008=2;5009=2;}
15056,11102,6,30000,{100=1;5010=3;5011=3;5012=3;}
15057,11102,7,35000,{100=2;5010=4;5011=4;5012=4;}
15058,11102,8,40000,{100=2;5013=5;5014=5;5015=5;}
15059,11102,9,50000,{100=4;5013=6;5014=6;5015=6;}
15060,11102,10,60000,{100=4;5016=8;5017=8;5018=8;}
15061,11102,11,80000,{100=6;5016=10;5017=10;5018=10;}
15062,11102,12,100000,{100=6;5019=16;5020=16;5021=16;}
15063,11102,13,120000,{100=9;5019=24;5020=24;5021=24;}
15064,11102,14,140000,{100=12;5022=36;5023=36;5024=36;}
15065,11102,15,160000,{100=18;5022=54;5023=54;5024=54;}
15066,11102,16,180000,{100=24;5025=72;5026=72;5027=72;}
15067,11102,17,200000,{100=30;5028=100;5029=100;5030=100;}
15068,11102,18,220000,{100=36;5031=150;5032=150;5033=150;}
15069,11102,19,240000,{100=42;5034=200;5035=200;5036=200;}
15070,11102,20,260000,{100=48;5037=220;5038=220;5039=220;}
15071,11102,21,300000,{100=54;5040=240;5041=240;5042=240;}
15072,11102,22,350000,{100=60;5043=260;5044=260;5045=260;}
15073,11102,23,400000,{100=66;5046=280;5047=280;5048=280;}
15074,11102,24,450000,{100=72;5049=300;5050=300;5051=300;}
15075,11102,25,500000,{100=78;5052=320;5053=320;5054=320;}
15076,11102,26,550000,{100=84;5055=340;5056=340;5057=340;}
15077,11102,27,600000,{100=90;5058=360;5059=360;5060=360;}
15078,11102,28,650000,{100=96;5061=380;5062=380;5063=380;}
15079,11102,29,700000,{100=102;5064=400;5065=400;5066=400;}
15080,11102,30,750000,{100=108;5064=420;5065=420;5066=420;}
15101,11103,1,5000,{100=1;}
15102,11103,2,10000,{100=1;}
15103,11103,3,15000,{100=1;}
15104,11103,4,20000,{100=1;5004=2;5005=2;5006=2;}
15105,11103,5,25000,{100=1;5007=2;5008=2;5009=2;}
15106,11103,6,30000,{100=1;5010=3;5011=3;5012=3;}
15107,11103,7,35000,{100=2;5010=4;5011=4;5012=4;}
15108,11103,8,40000,{100=2;5013=5;5014=5;5015=5;}
15109,11103,9,50000,{100=4;5013=6;5014=6;5015=6;}
15110,11103,10,60000,{100=4;5016=8;5017=8;5018=8;}
15111,11103,11,80000,{100=6;5016=10;5017=10;5018=10;}
15112,11103,12,100000,{100=6;5019=16;5020=16;5021=16;}
15113,11103,13,120000,{100=9;5019=24;5020=24;5021=24;}
15114,11103,14,140000,{100=12;5022=36;5023=36;5024=36;}
15115,11103,15,160000,{100=18;5022=54;5023=54;5024=54;}
15116,11103,16,180000,{100=24;5025=72;5026=72;5027=72;}
15117,11103,17,200000,{100=30;5028=100;5029=100;5030=100;}
15118,11103,18,220000,{100=36;5031=150;5032=150;5033=150;}
15119,11103,19,240000,{100=42;5034=200;5035=200;5036=200;}
15120,11103,20,260000,{100=48;5037=220;5038=220;5039=220;}
15121,11103,21,300000,{100=54;5040=240;5041=240;5042=240;}
15122,11103,22,350000,{100=60;5043=260;5044=260;5045=260;}
15123,11103,23,400000,{100=66;5046=280;5047=280;5048=280;}
15124,11103,24,450000,{100=72;5049=300;5050=300;5051=300;}
15125,11103,25,500000,{100=78;5052=320;5053=320;5054=320;}
15126,11103,26,550000,{100=84;5055=340;5056=340;5057=340;}
15127,11103,27,600000,{100=90;5058=360;5059=360;5060=360;}
15128,11103,28,650000,{100=96;5061=380;5062=380;5063=380;}
15129,11103,29,700000,{100=102;5064=400;5065=400;5066=400;}
15130,11103,30,750000,{100=108;5064=420;5065=420;5066=420;}
15151,11104,1,5000,{100=1;}
15152,11104,2,10000,{100=1;}
15153,11104,3,15000,{100=1;}
15154,11104,4,20000,{100=1;5004=2;5005=2;5006=2;}
15155,11104,5,25000,{100=1;5007=2;5008=2;5009=2;}
15156,11104,6,30000,{100=1;5010=3;5011=3;5012=3;}
15157,11104,7,35000,{100=2;5010=4;5011=4;5012=4;}
15158,11104,8,40000,{100=2;5013=5;5014=5;5015=5;}
15159,11104,9,50000,{100=4;5013=6;5014=6;5015=6;}
15160,11104,10,60000,{100=4;5016=8;5017=8;5018=8;}
15161,11104,11,80000,{100=6;5016=10;5017=10;5018=10;}
15162,11104,12,100000,{100=6;5019=16;5020=16;5021=16;}
15163,11104,13,120000,{100=9;5019=24;5020=24;5021=24;}
15164,11104,14,140000,{100=12;5022=36;5023=36;5024=36;}
15165,11104,15,160000,{100=18;5022=54;5023=54;5024=54;}
15166,11104,16,180000,{100=24;5025=72;5026=72;5027=72;}
15167,11104,17,200000,{100=30;5028=100;5029=100;5030=100;}
15168,11104,18,220000,{100=36;5031=150;5032=150;5033=150;}
15169,11104,19,240000,{100=42;5034=200;5035=200;5036=200;}
15170,11104,20,260000,{100=48;5037=220;5038=220;5039=220;}
15171,11104,21,300000,{100=54;5040=240;5041=240;5042=240;}
15172,11104,22,350000,{100=60;5043=260;5044=260;5045=260;}
15173,11104,23,400000,{100=66;5046=280;5047=280;5048=280;}
15174,11104,24,450000,{100=72;5049=300;5050=300;5051=300;}
15175,11104,25,500000,{100=78;5052=320;5053=320;5054=320;}
15176,11104,26,550000,{100=84;5055=340;5056=340;5057=340;}
15177,11104,27,600000,{100=90;5058=360;5059=360;5060=360;}
15178,11104,28,650000,{100=96;5061=380;5062=380;5063=380;}
15179,11104,29,700000,{100=102;5064=400;5065=400;5066=400;}
15180,11104,30,750000,{100=108;5064=420;5065=420;5066=420;}
15501,11111,1,5000,{100=1;}
15502,11111,2,10000,{100=1;}
15503,11111,3,15000,{100=1;}
15504,11111,4,20000,{100=1;5004=2;5005=2;5006=2;}
15505,11111,5,25000,{100=1;5007=2;5008=2;5009=2;}
15506,11111,6,30000,{100=1;5010=3;5011=3;5012=3;}
15507,11111,7,35000,{100=2;5010=4;5011=4;5012=4;}
15508,11111,8,40000,{100=2;5013=5;5014=5;5015=5;}
15509,11111,9,50000,{100=4;5013=6;5014=6;5015=6;}
15510,11111,10,60000,{100=4;5016=8;5017=8;5018=8;}
15511,11111,11,80000,{100=6;5016=10;5017=10;5018=10;}
15512,11111,12,100000,{100=6;5019=16;5020=16;5021=16;}
15513,11111,13,120000,{100=9;5019=24;5020=24;5021=24;}
15514,11111,14,140000,{100=12;5022=36;5023=36;5024=36;}
15515,11111,15,160000,{100=18;5022=54;5023=54;5024=54;}
15516,11111,16,180000,{100=24;5025=72;5026=72;5027=72;}
15517,11111,17,200000,{100=30;5028=100;5029=100;5030=100;}
15518,11111,18,220000,{100=36;5031=150;5032=150;5033=150;}
15519,11111,19,240000,{100=42;5034=200;5035=200;5036=200;}
15520,11111,20,260000,{100=48;5037=220;5038=220;5039=220;}
15521,11111,21,300000,{100=54;5040=240;5041=240;5042=240;}
15522,11111,22,350000,{100=60;5043=260;5044=260;5045=260;}
15523,11111,23,400000,{100=66;5046=280;5047=280;5048=280;}
15524,11111,24,450000,{100=72;5049=300;5050=300;5051=300;}
15525,11111,25,500000,{100=78;5052=320;5053=320;5054=320;}
15526,11111,26,550000,{100=84;5055=340;5056=340;5057=340;}
15527,11111,27,600000,{100=90;5058=360;5059=360;5060=360;}
15528,11111,28,650000,{100=96;5061=380;5062=380;5063=380;}
15529,11111,29,700000,{100=102;5064=400;5065=400;5066=400;}
15530,11111,30,750000,{100=108;5064=420;5065=420;5066=420;}
15551,11112,1,5000,{100=1;}
15552,11112,2,10000,{100=1;}
15553,11112,3,15000,{100=1;}
15554,11112,4,20000,{100=1;5004=2;5005=2;5006=2;}
15555,11112,5,25000,{100=1;5007=2;5008=2;5009=2;}
15556,11112,6,30000,{100=1;5010=3;5011=3;5012=3;}
15557,11112,7,35000,{100=2;5010=4;5011=4;5012=4;}
15558,11112,8,40000,{100=2;5013=5;5014=5;5015=5;}
15559,11112,9,50000,{100=4;5013=6;5014=6;5015=6;}
15560,11112,10,60000,{100=4;5016=8;5017=8;5018=8;}
15561,11112,11,80000,{100=6;5016=10;5017=10;5018=10;}
15562,11112,12,100000,{100=6;5019=16;5020=16;5021=16;}
15563,11112,13,120000,{100=9;5019=24;5020=24;5021=24;}
15564,11112,14,140000,{100=12;5022=36;5023=36;5024=36;}
15565,11112,15,160000,{100=18;5022=54;5023=54;5024=54;}
