变量名,sceneID,addMp1,addMp2,activeSkillMp1,lostBloodMp1,slayAddMp1Fix,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefence,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,speedC,curePowerC,natureRestraintC,buffGroup
80534,-80534,,,,,,,,,,,,,,,,,,2,,3,3,3,,,,3,3,,,,,3,3,,,3,
80535,-80535,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
80536,-80536,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
80541,-80541,,,,,,,,,,,,,,,,,,4,,4,4,4,,,,4,4,,,,,4,4,,,4,
80542,-80542,,,,,,,,,,,,,,,,,,4,,4,4,4,,,,4,4,,,,,4,4,,,4,
80543,-80543,,,,,,,,,,,,,,,,,,4,,2,4,4,,,,4,4,,,,,4,4,,,4,
80544,-80544,,,,,,,,,,,,,,,,,,2,,4,4,4,,,,4,4,,,,,4,4,,,4,
80545,-80545,,,,,,,,,,,,,,,,,,4,,2,4,4,,,,4,4,,,,,4,4,,,4,
80546,-80546,,,,,,,,,,,,,,,,,,4,,4,4,4,,,,4,4,,,,,4,4,,,4,
80551,-80551,,,,,,,,,,,,,,,,,,5,,5,5,5,,,,5,5,,,,,5,5,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80601,-80601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80602,-80602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80603,-80603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80604,-80604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80605,-80605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80606,-80606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80611,-80611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80612,-80612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80613,-80613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80614,-80614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80615,-80615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80616,-80616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80621,-80621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80622,-80622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80623,-80623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80624,-80624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80625,-80625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80626,-80626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80631,-80631,,,,,,,,,,,,,,,,,,4,,4,4,4,,,,4,2,,,,,4,4,,,4,
80632,-80632,,,,,,,,,,,,,,,,,,4,,4,4,4,,,,4,4,,,,,4,4,,,4,
80633,-80633,,,,,,,,,,,,,,,,,,4,,4,4,4,,,,4,2,,,,,4,4,,,4,
80634,-80634,,,,,,,,,,,,,,,,,,2,,4,4,4,,,,4,4,,,,,2,4,,,4,
80635,-80635,,,,,,,,,,,,,,,,,,4,,2,4,4,,,,4,2,,,,,4,4,,,4,
80636,-80636,,,,,,,,,,,,,,,,,,4,,4,4,2,,,,2,4,,,,,4,4,,,4,
80641,-80641,,,,,,,,,,,,,,,,,,5,,5,5,5,,,,5,5,,,,,2,2,,,5,
80642,-80642,,,,,,,,,,,,,,,,,,5,,5,5,5,,,,5,5,,,,,5,5,,,5,
80643,-80643,,,,,,,,,,,,,,,,,,5,,5,2,5,,,,5,5,,,,,5,2,,,5,
80644,-80644,,,,,,,,,,,,,,,,,,2,,5,5,5,,,,5,5,,,,,5,2,,,5,
80645,-80645,,,,,,,,,,,,,,,,,,5,,5,5,5,,,,5,5,,,,,5,2,,,5,
80646,-80646,,,,,,,,,,,,,,,,,,2,,5,5,5,,,,5,5,,,,,5,2,,,5,
80651,-80651,,,,,,,,,,,,,,,,,,6,,6,6,6,,,,6,6,,,,,6,6,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80701,-80701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80702,-80702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80703,-80703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80704,-80704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80705,-80705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80706,-80706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80711,-80711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80712,-80712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80713,-80713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80714,-80714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80715,-80715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80716,-80716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80721,-80721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80722,-80722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80723,-80723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80724,-80724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80725,-80725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80726,-80726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80731,-80731,,,,,,,,,,,,,,,,,,4,,2,4,4,,,,4,4,,,,,4,4,,,4,
80732,-80732,,,,,,,,,,,,,,,,,,4,,2,4,4,,,,4,4,,,,,4,4,,,4,
80733,-80733,,,,,,,,,,,,,,,,,,4,,2,4,4,,,,4,4,,,,,4,4,,,4,
80734,-80734,,,,,,,,,,,,,,,,,,4,,4,2,4,,,,4,4,,,,,4,4,,,4,
80735,-80735,,,,,,,,,,,,,,,,,,4,,4,4,4,,,,4,4,,,,,4,4,,,4,
80736,-80736,,,,,,,,,,,,,,,,,,4,,2,4,4,,,,4,4,,,,,4,4,,,4,
80741,-80741,,,,,,,,,,,,,,,,,,5,,5,5,5,,,,5,5,,,,,5,5,,,5,
80742,-80742,,,,,,,,,,,,,,,,,,5,,5,2,5,,,,5,5,,,,,5,5,,,5,
80743,-80743,,,,,,,,,,,,,,,,,,5,,5,2,5,,,,5,5,,,,,5,5,,,5,
80744,-80744,,,,,,,,,,,,,,,,,,5,,2,5,5,,,,5,5,,,,,5,5,,,5,
80745,-80745,,,,,,,,,,,,,,,,,,5,,5,5,2,,,,5,5,,,,,5,5,,,5,
80746,-80746,,,,,,,,,,,,,,,,,,5,,5,2,5,,,,5,5,,,,,5,5,,,5,
80751,-80751,,,,,,,,,,,,,,,,,,6,,6,6,6,,,,6,6,,,,,6,6,,,6,
