39,{gold=480000;coin10=360;111=108},{gold=720000;coin10=540;111=162},{gold=720000;coin10=540;111=162},{gold=960000;coin10=720;111=216},{gold=960000;coin10=720;111=216},{gold=480000;coin2=360;111=108},{gold=720000;coin2=540;111=162},{gold=720000;coin2=540;111=162},{gold=960000;coin2=720;111=216},{gold=960000;coin2=720;111=216},{gold=480000;coin1=360;111=108},{gold=720000;coin1=540;111=162},{gold=720000;coin1=540;111=162},{gold=960000;coin1=720;111=216},{gold=960000;coin1=720;111=216},{gold=480000;coin6=360;111=108},{gold=720000;coin6=540;111=162},{gold=720000;coin6=540;111=162},{gold=960000;coin6=720;111=216},{gold=960000;coin6=720;111=216}
40,{gold=560000;coin10=400;111=112},{gold=840000;coin10=600;111=168},{gold=840000;coin10=600;111=168},{gold=1120000;coin10=800;111=224},{gold=1120000;coin10=800;111=224},{gold=560000;coin2=400;111=112},{gold=840000;coin2=600;111=168},{gold=840000;coin2=600;111=168},{gold=1120000;coin2=800;111=224},{gold=1120000;coin2=800;111=224},{gold=560000;coin1=400;111=112},{gold=840000;coin1=600;111=168},{gold=840000;coin1=600;111=168},{gold=1120000;coin1=800;111=224},{gold=1120000;coin1=800;111=224},{gold=560000;coin6=400;111=112},{gold=840000;coin6=600;111=168},{gold=840000;coin6=600;111=168},{gold=1120000;coin6=800;111=224},{gold=1120000;coin6=800;111=224}
41,{gold=560000;coin10=400;111=112},{gold=840000;coin10=600;111=168},{gold=840000;coin10=600;111=168},{gold=1120000;coin10=800;111=224},{gold=1120000;coin10=800;111=224},{gold=560000;coin2=400;111=112},{gold=840000;coin2=600;111=168},{gold=840000;coin2=600;111=168},{gold=1120000;coin2=800;111=224},{gold=1120000;coin2=800;111=224},{gold=560000;coin1=400;111=112},{gold=840000;coin1=600;111=168},{gold=840000;coin1=600;111=168},{gold=1120000;coin1=800;111=224},{gold=1120000;coin1=800;111=224},{gold=560000;coin6=400;111=112},{gold=840000;coin6=600;111=168},{gold=840000;coin6=600;111=168},{gold=1120000;coin6=800;111=224},{gold=1120000;coin6=800;111=224}
42,{gold=560000;coin10=400;111=112},{gold=840000;coin10=600;111=168},{gold=840000;coin10=600;111=168},{gold=1120000;coin10=800;111=224},{gold=1120000;coin10=800;111=224},{gold=560000;coin2=400;111=112},{gold=840000;coin2=600;111=168},{gold=840000;coin2=600;111=168},{gold=1120000;coin2=800;111=224},{gold=1120000;coin2=800;111=224},{gold=560000;coin1=400;111=112},{gold=840000;coin1=600;111=168},{gold=840000;coin1=600;111=168},{gold=1120000;coin1=800;111=224},{gold=1120000;coin1=800;111=224},{gold=560000;coin6=400;111=112},{gold=840000;coin6=600;111=168},{gold=840000;coin6=600;111=168},{gold=1120000;coin6=800;111=224},{gold=1120000;coin6=800;111=224}
43,{gold=560000;coin10=400;111=112},{gold=840000;coin10=600;111=168},{gold=840000;coin10=600;111=168},{gold=1120000;coin10=800;111=224},{gold=1120000;coin10=800;111=224},{gold=560000;coin2=400;111=112},{gold=840000;coin2=600;111=168},{gold=840000;coin2=600;111=168},{gold=1120000;coin2=800;111=224},{gold=1120000;coin2=800;111=224},{gold=560000;coin1=400;111=112},{gold=840000;coin1=600;111=168},{gold=840000;coin1=600;111=168},{gold=1120000;coin1=800;111=224},{gold=1120000;coin1=800;111=224},{gold=560000;coin6=400;111=112},{gold=840000;coin6=600;111=168},{gold=840000;coin6=600;111=168},{gold=1120000;coin6=800;111=224},{gold=1120000;coin6=800;111=224}
44,{gold=560000;coin10=400;111=112},{gold=840000;coin10=600;111=168},{gold=840000;coin10=600;111=168},{gold=1120000;coin10=800;111=224},{gold=1120000;coin10=800;111=224},{gold=560000;coin2=400;111=112},{gold=840000;coin2=600;111=168},{gold=840000;coin2=600;111=168},{gold=1120000;coin2=800;111=224},{gold=1120000;coin2=800;111=224},{gold=560000;coin1=400;111=112},{gold=840000;coin1=600;111=168},{gold=840000;coin1=600;111=168},{gold=1120000;coin1=800;111=224},{gold=1120000;coin1=800;111=224},{gold=560000;coin6=400;111=112},{gold=840000;coin6=600;111=168},{gold=840000;coin6=600;111=168},{gold=1120000;coin6=800;111=224},{gold=1120000;coin6=800;111=224}
45,{gold=640000;coin10=440;111=116},{gold=960000;coin10=660;111=174},{gold=960000;coin10=660;111=174},{gold=1280000;coin10=880;111=232},{gold=1280000;coin10=880;111=232},{gold=640000;coin2=440;111=116},{gold=960000;coin2=660;111=174},{gold=960000;coin2=660;111=174},{gold=1280000;coin2=880;111=232},{gold=1280000;coin2=880;111=232},{gold=640000;coin1=440;111=116},{gold=960000;coin1=660;111=174},{gold=960000;coin1=660;111=174},{gold=1280000;coin1=880;111=232},{gold=1280000;coin1=880;111=232},{gold=640000;coin6=440;111=116},{gold=960000;coin6=660;111=174},{gold=960000;coin6=660;111=174},{gold=1280000;coin6=880;111=232},{gold=1280000;coin6=880;111=232}
46,{gold=640000;coin10=440;111=116},{gold=960000;coin10=660;111=174},{gold=960000;coin10=660;111=174},{gold=1280000;coin10=880;111=232},{gold=1280000;coin10=880;111=232},{gold=640000;coin2=440;111=116},{gold=960000;coin2=660;111=174},{gold=960000;coin2=660;111=174},{gold=1280000;coin2=880;111=232},{gold=1280000;coin2=880;111=232},{gold=640000;coin1=440;111=116},{gold=960000;coin1=660;111=174},{gold=960000;coin1=660;111=174},{gold=1280000;coin1=880;111=232},{gold=1280000;coin1=880;111=232},{gold=640000;coin6=440;111=116},{gold=960000;coin6=660;111=174},{gold=960000;coin6=660;111=174},{gold=1280000;coin6=880;111=232},{gold=1280000;coin6=880;111=232}
47,{gold=640000;coin10=440;111=116},{gold=960000;coin10=660;111=174},{gold=960000;coin10=660;111=174},{gold=1280000;coin10=880;111=232},{gold=1280000;coin10=880;111=232},{gold=640000;coin2=440;111=116},{gold=960000;coin2=660;111=174},{gold=960000;coin2=660;111=174},{gold=1280000;coin2=880;111=232},{gold=1280000;coin2=880;111=232},{gold=640000;coin1=440;111=116},{gold=960000;coin1=660;111=174},{gold=960000;coin1=660;111=174},{gold=1280000;coin1=880;111=232},{gold=1280000;coin1=880;111=232},{gold=640000;coin6=440;111=116},{gold=960000;coin6=660;111=174},{gold=960000;coin6=660;111=174},{gold=1280000;coin6=880;111=232},{gold=1280000;coin6=880;111=232}
48,{gold=640000;coin10=440;111=116},{gold=960000;coin10=660;111=174},{gold=960000;coin10=660;111=174},{gold=1280000;coin10=880;111=232},{gold=1280000;coin10=880;111=232},{gold=640000;coin2=440;111=116},{gold=960000;coin2=660;111=174},{gold=960000;coin2=660;111=174},{gold=1280000;coin2=880;111=232},{gold=1280000;coin2=880;111=232},{gold=640000;coin1=440;111=116},{gold=960000;coin1=660;111=174},{gold=960000;coin1=660;111=174},{gold=1280000;coin1=880;111=232},{gold=1280000;coin1=880;111=232},{gold=640000;coin6=440;111=116},{gold=960000;coin6=660;111=174},{gold=960000;coin6=660;111=174},{gold=1280000;coin6=880;111=232},{gold=1280000;coin6=880;111=232}
49,{gold=640000;coin10=440;111=116},{gold=960000;coin10=660;111=174},{gold=960000;coin10=660;111=174},{gold=1280000;coin10=880;111=232},{gold=1280000;coin10=880;111=232},{gold=640000;coin2=440;111=116},{gold=960000;coin2=660;111=174},{gold=960000;coin2=660;111=174},{gold=1280000;coin2=880;111=232},{gold=1280000;coin2=880;111=232},{gold=640000;coin1=440;111=116},{gold=960000;coin1=660;111=174},{gold=960000;coin1=660;111=174},{gold=1280000;coin1=880;111=232},{gold=1280000;coin1=880;111=232},{gold=640000;coin6=440;111=116},{gold=960000;coin6=660;111=174},{gold=960000;coin6=660;111=174},{gold=1280000;coin6=880;111=232},{gold=1280000;coin6=880;111=232}
50,{gold=640000;coin10=440;111=116},{gold=960000;coin10=660;111=174},{gold=960000;coin10=660;111=174},{gold=1280000;coin10=880;111=232},{gold=1280000;coin10=880;111=232},{gold=640000;coin2=440;111=116},{gold=960000;coin2=660;111=174},{gold=960000;coin2=660;111=174},{gold=1280000;coin2=880;111=232},{gold=1280000;coin2=880;111=232},{gold=640000;coin1=440;111=116},{gold=960000;coin1=660;111=174},{gold=960000;coin1=660;111=174},{gold=1280000;coin1=880;111=232},{gold=1280000;coin1=880;111=232},{gold=640000;coin6=440;111=116},{gold=960000;coin6=660;111=174},{gold=960000;coin6=660;111=174},{gold=1280000;coin6=880;111=232},{gold=1280000;coin6=880;111=232}
