变量名,rankMax,dayAward,endAward,version
默认值,,,,0
ID,最大排名,比赛日排行奖励,比赛结算排行奖励,版本
1,1,{coin13=128000;gold=300000},{coin13=128000;gold=300000},
1811,1811,{coin13=55110;gold=117780},{coin13=55110;gold=117780},
1812,1812,{coin13=55100;gold=117760},{coin13=55100;gold=117760},
1813,1813,{coin13=55090;gold=117740},{coin13=55090;gold=117740},
1814,1814,{coin13=55080;gold=117720},{coin13=55080;gold=117720},
1815,1815,{coin13=55080;gold=117700},{coin13=55080;gold=117700},
1816,1816,{coin13=55070;gold=117680},{coin13=55070;gold=117680},
1817,1817,{coin13=55060;gold=117660},{coin13=55060;gold=117660},
1818,1818,{coin13=55050;gold=117640},{coin13=55050;gold=117640},
1819,1819,{coin13=55040;gold=117620},{coin13=55040;gold=117620},
1820,1820,{coin13=55040;gold=117600},{coin13=55040;gold=117600},
1821,1821,{coin13=55030;gold=117580},{coin13=55030;gold=117580},
1822,1822,{coin13=55020;gold=117560},{coin13=55020;gold=117560},
1823,1823,{coin13=55010;gold=117540},{coin13=55010;gold=117540},
1824,1824,{coin13=55000;gold=117520},{coin13=55000;gold=117520},
1825,1825,{coin13=55000;gold=117500},{coin13=55000;gold=117500},
1826,1826,{coin13=54990;gold=117480},{coin13=54990;gold=117480},
1827,1827,{coin13=54980;gold=117460},{coin13=54980;gold=117460},
1828,1828,{coin13=54970;gold=117440},{coin13=54970;gold=117440},
1829,1829,{coin13=54960;gold=117420},{coin13=54960;gold=117420},
1830,1830,{coin13=54960;gold=117400},{coin13=54960;gold=117400},
1831,1831,{coin13=54950;gold=117380},{coin13=54950;gold=117380},
1832,1832,{coin13=54940;gold=117360},{coin13=54940;gold=117360},
1833,1833,{coin13=54930;gold=117340},{coin13=54930;gold=117340},
1834,1834,{coin13=54920;gold=117320},{coin13=54920;gold=117320},
1835,1835,{coin13=54920;gold=117300},{coin13=54920;gold=117300},
1836,1836,{coin13=54910;gold=117280},{coin13=54910;gold=117280},
1837,1837,{coin13=54900;gold=117260},{coin13=54900;gold=117260},
1838,1838,{coin13=54890;gold=117240},{coin13=54890;gold=117240},
1839,1839,{coin13=54880;gold=117220},{coin13=54880;gold=117220},
1840,1840,{coin13=54880;gold=117200},{coin13=54880;gold=117200},
1841,1841,{coin13=54870;gold=117180},{coin13=54870;gold=117180},
1842,1842,{coin13=54860;gold=117160},{coin13=54860;gold=117160},
1843,1843,{coin13=54850;gold=117140},{coin13=54850;gold=117140},
1844,1844,{coin13=54840;gold=117120},{coin13=54840;gold=117120},
1845,1845,{coin13=54840;gold=117100},{coin13=54840;gold=117100},
1846,1846,{coin13=54830;gold=117080},{coin13=54830;gold=117080},
1847,1847,{coin13=54820;gold=117060},{coin13=54820;gold=117060},
1848,1848,{coin13=54810;gold=117040},{coin13=54810;gold=117040},
1849,1849,{coin13=54800;gold=117020},{coin13=54800;gold=117020},
1850,1850,{coin13=54800;gold=117000},{coin13=54800;gold=117000},
1851,1851,{coin13=54790;gold=116980},{coin13=54790;gold=116980},
1852,1852,{coin13=54780;gold=116960},{coin13=54780;gold=116960},
1853,1853,{coin13=54770;gold=116940},{coin13=54770;gold=116940},
1854,1854,{coin13=54760;gold=116920},{coin13=54760;gold=116920},
1855,1855,{coin13=54760;gold=116900},{coin13=54760;gold=116900},
1856,1856,{coin13=54750;gold=116880},{coin13=54750;gold=116880},
1857,1857,{coin13=54740;gold=116860},{coin13=54740;gold=116860},
1858,1858,{coin13=54730;gold=116840},{coin13=54730;gold=116840},
1859,1859,{coin13=54720;gold=116820},{coin13=54720;gold=116820},
1860,1860,{coin13=54720;gold=116800},{coin13=54720;gold=116800},
1861,1861,{coin13=54710;gold=116780},{coin13=54710;gold=116780},
1862,1862,{coin13=54700;gold=116760},{coin13=54700;gold=116760},
1863,1863,{coin13=54690;gold=116740},{coin13=54690;gold=116740},
1864,1864,{coin13=54680;gold=116720},{coin13=54680;gold=116720},
1865,1865,{coin13=54680;gold=116700},{coin13=54680;gold=116700},
1866,1866,{coin13=54670;gold=116680},{coin13=54670;gold=116680},
1867,1867,{coin13=54660;gold=116660},{coin13=54660;gold=116660},
1868,1868,{coin13=54650;gold=116640},{coin13=54650;gold=116640},
1869,1869,{coin13=54640;gold=116620},{coin13=54640;gold=116620},
1870,1870,{coin13=54640;gold=116600},{coin13=54640;gold=116600},
1871,1871,{coin13=54630;gold=116580},{coin13=54630;gold=116580},
1872,1872,{coin13=54620;gold=116560},{coin13=54620;gold=116560},
1873,1873,{coin13=54610;gold=116540},{coin13=54610;gold=116540},
1874,1874,{coin13=54600;gold=116520},{coin13=54600;gold=116520},
1875,1875,{coin13=54600;gold=116500},{coin13=54600;gold=116500},
1876,1876,{coin13=54590;gold=116480},{coin13=54590;gold=116480},
1877,1877,{coin13=54580;gold=116460},{coin13=54580;gold=116460},
1878,1878,{coin13=54570;gold=116440},{coin13=54570;gold=116440},
1879,1879,{coin13=54560;gold=116420},{coin13=54560;gold=116420},
1880,1880,{coin13=54560;gold=116400},{coin13=54560;gold=116400},
1881,1881,{coin13=54550;gold=116380},{coin13=54550;gold=116380},
1882,1882,{coin13=54540;gold=116360},{coin13=54540;gold=116360},
1883,1883,{coin13=54530;gold=116340},{coin13=54530;gold=116340},
1884,1884,{coin13=54520;gold=116320},{coin13=54520;gold=116320},
1885,1885,{coin13=54520;gold=116300},{coin13=54520;gold=116300},
1886,1886,{coin13=54510;gold=116280},{coin13=54510;gold=116280},
1887,1887,{coin13=54500;gold=116260},{coin13=54500;gold=116260},
1888,1888,{coin13=54490;gold=116240},{coin13=54490;gold=116240},
1889,1889,{coin13=54480;gold=116220},{coin13=54480;gold=116220},
1890,1890,{coin13=54480;gold=116200},{coin13=54480;gold=116200},
1891,1891,{coin13=54470;gold=116180},{coin13=54470;gold=116180},
1892,1892,{coin13=54460;gold=116160},{coin13=54460;gold=116160},
1893,1893,{coin13=54450;gold=116140},{coin13=54450;gold=116140},
1894,1894,{coin13=54440;gold=116120},{coin13=54440;gold=116120},
1895,1895,{coin13=54440;gold=116100},{coin13=54440;gold=116100},
1896,1896,{coin13=54430;gold=116080},{coin13=54430;gold=116080},
1897,1897,{coin13=54420;gold=116060},{coin13=54420;gold=116060},
1898,1898,{coin13=54410;gold=116040},{coin13=54410;gold=116040},
1899,1899,{coin13=54400;gold=116020},{coin13=54400;gold=116020},
1900,1900,{coin13=54400;gold=116000},{coin13=54400;gold=116000},
1901,1901,{coin13=54390;gold=115980},{coin13=54390;gold=115980},
1902,1902,{coin13=54380;gold=115960},{coin13=54380;gold=115960},
1903,1903,{coin13=54370;gold=115940},{coin13=54370;gold=115940},
1904,1904,{coin13=54360;gold=115920},{coin13=54360;gold=115920},
1905,1905,{coin13=54360;gold=115900},{coin13=54360;gold=115900},
1906,1906,{coin13=54350;gold=115880},{coin13=54350;gold=115880},
1907,1907,{coin13=54340;gold=115860},{coin13=54340;gold=115860},
1908,1908,{coin13=54330;gold=115840},{coin13=54330;gold=115840},
1909,1909,{coin13=54320;gold=115820},{coin13=54320;gold=115820},
1910,1910,{coin13=54320;gold=115800},{coin13=54320;gold=115800},
1911,1911,{coin13=54310;gold=115780},{coin13=54310;gold=115780},
1912,1912,{coin13=54300;gold=115760},{coin13=54300;gold=115760},
1913,1913,{coin13=54290;gold=115740},{coin13=54290;gold=115740},
1914,1914,{coin13=54280;gold=115720},{coin13=54280;gold=115720},
1915,1915,{coin13=54280;gold=115700},{coin13=54280;gold=115700},
1916,1916,{coin13=54270;gold=115680},{coin13=54270;gold=115680},
1917,1917,{coin13=54260;gold=115660},{coin13=54260;gold=115660},
1918,1918,{coin13=54250;gold=115640},{coin13=54250;gold=115640},
1919,1919,{coin13=54240;gold=115620},{coin13=54240;gold=115620},
1920,1920,{coin13=54240;gold=115600},{coin13=54240;gold=115600},
1921,1921,{coin13=54230;gold=115580},{coin13=54230;gold=115580},
1922,1922,{coin13=54220;gold=115560},{coin13=54220;gold=115560},
1923,1923,{coin13=54210;gold=115540},{coin13=54210;gold=115540},
1924,1924,{coin13=54200;gold=115520},{coin13=54200;gold=115520},
1925,1925,{coin13=54200;gold=115500},{coin13=54200;gold=115500},
1926,1926,{coin13=54190;gold=115480},{coin13=54190;gold=115480},
1927,1927,{coin13=54180;gold=115460},{coin13=54180;gold=115460},
1928,1928,{coin13=54170;gold=115440},{coin13=54170;gold=115440},
1929,1929,{coin13=54160;gold=115420},{coin13=54160;gold=115420},
1930,1930,{coin13=54160;gold=115400},{coin13=54160;gold=115400},
1931,1931,{coin13=54150;gold=115380},{coin13=54150;gold=115380},
1932,1932,{coin13=54140;gold=115360},{coin13=54140;gold=115360},
1933,1933,{coin13=54130;gold=115340},{coin13=54130;gold=115340},
1934,1934,{coin13=54120;gold=115320},{coin13=54120;gold=115320},
1935,1935,{coin13=54120;gold=115300},{coin13=54120;gold=115300},
1936,1936,{coin13=54110;gold=115280},{coin13=54110;gold=115280},
1937,1937,{coin13=54100;gold=115260},{coin13=54100;gold=115260},
1938,1938,{coin13=54090;gold=115240},{coin13=54090;gold=115240},
1939,1939,{coin13=54080;gold=115220},{coin13=54080;gold=115220},
1940,1940,{coin13=54080;gold=115200},{coin13=54080;gold=115200},
1941,1941,{coin13=54070;gold=115180},{coin13=54070;gold=115180},
1942,1942,{coin13=54060;gold=115160},{coin13=54060;gold=115160},
1943,1943,{coin13=54050;gold=115140},{coin13=54050;gold=115140},
1944,1944,{coin13=54040;gold=115120},{coin13=54040;gold=115120},
1945,1945,{coin13=54040;gold=115100},{coin13=54040;gold=115100},
1946,1946,{coin13=54030;gold=115080},{coin13=54030;gold=115080},
1947,1947,{coin13=54020;gold=115060},{coin13=54020;gold=115060},
1948,1948,{coin13=54010;gold=115040},{coin13=54010;gold=115040},
1949,1949,{coin13=54000;gold=115020},{coin13=54000;gold=115020},
1950,1950,{coin13=54000;gold=115000},{coin13=54000;gold=115000},
1951,1951,{coin13=53990;gold=114980},{coin13=53990;gold=114980},
1952,1952,{coin13=53980;gold=114960},{coin13=53980;gold=114960},
1953,1953,{coin13=53970;gold=114940},{coin13=53970;gold=114940},
1954,1954,{coin13=53960;gold=114920},{coin13=53960;gold=114920},
1955,1955,{coin13=53960;gold=114900},{coin13=53960;gold=114900},
1956,1956,{coin13=53950;gold=114880},{coin13=53950;gold=114880},
1957,1957,{coin13=53940;gold=114860},{coin13=53940;gold=114860},
1958,1958,{coin13=53930;gold=114840},{coin13=53930;gold=114840},
1959,1959,{coin13=53920;gold=114820},{coin13=53920;gold=114820},
1960,1960,{coin13=53920;gold=114800},{coin13=53920;gold=114800},
1961,1961,{coin13=53910;gold=114780},{coin13=53910;gold=114780},
1962,1962,{coin13=53900;gold=114760},{coin13=53900;gold=114760},
1963,1963,{coin13=53890;gold=114740},{coin13=53890;gold=114740},
1964,1964,{coin13=53880;gold=114720},{coin13=53880;gold=114720},
1965,1965,{coin13=53880;gold=114700},{coin13=53880;gold=114700},
1966,1966,{coin13=53870;gold=114680},{coin13=53870;gold=114680},
1967,1967,{coin13=53860;gold=114660},{coin13=53860;gold=114660},
1968,1968,{coin13=53850;gold=114640},{coin13=53850;gold=114640},
1969,1969,{coin13=53840;gold=114620},{coin13=53840;gold=114620},
1970,1970,{coin13=53840;gold=114600},{coin13=53840;gold=114600},
1971,1971,{coin13=53830;gold=114580},{coin13=53830;gold=114580},
1972,1972,{coin13=53820;gold=114560},{coin13=53820;gold=114560},
1973,1973,{coin13=53810;gold=114540},{coin13=53810;gold=114540},
1974,1974,{coin13=53800;gold=114520},{coin13=53800;gold=114520},
1975,1975,{coin13=53800;gold=114500},{coin13=53800;gold=114500},
1976,1976,{coin13=53790;gold=114480},{coin13=53790;gold=114480},
1977,1977,{coin13=53780;gold=114460},{coin13=53780;gold=114460},
1978,1978,{coin13=53770;gold=114440},{coin13=53770;gold=114440},
1979,1979,{coin13=53760;gold=114420},{coin13=53760;gold=114420},
1980,1980,{coin13=53760;gold=114400},{coin13=53760;gold=114400},
1981,1981,{coin13=53750;gold=114380},{coin13=53750;gold=114380},
1982,1982,{coin13=53740;gold=114360},{coin13=53740;gold=114360},
1983,1983,{coin13=53730;gold=114340},{coin13=53730;gold=114340},
1984,1984,{coin13=53720;gold=114320},{coin13=53720;gold=114320},
1985,1985,{coin13=53720;gold=114300},{coin13=53720;gold=114300},
1986,1986,{coin13=53710;gold=114280},{coin13=53710;gold=114280},
1987,1987,{coin13=53700;gold=114260},{coin13=53700;gold=114260},
1988,1988,{coin13=53690;gold=114240},{coin13=53690;gold=114240},
1989,1989,{coin13=53680;gold=114220},{coin13=53680;gold=114220},
1990,1990,{coin13=53680;gold=114200},{coin13=53680;gold=114200},
1991,1991,{coin13=53670;gold=114180},{coin13=53670;gold=114180},
1992,1992,{coin13=53660;gold=114160},{coin13=53660;gold=114160},
1993,1993,{coin13=53650;gold=114140},{coin13=53650;gold=114140},
1994,1994,{coin13=53640;gold=114120},{coin13=53640;gold=114120},
1995,1995,{coin13=53640;gold=114100},{coin13=53640;gold=114100},
1996,1996,{coin13=53630;gold=114080},{coin13=53630;gold=114080},
1997,1997,{coin13=53620;gold=114060},{coin13=53620;gold=114060},
1998,1998,{coin13=53610;gold=114040},{coin13=53610;gold=114040},
1999,1999,{coin13=53600;gold=114020},{coin13=53600;gold=114020},
2000,2000,{coin13=53600;gold=114000},{coin13=53600;gold=114000},
2001,2001,{coin13=53590;gold=113980},{coin13=53590;gold=113980},
2002,2002,{coin13=53580;gold=113960},{coin13=53580;gold=113960},
2003,2003,{coin13=53570;gold=113940},{coin13=53570;gold=113940},
2004,2004,{coin13=53560;gold=113920},{coin13=53560;gold=113920},
2005,2005,{coin13=53560;gold=113900},{coin13=53560;gold=113900},
2006,2006,{coin13=53550;gold=113880},{coin13=53550;gold=113880},
2007,2007,{coin13=53540;gold=113860},{coin13=53540;gold=113860},
2008,2008,{coin13=53530;gold=113840},{coin13=53530;gold=113840},
2009,2009,{coin13=53520;gold=113820},{coin13=53520;gold=113820},
2010,2010,{coin13=53520;gold=113800},{coin13=53520;gold=113800},
2011,2011,{coin13=53510;gold=113780},{coin13=53510;gold=113780},
2012,2012,{coin13=53500;gold=113760},{coin13=53500;gold=113760},
2013,2013,{coin13=53490;gold=113740},{coin13=53490;gold=113740},
2014,2014,{coin13=53480;gold=113720},{coin13=53480;gold=113720},
2015,2015,{coin13=53480;gold=113700},{coin13=53480;gold=113700},
2016,2016,{coin13=53470;gold=113680},{coin13=53470;gold=113680},
2017,2017,{coin13=53460;gold=113660},{coin13=53460;gold=113660},
2018,2018,{coin13=53450;gold=113640},{coin13=53450;gold=113640},
2019,2019,{coin13=53440;gold=113620},{coin13=53440;gold=113620},
2020,2020,{coin13=53440;gold=113600},{coin13=53440;gold=113600},
2021,2021,{coin13=53430;gold=113580},{coin13=53430;gold=113580},
2022,2022,{coin13=53420;gold=113560},{coin13=53420;gold=113560},
2023,2023,{coin13=53410;gold=113540},{coin13=53410;gold=113540},
2024,2024,{coin13=53400;gold=113520},{coin13=53400;gold=113520},
2025,2025,{coin13=53400;gold=113500},{coin13=53400;gold=113500},
2026,2026,{coin13=53390;gold=113480},{coin13=53390;gold=113480},
2027,2027,{coin13=53380;gold=113460},{coin13=53380;gold=113460},
2028,2028,{coin13=53370;gold=113440},{coin13=53370;gold=113440},
2029,2029,{coin13=53360;gold=113420},{coin13=53360;gold=113420},
2030,2030,{coin13=53360;gold=113400},{coin13=53360;gold=113400},
2031,2031,{coin13=53350;gold=113380},{coin13=53350;gold=113380},
2032,2032,{coin13=53340;gold=113360},{coin13=53340;gold=113360},
2033,2033,{coin13=53330;gold=113340},{coin13=53330;gold=113340},
2034,2034,{coin13=53320;gold=113320},{coin13=53320;gold=113320},
2035,2035,{coin13=53320;gold=113300},{coin13=53320;gold=113300},
2036,2036,{coin13=53310;gold=113280},{coin13=53310;gold=113280},
2037,2037,{coin13=53300;gold=113260},{coin13=53300;gold=113260},
2038,2038,{coin13=53290;gold=113240},{coin13=53290;gold=113240},
2039,2039,{coin13=53280;gold=113220},{coin13=53280;gold=113220},
2040,2040,{coin13=53280;gold=113200},{coin13=53280;gold=113200},
2041,2041,{coin13=53270;gold=113180},{coin13=53270;gold=113180},
2042,2042,{coin13=53260;gold=113160},{coin13=53260;gold=113160},
2043,2043,{coin13=53250;gold=113140},{coin13=53250;gold=113140},
2044,2044,{coin13=53240;gold=113120},{coin13=53240;gold=113120},
2045,2045,{coin13=53240;gold=113100},{coin13=53240;gold=113100},
2046,2046,{coin13=53230;gold=113080},{coin13=53230;gold=113080},
2047,2047,{coin13=53220;gold=113060},{coin13=53220;gold=113060},
2048,2048,{coin13=53210;gold=113040},{coin13=53210;gold=113040},
2049,2049,{coin13=53200;gold=113020},{coin13=53200;gold=113020},
2050,2050,{coin13=53200;gold=113000},{coin13=53200;gold=113000},
2051,2051,{coin13=53190;gold=112980},{coin13=53190;gold=112980},
2052,2052,{coin13=53180;gold=112960},{coin13=53180;gold=112960},
2053,2053,{coin13=53170;gold=112940},{coin13=53170;gold=112940},
2054,2054,{coin13=53160;gold=112920},{coin13=53160;gold=112920},
2055,2055,{coin13=53160;gold=112900},{coin13=53160;gold=112900},
2056,2056,{coin13=53150;gold=112880},{coin13=53150;gold=112880},
2057,2057,{coin13=53140;gold=112860},{coin13=53140;gold=112860},
2058,2058,{coin13=53130;gold=112840},{coin13=53130;gold=112840},
2059,2059,{coin13=53120;gold=112820},{coin13=53120;gold=112820},
2060,2060,{coin13=53120;gold=112800},{coin13=53120;gold=112800},
2061,2061,{coin13=53110;gold=112780},{coin13=53110;gold=112780},
2062,2062,{coin13=53100;gold=112760},{coin13=53100;gold=112760},
2063,2063,{coin13=53090;gold=112740},{coin13=53090;gold=112740},
2064,2064,{coin13=53080;gold=112720},{coin13=53080;gold=112720},
2065,2065,{coin13=53080;gold=112700},{coin13=53080;gold=112700},
2066,2066,{coin13=53070;gold=112680},{coin13=53070;gold=112680},
2067,2067,{coin13=53060;gold=112660},{coin13=53060;gold=112660},
2068,2068,{coin13=53050;gold=112640},{coin13=53050;gold=112640},
2069,2069,{coin13=53040;gold=112620},{coin13=53040;gold=112620},
2070,2070,{coin13=53040;gold=112600},{coin13=53040;gold=112600},
2071,2071,{coin13=53030;gold=112580},{coin13=53030;gold=112580},
2072,2072,{coin13=53020;gold=112560},{coin13=53020;gold=112560},
2073,2073,{coin13=53010;gold=112540},{coin13=53010;gold=112540},
2074,2074,{coin13=53000;gold=112520},{coin13=53000;gold=112520},
2075,2075,{coin13=53000;gold=112500},{coin13=53000;gold=112500},
2076,2076,{coin13=52990;gold=112480},{coin13=52990;gold=112480},
2077,2077,{coin13=52980;gold=112460},{coin13=52980;gold=112460},
2078,2078,{coin13=52970;gold=112440},{coin13=52970;gold=112440},
2079,2079,{coin13=52960;gold=112420},{coin13=52960;gold=112420},
2080,2080,{coin13=52960;gold=112400},{coin13=52960;gold=112400},
2081,2081,{coin13=52950;gold=112380},{coin13=52950;gold=112380},
2082,2082,{coin13=52940;gold=112360},{coin13=52940;gold=112360},
2083,2083,{coin13=52930;gold=112340},{coin13=52930;gold=112340},
2084,2084,{coin13=52920;gold=112320},{coin13=52920;gold=112320},
2085,2085,{coin13=52920;gold=112300},{coin13=52920;gold=112300},
2086,2086,{coin13=52910;gold=112280},{coin13=52910;gold=112280},
2087,2087,{coin13=52900;gold=112260},{coin13=52900;gold=112260},
2088,2088,{coin13=52890;gold=112240},{coin13=52890;gold=112240},
2089,2089,{coin13=52880;gold=112220},{coin13=52880;gold=112220},
2090,2090,{coin13=52880;gold=112200},{coin13=52880;gold=112200},
2091,2091,{coin13=52870;gold=112180},{coin13=52870;gold=112180},
2092,2092,{coin13=52860;gold=112160},{coin13=52860;gold=112160},
2093,2093,{coin13=52850;gold=112140},{coin13=52850;gold=112140},
2094,2094,{coin13=52840;gold=112120},{coin13=52840;gold=112120},
2095,2095,{coin13=52840;gold=112100},{coin13=52840;gold=112100},
2096,2096,{coin13=52830;gold=112080},{coin13=52830;gold=112080},
2097,2097,{coin13=52820;gold=112060},{coin13=52820;gold=112060},
2098,2098,{coin13=52810;gold=112040},{coin13=52810;gold=112040},
2099,2099,{coin13=52800;gold=112020},{coin13=52800;gold=112020},
2100,2100,{coin13=52800;gold=112000},{coin13=52800;gold=112000},
2101,2101,{coin13=52790;gold=111980},{coin13=52790;gold=111980},
2102,2102,{coin13=52780;gold=111960},{coin13=52780;gold=111960},
2103,2103,{coin13=52770;gold=111940},{coin13=52770;gold=111940},
2104,2104,{coin13=52760;gold=111920},{coin13=52760;gold=111920},
2105,2105,{coin13=52760;gold=111900},{coin13=52760;gold=111900},
2106,2106,{coin13=52750;gold=111880},{coin13=52750;gold=111880},
2107,2107,{coin13=52740;gold=111860},{coin13=52740;gold=111860},
2108,2108,{coin13=52730;gold=111840},{coin13=52730;gold=111840},
2109,2109,{coin13=52720;gold=111820},{coin13=52720;gold=111820},
2110,2110,{coin13=52720;gold=111800},{coin13=52720;gold=111800},
2111,2111,{coin13=52710;gold=111780},{coin13=52710;gold=111780},
2112,2112,{coin13=52700;gold=111760},{coin13=52700;gold=111760},
2113,2113,{coin13=52690;gold=111740},{coin13=52690;gold=111740},
2114,2114,{coin13=52680;gold=111720},{coin13=52680;gold=111720},
2115,2115,{coin13=52680;gold=111700},{coin13=52680;gold=111700},
2116,2116,{coin13=52670;gold=111680},{coin13=52670;gold=111680},
2117,2117,{coin13=52660;gold=111660},{coin13=52660;gold=111660},
2118,2118,{coin13=52650;gold=111640},{coin13=52650;gold=111640},
2119,2119,{coin13=52640;gold=111620},{coin13=52640;gold=111620},
2120,2120,{coin13=52640;gold=111600},{coin13=52640;gold=111600},
2121,2121,{coin13=52630;gold=111580},{coin13=52630;gold=111580},
2122,2122,{coin13=52620;gold=111560},{coin13=52620;gold=111560},
2123,2123,{coin13=52610;gold=111540},{coin13=52610;gold=111540},
2124,2124,{coin13=52600;gold=111520},{coin13=52600;gold=111520},
2125,2125,{coin13=52600;gold=111500},{coin13=52600;gold=111500},
2126,2126,{coin13=52590;gold=111480},{coin13=52590;gold=111480},
2127,2127,{coin13=52580;gold=111460},{coin13=52580;gold=111460},
2128,2128,{coin13=52570;gold=111440},{coin13=52570;gold=111440},
2129,2129,{coin13=52560;gold=111420},{coin13=52560;gold=111420},
2130,2130,{coin13=52560;gold=111400},{coin13=52560;gold=111400},
2131,2131,{coin13=52550;gold=111380},{coin13=52550;gold=111380},
2132,2132,{coin13=52540;gold=111360},{coin13=52540;gold=111360},
2133,2133,{coin13=52530;gold=111340},{coin13=52530;gold=111340},
2134,2134,{coin13=52520;gold=111320},{coin13=52520;gold=111320},
2135,2135,{coin13=52520;gold=111300},{coin13=52520;gold=111300},
2136,2136,{coin13=52510;gold=111280},{coin13=52510;gold=111280},
2137,2137,{coin13=52500;gold=111260},{coin13=52500;gold=111260},
2138,2138,{coin13=52490;gold=111240},{coin13=52490;gold=111240},
2139,2139,{coin13=52480;gold=111220},{coin13=52480;gold=111220},
2140,2140,{coin13=52480;gold=111200},{coin13=52480;gold=111200},
2141,2141,{coin13=52470;gold=111180},{coin13=52470;gold=111180},
2142,2142,{coin13=52460;gold=111160},{coin13=52460;gold=111160},
2143,2143,{coin13=52450;gold=111140},{coin13=52450;gold=111140},
2144,2144,{coin13=52440;gold=111120},{coin13=52440;gold=111120},
2145,2145,{coin13=52440;gold=111100},{coin13=52440;gold=111100},
2146,2146,{coin13=52430;gold=111080},{coin13=52430;gold=111080},
2147,2147,{coin13=52420;gold=111060},{coin13=52420;gold=111060},
2148,2148,{coin13=52410;gold=111040},{coin13=52410;gold=111040},
2149,2149,{coin13=52400;gold=111020},{coin13=52400;gold=111020},
2150,2150,{coin13=52400;gold=111000},{coin13=52400;gold=111000},
2151,2151,{coin13=52390;gold=110980},{coin13=52390;gold=110980},
2152,2152,{coin13=52380;gold=110960},{coin13=52380;gold=110960},
2153,2153,{coin13=52370;gold=110940},{coin13=52370;gold=110940},
2154,2154,{coin13=52360;gold=110920},{coin13=52360;gold=110920},
2155,2155,{coin13=52360;gold=110900},{coin13=52360;gold=110900},
2156,2156,{coin13=52350;gold=110880},{coin13=52350;gold=110880},
2157,2157,{coin13=52340;gold=110860},{coin13=52340;gold=110860},
2158,2158,{coin13=52330;gold=110840},{coin13=52330;gold=110840},
2159,2159,{coin13=52320;gold=110820},{coin13=52320;gold=110820},
2160,2160,{coin13=52320;gold=110800},{coin13=52320;gold=110800},
2161,2161,{coin13=52310;gold=110780},{coin13=52310;gold=110780},
2162,2162,{coin13=52300;gold=110760},{coin13=52300;gold=110760},
2163,2163,{coin13=52290;gold=110740},{coin13=52290;gold=110740},
2164,2164,{coin13=52280;gold=110720},{coin13=52280;gold=110720},
2165,2165,{coin13=52280;gold=110700},{coin13=52280;gold=110700},
2166,2166,{coin13=52270;gold=110680},{coin13=52270;gold=110680},
2167,2167,{coin13=52260;gold=110660},{coin13=52260;gold=110660},
2168,2168,{coin13=52250;gold=110640},{coin13=52250;gold=110640},
2169,2169,{coin13=52240;gold=110620},{coin13=52240;gold=110620},
2170,2170,{coin13=52240;gold=110600},{coin13=52240;gold=110600},
2171,2171,{coin13=52230;gold=110580},{coin13=52230;gold=110580},
2172,2172,{coin13=52220;gold=110560},{coin13=52220;gold=110560},
2173,2173,{coin13=52210;gold=110540},{coin13=52210;gold=110540},
2174,2174,{coin13=52200;gold=110520},{coin13=52200;gold=110520},
2175,2175,{coin13=52200;gold=110500},{coin13=52200;gold=110500},
2176,2176,{coin13=52190;gold=110480},{coin13=52190;gold=110480},
2177,2177,{coin13=52180;gold=110460},{coin13=52180;gold=110460},
2178,2178,{coin13=52170;gold=110440},{coin13=52170;gold=110440},
2179,2179,{coin13=52160;gold=110420},{coin13=52160;gold=110420},
2180,2180,{coin13=52160;gold=110400},{coin13=52160;gold=110400},
2181,2181,{coin13=52150;gold=110380},{coin13=52150;gold=110380},
2182,2182,{coin13=52140;gold=110360},{coin13=52140;gold=110360},
2183,2183,{coin13=52130;gold=110340},{coin13=52130;gold=110340},
2184,2184,{coin13=52120;gold=110320},{coin13=52120;gold=110320},
2185,2185,{coin13=52120;gold=110300},{coin13=52120;gold=110300},
2186,2186,{coin13=52110;gold=110280},{coin13=52110;gold=110280},
2187,2187,{coin13=52100;gold=110260},{coin13=52100;gold=110260},
2188,2188,{coin13=52090;gold=110240},{coin13=52090;gold=110240},
2189,2189,{coin13=52080;gold=110220},{coin13=52080;gold=110220},
2190,2190,{coin13=52080;gold=110200},{coin13=52080;gold=110200},
2191,2191,{coin13=52070;gold=110180},{coin13=52070;gold=110180},
2192,2192,{coin13=52060;gold=110160},{coin13=52060;gold=110160},
2193,2193,{coin13=52050;gold=110140},{coin13=52050;gold=110140},
2194,2194,{coin13=52040;gold=110120},{coin13=52040;gold=110120},
2195,2195,{coin13=52040;gold=110100},{coin13=52040;gold=110100},
2196,2196,{coin13=52030;gold=110080},{coin13=52030;gold=110080},
2197,2197,{coin13=52020;gold=110060},{coin13=52020;gold=110060},
2198,2198,{coin13=52010;gold=110040},{coin13=52010;gold=110040},
2199,2199,{coin13=52000;gold=110020},{coin13=52000;gold=110020},
2200,2200,{coin13=52000;gold=110000},{coin13=52000;gold=110000},
2201,2201,{coin13=51990;gold=109980},{coin13=51990;gold=109980},
2202,2202,{coin13=51980;gold=109960},{coin13=51980;gold=109960},
2203,2203,{coin13=51970;gold=109940},{coin13=51970;gold=109940},
2204,2204,{coin13=51960;gold=109920},{coin13=51960;gold=109920},
2205,2205,{coin13=51960;gold=109900},{coin13=51960;gold=109900},
2206,2206,{coin13=51950;gold=109880},{coin13=51950;gold=109880},
2207,2207,{coin13=51940;gold=109860},{coin13=51940;gold=109860},
