变量名,level,randomWeight,card1,skillMap1,card2,skillMap2,card3,skillMap3,card4,skillMap4,card5,skillMap5,card6,skillMap6
130,20,100,{id=2071},{20711=13;20712=13;20713=13},{id=2961;star=3},{29611=13;29612=13;29613=13},{id=781;star=3},{7811=13;7812=13;7813=13},{id=281;star=3},{2811=13;2812=13;2813=13},{id=2681;star=3},{26811=13;26812=13;26813=13},,
131,20,100,{id=2591},{25911=13;25912=13;25913=13},{id=2921;star=3},{29211=13;29212=13;29213=13},{id=3471;star=3},{34711=13;34712=13;34713=13},{id=3411;star=3},{34111=13;34112=13;34113=13},{id=3011;star=3},{30111=13;30112=13;30113=13},,
132,20,100,{id=2871},{28711=13;28712=13;28713=13},{id=781;star=3},{7811=13;7812=13;7813=13},{id=301;star=3},{3011=13;3012=13;3013=13},{id=1171;star=3},{11711=13;11712=13;11713=13},{id=1861;star=3},{18611=13;18612=13;18613=13},,
133,20,100,{id=3341},{33411=13;33412=13;33413=13},{id=3501;star=3},{35011=13;35012=13;35013=13},{id=791;star=3},{7911=13;7912=13;7913=13},{id=1841;star=3},{18411=13;18412=13;18413=13},{id=471;star=3},{4711=13;4712=13;4713=13},,
134,20,100,{id=2071},{20711=13;20712=13;20713=13},{id=371;star=3},{3711=13;3712=13;3713=13},{id=271;star=3},{2711=13;2712=13;2713=13},{id=471;star=3},{4711=13;4712=13;4713=13},{id=2961;star=3},{29611=13;29612=13;29613=13},,
135,20,100,{id=3291},{32911=13;32912=13;32913=13},{id=1611;star=3},{16111=13;16112=13;16113=13},{id=3011;star=3},{30111=13;30112=13;30113=13},{id=2481;star=3},{24811=13;24812=13;24813=13},{id=2011;star=3},{20111=13;20112=13;20113=13},,
136,20,100,{id=801},{8011=13;8012=13;8013=13},{id=11;star=3},{111=13;112=13;113=13},{id=691;star=3},{6911=13;6912=13;6913=13},{id=2821;star=3},{28211=13;28212=13;28213=13},{id=2071;star=3},{20711=13;20712=13;20713=13},,
137,20,100,{id=3281},{32811=13;32812=13;32813=13},{id=3011;star=3},{30111=13;30112=13;30113=13},{id=471;star=3},{4711=13;4712=13;4713=13},{id=2821;star=3},{28211=13;28212=13;28213=13},{id=3411;star=3},{34111=13;34112=13;34113=13},,
138,20,100,{id=2921},{29211=13;29212=13;29213=13},{id=551;star=3},{5511=13;5512=13;5513=13},{id=2071;star=3},{20711=13;20712=13;20713=13},{id=2481;star=3},{24811=13;24812=13;24813=13},{id=491;star=3},{4911=13;4912=13;4913=13},,
139,20,100,{id=1611},{16111=13;16112=13;16113=13},{id=2481;star=3},{24811=13;24812=13;24813=13},{id=3411;star=3},{34111=13;34112=13;34113=13},{id=2921;star=3},{29211=13;29212=13;29213=13},{id=281;star=3},{2811=13;2812=13;2813=13},,
140,20,100,{id=781},{7811=13;7812=13;7813=13},{id=21;star=3},{211=13;212=13;213=13},{id=2301;star=3},{23011=13;23012=13;23013=13},{id=51;star=3},{511=13;512=13;513=13},{id=301;star=3},{3011=13;3012=13;3013=13},,
141,20,100,{id=2011},{20111=15;20112=15;20113=15},{id=1441;star=3},{14411=15;14412=15;14413=15},{id=2871;star=3},{28711=15;28712=15;28713=15},{id=1;star=3},{11=15;12=15;13=15},{id=3281;star=3},{32811=15;32812=15;32813=15},,
142,20,100,{id=51},{511=15;512=15;513=15},{id=271;star=3},{2711=15;2712=15;2713=15},{id=1861;star=3},{18611=15;18612=15;18613=15},{id=281;star=3},{2811=15;2812=15;2813=15},{id=3291;star=3},{32911=15;32912=15;32913=15},,
143,20,100,{id=1171},{11711=15;11712=15;11713=15},{id=1441;star=3},{14411=15;14412=15;14413=15},{id=3281;star=3},{32811=15;32812=15;32813=15},{id=3011;star=3},{30111=15;30112=15;30113=15},{id=1611;star=3},{16111=15;16112=15;16113=15},,
144,20,100,{id=2611},{26111=15;26112=15;26113=15},{id=281;star=3},{2811=15;2812=15;2813=15},{id=3341;star=3},{33411=15;33412=15;33413=15},{id=271;star=3},{2711=15;2712=15;2713=15},{id=551;star=3},{5511=15;5512=15;5513=15},,
145,20,100,{id=281},{2811=15;2812=15;2813=15},{id=11;star=3},{111=15;112=15;113=15},{id=471;star=3},{4711=15;4712=15;4713=15},{id=2591;star=3},{25911=15;25912=15;25913=15},{id=3431;star=3},{34311=15;34312=15;34313=15},,
146,20,100,{id=2871},{28711=15;28712=15;28713=15},{id=1171;star=3},{11711=15;11712=15;11713=15},{id=791;star=3},{7911=15;7912=15;7913=15},{id=781;star=3},{7811=15;7812=15;7813=15},{id=2681;star=3},{26811=15;26812=15;26813=15},,
147,20,100,{id=3341},{33411=15;33412=15;33413=15},{id=21;star=3},{211=15;212=15;213=15},{id=271;star=3},{2711=15;2712=15;2713=15},{id=2921;star=3},{29211=15;29212=15;29213=15},{id=3431;star=3},{34311=15;34312=15;34313=15},,
148,20,100,{id=2301},{23011=15;23012=15;23013=15},{id=2011;star=3},{20111=15;20112=15;20113=15},{id=2961;star=3},{29611=15;29612=15;29613=15},{id=2871;star=3},{28711=15;28712=15;28713=15},{id=3291;star=3},{32911=15;32912=15;32913=15},,
149,20,100,{id=2481},{24811=15;24812=15;24813=15},{id=1441;star=3},{14411=15;14412=15;14413=15},{id=2591;star=3},{25911=15;25912=15;25913=15},{id=271;star=3},{2711=15;2712=15;2713=15},{id=2821;star=3},{28211=15;28212=15;28213=15},,
150,20,100,{id=11},{111=15;112=15;113=15},{id=1611;star=3},{16111=15;16112=15;16113=15},{id=801;star=3},{8011=15;8012=15;8013=15},{id=281;star=3},{2811=15;2812=15;2813=15},{id=371;star=3},{3711=15;3712=15;3713=15},,
151,20,100,{id=471},{4711=15;4712=15;4713=15},{id=2611;star=3},{26111=15;26112=15;26113=15},{id=3011;star=3},{30111=15;30112=15;30113=15},{id=91;star=3},{911=15;912=15;913=15},{id=2921;star=3},{29211=15;29212=15;29213=15},,
152,20,100,{id=3471},{34711=15;34712=15;34713=15},{id=2871;star=3},{28711=15;28712=15;28713=15},{id=1611;star=3},{16111=15;16112=15;16113=15},{id=2071;star=3},{20711=15;20712=15;20713=15},{id=2631;star=3},{26311=15;26312=15;26313=15},,
153,20,100,{id=3281},{32811=15;32812=15;32813=15},{id=281;star=3},{2811=15;2812=15;2813=15},{id=551;star=3},{5511=15;5512=15;5513=15},{id=781;star=3},{7811=15;7812=15;7813=15},{id=3411;star=3},{34111=15;34112=15;34113=15},,
154,20,100,{id=2871},{28711=15;28712=15;28713=15},{id=1861;star=3},{18611=15;18612=15;18613=15},{id=1441;star=3},{14411=15;14412=15;14413=15},{id=2921;star=3},{29211=15;29212=15;29213=15},{id=1611;star=3},{16111=15;16112=15;16113=15},,
155,20,100,{id=2271},{22711=15;22712=15;22713=15},{id=2681;star=3},{26811=15;26812=15;26813=15},{id=791;star=3},{7911=15;7912=15;7913=15},{id=2961;star=3},{29611=15;29612=15;29613=15},{id=301;star=3},{3011=15;3012=15;3013=15},,
156,20,100,{id=2631},{26311=15;26312=15;26313=15},{id=781;star=3},{7811=15;7812=15;7813=15},{id=1611;star=3},{16111=15;16112=15;16113=15},{id=2921;star=3},{29211=15;29212=15;29213=15},{id=2681;star=3},{26811=15;26812=15;26813=15},,
157,20,100,{id=3511},{35111=15;35112=15;35113=15},{id=801;star=3},{8011=15;8012=15;8013=15},{id=301;star=3},{3011=15;3012=15;3013=15},{id=481;star=3},{4811=15;4812=15;4813=15},{id=2071;star=3},{20711=15;20712=15;20713=15},,
158,20,100,{id=3511},{35111=15;35112=15;35113=15},{id=2961;star=3},{29611=15;29612=15;29613=15},{id=3431;star=3},{34311=15;34312=15;34313=15},{id=1171;star=3},{11711=15;11712=15;11713=15},{id=1611;star=3},{16111=15;16112=15;16113=15},,
159,20,100,{id=2921},{29211=15;29212=15;29213=15},{id=2681;star=3},{26811=15;26812=15;26813=15},{id=3341;star=3},{33411=15;33412=15;33413=15},{id=3281;star=3},{32811=15;32812=15;32813=15},{id=2071;star=3},{20711=15;20712=15;20713=15},,
160,20,100,{id=281},{2811=15;2812=15;2813=15},{id=1841;star=3},{18411=15;18412=15;18413=15},{id=551;star=3},{5511=15;5512=15;5513=15},{id=301;star=3},{3011=15;3012=15;3013=15},{id=791;star=3},{7911=15;7912=15;7913=15},,
161,20,100,{id=3511},{35111=17;35112=17;35113=17},{id=551;star=3},{5511=17;5512=17;5513=17},{id=2611;star=3},{26111=17;26112=17;26113=17},{id=2011;star=3},{20111=17;20112=17;20113=17},{id=1861;star=3},{18611=17;18612=17;18613=17},,
162,20,100,{id=301},{3011=17;3012=17;3013=17},{id=1171;star=3},{11711=17;11712=17;11713=17},{id=281;star=3},{2811=17;2812=17;2813=17},{id=2481;star=3},{24811=17;24812=17;24813=17},{id=11;star=3},{111=17;112=17;113=17},,
163,20,100,{id=2591},{25911=17;25912=17;25913=17},{id=791;star=3},{7911=17;7912=17;7913=17},{id=3021;star=3},{30211=17;30212=17;30213=17},{id=21;star=3},{211=17;212=17;213=17},{id=2011;star=3},{20111=17;20112=17;20113=17},,
164,20,100,{id=3431},{34311=17;34312=17;34313=17},{id=3501;star=3},{35011=17;35012=17;35013=17},{id=2591;star=3},{25911=17;25912=17;25913=17},{id=2921;star=3},{29211=17;29212=17;29213=17},{id=2481;star=3},{24811=17;24812=17;24813=17},,
165,20,100,{id=1861},{18611=17;18612=17;18613=17},{id=461;star=3},{4611=17;4612=17;4613=17},{id=11;star=3},{111=17;112=17;113=17},{id=2071;star=3},{20711=17;20712=17;20713=17},{id=301;star=3},{3011=17;3012=17;3013=17},,
166,20,100,{id=1861},{18611=17;18612=17;18613=17},{id=2631;star=3},{26311=17;26312=17;26313=17},{id=491;star=3},{4911=17;4912=17;4913=17},{id=691;star=3},{6911=17;6912=17;6913=17},{id=91;star=3},{911=17;912=17;913=17},,
167,20,100,{id=2301},{23011=17;23012=17;23013=17},{id=471;star=3},{4711=17;4712=17;4713=17},{id=2921;star=3},{29211=17;29212=17;29213=17},{id=2871;star=3},{28711=17;28712=17;28713=17},{id=781;star=3},{7811=17;7812=17;7813=17},,
168,20,100,{id=1841},{18411=17;18412=17;18413=17},{id=2921;star=3},{29211=17;29212=17;29213=17},{id=1171;star=3},{11711=17;11712=17;11713=17},{id=461;star=3},{4611=17;4612=17;4613=17},{id=21;star=3},{211=17;212=17;213=17},,
169,20,100,{id=491},{4911=17;4912=17;4913=17},{id=801;star=3},{8011=17;8012=17;8013=17},{id=2961;star=3},{29611=17;29612=17;29613=17},{id=3501;star=3},{35011=17;35012=17;35013=17},{id=2921;star=3},{29211=17;29212=17;29213=17},,
170,20,100,{id=791},{7911=17;7912=17;7913=17},{id=21;star=3},{211=17;212=17;213=17},{id=2481;star=3},{24811=17;24812=17;24813=17},{id=1861;star=3},{18611=17;18612=17;18613=17},{id=2681;star=3},{26811=17;26812=17;26813=17},,
171,20,100,{id=1171},{11711=17;11712=17;11713=17},{id=3021;star=3},{30211=17;30212=17;30213=17},{id=471;star=3},{4711=17;4712=17;4713=17},{id=21;star=3},{211=17;212=17;213=17},{id=1611;star=3},{16111=17;16112=17;16113=17},,
172,20,100,{id=11},{111=17;112=17;113=17},{id=1;star=3},{11=17;12=17;13=17},{id=271;star=3},{2711=17;2712=17;2713=17},{id=3341;star=3},{33411=17;33412=17;33413=17},{id=2631;star=3},{26311=17;26312=17;26313=17},,
173,20,100,{id=1861},{18611=17;18612=17;18613=17},{id=3431;star=3},{34311=17;34312=17;34313=17},{id=2011;star=3},{20111=17;20112=17;20113=17},{id=791;star=3},{7911=17;7912=17;7913=17},{id=2681;star=3},{26811=17;26812=17;26813=17},,
174,20,100,{id=51},{511=17;512=17;513=17},{id=481;star=3},{4811=17;4812=17;4813=17},{id=1611;star=3},{16111=17;16112=17;16113=17},{id=2071;star=3},{20711=17;20712=17;20713=17},{id=11;star=3},{111=17;112=17;113=17},,
175,20,100,{id=2481},{24811=17;24812=17;24813=17},{id=271;star=3},{2711=17;2712=17;2713=17},{id=2271;star=3},{22711=17;22712=17;22713=17},{id=691;star=3},{6911=17;6912=17;6913=17},{id=3411;star=3},{34111=17;34112=17;34113=17},,
176,20,100,{id=371},{3711=17;3712=17;3713=17},{id=1441;star=3},{14411=17;14412=17;14413=17},{id=2591;star=3},{25911=17;25912=17;25913=17},{id=1171;star=3},{11711=17;11712=17;11713=17},{id=2481;star=3},{24811=17;24812=17;24813=17},,
177,20,100,{id=3341},{33411=17;33412=17;33413=17},{id=801;star=3},{8011=17;8012=17;8013=17},{id=3011;star=3},{30111=17;30112=17;30113=17},{id=371;star=3},{3711=17;3712=17;3713=17},{id=691;star=3},{6911=17;6912=17;6913=17},,
178,20,100,{id=91},{911=17;912=17;913=17},{id=3411;star=3},{34111=17;34112=17;34113=17},{id=3511;star=3},{35111=17;35112=17;35113=17},{id=51;star=3},{511=17;512=17;513=17},{id=1171;star=3},{11711=17;11712=17;11713=17},,
179,20,100,{id=2631},{26311=17;26312=17;26313=17},{id=271;star=3},{2711=17;2712=17;2713=17},{id=1441;star=3},{14411=17;14412=17;14413=17},{id=281;star=3},{2811=17;2812=17;2813=17},{id=1171;star=3},{11711=17;11712=17;11713=17},,
180,20,100,{id=3021},{30211=17;30212=17;30213=17},{id=2921;star=3},{29211=17;29212=17;29213=17},{id=1611;star=3},{16111=17;16112=17;16113=17},{id=2821;star=3},{28211=17;28212=17;28213=17},{id=2071;star=3},{20711=17;20712=17;20713=17},,
181,20,100,{id=3471},{34711=19;34712=19;34713=19},{id=11;star=3},{111=19;112=19;113=19},{id=2271;star=3},{22711=19;22712=19;22713=19},{id=2921;star=3},{29211=19;29212=19;29213=19},{id=3291;star=3},{32911=19;32912=19;32913=19},,
182,20,100,{id=551},{5511=19;5512=19;5513=19},{id=3411;star=3},{34111=19;34112=19;34113=19},{id=281;star=3},{2811=19;2812=19;2813=19},{id=691;star=3},{6911=19;6912=19;6913=19},{id=2071;star=3},{20711=19;20712=19;20713=19},,
183,20,100,{id=551},{5511=19;5512=19;5513=19},{id=1441;star=3},{14411=19;14412=19;14413=19},{id=801;star=3},{8011=19;8012=19;8013=19},{id=3021;star=3},{30211=19;30212=19;30213=19},{id=3471;star=3},{34711=19;34712=19;34713=19},,
184,20,100,{id=2961},{29611=19;29612=19;29613=19},{id=51;star=3},{511=19;512=19;513=19},{id=461;star=3},{4611=19;4612=19;4613=19},{id=551;star=3},{5511=19;5512=19;5513=19},{id=2301;star=3},{23011=19;23012=19;23013=19},,
185,20,100,{id=1841},{18411=19;18412=19;18413=19},{id=791;star=3},{7911=19;7912=19;7913=19},{id=2961;star=3},{29611=19;29612=19;29613=19},{id=11;star=3},{111=19;112=19;113=19},{id=2011;star=3},{20111=19;20112=19;20113=19},,
186,20,100,{id=3341},{33411=19;33412=19;33413=19},{id=3291;star=3},{32911=19;32912=19;32913=19},{id=3501;star=3},{35011=19;35012=19;35013=19},{id=301;star=3},{3011=19;3012=19;3013=19},{id=471;star=3},{4711=19;4712=19;4713=19},,
187,20,100,{id=1611},{16111=19;16112=19;16113=19},{id=2271;star=3},{22711=19;22712=19;22713=19},{id=11;star=3},{111=19;112=19;113=19},{id=3431;star=3},{34311=19;34312=19;34313=19},{id=91;star=3},{911=19;912=19;913=19},,
188,20,100,{id=2681},{26811=19;26812=19;26813=19},{id=371;star=3},{3711=19;3712=19;3713=19},{id=11;star=3},{111=19;112=19;113=19},{id=1441;star=3},{14411=19;14412=19;14413=19},{id=3471;star=3},{34711=19;34712=19;34713=19},,
189,20,100,{id=11},{111=19;112=19;113=19},{id=91;star=3},{911=19;912=19;913=19},{id=781;star=3},{7811=19;7812=19;7813=19},{id=371;star=3},{3711=19;3712=19;3713=19},{id=2071;star=3},{20711=19;20712=19;20713=19},,
190,20,100,{id=1171},{11711=19;11712=19;11713=19},{id=2921;star=3},{29211=19;29212=19;29213=19},{id=481;star=3},{4811=19;4812=19;4813=19},{id=461;star=3},{4611=19;4612=19;4613=19},{id=2961;star=3},{29611=19;29612=19;29613=19},,
191,20,100,{id=3431},{34311=19;34312=19;34313=19},{id=371;star=3},{3711=19;3712=19;3713=19},{id=1441;star=3},{14411=19;14412=19;14413=19},{id=801;star=3},{8011=19;8012=19;8013=19},{id=11;star=3},{111=19;112=19;113=19},,
192,20,100,{id=11},{111=19;112=19;113=19},{id=471;star=3},{4711=19;4712=19;4713=19},{id=301;star=3},{3011=19;3012=19;3013=19},{id=461;star=3},{4611=19;4612=19;4613=19},{id=2921;star=3},{29211=19;29212=19;29213=19},,
193,20,100,{id=801},{8011=19;8012=19;8013=19},{id=301;star=3},{3011=19;3012=19;3013=19},{id=2871;star=3},{28711=19;28712=19;28713=19},{id=491;star=3},{4911=19;4912=19;4913=19},{id=471;star=3},{4711=19;4712=19;4713=19},,
194,20,100,{id=2481},{24811=19;24812=19;24813=19},{id=271;star=3},{2711=19;2712=19;2713=19},{id=2301;star=3},{23011=19;23012=19;23013=19},{id=1611;star=3},{16111=19;16112=19;16113=19},{id=3471;star=3},{34711=19;34712=19;34713=19},,
195,20,100,{id=2961},{29611=19;29612=19;29613=19},{id=1841;star=3},{18411=19;18412=19;18413=19},{id=2271;star=3},{22711=19;22712=19;22713=19},{id=781;star=3},{7811=19;7812=19;7813=19},{id=3411;star=3},{34111=19;34112=19;34113=19},,
196,20,100,{id=3291},{32911=19;32912=19;32913=19},{id=1441;star=3},{14411=19;14412=19;14413=19},{id=2921;star=3},{29211=19;29212=19;29213=19},{id=461;star=3},{4611=19;4612=19;4613=19},{id=2591;star=3},{25911=19;25912=19;25913=19},,
197,20,100,{id=2961},{29611=19;29612=19;29613=19},{id=3511;star=3},{35111=19;35112=19;35113=19},{id=271;star=3},{2711=19;2712=19;2713=19},{id=21;star=3},{211=19;212=19;213=19},{id=301;star=3},{3011=19;3012=19;3013=19},,
198,20,100,{id=2271},{22711=19;22712=19;22713=19},{id=2961;star=3},{29611=19;29612=19;29613=19},{id=781;star=3},{7811=19;7812=19;7813=19},{id=1861;star=3},{18611=19;18612=19;18613=19},{id=2301;star=3},{23011=19;23012=19;23013=19},,
199,20,100,{id=11},{111=19;112=19;113=19},{id=1;star=3},{11=19;12=19;13=19},{id=2591;star=3},{25911=19;25912=19;25913=19},{id=2921;star=3},{29211=19;29212=19;29213=19},{id=2011;star=3},{20111=19;20112=19;20113=19},,
200,20,100,{id=1841},{18411=19;18412=19;18413=19},{id=2011;star=3},{20111=19;20112=19;20113=19},{id=21;star=3},{211=19;212=19;213=19},{id=51;star=3},{511=19;512=19;513=19},{id=2631;star=3},{26311=19;26312=19;26313=19},,
201,20,100,{id=2921},{29211=21;29212=21;29213=21},{id=2591;star=3},{25911=21;25912=21;25913=21},{id=2271;star=3},{22711=21;22712=21;22713=21},{id=51;star=3},{511=21;512=21;513=21},{id=3341;star=3},{33411=21;33412=21;33413=21},,
202,20,100,{id=2611},{26111=21;26112=21;26113=21},{id=781;star=3},{7811=21;7812=21;7813=21},{id=3501;star=3},{35011=21;35012=21;35013=21},{id=551;star=3},{5511=21;5512=21;5513=21},{id=2871;star=3},{28711=21;28712=21;28713=21},,
203,20,100,{id=2611},{26111=21;26112=21;26113=21},{id=691;star=3},{6911=21;6912=21;6913=21},{id=271;star=3},{2711=21;2712=21;2713=21},{id=2871;star=3},{28711=21;28712=21;28713=21},{id=1861;star=3},{18611=21;18612=21;18613=21},,
204,20,100,{id=781},{7811=21;7812=21;7813=21},{id=21;star=3},{211=21;212=21;213=21},{id=2271;star=3},{22711=21;22712=21;22713=21},{id=2961;star=3},{29611=21;29612=21;29613=21},{id=3411;star=3},{34111=21;34112=21;34113=21},,
205,20,100,{id=461},{4611=21;4612=21;4613=21},{id=2591;star=3},{25911=21;25912=21;25913=21},{id=781;star=3},{7811=21;7812=21;7813=21},{id=1171;star=3},{11711=21;11712=21;11713=21},{id=801;star=3},{8011=21;8012=21;8013=21},,
206,20,100,{id=471},{4711=21;4712=21;4713=21},{id=281;star=3},{2811=21;2812=21;2813=21},{id=51;star=3},{511=21;512=21;513=21},{id=21;star=3},{211=21;212=21;213=21},{id=491;star=3},{4911=21;4912=21;4913=21},,
207,20,100,{id=2821},{28211=21;28212=21;28213=21},{id=301;star=3},{3011=21;3012=21;3013=21},{id=271;star=3},{2711=21;2712=21;2713=21},{id=2631;star=3},{26311=21;26312=21;26313=21},{id=1441;star=3},{14411=21;14412=21;14413=21},,
208,20,100,{id=2011},{20111=21;20112=21;20113=21},{id=3511;star=3},{35111=21;35112=21;35113=21},{id=1611;star=3},{16111=21;16112=21;16113=21},{id=2921;star=3},{29211=21;29212=21;29213=21},{id=691;star=3},{6911=21;6912=21;6913=21},,
209,20,100,{id=1441},{14411=21;14412=21;14413=21},{id=1;star=3},{11=21;12=21;13=21},{id=791;star=3},{7911=21;7912=21;7913=21},{id=461;star=3},{4611=21;4612=21;4613=21},{id=3341;star=3},{33411=21;33412=21;33413=21},,
210,20,100,{id=1171},{11711=21;11712=21;11713=21},{id=281;star=3},{2811=21;2812=21;2813=21},{id=481;star=3},{4811=21;4812=21;4813=21},{id=1611;star=3},{16111=21;16112=21;16113=21},{id=21;star=3},{211=21;212=21;213=21},,
211,20,100,{id=2011},{20111=21;20112=21;20113=21},{id=2631;star=3},{26311=21;26312=21;26313=21},{id=691;star=3},{6911=21;6912=21;6913=21},{id=2681;star=3},{26811=21;26812=21;26813=21},{id=491;star=3},{4911=21;4912=21;4913=21},,
212,20,100,{id=2921},{29211=21;29212=21;29213=21},{id=3341;star=3},{33411=21;33412=21;33413=21},{id=2011;star=3},{20111=21;20112=21;20113=21},{id=3291;star=3},{32911=21;32912=21;32913=21},{id=2631;star=3},{26311=21;26312=21;26313=21},,
213,20,100,{id=3341},{33411=21;33412=21;33413=21},{id=471;star=3},{4711=21;4712=21;4713=21},{id=791;star=3},{7911=21;7912=21;7913=21},{id=2611;star=3},{26111=21;26112=21;26113=21},{id=21;star=3},{211=21;212=21;213=21},,
214,20,100,{id=3501},{35011=21;35012=21;35013=21},{id=2961;star=3},{29611=21;29612=21;29613=21},{id=491;star=3},{4911=21;4912=21;4913=21},{id=2921;star=3},{29211=21;29212=21;29213=21},{id=461;star=3},{4611=21;4612=21;4613=21},,
215,20,100,{id=11},{111=21;112=21;113=21},{id=2591;star=3},{25911=21;25912=21;25913=21},{id=2961;star=3},{29611=21;29612=21;29613=21},{id=471;star=3},{4711=21;4712=21;4713=21},{id=2011;star=3},{20111=21;20112=21;20113=21},,
216,20,100,{id=271},{2711=21;2712=21;2713=21},{id=3431;star=3},{34311=21;34312=21;34313=21},{id=1611;star=3},{16111=21;16112=21;16113=21},{id=2271;star=3},{22711=21;22712=21;22713=21},{id=481;star=3},{4811=21;4812=21;4813=21},,
217,20,100,{id=2271},{22711=21;22712=21;22713=21},{id=301;star=3},{3011=21;3012=21;3013=21},{id=3501;star=3},{35011=21;35012=21;35013=21},{id=2871;star=3},{28711=21;28712=21;28713=21},{id=281;star=3},{2811=21;2812=21;2813=21},,
218,20,100,{id=3281},{32811=21;32812=21;32813=21},{id=301;star=3},{3011=21;3012=21;3013=21},{id=2611;star=3},{26111=21;26112=21;26113=21},{id=2631;star=3},{26311=21;26312=21;26313=21},{id=1861;star=3},{18611=21;18612=21;18613=21},,
219,20,100,{id=2921},{29211=21;29212=21;29213=21},{id=1;star=3},{11=21;12=21;13=21},{id=2871;star=3},{28711=21;28712=21;28713=21},{id=461;star=3},{4611=21;4612=21;4613=21},{id=301;star=3},{3011=21;3012=21;3013=21},,
220,20,100,{id=301},{3011=21;3012=21;3013=21},{id=1171;star=3},{11711=21;11712=21;11713=21},{id=281;star=3},{2811=21;2812=21;2813=21},{id=2011;star=3},{20111=21;20112=21;20113=21},{id=3341;star=3},{33411=21;33412=21;33413=21},,
221,20,100,{id=481},{4811=23;4812=23;4813=23},{id=2011;star=3},{20111=23;20112=23;20113=23},{id=461;star=3},{4611=23;4612=23;4613=23},{id=2271;star=3},{22711=23;22712=23;22713=23},{id=2921;star=3},{29211=23;29212=23;29213=23},,
222,20,100,{id=1861},{18611=23;18612=23;18613=23},{id=2821;star=3},{28211=23;28212=23;28213=23},{id=2921;star=3},{29211=23;29212=23;29213=23},{id=301;star=3},{3011=23;3012=23;3013=23},{id=2011;star=3},{20111=23;20112=23;20113=23},,
223,20,100,{id=1841},{18411=23;18412=23;18413=23},{id=801;star=3},{8011=23;8012=23;8013=23},{id=1611;star=3},{16111=23;16112=23;16113=23},{id=551;star=3},{5511=23;5512=23;5513=23},{id=1861;star=3},{18611=23;18612=23;18613=23},,
224,20,100,{id=271},{2711=23;2712=23;2713=23},{id=2071;star=3},{20711=23;20712=23;20713=23},{id=791;star=3},{7911=23;7912=23;7913=23},{id=3501;star=3},{35011=23;35012=23;35013=23},{id=2681;star=3},{26811=23;26812=23;26813=23},,
225,20,100,{id=781},{7811=23;7812=23;7813=23},{id=2071;star=3},{20711=23;20712=23;20713=23},{id=461;star=3},{4611=23;4612=23;4613=23},{id=281;star=3},{2811=23;2812=23;2813=23},{id=301;star=3},{3011=23;3012=23;3013=23},,
226,20,100,{id=2611},{26111=23;26112=23;26113=23},{id=371;star=3},{3711=23;3712=23;3713=23},{id=271;star=3},{2711=23;2712=23;2713=23},{id=2301;star=3},{23011=23;23012=23;23013=23},{id=91;star=3},{911=23;912=23;913=23},,
227,20,100,{id=3501},{35011=23;35012=23;35013=23},{id=301;star=3},{3011=23;3012=23;3013=23},{id=1441;star=3},{14411=23;14412=23;14413=23},{id=2301;star=3},{23011=23;23012=23;23013=23},{id=2011;star=3},{20111=23;20112=23;20113=23},,
228,20,100,{id=3291},{32911=23;32912=23;32913=23},{id=301;star=3},{3011=23;3012=23;3013=23},{id=781;star=3},{7811=23;7812=23;7813=23},{id=3411;star=3},{34111=23;34112=23;34113=23},{id=11;star=3},{111=23;112=23;113=23},,
229,20,100,{id=3431},{34311=23;34312=23;34313=23},{id=781;star=3},{7811=23;7812=23;7813=23},{id=481;star=3},{4811=23;4812=23;4813=23},{id=691;star=3},{6911=23;6912=23;6913=23},{id=2071;star=3},{20711=23;20712=23;20713=23},,
230,20,100,{id=21},{211=23;212=23;213=23},{id=51;star=3},{511=23;512=23;513=23},{id=3291;star=3},{32911=23;32912=23;32913=23},{id=2921;star=3},{29211=23;29212=23;29213=23},{id=551;star=3},{5511=23;5512=23;5513=23},,
231,20,100,{id=2301},{23011=23;23012=23;23013=23},{id=91;star=3},{911=23;912=23;913=23},{id=481;star=3},{4811=23;4812=23;4813=23},{id=2921;star=3},{29211=23;29212=23;29213=23},{id=2591;star=3},{25911=23;25912=23;25913=23},,
232,20,100,{id=3411},{34111=23;34112=23;34113=23},{id=11;star=3},{111=23;112=23;113=23},{id=2591;star=3},{25911=23;25912=23;25913=23},{id=1441;star=3},{14411=23;14412=23;14413=23},{id=2011;star=3},{20111=23;20112=23;20113=23},,
233,20,100,{id=2611},{26111=23;26112=23;26113=23},{id=2871;star=3},{28711=23;28712=23;28713=23},{id=3291;star=3},{32911=23;32912=23;32913=23},{id=21;star=3},{211=23;212=23;213=23},{id=1;star=3},{11=23;12=23;13=23},,
234,20,100,{id=2631},{26311=23;26312=23;26313=23},{id=51;star=3},{511=23;512=23;513=23},{id=1611;star=3},{16111=23;16112=23;16113=23},{id=2301;star=3},{23011=23;23012=23;23013=23},{id=3411;star=3},{34111=23;34112=23;34113=23},,
235,20,100,{id=2871},{28711=23;28712=23;28713=23},{id=3471;star=3},{34711=23;34712=23;34713=23},{id=2921;star=3},{29211=23;29212=23;29213=23},{id=271;star=3},{2711=23;2712=23;2713=23},{id=2071;star=3},{20711=23;20712=23;20713=23},,
