"﻿变量名",huodongID,_beizhu,daySum,amount,desc,desc_tw,desc_en,desc_vn,desc_kr,award,special
,,,,,,,,,,,
1141,4115,Continuous recharge 30 yuan - Cocoa Dora,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21501=10;2103=2;gold=60000},
1142,4115,Continuous recharge 30 yuan - Cocoa Dora,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21501=10;2103=2;gold=70000},
1143,4115,Continuous recharge 30 yuan - Cocoa Dora,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21501=10;2103=2;gold=80000},
1144,4115,Continuous recharge 30 yuan - Cocoa Dora,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21501=10;2103=2;gold=90000},
1145,4115,Continuous recharge 30 yuan - Cocoa Dora,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21501=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1151,4116,Continuous recharge 30 yuan - Yaya,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23001=10;2103=2;gold=60000},
1152,4116,Continuous recharge 30 yuan - Yaya,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23001=10;2103=2;gold=70000},
1153,4116,Continuous recharge 30 yuan - Yaya,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23001=10;2103=2;gold=80000},
1154,4116,Continuous recharge 30 yuan - Yaya,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23001=10;2103=2;gold=90000},
1155,4116,Continuous recharge 30 yuan - Yaya,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};23001=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1161,4117,Continuous recharge of 30 yuan - Banji Las,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21251=10;2103=2;gold=60000},
1162,4117,Continuous recharge of 30 yuan - Banji Las,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21251=10;2103=2;gold=70000},
1163,4117,Continuous recharge of 30 yuan - Banji Las,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21251=10;2103=2;gold=80000},
1164,4117,Continuous recharge of 30 yuan - Banji Las,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21251=10;2103=2;gold=90000},
1165,4117,Continuous recharge of 30 yuan - Banji Las,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21251=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1171,4118,Continuous recharge 30 yuan - geometric snowflake,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23021=10;2103=2;gold=60000},
1172,4118,Continuous recharge 30 yuan - geometric snowflake,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23021=10;2103=2;gold=70000},
1173,4118,Continuous recharge 30 yuan - geometric snowflake,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23021=10;2103=2;gold=80000},
1174,4118,Continuous recharge 30 yuan - geometric snowflake,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23021=10;2103=2;gold=90000},
1175,4118,Continuous recharge 30 yuan - geometric snowflake,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};23021=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1181,4119,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20631=10;2103=2;gold=60000},
1182,4119,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20631=10;2103=2;gold=70000},
1183,4119,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20631=10;2103=2;gold=80000},
1184,4119,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20631=10;2103=2;gold=90000},
1185,4119,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20631=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
2001,4201,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7400=10;2103=2;gold=60000},
2002,4201,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7400=10;2103=2;gold=70000},
2003,4201,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7400=10;2103=2;gold=80000},
2004,4201,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7400=10;2103=2;gold=90000},
2005,4201,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7400=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
2011,4202,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7401=10;2103=2;gold=60000},
2012,4202,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7401=10;2103=2;gold=70000},
2013,4202,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7401=10;2103=2;gold=80000},
2014,4202,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7401=10;2103=2;gold=90000},
2015,4202,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7401=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
2021,4203,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7402=10;2103=2;gold=60000},
2022,4203,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7402=10;2103=2;gold=70000},
2023,4203,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7402=10;2103=2;gold=80000},
2024,4203,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7402=10;2103=2;gold=90000},
2025,4203,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7402=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
2031,4204,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7403=10;2103=2;gold=60000},
2032,4204,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7403=10;2103=2;gold=70000},
2033,4204,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7403=10;2103=2;gold=80000},
2034,4204,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7403=10;2103=2;gold=90000},
2035,4204,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7403=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
2041,4205,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7404=10;2103=2;gold=60000},
2042,4205,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7404=10;2103=2;gold=70000},
2043,4205,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7404=10;2103=2;gold=80000},
2044,4205,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7404=10;2103=2;gold=90000},
2045,4205,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7404=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
2051,4206,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7405=10;2103=2;gold=60000},
2052,4206,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7405=10;2103=2;gold=70000},
2053,4206,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7405=10;2103=2;gold=80000},
2054,4206,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7405=10;2103=2;gold=90000},
2055,4206,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7405=10;2103=2;gold=100000},
,,,,,,,,,,,
2061,4207,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7406=10;2103=2;gold=60000},
2062,4207,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7406=10;2103=2;gold=70000},
2063,4207,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7406=10;2103=2;gold=80000},
2064,4207,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7406=10;2103=2;gold=90000},
2065,4207,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7406=10;2103=2;gold=100000},
,,,,,,,,,,,
2071,4208,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7407=10;2103=2;gold=60000},
2072,4208,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7407=10;2103=2;gold=70000},
2073,4208,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7407=10;2103=2;gold=80000},
2074,4208,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7407=10;2103=2;gold=90000},
2075,4208,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7407=10;2103=2;gold=100000},
,,,,,,,,,,,
2081,4209,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7408=10;2103=2;gold=60000},
2082,4209,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7408=10;2103=2;gold=70000},
2083,4209,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7408=10;2103=2;gold=80000},
2084,4209,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7408=10;2103=2;gold=90000},
2085,4209,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7408=10;2103=2;gold=100000},
,,,,,,,,,,,
2091,4210,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7409=10;2103=2;gold=60000},
2092,4210,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7409=10;2103=2;gold=70000},
2093,4210,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7409=10;2103=2;gold=80000},
2094,4210,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7409=10;2103=2;gold=90000},
2095,4210,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7409=10;2103=2;gold=100000},
,,,,,,,,,,,
2101,4211,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7410=10;2103=2;gold=60000},
2102,4211,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7410=10;2103=2;gold=70000},
2103,4211,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7410=10;2103=2;gold=80000},
2104,4211,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7410=10;2103=2;gold=90000},
2105,4211,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7410=10;2103=2;gold=100000},
,,,,,,,,,,,
2111,4212,Continuous recharge 30 yuan - Gyarados,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7411=10;2103=2;gold=60000},
2112,4212,Continuous recharge 30 yuan - Gyarados,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7411=10;2103=2;gold=70000},
2113,4212,Continuous recharge 30 yuan - Gyarados,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7411=10;2103=2;gold=80000},
2114,4212,Continuous recharge 30 yuan - Gyarados,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{7411=10;2103=2;gold=90000},
2115,4212,Continuous recharge 30 yuan - Gyarados,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};7411=10;2103=2;gold=100000},
