"﻿变量名",_beizhu,name,name_tw,name_en,name_vn,name_kr,icon,icon1,rDesc,rDesc_tw,rDesc_en,rDesc_vn,rDesc_kr,type,independent,desc,desc_tw,desc_en,desc_vn,desc_kr,paramMap,clientParam,huodongID,countType,openType,validServerOpenDateRange,validRoleCreatedDateRange,beginDate,beginTime,beginTime_kr,beginTime_en,endDate,endTime,endTime_kr,endTime_en,relativeDayRange,openDuration,leastLevel,leastVipLevel,serverDayRange,roleDayRange,servers,languages,active,sortWeight,redpoint
"197",Formal - daily continuous recharge 30 - Gyarados,Channel Test Adjustments,管道測試調整,,404404,채널 테스트 조정,,2,"During the activity period, recharge for 5 consecutive days to get the target reward",活動時間內，連續儲值5天即可獲得目標獎勵,"During the event period, make purchases for 5 consecutive days to get the target rewards",404404,이벤트 기간 동안 연속 5일 충전 시 목표 보상을 획득할 수 있습니다!,4,0,Daily recharge,每日連續儲值,Daily Top-up,404404,일일 연속 충전,{replace=TRUE},{hero=config/big_hero/normal/img_132_bbg_c@.png},4119,,4,<20200220;20990101>,,20190902,500,0,0,,500,0,0,<392;398>,5000000,1,,,,,<cn;tw;en;kr>,1,20,1
"198",Formal - Daily continuous recharge 30 - Cocoa Dora,Channel Test Adjustments,管道測試調整,404,404404,채널 테스트 조정,,2,"During the activity period, recharge for 5 consecutive days to get the target reward",活動時間內，連續儲值5天即可獲得目標獎勵,"During the event period, make purchases for 5 consecutive days to get the target rewards",404404,이벤트 기간 동안 연속 5일 충전 시 목표 보상을 획득할 수 있습니다!,4,0,Daily recharge,每日連續儲值,Daily Top-up,404404,일일 연속 충전,{replace=TRUE},{hero=config/big_hero/normal/img_132_bbg_c@.png},4115,,4,<20200220;20990101>,,20190902,500,0,0,,500,0,0,<399;405>,5000000,1,,,,,<cn;tw;en;kr>,1,20,1
"199",Formal-daily continuous recharge 30-sticky treasure,Channel Test Adjustments,管道測試調整,404,404404,채널 테스트 조정,,2,"During the activity period, recharge for 5 consecutive days to get the target reward",活動時間內，連續儲值5天即可獲得目標獎勵,"During the event period, make purchases for 5 consecutive days to get the target rewards",404404,이벤트 기간 동안 연속 5일 충전 시 목표 보상을 획득할 수 있습니다!,4,0,Daily recharge,每日連續儲值,Daily Top-up,404404,일일 연속 충전,{replace=TRUE},{hero=config/big_hero/normal/img_132_bbg_c@.png},4102,,4,<20200220;20990101>,,20190902,500,0,0,,500,0,0,<406;412>,5000000,1,,,,,<cn;tw;en;kr>,1,20,1
"200",Formal-Daily continuous recharge 30-Lightning bird,Channel Test Adjustments,管道測試調整,404,404404,채널 테스트 조정,,2,"During the activity period, recharge for 5 consecutive days to get the target reward",活動時間內，連續儲值5天即可獲得目標獎勵,"During the event period, make purchases for 5 consecutive days to get the target rewards",404404,이벤트 기간 동안 연속 5일 충전 시 목표 보상을 획득할 수 있습니다!,4,0,Daily recharge,每日連續儲值,Daily Top-up,404404,일일 연속 충전,{replace=TRUE},{hero=config/big_hero/normal/img_132_bbg_c@.png},4101,,4,<20200220;20990101>,,20190902,500,0,0,,500,0,0,<413;419>,5000000,1,,,,,<cn;tw;en;kr>,1,20,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"201",Officially - the number of dungeons of gold coins has increased,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,The number of copies of gold coins has increased,金幣副本次數增加,Extra Coin Dungeon,404404,코인 던전 횟수 증가,{type=2;count=1},,,,0,,,20191220,500,0,0,20191222,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"202",Official - Teaser - The number of dungeons of gold coins has increased,,,,,,,3,"During the event period, the number of gold coin dungeon challenges +1! Go to fight!",活動時間內，金幣副本挑戰次數+1！快去戰鬥吧！,"During the event period, chances of Coin dungeon challenge increases by 1! It's time for a fight!",404404,이벤트 기간 동안 코인 던전의 도전 횟수가 1회를 증가합니다! 놓치지 마세요!,8,3,The number of copies of gold coins has increased,金幣副本次數增加,Extra Coin Dungeon,404404,코인 던전 횟수 증가,,,,1,0,,,20191220,500,0,0,20191222,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"203",Formal - The number of experience copies has increased,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,Increased number of experience copies,經驗副本次數增加,Extra EXP Dungeon,404404,경험치 던전 횟수 증가,{type=3;count=1},,,,0,,,20191222,500,0,0,20191224,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"204",Formal-trailer-experience dungeons increased,,,,,,,3,"During the event period, the number of challenges in the experience copy +1! Go to fight!",活動時間內，經驗副本挑戰次數+1！快去戰鬥吧！,"During the event period, chances of EXP dungeon challenge increases by 1! It's time for a fight!",404404,이벤트 기간 동안 경험치 던전의 도전 횟수가 1회를 증가합니다! 놓치지 마세요!,8,3,Increased number of experience copies,經驗副本次數增加,Extra EXP Dungeon,404404,경험치 던전 횟수 증가,,,,1,0,,,20191222,500,0,0,20191224,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"210",Endless Tower Sweep Double,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,Adventure Road Sweep Double,冒險之路掃蕩雙倍,Adventure Road Double Blitz Reward,404404,모험의 길 소탕 2배,{type=9},,,,0,,,20191227,500,0,0,20191229,500,0,0,,48,24,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"211",Official - Teaser - Endless Tower Sweep Double,,,,,,,3,"During the event period, the drop rate of rewards for raiding on the Adventure Road is doubled! Go to fight!",活動時間內，冒險之路掃蕩獎勵掉落概率雙倍！快去戰鬥吧！,"During the event period, the droping rate of advanture load sweeping is doubled! It's time for a fight! ",404404,이벤트 기간 동안 모험의 길 소탕 보상 드랍 확률이 2배 증가합니다! 놓치지 마세요!,8,3,Adventure Road Sweep Double,冒險之路掃蕩雙倍,Adventure Road Double Blitz Reward,404404,모험의 길 소탕 2배,,,,1,0,,,20191227,500,0,0,20191229,500,0,0,,48,24,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"212",Officially - Increased the number of gift copies,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,Increased number of gift copies,禮物副本次數增加,Extra Gift Dungeon,404404,선물 던전 횟수 증가,{type=4;count=1},,,,0,,,20191229,500,0,0,20191231,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"213",Official - Teaser - Increased the number of copies of gifts,,,,,,,3,"During the event period, the number of challenges for gift copies will be +1! Go to fight!",活動時間內，禮物副本挑戰次數+1！快去戰鬥吧！,"During the event period, chances of Gift dungeon challenge increases by 1! It's time for a fight!",404404,이벤트 기간 동안 선물 던전의 도전 횟수가 1회를 증가합니다! 놓치지 마세요!,8,3,Increased number of gift copies,禮物副本次數增加,Extra Gift Dungeon,404404,선물 던전 횟수 증가,,,,1,0,,,20191229,500,0,0,20191231,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"214",double treasure,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,double treasure,聚寶雙倍,Double Treasure Pot rewards,404404,보물단지 2배,{type=6;count=10},,,,0,,,20191231,500,0,0,20200102,500,0,0,,48,1,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"215",Official-Teaser-Double Treasure,,,,,,,3,"During the event period, the first 10 times of Gold Coin Treasure can get double rewards! go quickly!",活動時間內，金幣聚寶前10次可以獲得雙倍獎勵！快去吧！,"During the event period, treature pot gives double reward of the first 10 times. Come on!",404404,이벤트 기간 동안 코인 보물단지 첫 10회 보상 내용이 2배 증가합니다! 놓치지 마세요!,8,3,double treasure,聚寶雙倍,Double Treasure Pot rewards,404404,보물단지 2배,,,,1,0,,,20191231,500,0,0,20200102,500,0,0,,48,1,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"216",Officially - Number of shard copies increased,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,Fragment copies increase,碎片副本次數增加,Extra Shard Dungeon,Mảnh vỡ phó bản số lần gia tăng,조각 던전 횟수 증가,{type=5;count=1},,,,0,,,20200102,500,0,0,20200104,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"217",Official - Teaser - The number of copies of fragments has increased,,,,,,,3,"During the event period, the number of challenges in the Fragment Instance +1! Go to fight!",活動時間內，碎片副本挑戰次數+1！快去戰鬥吧！,"During the event period, chances of Shard dungeon challenge increase by 1! It's time for a fight!",404404,이벤트 기간 동안 조각 던전의 도전 횟수가 1회를 증가합니다! 놓치지 마세요!,8,3,Fragment copies increase,碎片副本次數增加,Extra Shard Dungeon,Mảnh vỡ phó bản số lần gia tăng,조각 던전 횟수 증가,,,,1,0,,,20200102,500,0,0,20200104,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"218",Gold coin copy double drop,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,Gold coin copy double drop,金幣副本雙倍掉落,Coin dungeon double rewards,404404,코인 던전 2배 드랍,{type=1;start=60001;end=60099},,,,0,,,20200104,500,0,0,20200106,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"219",Official-Trailer-Double drop of gold coin dungeon,,,,,,,3,"During the event period, double drops of gold coins will be dropped! Go to fight!",活動時間內，金幣副本雙倍掉落！快去戰鬥吧！,"During the event period, the droping rate of Coin Dungeon is doubled! It's time for a fight! ",404404,이벤트 기간 동안 코인 던전 드랍 내용이 2배 증가합니다! 놓치지 마세요!,8,3,Gold coin copy double drop,金幣副本雙倍掉落,Coin dungeon double rewards,404404,코인 던전 2배 드랍,,,,1,0,,,20200104,500,0,0,20200106,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"220",Formal - The number of experience copies has increased,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,Increased number of experience copies,經驗副本次數增加,Extra EXP Dungeon,404404,경험치 던전 횟수 증가,{type=3;count=1},,,,0,,,20200120,500,0,0,20200122,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"221",Formal-trailer-experience dungeons increased,,,,,,,3,"During the event period, the number of challenges in the experience copy +1! Go to fight!",活動時間內，經驗副本挑戰次數+1！快去戰鬥吧！,"During the event period, chances of EXP dungeon challenge increases by 1! It's time for a fight!",404404,이벤트 기간 동안 경험치 던전의 도전 횟수가 1회를 증가합니다! 놓치지 마세요!,8,3,Increased number of experience copies,經驗副本次數增加,Extra EXP Dungeon,404404,경험치 던전 횟수 증가,,,,1,0,,,20200120,500,0,0,20200122,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"222",Ethereum Gold Coin Double,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,Ethereum Gold Coin Double,以太樂園金幣雙倍,Aether Paradise Double Coins,404404,에테르파라다이스 코인 2배,{type=10},,,,0,,,20200122,500,0,0,20200124,500,0,0,,48,32,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"223",Official-Trailer-Double Ether Paradise Gold Coins,,,,,,,3,"During the event period, the gold coin rewards for opening treasure chests in Ether Paradise will be doubled! Go to fight!",活動時間內，以太樂園中開啟寶箱獲得的金幣獎勵雙倍！快去戰鬥吧！,"During the event period, challenging Aether Paradise will be rewarded with double coins! It's time for a fight!",404404,이벤트 기간 동안 에테르파라다이스의 보물상자 개방 시 획득하는 코인 보상이 2배 증가합니다! 놓치지 마세요!,8,3,Ethereum Gold Coin Double,以太樂園金幣雙倍,Aether Paradise Double Coins,404404,에테르파라다이스 코인 2배,,,,1,0,,,20200122,500,0,0,20200124,500,0,0,,48,32,,<1;9999>,,,<cn;tw;en;kr>,1,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"224",Gift copy double drop,double big event,雙倍大活動,404,404404,2배 이벤트,,,,,,,,-2,-1,Gift copy double drop,禮物副本雙倍掉落,Gift Dungeon double rewards,404404,선물 던전 2배 드랍,{type=1;start=60201;end=60257},,,,0,<20160101;20990101>,,20211001,500,0,0,20211003,500,0,0,,48,18,,<1;9999>,,,<cn>,1,18,
"225",Official-Trailer-Gift copy double drop,double big event,雙倍大活動,,404404,2배 이벤트,,3,"During the event time, gift copies will drop twice! Go to fight!",活動時間內，禮物副本雙倍掉落！快去戰鬥吧！,"During the event period, the droping rate of Gift Dungeon is doubled! It's time for a fight!",404404,이벤트 기간 동안 선물 던전 드랍 내용이 2배 증가합니다! 놓치지 마세요!,8,3,Gift copy double drop,禮物副本雙倍掉落,Gift Dungeon double rewards,404404,선물 던전 2배 드랍,,,,1,0,<20160101;20990101>,,20211001,500,0,0,20211003,500,0,0,,48,18,,<1;9999>,,,<cn>,1,18,
"226",Fragment copy double drop,double big event,雙倍大活動,404,404404,2배 이벤트,,,,,,,,-2,-1,Fragment copy double drop,碎片副本雙倍掉落,Shard dungeon double rewards,404404,조각 던전 2배 드랍,{type=1;start=60301;end=60447},,,,0,<20160101;20990101>,,20211003,500,0,0,20211005,500,0,0,,48,18,,<1;9999>,,,<cn>,1,18,
"227",Official-Trailer-Double drop of shard dungeon,double big event,雙倍大活動,,404404,2배 이벤트,,3,"During the event time, the shard copy will drop twice! Go to fight!",活動時間內，碎片副本雙倍掉落！快去戰鬥吧！,"During the event period, the droping rate of Shard Dungeon is doubled! It's time for a fight! ",404404,이벤트 기간 동안 조각 던전 드랍 내용이 2배 증가합니다! 놓치지 마세요!,8,3,Fragment copy double drop,碎片副本雙倍掉落,Shard dungeon double rewards,404404,조각 던전 2배 드랍,,,,1,0,<20160101;20990101>,,20211003,500,0,0,20211005,500,0,0,,48,18,,<1;9999>,,,<cn>,1,18,
"228",Gold coin copy double drop,double big event,雙倍大活動,404,404404,2배 이벤트,,,,,,,,-2,-1,Gold coin copy double drop,金幣副本雙倍掉落,Coin dungeon double rewards,404404,코인 던전 2배 드랍,{type=1;start=60001;end=60099},,,,0,<20160101;20990101>,,20211005,500,0,0,20211007,500,0,0,,48,18,,<1;9999>,,,<cn>,1,18,
"229",Official-Trailer-Double drop of gold coin dungeon,double big event,雙倍大活動,,404404,2배 이벤트,,3,"During the event period, double drops of gold coins will be dropped! Go to fight!",活動時間內，金幣副本雙倍掉落！快去戰鬥吧！,"During the event period, the droping rate of Coin Dungeon is doubled! It's time for a fight! ",404404,이벤트 기간 동안 코인 던전 드랍 내용이 2배 증가합니다! 놓치지 마세요!,8,3,Gold coin copy double drop,金幣副本雙倍掉落,Coin dungeon double rewards,404404,코인 던전 2배 드랍,,,,1,0,<20160101;20990101>,,20211005,500,0,0,20211007,500,0,0,,48,18,,<1;9999>,,,<cn>,1,18,
"230",Experience dungeon double drop,double big event,雙倍大活動,404,404404,2배 이벤트,,,,,,,,-2,-1,Experience dungeon double drop,經驗副本雙倍掉落,EXP dungeon double rewards,404404,경험치 던전 2배 드랍,{type=1;start=60101;end=60199},,,,0,<20160101;20990101>,,20211007,500,0,0,20211009,500,0,0,,48,18,,<1;9999>,,,<cn>,1,18,
"231",Official-Preview-Experience dungeon double drop,double big event,雙倍大活動,,404404,2배 이벤트,,3,"During the event time, experience copies will drop twice! Go to fight!",活動時間內，經驗副本雙倍掉落！快去戰鬥吧！,"During the event period, the droping rate of EXP Dungeon is doubled! It's time for a fight!",404404,이벤트 기간 동안 경험치 던전 드랍 내용이 2배 증가합니다! 놓치지 마세요!,8,3,Experience dungeon double drop,經驗副本雙倍掉落,EXP dungeon double rewards,404404,경험치 던전 2배 드랍,,,,1,0,<20160101;20990101>,,20211007,500,0,0,20211009,500,0,0,,48,18,,<1;9999>,,,<cn>,1,18,
"232",double treasure,double big event,雙倍大活動,404,404404,2배 이벤트,,,,,,,,-2,-1,double treasure,聚寶雙倍,Double Treasure Pot rewards,404404,보물단지 2배,{type=6;count=10},,,,0,<20160101;20990101>,,20211009,500,0,0,20211011,500,0,0,,48,1,,<1;9999>,,,<cn>,1,18,
"233",Official-Teaser-Double Treasure,double big event,雙倍大活動,,404404,2배 이벤트,,3,"During the event period, the first 10 times of Gold Coin Treasure can get double rewards! go quickly!",活動時間內，金幣聚寶前10次可以獲得雙倍獎勵！快去吧！,"During the event period, treature pot gives double reward of the first 10 times. Come on!",404404,이벤트 기간 동안 코인 보물단지 첫 10회 보상 내용이 2배 증가합니다! 놓치지 마세요!,8,3,double treasure,聚寶雙倍,Double Treasure Pot rewards,404404,보물단지 2배,,,,1,0,<20160101;20990101>,,20211009,500,0,0,20211011,500,0,0,,48,1,,<1;9999>,,,<cn>,1,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"234",Normal level double drop,double big event,雙倍大活動,,404404,2배 이벤트,,,,,,,,-2,-1,Normal level double drop,普通關卡雙倍掉落,Normal levels double rewards,404404,일반 던전 2배 드랍,{type=1;start=10101;end=12510},,,1,0,<20160101;20990101>,,20211001,500,0,0,20211003,500,0,0,,48,1,,<1;9999>,,,<cn>,1,18,
"235",Official-Trailer-Double drop in common levels,double big event,雙倍大活動,,404404,2배 이벤트,,3,"During the event period, the drop rate of ordinary dungeons is doubled! Go to fight!",活動時間內，普通副本雙倍掉落概率！快去戰鬥吧！,"During the event period, the droping rate of Ordinary Dungeon is doubled! It's time for a fight! ",404404,이벤트 기간 동안 일반 던전 드랍 확률이 2배 증가합니다! 놓치지 마세요!,8,3,Normal level double drop,普通關卡雙倍掉落,Normal levels double rewards,404404,일반 던전 2배 드랍,,,,1,0,<20160101;20990101>,,20211001,500,0,0,20211003,500,0,0,,48,1,,<1;9999>,,,<cn>,1,18,
"236",Endless Tower Sweep Double,double big event,雙倍大活動,404,404404,2배 이벤트,,,,,,,,-2,-1,Adventure Road Sweep Double,冒險之路掃蕩雙倍,Adventure Road Double Blitz Reward,404404,모험의 길 소탕 2배,{type=9},,,,0,<20160101;20990101>,,20211003,500,0,0,20211005,500,0,0,,48,24,,<1;9999>,,,<cn>,1,18,
"237",Official - Teaser - Endless Tower Sweep Double,double big event,雙倍大活動,,404404,2배 이벤트,,3,"During the event period, the drop rate of rewards for raiding on the Adventure Road is doubled! Go to fight!",活動時間內，冒險之路掃蕩獎勵掉落概率雙倍！快去戰鬥吧！,"During the event period, the droping rate of advanture load sweeping is doubled! It's time for a fight! ",404404,이벤트 기간 동안 모험의 길 소탕 보상 드랍 확률이 2배 증가합니다! 놓치지 마세요!,8,3,Adventure Road Sweep Double,冒險之路掃蕩雙倍,Adventure Road Double Blitz Reward,404404,모험의 길 소탕 2배,,,,1,0,<20160101;20990101>,,20211003,500,0,0,20211005,500,0,0,,48,24,,<1;9999>,,,<cn>,1,18,
"238",Difficult levels double drop,double big event,雙倍大活動,404,404404,2배 이벤트,,,,,,,,-2,-1,Difficult levels double drop,困難關卡雙倍掉落,Elite levels double rewards,404404,하드 스테이지 2배 드랍,{type=1;start=20101;end=22205},,,,0,<20160101;20990101>,,20211005,500,0,0,20211007,500,0,0,,48,1,,<1;9999>,,,<cn>,1,18,
"239",Official-Trailer-Double drops for hard levels,double big event,雙倍大活動,,404404,2배 이벤트,,3,"During the event period, the drop rate of difficult dungeons is doubled! Go to fight!",活動時間內，困难副本雙倍掉落概率！快去戰鬥吧！,"During the event period, the droping rate of Hard Dungeon is doubled! It's time for a fight!",404404,이벤트 기간 동안 하드 던전 드랍 확률이 2배 증가합니다! 놓치지 마세요!,8,3,Difficult levels double drop,困難關卡雙倍掉落,Elite levels double rewards,404404,하드 스테이지 2배 드랍,,,,1,0,<20160101;20990101>,,20211005,500,0,0,20211007,500,0,0,,48,1,,<1;9999>,,,<cn>,1,18,
"240",Ethereum Gold Coin Double,double big event,雙倍大活動,404,404404,2배 이벤트,,,,,,,,-2,-1,Ethereum Gold Coin Double,以太樂園金幣雙倍,Aether Paradise Double Coins,404404,에테르파라다이스 코인 2배,{type=10},,,,0,<20160101;20990101>,,20211007,500,0,0,20211009,500,0,0,,48,32,,<1;9999>,,,<cn>,1,18,
"241",Official-Trailer-Double Ether Paradise Gold Coins,double big event,雙倍大活動,,404404,2배 이벤트,,3,"During the event period, the gold coin rewards for opening treasure chests in Ether Paradise will be doubled! Go to fight!",活動時間內，以太樂園中開啟寶箱獲得的金幣獎勵雙倍！快去戰鬥吧！,"During the event period, challenging Aether Paradise will be rewarded with double coins! It's time for a fight!",404404,이벤트 기간 동안 에테르파라다이스의 보물상자 개방 시 획득하는 코인 보상이 2배 증가합니다! 놓치지 마세요!,8,3,Ethereum Gold Coin Double,以太樂園金幣雙倍,Aether Paradise Double Coins,404404,에테르파라다이스 코인 2배,,,,1,0,<20160101;20990101>,,20211007,500,0,0,20211009,500,0,0,,48,32,,<1;9999>,,,<cn>,1,18,
"242",Double the stamina purchase,double big event,雙倍大活動,404,404404,2배 이벤트,,,,,,,,-2,-1,Double the stamina purchase,體力購買雙倍,Energy Purchase 2x,404404,체력 구매 2배,{type=7;count=5},,,,0,<20160101;20990101>,,20211009,500,0,0,20211011,500,0,0,,48,1,,<1;9999>,,,<cn>,1,18,
"243",Official-Trailer-Purchase of physical strength is doubled,double big event,雙倍大活動,,404404,2배 이벤트,,3,"During the event period, the first 5 physical purchases can get double rewards! go quickly!",活動時間內，體力購買前5次可以獲得雙倍獎勵！快去吧！,"During the event period, energy purchase gives double. Come on!","Trong thời gian sự kiện, 5 lần đầu mua Thể Lực nhận thưởng nhân đôi! Đi ngay!",이벤트 기간 동안 체력 구매 첫 5회 보상 내용이 2배 증가합니다! 놓치지 마세요!,8,3,Double the stamina purchase,體力購買雙倍,Energy Purchase 2x,404404,체력 구매 2배,,,,1,0,<20160101;20990101>,,20211009,500,0,0,20211011,500,0,0,,48,1,,<1;9999>,,,<cn>,1,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"245",Officially - Increased the number of gift copies,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,Increased number of gift copies,禮物副本次數增加,Extra Gift Dungeon,404404,선물 던전 횟수 증가,{type=4;count=1},,,,0,<20160101;20990101>,,20211101,500,0,0,20211103,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"246",Official - Teaser - Increased the number of copies of gifts,,,,,,,3,"During the event period, the number of challenges for gift copies will be +1! Go to fight!",活動時間內，禮物副本挑戰次數+1！快去戰鬥吧！,"During the event period, chances of Gift dungeon challenge increases by 1! It's time for a fight!",404404,이벤트 기간 동안 선물 던전의 도전 횟수가 1회를 증가합니다! 놓치지 마세요!,8,3,Increased number of gift copies,禮物副本次數增加,Extra Gift Dungeon,404404,선물 던전 횟수 증가,,,,1,0,<20160101;20990101>,,20211101,500,0,0,20211103,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"247",Endless Tower Sweep Double,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,Adventure Road Sweep Double,冒險之路掃蕩雙倍,Adventure Road Double Blitz Reward,404404,모험의 길 소탕 2배,{type=9},,,,0,<20160101;20990101>,,20211103,500,0,0,20211105,500,0,0,,48,24,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"248",Official - Teaser - Endless Tower Sweep Double,,,,,,,3,"During the event period, the drop rate of rewards for raiding on the Adventure Road is doubled! Go to fight!",活動時間內，冒險之路掃蕩獎勵掉落概率雙倍！快去戰鬥吧！,"During the event period, the droping rate of advanture load sweeping is doubled! It's time for a fight! ",404404,이벤트 기간 동안 모험의 길 소탕 보상 드랍 확률이 2배 증가합니다! 놓치지 마세요!,8,3,Adventure Road Sweep Double,冒險之路掃蕩雙倍,Adventure Road Double Blitz Reward,404404,모험의 길 소탕 2배,,,,1,0,<20160101;20990101>,,20211103,500,0,0,20211105,500,0,0,,48,24,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"249",Officially - Number of shard copies increased,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,Fragment copies increase,碎片副本次數增加,Extra Shard Dungeon,Mảnh vỡ phó bản số lần gia tăng,조각 던전 횟수 증가,{type=5;count=1},,,,0,<20160101;20990101>,,20211105,500,0,0,20211107,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"250",Official - Teaser - The number of copies of fragments has increased,,,,,,,3,"During the event period, the number of challenges in the Fragment Instance +1! Go to fight!",活動時間內，碎片副本挑戰次數+1！快去戰鬥吧！,"During the event period, chances of Shard dungeon challenge increase by 1! It's time for a fight!",404404,이벤트 기간 동안 조각 던전의 도전 횟수가 1회를 증가합니다! 놓치지 마세요!,8,3,Fragment copies increase,碎片副本次數增加,Extra Shard Dungeon,Mảnh vỡ phó bản số lần gia tăng,조각 던전 횟수 증가,,,,1,0,<20160101;20990101>,,20211105,500,0,0,20211107,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"251",double treasure,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,double treasure,聚寶雙倍,Double Treasure Pot rewards,404404,보물단지 2배,{type=6;count=10},,,,0,<20160101;20990101>,,20211107,500,0,0,20211109,500,0,0,,48,1,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"252",Official-Teaser-Double Treasure,,,,,,,3,"During the event period, the first 10 times of Gold Coin Treasure can get double rewards! go quickly!",活動時間內，金幣聚寶前10次可以獲得雙倍獎勵！快去吧！,"During the event period, treature pot gives double reward of the first 10 times. Come on!",404404,이벤트 기간 동안 코인 보물단지 첫 10회 보상 내용이 2배 증가합니다! 놓치지 마세요!,8,3,double treasure,聚寶雙倍,Double Treasure Pot rewards,404404,보물단지 2배,,,,1,0,<20160101;20990101>,,20211107,500,0,0,20211109,500,0,0,,48,1,,<1;9999>,,,<cn;tw;en;kr>,1,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"253",Officially - the number of dungeons of gold coins has increased,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,The number of copies of gold coins has increased,金幣副本次數增加,Extra Coin Dungeon,404404,코인 던전 횟수 증가,{type=2;count=1},,,,0,<20160101;20990101>,,20211109,500,0,0,20211111,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"254",Official - Teaser - The number of dungeons of gold coins has increased,,,,,,,3,"During the event period, the number of gold coin dungeon challenges +1! Go to fight!",活動時間內，金幣副本挑戰次數+1！快去戰鬥吧！,"During the event period, chances of Coin dungeon challenge increases by 1! It's time for a fight!",404404,이벤트 기간 동안 코인 던전의 도전 횟수가 1회를 증가합니다! 놓치지 마세요!,8,3,The number of copies of gold coins has increased,金幣副本次數增加,Extra Coin Dungeon,404404,코인 던전 횟수 증가,,,,1,0,<20160101;20990101>,,20211109,500,0,0,20211111,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
"255",Formal - The number of experience copies has increased,daily activities,日常活動,404,404404,일일 이벤트,,,,,,,,-2,-1,Increased number of experience copies,經驗副本次數增加,Extra EXP Dungeon,404404,경험치 던전 횟수 증가,{type=3;count=1},,,,0,<20160101;20990101>,,20211111,500,0,0,20211113,500,0,0,,48,18,,<1;9999>,,,<cn;tw;en;kr>,1,18,
