"﻿变量名",_beizhu,huodongID,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,award,vip
,,,,,,,,,,,,
2001,Daily Activities - Daily Recharge,2001,22,300,,Purchase 300 Diamonds,儲值300鑽石,Purchase 300 Diamonds,404404,300다이아 충전,{gold=100000;901=10;2102=10;501=2},
2002,Daily Activities - Daily Recharge,2001,22,600,,Purchase 600 Diamonds,儲值600鑽石,Purchase 600 Diamonds,404404,600다이아 충전,{gold=100000;901=15;2102=10;502=5},
2003,Daily Activities - Daily Recharge,2001,22,980,,Purchase 980 Diamonds,儲值980鑽石,Purchase 980 Diamonds,404404,980다이아 충전,{gold=200000;901=20;2102=20;talent_point=5},
2004,Daily Activities - Daily Recharge,2001,22,1980,,Purchase 1980 Diamonds,儲值1980鑽石,Purchase 1980 Diamonds,404404,1980다이아 충전,{gold=300000;902=10;2103=10;502=10},
2005,Daily Activities - Daily Recharge,2001,22,3280,,Purchase 3280 Diamonds,儲值3280鑽石,Purchase 3280 Diamonds,404404,3280다이아 충전,{gold=500000;902=15;2103=10;4000=300},
2006,Daily Activities - Daily Recharge,2001,22,6480,,Purchase 6480 Diamonds,儲值6480鑽石,Purchase 6480 Diamonds,404404,6480다이아 충전,{gold=500000;902=20;2103=20;521=10},
,,,,,,,,,,,,
2011,Daily activities - daily recharge - kr revision,2002,22,300,,Purchase 300 Diamonds,儲值300鑽石,Purchase 300 Diamonds,404404,300다이아 충전,{gold=100000;901=10;2102=10;501=2},
2012,Daily activities - daily recharge - kr revision,2002,22,600,,Purchase 600 Diamonds,儲值600鑽石,Purchase 600 Diamonds,404404,600다이아 충전,{gold=100000;901=15;2102=10;502=8},
2013,Daily activities - daily recharge - kr revision,2002,22,980,,Purchase 980 Diamonds,儲值980鑽石,Purchase 980 Diamonds,404404,980다이아 충전,{gold=200000;901=20;2102=20;talent_point=5},
2014,Daily activities - daily recharge - kr revision,2002,22,1980,,Purchase 1980 Diamonds,儲值1980鑽石,Purchase 1980 Diamonds,404404,1980다이아 충전,{gold=300000;902=10;2103=10;502=15},
2015,Daily activities - daily recharge - kr revision,2002,22,3280,,Purchase 3280 Diamonds,儲值3280鑽石,Purchase 3280 Diamonds,404404,3280다이아 충전,{gold=500000;902=15;2103=10;4000=300},
2016,Daily activities - daily recharge - kr revision,2002,22,6480,,Purchase 6480 Diamonds,儲值6480鑽石,Purchase 6480 Diamonds,404404,6480다이아 충전,{gold=500000;902=20;2103=20;521=15},
,,,,,,,,,,,,
2501,Daily Activities - Start Welfare Charmander,2051,1,35,,Reach Lv.35,等級達到35級,Reach Lv.35,404404,레벨 35 달성,{20011=1;29001=1;gold=20000;5000=10},
2502,Daily Activities - Start Welfare Charmander,2051,32,2,,Challenge Event Instance for 2 times,活動副本戰鬥兩次,Challenge Event Instance for 2 times,404404,이벤트 던전 전투 2회,{20011=1;29001=1;gold=20000;5000=10},
2503,Daily Activities - Start Welfare Charmander,2051,20,1000000,,Spend 1M Gold,金幣消耗1000000,Spend 1M Gold,404404,1000000 코인 소모,{20011=1;29001=1;gold=20000;5000=10},
2504,Daily Activities - Start Welfare Charmander,2051,26,5,,Buy Energy 5 times,購買體力5次,Buy Energy 5 times,404404,체력 5회 구매,{20011=1;29001=1;gold=20000;5000=10},
2505,Daily Activities - Start Welfare Charmander,2051,34,50,,Upgrade Skill 50 times,技能升級50次,Upgrade Skill 50 times,404404,스킬 50회 레벨업,{20011=1;29001=1;gold=20000;5000=10},
2506,Daily Activities - Start Welfare Charmander,2051,41,8,,Challenge Arena 8 times,競技場戰鬥8次,Challenge Arena 8 times,404404,아레나 전투 8회 진행,{20011=1;29001=1;gold=20000;5000=10},
2507,Daily Activities - Start Welfare Charmander,2051,64,5,,Clear level 5 in Aether Paradise,以太樂園通過5層,Clear level 5 in Aether Paradise,Vượt 5 tầng Aether Paradise,에테르파라다이스 5층 클리어,{20011=1;29001=1;gold=20000;5000=10},
2508,Daily Activities - Start Welfare Charmander,2051,18,5,,Gold Touch 5 times,點金5次,Gold Touch 5 times,404404,5회 골드변환,{20011=1;29001=1;gold=20000;5000=10},
2509,Daily Activities - Start Welfare Charmander,2051,86,,{2=4},Complete Dispatch Quest of S and above 2 times,完成S級以上派遣任務2次,Complete Dispatch Quest of S and above 2 times,Hoàn thành nhiệm vụ điều phái S trở lên 2 lần,S급 이상 파견 퀘스트 2회 완료,{20011=1;29001=1;gold=20000;5000=10},
2510,Daily Activities - Start Welfare Charmander,2051,58,1,,Grab Red Envelope once,公會搶紅包1次,Grab Red Envelope once,404404,길드 보너스 1회 얻기,{20011=1;29001=1;gold=20000;5000=10},
2511,Daily Activities - Start Welfare Charmander,2051,21,600,,Diamond total Spend reach 600,累計消耗600鑽石,Diamond total Spend reach 600,404404,600다이아 누적 소모,{20011=1;29001=1;gold=20000;5000=10},
2512,Daily Activities - Start Welfare Charmander,2051,22,600,,Recharge 300 Diamond,儲值600鑽石,Recharge 300 Diamond,404404,600다이아 충전,{21271=2;gold=200000;5000=20},
,,,,,,,,,,,,
2521,Daily Activities - Start Welfare Frog Seed,2052,1,35,,Reach Lv.35,等級達到35級,Reach Lv.35,404404,레벨 35 달성,{20001=1;29001=1;gold=20000;5000=10},
2522,Daily Activities - Start Welfare Frog Seed,2052,32,2,,Challenge Event Instance for 2 times,活動副本戰鬥兩次,Challenge Event Instance for 2 times,404404,이벤트 던전 전투 2회,{20001=1;29001=1;gold=20000;5000=10},
2523,Daily Activities - Start Welfare Frog Seed,2052,20,1000000,,Spend 1M Gold,金幣消耗1000000,Spend 1M Gold,404404,1000000 코인 소모,{20001=1;29001=1;gold=20000;5000=10},
2524,Daily Activities - Start Welfare Frog Seed,2052,26,5,,Buy Energy 5 times,購買體力5次,Buy Energy 5 times,404404,체력 5회 구매,{20001=1;29001=1;gold=20000;5000=10},
2525,Daily Activities - Start Welfare Frog Seed,2052,34,50,,Upgrade Skill 50 times,技能升級50次,Upgrade Skill 50 times,404404,스킬 50회 레벨업,{20001=1;29001=1;gold=20000;5000=10},
2526,Daily Activities - Start Welfare Frog Seed,2052,41,8,,Challenge Arena 8 times,競技場戰鬥8次,Challenge Arena 8 times,404404,아레나 전투 8회 진행,{20001=1;29001=1;gold=20000;5000=10},
2527,Daily Activities - Start Welfare Frog Seed,2052,64,5,,Clear level 5 in Aether Paradise,以太樂園通過5層,Clear level 5 in Aether Paradise,Vượt 5 tầng Aether Paradise,에테르파라다이스 5층 클리어,{20001=1;29001=1;gold=20000;5000=10},
2528,Daily Activities - Start Welfare Frog Seed,2052,18,5,,Gold Touch 5 times,點金5次,Gold Touch 5 times,404404,5회 골드변환,{20001=1;29001=1;gold=20000;5000=10},
2529,Daily Activities - Start Welfare Frog Seed,2052,86,,{2=4},Complete Dispatch Quest of S and above 2 times,完成S級以上派遣任務2次,Complete Dispatch Quest of S and above 2 times,Hoàn thành nhiệm vụ điều phái S trở lên 2 lần,S급 이상 파견 퀘스트 2회 완료,{20001=1;29001=1;gold=20000;5000=10},
2530,Daily Activities - Start Welfare Frog Seed,2052,58,1,,Grab Red Envelope once,公會搶紅包1次,Grab Red Envelope once,404404,길드 보너스 1회 얻기,{20001=1;29001=1;gold=20000;5000=10},
2531,Daily Activities - Start Welfare Frog Seed,2052,21,600,,Diamond total Spend reach 600,累計消耗600鑽石,Diamond total Spend reach 600,404404,600다이아 누적 소모,{20001=1;29001=1;gold=20000;5000=10},
2532,Daily Activities - Start Welfare Frog Seed,2052,22,600,,Recharge 300 Diamond,儲值600鑽石,Recharge 300 Diamond,404404,600다이아 충전,{21271=2;gold=200000;5000=20},
,,,,,,,,,,,,
2541,Daily Activities - Starting Welfare Squirtle Turtle,2053,1,35,,Reach Lv.35,等級達到35級,Reach Lv.35,404404,레벨 35 달성,{20021=1;29001=1;gold=20000;5000=10},
2542,Daily Activities - Starting Welfare Squirtle Turtle,2053,32,2,,Challenge Event Instance for 2 times,活動副本戰鬥兩次,Challenge Event Instance for 2 times,404404,이벤트 던전 전투 2회,{20021=1;29001=1;gold=20000;5000=10},
2543,Daily Activities - Starting Welfare Squirtle Turtle,2053,20,1000000,,Spend 1M Gold,金幣消耗1000000,Spend 1M Gold,404404,1000000 코인 소모,{20021=1;29001=1;gold=20000;5000=10},
2544,Daily Activities - Starting Welfare Squirtle Turtle,2053,26,5,,Buy Energy 5 times,購買體力5次,Buy Energy 5 times,404404,체력 5회 구매,{20021=1;29001=1;gold=20000;5000=10},
2545,Daily Activities - Starting Welfare Squirtle Turtle,2053,34,50,,Upgrade Skill 50 times,技能升級50次,Upgrade Skill 50 times,404404,스킬 50회 레벨업,{20021=1;29001=1;gold=20000;5000=10},
2546,Daily Activities - Starting Welfare Squirtle Turtle,2053,41,8,,Challenge Arena 8 times,競技場戰鬥8次,Challenge Arena 8 times,404404,아레나 전투 8회 진행,{20021=1;29001=1;gold=20000;5000=10},
2547,Daily Activities - Starting Welfare Squirtle Turtle,2053,64,5,,Clear level 5 in Aether Paradise,以太樂園通過5層,Clear level 5 in Aether Paradise,Vượt 5 tầng Aether Paradise,에테르파라다이스 5층 클리어,{20021=1;29001=1;gold=20000;5000=10},
2548,Daily Activities - Starting Welfare Squirtle Turtle,2053,18,5,,Gold Touch 5 times,點金5次,Gold Touch 5 times,404404,5회 골드변환,{20021=1;29001=1;gold=20000;5000=10},
2549,Daily Activities - Starting Welfare Squirtle Turtle,2053,86,,{2=4},Complete Dispatch Quest of S and above 2 times,完成S級以上派遣任務2次,Complete Dispatch Quest of S and above 2 times,Hoàn thành nhiệm vụ điều phái S trở lên 2 lần,S급 이상 파견 퀘스트 2회 완료,{20021=1;29001=1;gold=20000;5000=10},
2550,Daily Activities - Starting Welfare Squirtle Turtle,2053,58,1,,Grab Red Envelope once,公會搶紅包1次,Grab Red Envelope once,404404,길드 보너스 1회 얻기,{20021=1;29001=1;gold=20000;5000=10},
2551,Daily Activities - Starting Welfare Squirtle Turtle,2053,21,600,,Diamond total Spend reach 600,累計消耗600鑽石,Diamond total Spend reach 600,404404,600다이아 누적 소모,{20021=1;29001=1;gold=20000;5000=10},
2552,Daily Activities - Starting Welfare Squirtle Turtle,2053,22,600,,Recharge 300 Diamond,儲值600鑽石,Recharge 300 Diamond,404404,600다이아 충전,{21271=2;gold=200000;5000=20},
,,,,,,,,,,,,
2561,Daily Activities - Starting Work Benefits,2054,1,35,,Reach Lv.35,等級達到35級,Reach Lv.35,404404,레벨 35 달성,{20271=1;29001=1;gold=20000;5000=10},
2562,Daily Activities - Starting Work Benefits,2054,32,2,,Challenge Event Instance for 2 times,活動副本戰鬥兩次,Challenge Event Instance for 2 times,404404,이벤트 던전 전투 2회,{20271=1;29001=1;gold=20000;5000=10},
2563,Daily Activities - Starting Work Benefits,2054,20,1000000,,Spend 1M Gold,金幣消耗1000000,Spend 1M Gold,404404,1000000 코인 소모,{20271=1;29001=1;gold=20000;5000=10},
2564,Daily Activities - Starting Work Benefits,2054,26,5,,Buy Energy 5 times,購買體力5次,Buy Energy 5 times,404404,체력 5회 구매,{20271=1;29001=1;gold=20000;5000=10},
2565,Daily Activities - Starting Work Benefits,2054,34,50,,Upgrade Skill 50 times,技能升級50次,Upgrade Skill 50 times,404404,스킬 50회 레벨업,{20271=1;29001=1;gold=20000;5000=10},
2566,Daily Activities - Starting Work Benefits,2054,41,8,,Challenge Arena 8 times,競技場戰鬥8次,Challenge Arena 8 times,404404,아레나 전투 8회 진행,{20271=1;29001=1;gold=20000;5000=10},
2567,Daily Activities - Starting Work Benefits,2054,64,5,,Clear level 5 in Aether Paradise,以太樂園通過5層,Clear level 5 in Aether Paradise,Vượt 5 tầng Aether Paradise,에테르파라다이스 5층 클리어,{20271=1;29001=1;gold=20000;5000=10},
2568,Daily Activities - Starting Work Benefits,2054,18,5,,Gold Touch 5 times,點金5次,Gold Touch 5 times,404404,5회 골드변환,{20271=1;29001=1;gold=20000;5000=10},
2569,Daily Activities - Starting Work Benefits,2054,86,,{2=4},Complete Dispatch Quest of S and above 2 times,完成S級以上派遣任務2次,Complete Dispatch Quest of S and above 2 times,Hoàn thành nhiệm vụ điều phái S trở lên 2 lần,S급 이상 파견 퀘스트 2회 완료,{20271=1;29001=1;gold=20000;5000=10},
2570,Daily Activities - Starting Work Benefits,2054,58,1,,Grab Red Envelope once,公會搶紅包1次,Grab Red Envelope once,404404,길드 보너스 1회 얻기,{20271=1;29001=1;gold=20000;5000=10},
2571,Daily Activities - Starting Work Benefits,2054,21,600,,Diamond total Spend reach 600,累計消耗600鑽石,Diamond total Spend reach 600,404404,600다이아 누적 소모,{20271=1;29001=1;gold=20000;5000=10},
2572,Daily Activities - Starting Work Benefits,2054,22,600,,Recharge 300 Diamond,儲值600鑽石,Recharge 300 Diamond,404404,600다이아 충전,{21271=2;gold=200000;5000=20},
,,,,,,,,,,,,
2580,Daily Activities - Commencement Welfare Pichu,2055,1,35,,Reach Lv.35,等級達到35級,Reach Lv.35,404404,레벨 35 달성,{20091=1;29001=1;gold=20000;5000=10},
2581,Daily Activities - Commencement Welfare Pichu,2055,32,2,,Challenge Event Instance for 2 times,活動副本戰鬥兩次,Challenge Event Instance for 2 times,404404,이벤트 던전 전투 2회,{20091=1;29001=1;gold=20000;5000=10},
2582,Daily Activities - Commencement Welfare Pichu,2055,20,1000000,,Spend 1M Gold,金幣消耗1000000,Spend 1M Gold,404404,1000000 코인 소모,{20091=1;29001=1;gold=20000;5000=10},
2583,Daily Activities - Commencement Welfare Pichu,2055,26,5,,Buy Energy 5 times,購買體力5次,Buy Energy 5 times,404404,체력 5회 구매,{20091=1;29001=1;gold=20000;5000=10},
2584,Daily Activities - Commencement Welfare Pichu,2055,34,50,,Upgrade Skill 50 times,技能升級50次,Upgrade Skill 50 times,404404,스킬 50회 레벨업,{20091=1;29001=1;gold=20000;5000=10},
2585,Daily Activities - Commencement Welfare Pichu,2055,41,8,,Challenge Arena 8 times,競技場戰鬥8次,Challenge Arena 8 times,404404,아레나 전투 8회 진행,{20091=1;29001=1;gold=20000;5000=10},
2586,Daily Activities - Commencement Welfare Pichu,2055,64,5,,Clear level 5 in Aether Paradise,以太樂園通過5層,Clear level 5 in Aether Paradise,Vượt 5 tầng Aether Paradise,에테르파라다이스 5층 클리어,{20091=1;29001=1;gold=20000;5000=10},
2587,Daily Activities - Commencement Welfare Pichu,2055,18,5,,Gold Touch 5 times,點金5次,Gold Touch 5 times,404404,5회 골드변환,{20091=1;29001=1;gold=20000;5000=10},
2588,Daily Activities - Commencement Welfare Pichu,2055,86,,{2=4},Complete Dispatch Quest of S and above 2 times,完成S級以上派遣任務2次,Complete Dispatch Quest of S and above 2 times,Hoàn thành nhiệm vụ điều phái S trở lên 2 lần,S급 이상 파견 퀘스트 2회 완료,{20091=1;29001=1;gold=20000;5000=10},
2589,Daily Activities - Commencement Welfare Pichu,2055,58,1,,Grab Red Envelope once,公會搶紅包1次,Grab Red Envelope once,404404,길드 보너스 1회 얻기,{20091=1;29001=1;gold=20000;5000=10},
2590,Daily Activities - Commencement Welfare Pichu,2055,21,600,,Diamond total Spend reach 600,累計消耗600鑽石,Diamond total Spend reach 600,404404,600다이아 누적 소모,{20091=1;29001=1;gold=20000;5000=10},
2591,Daily Activities - Commencement Welfare Pichu,2055,22,600,,Recharge 300 Diamond,儲值600鑽石,Recharge 300 Diamond,404404,600다이아 충전,{21271=2;gold=200000;5000=20},
,,,,,,,,,,,,
2600,Daily Activities - Commencement Welfare Chrysanthemum,2056,1,35,,Reach Lv.35,等級達到35級,Reach Lv.35,404404,레벨 35 달성,{20781=1;29001=1;gold=20000;5000=10},
2601,Daily Activities - Commencement Welfare Chrysanthemum,2056,32,2,,Challenge Event Instance for 2 times,活動副本戰鬥兩次,Challenge Event Instance for 2 times,404404,이벤트 던전 전투 2회,{20781=1;29001=1;gold=20000;5000=10},
2602,Daily Activities - Commencement Welfare Chrysanthemum,2056,20,1000000,,Spend 1M Gold,金幣消耗1000000,Spend 1M Gold,404404,1000000 코인 소모,{20781=1;29001=1;gold=20000;5000=10},
2603,Daily Activities - Commencement Welfare Chrysanthemum,2056,26,5,,Buy Energy 5 times,購買體力5次,Buy Energy 5 times,404404,체력 5회 구매,{20781=1;29001=1;gold=20000;5000=10},
2604,Daily Activities - Commencement Welfare Chrysanthemum,2056,34,50,,Upgrade Skill 50 times,技能升級50次,Upgrade Skill 50 times,404404,스킬 50회 레벨업,{20781=1;29001=1;gold=20000;5000=10},
2605,Daily Activities - Commencement Welfare Chrysanthemum,2056,41,8,,Challenge Arena 8 times,競技場戰鬥8次,Challenge Arena 8 times,404404,아레나 전투 8회 진행,{20781=1;29001=1;gold=20000;5000=10},
2606,Daily Activities - Commencement Welfare Chrysanthemum,2056,64,5,,Clear level 5 in Aether Paradise,以太樂園通過5層,Clear level 5 in Aether Paradise,Vượt 5 tầng Aether Paradise,에테르파라다이스 5층 클리어,{20781=1;29001=1;gold=20000;5000=10},
2607,Daily Activities - Commencement Welfare Chrysanthemum,2056,18,5,,Gold Touch 5 times,點金5次,Gold Touch 5 times,404404,5회 골드변환,{20781=1;29001=1;gold=20000;5000=10},
2608,Daily Activities - Commencement Welfare Chrysanthemum,2056,86,,{2=4},Complete Dispatch Quest of S and above 2 times,完成S級以上派遣任務2次,Complete Dispatch Quest of S and above 2 times,Hoàn thành nhiệm vụ điều phái S trở lên 2 lần,S급 이상 파견 퀘스트 2회 완료,{20781=1;29001=1;gold=20000;5000=10},
2609,Daily Activities - Commencement Welfare Chrysanthemum,2056,58,1,,Grab Red Envelope once,公會搶紅包1次,Grab Red Envelope once,404404,길드 보너스 1회 얻기,{20781=1;29001=1;gold=20000;5000=10},
2610,Daily Activities - Commencement Welfare Chrysanthemum,2056,21,600,,Diamond total Spend reach 600,累計消耗600鑽石,Diamond total Spend reach 600,404404,600다이아 누적 소모,{20781=1;29001=1;gold=20000;5000=10},
2611,Daily Activities - Commencement Welfare Chrysanthemum,2056,22,600,,Recharge 300 Diamond,儲值600鑽石,Recharge 300 Diamond,404404,600다이아 충전,{21271=2;gold=200000;5000=20},
,,,,,,,,,,,,
2620,Daily Activities - Start Welfare Ice Snow Dragon,2057,1,35,,Reach Lv.35,等級達到35級,Reach Lv.35,404404,레벨 35 달성,{23501=1;29001=1;gold=20000;5000=10},
2621,Daily Activities - Start Welfare Ice Snow Dragon,2057,32,2,,Challenge Event Instance for 2 times,活動副本戰鬥兩次,Challenge Event Instance for 2 times,404404,이벤트 던전 전투 2회,{23501=1;29001=1;gold=20000;5000=10},
2622,Daily Activities - Start Welfare Ice Snow Dragon,2057,20,1000000,,Spend 1M Gold,金幣消耗1000000,Spend 1M Gold,404404,1000000 코인 소모,{23501=1;29001=1;gold=20000;5000=10},
2623,Daily Activities - Start Welfare Ice Snow Dragon,2057,26,5,,Buy Energy 5 times,購買體力5次,Buy Energy 5 times,404404,체력 5회 구매,{23501=1;29001=1;gold=20000;5000=10},
2624,Daily Activities - Start Welfare Ice Snow Dragon,2057,34,50,,Upgrade Skill 50 times,技能升級50次,Upgrade Skill 50 times,404404,스킬 50회 레벨업,{23501=1;29001=1;gold=20000;5000=10},
2625,Daily Activities - Start Welfare Ice Snow Dragon,2057,41,8,,Challenge Arena 8 times,競技場戰鬥8次,Challenge Arena 8 times,404404,아레나 전투 8회 진행,{23501=1;29001=1;gold=20000;5000=10},
2626,Daily Activities - Start Welfare Ice Snow Dragon,2057,64,5,,Clear level 5 in Aether Paradise,以太樂園通過5層,Clear level 5 in Aether Paradise,Vượt 5 tầng Aether Paradise,에테르파라다이스 5층 클리어,{23501=1;29001=1;gold=20000;5000=10},
2627,Daily Activities - Start Welfare Ice Snow Dragon,2057,18,5,,Gold Touch 5 times,點金5次,Gold Touch 5 times,404404,5회 골드변환,{23501=1;29001=1;gold=20000;5000=10},
2628,Daily Activities - Start Welfare Ice Snow Dragon,2057,86,,{2=4},Complete Dispatch Quest of S and above 2 times,完成S級以上派遣任務2次,Complete Dispatch Quest of S and above 2 times,Hoàn thành nhiệm vụ điều phái S trở lên 2 lần,S급 이상 파견 퀘스트 2회 완료,{23501=1;29001=1;gold=20000;5000=10},
2629,Daily Activities - Start Welfare Ice Snow Dragon,2057,58,1,,Grab Red Envelope once,公會搶紅包1次,Grab Red Envelope once,404404,길드 보너스 1회 얻기,{23501=1;29001=1;gold=20000;5000=10},
2630,Daily Activities - Start Welfare Ice Snow Dragon,2057,21,600,,Diamond total Spend reach 600,累計消耗600鑽石,Diamond total Spend reach 600,404404,600다이아 누적 소모,{23501=1;29001=1;gold=20000;5000=10},
2631,Daily Activities - Start Welfare Ice Snow Dragon,2057,22,600,,Recharge 300 Diamond,儲值600鑽石,Recharge 300 Diamond,404404,600다이아 충전,{21271=2;gold=200000;5000=20},
,,,,,,,,,,,,
2640,Daily Activities - Commencement Welfare Fearless Boys,2058,1,35,,Reach Lv.35,等級達到35級,Reach Lv.35,404404,레벨 35 달성,{20461=1;29001=1;gold=20000;5000=10},
2641,Daily Activities - Commencement Welfare Fearless Boys,2058,32,2,,Challenge Event Instance for 2 times,活動副本戰鬥兩次,Challenge Event Instance for 2 times,404404,이벤트 던전 전투 2회,{20461=1;29001=1;gold=20000;5000=10},
2642,Daily Activities - Commencement Welfare Fearless Boys,2058,20,1000000,,Spend 1M Gold,金幣消耗1000000,Spend 1M Gold,404404,1000000 코인 소모,{20461=1;29001=1;gold=20000;5000=10},
2643,Daily Activities - Commencement Welfare Fearless Boys,2058,26,5,,Buy Energy 5 times,購買體力5次,Buy Energy 5 times,404404,체력 5회 구매,{20461=1;29001=1;gold=20000;5000=10},
2644,Daily Activities - Commencement Welfare Fearless Boys,2058,34,50,,Upgrade Skill 50 times,技能升級50次,Upgrade Skill 50 times,404404,스킬 50회 레벨업,{20461=1;29001=1;gold=20000;5000=10},
2645,Daily Activities - Commencement Welfare Fearless Boys,2058,41,8,,Challenge Arena 8 times,競技場戰鬥8次,Challenge Arena 8 times,404404,아레나 전투 8회 진행,{20461=1;29001=1;gold=20000;5000=10},
2646,Daily Activities - Commencement Welfare Fearless Boys,2058,64,5,,Clear level 5 in Aether Paradise,以太樂園通過5層,Clear level 5 in Aether Paradise,Vượt 5 tầng Aether Paradise,에테르파라다이스 5층 클리어,{20461=1;29001=1;gold=20000;5000=10},
2647,Daily Activities - Commencement Welfare Fearless Boys,2058,18,5,,Gold Touch 5 times,點金5次,Gold Touch 5 times,404404,5회 골드변환,{20461=1;29001=1;gold=20000;5000=10},
2648,Daily Activities - Commencement Welfare Fearless Boys,2058,86,,{2=4},Complete Dispatch Quest of S and above 2 times,完成S級以上派遣任務2次,Complete Dispatch Quest of S and above 2 times,Hoàn thành nhiệm vụ điều phái S trở lên 2 lần,S급 이상 파견 퀘스트 2회 완료,{20461=1;29001=1;gold=20000;5000=10},
2649,Daily Activities - Commencement Welfare Fearless Boys,2058,58,1,,Grab Red Envelope once,公會搶紅包1次,Grab Red Envelope once,404404,길드 보너스 1회 얻기,{20461=1;29001=1;gold=20000;5000=10},
2650,Daily Activities - Commencement Welfare Fearless Boys,2058,21,600,,Diamond total Spend reach 600,累計消耗600鑽石,Diamond total Spend reach 600,404404,600다이아 누적 소모,{20461=1;29001=1;gold=20000;5000=10},
2651,Daily Activities - Commencement Welfare Fearless Boys,2058,22,600,,Recharge 300 Diamond,儲值600鑽石,Recharge 300 Diamond,404404,600다이아 충전,{21271=2;gold=200000;5000=20},
,,,,,,,,,,,,
2660,Daily Activities - Commencement Welfare Tinkering Veteran,2059,1,35,,Reach Lv.35,等級達到35級,Reach Lv.35,404404,레벨 35 달성,{22631=1;29001=1;gold=20000;5000=10},
2661,Daily Activities - Commencement Welfare Tinkering Veteran,2059,32,2,,Challenge Event Instance for 2 times,活動副本戰鬥兩次,Challenge Event Instance for 2 times,404404,이벤트 던전 전투 2회,{22631=1;29001=1;gold=20000;5000=10},
2662,Daily Activities - Commencement Welfare Tinkering Veteran,2059,20,1000000,,Spend 1M Gold,金幣消耗1000000,Spend 1M Gold,404404,1000000 코인 소모,{22631=1;29001=1;gold=20000;5000=10},
2663,Daily Activities - Commencement Welfare Tinkering Veteran,2059,26,5,,Buy Energy 5 times,購買體力5次,Buy Energy 5 times,404404,체력 5회 구매,{22631=1;29001=1;gold=20000;5000=10},
2664,Daily Activities - Commencement Welfare Tinkering Veteran,2059,34,50,,Upgrade Skill 50 times,技能升級50次,Upgrade Skill 50 times,404404,스킬 50회 레벨업,{22631=1;29001=1;gold=20000;5000=10},
2665,Daily Activities - Commencement Welfare Tinkering Veteran,2059,41,8,,Challenge Arena 8 times,競技場戰鬥8次,Challenge Arena 8 times,404404,아레나 전투 8회 진행,{22631=1;29001=1;gold=20000;5000=10},
2666,Daily Activities - Commencement Welfare Tinkering Veteran,2059,64,5,,Clear level 5 in Aether Paradise,以太樂園通過5層,Clear level 5 in Aether Paradise,Vượt 5 tầng Aether Paradise,에테르파라다이스 5층 클리어,{22631=1;29001=1;gold=20000;5000=10},
2667,Daily Activities - Commencement Welfare Tinkering Veteran,2059,18,5,,Gold Touch 5 times,點金5次,Gold Touch 5 times,404404,5회 골드변환,{22631=1;29001=1;gold=20000;5000=10},
2668,Daily Activities - Commencement Welfare Tinkering Veteran,2059,86,,{2=4},Complete Dispatch Quest of S and above 2 times,完成S級以上派遣任務2次,Complete Dispatch Quest of S and above 2 times,Hoàn thành nhiệm vụ điều phái S trở lên 2 lần,S급 이상 파견 퀘스트 2회 완료,{22631=1;29001=1;gold=20000;5000=10},
2669,Daily Activities - Commencement Welfare Tinkering Veteran,2059,58,1,,Grab Red Envelope once,公會搶紅包1次,Grab Red Envelope once,404404,길드 보너스 1회 얻기,{22631=1;29001=1;gold=20000;5000=10},
2670,Daily Activities - Commencement Welfare Tinkering Veteran,2059,21,600,,Diamond total Spend reach 600,累計消耗600鑽石,Diamond total Spend reach 600,404404,600다이아 누적 소모,{22631=1;29001=1;gold=20000;5000=10},
2671,Daily Activities - Commencement Welfare Tinkering Veteran,2059,22,600,,Recharge 300 Diamond,儲值600鑽石,Recharge 300 Diamond,404404,600다이아 충전,{21271=2;gold=200000;5000=20},
,,,,,,,,,,,,
2680,Daily Activities - Commencement Welfare Chrysanthemum,2060,1,35,,Reach Lv.35,等級達到35級,Reach Lv.35,404404,레벨 35 달성,{20781=1;29001=1;gold=20000;5000=10},
2681,Daily Activities - Commencement Welfare Chrysanthemum,2060,32,2,,Challenge Event Instance for 2 times,活動副本戰鬥兩次,Challenge Event Instance for 2 times,404404,이벤트 던전 전투 2회,{20781=1;29001=1;gold=20000;5000=10},
2682,Daily Activities - Commencement Welfare Chrysanthemum,2060,20,1000000,,Spend 1M Gold,金幣消耗1000000,Spend 1M Gold,404404,1000000 코인 소모,{20781=1;29001=1;gold=20000;5000=10},
2683,Daily Activities - Commencement Welfare Chrysanthemum,2060,26,5,,Buy Energy 5 times,購買體力5次,Buy Energy 5 times,404404,체력 5회 구매,{20781=1;29001=1;gold=20000;5000=10},
2684,Daily Activities - Commencement Welfare Chrysanthemum,2060,34,50,,Upgrade Skill 50 times,技能升級50次,Upgrade Skill 50 times,404404,스킬 50회 레벨업,{20781=1;29001=1;gold=20000;5000=10},
2685,Daily Activities - Commencement Welfare Chrysanthemum,2060,41,8,,Challenge Arena 8 times,競技場戰鬥8次,Challenge Arena 8 times,404404,아레나 전투 8회 진행,{20781=1;29001=1;gold=20000;5000=10},
2686,Daily Activities - Commencement Welfare Chrysanthemum,2060,64,5,,Clear level 5 in Aether Paradise,以太樂園通過5層,Clear level 5 in Aether Paradise,Vượt 5 tầng Aether Paradise,에테르파라다이스 5층 클리어,{20781=1;29001=1;gold=20000;5000=10},
