"﻿变量名",huodongID,daySum,themeType,themeName,themeName_tw,themeName_en,themeName_vn,themeName_kr,tabIndex,tabName,tabName_tw,tabName_en,tabName_vn,tabName_kr,countType,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,award,costMap,priceShow,buyMax
305,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,0,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,40,,Attain level 40,等級達到40,Attain level 40,404404,레벨 40 달성,{rmb=100;gold=16000;12=20},,,
306,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,1,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{2=3},Own  2 3-star Pokémons,獲得2個3星精靈,Own  2 3-star Pokémons,404404,3성 포켓몬 2마리 획득,{20771=1;502=1;gold=10000},,,
307,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,1,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{4=3},Own  4 3-star Pokémons,獲得4個3星精靈,Own  4 3-star Pokémons,404404,3성 포켓몬 4마리 획득,{20771=1;451=10;gold=20000},,,
308,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,1,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{6=3},Own  6 3-star Pokémons,獲得6個3星精靈,Own  6 3-star Pokémons,404404,3성 포켓몬 6마리 획득,{20771=1;501=2;gold=20000},,,
309,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,1,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{2=4},Own  2 4-star Pokémons,獲得2個4星精靈,Own  2 4-star Pokémons,404404,4성 포켓몬 2마리 획득,{20771=1;451=10;gold=70000},,,
310,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,1,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{4=4},Own  4 4-star Pokémons,獲得4個4星精靈,Own  4 4-star Pokémons,404404,4성 포켓몬 4마리 획득,{20771=1;452=10;gold=100000},,,
311,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,1,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{6=4},Own  6 4-star Pokémons,獲得6個4星精靈,Own  6 4-star Pokémons,404404,4성 포켓몬 6마리 획득,{20771=1;501=5;gold=100000},,,
312,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,1,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{1=5},Own  1 5-star Pokémons,獲得1個5星精靈,Own  1 5-star Pokémons,404404,5성 포켓몬 1마리 획득,{20771=1;502=1;gold=100000},,,
313,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,1,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{3=5},Own  3 5-star Pokémons,獲得3個5星精靈,Own  3 5-star Pokémons,404404,5성 포켓몬 3마리 획득,{20771=1;talent_point=15;gold=100000},,,
314,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,1,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{2=6},Own  2 6-star Pokémons,獲得2個6星精靈,Own  2 6-star Pokémons,404404,6성 포켓몬 2마리 획득,{20771=1;901=50;gold=200000},,,
315,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,1,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{3=6},Own  3 6-star Pokémons,獲得3個6星精靈,Own  3 6-star Pokémons,404404,6성 포켓몬 3마리 획득,{20771=1;902=50;gold=300000},,,
316,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,2,Trinket Star,飾品升星,Trinket Star,Trang sức thăng tinh,액세서리 승급,1,12,,{3=1},Upgrade 3 trinkets to 1 stars,3件飾品升級到1星,Upgrade 3 trinkets to 1 stars,404404,액세서리 3개 1성 달성,{20771=1;501=1;gold=10000},,,
317,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,2,Trinket Star,飾品升星,Trinket Star,Trang sức thăng tinh,액세서리 승급,1,12,,{8=1},Upgrade 8 trinkets to 1 stars,8件飾品升級到1星,Upgrade 8 trinkets to 1 stars,404404,액세서리 8개 1성 달성,{20771=1;501=1;gold=30000},,,
318,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,2,Trinket Star,飾品升星,Trinket Star,Trang sức thăng tinh,액세서리 승급,1,12,,{15=1},Upgrade 15 trinkets to 1 stars,15件飾品升級到1星,Upgrade 15 trinkets to 1 stars,404404,액세서리 15개 1성 달성,{20771=1;501=1;gold=50000},,,
319,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,2,Trinket Star,飾品升星,Trinket Star,Trang sức thăng tinh,액세서리 승급,1,12,,{3=2},Upgrade 3 trinkets to 2 stars,3件飾品升級到2星,Upgrade 3 trinkets to 2 stars,404404,액세서리 3개 2성 달성,{20771=1;501=1;gold=70000},,,
320,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,2,Trinket Star,飾品升星,Trinket Star,Trang sức thăng tinh,액세서리 승급,1,12,,{8=2},Upgrade 8 trinkets to 2 stars,8件飾品升級到2星,Upgrade 8 trinkets to 2 stars,404404,액세서리 8개 2성 달성,{20771=1;501=1;gold=90000},,,
321,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,2,Trinket Star,飾品升星,Trinket Star,Trang sức thăng tinh,액세서리 승급,1,12,,{15=2},Upgrade 15 trinkets to 2 stars,15件飾品升級到2星,Upgrade 15 trinkets to 2 stars,404404,액세서리 15개 2성 달성,{20771=1;501=1;gold=100000},,,
322,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,2,Trinket Star,飾品升星,Trinket Star,Trang sức thăng tinh,액세서리 승급,1,12,,{3=3},Upgrade 3 trinkets to 3 stars,3件飾品升級到3星,Upgrade 3 trinkets to 3 stars,404404,액세서리 3개 3성 달성,{20771=1;501=1;gold=100000},,,
323,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,2,Trinket Star,飾品升星,Trinket Star,Trang sức thăng tinh,액세서리 승급,1,12,,{8=3},Upgrade 8 trinkets to 3 stars,8件飾品升級到3星,Upgrade 8 trinkets to 3 stars,404404,액세서리 8개 3성 달성,{20771=1;501=1;gold=100000},,,
324,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,2,Trinket Star,飾品升星,Trinket Star,Trang sức thăng tinh,액세서리 승급,1,12,,{15=3},Upgrade 15 trinkets to 3 stars,15件飾品升級到3星,Upgrade 15 trinkets to 3 stars,404404,액세서리 15개 3성 달성,{20771=1;501=2;gold=100000},,,
325,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,2,Trinket Star,飾品升星,Trinket Star,Trang sức thăng tinh,액세서리 승급,1,12,,{8=4},Upgrade 8 trinkets to 4 stars,8件飾品升級到4星,Upgrade 8 trinkets to 4 stars,404404,액세서리 8개 4성 달성,{20771=1;501=2;gold=100000},,,
326,12001,5,4,Day5,第5天,Day5,Thứ 5 Trời,5일 차,3,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,3,72,,,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,{902=60;901=30},{rmb=800},{rmb=2000},
,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,15,1,,Daily login Deluxe Pack,每日登錄豪禮,Daily login Deluxe Pack,404404,매일 로그인 호화 선물,{rmb=200;talent_point=10;14=15;gold=100000},,,
328,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,0,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,45,,Attain level 45,等級達到45,Attain level 45,404404,레벨 45 달성,{rmb=100;gold=18000;12=20},,,
329,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,1,Purchase energy,購買體力,Purchase energy,Mua sức chịu đựng,체력 구매,1,30,2,,Buy Energy 2 times,購買體力2次,Buy Energy 2 times,404404,체력 2회 구매,{20771=1;515=1;gold=10000},,,
330,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,1,Purchase energy,購買體力,Purchase energy,Mua sức chịu đựng,체력 구매,1,30,4,,Buy Energy 4 times,購買體力4次,Buy Energy 4 times,404404,체력 4회 구매,{20771=1;515=1;gold=10000},,,
331,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,1,Purchase energy,購買體力,Purchase energy,Mua sức chịu đựng,체력 구매,1,30,6,,Buy Energy 6 times,購買體力6次,Buy Energy 6 times,404404,체력 6회 구매,{20771=1;515=1;gold=10000},,,
332,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,1,Purchase energy,購買體力,Purchase energy,Mua sức chịu đựng,체력 구매,1,30,10,,Buy Energy 10 times,購買體力10次,Buy Energy 10 times,404404,체력 10회 구매,{20771=1;515=2;gold=20000},,,
333,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,1,Purchase energy,購買體力,Purchase energy,Mua sức chịu đựng,체력 구매,1,30,15,,Buy Energy 15 times,購買體力15次,Buy Energy 15 times,404404,체력 15회 구매,{20771=1;515=2;gold=20000},,,
334,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,1,Purchase energy,購買體力,Purchase energy,Mua sức chịu đựng,체력 구매,1,30,20,,Buy Energy 20 times,購買體力20次,Buy Energy 20 times,404404,체력 20회 구매,{20771=1;515=2;gold=20000},,,
335,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,1,Purchase energy,購買體力,Purchase energy,Mua sức chịu đựng,체력 구매,1,30,30,,Buy Energy 30 times,購買體力30次,Buy Energy 30 times,404404,체력 30회 구매,{20771=1;515=3;gold=30000},,,
336,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,2,Treasure Pot Times,聚寶次數,Treasure Pot Times,404404,보물단지 횟수,1,18,2,,Get Treasure Pot Coins 2 times,聚寶金幣2次,Get Treasure Pot Coins 2 times,404404,보물단지 코인 2회,{20771=1;900=10;rmb=20},,,
337,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,2,Treasure Pot Times,聚寶次數,Treasure Pot Times,404404,보물단지 횟수,1,18,4,,Get Treasure Pot Coins 4 times,聚寶金幣4次,Get Treasure Pot Coins 4 times,404404,보물단지 코인 4회,{20771=1;900=10;rmb=20},,,
338,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,2,Treasure Pot Times,聚寶次數,Treasure Pot Times,404404,보물단지 횟수,1,18,8,,Get Treasure Pot Coins 8 times,聚寶金幣8次,Get Treasure Pot Coins 8 times,404404,보물단지 코인 8회,{20771=1;900=15;rmb=40},,,
339,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,2,Treasure Pot Times,聚寶次數,Treasure Pot Times,404404,보물단지 횟수,1,18,12,,Get Treasure Pot Coins 12 times,聚寶金幣12次,Get Treasure Pot Coins 12 times,404404,보물단지 코인 12회,{20771=1;900=15;rmb=40},,,
340,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,2,Treasure Pot Times,聚寶次數,Treasure Pot Times,404404,보물단지 횟수,1,18,20,,Get Treasure Pot Coins 20 times,聚寶金幣20次,Get Treasure Pot Coins 20 times,404404,보물단지 코인 20회,{20771=1;900=20;rmb=80},,,
341,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,2,Treasure Pot Times,聚寶次數,Treasure Pot Times,404404,보물단지 횟수,1,18,30,,Get Treasure Pot Coins 30 times,聚寶金幣30次,Get Treasure Pot Coins 30 times,404404,보물단지 코인 30회,{20771=1;900=20;rmb=80},,,
342,12001,6,5,Day6,第6天,Day6,Thứ 6 Trời,6일 차,3,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,3,72,,,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,{talent_point=20},{rmb=1200},{rmb=5000},
,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,15,1,,Daily login Deluxe Pack,每日登錄豪禮,Daily login Deluxe Pack,404404,매일 로그인 호화 선물,{rmb=200;20771=50;14=20;gold=100000},,,
344,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,0,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,50,,Attain level 50,等級達到50,Attain level 50,404404,레벨 50 달성,{rmb=100;gold=20000;12=20},,,
345,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,1,Dungeon challenge,副本挑戰,Dungeon challenge,Phó bản khiêu chiến,던전 도전,1,29,30,,Challenge Normal dungeon 30 times,普通副本挑戰30次,Challenge Normal dungeon 30 times,404404,일반 던전 30회 도전,{20771=1;rmb=10;930=5;5000=10},,,
346,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,1,Dungeon challenge,副本挑戰,Dungeon challenge,Phó bản khiêu chiến,던전 도전,1,29,60,,Challenge Normal dungeon 60 times,普通副本挑戰60次,Challenge Normal dungeon 60 times,404404,일반 던전 60회 도전,{20771=1;rmb=20;930=5;5000=12},,,
347,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,1,Dungeon challenge,副本挑戰,Dungeon challenge,Phó bản khiêu chiến,던전 도전,1,29,90,,Challenge Normal dungeon 90 times,普通副本挑戰90次,Challenge Normal dungeon 90 times,404404,일반 던전 90회 도전,{20771=1;rmb=30;930=5;5000=14},,,
348,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,1,Dungeon challenge,副本挑戰,Dungeon challenge,Phó bản khiêu chiến,던전 도전,1,29,150,,Challenge Normal dungeon 150 times,普通副本挑戰150次,Challenge Normal dungeon 150 times,404404,일반 던전 150회 도전,{20771=1;rmb=40;930=10;5000=16},,,
349,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,1,Dungeon challenge,副本挑戰,Dungeon challenge,Phó bản khiêu chiến,던전 도전,1,29,200,,Challenge Normal dungeon 200 times,普通副本挑戰200次,Challenge Normal dungeon 200 times,404404,일반 던전 200회 도전,{20771=1;rmb=50;930=10;5000=18},,,
350,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,1,Dungeon challenge,副本挑戰,Dungeon challenge,Phó bản khiêu chiến,던전 도전,1,29,250,,Challenge Normal dungeon 250 times,普通副本挑戰250次,Challenge Normal dungeon 250 times,404404,일반 던전 250회 도전,{20771=1;rmb=60;930=20;5000=20},,,
351,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,1,Dungeon challenge,副本挑戰,Dungeon challenge,Phó bản khiêu chiến,던전 도전,1,29,300,,Challenge Normal dungeon 300 times,普通副本挑戰300次,Challenge Normal dungeon 300 times,404404,일반 던전 300회 도전,{20771=1;rmb=90;930=20;5000=30},,,
352,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,1,Dungeon challenge,副本挑戰,Dungeon challenge,Phó bản khiêu chiến,던전 도전,1,29,400,,Challenge Normal dungeon 400 times,普通副本挑戰400次,Challenge Normal dungeon 400 times,404404,일반 던전 400회 도전,{20771=1;rmb=120;930=30;5000=50},,,
353,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,30,15,,Challenge Elite dungeon 15 times,困难副本挑戰15次,Challenge Elite dungeon 15 times,404404,하드 던전 15회 도전,{20771=1;100=1;902=6;gold=60000},,,
354,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,30,30,,Challenge Elite dungeon 30 times,困难副本挑戰30次,Challenge Elite dungeon 30 times,404404,하드 던전 30회 도전,{20771=1;100=2;902=8;gold=80000},,,
355,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,30,45,,Challenge Elite dungeon 45 times,困难副本挑戰45次,Challenge Elite dungeon 45 times,404404,하드 던전 45회 도전,{20771=1;100=3;902=10;gold=100000},,,
356,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,30,60,,Challenge Elite dungeon 60 times,困难副本挑戰60次,Challenge Elite dungeon 60 times,404404,하드 던전 60회 도전,{20771=1;100=4;902=12;gold=120000},,,
357,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,30,90,,Challenge Elite dungeon 90 times,困难副本挑戰90次,Challenge Elite dungeon 90 times,404404,하드 던전 90회 도전,{20771=1;100=5;902=14;gold=140000},,,
358,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,30,120,,Challenge Elite dungeon 120 times,困难副本挑戰120次,Challenge Elite dungeon 120 times,404404,하드 던전 120회 도전,{20771=1;100=6;902=16;gold=160000},,,
359,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,30,150,,Challenge Elite dungeon 150 times,困难副本挑戰150次,Challenge Elite dungeon 150 times,404404,하드 던전 150회 도전,{20771=1;100=7;902=20;gold=200000},,,
360,12001,7,6,Day7,第7天,Day7,Thứ 7 Trời,7일 차,3,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,3,72,,,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,{501=8},{rmb=1200},{rmb=5000},
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,15,1,,Daily login Deluxe Pack,每日登錄豪禮,Daily login Deluxe Pack,404404,매일 로그인 호화 선물,{rmb=50;5000=5;13=10;gold=10000},,,
10002,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,1,20,,Attain level 20,等級達到20,Attain level 20,404404,레벨 20 달성,{rmb=50;12=20;gold=10000},,,
10003,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,22,1000,,Buy 1000 diamonds in total,累積儲值1000鑽石,Buy 1000 diamonds in total,404404,1000다이아 누적 충전,{941=1;2103=10},,,
10004,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,6,10000,,"Reach 10000 combat power ",戰力到達10000,"Reach 10000 combat power ",404404,전투력 10000 달성,{rmb=50;503=2},,,
10005,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10105,,Clear Chapter 1-3,通過第一章3關,Clear Chapter 1-3,404404,챕터1 스테이지3 클리어,{20771=1;5001=1;5002=1;5003=1},,,
10006,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10206,,Clear Chapter 2-8,通過第二章8關,Clear Chapter 2-8,404404,챕터2 스테이지8 클리어,{20771=1;5001=2;5002=2;5003=2},,,
10007,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10308,,Clear Chapter 3-8,通過第三章8關,Clear Chapter 3-8,404404,챕터3 스테이지8 클리어,{20771=1;5004=2;5005=2;5006=2},,,
10008,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10408,,"Clear Chapter 4-8 ",通過第四章8關,"Clear Chapter 4-8 ",404404,챕터4 스테이지8 클리어,{20771=1;5004=2;5005=2;5006=2},,,
10009,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10510,,Clear Chapter 5-10,通過第五章10關,Clear Chapter 5-10,404404,챕터5 스테이지10 클리어,{20771=1;5007=2;5008=2;5009=2},,,
10010,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10610,,Clear Chapter 6-10,通過第六章10關,Clear Chapter 6-10,404404,챕터6 스테이지10 클리어,{20771=1;5007=2;5008=2;5009=2},,,
10011,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10710,,Clear Chapter 7-10,通過第七章10關,Clear Chapter 7-10,404404,챕터7 스테이지10 클리어,{20771=1;5010=3;5011=3;5012=3},,,
10012,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10810,,Clear Chapter 8-10,通過第八章10關,Clear Chapter 8-10,404404,챕터8 스테이지10 클리어,{20771=1;5010=3;5011=3;5012=3},,,
10013,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10910,,Clear Chapter 9-10,通過第九章10關,Clear Chapter 9-10,404404,챕터9 스테이지10 클리어,{20771=1;5010=3;5011=3;5012=3},,,
10014,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,2,20103,,Clear Chapter 1-3 of Hard level,通過困難第一章3關,Clear Chapter 1-3 of Hard level,404404,하드 챕터1 스테이지3 클리어,{20771=1;100=1;gold=6000},,,
10015,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,2,20203,,Clear Chapter 2-3 of Hard mode,通過困難第二章3關,Clear Chapter 2-3 of Hard mode,404404,하드 챕터2 스테이지3 클리어,{20771=1;100=1;gold=6000},,,
10016,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,2,20304,,Clear Chapter 3-4 of Hard mode,通過困難第三章4關,Clear Chapter 3-4 of Hard mode,404404,하드 챕터3 스테이지4 클리어,{20771=1;100=1;gold=6000},,,
10017,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,2,20404,,Clear Chapter 4-4 of Hard level,通過困難第四章4關,Clear Chapter 4-4 of Hard level,404404,하드 챕터4 스테이지4 클리어,{20771=1;100=1;gold=6000},,,
10018,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,2,20504,,Clear Chapter 5-5 of Hard mode,通過困難第五章5關,Clear Chapter 5-5 of Hard mode,404404,하드 챕터5 스테이지5 클리어,{20771=1;100=1;gold=6000},,,
10019,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,2,20605,,Clear Chapter 6-5 of Hard mode,通過困難第六章5關,Clear Chapter 6-5 of Hard mode,404404,하드 챕터6 스테이지5 클리어,{20771=1;100=1;gold=10000},,,
10020,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,2,20705,,Clear Chapter 7-5 of Hard mode,通過困難第七章5關,Clear Chapter 7-5 of Hard mode,404404,하드 챕터7 스테이지5 클리어,{20771=1;100=1;gold=20000},,,
10021,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,2,20805,,Clear Chapter 8-5 of Hard level,通過困難第八章5關,Clear Chapter 8-5 of Hard level,404404,하드 챕터8 스테이지5 클리어,{20771=1;100=1;gold=30000},,,
10022,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Elite Stage,困难挑戰,Elite Stage,404404,하드 도전,1,2,20905,,Clear Chapter 9-5 of Hard mode,通過困難第九章5關,Clear Chapter 9-5 of Hard mode,404404,하드 챕터9 스테이지5 클리어,{20771=1;100=1;gold=30000},,,
10023,12002,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,3,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,3,72,,,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,{100=5;500=1;14=10},{rmb=150},{rmb=380},
,,,,,,,,,,,,,,,第2天,,,,,,,,,{},,,
10101,12002,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,15,2,,Daily login Deluxe Pack,每日登錄豪禮,Daily login Deluxe Pack,404404,매일 로그인 호화 선물,{rmb=50;930=5;13=10;gold=10000},,,
10102,12002,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,1,25,,Attain level 25,等級達到25,Attain level 25,404404,레벨 25 달성,{rmb=50;12=20;gold=10000},,,
10103,12002,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,22,2000,,Buy 2000 diamonds in total,累積儲值2000鑽石,Buy 2000 diamonds in total,404404,2000다이아 누적 충전,{930=60;5000=100;gold=1000000},,,
10104,12002,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,6,20000,,"Reach 20000 combat power ",戰力到達20000,"Reach 20000 combat power ",404404,전투력 20000 달성,{rmb=50;520=2},,,
10105,12002,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{3=3},Upgrade 3Pokémons to Uncommon +1,3個精靈升級至綠+1品質,Upgrade 3Pokémons to Uncommon +1,404404,포켓몬 3마리 초록색+1 등급 달성,{20771=1;5000=5;rmb=20},,,
10106,12002,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{5=2},Upgrade 5 Pokémons to Uncommon,5個精靈升級至綠色品質,Upgrade 5 Pokémons to Uncommon,404404,포켓몬 5마리 초록색 등급 달성,{20771=1;5000=5;rmb=20},,,
10107,12002,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{5=4},Upgrade 5Pokémons to Uncommon +2,5個精靈升級至綠+2品質,Upgrade 5Pokémons to Uncommon +2,404404,포켓몬 5마리 초록색+2 등급 달성,{20771=1;5000=5;rmb=30},,,
10108,12002,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{3=5},"Upgrade 3 Pokémons to Rare ",3個精靈升級至藍色品質,"Upgrade 3 Pokémons to Rare ",404404,포켓몬 3마리 파란색 등급 달성,{20771=1;5000=10;rmb=30},,,
