"﻿变量名",_beizhu,huodongID,periodType,weekParam,taskAttribute,taskType,taskParam,taskSpecialParam,title,title_tw,title_en,title_vn,title_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,exp,goToPanel
1811,Pass first week missions,1002,2,8,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,100,
1812,Pass first week missions,1002,2,8,4,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,100,
1813,Pass first week missions,1002,2,8,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,100,
,,,,,,,,,,,,,,,,,,,,
1901,Pass first week missions,1002,2,9,4,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,50,
1902,Pass first week missions,1002,2,9,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,50,strengthen-1
1903,Pass first week missions,1002,2,9,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,100,
1904,Pass first week missions,1002,2,9,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,50,
1905,Pass first week missions,1002,2,9,4,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,50,
1906,Pass first week missions,1002,2,9,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,50,
1907,Pass first week missions,1002,2,9,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,100,
1908,Pass first week missions,1002,2,9,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,100,10000
1909,Pass first week missions,1002,2,9,4,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,100,20000
1910,Pass first week missions,1002,2,9,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,50,
1911,Pass first week missions,1002,2,9,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,100,
1912,Pass first week missions,1002,2,9,4,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,100,
1913,Pass first week missions,1002,2,9,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,100,
,,,,,,,,,,,,,,,,,,,,
2001,Pass first week missions,1002,2,10,4,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,50,
2002,Pass first week missions,1002,2,10,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,50,strengthen-1
2003,Pass first week missions,1002,2,10,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,100,
2004,Pass first week missions,1002,2,10,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,50,
2005,Pass first week missions,1002,2,10,4,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,50,
2006,Pass first week missions,1002,2,10,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,50,
2007,Pass first week missions,1002,2,10,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,100,
2008,Pass first week missions,1002,2,10,4,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,100,10000
2009,Pass first week missions,1002,2,10,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,100,20000
2010,Pass first week missions,1002,2,10,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,50,
2011,Pass first week missions,1002,2,10,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,100,
2012,Pass first week missions,1002,2,10,4,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,100,
2013,Pass first week missions,1002,2,10,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,100,
,,,,,,,,,,,,,,,,,,,,
2101,Pass first week missions,1002,2,11,4,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,50,
2102,Pass first week missions,1002,2,11,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,50,strengthen-1
2103,Pass first week missions,1002,2,11,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,100,
2104,Pass first week missions,1002,2,11,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,50,
2105,Pass first week missions,1002,2,11,4,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,50,
2106,Pass first week missions,1002,2,11,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,50,
2107,Pass first week missions,1002,2,11,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,100,
2108,Pass first week missions,1002,2,11,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,100,10000
2109,Pass first week missions,1002,2,11,4,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,100,20000
2110,Pass first week missions,1002,2,11,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,50,
2111,Pass first week missions,1002,2,11,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,100,
2112,Pass first week missions,1002,2,11,,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,100,
2113,Pass first week missions,1002,2,11,4,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,100,
,,,,,,,,,,,,,,,,,,,,
2201,Pass first week missions,1002,2,12,4,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,50,
2202,Pass first week missions,1002,2,12,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,50,strengthen-1
2203,Pass first week missions,1002,2,12,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,100,
2204,Pass first week missions,1002,2,12,4,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,50,
2205,Pass first week missions,1002,2,12,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,50,
2206,Pass first week missions,1002,2,12,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,50,
2207,Pass first week missions,1002,2,12,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,100,
2208,Pass first week missions,1002,2,12,4,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,100,10000
2209,Pass first week missions,1002,2,12,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,100,20000
2210,Pass first week missions,1002,2,12,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,50,
2211,Pass first week missions,1002,2,12,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,100,
2212,Pass first week missions,1002,2,12,4,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,100,
2213,Pass first week missions,1002,2,12,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,100,
,,,,,,,,,,,,,,,,,,,,
3001,Pass Day Mission,1003,1,,,15,1,,Daily login,每日登陸,Daily login,404404,일일 로그인,,,,,,30,
3002,Pass Day Mission,1003,1,,,29,30,,Fight in Normal level 30 times,挑戰普通關卡30次,Fight in Normal level 30 times,404404,일반 스테이지 30회 도전,,,,,,30,10000
3003,Pass Day Mission,1003,1,,,39,1,,Breakthrough trinket 1 time,飾品進階1次,Breakthrough trinket 1 time,404404,액세서리 1회 돌파,,,,,,30,
3004,Pass Day Mission,1003,1,,,41,5,,Engage in arena battle for 5 times,競技場戰鬥5次,Engage in arena battle for 5 times,404404,아레나 전투 5회 진행,,,,,,30,
3005,Pass Day Mission,1003,1,,,66,2,,Enter Element Challenge 2 times,元素挑戰戰鬥2次,Enter Element Challenge 2 times,404404,엘리멘탈 챌린지 2회 전투,,,,,,30,
3006,Pass Day Mission,1003,1,,,20,1000000,,Spend 1000000 coins,消耗1000000金幣,Spend 1000000 coins,404404,1000000코인 소모,,,,,,30,
3007,Pass Day Mission,1003,1,,,21,300,,Spend 300 diamonds,消耗300鑽石,Spend 300 diamonds,404404,300다이아 소모,,,,,,30,
3008,Pass Day Mission,1003,1,,4,15,1,,Marster daily login.,大師每日登陸,Marster daily login.,404404,마스터 일일 로그인,,,,,,30,
,,,,,,,,,,,,,,,,,,,,
3101,Pass first week missions,1003,2,1,,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,100,
3102,Pass first week missions,1003,2,1,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,100,strengthen-1
3103,Pass first week missions,1003,2,1,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,100,
3104,Pass first week missions,1003,2,1,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,100,
3105,Pass first week missions,1003,2,1,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,100,
3106,Pass first week missions,1003,2,1,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,100,
3107,Pass first week missions,1003,2,1,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,100,
3108,Pass first week missions,1003,2,1,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,100,10000
3109,Pass first week missions,1003,2,1,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,100,20000
3110,Pass first week missions,1003,2,1,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,100,
3111,Pass first week missions,1003,2,1,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,100,
3112,Pass first week missions,1003,2,1,,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,100,
3113,Pass first week missions,1003,2,1,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,100,
,,,,,,,,,,,,,,,,,,,,
3201,Pass first week missions,1003,2,2,,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,100,
3202,Pass first week missions,1003,2,2,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,100,strengthen-1
3203,Pass first week missions,1003,2,2,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,200,
3204,Pass first week missions,1003,2,2,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,100,
3205,Pass first week missions,1003,2,2,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,100,
3206,Pass first week missions,1003,2,2,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,100,
3207,Pass first week missions,1003,2,2,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,200,
3208,Pass first week missions,1003,2,2,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,200,10000
3209,Pass first week missions,1003,2,2,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,200,20000
3210,Pass first week missions,1003,2,2,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,100,
3211,Pass first week missions,1003,2,2,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,200,
3212,Pass first week missions,1003,2,2,,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,200,
3213,Pass first week missions,1003,2,2,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,200,
,,,,,,,,,,,,,,,,,,,,
3301,Pass first week missions,1003,2,3,,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,100,
3302,Pass first week missions,1003,2,3,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,100,strengthen-1
3303,Pass first week missions,1003,2,3,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,200,
3304,Pass first week missions,1003,2,3,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,100,
3305,Pass first week missions,1003,2,3,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,100,
3306,Pass first week missions,1003,2,3,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,100,
3307,Pass first week missions,1003,2,3,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,200,
3308,Pass first week missions,1003,2,3,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,200,10000
3309,Pass first week missions,1003,2,3,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,200,20000
3310,Pass first week missions,1003,2,3,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,100,
3311,Pass first week missions,1003,2,3,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,200,
3312,Pass first week missions,1003,2,3,,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,200,
3313,Pass first week missions,1003,2,3,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,200,
,,,,,,,,,,,,,,,,,,,,
3401,Pass first week missions,1003,2,4,,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,100,
3402,Pass first week missions,1003,2,4,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,100,strengthen-1
3403,Pass first week missions,1003,2,4,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,200,
3404,Pass first week missions,1003,2,4,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,100,
3405,Pass first week missions,1003,2,4,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,100,
3406,Pass first week missions,1003,2,4,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,100,
3407,Pass first week missions,1003,2,4,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,200,
3408,Pass first week missions,1003,2,4,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,200,10000
3409,Pass first week missions,1003,2,4,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,200,20000
3410,Pass first week missions,1003,2,4,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,100,
3411,Pass first week missions,1003,2,4,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,200,
3412,Pass first week missions,1003,2,4,,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,200,
3413,Pass first week missions,1003,2,4,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,200,
,,,,,,,,,,,,,,,,,,,,
3501,Pass first week missions,1003,2,5,,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,100,
3502,Pass first week missions,1003,2,5,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,100,strengthen-1
3503,Pass first week missions,1003,2,5,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,200,
3504,Pass first week missions,1003,2,5,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,100,
3505,Pass first week missions,1003,2,5,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,100,
3506,Pass first week missions,1003,2,5,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,100,
3507,Pass first week missions,1003,2,5,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,200,
3508,Pass first week missions,1003,2,5,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,200,10000
3509,Pass first week missions,1003,2,5,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,200,20000
3510,Pass first week missions,1003,2,5,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,100,
3511,Pass first week missions,1003,2,5,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,200,
3512,Pass first week missions,1003,2,5,,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,200,
3513,Pass first week missions,1003,2,5,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,200,
,,,,,,,,,,,,,,,,,,,,
3601,Pass first week missions,1003,2,6,,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,100,
3602,Pass first week missions,1003,2,6,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,100,strengthen-1
3603,Pass first week missions,1003,2,6,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,200,
3604,Pass first week missions,1003,2,6,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,100,
3605,Pass first week missions,1003,2,6,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,100,
3606,Pass first week missions,1003,2,6,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,100,
3607,Pass first week missions,1003,2,6,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,200,
3608,Pass first week missions,1003,2,6,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,200,10000
3609,Pass first week missions,1003,2,6,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,200,20000
3610,Pass first week missions,1003,2,6,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,100,
3611,Pass first week missions,1003,2,6,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,200,
3612,Pass first week missions,1003,2,6,,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,200,
3613,Pass first week missions,1003,2,6,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,200,
,,,,,,,,,,,,,,,,,,,,
3701,Pass first week missions,1003,2,7,,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,100,
3702,Pass first week missions,1003,2,7,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,100,strengthen-1
3703,Pass first week missions,1003,2,7,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,200,
3704,Pass first week missions,1003,2,7,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,100,
3705,Pass first week missions,1003,2,7,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,100,
3706,Pass first week missions,1003,2,7,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,100,
3707,Pass first week missions,1003,2,7,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,200,
3708,Pass first week missions,1003,2,7,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,200,10000
3709,Pass first week missions,1003,2,7,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,200,20000
3710,Pass first week missions,1003,2,7,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,100,
3711,Pass first week missions,1003,2,7,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,200,
3712,Pass first week missions,1003,2,7,,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,200,
3713,Pass first week missions,1003,2,7,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,200,
,,,,,,,,,,,,,,,,,,,,
3801,Pass first week missions,1003,2,8,,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,100,
